ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;FondsLangdurigeZorg_18;TotaalSocialePremiesTLVWerkgevers_19;AlgemeenArbeidsongeschiktheidsfonds_20;Arbeidsongeschiktheidsfonds_21;Werkhervattingskas_22;Arbeidsongeschiktheidskas_23;AlgemeenWerkloosheidsfonds_24;Sectorfondsen_25;UitvoeringsfondsVoorDeOverheid_26;WetKinderopvang_27;Ziekengeldkassen_28;AlgemeneKas_29;Zorgverzekeringsfonds_30;AlgemeenKinderbijslagfonds_31;AlgemeenFondsBijzondereZiektekosten_32;FondsLangdurigeZorg_33;TotaalSocPremiesNietTLVWerkg_34;AlgemeenArbeidsongeschiktheidsfonds_35;Arbeidsongeschiktheidsfonds_36;ArbeidsongeschiktheidsfondsZelfst_37;AlgemeenWerkloosheidsfonds_38;Sectorfondsen_39;Ziekengeldkassen_40;AlgemeneKas_41;Zorgverzekeringsfonds_42;AlgemeenOuderdomsfonds_43;AlgemeenNabestaandenfonds_44;AlgemeenKinderbijslagfonds_45;AlgemeenFondsBijzondereZiektekosten_46;FondsLangdurigeZorg_47
12;2000 4e kwartaal;16717;-22.0;1913;286.0;;443.0;866;232;;;;2147.0;;5671;469;;4712;;4155;;1913.0;;443.0;204;232;;;;1363.0;;;;;12562;-22.0;;286.0;662.0;;;784.0;;5671;469;;4712;
13;2000;64522;-69.0;8746;842.0;;1946.0;5290;1125;;;;10549.0;;20569;1701;;13823;;18671;;8746.0;;1946.0;1963;1125;;;;4891.0;;;;;45851;-69.0;;842.0;3327.0;;;5658.0;;20569;1701;;13823;
14;2001 1e kwartaal;16032;1.0;2615;271.0;;609.0;1636;213;52.0;;;2964.0;;4420;354;;2897;;5602;;2615.0;;609.0;744;213;52.0;;;1369.0;;;;;10430;1.0;;271.0;892.0;;;1595.0;;4420;354;;2897;
15;2001 2e kwartaal;16685;1.0;2352;166.0;;556.0;1211;188;83.0;;;2601.0;;5493;439;;3595;;4725;;2352.0;;556.0;431;188;83.0;;;1115.0;;;;;11960;1.0;;166.0;780.0;;;1486.0;;5493;439;;3595;
16;2001 3e kwartaal;14252;0.0;2264;156.0;;544.0;1381;194;64.0;;;2528.0;;4102;328;;2691;;4795;;2264.0;;544.0;609;194;64.0;;;1120.0;;;;;9457;0.0;;156.0;772.0;;;1408.0;;4102;328;;2691;
17;2001 4e kwartaal;14354;1.0;1917;236.0;;510.0;927;159;84.0;;;2581.0;;4571;367;;3001;;4322;;1917.0;;510.0;329;159;84.0;;;1323.0;;;;;10032;1.0;;236.0;598.0;;;1258.0;;4571;367;;3001;
18;2001;61323;3.0;9148;829.0;;2219.0;5155;754;283.0;;;10674.0;;18586;1488;;12184;;19444;;9148.0;;2219.0;2113;754;283.0;;;4927.0;;;;;41879;3.0;;829.0;3042.0;;;5747.0;;18586;1488;;12184;
19;2002 1e kwartaal;16647;;2524;313.0;;774.0;1350;248;88.0;;;3174.0;;4710;375;;3091;;5827;;2524.0;;774.0;536;248;88.0;;;1657.0;;;;;10820;;;313.0;814.0;;;1517.0;;4710;375;;3091;
20;2002 2e kwartaal;15186;;2226;169.0;;732.0;1204;325;56.0;;;2659.0;;4490;360;;2965;;4915;;2226.0;;732.0;442;325;56.0;;;1134.0;;;;;10271;;;169.0;762.0;;;1525.0;;4490;360;;2965;
21;2002 3e kwartaal;14980;;2357;170.0;;648.0;1251;245;85.0;;;2513.0;;4429;355;;2927;;4988;;2357.0;;648.0;479;245;85.0;;;1174.0;;;;;9992;;;170.0;772.0;;;1339.0;;4429;355;;2927;
