ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Naam_49;Code_50;Omschrijving_51;Code_52;Omschrijving_53;Inwonertal_54;Omgevingsadressendichtheid_55
261;Stadskanaal;GM0037    ;Stadskanaal                                       ;Stadskanaal                                       ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR01      ;Oost-Groningen                                    ;CS010     ;Oost-Groningen                                    ;CP0100    ;Oost-Groningen                                    ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2004    ;Westerwolde en Groninger Veenkoloniën             ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;PV20      ;Groningen                                         ;RE01      ;Noord-Nederland                                   ;ES01      ;Groningen                                         ;MC01      ;Oost-Groningen                                    ;RA0101    ;Groningen                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0101    ;Groningen                                         ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT08      ;Groningen                                         ;VR01      ;Groningen                                         ;ZK09      ;Groningen                                         ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;31851;840
262;Staphorst;GM0180    ;Staphorst                                         ;Staphorst                                         ;AM36      ;Regio Zwolle                                      ;AR06      ;Overijssel                                        ;CR10      ;Noord-Overijssel                                  ;CS100     ;Noord-Overijssel                                  ;CP1000    ;Noord-Overijssel                                  ;GG1009    ;GGD IJsselland                                    ;JZ07      ;IJsselland                                        ;KK43      ;Oost                                              ;LB2301    ;Weidegebied in Overijssel                         ;LG03      ;Noordelijk Weidegebied                            ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES05      ;West-Overijssel                                   ;MC10      ;IJssel-Vecht                                      ;RA0204    ;Regio Zwolle                                      ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0501    ;West-Overijssel                                   ;TR11      ;Twente, Salland en Vechtstreek                    ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT11      ;IJsselland                                        ;VR04      ;IJsselland                                        ;ZK32      ;Zwolle                                            ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;17282;359
263;Stede Broec;GM0532    ;Stede Broec                                       ;Stede Broec                                       ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC22      ;West-Friesland                                    ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1503    ;West-Friesland                                    ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT17      ;Noord-Holland Noord                               ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;21947;1151
264;Steenbergen;GM0851    ;Steenbergen                                       ;Steenbergen                                       ;AM25      ;West-Brabant                                      ;AR11      ;Zeeland-West-Brabant                              ;CR33      ;West-Noord-Brabant                                ;CS330     ;West-Noord-Brabant                                ;CP3300    ;West-Noord-Brabant                                ;GG5206    ;GGD West-Brabant                                  ;JZ36      ;West Brabant West                                 ;KK44      ;Zuid                                              ;LB3001    ;Noordwesthoek                                     ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT21      ;West-brabant                                      ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;24333;739
265;Steenwijkerland;GM1708    ;Steenwijkerland                                   ;Steenwijkerland                                   ;AM36      ;Regio Zwolle                                      ;AR06      ;Overijssel                                        ;CR10      ;Noord-Overijssel                                  ;CS100     ;Noord-Overijssel                                  ;CP1000    ;Noord-Overijssel                                  ;GG1009    ;GGD IJsselland                                    ;JZ07      ;IJsselland                                        ;KK43      ;Oost                                              ;LB2301    ;Weidegebied in Overijssel                         ;LG03      ;Noordelijk Weidegebied                            ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES05      ;West-Overijssel                                   ;MC10      ;IJssel-Vecht                                      ;RA0204    ;Regio Zwolle                                      ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0501    ;West-Overijssel                                   ;TR05      ;Meren in Gron., Friesl., N.W.-Overijssel          ;TG02      ;Watersportgebieden                                ;VT11      ;IJsselland                                        ;VR04      ;IJsselland                                        ;ZK32      ;Zwolle                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;44741;594
266;Stein (L.);GM0971    ;Stein                                             ;Stein                                             ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES30      ;Zuid-Limburg                                      ;MC39      ;Gewest Zuid-Limburg                               ;RA1428    ;Zuid-Limburg                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET3003    ;Westelijke Mijnstreek                             ;TR15      ;Zuid-Limburg                                      ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT25      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;24803;905
267;Stichtse Vecht;GM1904    ;Stichtse Vecht                                    ;Stichtse Vecht                                    ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1703    ;Stadsgewest Utrecht                               ;GG2514    ;GGD Regio Utrecht                                 ;JZ19      ;Utrecht West                                      ;KK41      ;Noordwest                                         ;LB2602    ;Westelijk Weidegebied in Utrecht                  ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES14      ;U16                                               ;MC19      ;Utrecht                                           ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1401    ;U16                                               ;TR06      ;Hollands-Utrechtse meren                          ;TG02      ;Watersportgebieden                                ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;65240;1197
268;Súdwest-Fryslân;GM1900    ;Súdwest-Fryslân                                   ;Sudwest-Fryslan                                   ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR05      ;Zuidwest-Friesland                                ;CS050     ;Zuidwest-Friesland                                ;CP0500    ;Zuidwest-Friesland                                ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2102    ;Weidestreek in Friesland                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Fryslân                                           ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC05      ;Zuid-West Friesland                               ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT04      ;Friesland                                         ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;90300;852
269;Terneuzen;GM0715    ;Terneuzen                                         ;Terneuzen                                         ;AM24      ;Zeeland                                           ;AR11      ;Zeeland-West-Brabant                              ;CR31      ;Zeeuwsch-Vlaanderen                               ;CS310     ;Zeeuwsch-Vlaanderen                               ;CP3100    ;Zeeuwsch-Vlaanderen                               ;GG5006    ;GGD Zeeland                                       ;JZ38      ;Zeeland                                           ;KK45      ;Zuidwest                                          ;LB2903    ;Zeeuwsch-Vlaanderen                               ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;PV29      ;Zeeland                                           ;RE08      ;Zeeland-West-Brabant                              ;ES24      ;Zeeland                                           ;MC33      ;Zeeuws-Vlaanderen                                 ;RA1222    ;Zeeland                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2401    ;Zeeland                                           ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT23      ;Zeeland                                           ;VR19      ;Zeeland                                           ;ZK27      ;Zeeland                                           ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;54501;876
270;Terschelling;GM0093    ;Terschelling                                      ;Terschelling                                      ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2104    ;Eilanden                                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Fryslân                                           ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC04      ;Friesland Noord                                   ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR01      ;Waddeneilanden                                    ;TG01      ;Kust                                              ;VT04      ;Friesland                                         ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;1;minder dan 5 000 inwoners                         ;5;Niet stedelijk           ;4960;250
271;Texel;GM0448    ;Texel                                             ;Texel                                             ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ03      ;Kop van Noord-Holland                             ;KK41      ;Noordwest                                         ;LB2704    ;Texel en Land van Zijpe                           ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC23      ;Kop van Noord-Holland                             ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1501    ;Kop van Noord-Holland                             ;TR01      ;Waddeneilanden                                    ;TG01      ;Kust                                              ;VT17      ;Noord-Holland Noord                               ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;13687;492
272;Teylingen;GM1525    ;Teylingen                                         ;Teylingen                                         ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2808    ;Bollenstreek                                      ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES21      ;Holland Rijnland                                  ;MC26      ;Zuid-Holland-Noord                                ;RA0818    ;Rijnstreek                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2101    ;Holland Rijnland                                  ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;37942;1410
273;Tholen;GM0716    ;Tholen                                            ;Tholen                                            ;AM24      ;Zeeland                                           ;AR11      ;Zeeland-West-Brabant                              ;CR32      ;Overig Zeeland                                    ;CS320     ;Overig Zeeland                                    ;CP3200    ;Overig Zeeland                                    ;GG5006    ;GGD Zeeland                                       ;JZ38      ;Zeeland                                           ;KK45      ;Zuidwest                                          ;LB2901    ;Noordelijk Zeeland                                ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;PV29      ;Zeeland                                           ;RE08      ;Zeeland-West-Brabant                              ;ES24      ;Zeeland                                           ;MC31      ;Oosterschelde Regio                               ;RA1222    ;Zeeland                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2401    ;Zeeland                                           ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT23      ;Zeeland                                           ;VR19      ;Zeeland                                           ;ZK27      ;Zeeland                                           ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;26401;494
274;Tiel;GM0281    ;Tiel                                              ;Tiel                                              ;AM10      ;Rivierenland                                      ;AR03      ;Gelderland                                        ;CR16      ;Zuidwest-Gelderland                               ;CS160     ;Zuidwest-Gelderland                               ;CP1600    ;Zuidwest-Gelderland                               ;GG2014    ;GGD Gelderland-Zuid                               ;JZ30      ;Rivierenland                                      ;KK43      ;Oost                                              ;LB2505    ;Veluwezoom en Betuwe                              ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES11      ;Fruitdelta Rivierenland                           ;MC15      ;Rivierenland                                      ;RA0308    ;Zuid-West Gelderland                              ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1101    ;Fruitdelta Rivierenland                           ;TR09      ;Gelders Rivierengebied                            ;TG03      ;Bos en Heide Midden-Nederland                     ;VT06      ;Gelderland-Zuid                                   ;VR08      ;Gelderland-Zuid                                   ;ZK16      ;Nijmegen                                          ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;42277;1456
275;Tilburg;GM0855    ;Tilburg                                           ;Tilburg                                           ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5406    ;GGD Hart voor Brabant                             ;JZ35      ;Midden-Brabant                                    ;KK44      ;Zuid                                              ;LB3008    ;Midden-Noord-Brabant                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland-West-Brabant                              ;ES25      ;Hart van Brabant                                  ;MC35      ;Midden-Brabant                                    ;RA1324    ;Midden-Brabant                                    ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2501    ;Hart van Brabant                                  ;TR13      ;West- en Midden-Brabant                           ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT15      ;Noord-Brabant Midden                              ;VR20      ;Midden- en West-Brabant                           ;ZK12      ;Midden-Brabant                                    ;7;150 000 tot 250 000 inwoners                      ;1;Zeer sterk stedelijk     ;224459;2835
276;Tubbergen;GM0183    ;Tubbergen                                         ;Tubbergen                                         ;AM05      ;Twente                                            ;AR06      ;Overijssel                                        ;CR12      ;Twente                                            ;CS120     ;Twente                                            ;CP1200    ;Twente                                            ;GG1106    ;GGD Twente                                        ;JZ14      ;Twente                                            ;KK43      ;Oost                                              ;LB2303    ;Twente                                            ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES04      ;Twente                                            ;MC12      ;Twente                                            ;RA0205    ;Twente                                            ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0401    ;Twente                                            ;TR11      ;Twente, Salland en Vechtstreek                    ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT19      ;Twente                                            ;VR05      ;Twente                                            ;ZK22      ;Twente                                            ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;21364;295
277;Twenterand;GM1700    ;Twenterand                                        ;Twenterand                                        ;AM05      ;Twente                                            ;AR06      ;Overijssel                                        ;CR12      ;Twente                                            ;CS120     ;Twente                                            ;CP1200    ;Twente                                            ;GG1106    ;GGD Twente                                        ;JZ14      ;Twente                                            ;KK43      ;Oost                                              ;LB2303    ;Twente                                            ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES04      ;Twente                                            ;MC12      ;Twente                                            ;RA0205    ;Twente                                            ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0401    ;Twente                                            ;TR11      ;Twente, Salland en Vechtstreek                    ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT19      ;Twente                                            ;VR05      ;Twente                                            ;ZK22      ;Twente                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;33718;601
278;Tynaarlo;GM1730    ;Tynaarlo                                          ;Tynaarlo                                          ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR07      ;Noord-Drenthe                                     ;CS070     ;Noord-Drenthe                                     ;CP0700    ;Noord-Drenthe                                     ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2202    ;Smilde en Centraal Zandgebied in Drenthe          ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;ES03      ;Drenthe                                           ;MC07      ;Noord- en Midden Drenthe                          ;RA0102    ;Drenthe                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0301    ;Drenthe                                           ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT02      ;Drenthe                                           ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;34221;512
279;Tytsjerksteradiel;GM0737    ;Tytsjerksteradiel                                 ;Tytsjerksteradiel                                 ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2103    ;De Wouden                                         ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Fryslân                                           ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC06      ;Friesland-Oost ('de Friese Wouden')               ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR05      ;Meren in Gron., Friesl., N.W.-Overijssel          ;TG02      ;Watersportgebieden                                ;VT04      ;Friesland                                         ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;32282;478
280;Uitgeest;GM0450    ;Uitgeest                                          ;Uitgeest                                          ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR20      ;IJmond                                            ;CS200     ;IJmond                                            ;CP2000    ;IJmond                                            ;GG3109    ;GGD Kennemerland                                  ;JZ06      ;Alkmaar (Noord-Kennemerland)                      ;KK41      ;Noordwest                                         ;LB2706    ;Waterland en N.-Hollandse Droogmakerijen          ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC24      ;Noord-Kennemerland                                ;RA0717    ;Amstelland, Kennemerland en Meerlanden            ;RT11      ;Gerechtshof Amsterdam                             ;ET1502    ;Regio Alkmaar                                     ;TR06      ;Hollands-Utrechtse meren                          ;TG02      ;Watersportgebieden                                ;VT17      ;Noord-Holland Noord                               ;VR12      ;Kennemerland                                      ;ZK11      ;Kennemerland                                      ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;13563;1105
281;Uithoorn;GM0451    ;Uithoorn                                          ;Uithoorn                                          ;AM18      ;Groot Amsterdam                                   ;AR01      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2323    ;Haarlemmermeer en omgeving                        ;GG3406    ;GGD Amsterdam                                     ;JZ13      ;Amsterdam-Amstelland                              ;KK41      ;Noordwest                                         ;LB2703    ;Amstelland en Aalsmeer                            ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE05      ;Amsterdam                                         ;ES16      ;Noord-Holland Zuid                                ;MC21      ;Agglomeratie Amsterdam                            ;RA0717    ;Amstelland, Kennemerland en Meerlanden            ;RT11      ;Gerechtshof Amsterdam                             ;ET1606    ;Amstelland                                        ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT01      ;Amsterdam-Amstelland                              ;VR13      ;Amsterdam-Amstelland                              ;ZK01      ;Amstelland en De Meerlanden                       ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;31018;1453
282;Urk;GM0184    ;Urk                                               ;Urk                                               ;AM11      ;Flevoland                                         ;AR04      ;Midden-Nederland                                  ;CR40      ;Flevoland                                         ;CS400     ;Flevoland                                         ;CP4003    ;Noordoostpolder en Urk                            ;GG2209    ;GGD Flevoland                                     ;JZ08      ;Flevoland                                         ;KK41      ;Noordwest                                         ;LB2401    ;Noordoostelijke Polder                            ;LG06      ;IJsselmeerpolders                                 ;LD02      ;Oost-Nederland                                    ;PV24      ;Flevoland                                         ;RE03      ;Midden-Nederland                                  ;ES06      ;Flevoland                                         ;MC18      ;Flevoland                                         ;RA0410    ;Flevoland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0601    ;Flevoland                                         ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT03      ;Flevoland                                         ;VR25      ;Flevoland                                         ;ZK07      ;Flevoland                                         ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;21468;1081
283;Utrecht (gemeente);GM0344    ;Utrecht                                           ;Utrecht                                           ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1703    ;Stadsgewest Utrecht                               ;GG2514    ;GGD Regio Utrecht                                 ;JZ22      ;Utrecht Stad                                      ;KK41      ;Noordwest                                         ;LB2603    ;Centraal Tuinbouwgebied in Utrecht                ;LG10      ;Rivierengebied                                    ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES14      ;U16                                               ;MC19      ;Utrecht                                           ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1401    ;U16                                               ;TR16      ;4 grote steden excl. Noordzeebadplaatsen          ;TG06      ;Overig Nederland                                  ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;8;250 000 inwoners of meer                          ;1;Zeer sterk stedelijk     ;361699;3532
284;Utrechtse Heuvelrug;GM1581    ;Utrechtse Heuvelrug                               ;Utrechtse Heuvelrug                               ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1704    ;Zuidoost-Utrecht                                  ;GG2514    ;GGD Regio Utrecht                                 ;JZ23      ;Zuidoost Utrecht                                  ;KK41      ;Noordwest                                         ;LB2601    ;Kromme Rijn-streek en Heuvelrug                   ;LG10      ;Rivierengebied                                    ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES14      ;U16                                               ;MC19      ;Utrecht                                           ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1401    ;U16                                               ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;TG03      ;Bos en Heide Midden-Nederland                     ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;49981;791
285;Vaals;GM0981    ;Vaals                                             ;Vaals                                             ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES30      ;Zuid-Limburg                                      ;MC39      ;Gewest Zuid-Limburg                               ;RA1428    ;Zuid-Limburg                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET3002    ;Maastricht Heuvelland                             ;TR15      ;Zuid-Limburg                                      ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT25      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;10135;1065
