ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeBouwmaterialen_13;InkoopwaardeHandelsgoederen_14;BetalingAanOnderaannemers_15;OverigeInkoopwaarde_16;TotaleArbeidskosten_17;BrutoLonenEnSalarissen_18;SocialeLasten_19;AfschrijvingenOpVasteActiva_20;TotaleOverigeBedrijfslasten_21;KostenEnergieverbruik_22;KostenVervoermiddelen_23;Huisvestingskosten_24;KostenMachinesEnInstallaties_25;OverigePersoneelskosten_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;FinancieleBaten_33;FinancieleLasten_34;SaldoVoorzieningen_35;OnttrekkingenVrijvalVanVoorzieningen_36;ToevoegingenAanVoorzieningen_37;SaldoBuitengewoneBatenEnLasten_38;BuitengewoneBaten_39;BuitengewoneLasten_40;ResultaatVoorBelastingen_41
42;4525 Ov. gespecialiseerde bouwwerkzaamh;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;4525 Ov. gespecialiseerde bouwwerkzaamh;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;4525 Ov. gespecialiseerde bouwwerkzaamh;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;4525 Ov. gespecialiseerde bouwwerkzaamh;2003;5580.0;29.0;26.0;23.0;22.0;3499.0;3532.0;3505.0;27.0;-33.0;3197.0;1609.0;953.0;5.0;611.0;40.0;940.0;679.0;261.0;115.0;488.0;8.0;97.0;43.0;57.0;136.0;23.0;12.0;45.0;112.0;301.0;-12.0;12.0;24.0;-3.0;7.0;10.0;9.0;14.0;5.0;295.0
46;4525 Ov. gespecialiseerde bouwwerkzaamh;2004;5560.0;31.0;28.0;24.0;23.0;3361.0;3303.0;3242.0;61.0;58.0;3050.0;1342.0;753.0;4.0;556.0;10.0;1060.0;765.0;295.0;110.0;539.0;8.0;103.0;50.0;78.0;108.0;22.0;13.0;40.0;118.0;311.0;-14.0;12.0;26.0;-3.0;6.0;9.0;-4.0;4.0;8.0;289.0
47;4525 Ov. gespecialiseerde bouwwerkzaamh;2005;5595.0;28.0;26.0;20.0;19.0;3231.0;3193.0;3173.0;20.0;38.0;2842.0;1365.0;719.0;3.0;637.0;7.0;878.0;640.0;238.0;99.0;499.0;9.0;95.0;46.0;56.0;111.0;27.0;13.0;37.0;104.0;389.0;-12.0;10.0;22.0;3.0;8.0;6.0;-2.0;2.0;5.0;377.0
48;453 Bouwinstallatiebedrijven;2000;10695.0;134.0;127.0;119.0;114.0;14593.0;14435.0;13521.0;914.0;158.0;13532.0;7290.0;;;;;3985.0;3120.0;865.0;271.0;1985.0;33.0;348.0;168.0;79.0;641.0;168.0;72.0;141.0;334.0;1061.0;18.0;153.0;135.0;-5.0;46.0;51.0;-3.0;30.0;33.0;1071.0
49;453 Bouwinstallatiebedrijven;2001;10875.0;136.0;129.0;120.0;115.0;15066.0;14787.0;13871.0;915.0;280.0;14048.0;7509.0;;;;;4186.0;3233.0;953.0;278.0;2075.0;33.0;357.0;198.0;80.0;615.0;173.0;84.0;171.0;364.0;1018.0;129.0;287.0;157.0;-10.0;29.0;39.0;129.0;186.0;57.0;1267.0
50;453 Bouwinstallatiebedrijven;2002;10365.0;135.0;128.0;121.0;115.0;15071.0;14687.0;13969.0;718.0;384.0;14098.0;7260.0;5080.0;491.0;1668.0;22.0;4353.0;3365.0;988.0;281.0;2204.0;34.0;394.0;220.0;89.0;604.0;161.0;92.0;188.0;423.0;973.0;104.0;278.0;174.0;-16.0;28.0;44.0;811.0;861.0;50.0;1871.0
51;453 Bouwinstallatiebedrijven;2003;10615.0;130.0;123.0;116.0;111.0;14869.0;14733.0;13971.0;762.0;136.0;13945.0;7245.0;5110.0;558.0;1492.0;86.0;4313.0;3444.0;869.0;265.0;2081.0;36.0;387.0;227.0;87.0;582.0;158.0;93.0;181.0;371.0;923.0;102.0;252.0;150.0;-13.0;41.0;54.0;30.0;65.0;34.0;1043.0
52;453 Bouwinstallatiebedrijven;2004;10410.0;126.0;118.0;110.0;104.0;14520.0;14359.0;13202.0;1157.0;160.0;13611.0;7102.0;5008.0;554.0;1428.0;111.0;4161.0;3332.0;829.0;253.0;2095.0;32.0;392.0;238.0;81.0;588.0;161.0;88.0;193.0;322.0;908.0;0.0;115.0;115.0;-2.0;44.0;46.0;606.0;633.0;27.0;1513.0
53;453 Bouwinstallatiebedrijven;2005;10480.0;132.0;125.0;114.0;109.0;15345.0;14961.0;14325.0;635.0;384.0;14400.0;7466.0;5468.0;245.0;1708.0;45.0;4403.0;3522.0;882.0;252.0;2279.0;40.0;431.0;253.0;80.0;697.0;175.0;91.0;192.0;319.0;945.0;-24.0;106.0;130.0;-12.0;20.0;32.0;-20.0;16.0;36.0;889.0
54;4531 Elektrotechn bouwinstallatiebedr.;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;4531 Elektrotechn bouwinstallatiebedr.;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;4531 Elektrotechn bouwinstallatiebedr.;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;4531 Elektrotechn bouwinstallatiebedr.;2003;4105.0;53.0;51.0;48.0;46.0;5273.0;5331.0;5191.0;141.0;-58.0;4952.0;2281.0;1807.0;41.0;409.0;24.0;1717.0;1390.0;327.0;93.0;845.0;14.0;162.0;86.0;26.0;260.0;54.0;35.0;68.0;157.0;321.0;-10.0;21.0;31.0;-2.0;22.0;24.0;-5.0;9.0;13.0;304.0
58;4531 Elektrotechn bouwinstallatiebedr.;2004;4090.0;50.0;47.0;45.0;43.0;5124.0;5009.0;4855.0;155.0;114.0;4825.0;2265.0;1746.0;53.0;457.0;9.0;1650.0;1339.0;311.0;87.0;823.0;13.0;163.0;93.0;25.0;240.0;55.0;33.0;64.0;138.0;298.0;-10.0;20.0;30.0;1.0;20.0;18.0;-6.0;9.0;16.0;283.0
59;4531 Elektrotechn bouwinstallatiebedr.;2005;4165.0;55.0;52.0;49.0;47.0;5908.0;5779.0;5655.0;124.0;129.0;5601.0;2640.0;2004.0;49.0;577.0;11.0;1893.0;1534.0;359.0;88.0;980.0;15.0;184.0;109.0;27.0;340.0;62.0;35.0;74.0;133.0;306.0;-8.0;18.0;26.0;-5.0;9.0;15.0;-18.0;7.0;25.0;274.0
60;4532 Isolatiebedrijven;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;4532 Isolatiebedrijven;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;4532 Isolatiebedrijven;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;4532 Isolatiebedrijven;2003;580.0;4.0;4.0;4.0;4.0;510.0;487.0;470.0;17.0;23.0;473.0;232.0;125.0;11.0;92.0;4.0;165.0;134.0;31.0;8.0;65.0;2.0;13.0;7.0;5.0;16.0;5.0;2.0;9.0;10.0;37.0;-1.0;1.0;2.0;0.0;1.0;1.0;-2.0;2.0;4.0;34.0
64;4532 Isolatiebedrijven;2004;555.0;4.0;4.0;3.0;3.0;404.0;397.0;392.0;5.0;6.0;368.0;151.0;91.0;1.0;53.0;5.0;145.0;116.0;29.0;8.0;65.0;1.0;13.0;6.0;4.0;20.0;5.0;2.0;5.0;10.0;35.0;-1.0;1.0;2.0;0.0;1.0;2.0;0.0;0.0;1.0;33.0
65;4532 Isolatiebedrijven;2005;505.0;4.0;4.0;3.0;3.0;487.0;486.0;480.0;5.0;1.0;457.0;234.0;122.0;1.0;108.0;3.0;141.0;113.0;28.0;9.0;73.0;2.0;15.0;13.0;4.0;16.0;5.0;2.0;7.0;10.0;30.0;-2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0
66;"4533 Loodgieters;cv-/airco-installatie";2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;"4533 Loodgieters;cv-/airco-installatie";2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;"4533 Loodgieters;cv-/airco-installatie";2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;"4533 Loodgieters;cv-/airco-installatie";2003;5735.0;61.0;58.0;54.0;51.0;6603.0;6527.0;6416.0;111.0;76.0;6158.0;3195.0;2337.0;58.0;746.0;54.0;1903.0;1500.0;402.0;125.0;914.0;16.0;172.0;104.0;45.0;250.0;69.0;41.0;80.0;159.0;445.0;-18.0;19.0;37.0;-5.0;10.0;15.0;42.0;53.0;11.0;464.0
70;"4533 Loodgieters;cv-/airco-installatie";2004;5585.0;59.0;55.0;50.0;47.0;6379.0;6310.0;6216.0;94.0;69.0;5915.0;3063.0;2367.0;28.0;641.0;27.0;1822.0;1433.0;389.0;125.0;905.0;15.0;171.0;107.0;39.0;256.0;62.0;40.0;87.0;127.0;464.0;-16.0;23.0;39.0;-8.0;7.0;15.0;50.0;59.0;9.0;489.0
71;"4533 Loodgieters;cv-/airco-installatie";2005;5630.0;61.0;57.0;51.0;48.0;6609.0;6568.0;6461.0;108.0;40.0;6125.0;3171.0;2381.0;22.0;744.0;25.0;1882.0;1474.0;408.0;128.0;943.0;19.0;195.0;104.0;39.0;255.0;63.0;41.0;83.0;142.0;484.0;-24.0;43.0;67.0;-4.0;7.0;11.0;-1.0;8.0;9.0;455.0
72;4534 Overige bouwinstallatiebedrijven;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;4534 Overige bouwinstallatiebedrijven;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;4534 Overige bouwinstallatiebedrijven;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;4534 Overige bouwinstallatiebedrijven;2003;195.0;10.0;10.0;10.0;9.0;2482.0;2388.0;1894.0;494.0;94.0;2362.0;1537.0;840.0;448.0;244.0;4.0;527.0;418.0;109.0;39.0;257.0;4.0;41.0;30.0;12.0;56.0;30.0;15.0;24.0;45.0;120.0;132.0;211.0;79.0;-6.0;8.0;14.0;-5.0;1.0;6.0;241.0
