ID;HarmonizedSystem;Periods;BalassaIndex_1;ShareOfChapterInTotalExports_2;ExportsOfDutchProducts_3;ReExports_4
396;15 Animal or vegetable fats and oils ...;2002;2.4;0.7;76.9;23.1
397;15 Animal or vegetable fats and oils ...;2003;2.4;0.7;77.1;22.9
398;15 Animal or vegetable fats and oils ...;2004;2.3;0.7;71.9;28.1
399;15 Animal or vegetable fats and oils ...;2005;2.2;0.7;67.8;32.2
400;15 Animal or vegetable fats and oils ...;2006;2.4;0.7;72.9;27.1
401;15 Animal or vegetable fats and oils ...;2007;2.9;0.9;74.7;25.3
402;15 Animal or vegetable fats and oils ...;2008;3.2;1.2;75.3;24.7
403;15 Animal or vegetable fats and oils ...;2009;3.1;1.1;82.5;17.5
404;15 Animal or vegetable fats and oils ...;2010;2.7;0.9;81.5;18.5
405;15 Animal or vegetable fats and oils ...;2011;2.8;1.1;81.8;18.2
406;15 Animal or vegetable fats and oils ...;2012;2.7;1.1;74.4;25.6
407;15 Animal or vegetable fats and oils ...;2013;2.7;1.1;72.3;27.7
408;15 Animal or vegetable fats and oils ...;2014;2.5;0.9;71.8;28.2
409;15 Animal or vegetable fats and oils ...;2015;2.4;0.9;74.6;25.4
410;15 Animal or vegetable fats and oils ...;2016;2.4;1.0;71.5;28.5
411;15 Animal or vegetable fats and oils ...;2017;2.6;1.0;70.5;29.5
412;15 Animal or vegetable fats and oils ...;2018;2.3;0.8;64.2;35.8
413;15 Animal or vegetable fats and oils ...;2019;2.4;0.8;68.6;31.4
414;15 Animal or vegetable fats and oils ...;2020;2.3;1.0;60.1;39.9
415;15 Animal or vegetable fats and oils ...;2021;2.0;1.0;69.0;31.0
416;16 Preparations of meat, of fish or o...;1996;1.8;0.5;;
417;16 Preparations of meat, of fish or o...;1997;1.7;0.5;;
418;16 Preparations of meat, of fish or o...;1998;1.8;0.4;;
419;16 Preparations of meat, of fish or o...;1999;1.8;0.4;;
420;16 Preparations of meat, of fish or o...;2000;1.6;0.4;;
421;16 Preparations of meat, of fish or o...;2001;1.7;0.4;;
422;16 Preparations of meat, of fish or o...;2002;1.6;0.4;75.2;24.8
423;16 Preparations of meat, of fish or o...;2003;1.5;0.3;80.1;19.9
424;16 Preparations of meat, of fish or o...;2004;1.4;0.3;81.3;18.7
425;16 Preparations of meat, of fish or o...;2005;1.2;0.3;77.7;22.3
426;16 Preparations of meat, of fish or o...;2006;1.2;0.3;76.4;23.6
427;16 Preparations of meat, of fish or o...;2007;1.0;0.3;72.1;27.9
428;16 Preparations of meat, of fish or o...;2008;1.1;0.3;65.6;34.4
429;16 Preparations of meat, of fish or o...;2009;1.2;0.3;64.0;36.0
430;16 Preparations of meat, of fish or o...;2010;1.0;0.3;55.9;44.1
431;16 Preparations of meat, of fish or o...;2011;1.0;0.3;55.3;44.7
432;16 Preparations of meat, of fish or o...;2012;0.9;0.3;71.2;28.8
433;16 Preparations of meat, of fish or o...;2013;1.2;0.3;77.3;22.7
434;16 Preparations of meat, of fish or o...;2014;1.2;0.3;75.3;24.7
435;16 Preparations of meat, of fish or o...;2015;1.3;0.4;75.4;24.6
436;16 Preparations of meat, of fish or o...;2016;1.4;0.4;72.2;27.8
437;16 Preparations of meat, of fish or o...;2017;1.2;0.4;64.4;35.6
438;16 Preparations of meat, of fish or o...;2018;1.1;0.3;67.5;32.5
439;16 Preparations of meat, of fish or o...;2019;1.1;0.3;64.7;35.3
440;16 Preparations of meat, of fish or o...;2020;1.1;0.4;66.7;33.3
441;16 Preparations of meat, of fish or o...;2021;1.1;0.3;61.8;38.2
442;17 Sugars and sugar confectionery;1996;1.3;0.4;;
443;17 Sugars and sugar confectionery;1997;1.3;0.4;;
444;17 Sugars and sugar confectionery;1998;1.2;0.4;;
445;17 Sugars and sugar confectionery;1999;1.2;0.3;;
446;17 Sugars and sugar confectionery;2000;1.2;0.3;;
447;17 Sugars and sugar confectionery;2001;1.3;0.3;;
448;17 Sugars and sugar confectionery;2002;1.4;0.3;84.3;15.7
449;17 Sugars and sugar confectionery;2003;1.4;0.3;83.3;16.7
450;17 Sugars and sugar confectionery;2004;1.4;0.3;79.1;20.9
451;17 Sugars and sugar confectionery;2005;1.3;0.3;76.8;23.2
452;17 Sugars and sugar confectionery;2006;1.2;0.3;80.3;19.7
453;17 Sugars and sugar confectionery;2007;1.5;0.3;80.4;19.6
454;17 Sugars and sugar confectionery;2008;1.3;0.3;80.2;19.8
455;17 Sugars and sugar confectionery;2009;1.2;0.3;80.6;19.4
456;17 Sugars and sugar confectionery;2010;1.2;0.3;82.1;17.9
457;17 Sugars and sugar confectionery;2011;1.3;0.3;78.1;21.9
458;17 Sugars and sugar confectionery;2012;1.3;0.3;79.1;20.9
459;17 Sugars and sugar confectionery;2013;1.5;0.3;79.4;20.6
460;17 Sugars and sugar confectionery;2014;1.6;0.3;81.0;19.0
461;17 Sugars and sugar confectionery;2015;1.6;0.3;76.8;23.2
462;17 Sugars and sugar confectionery;2016;1.6;0.3;80.8;19.2
463;17 Sugars and sugar confectionery;2017;1.5;0.3;76.3;23.7
464;17 Sugars and sugar confectionery;2018;1.6;0.3;78.6;21.4
465;17 Sugars and sugar confectionery;2019;1.5;0.3;78.5;21.5
466;17 Sugars and sugar confectionery;2020;1.5;0.3;76.1;23.9
467;17 Sugars and sugar confectionery;2021;1.4;0.3;78.7;21.3
468;18 Cocoa and cocoa preparations;1996;2.8;0.9;;
469;18 Cocoa and cocoa preparations;1997;3.0;0.9;;
470;18 Cocoa and cocoa preparations;1998;3.1;0.8;;
471;18 Cocoa and cocoa preparations;1999;3.3;0.8;;
472;18 Cocoa and cocoa preparations;2000;3.0;0.7;;
473;18 Cocoa and cocoa preparations;2001;3.1;0.7;;
474;18 Cocoa and cocoa preparations;2002;3.3;0.8;77.5;22.5
475;18 Cocoa and cocoa preparations;2003;3.5;0.9;82.6;17.4
476;18 Cocoa and cocoa preparations;2004;3.2;0.8;82.3;17.7
477;18 Cocoa and cocoa preparations;2005;3.1;0.7;81.6;18.4
478;18 Cocoa and cocoa preparations;2006;2.7;0.7;77.1;22.9
479;18 Cocoa and cocoa preparations;2007;2.7;0.7;76.7;23.3
480;18 Cocoa and cocoa preparations;2008;2.7;0.7;73.8;26.2
481;18 Cocoa and cocoa preparations;2009;2.7;0.9;70.1;29.9
482;18 Cocoa and cocoa preparations;2010;3.0;1.0;78.4;21.6
483;18 Cocoa and cocoa preparations;2011;2.8;0.9;68.8;31.2
484;18 Cocoa and cocoa preparations;2012;2.5;0.8;65.6;34.4
485;18 Cocoa and cocoa preparations;2013;2.5;0.8;64.2;35.8
486;18 Cocoa and cocoa preparations;2014;2.7;1.0;62.7;37.3
487;18 Cocoa and cocoa preparations;2015;2.8;1.1;61.5;38.5
488;18 Cocoa and cocoa preparations;2016;2.7;1.1;64.3;35.7
489;18 Cocoa and cocoa preparations;2017;2.7;1.0;65.6;34.4
490;18 Cocoa and cocoa preparations;2018;2.5;0.9;65.1;34.9
491;18 Cocoa and cocoa preparations;2019;2.4;0.9;62.1;37.9
492;18 Cocoa and cocoa preparations;2020;2.1;0.9;67.3;32.7
493;18 Cocoa and cocoa preparations;2021;2.1;0.8;64.5;35.5
494;19 Preparations of cereals, flour, st...;1996;1.5;0.8;;
495;19 Preparations of cereals, flour, st...;1997;1.5;0.7;;
496;19 Preparations of cereals, flour, st...;1998;1.4;0.7;;
497;19 Preparations of cereals, flour, st...;1999;1.3;0.7;;
498;19 Preparations of cereals, flour, st...;2000;1.3;0.6;;
499;19 Preparations of cereals, flour, st...;2001;1.2;0.6;;
500;19 Preparations of cereals, flour, st...;2002;1.2;0.6;86.2;13.8
501;19 Preparations of cereals, flour, st...;2003;1.2;0.6;85.7;14.3
502;19 Preparations of cereals, flour, st...;2004;1.1;0.6;83.6;16.4
503;19 Preparations of cereals, flour, st...;2005;1.0;0.5;85.4;14.6
504;19 Preparations of cereals, flour, st...;2006;1.0;0.5;87.0;13.0
505;19 Preparations of cereals, flour, st...;2007;0.9;0.5;79.0;21.0
506;19 Preparations of cereals, flour, st...;2008;0.9;0.5;79.9;20.1
507;19 Preparations of cereals, flour, st...;2009;1.1;0.7;87.3;12.7
508;19 Preparations of cereals, flour, st...;2010;1.1;0.6;80.2;19.8
509;19 Preparations of cereals, flour, st...;2011;1.1;0.6;88.5;11.5
510;19 Preparations of cereals, flour, st...;2012;1.1;0.7;89.1;10.9
511;19 Preparations of cereals, flour, st...;2013;1.2;0.8;90.6;9.4
512;19 Preparations of cereals, flour, st...;2014;1.4;0.9;87.4;12.6
513;19 Preparations of cereals, flour, st...;2015;1.4;1.0;85.9;14.1
514;19 Preparations of cereals, flour, st...;2016;1.4;1.0;86.1;13.9
515;19 Preparations of cereals, flour, st...;2017;1.3;0.9;84.5;15.5
516;19 Preparations of cereals, flour, st...;2018;1.4;1.0;86.7;13.3
517;19 Preparations of cereals, flour, st...;2019;1.4;1.0;86.1;13.9
518;19 Preparations of cereals, flour, st...;2020;1.4;1.1;85.0;15.0
519;19 Preparations of cereals, flour, st...;2021;1.2;0.9;81.3;18.7
520;20 Preparations of vegetables, fruit,...;1996;2.7;1.1;;
521;20 Preparations of vegetables, fruit,...;1997;2.8;1.1;;
522;20 Preparations of vegetables, fruit,...;1998;2.7;1.1;;
523;20 Preparations of vegetables, fruit,...;1999;2.9;1.2;;
524;20 Preparations of vegetables, fruit,...;2000;2.6;0.9;;
525;20 Preparations of vegetables, fruit,...;2001;2.7;1.0;;
526;20 Preparations of vegetables, fruit,...;2002;2.5;1.0;75.9;24.1
527;20 Preparations of vegetables, fruit,...;2003;2.4;0.9;79.2;20.8
528;20 Preparations of vegetables, fruit,...;2004;2.4;0.9;78.7;21.3
529;20 Preparations of vegetables, fruit,...;2005;2.3;0.8;77.1;22.9
530;20 Preparations of vegetables, fruit,...;2006;2.3;0.8;74.3;25.7
531;20 Preparations of vegetables, fruit,...;2007;2.4;0.9;73.7;26.3
532;20 Preparations of vegetables, fruit,...;2008;2.2;0.9;72.0;28.0
533;20 Preparations of vegetables, fruit,...;2009;2.2;1.0;69.9;30.1
534;20 Preparations of vegetables, fruit,...;2010;2.1;0.9;65.2;34.8
535;20 Preparations of vegetables, fruit,...;2011;2.1;0.9;65.5;34.5
536;20 Preparations of vegetables, fruit,...;2012;2.0;0.8;65.5;34.5
537;20 Preparations of vegetables, fruit,...;2013;2.0;0.9;66.5;33.5
538;20 Preparations of vegetables, fruit,...;2014;2.0;0.9;64.4;35.6
539;20 Preparations of vegetables, fruit,...;2015;2.2;1.0;67.3;32.7
540;20 Preparations of vegetables, fruit,...;2016;2.4;1.1;69.3;30.7
541;20 Preparations of vegetables, fruit,...;2017;2.4;1.1;70.4;29.6
542;20 Preparations of vegetables, fruit,...;2018;2.4;1.0;70.3;29.7
543;20 Preparations of vegetables, fruit,...;2019;2.3;1.0;69.4;30.6
544;20 Preparations of vegetables, fruit,...;2020;2.0;1.0;70.2;29.8
545;20 Preparations of vegetables, fruit,...;2021;2.0;0.9;73.1;26.9
546;21 Miscellaneous edible preparations;1996;1.3;0.6;;
547;21 Miscellaneous edible preparations;1997;1.5;0.6;;
548;21 Miscellaneous edible preparations;1998;1.6;0.6;;
549;21 Miscellaneous edible preparations;1999;1.8;0.7;;
550;21 Miscellaneous edible preparations;2000;1.9;0.6;;
551;21 Miscellaneous edible preparations;2001;2.0;0.7;;
552;21 Miscellaneous edible preparations;2002;2.0;0.8;84.8;15.2
553;21 Miscellaneous edible preparations;2003;2.1;0.8;80.5;19.5
554;21 Miscellaneous edible preparations;2004;2.2;0.8;79.7;20.3
555;21 Miscellaneous edible preparations;2005;1.9;0.7;76.1;23.9
556;21 Miscellaneous edible preparations;2006;1.8;0.7;79.5;20.5
557;21 Miscellaneous edible preparations;2007;1.6;0.7;81.6;18.4
558;21 Miscellaneous edible preparations;2008;1.7;0.7;81.1;18.9
559;21 Miscellaneous edible preparations;2009;1.7;0.9;78.4;21.6
560;21 Miscellaneous edible preparations;2010;1.7;0.8;74.5;25.5
561;21 Miscellaneous edible preparations;2011;1.8;0.8;73.9;26.1
562;21 Miscellaneous edible preparations;2012;1.8;0.8;76.8;23.2
563;21 Miscellaneous edible preparations;2013;1.8;0.8;73.4;26.6
564;21 Miscellaneous edible preparations;2014;1.8;0.9;74.8;25.2
565;21 Miscellaneous edible preparations;2015;2.0;1.0;76.2;23.8
566;21 Miscellaneous edible preparations;2016;2.0;1.0;72.4;27.6
567;21 Miscellaneous edible preparations;2017;1.7;0.9;73.3;26.7
568;21 Miscellaneous edible preparations;2018;1.8;0.9;73.6;26.4
569;21 Miscellaneous edible preparations;2019;1.7;0.9;72.3;27.7
570;21 Miscellaneous edible preparations;2020;1.7;1.0;68.1;31.9
571;21 Miscellaneous edible preparations;2021;1.6;0.9;68.3;31.7
572;22 Beverages, spirits and vinegar;1996;0.8;1.0;;
573;22 Beverages, spirits and vinegar;1997;0.7;0.9;;
574;22 Beverages, spirits and vinegar;1998;0.8;0.9;;
575;22 Beverages, spirits and vinegar;1999;0.8;0.9;;
576;22 Beverages, spirits and vinegar;2000;0.8;0.9;;
577;22 Beverages, spirits and vinegar;2001;0.8;0.9;;
578;22 Beverages, spirits and vinegar;2002;0.9;1.1;88.5;11.5
579;22 Beverages, spirits and vinegar;2003;0.8;1.0;90.2;9.8
580;22 Beverages, spirits and vinegar;2004;0.8;0.9;88.1;11.9
581;22 Beverages, spirits and vinegar;2005;0.7;0.8;87.4;12.6
582;22 Beverages, spirits and vinegar;2006;0.8;0.9;88.6;11.4
583;22 Beverages, spirits and vinegar;2007;0.8;0.9;85.8;14.2
584;22 Beverages, spirits and vinegar;2008;0.8;0.9;82.7;17.3
585;22 Beverages, spirits and vinegar;2009;0.8;1.1;81.4;18.6
586;22 Beverages, spirits and vinegar;2010;0.7;0.9;82.1;17.9
587;22 Beverages, spirits and vinegar;2011;0.7;0.9;73.1;26.9
588;22 Beverages, spirits and vinegar;2012;0.7;1.0;74.7;25.3
589;22 Beverages, spirits and vinegar;2013;0.7;1.0;71.2;28.8
590;22 Beverages, spirits and vinegar;2014;0.7;1.0;70.3;29.7
591;22 Beverages, spirits and vinegar;2015;0.8;1.1;70.3;29.7
592;22 Beverages, spirits and vinegar;2016;0.8;1.1;68.9;31.1
593;22 Beverages, spirits and vinegar;2017;0.9;1.1;74.3;25.7
594;22 Beverages, spirits and vinegar;2018;0.8;1.0;74.4;25.6
595;22 Beverages, spirits and vinegar;2019;0.9;1.1;70.6;29.4
596;22 Beverages, spirits and vinegar;2020;1.0;1.2;71.2;28.8
597;22 Beverages, spirits and vinegar;2021;1.0;1.2;66.4;33.6
598;23 Residues and waste from the food i...;1996;4.3;1.2;;
599;23 Residues and waste from the food i...;1997;4.1;1.2;;
600;23 Residues and waste from the food i...;1998;3.6;1.1;;
601;23 Residues and waste from the food i...;1999;3.7;1.0;;
602;23 Residues and waste from the food i...;2000;3.9;0.9;;
603;23 Residues and waste from the food i...;2001;3.7;0.9;;
604;23 Residues and waste from the food i...;2002;3.9;1.0;78.2;21.8
605;23 Residues and waste from the food i...;2003;3.6;0.9;77.5;22.5
606;23 Residues and waste from the food i...;2004;3.9;1.0;72.6;27.4
607;23 Residues and waste from the food i...;2005;3.9;0.9;72.0;28.0
608;23 Residues and waste from the food i...;2006;3.6;0.9;71.9;28.1
609;23 Residues and waste from the food i...;2007;3.5;0.9;69.9;30.1
610;23 Residues and waste from the food i...;2008;3.5;1.0;70.5;29.5
611;23 Residues and waste from the food i...;2009;3.2;1.1;70.4;29.6
612;23 Residues and waste from the food i...;2010;3.4;1.1;69.4;30.6
613;23 Residues and waste from the food i...;2011;3.5;1.1;68.7;31.3
614;23 Residues and waste from the food i...;2012;3.1;1.1;65.9;34.1
615;23 Residues and waste from the food i...;2013;3.1;1.1;62.6;37.4
616;23 Residues and waste from the food i...;2014;3.0;1.1;66.5;33.5
617;23 Residues and waste from the food i...;2015;2.9;1.1;65.5;34.5
618;23 Residues and waste from the food i...;2016;2.6;1.0;68.2;31.8
619;23 Residues and waste from the food i...;2017;2.3;0.9;68.0;32.0
620;23 Residues and waste from the food i...;2018;2.3;0.9;67.5;32.5
621;23 Residues and waste from the food i...;2019;2.3;0.9;70.1;29.9
622;23 Residues and waste from the food i...;2020;2.1;1.0;71.0;29.0
623;23 Residues and waste from the food i...;2021;1.9;0.9;71.2;28.8
624;24 Tobacco and manufactured tobacco s...;1996;6.5;1.6;;
625;24 Tobacco and manufactured tobacco s...;1997;5.1;1.5;;
626;24 Tobacco and manufactured tobacco s...;1998;5.7;1.6;;
627;24 Tobacco and manufactured tobacco s...;1999;5.3;1.6;;
628;24 Tobacco and manufactured tobacco s...;2000;5.1;1.4;;
629;24 Tobacco and manufactured tobacco s...;2001;4.9;1.4;;
630;24 Tobacco and manufactured tobacco s...;2002;5.6;1.6;90.3;9.7
631;24 Tobacco and manufactured tobacco s...;2003;5.0;1.4;91.0;9.0
632;24 Tobacco and manufactured tobacco s...;2004;5.2;1.3;89.5;10.5
633;24 Tobacco and manufactured tobacco s...;2005;4.0;1.2;91.4;8.6
634;24 Tobacco and manufactured tobacco s...;2006;3.3;1.0;89.8;10.2
635;24 Tobacco and manufactured tobacco s...;2007;4.0;0.9;91.4;8.6
636;24 Tobacco and manufactured tobacco s...;2008;3.3;0.8;86.2;13.8
637;24 Tobacco and manufactured tobacco s...;2009;3.1;1.0;91.3;8.7
638;24 Tobacco and manufactured tobacco s...;2010;3.1;0.8;92.3;7.7
639;24 Tobacco and manufactured tobacco s...;2011;3.6;0.9;90.1;9.9
640;24 Tobacco and manufactured tobacco s...;2012;3.1;0.8;86.3;13.7
641;24 Tobacco and manufactured tobacco s...;2013;3.2;0.8;86.9;13.1
642;24 Tobacco and manufactured tobacco s...;2014;2.5;0.6;80.7;19.3
643;24 Tobacco and manufactured tobacco s...;2015;1.7;0.5;61.7;38.3
644;24 Tobacco and manufactured tobacco s...;2016;1.5;0.4;59.3;40.7
645;24 Tobacco and manufactured tobacco s...;2017;1.1;0.4;55.6;44.4
646;24 Tobacco and manufactured tobacco s...;2018;0.8;0.3;71.8;28.2
647;24 Tobacco and manufactured tobacco s...;2019;0.6;0.2;73.4;26.6
648;24 Tobacco and manufactured tobacco s...;2020;0.5;0.2;73.5;26.5
649;24 Tobacco and manufactured tobacco s...;2021;0.5;0.2;67.2;32.8
650;"25 Salt; sulphur; earths and stone; p...";1996;1.1;0.3;;
651;"25 Salt; sulphur; earths and stone; p...";1997;1.1;0.3;;
652;"25 Salt; sulphur; earths and stone; p...";1998;1.2;0.4;;
653;"25 Salt; sulphur; earths and stone; p...";1999;1.3;0.4;;
654;"25 Salt; sulphur; earths and stone; p...";2000;1.2;0.3;;
655;"25 Salt; sulphur; earths and stone; p...";2001;1.3;0.3;;
656;"25 Salt; sulphur; earths and stone; p...";2002;1.3;0.3;64.2;35.8
657;"25 Salt; sulphur; earths and stone; p...";2003;1.2;0.3;61.4;38.6
658;"25 Salt; sulphur; earths and stone; p...";2004;1.3;0.3;57.6;42.4
659;"25 Salt; sulphur; earths and stone; p...";2005;1.2;0.3;58.1;41.9
660;"25 Salt; sulphur; earths and stone; p...";2006;1.1;0.3;58.9;41.1
661;"25 Salt; sulphur; earths and stone; p...";2007;1.1;0.3;59.3;40.7
662;"25 Salt; sulphur; earths and stone; p...";2008;1.2;0.3;59.0;41.0
663;"25 Salt; sulphur; earths and stone; p...";2009;0.9;0.2;66.7;33.3
664;"25 Salt; sulphur; earths and stone; p...";2010;1.1;0.3;58.9;41.1
665;"25 Salt; sulphur; earths and stone; p...";2011;1.1;0.3;57.6;42.4
666;"25 Salt; sulphur; earths and stone; p...";2012;1.0;0.2;61.3;38.7
667;"25 Salt; sulphur; earths and stone; p...";2013;1.0;0.2;64.2;35.8
668;"25 Salt; sulphur; earths and stone; p...";2014;1.0;0.2;66.5;33.5
669;"25 Salt; sulphur; earths and stone; p...";2015;1.0;0.2;69.9;30.1
670;"25 Salt; sulphur; earths and stone; p...";2016;1.0;0.2;65.8;34.2
671;"25 Salt; sulphur; earths and stone; p...";2017;1.0;0.2;68.0;32.0
672;"25 Salt; sulphur; earths and stone; p...";2018;1.0;0.2;67.6;32.4
673;"25 Salt; sulphur; earths and stone; p...";2019;1.0;0.2;63.9;36.1
674;"25 Salt; sulphur; earths and stone; p...";2020;1.0;0.2;62.8;37.2
675;"25 Salt; sulphur; earths and stone; p...";2021;1.1;0.2;72.5;27.5
676;26 Ores, slag and ash;1996;0.6;0.1;;
677;26 Ores, slag and ash;1997;0.5;0.1;;
678;26 Ores, slag and ash;1998;0.7;0.1;;
679;26 Ores, slag and ash;1999;0.6;0.1;;
680;26 Ores, slag and ash;2000;0.5;0.1;;
681;26 Ores, slag and ash;2001;0.7;0.1;;
682;26 Ores, slag and ash;2002;1.0;0.1;20.1;79.9
683;26 Ores, slag and ash;2003;1.0;0.1;19.7;80.3
684;26 Ores, slag and ash;2004;2.4;0.2;8.7;91.3
685;26 Ores, slag and ash;2005;2.4;0.3;5.6;94.4
686;26 Ores, slag and ash;2006;1.7;0.3;5.8;94.2
687;26 Ores, slag and ash;2007;1.8;0.3;7.4;92.6
688;26 Ores, slag and ash;2008;1.2;0.2;8.0;92.0
689;26 Ores, slag and ash;2009;0.9;0.1;16.0;84.0
690;26 Ores, slag and ash;2010;0.8;0.2;11.5;88.5
691;26 Ores, slag and ash;2011;0.9;0.2;35.1;64.9
692;26 Ores, slag and ash;2012;0.8;0.2;26.2;73.8
693;26 Ores, slag and ash;2013;1.0;0.2;28.6;71.4
694;26 Ores, slag and ash;2014;1.1;0.2;24.5;75.5
695;26 Ores, slag and ash;2015;1.2;0.2;15.4;84.6
696;26 Ores, slag and ash;2016;0.9;0.1;23.8;76.2
697;26 Ores, slag and ash;2017;0.9;0.2;26.0;74.0
698;26 Ores, slag and ash;2018;1.1;0.2;22.2;77.8
699;26 Ores, slag and ash;2019;1.3;0.3;14.9;85.1
700;26 Ores, slag and ash;2020;1.1;0.2;21.8;78.2
701;26 Ores, slag and ash;2021;0.9;0.2;16.5;83.5
702;27 Mineral fuels, mineral oils and pr...;1996;2.9;7.5;;
703;27 Mineral fuels, mineral oils and pr...;1997;2.8;7.2;;
704;27 Mineral fuels, mineral oils and pr...;1998;2.9;5.6;;
705;27 Mineral fuels, mineral oils and pr...;1999;2.6;5.9;;
706;27 Mineral fuels, mineral oils and pr...;2000;2.5;8.6;;
707;27 Mineral fuels, mineral oils and pr...;2001;3.0;9.2;;
708;27 Mineral fuels, mineral oils and pr...;2002;2.7;8.2;74.6;25.4
709;27 Mineral fuels, mineral oils and pr...;2003;2.5;8.3;77.5;22.5
710;27 Mineral fuels, mineral oils and pr...;2004;2.4;8.7;78.8;21.2
711;27 Mineral fuels, mineral oils and pr...;2005;2.4;11.0;77.6;22.4
712;27 Mineral fuels, mineral oils and pr...;2006;2.6;13.0;75.7;24.3
713;27 Mineral fuels, mineral oils and pr...;2007;2.6;12.1;71.0;29.0
714;27 Mineral fuels, mineral oils and pr...;2008;2.6;15.3;81.3;18.7
715;27 Mineral fuels, mineral oils and pr...;2009;2.6;12.4;76.1;23.9
716;27 Mineral fuels, mineral oils and pr...;2010;2.6;13.7;73.8;26.2
717;27 Mineral fuels, mineral oils and pr...;2011;2.7;16.6;69.6;30.4
718;27 Mineral fuels, mineral oils and pr...;2012;2.8;19.3;62.0;38.0
719;27 Mineral fuels, mineral oils and pr...;2013;3.0;19.8;58.9;41.1
720;27 Mineral fuels, mineral oils and pr...;2014;2.7;16.9;66.3;33.7
721;27 Mineral fuels, mineral oils and pr...;2015;2.9;13.3;69.6;30.4
722;27 Mineral fuels, mineral oils and pr...;2016;3.2;11.9;66.3;33.7
723;27 Mineral fuels, mineral oils and pr...;2017;3.0;13.1;60.6;39.4
724;27 Mineral fuels, mineral oils and pr...;2018;2.8;13.8;61.8;38.2
725;27 Mineral fuels, mineral oils and pr...;2019;2.9;13.1;64.6;35.4
726;27 Mineral fuels, mineral oils and pr...;2020;3.1;9.2;68.8;31.2
727;27 Mineral fuels, mineral oils and pr...;2021;2.9;12.6;59.5;40.5
728;"28 Inorganic chemicals; organic or in...";1996;1.4;1.0;;
729;"28 Inorganic chemicals; organic or in...";1997;1.6;1.0;;
730;"28 Inorganic chemicals; organic or in...";1998;1.5;1.0;;
731;"28 Inorganic chemicals; organic or in...";1999;1.4;0.9;;
732;"28 Inorganic chemicals; organic or in...";2000;1.3;0.8;;
733;"28 Inorganic chemicals; organic or in...";2001;1.3;0.8;;
734;"28 Inorganic chemicals; organic or in...";2002;1.4;0.8;70.1;29.9
735;"28 Inorganic chemicals; organic or in...";2003;1.5;0.9;72.1;27.9
736;"28 Inorganic chemicals; organic or in...";2004;1.5;0.9;67.8;32.2
737;"28 Inorganic chemicals; organic or in...";2005;1.5;0.9;69.3;30.7
738;"28 Inorganic chemicals; organic or in...";2006;1.5;0.9;69.0;31.0
739;"28 Inorganic chemicals; organic or in...";2007;1.4;1.0;72.7;27.3
740;"28 Inorganic chemicals; organic or in...";2008;1.3;1.0;67.9;32.1
741;"28 Inorganic chemicals; organic or in...";2009;1.2;0.9;73.2;26.8
742;"28 Inorganic chemicals; organic or in...";2010;1.2;1.0;73.9;26.1
743;"28 Inorganic chemicals; organic or in...";2011;1.3;1.0;73.5;26.5
744;"28 Inorganic chemicals; organic or in...";2012;1.3;1.0;71.8;28.2
745;"28 Inorganic chemicals; organic or in...";2013;1.2;0.8;69.5;30.5
746;"28 Inorganic chemicals; organic or in...";2014;1.2;0.8;64.9;35.1
747;"28 Inorganic chemicals; organic or in...";2015;1.4;0.8;72.7;27.3
748;"28 Inorganic chemicals; organic or in...";2016;1.3;0.7;64.8;35.2
749;"28 Inorganic chemicals; organic or in...";2017;1.3;0.7;66.3;33.7
750;"28 Inorganic chemicals; organic or in...";2018;1.4;0.8;67.5;32.5
751;"28 Inorganic chemicals; organic or in...";2019;1.5;0.8;65.8;34.2
752;"28 Inorganic chemicals; organic or in...";2020;1.3;0.8;67.7;32.3
753;"28 Inorganic chemicals; organic or in...";2021;1.2;0.8;64.7;35.3
754;29 Organic chemicals;1996;1.7;4.9;;
755;29 Organic chemicals;1997;1.7;4.8;;
756;29 Organic chemicals;1998;1.5;4.5;;
757;29 Organic chemicals;1999;1.4;4.3;;
758;29 Organic chemicals;2000;1.4;4.6;;
759;29 Organic chemicals;2001;1.4;4.4;;
760;29 Organic chemicals;2002;1.3;4.5;68.7;31.3
761;29 Organic chemicals;2003;1.3;4.4;73.0;27.0
762;29 Organic chemicals;2004;1.4;4.6;71.9;28.1
763;29 Organic chemicals;2005;1.3;4.7;74.6;25.4
764;29 Organic chemicals;2006;1.4;4.6;73.0;27.0
765;29 Organic chemicals;2007;1.5;4.8;71.8;28.2
766;29 Organic chemicals;2008;1.4;4.3;69.8;30.2
767;29 Organic chemicals;2009;1.2;4.2;67.3;32.7
768;29 Organic chemicals;2010;1.4;4.6;70.0;30.0
769;29 Organic chemicals;2011;1.5;4.6;71.3;28.7
770;29 Organic chemicals;2012;1.5;4.9;68.0;32.0
771;29 Organic chemicals;2013;1.4;4.5;60.3;39.7
772;29 Organic chemicals;2014;1.3;4.0;64.8;35.2
773;29 Organic chemicals;2015;1.2;3.7;63.2;36.8
774;29 Organic chemicals;2016;1.1;3.2;71.4;28.6
775;29 Organic chemicals;2017;1.4;3.4;71.5;28.5
776;29 Organic chemicals;2018;1.3;3.6;69.0;31.0
777;29 Organic chemicals;2019;1.1;2.9;70.1;29.9
778;29 Organic chemicals;2020;1.0;2.7;66.7;33.3
779;29 Organic chemicals;2021;1.3;3.2;72.4;27.6
780;30 Pharmaceutical products;1996;0.7;1.4;;
781;30 Pharmaceutical products;1997;0.6;1.5;;
