ID;Multinationality;SIC2008;Periods;Production_1;AddedValue_2;ImportOfGoods_3;ImportsOfServices_4;DomesticExports_5;ReExports_6;ExportOfServices_7;ExportEarnings_8;LabourVolume_9;LabourVolumeForExports_10
607;Small non-multinational;D Energy supply;2020;2976.3;1970.6;158.9;19.4;4.9;14.7;6.1;484.0;5.3;1.3
608;Small non-multinational;D Energy supply;2021;2750.4;1427.3;237.1;17.4;74.1;14.9;5.2;416.3;8.6;2.4
609;Small non-multinational;E Water supply and waste management;2015;3474.6;1173.1;182.7;82.1;279.7;4.3;62.4;510.1;9.6;3.9
610;Small non-multinational;E Water supply and waste management;2016;3856.1;1278.7;179.2;76.9;250.2;12.5;91.7;551.4;10.9;4.3
611;Small non-multinational;E Water supply and waste management;2017;4281.6;1365.3;243.3;78.1;253.8;9.5;100.6;609.0;12.4;5.1
612;Small non-multinational;E Water supply and waste management;2018;4526.7;1573.9;242.1;94.1;298.9;4.0;89.6;710.8;13.0;5.2
613;Small non-multinational;E Water supply and waste management;2019;4519.8;1410.8;260.7;80.8;292.4;4.3;88.8;588.0;13.4;5.0
614;Small non-multinational;E Water supply and waste management;2020;4402.9;1376.4;302.2;80.5;303.4;4.0;56.8;556.9;13.6;4.9
615;Small non-multinational;E Water supply and waste management;2021;5624.5;1665.0;301.0;122.0;506.2;6.1;70.0;761.5;14.8;6.0
616;Small non-multinational;F Construction;2015;50963.5;17178.8;2899.4;712.1;41.7;0.0;537.1;1488.8;306.5;25.6
617;Small non-multinational;F Construction;2016;55943.9;18312.0;3343.3;581.5;59.4;0.0;585.1;1469.1;320.7;23.9
618;Small non-multinational;F Construction;2017;61474.9;20754.9;3458.0;781.5;39.5;0.0;474.4;1578.1;333.1;24.2
619;Small non-multinational;F Construction;2018;68645.6;22570.0;3929.0;833.0;42.1;0.0;652.6;1613.1;350.0;23.9
620;Small non-multinational;F Construction;2019;75728.0;25376.3;4480.3;1054.4;40.8;0.0;616.4;1688.9;371.8;23.8
621;Small non-multinational;F Construction;2020;78704.1;26872.7;4753.4;1166.1;57.5;0.0;461.5;1621.6;386.9;22.5
622;Small non-multinational;F Construction;2021;85464.5;29012.6;5446.0;1197.0;85.0;0.0;557.1;1936.6;395.5;25.2
623;Small non-multinational;41 Construction buildings, development;2015;22722.6;6426.7;981.8;360.4;22.5;0.0;104.7;259.1;120.3;4.9
624;Small non-multinational;41 Construction buildings, development;2016;24286.2;6097.1;1169.4;218.1;33.9;0.0;124.5;208.0;124.5;4.3
625;Small non-multinational;41 Construction buildings, development;2017;27985.3;7599.3;1200.6;376.3;19.7;0.0;87.3;242.1;126.4;4.1
626;Small non-multinational;41 Construction buildings, development;2018;31803.8;8623.6;1392.2;361.0;24.3;0.0;128.1;267.2;136.7;4.2
627;Small non-multinational;41 Construction buildings, development;2019;34944.7;9700.5;1595.5;575.1;21.2;0.0;124.2;275.4;145.1;4.1
628;Small non-multinational;41 Construction buildings, development;2020;34870.2;9986.2;1585.1;585.7;31.9;0.0;77.1;256.9;148.4;3.9
629;Small non-multinational;41 Construction buildings, development;2021;38838.7;11062.7;1788.9;571.4;50.5;0.0;84.2;316.3;157.2;4.5
630;Small non-multinational;42 Civil engineering;2015;3868.3;1063.7;280.8;36.2;7.2;0.0;33.3;129.7;21.6;2.6
631;Small non-multinational;42 Civil engineering;2016;5183.1;1581.5;283.6;37.4;12.4;0.0;75.1;185.0;22.0;2.5
632;Small non-multinational;42 Civil engineering;2017;4496.1;1547.6;260.7;47.8;7.0;0.0;67.4;183.4;20.9;2.4
633;Small non-multinational;42 Civil engineering;2018;4872.9;1637.5;304.5;70.3;4.7;0.0;173.9;204.4;22.3;2.7
634;Small non-multinational;42 Civil engineering;2019;4792.5;1668.9;367.0;54.1;5.4;0.0;142.7;193.0;24.2;2.7
635;Small non-multinational;42 Civil engineering;2020;5742.2;1949.0;456.6;117.0;8.1;0.0;53.4;184.1;25.6;2.4
636;Small non-multinational;42 Civil engineering;2021;5567.1;2068.4;490.8;149.8;10.3;0.0;65.2;222.5;22.7;2.4
637;Small non-multinational;43 Specialised construction activities;2015;24372.6;9688.4;1636.9;315.5;12.0;0.0;399.1;1100.0;164.5;18.2
638;Small non-multinational;43 Specialised construction activities;2016;26474.6;10633.4;1890.2;325.9;13.1;0.0;385.5;1076.1;174.3;17.0
639;Small non-multinational;43 Specialised construction activities;2017;28993.5;11608.0;1996.7;357.4;12.7;0.0;319.7;1152.6;185.8;17.7
640;Small non-multinational;43 Specialised construction activities;2018;31968.9;12308.9;2232.4;401.8;13.1;0.0;350.6;1141.5;191.1;16.9
641;Small non-multinational;43 Specialised construction activities;2019;35990.9;14006.8;2517.7;425.2;14.2;0.0;349.5;1220.6;202.5;16.9
642;Small non-multinational;43 Specialised construction activities;2020;38091.7;14937.4;2711.8;463.3;17.4;0.0;330.9;1180.6;212.9;16.3
643;Small non-multinational;43 Specialised construction activities;2021;41058.8;15881.4;3166.3;475.8;24.2;0.0;407.8;1397.8;215.6;18.3
644;Small non-multinational;G-I Trade, transport, hotels, catering;2015;100584.6;53426.0;3135.7;3170.4;6612.8;11471.3;7789.0;23476.9;912.8;288.4
645;Small non-multinational;G-I Trade, transport, hotels, catering;2016;102854.5;55427.4;2950.7;3287.4;6625.6;11248.8;8051.0;23962.7;936.0;297.0
646;Small non-multinational;G-I Trade, transport, hotels, catering;2017;107408.8;58439.4;3252.6;3506.1;6913.8;12219.6;8877.8;26059.3;948.3;310.1
647;Small non-multinational;G-I Trade, transport, hotels, catering;2018;113596.0;60830.1;3407.7;3529.8;7300.5;12715.5;9277.5;26891.5;975.5;314.2
648;Small non-multinational;G-I Trade, transport, hotels, catering;2019;122725.1;65786.7;3782.7;3405.1;7780.8;13986.4;9329.5;29025.6;1018.9;330.3
649;Small non-multinational;G-I Trade, transport, hotels, catering;2020;117688.2;63452.8;3322.9;3637.3;8001.3;13321.0;7862.7;28245.8;1035.9;318.9
650;Small non-multinational;G-I Trade, transport, hotels, catering;2021;133393.8;71882.4;3914.6;3555.5;9713.1;16311.1;8776.4;33851.6;1053.8;330.6
651;Small non-multinational;G-N Commercial services;2015;212308.6;122726.9;4341.2;6499.6;6794.1;11902.6;18381.6;48578.6;1848.7;658.7
652;Small non-multinational;G-N Commercial services;2016;222653.9;127859.9;4301.4;6158.4;6813.4;11806.2;14383.0;46332.8;1921.6;649.8
653;Small non-multinational;G-N Commercial services;2017;229997.2;135879.8;4625.3;7383.1;7173.3;12588.3;16408.7;50789.4;1968.7;693.4
654;Small non-multinational;G-N Commercial services;2018;247211.9;141528.4;4877.6;8487.7;7550.3;13183.8;18065.7;53078.4;2053.9;719.3
655;Small non-multinational;G-N Commercial services;2019;261907.4;151830.4;5435.7;8797.2;8167.6;14511.4;17421.0;55770.4;2098.8;722.2
656;Small non-multinational;G-N Commercial services;2020;261546.3;153461.7;5077.5;8623.0;8324.0;13926.3;15867.5;55610.6;2195.2;734.5
657;Small non-multinational;G-N Commercial services;2021;297167.6;172613.3;5727.2;9633.5;10054.0;17017.0;17918.3;65601.0;2243.8;776.1
658;Small non-multinational;G Wholesale and retail trade;2015;59875.1;35057.8;1409.1;1491.2;5033.5;9977.5;1031.6;15258.0;584.5;180.8
659;Small non-multinational;G Wholesale and retail trade;2016;60707.4;36021.6;1366.5;1596.4;4998.4;9675.9;1255.8;15424.5;595.8;185.3
660;Small non-multinational;G Wholesale and retail trade;2017;62514.8;37780.2;1460.0;1633.2;5187.5;10507.2;1073.4;16914.9;594.1;192.5
661;Small non-multinational;G Wholesale and retail trade;2018;65114.4;38928.3;1589.0;1556.0;5447.9;10912.8;1057.2;17300.5;603.3;189.7
662;Small non-multinational;G Wholesale and retail trade;2019;70237.7;41592.6;1667.7;1359.0;5721.0;11917.0;1013.9;18338.2;625.1;199.2
663;Small non-multinational;G Wholesale and retail trade;2020;73078.0;44482.0;1726.8;1636.3;5960.9;11226.9;883.2;18715.2;651.9;193.7
664;Small non-multinational;G Wholesale and retail trade;2021;81132.5;50123.7;1922.7;1454.2;7149.7;13568.6;1039.7;22704.9;663.8;196.8
665;Small non-multinational;45 Sale and repair of motor vehicles;2015;11950.1;5296.2;963.5;253.5;94.7;237.8;137.7;1108.8;91.3;18.9
666;Small non-multinational;45 Sale and repair of motor vehicles;2016;12244.3;5513.5;864.8;256.7;106.4;263.3;115.6;1280.1;93.4;21.5
667;Small non-multinational;45 Sale and repair of motor vehicles;2017;13018.2;5847.4;932.9;274.1;122.1;293.6;111.2;1423.4;93.9;22.6
668;Small non-multinational;45 Sale and repair of motor vehicles;2018;13300.3;5979.3;1073.0;288.3;161.0;295.7;90.7;1426.3;94.9;22.4
669;Small non-multinational;45 Sale and repair of motor vehicles;2019;14245.2;6537.1;1091.2;298.2;160.0;283.8;84.4;1552.0;98.0;22.8
670;Small non-multinational;45 Sale and repair of motor vehicles;2020;13450.5;6248.1;1075.1;237.9;140.0;250.7;78.0;1373.9;95.1;20.6
671;Small non-multinational;45 Sale and repair of motor vehicles;2021;14350.1;6150.3;1197.5;237.6;153.8;282.0;101.2;1288.7;94.2;19.4
672;Small non-multinational;46 Wholesale trade (no motor vehicles);2015;29876.4;18247.9;382.8;918.7;4746.5;9445.1;447.3;13261.8;215.6;140.7
673;Small non-multinational;46 Wholesale trade (no motor vehicles);2016;29676.9;18533.4;426.0;1007.6;4725.8;9129.0;668.6;13268.0;218.3;143.0
674;Small non-multinational;46 Wholesale trade (no motor vehicles);2017;30364.2;19864.3;453.1;964.4;4898.9;9916.4;486.5;14595.8;222.2;149.1
675;Small non-multinational;46 Wholesale trade (no motor vehicles);2018;32726.4;20834.1;446.0;858.2;5125.6;10321.4;478.3;14959.0;222.3;145.8
676;Small non-multinational;46 Wholesale trade (no motor vehicles);2019;35656.5;22331.8;493.0;733.4;5361.5;11315.4;403.1;15802.4;236.7;153.8
677;Small non-multinational;46 Wholesale trade (no motor vehicles);2020;37621.3;24457.6;563.3;730.5;5605.4;10634.8;434.5;16418.2;245.7;151.6
678;Small non-multinational;46 Wholesale trade (no motor vehicles);2021;43322.4;28969.8;583.5;804.8;6777.0;12893.0;574.3;20362.2;245.7;154.6
679;Small non-multinational;47 Retail trade (not in motor vehicles);2015;18048.6;11513.7;62.8;319.0;192.3;294.7;446.6;887.4;277.5;21.2
680;Small non-multinational;47 Retail trade (not in motor vehicles);2016;18786.1;11974.7;75.7;332.2;166.2;283.5;471.7;876.5;284.1;20.8
681;Small non-multinational;47 Retail trade (not in motor vehicles);2017;19132.4;12068.5;74.0;394.7;166.6;297.2;475.6;895.7;278.0;20.8
682;Small non-multinational;47 Retail trade (not in motor vehicles);2018;19087.7;12114.9;70.0;409.4;161.3;295.7;488.2;915.2;286.1;21.5
683;Small non-multinational;47 Retail trade (not in motor vehicles);2019;20335.9;12723.7;83.5;327.4;199.5;317.8;526.4;983.8;290.4;22.5
684;Small non-multinational;47 Retail trade (not in motor vehicles);2020;22006.2;13776.3;88.5;667.9;215.6;341.4;370.6;923.1;311.1;21.5
685;Small non-multinational;47 Retail trade (not in motor vehicles);2021;23460.1;15003.7;141.6;411.8;218.9;393.6;364.2;1054.0;323.9;22.9
686;Small non-multinational;H Transportation and storage;2015;22912.5;9784.3;630.3;1554.7;1579.2;1493.8;5565.5;6987.4;126.5;80.4
687;Small non-multinational;H Transportation and storage;2016;22967.5;10037.7;394.4;1578.8;1627.2;1572.9;5485.3;7178.5;127.6;82.5
688;Small non-multinational;H Transportation and storage;2017;24449.6;10687.0;604.8;1749.1;1726.3;1712.4;6323.2;7636.2;132.8;86.2
689;Small non-multinational;H Transportation and storage;2018;26243.8;10977.1;583.9;1839.2;1852.6;1802.7;6334.4;7787.7;136.5;88.1
690;Small non-multinational;H Transportation and storage;2019;28804.6;12582.7;751.8;1900.8;2059.8;2069.4;6331.2;8772.7;145.1;92.7
691;Small non-multinational;H Transportation and storage;2020;28362.5;12158.5;616.1;1914.6;2040.5;2094.1;6095.4;8516.4;148.9;92.7
692;Small non-multinational;H Transportation and storage;2021;34477.0;14145.0;657.9;1999.5;2563.4;2742.5;6994.0;10056.3;160.4;103.3
693;Small non-multinational;I Accommodation and food serving;2015;17797.0;8583.9;1096.3;124.5;0.0;0.0;1191.9;1231.6;201.8;27.3
694;Small non-multinational;I Accommodation and food serving;2016;19179.7;9368.1;1189.8;112.2;0.0;0.0;1309.8;1359.7;212.6;29.2
695;Small non-multinational;I Accommodation and food serving;2017;20444.3;9972.2;1187.8;123.8;0.0;0.0;1481.2;1508.2;221.5;31.4
696;Small non-multinational;I Accommodation and food serving;2018;22237.8;10924.7;1234.7;134.6;0.0;0.0;1885.9;1803.4;235.7;36.4
697;Small non-multinational;I Accommodation and food serving;2019;23682.8;11611.4;1363.2;145.3;0.0;0.0;1984.3;1914.6;248.8;38.5
698;Small non-multinational;I Accommodation and food serving;2020;16247.7;6812.3;980.0;86.4;0.0;0.0;884.1;1014.2;235.1;32.5
699;Small non-multinational;I Accommodation and food serving;2021;17784.3;7613.7;1334.0;101.8;0.0;0.0;742.7;1090.4;229.6;30.5
700;Small non-multinational;J Information and communication;2015;16699.5;9495.8;318.6;1131.7;80.3;336.7;1193.6;3222.8;126.1;41.5
701;Small non-multinational;J Information and communication;2016;18287.9;9325.5;409.2;574.9;86.0;443.5;1106.4;3085.9;128.8;42.3
702;Small non-multinational;J Information and communication;2017;16906.4;10391.3;392.7;733.2;131.3;263.3;1294.6;3899.3;132.9;50.2
703;Small non-multinational;J Information and communication;2018;20975.7;11131.7;446.6;806.5;126.9;337.7;1500.8;4248.0;144.5;55.0
704;Small non-multinational;J Information and communication;2019;23073.9;13832.3;492.7;1080.2;172.0;397.5;1612.5;5402.1;160.1;62.3
705;Small non-multinational;J Information and communication;2020;24588.0;14400.5;537.4;820.6;131.6;444.4;1566.6;5397.0;168.8;62.8
706;Small non-multinational;J Information and communication;2021;27736.7;15738.6;550.6;1084.1;158.0;467.3;1924.6;6068.0;179.5;68.5
707;Small non-multinational;58-60 Publishing, movie, radio and  TV;2015;4316.0;1429.8;68.1;699.6;46.5;0.0;314.0;398.8;23.1;5.8
708;Small non-multinational;58-60 Publishing, movie, radio and  TV;2016;3207.8;1393.6;74.3;131.0;51.9;0.0;189.9;431.9;22.6;7.0
709;Small non-multinational;58-60 Publishing, movie, radio and  TV;2017;3672.1;1601.4;77.5;122.3;104.2;0.0;256.2;525.2;21.4;7.4
710;Small non-multinational;58-60 Publishing, movie, radio and  TV;2018;3714.3;1583.8;75.1;153.6;56.1;0.0;258.7;501.2;25.7;8.4
711;Small non-multinational;58-60 Publishing, movie, radio and  TV;2019;3412.5;1473.2;88.7;131.6;86.2;0.0;230.6;503.6;24.9;8.7
712;Small non-multinational;58-60 Publishing, movie, radio and  TV;2020;3429.3;1493.1;86.5;117.9;47.8;0.0;154.7;444.1;25.2;7.8
713;Small non-multinational;58-60 Publishing, movie, radio and  TV;2021;4016.0;1660.1;110.9;144.6;59.3;0.0;247.3;534.6;27.3;9.1
714;Small non-multinational;61 Telecommunications;2015;1013.5;400.1;165.2;125.3;0.0;0.0;424.6;203.7;3.3;1.7
715;Small non-multinational;61 Telecommunications;2016;1110.7;324.2;199.1;114.2;0.0;0.0;713.3;227.5;3.2;2.2
716;Small non-multinational;61 Telecommunications;2017;1271.4;353.6;210.4;75.1;0.0;0.0;155.2;93.0;3.4;0.9
717;Small non-multinational;61 Telecommunications;2018;999.8;315.5;224.8;81.5;0.0;0.0;272.9;125.1;3.0;1.2
718;Small non-multinational;61 Telecommunications;2019;881.9;285.1;242.9;125.7;0.0;0.0;194.0;99.8;3.0;1.0
719;Small non-multinational;61 Telecommunications;2020;893.4;245.0;216.2;133.7;0.0;0.0;229.4;89.6;2.3;0.8
720;Small non-multinational;61 Telecommunications;2021;786.6;195.9;227.4;138.4;0.0;0.0;100.5;50.9;3.0;0.8
721;Small non-multinational;62-63 IT- and information services;2015;11370.0;7665.9;85.3;306.9;33.7;336.7;455.0;2620.3;99.7;34.0
722;Small non-multinational;62-63 IT- and information services;2016;13969.3;7607.8;135.8;329.7;34.1;443.5;203.1;2426.5;102.9;33.1
723;Small non-multinational;62-63 IT- and information services;2017;11962.9;8436.3;104.7;535.8;27.1;263.3;883.3;3281.1;108.1;41.9
724;Small non-multinational;62-63 IT- and information services;2018;16261.6;9232.5;146.7;571.5;70.9;337.7;969.2;3621.6;115.8;45.4
725;Small non-multinational;62-63 IT- and information services;2019;18779.4;12074.0;161.1;822.8;85.8;397.5;1187.9;4798.7;132.2;52.5
726;Small non-multinational;62-63 IT- and information services;2020;20265.2;12662.4;234.7;569.0;83.8;444.4;1182.6;4863.3;141.2;54.1
727;Small non-multinational;62-63 IT- and information services;2021;22934.1;13882.7;212.4;801.2;98.7;467.3;1576.8;5482.5;149.1;58.7
728;Small non-multinational;K Financial institutions;2015;;;;;;;;;;
729;Small non-multinational;K Financial institutions;2016;;;;;;;;;;
730;Small non-multinational;K Financial institutions;2017;;;;;;;;;;
731;Small non-multinational;K Financial institutions;2018;;;;;;;;;;
732;Small non-multinational;K Financial institutions;2019;;;;;;;;;;
733;Small non-multinational;K Financial institutions;2020;;;;;;;;;;
734;Small non-multinational;K Financial institutions;2021;;;;;;;;;;
735;Small non-multinational;64 Financial institutions, no insurance;2015;;;;;;;;;;
736;Small non-multinational;64 Financial institutions, no insurance;2016;;;;;;;;;;
737;Small non-multinational;64 Financial institutions, no insurance;2017;;;;;;;;;;
738;Small non-multinational;64 Financial institutions, no insurance;2018;;;;;;;;;;
739;Small non-multinational;64 Financial institutions, no insurance;2019;;;;;;;;;;
740;Small non-multinational;64 Financial institutions, no insurance;2020;;;;;;;;;;
741;Small non-multinational;64 Financial institutions, no insurance;2021;;;;;;;;;;
742;Small non-multinational;65 Insurance and pension funding;2015;;;;;;;;;;
743;Small non-multinational;65 Insurance and pension funding;2016;;;;;;;;;;
744;Small non-multinational;65 Insurance and pension funding;2017;;;;;;;;;;
745;Small non-multinational;65 Insurance and pension funding;2018;;;;;;;;;;
746;Small non-multinational;65 Insurance and pension funding;2019;;;;;;;;;;
747;Small non-multinational;65 Insurance and pension funding;2020;;;;;;;;;;
748;Small non-multinational;65 Insurance and pension funding;2021;;;;;;;;;;
749;Small non-multinational;66 Other financial services;2015;;;;;;;;;;
750;Small non-multinational;66 Other financial services;2016;;;;;;;;;;
751;Small non-multinational;66 Other financial services;2017;;;;;;;;;;
752;Small non-multinational;66 Other financial services;2018;;;;;;;;;;
753;Small non-multinational;66 Other financial services;2019;;;;;;;;;;
754;Small non-multinational;66 Other financial services;2020;;;;;;;;;;
755;Small non-multinational;66 Other financial services;2021;;;;;;;;;;
756;Small non-multinational;L Renting, buying, selling real estate;2015;30938.2;21339.4;213.0;397.4;0.0;0.0;413.6;3687.2;49.7;6.9
757;Small non-multinational;L Renting, buying, selling real estate;2016;32312.0;22201.2;186.0;250.6;0.0;0.0;402.0;3490.3;52.3;6.6
758;Small non-multinational;L Renting, buying, selling real estate;2017;33827.6;23938.8;165.1;192.6;0.0;0.0;235.7;3681.8;52.4;6.9
759;Small non-multinational;L Renting, buying, selling real estate;2018;34087.9;23435.6;166.8;187.5;0.0;0.0;300.2;3772.3;52.4;7.0
760;Small non-multinational;L Renting, buying, selling real estate;2019;38333.3;26657.5;181.7;178.7;0.0;0.0;496.5;4127.3;54.4;7.3
761;Small non-multinational;L Renting, buying, selling real estate;2020;34452.8;26720.1;174.1;177.1;0.0;0.0;266.9;3922.4;52.7;6.9
762;Small non-multinational;L Renting, buying, selling real estate;2021;34686.7;27539.6;240.2;260.5;0.0;0.0;194.7;4229.0;52.9;7.1
763;Small non-multinational;68 Renting, buying, selling real estate;2015;30938.2;21339.4;213.0;397.4;0.0;0.0;413.6;3687.2;49.7;6.9
764;Small non-multinational;68 Renting, buying, selling real estate;2016;32312.0;22201.2;186.0;250.6;0.0;0.0;402.0;3490.3;52.3;6.6
765;Small non-multinational;68 Renting, buying, selling real estate;2017;33827.6;23938.8;165.1;192.6;0.0;0.0;235.7;3681.8;52.4;6.9
766;Small non-multinational;68 Renting, buying, selling real estate;2018;34087.9;23435.6;166.8;187.5;0.0;0.0;300.2;3772.3;52.4;7.0
767;Small non-multinational;68 Renting, buying, selling real estate;2019;38333.3;26657.5;181.7;178.7;0.0;0.0;496.5;4127.3;54.4;7.3
768;Small non-multinational;68 Renting, buying, selling real estate;2020;34452.8;26720.1;174.1;177.1;0.0;0.0;266.9;3922.4;52.7;6.9
769;Small non-multinational;68 Renting, buying, selling real estate;2021;34686.7;27539.6;240.2;260.5;0.0;0.0;194.7;4229.0;52.9;7.1
770;Small non-multinational;M-N Business services;2015;64086.3;38465.6;673.9;1800.1;101.1;94.6;8985.4;18191.7;760.1;321.9
771;Small non-multinational;M-N Business services;2016;69199.4;40905.8;755.6;2045.5;101.8;114.0;4823.7;15793.9;804.5;303.8
772;Small non-multinational;M-N Business services;2017;71854.5;43110.2;814.8;2951.2;128.2;105.4;6000.7;17149.0;835.0;326.2
773;Small non-multinational;M-N Business services;2018;78552.2;46131.0;856.5;3964.0;122.9;130.6;6987.3;18166.7;881.5;343.2
774;Small non-multinational;M-N Business services;2019;77775.1;45553.9;978.7;4133.3;214.8;127.5;5982.6;17215.5;865.3;322.3
775;Small non-multinational;M-N Business services;2020;84817.4;48888.3;1043.1;3988.0;191.0;161.0;6171.4;18045.3;937.8;345.9
776;Small non-multinational;M-N Business services;2021;101350.4;57452.7;1021.8;4733.4;182.8;238.5;7022.6;21452.4;957.6;369.9
777;Small non-multinational;M Other specialised business services;2015;39544.8;24794.6;343.5;673.0;96.3;81.6;1863.1;9550.0;340.6;127.5
778;Small non-multinational;M Other specialised business services;2016;44535.9;26619.7;440.2;972.5;96.5;100.0;2269.1;10134.7;368.9;136.8
779;Small non-multinational;M Other specialised business services;2017;46020.6;27867.3;483.0;862.9;123.0;89.8;2399.5;10825.4;376.6;141.0
780;Small non-multinational;M Other specialised business services;2018;49961.2;29201.5;471.7;1022.8;117.8;112.1;2453.1;10957.2;389.0;143.3
781;Small non-multinational;M Other specialised business services;2019;46420.8;26713.0;529.2;1135.8;209.1;104.3;2705.7;9823.9;331.9;112.5
782;Small non-multinational;M Other specialised business services;2020;55568.9;32460.0;543.3;955.2;183.8;143.6;3248.6;12054.3;422.4;153.2
783;Small non-multinational;M Other specialised business services;2021;65326.5;37507.1;482.8;921.3;175.6;219.7;2987.2;14427.0;474.0;180.6
784;Small non-multinational;69-70 Legal and management consultancy;2015;22077.9;15257.4;67.9;208.0;32.3;41.8;830.6;6354.7;169.3;69.0
785;Small non-multinational;69-70 Legal and management consultancy;2016;25539.6;16473.1;86.0;490.6;40.4;52.8;1472.0;7037.5;184.3;77.3
786;Small non-multinational;69-70 Legal and management consultancy;2017;25392.5;16902.1;86.0;334.1;46.9;51.0;1493.5;7396.0;179.8;76.5
787;Small non-multinational;69-70 Legal and management consultancy;2018;27701.6;17513.2;89.8;380.1;47.2;57.1;1527.2;7444.5;186.5;77.4
788;Small non-multinational;69-70 Legal and management consultancy;2019;22953.0;14418.5;89.6;504.3;50.2;47.9;1813.7;6065.9;115.3;42.6
789;Small non-multinational;69-70 Legal and management consultancy;2020;32038.5;19931.8;110.2;305.8;53.0;96.1;2029.8;8353.9;202.5;82.9
790;Small non-multinational;69-70 Legal and management consultancy;2021;39895.0;23738.6;80.9;305.3;66.3;163.8;1635.1;10141.0;250.9;106.8
791;Small non-multinational;71 Architects, technical services etc.;2015;6767.8;4350.4;99.5;96.8;42.0;2.4;335.1;952.7;66.1;14.4
792;Small non-multinational;71 Architects, technical services etc.;2016;7336.2;4650.7;117.8;26.7;32.1;1.9;101.0;774.5;69.5;11.6
793;Small non-multinational;71 Architects, technical services etc.;2017;8936.1;5153.3;139.4;25.4;58.0;2.9;90.6;860.9;79.1;13.3
794;Small non-multinational;71 Architects, technical services etc.;2018;9647.8;5690.9;154.3;29.1;50.8;2.4;116.6;906.7;76.6;12.1
795;Small non-multinational;71 Architects, technical services etc.;2019;10519.7;5959.4;199.7;39.6;135.6;4.1;136.6;991.4;86.6;14.3
796;Small non-multinational;71 Architects, technical services etc.;2020;10816.9;6295.8;168.0;44.2;109.2;5.8;236.4;1029.5;86.8;14.1
797;Small non-multinational;71 Architects, technical services etc.;2021;11402.4;6857.2;166.6;67.7;86.7;5.3;337.2;1282.4;88.9;16.5
798;Small non-multinational;72 Research and development;2015;890.1;467.4;29.1;89.3;11.5;20.6;242.3;240.1;2.2;1.1
799;Small non-multinational;72 Research and development;2016;1085.2;504.9;40.6;79.4;14.4;24.7;268.5;252.1;10.3;5.1
800;Small non-multinational;72 Research and development;2017;1154.3;509.2;61.5;54.5;7.9;22.9;267.8;247.7;11.3;5.5
801;Small non-multinational;72 Research and development;2018;1498.3;643.0;75.6;69.6;11.8;39.0;293.1;293.1;12.4;5.6
802;Small non-multinational;72 Research and development;2019;1600.4;733.7;89.8;69.3;11.3;39.6;271.5;313.8;14.4;6.1
803;Small non-multinational;72 Research and development;2020;1600.1;683.0;113.8;82.4;13.5;33.7;334.3;302.9;14.8;6.5
804;Small non-multinational;72 Research and development;2021;1907.9;712.7;113.0;89.2;13.4;42.7;308.8;296.2;16.0;6.6
805;Small non-multinational;73-75 Advertising, design and other;2015;9809.0;4719.4;147.1;279.0;10.5;16.7;455.1;2002.4;103.0;43.1
806;Small non-multinational;73-75 Advertising, design and other;2016;10574.9;4990.9;195.9;375.9;9.6;20.6;427.6;2070.6;104.8;42.8
807;Small non-multinational;73-75 Advertising, design and other;2017;10537.8;5302.7;196.0;448.9;10.1;13.1;547.6;2320.7;106.4;45.8
808;Small non-multinational;73-75 Advertising, design and other;2018;11113.5;5354.4;152.0;544.0;8.0;13.6;516.1;2313.0;113.5;48.2
809;Small non-multinational;73-75 Advertising, design and other;2019;11347.7;5601.4;150.1;522.5;11.9;12.7;483.8;2452.9;115.5;49.4
810;Small non-multinational;73-75 Advertising, design and other;2020;11113.3;5549.4;151.2;522.8;8.1;8.0;648.2;2368.0;118.2;49.7
811;Small non-multinational;73-75 Advertising, design and other;2021;12121.3;6198.6;122.3;459.1;9.2;8.0;706.1;2707.4;118.2;50.7
812;Small non-multinational;N Renting and other business support;2015;24541.5;13671.0;330.4;1127.1;4.8;13.0;7122.3;8641.6;419.5;194.3
813;Small non-multinational;N Renting and other business support;2016;24663.6;14286.1;315.4;1073.0;5.3;14.0;2554.7;5659.3;435.6;167.0
814;Small non-multinational;N Renting and other business support;2017;25833.9;15242.9;331.9;2088.3;5.2;15.5;3601.2;6323.7;458.5;185.2
815;Small non-multinational;N Renting and other business support;2018;28591.0;16929.5;384.8;2941.2;5.1;18.5;4534.2;7209.4;492.5;199.8
816;Small non-multinational;N Renting and other business support;2019;31354.4;18840.9;449.5;2997.5;5.7;23.1;3276.8;7391.6;533.4;209.8
817;Small non-multinational;N Renting and other business support;2020;29248.5;16428.3;499.8;3032.8;7.2;17.3;2922.7;5991.1;515.4;192.7
818;Small non-multinational;N Renting and other business support;2021;36023.9;19945.6;539.0;3812.1;7.2;18.8;4035.4;7025.4;483.5;189.3
819;Small non-multinational;77 Renting and leasing of tangible goods;2015;3898.4;1941.4;17.5;643.4;0.0;0.0;6749.5;4266.8;14.8;38.1
820;Small non-multinational;77 Renting and leasing of tangible goods;2016;4303.2;2179.9;22.1;554.7;0.0;0.0;2122.7;1337.0;15.8;9.6
821;Small non-multinational;77 Renting and leasing of tangible goods;2017;4365.6;2332.3;25.5;589.1;0.0;0.0;2024.0;1399.5;17.5;10.8
822;Small non-multinational;77 Renting and leasing of tangible goods;2018;5275.9;2604.5;27.3;1620.7;0.0;0.0;2987.0;1778.8;17.9;12.6
