ID;CountryOfCitizenship;Sex;Age;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2;FollowUpAsylumRequests_3
532;Sierra Leone;Total men and women;Younger than 15 years;2007;60;40;20
533;Sierra Leone;Total men and women;Younger than 15 years;2008;40;30;10
534;Sierra Leone;Total men and women;Younger than 15 years;2009;40;30;10
535;Sierra Leone;Total men and women;Younger than 15 years;2010;30;30;0
536;Sierra Leone;Total men and women;15 to 17 years;2007;20;20;0
537;Sierra Leone;Total men and women;15 to 17 years;2008;10;10;0
538;Sierra Leone;Total men and women;15 to 17 years;2009;20;20;0
539;Sierra Leone;Total men and women;15 to 17 years;2010;10;10;0
540;Sierra Leone;Total men and women;18 years or older;2007;150;80;80
541;Sierra Leone;Total men and women;18 years or older;2008;180;90;90
542;Sierra Leone;Total men and women;18 years or older;2009;130;70;60
543;Sierra Leone;Total men and women;18 years or older;2010;100;80;20
544;Sierra Leone;Men;All ages;2007;120;60;60
545;Sierra Leone;Men;All ages;2008;150;70;80
546;Sierra Leone;Men;All ages;2009;100;60;40
547;Sierra Leone;Men;All ages;2010;70;50;20
548;Sierra Leone;Men;Younger than 15 years;2007;20;20;10
549;Sierra Leone;Men;Younger than 15 years;2008;20;10;10
550;Sierra Leone;Men;Younger than 15 years;2009;10;10;0
551;Sierra Leone;Men;Younger than 15 years;2010;20;10;0
552;Sierra Leone;Men;15 to 17 years;2007;10;10;0
553;Sierra Leone;Men;15 to 17 years;2008;10;10;0
554;Sierra Leone;Men;15 to 17 years;2009;10;10;0
555;Sierra Leone;Men;15 to 17 years;2010;0;0;0
556;Sierra Leone;Men;18 years or older;2007;90;40;50
557;Sierra Leone;Men;18 years or older;2008;120;60;70
558;Sierra Leone;Men;18 years or older;2009;80;40;40
559;Sierra Leone;Men;18 years or older;2010;50;40;10
560;Sierra Leone;Women;All ages;2007;110;80;40
561;Sierra Leone;Women;All ages;2008;80;50;20
562;Sierra Leone;Women;All ages;2009;90;60;20
563;Sierra Leone;Women;All ages;2010;70;70;10
564;Sierra Leone;Women;Younger than 15 years;2007;40;30;10
565;Sierra Leone;Women;Younger than 15 years;2008;20;10;0
566;Sierra Leone;Women;Younger than 15 years;2009;30;20;0
567;Sierra Leone;Women;Younger than 15 years;2010;20;20;0
568;Sierra Leone;Women;15 to 17 years;2007;10;10;0
569;Sierra Leone;Women;15 to 17 years;2008;10;10;0
570;Sierra Leone;Women;15 to 17 years;2009;10;10;0
571;Sierra Leone;Women;15 to 17 years;2010;10;10;0
572;Sierra Leone;Women;18 years or older;2007;70;40;30
573;Sierra Leone;Women;18 years or older;2008;50;30;20
574;Sierra Leone;Women;18 years or older;2009;50;30;20
575;Sierra Leone;Women;18 years or older;2010;50;40;10
576;Somalia;Total men and women;All ages;2007;2010;1900;110
577;Somalia;Total men and women;All ages;2008;3960;3840;120
578;Somalia;Total men and women;All ages;2009;6030;5890;140
579;Somalia;Total men and women;All ages;2010;3670;3370;300
580;Somalia;Total men and women;Younger than 15 years;2007;300;300;10
581;Somalia;Total men and women;Younger than 15 years;2008;940;920;20
582;Somalia;Total men and women;Younger than 15 years;2009;1270;1260;10
583;Somalia;Total men and women;Younger than 15 years;2010;1750;1730;20
584;Somalia;Total men and women;15 to 17 years;2007;120;110;0
585;Somalia;Total men and women;15 to 17 years;2008;290;290;0
586;Somalia;Total men and women;15 to 17 years;2009;570;560;10
587;Somalia;Total men and women;15 to 17 years;2010;370;370;0
588;Somalia;Total men and women;18 years or older;2007;1590;1490;100
589;Somalia;Total men and women;18 years or older;2008;2730;2640;100
590;Somalia;Total men and women;18 years or older;2009;4190;4070;130
591;Somalia;Total men and women;18 years or older;2010;1540;1270;280
592;Somalia;Men;All ages;2007;1260;1190;80
593;Somalia;Men;All ages;2008;2270;2200;70
594;Somalia;Men;All ages;2009;3970;3870;100
595;Somalia;Men;All ages;2010;1820;1620;200
596;Somalia;Men;Younger than 15 years;2007;170;160;0
597;Somalia;Men;Younger than 15 years;2008;490;480;10
598;Somalia;Men;Younger than 15 years;2009;650;650;0
599;Somalia;Men;Younger than 15 years;2010;880;870;10
600;Somalia;Men;15 to 17 years;2007;80;80;0
601;Somalia;Men;15 to 17 years;2008;190;190;0
602;Somalia;Men;15 to 17 years;2009;400;400;10
603;Somalia;Men;15 to 17 years;2010;220;220;0
604;Somalia;Men;18 years or older;2007;1020;950;70
605;Somalia;Men;18 years or older;2008;1590;1530;60
606;Somalia;Men;18 years or older;2009;2910;2820;90
607;Somalia;Men;18 years or older;2010;730;530;190
608;Somalia;Women;All ages;2007;740;710;30
609;Somalia;Women;All ages;2008;1690;1640;50
610;Somalia;Women;All ages;2009;2060;2020;40
611;Somalia;Women;All ages;2010;1850;1750;100
612;Somalia;Women;Younger than 15 years;2007;140;130;10
613;Somalia;Women;Younger than 15 years;2008;450;440;10
614;Somalia;Women;Younger than 15 years;2009;610;610;10
615;Somalia;Women;Younger than 15 years;2010;880;870;10
616;Somalia;Women;15 to 17 years;2007;40;40;0
617;Somalia;Women;15 to 17 years;2008;100;100;0
618;Somalia;Women;15 to 17 years;2009;170;170;0
619;Somalia;Women;15 to 17 years;2010;150;150;0
620;Somalia;Women;18 years or older;2007;570;540;30
621;Somalia;Women;18 years or older;2008;1140;1110;30
622;Somalia;Women;18 years or older;2009;1280;1250;30
623;Somalia;Women;18 years or older;2010;820;740;80
624;Sri Lanka;Total men and women;All ages;2007;160;100;50
625;Sri Lanka;Total men and women;All ages;2008;230;220;10
626;Sri Lanka;Total men and women;All ages;2009;220;190;30
627;Sri Lanka;Total men and women;All ages;2010;240;200;40
628;Sri Lanka;Total men and women;Younger than 15 years;2007;10;10;10
629;Sri Lanka;Total men and women;Younger than 15 years;2008;10;10;0
630;Sri Lanka;Total men and women;Younger than 15 years;2009;30;30;0
631;Sri Lanka;Total men and women;Younger than 15 years;2010;40;40;0
632;Sri Lanka;Total men and women;15 to 17 years;2007;0;0;0
633;Sri Lanka;Total men and women;15 to 17 years;2008;10;10;0
634;Sri Lanka;Total men and women;15 to 17 years;2009;10;10;0
635;Sri Lanka;Total men and women;15 to 17 years;2010;20;20;0
636;Sri Lanka;Total men and women;18 years or older;2007;140;100;50
637;Sri Lanka;Total men and women;18 years or older;2008;210;200;10
638;Sri Lanka;Total men and women;18 years or older;2009;180;150;20
639;Sri Lanka;Total men and women;18 years or older;2010;180;150;40
640;Sri Lanka;Men;All ages;2007;130;90;40
641;Sri Lanka;Men;All ages;2008;180;170;10
642;Sri Lanka;Men;All ages;2009;150;130;20
643;Sri Lanka;Men;All ages;2010;170;140;40
644;Sri Lanka;Men;Younger than 15 years;2007;10;0;10
645;Sri Lanka;Men;Younger than 15 years;2008;10;10;0
646;Sri Lanka;Men;Younger than 15 years;2009;20;20;0
647;Sri Lanka;Men;Younger than 15 years;2010;20;20;0
648;Sri Lanka;Men;15 to 17 years;2007;0;0;0
649;Sri Lanka;Men;15 to 17 years;2008;0;0;0
650;Sri Lanka;Men;15 to 17 years;2009;10;10;0
651;Sri Lanka;Men;15 to 17 years;2010;10;10;0
652;Sri Lanka;Men;18 years or older;2007;120;80;40
653;Sri Lanka;Men;18 years or older;2008;170;160;10
654;Sri Lanka;Men;18 years or older;2009;130;110;20
655;Sri Lanka;Men;18 years or older;2010;140;110;30
656;Sri Lanka;Women;All ages;2007;30;20;10
657;Sri Lanka;Women;All ages;2008;50;50;0
658;Sri Lanka;Women;All ages;2009;70;60;0
659;Sri Lanka;Women;All ages;2010;70;60;0
660;Sri Lanka;Women;Younger than 15 years;2007;10;10;0
661;Sri Lanka;Women;Younger than 15 years;2008;10;10;0
662;Sri Lanka;Women;Younger than 15 years;2009;20;20;0
663;Sri Lanka;Women;Younger than 15 years;2010;10;10;0
664;Sri Lanka;Women;15 to 17 years;2007;0;0;0
665;Sri Lanka;Women;15 to 17 years;2008;0;0;0
666;Sri Lanka;Women;15 to 17 years;2009;0;0;0
667;Sri Lanka;Women;15 to 17 years;2010;10;10;0
668;Sri Lanka;Women;18 years or older;2007;20;10;10
669;Sri Lanka;Women;18 years or older;2008;40;40;0
670;Sri Lanka;Women;18 years or older;2009;50;50;0
671;Sri Lanka;Women;18 years or older;2010;40;40;0
672;Sudan;Total men and women;All ages;2007;100;70;30
673;Sudan;Total men and women;All ages;2008;100;50;50
674;Sudan;Total men and women;All ages;2009;140;120;20
675;Sudan;Total men and women;All ages;2010;190;170;20
676;Sudan;Total men and women;Younger than 15 years;2007;20;10;10
677;Sudan;Total men and women;Younger than 15 years;2008;10;0;0
678;Sudan;Total men and women;Younger than 15 years;2009;10;10;0
679;Sudan;Total men and women;Younger than 15 years;2010;20;20;0
680;Sudan;Total men and women;15 to 17 years;2007;10;0;0
681;Sudan;Total men and women;15 to 17 years;2008;10;10;0
682;Sudan;Total men and women;15 to 17 years;2009;10;10;0
683;Sudan;Total men and women;15 to 17 years;2010;10;10;0
684;Sudan;Total men and women;18 years or older;2007;80;50;20
685;Sudan;Total men and women;18 years or older;2008;90;40;40
686;Sudan;Total men and women;18 years or older;2009;120;100;20
687;Sudan;Total men and women;18 years or older;2010;150;130;20
688;Sudan;Men;All ages;2007;60;30;20
689;Sudan;Men;All ages;2008;70;40;30
690;Sudan;Men;All ages;2009;110;100;20
691;Sudan;Men;All ages;2010;150;130;20
692;Sudan;Men;Younger than 15 years;2007;10;10;0
693;Sudan;Men;Younger than 15 years;2008;0;0;0
694;Sudan;Men;Younger than 15 years;2009;10;0;0
695;Sudan;Men;Younger than 15 years;2010;10;10;0
696;Sudan;Men;15 to 17 years;2007;10;0;0
697;Sudan;Men;15 to 17 years;2008;10;10;0
698;Sudan;Men;15 to 17 years;2009;10;10;0
699;Sudan;Men;15 to 17 years;2010;10;10;0
700;Sudan;Men;18 years or older;2007;40;30;20
701;Sudan;Men;18 years or older;2008;60;30;30
702;Sudan;Men;18 years or older;2009;100;80;20
703;Sudan;Men;18 years or older;2010;120;100;20
704;Sudan;Women;All ages;2007;40;30;10
705;Sudan;Women;All ages;2008;30;10;10
706;Sudan;Women;All ages;2009;30;20;0
707;Sudan;Women;All ages;2010;40;40;0
708;Sudan;Women;Younger than 15 years;2007;10;10;10
709;Sudan;Women;Younger than 15 years;2008;0;0;0
710;Sudan;Women;Younger than 15 years;2009;10;10;0
711;Sudan;Women;Younger than 15 years;2010;10;10;0
712;Sudan;Women;15 to 17 years;2007;0;0;0
713;Sudan;Women;15 to 17 years;2008;0;0;0
714;Sudan;Women;15 to 17 years;2009;0;0;0
715;Sudan;Women;15 to 17 years;2010;0;0;0
716;Sudan;Women;18 years or older;2007;30;30;10
717;Sudan;Women;18 years or older;2008;20;10;10
718;Sudan;Women;18 years or older;2009;20;20;0
719;Sudan;Women;18 years or older;2010;30;30;0
720;34;Total men and women;All ages;2007;150;100;40
721;34;Total men and women;All ages;2008;110;70;40
722;34;Total men and women;All ages;2009;90;70;20
723;34;Total men and women;All ages;2010;100;90;10
724;34;Total men and women;Younger than 15 years;2007;20;10;10
725;34;Total men and women;Younger than 15 years;2008;10;10;10
726;34;Total men and women;Younger than 15 years;2009;10;10;0
727;34;Total men and women;Younger than 15 years;2010;20;20;0
728;34;Total men and women;15 to 17 years;2007;0;0;0
729;34;Total men and women;15 to 17 years;2008;0;0;0
730;34;Total men and women;15 to 17 years;2009;0;0;0
731;34;Total men and women;15 to 17 years;2010;0;0;0
732;34;Total men and women;18 years or older;2007;130;90;40
733;34;Total men and women;18 years or older;2008;100;70;40
734;34;Total men and women;18 years or older;2009;80;60;20
735;34;Total men and women;18 years or older;2010;90;70;10
736;34;Men;All ages;2007;110;80;30
737;34;Men;All ages;2008;100;60;40
738;34;Men;All ages;2009;70;60;10
739;34;Men;All ages;2010;80;70;10
740;34;Men;Younger than 15 years;2007;10;0;10
741;34;Men;Younger than 15 years;2008;0;0;0
742;34;Men;Younger than 15 years;2009;10;10;0
743;34;Men;Younger than 15 years;2010;10;10;0
744;34;Men;15 to 17 years;2007;0;0;0
745;34;Men;15 to 17 years;2008;0;0;0
746;34;Men;15 to 17 years;2009;0;0;0
747;34;Men;15 to 17 years;2010;0;0;0
748;34;Men;18 years or older;2007;100;70;30
749;34;Men;18 years or older;2008;90;60;30
750;34;Men;18 years or older;2009;60;50;10
751;34;Men;18 years or older;2010;70;60;10
752;34;Women;All ages;2007;40;30;10
753;34;Women;All ages;2008;10;10;10
754;34;Women;All ages;2009;20;10;0
755;34;Women;All ages;2010;30;20;0
756;34;Women;Younger than 15 years;2007;10;10;0
757;34;Women;Younger than 15 years;2008;10;0;0
758;34;Women;Younger than 15 years;2009;0;0;0
759;34;Women;Younger than 15 years;2010;10;10;0
760;34;Women;15 to 17 years;2007;0;0;0
761;34;Women;15 to 17 years;2008;0;0;0
762;34;Women;15 to 17 years;2009;0;0;0
763;34;Women;15 to 17 years;2010;0;0;0
764;34;Women;18 years or older;2007;30;20;10
765;34;Women;18 years or older;2008;10;0;10
766;34;Women;18 years or older;2009;10;10;0
767;34;Women;18 years or older;2010;20;20;0
768;57;Total men and women;All ages;2007;560;350;210
769;57;Total men and women;All ages;2008;530;350;180
770;57;Total men and women;All ages;2009;700;590;110
771;57;Total men and women;All ages;2010;740;600;140
772;57;Total men and women;Younger than 15 years;2007;380;230;150
773;57;Total men and women;Younger than 15 years;2008;320;200;120
774;57;Total men and women;Younger than 15 years;2009;460;380;80
775;57;Total men and women;Younger than 15 years;2010;460;360;100
776;57;Total men and women;15 to 17 years;2007;20;10;0
777;57;Total men and women;15 to 17 years;2008;10;10;0
778;57;Total men and women;15 to 17 years;2009;30;30;0
779;57;Total men and women;15 to 17 years;2010;20;20;0
780;57;Total men and women;18 years or older;2007;160;110;60
781;57;Total men and women;18 years or older;2008;200;140;60
782;57;Total men and women;18 years or older;2009;220;180;30
783;57;Total men and women;18 years or older;2010;260;220;40
784;57;Men;All ages;2007;320;210;110
785;57;Men;All ages;2008;310;210;100
786;57;Men;All ages;2009;410;340;70
787;57;Men;All ages;2010;430;360;70
788;57;Men;Younger than 15 years;2007;190;120;70
789;57;Men;Younger than 15 years;2008;150;90;60
790;57;Men;Younger than 15 years;2009;230;180;50
791;57;Men;Younger than 15 years;2010;250;200;50
792;57;Men;15 to 17 years;2007;10;10;0
793;57;Men;15 to 17 years;2008;10;10;0
794;57;Men;15 to 17 years;2009;30;30;0
795;57;Men;15 to 17 years;2010;10;10;0
796;57;Men;18 years or older;2007;120;80;40
797;57;Men;18 years or older;2008;140;100;40
798;57;Men;18 years or older;2009;160;130;30
799;57;Men;18 years or older;2010;170;140;30
800;57;Women;All ages;2007;240;140;100
801;57;Women;All ages;2008;230;140;80
802;57;Women;All ages;2009;290;250;40
803;57;Women;All ages;2010;320;250;70
804;57;Women;Younger than 15 years;2007;190;110;80
805;57;Women;Younger than 15 years;2008;170;110;70
806;57;Women;Younger than 15 years;2009;230;200;30
807;57;Women;Younger than 15 years;2010;220;160;60
808;57;Women;15 to 17 years;2007;10;10;0
809;57;Women;15 to 17 years;2008;0;0;0
810;57;Women;15 to 17 years;2009;0;0;0
811;57;Women;15 to 17 years;2010;10;10;0
812;57;Women;18 years or older;2007;40;30;10
813;57;Women;18 years or older;2008;50;40;20
814;57;Women;18 years or older;2009;60;50;10
815;57;Women;18 years or older;2010;90;80;10
816;Other countries;Total men and women;All ages;2007;2070;1520;550
817;Other countries;Total men and women;All ages;2008;2310;1880;430
818;Other countries;Total men and women;All ages;2009;3370;3020;350
819;Other countries;Total men and women;All ages;2010;3810;3490;320
820;Other countries;Total men and women;Younger than 15 years;2007;310;220;90
821;Other countries;Total men and women;Younger than 15 years;2008;310;270;40
822;Other countries;Total men and women;Younger than 15 years;2009;420;380;50
823;Other countries;Total men and women;Younger than 15 years;2010;650;610;40
824;Other countries;Total men and women;15 to 17 years;2007;160;150;10
825;Other countries;Total men and women;15 to 17 years;2008;160;150;20
826;Other countries;Total men and women;15 to 17 years;2009;190;180;10
827;Other countries;Total men and women;15 to 17 years;2010;180;170;10
828;Other countries;Total men and women;18 years or older;2007;1600;1150;460
829;Other countries;Total men and women;18 years or older;2008;1840;1460;370
830;Other countries;Total men and women;18 years or older;2009;2750;2460;290
831;Other countries;Total men and women;18 years or older;2010;2990;2710;280
832;Other countries;Men;All ages;2007;1330;980;350
833;Other countries;Men;All ages;2008;1470;1200;270
834;Other countries;Men;All ages;2009;2360;2120;240
835;Other countries;Men;All ages;2010;2470;2240;220
836;Other countries;Men;Younger than 15 years;2007;150;110;40
837;Other countries;Men;Younger than 15 years;2008;170;150;20
838;Other countries;Men;Younger than 15 years;2009;210;190;20
839;Other countries;Men;Younger than 15 years;2010;330;310;10
840;Other countries;Men;15 to 17 years;2007;110;100;10
841;Other countries;Men;15 to 17 years;2008;110;100;10
842;Other countries;Men;15 to 17 years;2009;140;140;10
843;Other countries;Men;15 to 17 years;2010;130;120;10
844;Other countries;Men;18 years or older;2007;1060;760;300
845;Other countries;Men;18 years or older;2008;1190;950;240
846;Other countries;Men;18 years or older;2009;2010;1790;210
847;Other countries;Men;18 years or older;2010;2020;1820;200
848;Other countries;Women;All ages;2007;750;540;200
849;Other countries;Women;All ages;2008;840;680;160
850;Other countries;Women;All ages;2009;1010;900;110
851;Other countries;Women;All ages;2010;1340;1250;100
852;Other countries;Women;Younger than 15 years;2007;150;110;40
853;Other countries;Women;Younger than 15 years;2008;140;120;20
854;Other countries;Women;Younger than 15 years;2009;210;180;30
855;Other countries;Women;Younger than 15 years;2010;320;300;20
856;Other countries;Women;15 to 17 years;2007;50;50;0
857;Other countries;Women;15 to 17 years;2008;60;50;10
858;Other countries;Women;15 to 17 years;2009;50;50;0
859;Other countries;Women;15 to 17 years;2010;50;50;0
860;Other countries;Women;18 years or older;2007;540;380;160
861;Other countries;Women;18 years or older;2008;650;510;130
862;Other countries;Women;18 years or older;2009;750;670;80
863;Other countries;Women;18 years or older;2010;970;890;80
