ID;RegioS;Periode;TotaleVaarweglengte_1;Rivier_2;RivierGekanaliseerd_3;Vaargeul_4;Kanaal_5;Voorhaven_6;MeerPlassengebied_7;VaarwegenInHavens_8;VaarwegkarakterOnbekend_9;Rijk_10;Provincies_11;Waterschappen_12;Gemeenten_13;Havenbedrijven_14;ParticuliereBeheerders_15;BeheerderOnbekend_16;Hoofdtransportas_17;Hoofdvaarweg_18;OverigeVaarweg_19;EconomischBelangOnbekend_20;KleineVaartuigenEnRecreatievaart0_21;SpitsI_22;KempenaarII_23;DortmundEemskanaalIII_24;RijnHernekanaalschipEenbaksduwstIV_25;GrootRijnschipEenbaksduwstelVa_26;TweebaksduwstelLangeFormatieVb_27;TweebaksduwstelBredeFormatieVla_28;VierbaksduwstelVlb_29;ZesbaksduwstelVlc_30;BevaarbaarheidOnbekend_31;VerbindingVoorMotorbotenAM_32;VerbindingVoorZeilMotorbotenAZM_33;OntsluitingVoorMotorbotenBM_34;OntsluitingVoorZeilMotorbotenBZM_35;BeperkteOntslVoorMotorbotenCM_36;BeperkteOntslVZeilMotorbotenCZM_37;BeperkteOntslVoorMotorbotenDM_38;RecreatievaartklasseOnbekend_39
153;Gelderland (PV);2018;501;241;145;1;49;11;20;28;8;407;0;61;13;0;0;21;106;250;125;21;9;22;37;5;28;266;13;0;14;95;12;276;19;154;0;0;0;0;52
154;Utrecht (PV);2005;351;38;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;15;53;20;12;61;4;18;51;0;5;37;21;174;25;10;0;56;29
155;Utrecht (PV);2006;351;37;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;18;51;0;3;37;21;174;25;10;0;56;30
156;Utrecht (PV);2007;351;37;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;18;51;0;3;37;21;174;25;10;0;56;30
157;Utrecht (PV);2008;351;37;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;18;51;0;3;37;21;174;25;10;0;56;30
158;Utrecht (PV);2009;351;37;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;18;51;0;3;37;21;174;25;10;0;56;30
159;Utrecht (PV);2010;351;37;181;2;111;9;6;5;0;166;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;18;51;0;3;37;21;174;25;10;0;56;30
160;Utrecht (PV);2011;351;37;181;2;111;9;6;5;0;165;42;126;12;0;0;5;51;63;232;5;113;16;53;20;12;62;4;17;51;0;3;37;21;174;24;10;0;56;30
161;Utrecht (PV);2012;351;37;181;2;111;9;6;5;0;165;42;126;12;0;0;6;51;63;232;5;113;16;53;20;12;62;4;17;51;0;3;37;21;174;24;10;0;56;30
162;Utrecht (PV);2013;348;37;181;2;111;9;3;5;0;162;42;126;12;0;0;5;51;63;229;5;113;16;53;20;9;62;4;17;51;0;3;36;18;174;24;10;0;56;30
163;Utrecht (PV);2014;348;37;181;2;111;9;3;5;0;162;42;126;12;0;0;5;51;63;229;5;113;16;53;20;9;62;4;17;51;0;3;36;18;174;24;10;0;56;30
164;Utrecht (PV);2015;348;37;181;2;111;9;3;5;0;162;42;126;12;0;0;5;51;63;229;5;113;16;53;20;9;62;4;17;51;0;3;36;18;174;24;10;0;56;30
165;Utrecht (PV);2016;348;37;181;2;111;9;3;5;0;162;42;126;12;0;0;5;51;63;229;5;113;16;53;20;9;62;4;17;51;0;3;36;18;174;24;10;0;56;30
166;Utrecht (PV);2017;348;37;181;2;111;9;3;5;0;162;42;126;12;0;0;5;51;63;229;5;113;16;53;20;9;62;4;17;51;0;3;36;18;174;24;10;0;56;30
167;Utrecht (PV);2018;348;37;178;2;108;9;3;8;4;160;42;125;12;0;0;9;51;63;226;9;111;15;53;20;9;62;4;17;51;0;7;36;18;171;24;10;0;55;34
168;Noord-Holland (PV);2005;854;7;69;12;466;6;213;76;6;214;262;174;106;47;2;49;40;18;742;54;177;38;203;50;101;109;75;8;41;0;51;13;216;232;31;5;1;58;298
169;Noord-Holland (PV);2006;855;7;69;12;466;6;213;78;6;214;262;174;107;47;2;50;40;18;742;55;178;38;205;51;101;135;75;13;41;0;18;13;216;232;31;5;1;58;300
170;Noord-Holland (PV);2007;855;7;69;12;466;5;213;77;7;213;261;174;107;48;2;51;40;18;742;56;178;38;206;51;100;132;78;11;44;0;18;13;214;232;31;5;1;58;301
171;Noord-Holland (PV);2008;855;7;69;12;466;5;213;77;7;213;261;174;107;48;2;51;40;18;742;56;178;38;206;51;100;132;78;11;44;0;18;13;214;232;31;5;1;58;301
172;Noord-Holland (PV);2009;855;7;69;12;466;5;213;78;7;213;261;174;155;0;2;51;40;18;742;56;181;38;206;51;100;133;78;11;44;0;13;13;214;232;31;5;1;58;301
173;Noord-Holland (PV);2010;857;7;69;12;466;5;213;79;7;209;261;174;158;0;2;53;40;18;742;58;181;38;206;51;100;133;78;11;44;0;16;13;214;232;31;5;1;58;303
174;Noord-Holland (PV);2011;857;7;69;12;466;5;213;79;7;210;261;173;148;11;2;53;40;18;742;58;181;38;206;51;100;133;78;11;44;0;16;13;214;232;31;5;1;58;303
175;Noord-Holland (PV);2012;857;7;68;12;466;5;213;79;7;210;261;173;148;11;2;52;40;18;742;58;178;38;194;49;99;76;76;11;44;0;92;13;214;232;31;5;1;58;303
176;Noord-Holland (PV);2013;852;7;68;12;466;5;170;79;44;199;261;173;134;11;2;71;40;18;736;58;178;38;194;49;93;76;76;11;44;0;93;8;213;232;31;5;1;58;304
177;Noord-Holland (PV);2014;850;7;68;12;466;6;204;80;7;197;261;173;152;11;2;53;40;18;734;58;178;38;194;49;93;76;74;11;44;0;93;8;214;232;31;5;1;58;301
178;Noord-Holland (PV);2015;850;7;68;12;466;6;204;80;7;197;261;173;152;11;2;53;40;18;734;58;178;38;194;49;93;76;74;11;44;0;93;8;214;232;31;5;1;58;301
179;Noord-Holland (PV);2016;850;7;68;12;466;6;204;80;7;197;261;173;152;11;2;53;40;18;734;58;178;38;194;49;93;76;74;11;44;0;93;8;214;232;31;5;1;58;301
180;Noord-Holland (PV);2017;850;7;68;12;466;6;204;80;7;197;261;173;152;11;2;53;40;18;734;58;179;38;194;49;93;76;74;11;44;0;93;8;214;232;31;5;1;58;301
181;Noord-Holland (PV);2018;851;7;68;7;460;6;202;94;7;197;261;173;151;11;2;56;40;18;733;60;178;38;194;49;93;74;74;11;44;0;96;8;213;232;31;5;1;58;303
182;Zuid-Holland (PV);2005;939;193;142;151;255;4;26;153;14;324;162;156;42;136;0;118;192;66;563;118;131;33;118;102;53;84;0;97;42;165;113;27;201;108;163;9;0;87;344
183;Zuid-Holland (PV);2006;941;196;142;151;255;4;26;154;12;326;162;156;42;138;0;117;195;66;563;117;132;33;122;107;56;114;0;99;55;191;32;27;202;108;165;9;0;87;343
184;Zuid-Holland (PV);2007;939;196;142;151;251;4;26;155;15;322;162;159;42;131;0;122;190;66;561;122;132;33;122;107;56;114;0;99;55;185;36;27;202;108;165;9;0;87;341
185;Zuid-Holland (PV);2008;939;196;142;151;252;4;26;157;11;325;162;159;51;124;0;119;191;66;563;118;132;33;122;107;56;114;0;99;55;181;41;27;202;108;165;9;0;87;341
186;Zuid-Holland (PV);2009;939;196;142;151;252;4;26;156;11;325;162;159;51;124;0;119;191;66;563;118;132;33;122;107;56;114;0;99;55;180;41;27;202;108;165;9;0;87;341
187;Zuid-Holland (PV);2010;939;196;142;151;252;4;26;157;11;325;162;159;51;124;0;119;191;66;563;118;132;33;122;107;56;114;0;99;55;180;41;27;202;108;165;9;0;87;341
188;Zuid-Holland (PV);2011;940;196;142;152;252;4;26;156;12;325;162;160;50;124;0;119;191;66;563;119;132;33;122;107;56;114;0;99;55;180;42;28;202;107;165;9;0;87;342
189;Zuid-Holland (PV);2012;940;196;142;152;252;4;26;157;12;325;162;160;50;124;0;119;191;66;563;119;132;33;122;107;56;114;0;99;55;180;42;28;202;107;165;9;0;87;343
190;Zuid-Holland (PV);2013;935;187;142;151;252;4;26;156;16;315;162;160;50;124;0;124;184;66;562;123;132;33;122;106;56;114;0;98;55;172;46;28;171;108;156;9;0;60;404
191;Zuid-Holland (PV);2014;937;187;142;151;252;4;26;156;19;315;162;160;50;124;0;126;184;66;562;126;132;33;122;106;56;114;0;98;55;172;49;28;171;108;156;9;0;87;379
192;Zuid-Holland (PV);2015;937;187;142;151;252;4;26;156;19;315;162;160;50;124;0;126;184;66;562;126;132;33;122;106;56;114;0;98;55;172;48;28;171;108;156;9;0;87;379
193;Zuid-Holland (PV);2016;938;187;142;151;240;4;26;152;38;315;162;160;50;124;0;127;184;66;562;127;132;33;122;106;56;114;0;98;55;172;50;28;171;108;156;9;0;87;380
194;Zuid-Holland (PV);2017;938;187;142;151;240;4;26;152;38;315;162;160;50;124;0;127;184;66;562;127;132;33;122;106;56;114;0;98;54;172;50;28;171;108;156;9;0;87;380
195;Zuid-Holland (PV);2018;975;187;140;151;234;3;26;172;62;314;161;159;49;124;0;167;183;66;557;169;132;32;119;106;56;114;0;98;54;172;93;28;170;106;156;9;0;87;419
196;Zeeland (PV);2005;561;0;1;379;82;12;24;48;17;472;18;0;31;0;0;41;153;0;368;41;24;1;37;40;8;121;0;0;228;62;40;0;190;37;14;0;0;0;321
197;Zeeland (PV);2006;563;0;1;381;82;12;24;49;15;472;18;0;31;0;0;43;153;0;370;40;24;2;38;42;8;132;0;0;232;65;19;0;190;37;14;0;0;0;323
198;Zeeland (PV);2007;564;0;1;379;82;12;24;51;15;472;18;0;31;0;0;43;153;0;368;43;24;2;38;42;8;132;0;0;232;62;22;0;190;37;14;0;0;0;323
199;Zeeland (PV);2008;564;0;1;379;82;12;24;51;15;472;18;0;31;0;0;43;153;0;368;43;24;2;38;42;17;124;0;0;232;62;22;0;190;37;14;0;0;0;323
200;Zeeland (PV);2009;563;0;1;379;82;12;24;51;15;472;18;0;31;0;0;43;153;0;368;43;24;2;38;42;17;124;0;0;232;62;22;0;190;37;14;0;0;0;323
201;Zeeland (PV);2010;563;0;1;379;82;12;24;51;15;472;18;0;31;0;0;43;153;0;368;43;24;2;38;42;17;124;0;0;232;62;22;0;190;37;14;0;0;0;323
