ID;ClimateSectors;EmissionToAir;Periods;GreenhouseGasEmissions_1
2394;201 Manufacture of basic chemicals;Methane (CH4);2004;0.4
2395;201 Manufacture of basic chemicals;Methane (CH4);2005;0.4
2396;201 Manufacture of basic chemicals;Methane (CH4);2006;0.4
2397;201 Manufacture of basic chemicals;Methane (CH4);2007;0.4
2398;201 Manufacture of basic chemicals;Methane (CH4);2008;0.3
2399;201 Manufacture of basic chemicals;Methane (CH4);2009;0.3
2400;201 Manufacture of basic chemicals;Methane (CH4);2010;0.4
2401;201 Manufacture of basic chemicals;Methane (CH4);2011;0.4
2402;201 Manufacture of basic chemicals;Methane (CH4);2012;0.4
2403;201 Manufacture of basic chemicals;Methane (CH4);2013;0.4
2404;201 Manufacture of basic chemicals;Methane (CH4);2014;0.4
2405;201 Manufacture of basic chemicals;Methane (CH4);2015;0.4
2406;201 Manufacture of basic chemicals;Methane (CH4);2016;0.4
2407;201 Manufacture of basic chemicals;Methane (CH4);2017;0.4
2408;201 Manufacture of basic chemicals;Methane (CH4);2018;0.3
2409;201 Manufacture of basic chemicals;Methane (CH4);2019;0.4
2410;201 Manufacture of basic chemicals;Methane (CH4);2020;0.4
2411;201 Manufacture of basic chemicals;Methane (CH4);2021;0.4
2412;201 Manufacture of basic chemicals;Methane (CH4);2022;0.4
2413;201 Manufacture of basic chemicals;Methane (CH4);2023;0.4
2414;201 Manufacture of basic chemicals;Methane (CH4);2024;
2415;201 Manufacture of basic chemicals;F-gases;1990;4.7
2416;201 Manufacture of basic chemicals;F-gases;1991 ;3.7
2417;201 Manufacture of basic chemicals;F-gases;1992;4.7
2418;201 Manufacture of basic chemicals;F-gases;1993 ;5.3
2419;201 Manufacture of basic chemicals;F-gases;1994 ;6.8
2420;201 Manufacture of basic chemicals;F-gases;1995;6.1
2421;201 Manufacture of basic chemicals;F-gases;1996 ;7.5
2422;201 Manufacture of basic chemicals;F-gases;1997 ;7.8
2423;201 Manufacture of basic chemicals;F-gases;1998 ;8.8
2424;201 Manufacture of basic chemicals;F-gases;1999 ;4.0
2425;201 Manufacture of basic chemicals;F-gases;2000;3.0
2426;201 Manufacture of basic chemicals;F-gases;2001;0.8
2427;201 Manufacture of basic chemicals;F-gases;2002;0.7
2428;201 Manufacture of basic chemicals;F-gases;2003;0.6
2429;201 Manufacture of basic chemicals;F-gases;2004;0.5
2430;201 Manufacture of basic chemicals;F-gases;2005;0.3
2431;201 Manufacture of basic chemicals;F-gases;2006;0.4
2432;201 Manufacture of basic chemicals;F-gases;2007;0.3
2433;201 Manufacture of basic chemicals;F-gases;2008;0.2
2434;201 Manufacture of basic chemicals;F-gases;2009;0.4
2435;201 Manufacture of basic chemicals;F-gases;2010;0.6
2436;201 Manufacture of basic chemicals;F-gases;2011;0.3
2437;201 Manufacture of basic chemicals;F-gases;2012;0.2
2438;201 Manufacture of basic chemicals;F-gases;2013;0.3
2439;201 Manufacture of basic chemicals;F-gases;2014;0.1
2440;201 Manufacture of basic chemicals;F-gases;2015;0.1
2441;201 Manufacture of basic chemicals;F-gases;2016;0.2
2442;201 Manufacture of basic chemicals;F-gases;2017;0.1
2443;201 Manufacture of basic chemicals;F-gases;2018;0.3
2444;201 Manufacture of basic chemicals;F-gases;2019;0.4
2445;201 Manufacture of basic chemicals;F-gases;2020;0.1
2446;201 Manufacture of basic chemicals;F-gases;2021;0.3
2447;201 Manufacture of basic chemicals;F-gases;2022;0.2
2448;201 Manufacture of basic chemicals;F-gases;2023;0.1
2449;201 Manufacture of basic chemicals;F-gases;2024;
2450;Chemical and pharmaceutical products ;Total greenhouse gases;1990;0.5
2451;Chemical and pharmaceutical products ;Total greenhouse gases;1991 ;0.0
2452;Chemical and pharmaceutical products ;Total greenhouse gases;1992;0.0
2453;Chemical and pharmaceutical products ;Total greenhouse gases;1993 ;0.8
2454;Chemical and pharmaceutical products ;Total greenhouse gases;1994 ;0.5
2455;Chemical and pharmaceutical products ;Total greenhouse gases;1995;0.8
2456;Chemical and pharmaceutical products ;Total greenhouse gases;1996 ;0.9
2457;Chemical and pharmaceutical products ;Total greenhouse gases;1997 ;0.8
2458;Chemical and pharmaceutical products ;Total greenhouse gases;1998 ;1.0
2459;Chemical and pharmaceutical products ;Total greenhouse gases;1999 ;0.8
2460;Chemical and pharmaceutical products ;Total greenhouse gases;2000;0.8
2461;Chemical and pharmaceutical products ;Total greenhouse gases;2001;0.8
2462;Chemical and pharmaceutical products ;Total greenhouse gases;2002;0.7
2463;Chemical and pharmaceutical products ;Total greenhouse gases;2003;0.6
2464;Chemical and pharmaceutical products ;Total greenhouse gases;2004;0.6
2465;Chemical and pharmaceutical products ;Total greenhouse gases;2005;0.6
2466;Chemical and pharmaceutical products ;Total greenhouse gases;2006;0.6
2467;Chemical and pharmaceutical products ;Total greenhouse gases;2007;0.6
2468;Chemical and pharmaceutical products ;Total greenhouse gases;2008;0.5
2469;Chemical and pharmaceutical products ;Total greenhouse gases;2009;0.4
2470;Chemical and pharmaceutical products ;Total greenhouse gases;2010;0.5
2471;Chemical and pharmaceutical products ;Total greenhouse gases;2011;0.4
2472;Chemical and pharmaceutical products ;Total greenhouse gases;2012;0.7
2473;Chemical and pharmaceutical products ;Total greenhouse gases;2013;0.6
2474;Chemical and pharmaceutical products ;Total greenhouse gases;2014;0.6
2475;Chemical and pharmaceutical products ;Total greenhouse gases;2015;0.5
2476;Chemical and pharmaceutical products ;Total greenhouse gases;2016;0.5
2477;Chemical and pharmaceutical products ;Total greenhouse gases;2017;0.5
2478;Chemical and pharmaceutical products ;Total greenhouse gases;2018;0.5
2479;Chemical and pharmaceutical products ;Total greenhouse gases;2019;0.4
2480;Chemical and pharmaceutical products ;Total greenhouse gases;2020;0.4
2481;Chemical and pharmaceutical products ;Total greenhouse gases;2021;0.4
2482;Chemical and pharmaceutical products ;Total greenhouse gases;2022;0.4
2483;Chemical and pharmaceutical products ;Total greenhouse gases;2023;0.4
2484;Chemical and pharmaceutical products ;Total greenhouse gases;2024;
2485;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1990;0.5
2486;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1991 ;0.0
2487;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1992;0.0
2488;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1993 ;0.8
2489;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1994 ;0.5
2490;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1995;0.8
2491;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1996 ;0.8
2492;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1997 ;0.8
2493;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1998 ;0.9
2494;Chemical and pharmaceutical products ;Carbon dioxide (CO2);1999 ;0.8
2495;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2000;0.8
2496;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2001;0.8
2497;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2002;0.7
2498;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2003;0.6
2499;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2004;0.6
2500;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2005;0.6
2501;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2006;0.6
2502;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2007;0.6
2503;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2008;0.5
2504;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2009;0.4
2505;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2010;0.5
2506;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2011;0.4
2507;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2012;0.6
2508;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2013;0.6
2509;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2014;0.6
2510;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2015;0.5
2511;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2016;0.5
2512;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2017;0.4
2513;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2018;0.4
2514;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2019;0.4
2515;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2020;0.4
2516;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2021;0.4
2517;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2022;0.4
2518;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2023;0.4
2519;Chemical and pharmaceutical products ;Carbon dioxide (CO2);2024;
2520;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1990;0.0
2521;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1991 ;0.0
2522;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1992;0.0
2523;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1993 ;0.0
2524;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1994 ;0.0
2525;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1995;0.0
2526;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1996 ;0.0
2527;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1997 ;0.0
2528;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1998 ;0.0
2529;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);1999 ;0.0
2530;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2000;0.0
2531;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2001;0.0
2532;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2002;0.0
2533;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2003;0.0
2534;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2004;0.0
2535;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2005;0.0
2536;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2006;0.0
2537;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2007;0.0
2538;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2008;0.0
2539;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2009;0.0
2540;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2010;0.0
2541;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2011;0.0
2542;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2012;0.0
2543;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2013;0.0
2544;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2014;0.0
2545;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2015;0.0
2546;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2016;0.0
2547;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2017;0.0
2548;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2018;0.0
2549;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2019;0.0
2550;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2020;0.0
2551;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2021;0.0
2552;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2022;0.0
2553;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2023;0.0
2554;Chemical and pharmaceutical products ;Dinitrogen oxide (N2O);2024;
2555;Chemical and pharmaceutical products ;Methane (CH4);1990;0.0
2556;Chemical and pharmaceutical products ;Methane (CH4);1991 ;0.0
2557;Chemical and pharmaceutical products ;Methane (CH4);1992;0.0
2558;Chemical and pharmaceutical products ;Methane (CH4);1993 ;0.0
2559;Chemical and pharmaceutical products ;Methane (CH4);1994 ;0.0
2560;Chemical and pharmaceutical products ;Methane (CH4);1995;0.0
2561;Chemical and pharmaceutical products ;Methane (CH4);1996 ;0.0
2562;Chemical and pharmaceutical products ;Methane (CH4);1997 ;0.0
2563;Chemical and pharmaceutical products ;Methane (CH4);1998 ;0.0
2564;Chemical and pharmaceutical products ;Methane (CH4);1999 ;0.0
2565;Chemical and pharmaceutical products ;Methane (CH4);2000;0.0
2566;Chemical and pharmaceutical products ;Methane (CH4);2001;0.0
2567;Chemical and pharmaceutical products ;Methane (CH4);2002;0.0
2568;Chemical and pharmaceutical products ;Methane (CH4);2003;0.0
2569;Chemical and pharmaceutical products ;Methane (CH4);2004;0.0
2570;Chemical and pharmaceutical products ;Methane (CH4);2005;0.0
2571;Chemical and pharmaceutical products ;Methane (CH4);2006;0.0
2572;Chemical and pharmaceutical products ;Methane (CH4);2007;0.0
2573;Chemical and pharmaceutical products ;Methane (CH4);2008;0.0
2574;Chemical and pharmaceutical products ;Methane (CH4);2009;0.0
2575;Chemical and pharmaceutical products ;Methane (CH4);2010;0.0
2576;Chemical and pharmaceutical products ;Methane (CH4);2011;0.0
2577;Chemical and pharmaceutical products ;Methane (CH4);2012;0.0
2578;Chemical and pharmaceutical products ;Methane (CH4);2013;0.0
2579;Chemical and pharmaceutical products ;Methane (CH4);2014;0.0
2580;Chemical and pharmaceutical products ;Methane (CH4);2015;0.0
2581;Chemical and pharmaceutical products ;Methane (CH4);2016;0.0
2582;Chemical and pharmaceutical products ;Methane (CH4);2017;0.0
2583;Chemical and pharmaceutical products ;Methane (CH4);2018;0.0
2584;Chemical and pharmaceutical products ;Methane (CH4);2019;0.0
2585;Chemical and pharmaceutical products ;Methane (CH4);2020;0.0
2586;Chemical and pharmaceutical products ;Methane (CH4);2021;0.0
2587;Chemical and pharmaceutical products ;Methane (CH4);2022;0.0
2588;Chemical and pharmaceutical products ;Methane (CH4);2023;0.0
2589;Chemical and pharmaceutical products ;Methane (CH4);2024;
2590;Chemical and pharmaceutical products ;F-gases;1990;0.0
2591;Chemical and pharmaceutical products ;F-gases;1991 ;0.0
2592;Chemical and pharmaceutical products ;F-gases;1992;0.0
2593;Chemical and pharmaceutical products ;F-gases;1993 ;0.0
2594;Chemical and pharmaceutical products ;F-gases;1994 ;0.0
2595;Chemical and pharmaceutical products ;F-gases;1995;0.0
2596;Chemical and pharmaceutical products ;F-gases;1996 ;0.0
2597;Chemical and pharmaceutical products ;F-gases;1997 ;0.0
2598;Chemical and pharmaceutical products ;F-gases;1998 ;0.0
2599;Chemical and pharmaceutical products ;F-gases;1999 ;0.0
2600;Chemical and pharmaceutical products ;F-gases;2000;0.0
2601;Chemical and pharmaceutical products ;F-gases;2001;0.0
2602;Chemical and pharmaceutical products ;F-gases;2002;0.0
2603;Chemical and pharmaceutical products ;F-gases;2003;0.0
2604;Chemical and pharmaceutical products ;F-gases;2004;0.0
2605;Chemical and pharmaceutical products ;F-gases;2005;0.0
2606;Chemical and pharmaceutical products ;F-gases;2006;0.0
2607;Chemical and pharmaceutical products ;F-gases;2007;0.0
2608;Chemical and pharmaceutical products ;F-gases;2008;0.0
2609;Chemical and pharmaceutical products ;F-gases;2009;0.0
2610;Chemical and pharmaceutical products ;F-gases;2010;0.0
2611;Chemical and pharmaceutical products ;F-gases;2011;0.0
2612;Chemical and pharmaceutical products ;F-gases;2012;0.0
2613;Chemical and pharmaceutical products ;F-gases;2013;0.0
2614;Chemical and pharmaceutical products ;F-gases;2014;0.0
2615;Chemical and pharmaceutical products ;F-gases;2015;0.0
2616;Chemical and pharmaceutical products ;F-gases;2016;0.0
2617;Chemical and pharmaceutical products ;F-gases;2017;0.0
2618;Chemical and pharmaceutical products ;F-gases;2018;0.0
2619;Chemical and pharmaceutical products ;F-gases;2019;0.0
2620;Chemical and pharmaceutical products ;F-gases;2020;0.0
2621;Chemical and pharmaceutical products ;F-gases;2021;0.0
2622;Chemical and pharmaceutical products ;F-gases;2022;0.0
2623;Chemical and pharmaceutical products ;F-gases;2023;0.0
2624;Chemical and pharmaceutical products ;F-gases;2024;
2625;23 Manufacture of building materials;Total greenhouse gases;1990;3.0
2626;23 Manufacture of building materials;Total greenhouse gases;1991 ;3.1
2627;23 Manufacture of building materials;Total greenhouse gases;1992;3.1
2628;23 Manufacture of building materials;Total greenhouse gases;1993 ;3.0
2629;23 Manufacture of building materials;Total greenhouse gases;1994 ;3.0
2630;23 Manufacture of building materials;Total greenhouse gases;1995;2.6
2631;23 Manufacture of building materials;Total greenhouse gases;1996 ;2.6
2632;23 Manufacture of building materials;Total greenhouse gases;1997 ;2.6
2633;23 Manufacture of building materials;Total greenhouse gases;1998 ;2.6
2634;23 Manufacture of building materials;Total greenhouse gases;1999 ;2.7
2635;23 Manufacture of building materials;Total greenhouse gases;2000;2.7
2636;23 Manufacture of building materials;Total greenhouse gases;2001;2.6
2637;23 Manufacture of building materials;Total greenhouse gases;2002;2.3
2638;23 Manufacture of building materials;Total greenhouse gases;2003;2.2
2639;23 Manufacture of building materials;Total greenhouse gases;2004;2.3
2640;23 Manufacture of building materials;Total greenhouse gases;2005;2.2
2641;23 Manufacture of building materials;Total greenhouse gases;2006;2.2
2642;23 Manufacture of building materials;Total greenhouse gases;2007;2.3
2643;23 Manufacture of building materials;Total greenhouse gases;2008;2.3
2644;23 Manufacture of building materials;Total greenhouse gases;2009;2.1
2645;23 Manufacture of building materials;Total greenhouse gases;2010;2.0
2646;23 Manufacture of building materials;Total greenhouse gases;2011;1.9
2647;23 Manufacture of building materials;Total greenhouse gases;2012;1.7
2648;23 Manufacture of building materials;Total greenhouse gases;2013;1.6
2649;23 Manufacture of building materials;Total greenhouse gases;2014;1.6
2650;23 Manufacture of building materials;Total greenhouse gases;2015;1.8
2651;23 Manufacture of building materials;Total greenhouse gases;2016;1.8
2652;23 Manufacture of building materials;Total greenhouse gases;2017;1.9
2653;23 Manufacture of building materials;Total greenhouse gases;2018;1.8
2654;23 Manufacture of building materials;Total greenhouse gases;2019;1.5
2655;23 Manufacture of building materials;Total greenhouse gases;2020;1.4
2656;23 Manufacture of building materials;Total greenhouse gases;2021;1.4
2657;23 Manufacture of building materials;Total greenhouse gases;2022;1.4
2658;23 Manufacture of building materials;Total greenhouse gases;2023;1.2
2659;23 Manufacture of building materials;Total greenhouse gases;2024;
2660;23 Manufacture of building materials;Carbon dioxide (CO2);1990;3.0
2661;23 Manufacture of building materials;Carbon dioxide (CO2);1991 ;3.1
2662;23 Manufacture of building materials;Carbon dioxide (CO2);1992;3.1
2663;23 Manufacture of building materials;Carbon dioxide (CO2);1993 ;3.0
2664;23 Manufacture of building materials;Carbon dioxide (CO2);1994 ;3.0
2665;23 Manufacture of building materials;Carbon dioxide (CO2);1995;2.6
2666;23 Manufacture of building materials;Carbon dioxide (CO2);1996 ;2.5
2667;23 Manufacture of building materials;Carbon dioxide (CO2);1997 ;2.6
2668;23 Manufacture of building materials;Carbon dioxide (CO2);1998 ;2.5
2669;23 Manufacture of building materials;Carbon dioxide (CO2);1999 ;2.7
2670;23 Manufacture of building materials;Carbon dioxide (CO2);2000;2.6
2671;23 Manufacture of building materials;Carbon dioxide (CO2);2001;2.6
2672;23 Manufacture of building materials;Carbon dioxide (CO2);2002;2.3
2673;23 Manufacture of building materials;Carbon dioxide (CO2);2003;2.2
2674;23 Manufacture of building materials;Carbon dioxide (CO2);2004;2.3
2675;23 Manufacture of building materials;Carbon dioxide (CO2);2005;2.2
2676;23 Manufacture of building materials;Carbon dioxide (CO2);2006;2.2
2677;23 Manufacture of building materials;Carbon dioxide (CO2);2007;2.3
2678;23 Manufacture of building materials;Carbon dioxide (CO2);2008;2.2
2679;23 Manufacture of building materials;Carbon dioxide (CO2);2009;2.1
2680;23 Manufacture of building materials;Carbon dioxide (CO2);2010;2.0
2681;23 Manufacture of building materials;Carbon dioxide (CO2);2011;1.9
2682;23 Manufacture of building materials;Carbon dioxide (CO2);2012;1.7
2683;23 Manufacture of building materials;Carbon dioxide (CO2);2013;1.5
2684;23 Manufacture of building materials;Carbon dioxide (CO2);2014;1.6
2685;23 Manufacture of building materials;Carbon dioxide (CO2);2015;1.8
2686;23 Manufacture of building materials;Carbon dioxide (CO2);2016;1.8
2687;23 Manufacture of building materials;Carbon dioxide (CO2);2017;1.9
2688;23 Manufacture of building materials;Carbon dioxide (CO2);2018;1.8
2689;23 Manufacture of building materials;Carbon dioxide (CO2);2019;1.5
2690;23 Manufacture of building materials;Carbon dioxide (CO2);2020;1.4
2691;23 Manufacture of building materials;Carbon dioxide (CO2);2021;1.4
2692;23 Manufacture of building materials;Carbon dioxide (CO2);2022;1.3
2693;23 Manufacture of building materials;Carbon dioxide (CO2);2023;1.2
2694;23 Manufacture of building materials;Carbon dioxide (CO2);2024;
2695;23 Manufacture of building materials;Dinitrogen oxide (N2O);1990;0.0
2696;23 Manufacture of building materials;Dinitrogen oxide (N2O);1991 ;0.0
2697;23 Manufacture of building materials;Dinitrogen oxide (N2O);1992;0.0
2698;23 Manufacture of building materials;Dinitrogen oxide (N2O);1993 ;0.0
2699;23 Manufacture of building materials;Dinitrogen oxide (N2O);1994 ;0.0
2700;23 Manufacture of building materials;Dinitrogen oxide (N2O);1995;0.0
2701;23 Manufacture of building materials;Dinitrogen oxide (N2O);1996 ;0.0
2702;23 Manufacture of building materials;Dinitrogen oxide (N2O);1997 ;0.0
2703;23 Manufacture of building materials;Dinitrogen oxide (N2O);1998 ;0.0
2704;23 Manufacture of building materials;Dinitrogen oxide (N2O);1999 ;0.0
2705;23 Manufacture of building materials;Dinitrogen oxide (N2O);2000;0.0
2706;23 Manufacture of building materials;Dinitrogen oxide (N2O);2001;0.0
2707;23 Manufacture of building materials;Dinitrogen oxide (N2O);2002;0.0
2708;23 Manufacture of building materials;Dinitrogen oxide (N2O);2003;0.0
2709;23 Manufacture of building materials;Dinitrogen oxide (N2O);2004;0.0
2710;23 Manufacture of building materials;Dinitrogen oxide (N2O);2005;0.0
2711;23 Manufacture of building materials;Dinitrogen oxide (N2O);2006;0.0
2712;23 Manufacture of building materials;Dinitrogen oxide (N2O);2007;0.0
2713;23 Manufacture of building materials;Dinitrogen oxide (N2O);2008;0.0
2714;23 Manufacture of building materials;Dinitrogen oxide (N2O);2009;0.0
2715;23 Manufacture of building materials;Dinitrogen oxide (N2O);2010;0.0
2716;23 Manufacture of building materials;Dinitrogen oxide (N2O);2011;0.0
2717;23 Manufacture of building materials;Dinitrogen oxide (N2O);2012;0.0
2718;23 Manufacture of building materials;Dinitrogen oxide (N2O);2013;0.0
2719;23 Manufacture of building materials;Dinitrogen oxide (N2O);2014;0.0
2720;23 Manufacture of building materials;Dinitrogen oxide (N2O);2015;0.0
2721;23 Manufacture of building materials;Dinitrogen oxide (N2O);2016;0.0
2722;23 Manufacture of building materials;Dinitrogen oxide (N2O);2017;0.0
2723;23 Manufacture of building materials;Dinitrogen oxide (N2O);2018;0.0
2724;23 Manufacture of building materials;Dinitrogen oxide (N2O);2019;0.0
2725;23 Manufacture of building materials;Dinitrogen oxide (N2O);2020;0.0
2726;23 Manufacture of building materials;Dinitrogen oxide (N2O);2021;0.0
2727;23 Manufacture of building materials;Dinitrogen oxide (N2O);2022;0.0
2728;23 Manufacture of building materials;Dinitrogen oxide (N2O);2023;0.0
2729;23 Manufacture of building materials;Dinitrogen oxide (N2O);2024;
2730;23 Manufacture of building materials;Methane (CH4);1990;0.0
2731;23 Manufacture of building materials;Methane (CH4);1991 ;0.0
2732;23 Manufacture of building materials;Methane (CH4);1992;0.0
2733;23 Manufacture of building materials;Methane (CH4);1993 ;0.0
2734;23 Manufacture of building materials;Methane (CH4);1994 ;0.0
2735;23 Manufacture of building materials;Methane (CH4);1995;0.0
2736;23 Manufacture of building materials;Methane (CH4);1996 ;0.0
2737;23 Manufacture of building materials;Methane (CH4);1997 ;0.0
2738;23 Manufacture of building materials;Methane (CH4);1998 ;0.0
2739;23 Manufacture of building materials;Methane (CH4);1999 ;0.0
2740;23 Manufacture of building materials;Methane (CH4);2000;0.0
2741;23 Manufacture of building materials;Methane (CH4);2001;0.0
2742;23 Manufacture of building materials;Methane (CH4);2002;0.0
2743;23 Manufacture of building materials;Methane (CH4);2003;0.0
2744;23 Manufacture of building materials;Methane (CH4);2004;0.0
2745;23 Manufacture of building materials;Methane (CH4);2005;0.0
2746;23 Manufacture of building materials;Methane (CH4);2006;0.0
2747;23 Manufacture of building materials;Methane (CH4);2007;0.0
2748;23 Manufacture of building materials;Methane (CH4);2008;0.0
2749;23 Manufacture of building materials;Methane (CH4);2009;0.0
2750;23 Manufacture of building materials;Methane (CH4);2010;0.0
2751;23 Manufacture of building materials;Methane (CH4);2011;0.0
2752;23 Manufacture of building materials;Methane (CH4);2012;0.0
2753;23 Manufacture of building materials;Methane (CH4);2013;0.0
2754;23 Manufacture of building materials;Methane (CH4);2014;0.0
2755;23 Manufacture of building materials;Methane (CH4);2015;0.0
2756;23 Manufacture of building materials;Methane (CH4);2016;0.0
2757;23 Manufacture of building materials;Methane (CH4);2017;0.0
2758;23 Manufacture of building materials;Methane (CH4);2018;0.0
2759;23 Manufacture of building materials;Methane (CH4);2019;0.0
2760;23 Manufacture of building materials;Methane (CH4);2020;0.0
2761;23 Manufacture of building materials;Methane (CH4);2021;0.0
2762;23 Manufacture of building materials;Methane (CH4);2022;0.0
2763;23 Manufacture of building materials;Methane (CH4);2023;0.0
2764;23 Manufacture of building materials;Methane (CH4);2024;
2765;23 Manufacture of building materials;F-gases;1990;0.0
2766;23 Manufacture of building materials;F-gases;1991 ;0.0
2767;23 Manufacture of building materials;F-gases;1992;0.0
2768;23 Manufacture of building materials;F-gases;1993 ;0.0
2769;23 Manufacture of building materials;F-gases;1994 ;0.0
2770;23 Manufacture of building materials;F-gases;1995;0.0
2771;23 Manufacture of building materials;F-gases;1996 ;0.0
2772;23 Manufacture of building materials;F-gases;1997 ;0.0
2773;23 Manufacture of building materials;F-gases;1998 ;0.0
2774;23 Manufacture of building materials;F-gases;1999 ;0.0
2775;23 Manufacture of building materials;F-gases;2000;0.0
2776;23 Manufacture of building materials;F-gases;2001;0.0
2777;23 Manufacture of building materials;F-gases;2002;0.0
2778;23 Manufacture of building materials;F-gases;2003;0.0
2779;23 Manufacture of building materials;F-gases;2004;0.0
2780;23 Manufacture of building materials;F-gases;2005;0.0
2781;23 Manufacture of building materials;F-gases;2006;0.0
2782;23 Manufacture of building materials;F-gases;2007;0.0
2783;23 Manufacture of building materials;F-gases;2008;0.0
2784;23 Manufacture of building materials;F-gases;2009;0.0
2785;23 Manufacture of building materials;F-gases;2010;0.0
2786;23 Manufacture of building materials;F-gases;2011;0.0
2787;23 Manufacture of building materials;F-gases;2012;0.0
2788;23 Manufacture of building materials;F-gases;2013;0.0
2789;23 Manufacture of building materials;F-gases;2014;0.0
2790;23 Manufacture of building materials;F-gases;2015;0.0
2791;23 Manufacture of building materials;F-gases;2016;0.0
2792;23 Manufacture of building materials;F-gases;2017;0.0
2793;23 Manufacture of building materials;F-gases;2018;0.0
2794;23 Manufacture of building materials;F-gases;2019;0.0
2795;23 Manufacture of building materials;F-gases;2020;0.0
2796;23 Manufacture of building materials;F-gases;2021;0.0
2797;23 Manufacture of building materials;F-gases;2022;0.0
2798;23 Manufacture of building materials;F-gases;2023;0.0
2799;23 Manufacture of building materials;F-gases;2024;
2800;24 Basic metal industry;Total greenhouse gases;1990;8.9
2801;24 Basic metal industry;Total greenhouse gases;1991 ;8.7
2802;24 Basic metal industry;Total greenhouse gases;1992;8.2
2803;24 Basic metal industry;Total greenhouse gases;1993 ;8.5
2804;24 Basic metal industry;Total greenhouse gases;1994 ;9.1
2805;24 Basic metal industry;Total greenhouse gases;1995;8.6
2806;24 Basic metal industry;Total greenhouse gases;1996 ;8.8
2807;24 Basic metal industry;Total greenhouse gases;1997 ;8.9
2808;24 Basic metal industry;Total greenhouse gases;1998 ;7.9
