ID;BedrijfstakkenBranches;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
407;71 Architecten-, ingenieursbureaus e.d.;2008 3e kwartaal;97.6;9.0
408;71 Architecten-, ingenieursbureaus e.d.;2008 4e kwartaal;122.3;9.0
409;71 Architecten-, ingenieursbureaus e.d.;2008;104.6;8.4
410;71 Architecten-, ingenieursbureaus e.d.;2009 1e kwartaal;99.1;5.0
411;71 Architecten-, ingenieursbureaus e.d.;2009 2e kwartaal;103.3;-1.0
412;71 Architecten-, ingenieursbureaus e.d.;2009 3e kwartaal;96.5;-1.1
413;71 Architecten-, ingenieursbureaus e.d.;2009 4e kwartaal;116.0;-5.1
414;71 Architecten-, ingenieursbureaus e.d.;2009;103.7;-0.9
415;71 Architecten-, ingenieursbureaus e.d.;2010 1e kwartaal;90.7;-8.5
416;71 Architecten-, ingenieursbureaus e.d.;2010 2e kwartaal;99.0;-4.1
417;71 Architecten-, ingenieursbureaus e.d.;2010 3e kwartaal;96.0;-0.5
418;71 Architecten-, ingenieursbureaus e.d.;2010 4e kwartaal;114.2;-1.5
419;71 Architecten-, ingenieursbureaus e.d.;2010;100.0;-3.6
420;71 Architecten-, ingenieursbureaus e.d.;2011 1e kwartaal;90.2;-0.6
421;71 Architecten-, ingenieursbureaus e.d.;2011 2e kwartaal;97.9;-1.2
422;71 Architecten-, ingenieursbureaus e.d.;2011 3e kwartaal;90.5;-5.8
423;71 Architecten-, ingenieursbureaus e.d.;2011 4e kwartaal;108.7;-4.9
424;71 Architecten-, ingenieursbureaus e.d.;2011;96.8;-3.2
425;71 Architecten-, ingenieursbureaus e.d.;2012 1e kwartaal;87.6;-2.9
426;71 Architecten-, ingenieursbureaus e.d.;2012 2e kwartaal;95.7;-2.2
427;71 Architecten-, ingenieursbureaus e.d.;2012 3e kwartaal;89.6;-1.0
428;71 Architecten-, ingenieursbureaus e.d.;2012 4e kwartaal;104.2;-4.1
429;71 Architecten-, ingenieursbureaus e.d.;2012;94.3;-2.6
430;71 Architecten-, ingenieursbureaus e.d.;2013 1e kwartaal;85.8;-2.0
431;71 Architecten-, ingenieursbureaus e.d.;2013 2e kwartaal;96.0;0.2
432;71 Architecten-, ingenieursbureaus e.d.;2013 3e kwartaal;90.9;1.4
433;71 Architecten-, ingenieursbureaus e.d.;2013 4e kwartaal;108.4;4.1
434;71 Architecten-, ingenieursbureaus e.d.;2013;95.3;1.0
435;71 Architecten-, ingenieursbureaus e.d.;2014 1e kwartaal;87.4;1.9
436;71 Architecten-, ingenieursbureaus e.d.;2014 2e kwartaal;98.5;2.6
437;71 Architecten-, ingenieursbureaus e.d.;2014 3e kwartaal;94.3;3.8
438;71 Architecten-, ingenieursbureaus e.d.;2014 4e kwartaal;113.7;4.9
439;71 Architecten-, ingenieursbureaus e.d.;2014;98.5;3.4
440;71 Architecten-, ingenieursbureaus e.d.;2015 1e kwartaal;94.1;7.6
441;71 Architecten-, ingenieursbureaus e.d.;2015 2e kwartaal;102.9;4.5
442;71 Architecten-, ingenieursbureaus e.d.;2015 3e kwartaal;97.8;3.6
443;71 Architecten-, ingenieursbureaus e.d.;2015 4e kwartaal;118.2;3.9
444;71 Architecten-, ingenieursbureaus e.d.;2015;103.2;4.8
445;71 Architecten-, ingenieursbureaus e.d.;2016 1e kwartaal;94.7;0.7
446;71 Architecten-, ingenieursbureaus e.d.;2016 2e kwartaal;108.6;5.5
447;71 Architecten-, ingenieursbureaus e.d.;2016 3e kwartaal;101.8;4.1
448;71 Architecten-, ingenieursbureaus e.d.;2016 4e kwartaal;120.7;2.2
449;71 Architecten-, ingenieursbureaus e.d.;2016;106.4;3.1
450;71 Architecten-, ingenieursbureaus e.d.;2017 1e kwartaal;101.2;6.8
451;71 Architecten-, ingenieursbureaus e.d.;2017 2e kwartaal;110.0;1.3
452;71 Architecten-, ingenieursbureaus e.d.;2017 3e kwartaal;106.0;4.2
453;71 Architecten-, ingenieursbureaus e.d.;2017 4e kwartaal;127.6;5.7
454;71 Architecten-, ingenieursbureaus e.d.;2017;111.2;4.5
455;711 Architecten- en ingenieursbureaus;2005 1e kwartaal;73.5;
456;711 Architecten- en ingenieursbureaus;2005 2e kwartaal;82.5;
457;711 Architecten- en ingenieursbureaus;2005 3e kwartaal;84.2;
458;711 Architecten- en ingenieursbureaus;2005 4e kwartaal;98.8;
459;711 Architecten- en ingenieursbureaus;2005;84.8;
460;711 Architecten- en ingenieursbureaus;2006 1e kwartaal;81.6;11.0
461;711 Architecten- en ingenieursbureaus;2006 2e kwartaal;93.0;12.7
462;711 Architecten- en ingenieursbureaus;2006 3e kwartaal;88.1;4.6
463;711 Architecten- en ingenieursbureaus;2006 4e kwartaal;107.1;8.4
464;711 Architecten- en ingenieursbureaus;2006;92.5;9.1
465;711 Architecten- en ingenieursbureaus;2007 1e kwartaal;89.1;9.1
466;711 Architecten- en ingenieursbureaus;2007 2e kwartaal;100.4;7.9
467;711 Architecten- en ingenieursbureaus;2007 3e kwartaal;91.4;3.8
468;711 Architecten- en ingenieursbureaus;2007 4e kwartaal;115.5;7.8
469;711 Architecten- en ingenieursbureaus;2007;99.1;7.2
470;711 Architecten- en ingenieursbureaus;2008 1e kwartaal;96.3;8.1
471;711 Architecten- en ingenieursbureaus;2008 2e kwartaal;107.3;6.9
472;711 Architecten- en ingenieursbureaus;2008 3e kwartaal;99.5;8.9
473;711 Architecten- en ingenieursbureaus;2008 4e kwartaal;125.8;8.9
474;711 Architecten- en ingenieursbureaus;2008;107.2;8.2
475;711 Architecten- en ingenieursbureaus;2009 1e kwartaal;100.5;4.4
476;711 Architecten- en ingenieursbureaus;2009 2e kwartaal;105.4;-1.8
477;711 Architecten- en ingenieursbureaus;2009 3e kwartaal;97.4;-2.2
478;711 Architecten- en ingenieursbureaus;2009 4e kwartaal;117.6;-6.5
479;711 Architecten- en ingenieursbureaus;2009;105.2;-1.9
480;711 Architecten- en ingenieursbureaus;2010 1e kwartaal;90.1;-10.3
481;711 Architecten- en ingenieursbureaus;2010 2e kwartaal;100.0;-5.1
482;711 Architecten- en ingenieursbureaus;2010 3e kwartaal;95.8;-1.6
483;711 Architecten- en ingenieursbureaus;2010 4e kwartaal;114.1;-3.0
484;711 Architecten- en ingenieursbureaus;2010;100.0;-4.9
485;711 Architecten- en ingenieursbureaus;2011 1e kwartaal;88.7;-1.6
486;711 Architecten- en ingenieursbureaus;2011 2e kwartaal;97.6;-2.4
487;711 Architecten- en ingenieursbureaus;2011 3e kwartaal;89.1;-7.0
488;711 Architecten- en ingenieursbureaus;2011 4e kwartaal;107.6;-5.7
489;711 Architecten- en ingenieursbureaus;2011;95.7;-4.3
490;711 Architecten- en ingenieursbureaus;2012 1e kwartaal;84.9;-4.2
491;711 Architecten- en ingenieursbureaus;2012 2e kwartaal;93.9;-3.7
492;711 Architecten- en ingenieursbureaus;2012 3e kwartaal;87.2;-2.1
493;711 Architecten- en ingenieursbureaus;2012 4e kwartaal;101.3;-5.8
494;711 Architecten- en ingenieursbureaus;2012;91.9;-4.0
495;711 Architecten- en ingenieursbureaus;2013 1e kwartaal;82.8;-2.6
496;711 Architecten- en ingenieursbureaus;2013 2e kwartaal;93.8;-0.2
497;711 Architecten- en ingenieursbureaus;2013 3e kwartaal;88.6;1.6
498;711 Architecten- en ingenieursbureaus;2013 4e kwartaal;106.0;4.6
499;711 Architecten- en ingenieursbureaus;2013;92.8;1.0
500;711 Architecten- en ingenieursbureaus;2014 1e kwartaal;84.7;2.3
501;711 Architecten- en ingenieursbureaus;2014 2e kwartaal;96.3;2.7
502;711 Architecten- en ingenieursbureaus;2014 3e kwartaal;92.4;4.3
503;711 Architecten- en ingenieursbureaus;2014 4e kwartaal;112.2;5.9
504;711 Architecten- en ingenieursbureaus;2014;96.4;3.9
505;711 Architecten- en ingenieursbureaus;2015 1e kwartaal;91.2;7.8
506;711 Architecten- en ingenieursbureaus;2015 2e kwartaal;100.3;4.1
507;711 Architecten- en ingenieursbureaus;2015 3e kwartaal;95.3;3.1
508;711 Architecten- en ingenieursbureaus;2015 4e kwartaal;115.6;3.0
509;711 Architecten- en ingenieursbureaus;2015;100.6;4.3
510;711 Architecten- en ingenieursbureaus;2016 1e kwartaal;91.4;0.2
511;711 Architecten- en ingenieursbureaus;2016 2e kwartaal;106.0;5.8
512;711 Architecten- en ingenieursbureaus;2016 3e kwartaal;99.7;4.6
513;711 Architecten- en ingenieursbureaus;2016 4e kwartaal;118.9;2.9
514;711 Architecten- en ingenieursbureaus;2016;104.0;3.4
515;711 Architecten- en ingenieursbureaus;2017 1e kwartaal;97.8;6.9
516;711 Architecten- en ingenieursbureaus;2017 2e kwartaal;106.4;0.3
517;711 Architecten- en ingenieursbureaus;2017 3e kwartaal;103.1;3.5
518;711 Architecten- en ingenieursbureaus;2017 4e kwartaal;125.2;5.3
519;711 Architecten- en ingenieursbureaus;2017;108.1;4.0
520;7111 Architectenbureaus;2005 1e kwartaal;114.5;
521;7111 Architectenbureaus;2005 2e kwartaal;136.1;
522;7111 Architectenbureaus;2005 3e kwartaal;143.4;
523;7111 Architectenbureaus;2005 4e kwartaal;163.0;
524;7111 Architectenbureaus;2005;139.3;
525;7111 Architectenbureaus;2006 1e kwartaal;128.3;12.0
526;7111 Architectenbureaus;2006 2e kwartaal;137.3;0.9
527;7111 Architectenbureaus;2006 3e kwartaal;138.9;-3.2
528;7111 Architectenbureaus;2006 4e kwartaal;146.6;-10.0
529;7111 Architectenbureaus;2006;137.8;-1.1
530;7111 Architectenbureaus;2007 1e kwartaal;123.8;-3.5
531;7111 Architectenbureaus;2007 2e kwartaal;132.9;-3.2
532;7111 Architectenbureaus;2007 3e kwartaal;122.5;-11.8
533;7111 Architectenbureaus;2007 4e kwartaal;145.4;-0.9
534;7111 Architectenbureaus;2007;131.1;-4.8
535;7111 Architectenbureaus;2008 1e kwartaal;131.4;6.2
536;7111 Architectenbureaus;2008 2e kwartaal;133.0;0.1
537;7111 Architectenbureaus;2008 3e kwartaal;123.3;0.6
538;7111 Architectenbureaus;2008 4e kwartaal;148.2;1.9
539;7111 Architectenbureaus;2008;134.0;2.2
540;7111 Architectenbureaus;2009 1e kwartaal;116.8;-11.1
541;7111 Architectenbureaus;2009 2e kwartaal;118.7;-10.8
542;7111 Architectenbureaus;2009 3e kwartaal;106.4;-13.7
543;7111 Architectenbureaus;2009 4e kwartaal;121.7;-17.8
544;7111 Architectenbureaus;2009;115.9;-13.5
545;7111 Architectenbureaus;2010 1e kwartaal;98.3;-15.9
546;7111 Architectenbureaus;2010 2e kwartaal;101.0;-14.9
547;7111 Architectenbureaus;2010 3e kwartaal;92.8;-12.8
548;7111 Architectenbureaus;2010 4e kwartaal;107.9;-11.4
549;7111 Architectenbureaus;2010;100.0;-13.7
550;7111 Architectenbureaus;2011 1e kwartaal;87.8;-10.6
551;7111 Architectenbureaus;2011 2e kwartaal;92.1;-8.9
552;7111 Architectenbureaus;2011 3e kwartaal;84.2;-9.3
553;7111 Architectenbureaus;2011 4e kwartaal;103.4;-4.2
554;7111 Architectenbureaus;2011;91.9;-8.1
555;7111 Architectenbureaus;2012 1e kwartaal;77.8;-11.5
556;7111 Architectenbureaus;2012 2e kwartaal;82.7;-10.1
557;7111 Architectenbureaus;2012 3e kwartaal;73.9;-12.3
558;7111 Architectenbureaus;2012 4e kwartaal;79.6;-23.0
559;7111 Architectenbureaus;2012;78.5;-14.6
560;7111 Architectenbureaus;2013 1e kwartaal;61.1;-21.4
561;7111 Architectenbureaus;2013 2e kwartaal;70.5;-14.8
562;7111 Architectenbureaus;2013 3e kwartaal;63.6;-13.9
563;7111 Architectenbureaus;2013 4e kwartaal;78.1;-2.0
564;7111 Architectenbureaus;2013;68.3;-13.0
565;7111 Architectenbureaus;2014 1e kwartaal;60.9;-0.3
566;7111 Architectenbureaus;2014 2e kwartaal;70.9;0.6
567;7111 Architectenbureaus;2014 3e kwartaal;63.2;-0.6
568;7111 Architectenbureaus;2014 4e kwartaal;81.4;4.2
569;7111 Architectenbureaus;2014;69.1;1.2
570;7111 Architectenbureaus;2015 1e kwartaal;64.7;6.3
571;7111 Architectenbureaus;2015 2e kwartaal;72.7;2.5
572;7111 Architectenbureaus;2015 3e kwartaal;64.6;2.1
573;7111 Architectenbureaus;2015 4e kwartaal;84.3;3.6
574;7111 Architectenbureaus;2015;71.6;3.6
575;7111 Architectenbureaus;2016 1e kwartaal;65.2;0.6
576;7111 Architectenbureaus;2016 2e kwartaal;75.4;3.7
577;7111 Architectenbureaus;2016 3e kwartaal;70.7;9.5
578;7111 Architectenbureaus;2016 4e kwartaal;93.2;10.6
579;7111 Architectenbureaus;2016;76.1;6.3
580;7111 Architectenbureaus;2017 1e kwartaal;70.4;8.1
581;7111 Architectenbureaus;2017 2e kwartaal;85.4;13.2
582;7111 Architectenbureaus;2017 3e kwartaal;74.0;4.6
583;7111 Architectenbureaus;2017 4e kwartaal;96.9;3.9
584;7111 Architectenbureaus;2017;81.6;7.3
585;7112 Ingenieursbureaus;2005 1e kwartaal;69.0;
586;7112 Ingenieursbureaus;2005 2e kwartaal;76.6;
587;7112 Ingenieursbureaus;2005 3e kwartaal;77.7;
588;7112 Ingenieursbureaus;2005 4e kwartaal;91.8;
589;7112 Ingenieursbureaus;2005;78.8;
590;7112 Ingenieursbureaus;2006 1e kwartaal;76.5;10.8
591;7112 Ingenieursbureaus;2006 2e kwartaal;88.2;15.0
592;7112 Ingenieursbureaus;2006 3e kwartaal;82.5;6.1
593;7112 Ingenieursbureaus;2006 4e kwartaal;102.8;12.0
594;7112 Ingenieursbureaus;2006;87.5;11.0
595;7112 Ingenieursbureaus;2007 1e kwartaal;85.3;11.4
596;7112 Ingenieursbureaus;2007 2e kwartaal;96.8;9.8
597;7112 Ingenieursbureaus;2007 3e kwartaal;88.0;6.7
598;7112 Ingenieursbureaus;2007 4e kwartaal;112.2;9.1
599;7112 Ingenieursbureaus;2007;95.6;9.2
600;7112 Ingenieursbureaus;2008 1e kwartaal;92.4;8.4
601;7112 Ingenieursbureaus;2008 2e kwartaal;104.5;7.9
602;7112 Ingenieursbureaus;2008 3e kwartaal;96.9;10.1
603;7112 Ingenieursbureaus;2008 4e kwartaal;123.3;9.9
604;7112 Ingenieursbureaus;2008;104.3;9.1
605;7112 Ingenieursbureaus;2009 1e kwartaal;98.7;6.8
606;7112 Ingenieursbureaus;2009 2e kwartaal;103.9;-0.6
607;7112 Ingenieursbureaus;2009 3e kwartaal;96.4;-0.6
608;7112 Ingenieursbureaus;2009 4e kwartaal;117.1;-5.0
609;7112 Ingenieursbureaus;2009;104.0;-0.3
610;7112 Ingenieursbureaus;2010 1e kwartaal;89.2;-9.6
611;7112 Ingenieursbureaus;2010 2e kwartaal;99.8;-3.9
612;7112 Ingenieursbureaus;2010 3e kwartaal;96.2;-0.2
613;7112 Ingenieursbureaus;2010 4e kwartaal;114.8;-2.0
614;7112 Ingenieursbureaus;2010;100.0;-3.9
615;7112 Ingenieursbureaus;2011 1e kwartaal;88.8;-0.5
616;7112 Ingenieursbureaus;2011 2e kwartaal;98.2;-1.7
617;7112 Ingenieursbureaus;2011 3e kwartaal;89.6;-6.8
618;7112 Ingenieursbureaus;2011 4e kwartaal;108.1;-5.8
619;7112 Ingenieursbureaus;2011;96.2;-3.8
620;7112 Ingenieursbureaus;2012 1e kwartaal;85.7;-3.4
621;7112 Ingenieursbureaus;2012 2e kwartaal;95.2;-3.1
622;7112 Ingenieursbureaus;2012 3e kwartaal;88.7;-1.1
623;7112 Ingenieursbureaus;2012 4e kwartaal;103.7;-4.0
624;7112 Ingenieursbureaus;2012;93.3;-2.9
625;7112 Ingenieursbureaus;2013 1e kwartaal;85.1;-0.7
626;7112 Ingenieursbureaus;2013 2e kwartaal;96.3;1.2
627;7112 Ingenieursbureaus;2013 3e kwartaal;91.4;3.0
628;7112 Ingenieursbureaus;2013 4e kwartaal;109.0;5.1
629;7112 Ingenieursbureaus;2013;95.5;2.3
630;7112 Ingenieursbureaus;2014 1e kwartaal;87.3;2.5
631;7112 Ingenieursbureaus;2014 2e kwartaal;99.1;2.9
632;7112 Ingenieursbureaus;2014 3e kwartaal;95.6;4.7
633;7112 Ingenieursbureaus;2014 4e kwartaal;115.6;6.0
634;7112 Ingenieursbureaus;2014;99.4;4.1
635;7112 Ingenieursbureaus;2015 1e kwartaal;94.1;7.9
636;7112 Ingenieursbureaus;2015 2e kwartaal;103.3;4.2
637;7112 Ingenieursbureaus;2015 3e kwartaal;98.7;3.2
638;7112 Ingenieursbureaus;2015 4e kwartaal;119.0;2.9
639;7112 Ingenieursbureaus;2015;103.8;4.4
640;7112 Ingenieursbureaus;2016 1e kwartaal;94.3;0.2
641;7112 Ingenieursbureaus;2016 2e kwartaal;109.4;5.9
642;7112 Ingenieursbureaus;2016 3e kwartaal;102.8;4.2
643;7112 Ingenieursbureaus;2016 4e kwartaal;121.7;2.3
644;7112 Ingenieursbureaus;2016;107.1;3.2
645;7112 Ingenieursbureaus;2017 1e kwartaal;100.8;6.8
646;7112 Ingenieursbureaus;2017 2e kwartaal;108.7;-0.6
647;7112 Ingenieursbureaus;2017 3e kwartaal;106.3;3.4
648;7112 Ingenieursbureaus;2017 4e kwartaal;128.4;5.4
649;7112 Ingenieursbureaus;2017;111.0;3.7
650;712 Keurings- en controlediensten;2005 1e kwartaal;59.0;
651;712 Keurings- en controlediensten;2005 2e kwartaal;61.1;
652;712 Keurings- en controlediensten;2005 3e kwartaal;63.3;
653;712 Keurings- en controlediensten;2005 4e kwartaal;71.9;
654;712 Keurings- en controlediensten;2005;63.8;
655;712 Keurings- en controlediensten;2006 1e kwartaal;67.1;13.8
656;712 Keurings- en controlediensten;2006 2e kwartaal;66.3;8.6
657;712 Keurings- en controlediensten;2006 3e kwartaal;70.0;10.6
658;712 Keurings- en controlediensten;2006 4e kwartaal;85.8;19.4
659;712 Keurings- en controlediensten;2006;72.3;13.4
660;712 Keurings- en controlediensten;2007 1e kwartaal;75.4;12.3
661;712 Keurings- en controlediensten;2007 2e kwartaal;74.4;12.1
662;712 Keurings- en controlediensten;2007 3e kwartaal;76.7;9.7
663;712 Keurings- en controlediensten;2007 4e kwartaal;89.6;4.4
664;712 Keurings- en controlediensten;2007;79.0;9.3
665;712 Keurings- en controlediensten;2008 1e kwartaal;81.8;8.5
666;712 Keurings- en controlediensten;2008 2e kwartaal;83.5;12.2
667;712 Keurings- en controlediensten;2008 3e kwartaal;84.4;9.9
668;712 Keurings- en controlediensten;2008 4e kwartaal;98.6;10.1
669;712 Keurings- en controlediensten;2008;87.1;10.2
670;712 Keurings- en controlediensten;2009 1e kwartaal;89.8;9.8
671;712 Keurings- en controlediensten;2009 2e kwartaal;88.9;6.4
672;712 Keurings- en controlediensten;2009 3e kwartaal;90.4;7.2
673;712 Keurings- en controlediensten;2009 4e kwartaal;105.2;6.7
674;712 Keurings- en controlediensten;2009;93.6;7.5
675;712 Keurings- en controlediensten;2010 1e kwartaal;94.6;5.3
676;712 Keurings- en controlediensten;2010 2e kwartaal;92.9;4.5
677;712 Keurings- en controlediensten;2010 3e kwartaal;97.3;7.6
678;712 Keurings- en controlediensten;2010 4e kwartaal;115.3;9.6
679;712 Keurings- en controlediensten;2010;100.0;6.9
680;712 Keurings- en controlediensten;2011 1e kwartaal;100.6;6.3
681;712 Keurings- en controlediensten;2011 2e kwartaal;99.9;7.6
682;712 Keurings- en controlediensten;2011 3e kwartaal;100.1;2.8
683;712 Keurings- en controlediensten;2011 4e kwartaal;115.9;0.6
684;712 Keurings- en controlediensten;2011;104.1;4.1
685;712 Keurings- en controlediensten;2012 1e kwartaal;105.3;4.7
686;712 Keurings- en controlediensten;2012 2e kwartaal;108.0;8.1
687;712 Keurings- en controlediensten;2012 3e kwartaal;105.9;5.8
688;712 Keurings- en controlediensten;2012 4e kwartaal;123.5;6.6
689;712 Keurings- en controlediensten;2012;110.7;6.3
690;712 Keurings- en controlediensten;2013 1e kwartaal;106.2;0.8
691;712 Keurings- en controlediensten;2013 2e kwartaal;110.7;2.5
692;712 Keurings- en controlediensten;2013 3e kwartaal;106.3;0.3
693;712 Keurings- en controlediensten;2013 4e kwartaal;125.0;1.2
694;712 Keurings- en controlediensten;2013;112.0;1.2
695;712 Keurings- en controlediensten;2014 1e kwartaal;106.2;0.0
696;712 Keurings- en controlediensten;2014 2e kwartaal;112.9;2.0
697;712 Keurings- en controlediensten;2014 3e kwartaal;107.4;1.1
698;712 Keurings- en controlediensten;2014 4e kwartaal;123.6;-1.1
699;712 Keurings- en controlediensten;2014;112.5;0.4
700;712 Keurings- en controlediensten;2015 1e kwartaal;113.5;6.9
701;712 Keurings- en controlediensten;2015 2e kwartaal;121.1;7.3
702;712 Keurings- en controlediensten;2015 3e kwartaal;114.5;6.6
703;712 Keurings- en controlediensten;2015 4e kwartaal;135.6;9.7
704;712 Keurings- en controlediensten;2015;121.2;7.7
705;712 Keurings- en controlediensten;2016 1e kwartaal;116.9;3.0
706;712 Keurings- en controlediensten;2016 2e kwartaal;125.9;3.9
707;712 Keurings- en controlediensten;2016 3e kwartaal;116.0;1.3
708;712 Keurings- en controlediensten;2016 4e kwartaal;133.1;-1.8
709;712 Keurings- en controlediensten;2016;123.0;1.5
710;712 Keurings- en controlediensten;2017 1e kwartaal;124.4;6.4
711;712 Keurings- en controlediensten;2017 2e kwartaal;134.4;6.7
712;712 Keurings- en controlediensten;2017 3e kwartaal;125.9;8.6
713;712 Keurings- en controlediensten;2017 4e kwartaal;144.0;8.1
714;712 Keurings- en controlediensten;2017;132.1;7.5
715;72 Research;2005 1e kwartaal;;
716;72 Research;2005 2e kwartaal;;
717;72 Research;2005 3e kwartaal;;
718;72 Research;2005 4e kwartaal;;
719;72 Research;2005;;
720;72 Research;2006 1e kwartaal;;
721;72 Research;2006 2e kwartaal;;
722;72 Research;2006 3e kwartaal;;
723;72 Research;2006 4e kwartaal;;
724;72 Research;2006;;
725;72 Research;2007 1e kwartaal;;
726;72 Research;2007 2e kwartaal;;
727;72 Research;2007 3e kwartaal;;
728;72 Research;2007 4e kwartaal;;
729;72 Research;2007;;
730;72 Research;2008 1e kwartaal;;
731;72 Research;2008 2e kwartaal;;
732;72 Research;2008 3e kwartaal;;
733;72 Research;2008 4e kwartaal;;
734;72 Research;2008;;
735;72 Research;2009 1e kwartaal;;
736;72 Research;2009 2e kwartaal;;
737;72 Research;2009 3e kwartaal;;
738;72 Research;2009 4e kwartaal;;
739;72 Research;2009;;
740;72 Research;2010 1e kwartaal;;
741;72 Research;2010 2e kwartaal;;
742;72 Research;2010 3e kwartaal;;
743;72 Research;2010 4e kwartaal;;
744;72 Research;2010;;
745;72 Research;2011 1e kwartaal;;
746;72 Research;2011 2e kwartaal;;
747;72 Research;2011 3e kwartaal;;
748;72 Research;2011 4e kwartaal;;
749;72 Research;2011;;
750;72 Research;2012 1e kwartaal;;
751;72 Research;2012 2e kwartaal;;
752;72 Research;2012 3e kwartaal;;
753;72 Research;2012 4e kwartaal;;
754;72 Research;2012;;
755;72 Research;2013 1e kwartaal;;
756;72 Research;2013 2e kwartaal;;
757;72 Research;2013 3e kwartaal;;
758;72 Research;2013 4e kwartaal;;
759;72 Research;2013;;
760;72 Research;2014 1e kwartaal;;
761;72 Research;2014 2e kwartaal;;
762;72 Research;2014 3e kwartaal;;
763;72 Research;2014 4e kwartaal;;
764;72 Research;2014;;
765;72 Research;2015 1e kwartaal;;
766;72 Research;2015 2e kwartaal;;
767;72 Research;2015 3e kwartaal;;
768;72 Research;2015 4e kwartaal;;
769;72 Research;2015;;
770;72 Research;2016 1e kwartaal;;
771;72 Research;2016 2e kwartaal;;
772;72 Research;2016 3e kwartaal;;
773;72 Research;2016 4e kwartaal;;
774;72 Research;2016;;
775;72 Research;2017 1e kwartaal;;
776;72 Research;2017 2e kwartaal;;
777;72 Research;2017 3e kwartaal;;
778;72 Research;2017 4e kwartaal;;
779;72 Research;2017;;
780;73 Reclamewezen en marktonderzoek;2005 1e kwartaal;91.3;
781;73 Reclamewezen en marktonderzoek;2005 2e kwartaal;107.0;
782;73 Reclamewezen en marktonderzoek;2005 3e kwartaal;98.7;
783;73 Reclamewezen en marktonderzoek;2005 4e kwartaal;130.9;
784;73 Reclamewezen en marktonderzoek;2005;107.0;
785;73 Reclamewezen en marktonderzoek;2006 1e kwartaal;95.0;4.0
786;73 Reclamewezen en marktonderzoek;2006 2e kwartaal;109.3;2.2
787;73 Reclamewezen en marktonderzoek;2006 3e kwartaal;98.1;-0.6
788;73 Reclamewezen en marktonderzoek;2006 4e kwartaal;137.4;5.0
789;73 Reclamewezen en marktonderzoek;2006;109.9;2.8
790;73 Reclamewezen en marktonderzoek;2007 1e kwartaal;95.3;0.3
791;73 Reclamewezen en marktonderzoek;2007 2e kwartaal;110.6;1.1
792;73 Reclamewezen en marktonderzoek;2007 3e kwartaal;98.8;0.8
793;73 Reclamewezen en marktonderzoek;2007 4e kwartaal;137.8;0.3
794;73 Reclamewezen en marktonderzoek;2007;110.6;0.6
795;73 Reclamewezen en marktonderzoek;2008 1e kwartaal;97.1;1.9
796;73 Reclamewezen en marktonderzoek;2008 2e kwartaal;114.9;3.9
797;73 Reclamewezen en marktonderzoek;2008 3e kwartaal;103.9;5.1
798;73 Reclamewezen en marktonderzoek;2008 4e kwartaal;135.8;-1.5
799;73 Reclamewezen en marktonderzoek;2008;112.9;2.1
800;73 Reclamewezen en marktonderzoek;2009 1e kwartaal;92.5;-4.7
801;73 Reclamewezen en marktonderzoek;2009 2e kwartaal;101.7;-11.5
802;73 Reclamewezen en marktonderzoek;2009 3e kwartaal;90.5;-12.9
803;73 Reclamewezen en marktonderzoek;2009 4e kwartaal;118.4;-12.8
804;73 Reclamewezen en marktonderzoek;2009;100.8;-10.8
805;73 Reclamewezen en marktonderzoek;2010 1e kwartaal;85.1;-8.0
806;73 Reclamewezen en marktonderzoek;2010 2e kwartaal;100.8;-0.8
807;73 Reclamewezen en marktonderzoek;2010 3e kwartaal;93.7;3.6
808;73 Reclamewezen en marktonderzoek;2010 4e kwartaal;120.4;1.7
809;73 Reclamewezen en marktonderzoek;2010;100.0;-0.8
810;73 Reclamewezen en marktonderzoek;2011 1e kwartaal;88.8;4.3
811;73 Reclamewezen en marktonderzoek;2011 2e kwartaal;96.2;-4.6
812;73 Reclamewezen en marktonderzoek;2011 3e kwartaal;89.7;-4.2
813;73 Reclamewezen en marktonderzoek;2011 4e kwartaal;112.9;-6.2
814;73 Reclamewezen en marktonderzoek;2011;96.9;-3.1
815;73 Reclamewezen en marktonderzoek;2012 1e kwartaal;83.0;-6.4
816;73 Reclamewezen en marktonderzoek;2012 2e kwartaal;93.9;-2.4
817;73 Reclamewezen en marktonderzoek;2012 3e kwartaal;85.0;-5.3
818;73 Reclamewezen en marktonderzoek;2012 4e kwartaal;104.9;-7.1
819;73 Reclamewezen en marktonderzoek;2012;91.7;-5.4
820;73 Reclamewezen en marktonderzoek;2013 1e kwartaal;77.4;-6.8
821;73 Reclamewezen en marktonderzoek;2013 2e kwartaal;89.0;-5.2
822;73 Reclamewezen en marktonderzoek;2013 3e kwartaal;80.6;-5.2
823;73 Reclamewezen en marktonderzoek;2013 4e kwartaal;104.9;0.0
824;73 Reclamewezen en marktonderzoek;2013;87.9;-4.1
825;73 Reclamewezen en marktonderzoek;2014 1e kwartaal;80.5;4.1
826;73 Reclamewezen en marktonderzoek;2014 2e kwartaal;91.6;2.9
827;73 Reclamewezen en marktonderzoek;2014 3e kwartaal;81.0;0.5
828;73 Reclamewezen en marktonderzoek;2014 4e kwartaal;106.0;1.1
829;73 Reclamewezen en marktonderzoek;2014;89.8;2.1
