ID;RegioS;SamenstellingVanHetHuishouden;Totaal_1;Totaal_2;HuishoudensMetEenLaagInkomen_3;HuishOnderOfRondHetSociaalMinimum_4;Totaal_5;HuishMetEenLangdurigLaagInkomen_6;HuishLangdurigOnderOfRondSocMin_7
167;Utrecht (CR);Paar zonder kinderen;133.9;132.7;3.0;3.0;120.4;1.0;1.0
168;Utrecht (CR);Paar met kinderen;146.8;143.4;6.0;3.0;126.2;1.0;0.0
169;Utrecht (CR);Eenoudergezin;26.3;24.2;22.0;23.0;19.3;7.0;7.0
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;148.7;144.6;9.0;8.0;130.7;2.0;2.0
171;Kop van Noord-Holland (CR);Eenpersoonshuishouden;42.4;40.5;15.0;13.0;36.9;5.0;5.0
172;Kop van Noord-Holland (CR);Paar zonder kinderen;45.6;45.2;4.0;4.0;42.4;1.0;1.0
173;Kop van Noord-Holland (CR);Paar met kinderen;48.2;47.2;5.0;3.0;41.9;1.0;0.0
174;Kop van Noord-Holland (CR);Eenoudergezin;8.4;7.8;26.0;27.0;6.4;7.0;7.0
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;95.2;92.2;9.0;7.0;82.3;2.0;2.0
176;Alkmaar en omgeving (CR);Eenpersoonshuishouden;29.7;28.3;15.0;13.0;25.6;5.0;5.0
177;Alkmaar en omgeving (CR);Paar zonder kinderen;28.3;28.0;3.0;3.0;25.7;1.0;1.0
178;Alkmaar en omgeving (CR);Paar met kinderen;28.9;28.2;5.0;3.0;24.9;1.0;0.0
179;Alkmaar en omgeving (CR);Eenoudergezin;5.7;5.3;25.0;26.0;4.2;7.0;8.0
180;IJmond (CR);Totaal particulier huishouden;79.3;77.1;7.0;6.0;70.8;2.0;2.0
181;IJmond (CR);Eenpersoonshuishouden;24.5;23.6;13.0;11.0;21.8;4.0;3.0
182;IJmond (CR);Paar zonder kinderen;23.8;23.6;2.0;2.0;22.6;1.0;1.0
183;IJmond (CR);Paar met kinderen;24.1;23.6;4.0;3.0;21.3;1.0;0.0
184;IJmond (CR);Eenoudergezin;4.8;4.4;25.0;27.0;3.6;6.0;7.0
