ID;BelastingschijfElektriciteit;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;ElektriciteitsproductieTotaal_3;ElektriciteitsproductieAflevering_4;ElektriciteitsproductieVerbruik_5
180;Schijf 1: 0 t/m 10 000 kWh;A Landbouw, bosbouw en visserij;2019;78330;613100.0;;;
181;Schijf 1: 0 t/m 10 000 kWh;A Landbouw, bosbouw en visserij;2020;79170;612300.0;;;
182;Schijf 1: 0 t/m 10 000 kWh;A Landbouw, bosbouw en visserij;2022;67535;530000.0;;;
183;Schijf 1: 0 t/m 10 000 kWh;B Delfstoffenwinning;2019;1560;7800.0;;;
184;Schijf 1: 0 t/m 10 000 kWh;B Delfstoffenwinning;2020;1565;7600.0;;;
185;Schijf 1: 0 t/m 10 000 kWh;B Delfstoffenwinning;2022;1520;7300.0;;;
186;Schijf 1: 0 t/m 10 000 kWh;C Industrie;2019;32945;329000.0;9800.0;9700.0;100.0
187;Schijf 1: 0 t/m 10 000 kWh;C Industrie;2020;32700;326500.0;32200.0;32000.0;200.0
188;Schijf 1: 0 t/m 10 000 kWh;C Industrie;2022;34010;338600.0;113200.0;113000.0;200.0
189;Schijf 1: 0 t/m 10 000 kWh;10-12 Voedings-, genotmiddelenindustrie;2019;4515;45100.0;1200.0;1200.0;0.0
190;Schijf 1: 0 t/m 10 000 kWh;10-12 Voedings-, genotmiddelenindustrie;2020;4405;44000.0;2700.0;2700.0;0.0
191;Schijf 1: 0 t/m 10 000 kWh;10-12 Voedings-, genotmiddelenindustrie;2022;4625;46200.0;7000.0;7000.0;0.0
192;Schijf 1: 0 t/m 10 000 kWh;101 Slachterijen en vleeswarenindustrie;2019;335;3300.0;0.0;0.0;0.0
193;Schijf 1: 0 t/m 10 000 kWh;101 Slachterijen en vleeswarenindustrie;2020;335;3300.0;100.0;100.0;0.0
194;Schijf 1: 0 t/m 10 000 kWh;101 Slachterijen en vleeswarenindustrie;2022;330;3300.0;300.0;300.0;0.0
195;Schijf 1: 0 t/m 10 000 kWh;103 Groente-, fruitverwerkende industrie;2019;140;1400.0;200.0;200.0;0.0
196;Schijf 1: 0 t/m 10 000 kWh;103 Groente-, fruitverwerkende industrie;2020;135;1400.0;400.0;400.0;0.0
197;Schijf 1: 0 t/m 10 000 kWh;103 Groente-, fruitverwerkende industrie;2022;150;1500.0;600.0;600.0;0.0
198;Schijf 1: 0 t/m 10 000 kWh;104 Spijsoliën- en -vettenindustrie e.d.;2019;30;300.0;0.0;0.0;0.0
199;Schijf 1: 0 t/m 10 000 kWh;104 Spijsoliën- en -vettenindustrie e.d.;2020;30;300.0;100.0;100.0;0.0
200;Schijf 1: 0 t/m 10 000 kWh;104 Spijsoliën- en -vettenindustrie e.d.;2022;25;300.0;0.0;0.0;0.0
201;Schijf 1: 0 t/m 10 000 kWh;105 Zuivelindustrie;2019;175;1800.0;100.0;100.0;0.0
202;Schijf 1: 0 t/m 10 000 kWh;105 Zuivelindustrie;2020;180;1800.0;300.0;300.0;0.0
203;Schijf 1: 0 t/m 10 000 kWh;105 Zuivelindustrie;2022;190;1900.0;900.0;900.0;0.0
204;Schijf 1: 0 t/m 10 000 kWh;106 Meelindustrie;2019;65;700.0;0.0;0.0;0.0
205;Schijf 1: 0 t/m 10 000 kWh;106 Meelindustrie;2020;70;700.0;100.0;100.0;0.0
206;Schijf 1: 0 t/m 10 000 kWh;106 Meelindustrie;2022;70;700.0;0.0;0.0;0.0
207;Schijf 1: 0 t/m 10 000 kWh;108 Overige voedingsmiddelenindustrie;2019;3300;33000.0;600.0;600.0;0.0
208;Schijf 1: 0 t/m 10 000 kWh;108 Overige voedingsmiddelenindustrie;2020;3170;31700.0;600.0;500.0;0.0
209;Schijf 1: 0 t/m 10 000 kWh;108 Overige voedingsmiddelenindustrie;2022;3275;32800.0;3900.0;3900.0;0.0
