ID;Branches;Periods;LabourIncomeShare_1;CompensationOfEmployees_2;ImputedLabourIncome_3;NetOperatingSurplus_4;RemunerationOfLabour_5;RemunerationOfLabourAndCapital_6
313;I Accommodation and food serving;2000;87.6;4299.0;2019.0;2910.0;6318.0;7209.0
314;I Accommodation and food serving;2001;86.7;4461.0;2143.0;3155.0;6604.0;7616.0
315;I Accommodation and food serving;2002;84.8;4516.0;2361.0;3598.0;6877.0;8114.0
316;I Accommodation and food serving;2003;86.4;4484.0;2195.0;3245.0;6679.0;7729.0
317;I Accommodation and food serving;2004;86.5;4488.0;2163.0;3203.0;6651.0;7691.0
318;I Accommodation and food serving;2005;86.2;4548.0;2165.0;3236.0;6713.0;7784.0
319;I Accommodation and food serving;2006;86.2;4693.0;2175.0;3274.0;6868.0;7967.0
320;I Accommodation and food serving;2007;84.9;4892.0;2342.0;3632.0;7234.0;8524.0
321;I Accommodation and food serving;2008;87.5;5089.0;2181.0;3220.0;7270.0;8309.0
322;I Accommodation and food serving;2009;89.2;5120.0;2149.0;3032.0;7269.0;8152.0
323;I Accommodation and food serving;2010;91.6;5272.0;2071.0;2747.0;7343.0;8019.0
324;I Accommodation and food serving;2011;90.3;5497.0;2221.0;3051.0;7718.0;8548.0
325;I Accommodation and food serving;2012;90.3;5627.0;2226.0;3067.0;7853.0;8694.0
326;I Accommodation and food serving;2013;88.7;5745.0;2221.0;3235.0;7966.0;8980.0
327;I Accommodation and food serving;2014;87.0;6032.0;2439.0;3701.0;8471.0;9733.0
328;I Accommodation and food serving;2015;85.0;6304.0;2787.0;4397.0;9091.0;10701.0
329;I Accommodation and food serving;2016;82.5;6715.0;2921.0;4970.0;9636.0;11685.0
330;I Accommodation and food serving;2017;80.8;7131.0;2962.0;5355.0;10093.0;12486.0
331;I Accommodation and food serving;2018;80.7;7708.0;3182.0;5793.0;10890.0;13501.0
332;I Accommodation and food serving;2019;82.1;8235.0;3210.0;5710.0;11445.0;13945.0
333;I Accommodation and food serving;2020;101.5;7712.0;2515.0;2364.0;10227.0;10076.0
334;I Accommodation and food serving;2021;89.6;7591.0;3893.0;5228.0;11484.0;12819.0
335;I Accommodation and food serving;2022;92.6;9114.0;6129.0;7342.0;15243.0;16456.0
336;J Information and communication;1995;70.3;5081.0;312.0;2589.0;5393.0;7670.0
337;J Information and communication;1996;70.8;5688.0;386.0;2895.0;6074.0;8583.0
338;J Information and communication;1997;68.5;6558.0;491.0;3733.0;7049.0;10291.0
339;J Information and communication;1998;69.6;7851.0;575.0;4250.0;8426.0;12101.0
340;J Information and communication;1999;72.9;9201.0;665.0;4338.0;9866.0;13539.0
341;J Information and communication;2000;76.8;10669.0;732.0;4184.0;11401.0;14853.0
342;J Information and communication;2001;74.2;11382.0;833.0;5073.0;12215.0;16455.0
343;J Information and communication;2002;67.7;11149.0;823.0;6522.0;11972.0;17671.0
344;J Information and communication;2003;63.2;11114.0;834.0;7779.0;11948.0;18893.0
345;J Information and communication;2004;62.1;11070.0;870.0;8153.0;11940.0;19223.0
346;J Information and communication;2005;62.6;11627.0;911.0;8395.0;12538.0;20022.0
347;J Information and communication;2006;62.3;12257.0;997.0;9022.0;13254.0;21279.0
348;J Information and communication;2007;60.9;13233.0;1086.0;10288.0;14319.0;23521.0
349;J Information and communication;2008;64.2;14239.0;1122.0;9676.0;15361.0;23915.0
350;J Information and communication;2009;70.0;14635.0;1055.0;7784.0;15690.0;22419.0
351;J Information and communication;2010;66.6;13960.0;1080.0;8617.0;15040.0;22577.0
352;J Information and communication;2011;69.0;14336.0;1224.0;8226.0;15560.0;22562.0
353;J Information and communication;2012;72.1;14702.0;1315.0;7518.0;16017.0;22220.0
354;J Information and communication;2013;71.8;14589.0;1313.0;7549.0;15902.0;22138.0
355;J Information and communication;2014;71.6;14746.0;1458.0;7875.0;16204.0;22621.0
356;J Information and communication;2015;72.3;15455.0;1628.0;8175.0;17083.0;23630.0
357;J Information and communication;2016;72.3;16251.0;1772.0;8688.0;18023.0;24939.0
358;J Information and communication;2017;73.5;17290.0;1854.0;8754.0;19144.0;26044.0
359;J Information and communication;2018;74.0;18480.0;2063.0;9268.0;20543.0;27748.0
360;J Information and communication;2019;73.4;19948.0;2236.0;10260.0;22184.0;30208.0
361;J Information and communication;2020;70.5;20896.0;2390.0;12143.0;23286.0;33039.0
362;J Information and communication;2021;74.5;23182.0;2659.0;11518.0;25841.0;34700.0
363;J Information and communication;2022;79.9;25442.0;2746.0;9849.0;28188.0;35291.0
364;K Financial institutions;1995;45.9;8995.0;159.0;10958.0;9154.0;19953.0
365;K Financial institutions;1996;47.0;9499.0;197.0;11120.0;9696.0;20619.0
366;K Financial institutions;1997;49.3;10484.0;235.0;11246.0;10719.0;21730.0
367;K Financial institutions;1998;50.7;11164.0;269.0;11367.0;11433.0;22531.0
368;K Financial institutions;1999;52.3;12435.0;285.0;11878.0;12720.0;24313.0
369;K Financial institutions;2000;54.6;13681.0;307.0;11946.0;13988.0;25627.0
370;K Financial institutions;2001;52.2;14223.0;305.0;13608.0;14528.0;27831.0
371;K Financial institutions;2002;55.2;15816.0;297.0;13396.0;16113.0;29212.0
372;K Financial institutions;2003;52.6;15690.0;309.0;14740.0;15999.0;30430.0
373;K Financial institutions;2004;52.4;15907.0;322.0;15088.0;16229.0;30995.0
374;K Financial institutions;2005;52.7;16470.0;315.0;15372.0;16785.0;31842.0
375;K Financial institutions;2006;56.9;17180.0;367.0;13663.0;17547.0;30843.0
376;K Financial institutions;2007;63.0;18569.0;387.0;11541.0;18956.0;30110.0
377;K Financial institutions;2008;64.3;18831.0;334.0;10952.0;19165.0;29783.0
378;K Financial institutions;2009;47.7;18172.0;316.0;20604.0;18488.0;38776.0
379;K Financial institutions;2010;39.4;17982.0;348.0;28487.0;18330.0;46469.0
380;K Financial institutions;2011;40.7;18224.0;344.0;27365.0;18568.0;45589.0
381;K Financial institutions;2012;37.9;18113.0;348.0;30624.0;18461.0;48737.0
382;K Financial institutions;2013;40.2;19007.0;325.0;29062.0;19332.0;48069.0
383;K Financial institutions;2014;40.4;18953.0;341.0;28749.0;19294.0;47702.0
384;K Financial institutions;2015;38.6;17835.0;368.0;29364.0;18203.0;47199.0
385;K Financial institutions;2016;41.5;17851.0;393.0;26080.0;18244.0;43931.0
386;K Financial institutions;2017;42.8;17611.0;398.0;24477.0;18009.0;42088.0
387;K Financial institutions;2018;44.3;17313.0;400.0;22678.0;17713.0;39991.0
388;K Financial institutions;2019;44.3;17647.0;403.0;23054.0;18050.0;40701.0
389;K Financial institutions;2020;48.3;18531.0;416.0;20661.0;18947.0;39192.0
390;K Financial institutions;2021;55.2;19803.0;403.0;16808.0;20206.0;36611.0
391;K Financial institutions;2022;59.1;20858.0;360.0;15059.0;21218.0;35917.0
392;L Renting, buying, selling real estate;1995;32.6;1738.0;2306.0;10675.0;4044.0;12413.0
393;L Renting, buying, selling real estate;1996;32.6;1840.0;2451.0;11335.0;4291.0;13175.0
394;L Renting, buying, selling real estate;1997;31.4;1930.0;2649.0;12668.0;4579.0;14598.0
395;L Renting, buying, selling real estate;1998;31.1;2187.0;2757.0;13709.0;4944.0;15896.0
396;L Renting, buying, selling real estate;1999;31.6;2398.0;2810.0;14087.0;5208.0;16485.0
397;L Renting, buying, selling real estate;2000;31.3;2665.0;2792.0;14769.0;5457.0;17434.0
398;L Renting, buying, selling real estate;2001;51.5;2731.0;2608.0;7642.0;5339.0;10373.0
399;L Renting, buying, selling real estate;2002;51.8;2943.0;2567.0;7702.0;5510.0;10645.0
400;L Renting, buying, selling real estate;2003;48.4;3200.0;2503.0;8589.0;5703.0;11789.0
401;L Renting, buying, selling real estate;2004;43.5;3166.0;2539.0;9961.0;5705.0;13127.0
402;L Renting, buying, selling real estate;2005;43.6;3219.0;2498.0;9906.0;5717.0;13125.0
403;L Renting, buying, selling real estate;2006;33.9;3298.0;2481.0;13744.0;5779.0;17042.0
404;L Renting, buying, selling real estate;2007;28.0;3478.0;2391.0;17519.0;5869.0;20997.0
405;L Renting, buying, selling real estate;2008;28.2;3709.0;2188.0;17184.0;5897.0;20893.0
406;L Renting, buying, selling real estate;2009;69.5;3730.0;1861.0;4311.0;5591.0;8041.0
407;L Renting, buying, selling real estate;2010;93.4;3625.0;1918.0;2308.0;5543.0;5933.0
408;L Renting, buying, selling real estate;2011;71.8;3653.0;2012.0;4234.0;5665.0;7887.0
409;L Renting, buying, selling real estate;2012;142.8;3630.0;2053.0;349.0;5683.0;3979.0
410;L Renting, buying, selling real estate;2013;99.8;3563.0;1985.0;1994.0;5548.0;5557.0
411;L Renting, buying, selling real estate;2014;68.1;3516.0;2004.0;4584.0;5520.0;8100.0
412;L Renting, buying, selling real estate;2015;57.8;3462.0;2229.0;6380.0;5691.0;9842.0
413;L Renting, buying, selling real estate;2016;50.2;3481.0;2298.0;8024.0;5779.0;11505.0
414;L Renting, buying, selling real estate;2017;40.2;3563.0;2443.0;11395.0;6006.0;14958.0
415;L Renting, buying, selling real estate;2018;35.9;3718.0;2645.0;13988.0;6363.0;17706.0
416;L Renting, buying, selling real estate;2019;38.0;3883.0;3000.0;14211.0;6883.0;18094.0
417;L Renting, buying, selling real estate;2020;37.6;4050.0;2860.0;14310.0;6910.0;18360.0
418;L Renting, buying, selling real estate;2021;31.4;4139.0;2169.0;15958.0;6308.0;20097.0
419;L Renting, buying, selling real estate;2022;22.9;4324.0;1968.0;23137.0;6292.0;27461.0
420;M-N Business services;1995;88.1;22514.0;3676.0;7204.0;26190.0;29718.0
421;M-N Business services;1996;85.8;24792.0;4118.0;8900.0;28910.0;33692.0
422;M-N Business services;1997;86.4;27683.0;4504.0;9569.0;32187.0;37252.0
423;M-N Business services;1998;86.7;30554.0;4912.0;10369.0;35466.0;40923.0
424;M-N Business services;1999;86.4;33580.0;5451.0;11616.0;39031.0;45196.0
425;M-N Business services;2000;88.0;37384.0;5906.0;11796.0;43290.0;49180.0
426;M-N Business services;2001;85.0;39535.0;6580.0;14691.0;46115.0;54226.0
427;M-N Business services;2002;86.9;40450.0;6546.0;13617.0;46996.0;54067.0
428;M-N Business services;2003;87.8;40770.0;6530.0;13093.0;47300.0;53863.0
429;M-N Business services;2004;87.0;41498.0;6656.0;13849.0;48154.0;55347.0
430;M-N Business services;2005;85.4;42986.0;6879.0;15437.0;49865.0;58423.0
431;M-N Business services;2006;83.3;45875.0;7286.0;17944.0;53161.0;63819.0
432;M-N Business services;2007;83.0;50153.0;7776.0;19616.0;57929.0;69769.0
433;M-N Business services;2008;82.8;53988.0;8268.0;21245.0;62256.0;75233.0
434;M-N Business services;2009;83.4;52754.0;8143.0;20275.0;60897.0;73029.0
435;M-N Business services;2010;83.4;51584.0;7973.0;19808.0;59557.0;71392.0
436;M-N Business services;2011;84.1;53585.0;8666.0;20450.0;62251.0;74035.0
437;M-N Business services;2012;85.7;54289.0;8902.0;19409.0;63191.0;73698.0
438;M-N Business services;2013;87.1;54507.0;8957.0;18391.0;63464.0;72898.0
439;M-N Business services;2014;86.9;56315.0;9631.0;19602.0;65946.0;75917.0
440;M-N Business services;2015;84.3;58015.0;10274.0;23027.0;68289.0;81042.0
441;M-N Business services;2016;84.8;61037.0;11046.0;23986.0;72083.0;85023.0
442;M-N Business services;2017;84.5;64611.0;11629.0;25596.0;76240.0;90207.0
443;M-N Business services;2018;84.8;68924.0;12723.0;27325.0;81647.0;96249.0
444;M-N Business services;2019;85.5;71910.0;13343.0;27815.0;85253.0;99725.0
445;M-N Business services;2020;89.9;71608.0;13386.0;22942.0;84994.0;94550.0
446;M-N Business services;2021;86.1;75205.0;14600.0;29086.0;89805.0;104291.0
447;M-N Business services;2022;85.2;82446.0;16076.0;33190.0;98522.0;115636.0
448;M Other specialised business services;1995;87.5;14331.0;2687.0;5120.0;17018.0;19451.0
449;M Other specialised business services;1996;85.5;15253.0;2959.0;6042.0;18212.0;21295.0
450;M Other specialised business services;1997;85.5;16828.0;3223.0;6618.0;20051.0;23446.0
451;M Other specialised business services;1998;87.1;18170.0;3428.0;6626.0;21598.0;24796.0
452;M Other specialised business services;1999;86.5;20014.0;3800.0;7530.0;23814.0;27544.0
453;M Other specialised business services;2000;88.9;22735.0;4137.0;7502.0;26872.0;30237.0
454;M Other specialised business services;2001;86.9;24492.0;4602.0;8982.0;29094.0;33474.0
455;M Other specialised business services;2002;88.2;25581.0;4573.0;8595.0;30154.0;34176.0
456;M Other specialised business services;2003;88.9;26140.0;4518.0;8327.0;30658.0;34467.0
457;M Other specialised business services;2004;87.0;26460.0;4588.0;9211.0;31048.0;35671.0
458;M Other specialised business services;2005;84.6;26967.0;4804.0;10574.0;31771.0;37541.0
459;M Other specialised business services;2006;81.9;28139.0;5093.0;12436.0;33232.0;40575.0
460;M Other specialised business services;2007;81.1;29934.0;5431.0;13646.0;35365.0;43580.0
461;M Other specialised business services;2008;81.8;32294.0;5775.0;14218.0;38069.0;46512.0
462;M Other specialised business services;2009;84.3;32717.0;5537.0;12675.0;38254.0;45392.0
463;M Other specialised business services;2010;82.3;31568.0;5371.0;13315.0;36939.0;44883.0
464;M Other specialised business services;2011;83.2;32316.0;5847.0;13578.0;38163.0;45894.0
465;M Other specialised business services;2012;86.8;32928.0;6071.0;12013.0;38999.0;44941.0
466;M Other specialised business services;2013;89.0;32912.0;6122.0;10940.0;39034.0;43852.0
467;M Other specialised business services;2014;88.5;33634.0;6631.0;11869.0;40265.0;45503.0
468;M Other specialised business services;2015;84.6;33366.0;7380.0;14819.0;40746.0;48185.0
469;M Other specialised business services;2016;85.4;34381.0;8034.0;15296.0;42415.0;49677.0
470;M Other specialised business services;2017;86.6;35660.0;8426.0;15241.0;44086.0;50901.0
471;M Other specialised business services;2018;87.6;37329.0;9248.0;15867.0;46577.0;53196.0
472;M Other specialised business services;2019;88.5;39321.0;9622.0;15964.0;48943.0;55285.0
473;M Other specialised business services;2020;88.1;40974.0;9547.0;16368.0;50521.0;57342.0
474;M Other specialised business services;2021;85.6;42780.0;10220.0;19105.0;53000.0;61885.0
475;M Other specialised business services;2022;87.0;46650.0;11221.0;19863.0;57871.0;66513.0
476;N Renting and other business support;1995;89.3;8183.0;989.0;2084.0;9172.0;10267.0
477;N Renting and other business support;1996;86.3;9539.0;1159.0;2858.0;10698.0;12397.0
478;N Renting and other business support;1997;87.9;10855.0;1281.0;2951.0;12136.0;13806.0
479;N Renting and other business support;1998;86.0;12384.0;1484.0;3743.0;13868.0;16127.0
480;N Renting and other business support;1999;86.2;13566.0;1651.0;4086.0;15217.0;17652.0
481;N Renting and other business support;2000;86.7;14649.0;1769.0;4294.0;16418.0;18943.0
482;N Renting and other business support;2001;82.0;15043.0;1978.0;5709.0;17021.0;20752.0
483;N Renting and other business support;2002;84.7;14869.0;1973.0;5022.0;16842.0;19891.0
484;N Renting and other business support;2003;85.8;14630.0;2012.0;4766.0;16642.0;19396.0
485;N Renting and other business support;2004;86.9;15038.0;2068.0;4638.0;17106.0;19676.0
486;N Renting and other business support;2005;86.6;16019.0;2075.0;4863.0;18094.0;20882.0
487;N Renting and other business support;2006;85.7;17736.0;2193.0;5508.0;19929.0;23244.0
488;N Renting and other business support;2007;86.2;20219.0;2345.0;5970.0;22564.0;26189.0
489;N Renting and other business support;2008;84.2;21694.0;2493.0;7027.0;24187.0;28721.0
490;N Renting and other business support;2009;81.9;20037.0;2606.0;7600.0;22643.0;27637.0
491;N Renting and other business support;2010;85.3;20016.0;2602.0;6493.0;22618.0;26509.0
492;N Renting and other business support;2011;85.6;21269.0;2819.0;6872.0;24088.0;28141.0
493;N Renting and other business support;2012;84.1;21361.0;2831.0;7396.0;24192.0;28757.0
494;N Renting and other business support;2013;84.1;21595.0;2835.0;7451.0;24430.0;29046.0
495;N Renting and other business support;2014;84.4;22681.0;3000.0;7733.0;25681.0;30414.0
496;N Renting and other business support;2015;83.8;24649.0;2894.0;8208.0;27543.0;32857.0
497;N Renting and other business support;2016;83.9;26656.0;3012.0;8690.0;29668.0;35346.0
498;N Renting and other business support;2017;81.8;28951.0;3203.0;10355.0;32154.0;39306.0
499;N Renting and other business support;2018;81.5;31595.0;3475.0;11458.0;35070.0;43053.0
500;N Renting and other business support;2019;81.7;32589.0;3721.0;11851.0;36310.0;44440.0
501;N Renting and other business support;2020;92.6;30634.0;3839.0;6574.0;34473.0;37208.0
502;N Renting and other business support;2021;86.8;32425.0;4380.0;9981.0;36805.0;42406.0
503;N Renting and other business support;2022;82.8;35796.0;4855.0;13327.0;40651.0;49123.0
504;O-Q Government and care;1995;100.1;43547.0;2285.0;2226.0;45832.0;45773.0
505;O-Q Government and care;1996;100.8;44464.0;2324.0;1955.0;46788.0;46419.0
506;O-Q Government and care;1997;100.3;46192.0;2549.0;2420.0;48741.0;48612.0
507;O-Q Government and care;1998;101.2;49039.0;2677.0;2077.0;51716.0;51116.0
508;O-Q Government and care;1999;101.6;51926.0;2834.0;1960.0;54760.0;53886.0
509;O-Q Government and care;2000;101.6;55127.0;2999.0;2063.0;58126.0;57190.0
510;O-Q Government and care;2001;101.1;59903.0;3467.0;2764.0;63370.0;62667.0
511;O-Q Government and care;2002;99.3;65501.0;3677.0;4177.0;69178.0;69678.0
512;O-Q Government and care;2003;100.2;70335.0;3964.0;3783.0;74299.0;74118.0
513;O-Q Government and care;2004;100.1;72469.0;4280.0;4205.0;76749.0;76674.0
514;O-Q Government and care;2005;100.5;74260.0;4528.0;4174.0;78788.0;78434.0
515;O-Q Government and care;2006;100.1;76544.0;4860.0;4767.0;81404.0;81311.0
516;O-Q Government and care;2007;100.4;79851.0;5420.0;5117.0;85271.0;84968.0
517;O-Q Government and care;2008;100.3;84992.0;6228.0;5989.0;91220.0;90981.0
518;O-Q Government and care;2009;99.3;89735.0;7299.0;7993.0;97034.0;97728.0
519;O-Q Government and care;2010;100.3;92942.0;8383.0;8104.0;101325.0;101046.0
520;O-Q Government and care;2011;101.5;94724.0;8696.0;7204.0;103420.0;101928.0
521;O-Q Government and care;2012;100.9;96442.0;8574.0;7614.0;105016.0;104056.0
522;O-Q Government and care;2013;100.2;97353.0;8208.0;7993.0;105561.0;105346.0
523;O-Q Government and care;2014;99.7;97819.0;8461.0;8770.0;106280.0;106589.0
524;O-Q Government and care;2015;98.5;98090.0;7223.0;8865.0;105313.0;106955.0
525;O-Q Government and care;2016;98.3;100615.0;7911.0;9827.0;108526.0;110442.0
526;O-Q Government and care;2017;98.8;103833.0;8211.0;9545.0;112044.0;113378.0
527;O-Q Government and care;2018;98.3;108131.0;8660.0;10710.0;116791.0;118841.0
528;O-Q Government and care;2019;98.5;114425.0;9267.0;11145.0;123692.0;125570.0
529;O-Q Government and care;2020;99.1;123135.0;9363.0;10593.0;132498.0;133728.0
530;O-Q Government and care;2021;96.6;127221.0;9964.0;14779.0;137185.0;142000.0
531;O-Q Government and care;2022;99.3;136227.0;9656.0;10651.0;145883.0;146878.0
532;O Public administration and services;1995;100.0;15880.0;0.0;0.0;15880.0;15880.0
533;O Public administration and services;1996;100.0;15721.0;0.0;0.0;15721.0;15721.0
534;O Public administration and services;1997;100.0;16335.0;0.0;0.0;16335.0;16335.0
535;O Public administration and services;1998;100.0;16897.0;0.0;0.0;16897.0;16897.0
536;O Public administration and services;1999;100.0;17928.0;0.0;0.0;17928.0;17928.0
537;O Public administration and services;2000;100.0;19191.0;0.0;0.0;19191.0;19191.0
538;O Public administration and services;2001;100.0;20827.0;0.0;0.0;20827.0;20827.0
539;O Public administration and services;2002;100.0;22508.0;0.0;0.0;22508.0;22508.0
540;O Public administration and services;2003;100.0;23878.0;0.0;0.0;23878.0;23878.0
541;O Public administration and services;2004;100.0;24194.0;0.0;0.0;24194.0;24194.0
542;O Public administration and services;2005;100.0;24432.0;0.0;0.0;24432.0;24432.0
543;O Public administration and services;2006;100.0;24717.0;0.0;0.0;24717.0;24717.0
544;O Public administration and services;2007;100.0;25632.0;0.0;0.0;25632.0;25632.0
545;O Public administration and services;2008;100.0;26948.0;0.0;0.0;26948.0;26948.0
546;O Public administration and services;2009;100.0;28539.0;0.0;0.0;28539.0;28539.0
547;O Public administration and services;2010;100.0;29340.0;0.0;0.0;29340.0;29340.0
548;O Public administration and services;2011;100.0;29159.0;0.0;0.0;29159.0;29159.0
549;O Public administration and services;2012;100.0;29505.0;0.0;0.0;29505.0;29505.0
550;O Public administration and services;2013;100.0;29633.0;0.0;0.0;29633.0;29633.0
551;O Public administration and services;2014;100.0;29546.0;0.0;0.0;29546.0;29546.0
552;O Public administration and services;2015;100.0;29556.0;0.0;0.0;29556.0;29556.0
553;O Public administration and services;2016;100.0;30383.0;0.0;0.0;30383.0;30383.0
554;O Public administration and services;2017;100.0;31470.0;0.0;0.0;31470.0;31470.0
555;O Public administration and services;2018;100.0;32850.0;0.0;0.0;32850.0;32850.0
556;O Public administration and services;2019;100.0;34704.0;0.0;0.0;34704.0;34704.0
557;O Public administration and services;2020;100.0;36405.0;0.0;0.0;36405.0;36405.0
558;O Public administration and services;2021;100.0;37854.0;0.0;0.0;37854.0;37854.0
559;O Public administration and services;2022;100.0;41069.0;0.0;0.0;41069.0;41069.0
560;P Education;1995;101.2;11615.0;506.0;357.0;12121.0;11972.0
561;P Education;1996;101.3;11926.0;532.0;376.0;12458.0;12302.0
562;P Education;1997;101.1;12396.0;592.0;450.0;12988.0;12846.0
563;P Education;1998;101.1;13093.0;643.0;490.0;13736.0;13583.0
564;P Education;1999;101.4;13739.0;681.0;478.0;14420.0;14217.0
565;P Education;2000;101.7;14339.0;698.0;450.0;15037.0;14789.0
566;P Education;2001;100.6;15107.0;795.0;699.0;15902.0;15806.0
567;P Education;2002;100.2;16247.0;865.0;827.0;17112.0;17074.0
568;P Education;2003;100.4;17053.0;848.0;778.0;17901.0;17831.0
569;P Education;2004;100.1;17582.0;836.0;812.0;18418.0;18394.0
570;P Education;2005;99.9;18045.0;866.0;878.0;18911.0;18923.0
571;P Education;2006;99.5;18738.0;862.0;955.0;19600.0;19693.0
572;P Education;2007;99.3;19542.0;887.0;1038.0;20429.0;20580.0
573;P Education;2008;99.4;21036.0;912.0;1045.0;21948.0;22081.0
574;P Education;2009;99.0;22114.0;885.0;1115.0;22999.0;23229.0
575;P Education;2010;99.3;22586.0;816.0;989.0;23402.0;23575.0
576;P Education;2011;99.9;22782.0;889.0;908.0;23671.0;23690.0
577;P Education;2012;100.3;22866.0;931.0;868.0;23797.0;23734.0
578;P Education;2013;99.7;22777.0;930.0;995.0;23707.0;23772.0
579;P Education;2014;99.1;22943.0;1000.0;1212.0;23943.0;24155.0
580;P Education;2015;99.3;23344.0;1123.0;1305.0;24467.0;24649.0
581;P Education;2016;99.0;24001.0;1247.0;1500.0;25248.0;25501.0
582;P Education;2017;99.0;24575.0;1348.0;1608.0;25923.0;26183.0
583;P Education;2018;99.4;25578.0;1510.0;1661.0;27088.0;27239.0
584;P Education;2019;99.7;26522.0;1637.0;1714.0;28159.0;28236.0
585;P Education;2020;101.2;28274.0;1616.0;1260.0;29890.0;29534.0
586;P Education;2021;101.4;29407.0;1869.0;1437.0;31276.0;30844.0
587;P Education;2022;102.1;32405.0;1849.0;1129.0;34254.0;33534.0
588;Q Health and social work activities;1995;99.5;16052.0;1779.0;1869.0;17831.0;17921.0
589;Q Health and social work activities;1996;101.2;16817.0;1792.0;1579.0;18609.0;18396.0
590;Q Health and social work activities;1997;99.9;17461.0;1957.0;1970.0;19418.0;19431.0
591;Q Health and social work activities;1998;102.2;19049.0;2034.0;1587.0;21083.0;20636.0
592;Q Health and social work activities;1999;103.1;20259.0;2153.0;1482.0;22412.0;21741.0
593;Q Health and social work activities;2000;103.0;21597.0;2301.0;1613.0;23898.0;23210.0
594;Q Health and social work activities;2001;102.3;23969.0;2672.0;2065.0;26641.0;26034.0
595;Q Health and social work activities;2002;98.2;26746.0;2812.0;3350.0;29558.0;30096.0
596;Q Health and social work activities;2003;100.3;29404.0;3116.0;3005.0;32520.0;32409.0
597;Q Health and social work activities;2004;100.1;30693.0;3444.0;3393.0;34137.0;34086.0
598;Q Health and social work activities;2005;101.0;31783.0;3662.0;3296.0;35445.0;35079.0
599;Q Health and social work activities;2006;100.5;33089.0;3998.0;3812.0;37087.0;36901.0
600;Q Health and social work activities;2007;101.2;34677.0;4533.0;4079.0;39210.0;38756.0
601;Q Health and social work activities;2008;100.9;37008.0;5316.0;4944.0;42324.0;41952.0
602;Q Health and social work activities;2009;99.0;39082.0;6414.0;6878.0;45496.0;45960.0
603;Q Health and social work activities;2010;100.9;41016.0;7567.0;7115.0;48583.0;48131.0
604;Q Health and social work activities;2011;103.1;42783.0;7807.0;6296.0;50590.0;49079.0
605;Q Health and social work activities;2012;101.8;44071.0;7643.0;6746.0;51714.0;50817.0
606;Q Health and social work activities;2013;100.5;44943.0;7278.0;6998.0;52221.0;51941.0
607;Q Health and social work activities;2014;99.8;45330.0;7461.0;7558.0;52791.0;52888.0
608;Q Health and social work activities;2015;97.2;45190.0;6100.0;7560.0;51290.0;52750.0
609;Q Health and social work activities;2016;97.0;46231.0;6664.0;8327.0;52895.0;54558.0
610;Q Health and social work activities;2017;98.1;47788.0;6863.0;7937.0;54651.0;55725.0
611;Q Health and social work activities;2018;96.8;49703.0;7150.0;9049.0;56853.0;58752.0
612;Q Health and social work activities;2019;97.1;53199.0;7630.0;9431.0;60829.0;62630.0
613;Q Health and social work activities;2020;97.7;58456.0;7747.0;9333.0;66203.0;67789.0
614;Q Health and social work activities;2021;92.8;59960.0;8095.0;13342.0;68055.0;73302.0
615;Q Health and social work activities;2022;97.6;62753.0;7807.0;9522.0;70560.0;72275.0
616;R-U Culture, recreation, other services;1995;98.7;4417.0;1756.0;1837.0;6173.0;6254.0
617;R-U Culture, recreation, other services;1996;97.8;4577.0;1793.0;1934.0;6370.0;6511.0
618;R-U Culture, recreation, other services;1997;93.8;4833.0;1938.0;2389.0;6771.0;7222.0
619;R-U Culture, recreation, other services;1998;94.2;5215.0;2083.0;2536.0;7298.0;7751.0
620;R-U Culture, recreation, other services;1999;94.2;5546.0;2275.0;2759.0;7821.0;8305.0
621;R-U Culture, recreation, other services;2000;94.9;6053.0;2394.0;2847.0;8447.0;8900.0
622;R-U Culture, recreation, other services;2001;94.1;6369.0;2594.0;3156.0;8963.0;9525.0
623;R-U Culture, recreation, other services;2002;93.4;6650.0;2765.0;3431.0;9415.0;10081.0
624;R-U Culture, recreation, other services;2003;93.3;6849.0;2770.0;3461.0;9619.0;10310.0
625;R-U Culture, recreation, other services;2004;92.3;6991.0;2792.0;3613.0;9783.0;10604.0
626;R-U Culture, recreation, other services;2005;91.4;7084.0;2853.0;3789.0;9937.0;10873.0
627;R-U Culture, recreation, other services;2006;90.4;7277.0;2916.0;4004.0;10193.0;11281.0
628;R-U Culture, recreation, other services;2007;89.9;7614.0;3055.0;4260.0;10669.0;11874.0
629;R-U Culture, recreation, other services;2008;90.6;8033.0;3160.0;4328.0;11193.0;12361.0
630;R-U Culture, recreation, other services;2009;91.4;8391.0;3164.0;4251.0;11555.0;12642.0
631;R-U Culture, recreation, other services;2010;90.7;8648.0;3273.0;4489.0;11921.0;13137.0
632;R-U Culture, recreation, other services;2011;90.1;8859.0;3169.0;4485.0;12028.0;13344.0
633;R-U Culture, recreation, other services;2012;91.0;8785.0;3198.0;4386.0;11983.0;13171.0
634;R-U Culture, recreation, other services;2013;92.6;8628.0;3235.0;4184.0;11863.0;12812.0
635;R-U Culture, recreation, other services;2014;93.3;8749.0;3387.0;4259.0;12136.0;13008.0
636;R-U Culture, recreation, other services;2015;90.3;8667.0;3345.0;4636.0;12012.0;13303.0
637;R-U Culture, recreation, other services;2016;91.0;8977.0;3511.0;4753.0;12488.0;13730.0
638;R-U Culture, recreation, other services;2017;92.4;9379.0;3743.0;4816.0;13122.0;14195.0
