ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
214;23 Manufacture of building materials;2021;1499;1477;22;1393.0;1370.0;22.0;22.4;23.0;-4.3;107.6;107.8;100.7
215;23 Manufacture of building materials;2022;1840;1817;23;1522.0;1498.0;23.0;9.3;9.3;4.5;120.9;121.3;100.7
216;24-25 Man. of basic metals and -products;2015;9352;8785;567;9352.0;8785.0;567.0;;;;100.0;100.0;100.0
217;24-25 Man. of basic metals and -products;2016;9484;8904;580;9607.0;9037.0;570.0;2.7;2.9;0.5;98.7;98.5;101.8
218;24-25 Man. of basic metals and -products;2017;10690;10013;677;10175.0;9516.0;657.0;5.9;5.3;15.3;105.1;105.2;103.0
219;24-25 Man. of basic metals and -products;2018;11481;10730;751;10642.0;9926.0;715.0;4.6;4.3;8.7;107.9;108.1;105.1
220;24-25 Man. of basic metals and -products;2019;10706;9960;746;9983.0;9285.0;698.0;-6.2;-6.5;-2.4;107.2;107.3;106.9
221;24-25 Man. of basic metals and -products;2020;9609;8910;699;9078.0;8422.0;656.0;-9.1;-9.3;-6.0;105.8;105.8;106.6
222;24-25 Man. of basic metals and -products;2021;13609;12723;886;10982.0;10189.0;792.0;21.0;21.0;20.9;123.9;124.9;111.8
223;24-25 Man. of basic metals and -products;2022;17192;16142;1050;11080.0;10271.0;809.0;0.9;0.8;2.1;155.2;157.2;129.7
224;24 Manufacture of basic metals;2015;4983;4881;102;4983.0;4881.0;102.0;;;;100.0;100.0;100.0
225;24 Manufacture of basic metals;2016;4759;4664;95;4861.0;4767.0;94.0;-2.4;-2.3;-7.8;97.9;97.8;101.1
226;24 Manufacture of basic metals;2017;5985;5871;114;5538.0;5425.0;113.0;13.9;13.8;20.0;108.1;108.2;101.1
227;24 Manufacture of basic metals;2018;6471;6349;122;5829.0;5710.0;119.0;5.2;5.2;5.3;111.0;111.2;102.7
228;24 Manufacture of basic metals;2019;5698;5574;124;5266.0;5149.0;118.0;-9.7;-9.8;-0.8;108.2;108.3;105.3
229;24 Manufacture of basic metals;2020;4765;4654;111;4520.0;4414.0;106.0;-14.2;-14.3;-9.7;105.4;105.4;104.4
230;24 Manufacture of basic metals;2021;7617;7473;144;5731.0;5599.0;133.0;26.8;26.8;25.2;132.9;133.5;108.1
231;24 Manufacture of basic metals;2022;10179;9997;182;5707.0;5584.0;121.0;-0.4;-0.3;-9.0;178.4;179.0;150.2
232;25 Manufacture of metal products;2015;4369;3904;465;4369.0;3904.0;465.0;;;;100.0;100.0;100.0
233;25 Manufacture of metal products;2016;4725;4240;485;4746.0;4270.0;476.0;8.6;9.4;2.4;99.6;99.3;101.9
234;25 Manufacture of metal products;2017;4705;4142;563;4644.0;4097.0;545.0;-2.2;-4.1;14.4;101.3;101.1;103.4
235;25 Manufacture of metal products;2018;5010;4381;629;4817.0;4218.0;596.0;3.7;3.0;9.4;104.0;103.9;105.5
236;25 Manufacture of metal products;2019;5008;4386;622;4735.0;4152.0;580.0;-1.7;-1.6;-2.7;105.8;105.6;107.3
237;25 Manufacture of metal products;2020;4844;4256;588;4580.0;4029.0;549.0;-3.3;-3.0;-5.3;105.8;105.6;107.1
238;25 Manufacture of metal products;2021;5992;5250;742;5278.0;4616.0;659.0;15.2;14.6;20.1;113.5;113.7;112.5
239;25 Manufacture of metal products;2022;7013;6145;868;5414.0;4723.0;688.0;2.6;2.3;4.3;129.5;130.1;126.2
240;26-27 Elektrical and electron. Industry;2015;40104;36879;3225;40104.0;36879.0;3225.0;;;;100.0;100.0;100.0
241;26-27 Elektrical and electron. Industry;2016;36413;33721;2692;37689.0;34987.0;2702.0;-6.0;-5.1;-16.2;96.6;96.4;99.6
242;26-27 Elektrical and electron. Industry;2017;36150;33459;2691;37286.0;34616.0;2671.0;-1.1;-1.1;-1.2;97.0;96.7;100.8
243;26-27 Elektrical and electron. Industry;2018;33478;30851;2627;34281.0;31735.0;2542.0;-8.1;-8.3;-4.8;97.7;97.2;103.3
244;26-27 Elektrical and electron. Industry;2019;24563;22250;2313;25622.0;23417.0;2185.0;-25.3;-26.2;-14.0;95.9;95.0;105.9
245;26-27 Elektrical and electron. Industry;2020;22032;20115;1917;23252.0;21457.0;1798.0;-9.2;-8.4;-17.7;94.8;93.7;106.6
246;26-27 Elektrical and electron. Industry;2021;15980;14712;1268;16689.0;15546.0;1162.0;-28.2;-27.5;-35.4;95.8;94.6;109.1
247;26-27 Elektrical and electron. Industry;2022;17375;16060;1315;17130.0;15991.0;1164.0;2.6;2.9;0.2;101.4;100.4;113.0
248;26 Manufacture of electronic products;2015;36804;34165;2639;36804.0;34165.0;2639.0;;;;100.0;100.0;100.0
249;26 Manufacture of electronic products;2016;33200;30938;2262;34405.0;32127.0;2278.0;-6.5;-6.0;-13.7;96.5;96.3;99.3
250;26 Manufacture of electronic products;2017;32764;30557;2207;33776.0;31580.0;2197.0;-1.8;-1.7;-3.5;97.0;96.8;100.4
251;26 Manufacture of electronic products;2018;29745;27708;2037;30529.0;28557.0;1973.0;-9.6;-9.6;-10.2;97.4;97.0;103.2
252;26 Manufacture of electronic products;2019;20675;18836;1839;21700.0;19942.0;1738.0;-28.9;-30.2;-11.9;95.3;94.5;105.8
253;26 Manufacture of electronic products;2020;18029;16613;1416;19095.0;17781.0;1321.0;-12.0;-10.8;-24.0;94.4;93.4;107.2
254;26 Manufacture of electronic products;2021;11266;10422;844;11932.0;11176.0;769.0;-37.5;-37.1;-41.8;94.4;93.3;109.8
255;26 Manufacture of electronic products;2022;12102;11218;884;12242.0;11474.0;783.0;2.6;2.7;1.8;98.9;97.8;113.0
256;27 Manufacture of electric equipment;2015;3300;2714;586;3300.0;2714.0;586.0;;;;100.0;100.0;100.0
257;27 Manufacture of electric equipment;2016;3213;2783;430;3284.0;2860.0;424.0;-0.5;5.4;-27.6;97.8;97.3;101.4
258;27 Manufacture of electric equipment;2017;3386;2902;484;3507.0;3034.0;472.0;6.8;6.1;11.4;96.6;95.7;102.5
259;27 Manufacture of electric equipment;2018;3733;3143;590;3751.0;3181.0;565.0;7.0;4.9;19.6;99.5;98.8;104.4
260;27 Manufacture of electric equipment;2019;3888;3414;474;3898.0;3456.0;444.0;3.9;8.7;-21.4;99.7;98.8;106.7
261;27 Manufacture of electric equipment;2020;4003;3502;501;4108.0;3638.0;473.0;5.4;5.2;6.5;97.4;96.3;105.8
262;27 Manufacture of electric equipment;2021;4714;4290;424;4667.0;4292.0;392.0;13.6;18.0;-17.2;101.0;100.0;108.1
263;27 Manufacture of electric equipment;2022;5273;4842;431;4796.0;4435.0;380.0;2.8;3.3;-3.1;110.0;109.2;113.4
264;28 Manufacture of machinery n.e.c.;2015;16362;15253;1109;16362.0;15253.0;1109.0;;;;100.0;100.0;100.0
265;28 Manufacture of machinery n.e.c.;2016;16123;15128;995;16031.0;15048.0;983.0;-2.0;-1.3;-11.4;100.6;100.5;101.2
266;28 Manufacture of machinery n.e.c.;2017;19375;18334;1041;19209.0;18196.0;1014.0;19.8;20.9;3.1;100.9;100.8;102.7
267;28 Manufacture of machinery n.e.c.;2018;22437;21371;1066;22082.0;21064.0;1022.0;15.0;15.8;0.9;101.6;101.5;104.3
268;28 Manufacture of machinery n.e.c.;2019;24542;23392;1150;23877.0;22818.0;1065.0;8.1;8.3;4.1;102.8;102.5;108.0
269;28 Manufacture of machinery n.e.c.;2020;24873;23730;1143;23975.0;22934.0;1048.0;0.4;0.5;-1.6;103.7;103.5;109.1
270;28 Manufacture of machinery n.e.c.;2021;29432;28284;1148;27684.0;26683.0;1020.0;15.5;16.3;-2.7;106.3;106.0;112.6
271;28 Manufacture of machinery n.e.c.;2022;34863;33469;1394;31099.0;29941.0;1176.0;12.3;12.2;15.3;112.1;111.8;118.6
272;29-30 Transport equipment;2015;12214;11741;473;12214.0;11741.0;473.0;;;;100.0;100.0;100.0
273;29-30 Transport equipment;2016;14202;13737;465;14168.0;13703.0;465.0;16.0;16.7;-1.7;100.2;100.2;100.0
274;29-30 Transport equipment;2017;15905;15318;587;15914.0;15333.0;581.0;12.3;11.9;24.9;99.9;99.9;101.0
275;29-30 Transport equipment;2018;17890;17331;559;17642.0;17096.0;547.0;10.9;11.5;-5.8;101.4;101.4;102.1
276;29-30 Transport equipment;2019;17844;17150;694;17225.0;16569.0;656.0;-2.4;-3.1;19.9;103.6;103.5;105.8
277;29-30 Transport equipment;2020;16276;15650;626;15466.0;14879.0;587.0;-10.2;-10.2;-10.5;105.2;105.2;106.6
278;29-30 Transport equipment;2021;16461;15827;634;15163.0;14583.0;580.0;-2.0;-2.0;-1.1;108.6;108.5;109.2
279;29-30 Transport equipment;2022;16614;15837;777;14689.0;14010.0;678.0;-3.1;-3.9;16.9;113.1;113.0;114.5
280;29 Manufacture of cars and trailers;2015;6840;6599;241;6840.0;6599.0;241.0;;;;100.0;100.0;100.0
281;29 Manufacture of cars and trailers;2016;8594;8362;232;8584.0;8353.0;231.0;25.5;26.6;-4.1;100.1;100.1;100.4
282;29 Manufacture of cars and trailers;2017;10613;10288;325;10496.0;10176.0;320.0;22.3;21.8;38.4;101.1;101.1;101.7
283;29 Manufacture of cars and trailers;2018;12551;12275;276;12250.0;11982.0;268.0;16.7;17.7;-16.0;102.5;102.4;102.8
284;29 Manufacture of cars and trailers;2019;11496;11210;286;10969.0;10700.0;268.0;-10.5;-10.7;0.0;104.8;104.8;106.5
285;29 Manufacture of cars and trailers;2020;9528;9266;262;8966.0;8719.0;247.0;-18.3;-18.5;-8.0;106.3;106.3;106.1
286;29 Manufacture of cars and trailers;2021;9690;9423;267;8839.0;8593.0;246.0;-1.4;-1.4;-0.4;109.6;109.7;108.6
287;29 Manufacture of cars and trailers;2022;10132;9808;324;8868.0;8586.0;282.0;0.3;-0.1;14.6;114.3;114.2;114.9
288;30 Manufacture of other transport;2015;5374;5142;232;5374.0;5142.0;232.0;;;;100.0;100.0;100.0
289;30 Manufacture of other transport;2016;5608;5375;233;5584.0;5350.0;234.0;3.9;4.0;0.9;100.4;100.5;99.6
290;30 Manufacture of other transport;2017;5292;5030;262;5421.0;5160.0;261.0;-2.9;-3.6;11.6;97.6;97.5;100.3
291;30 Manufacture of other transport;2018;5339;5056;283;5373.0;5093.0;279.0;-0.9;-1.3;6.9;99.4;99.3;101.4
292;30 Manufacture of other transport;2019;6348;5940;408;6268.0;5878.0;389.0;16.7;15.4;39.2;101.3;101.1;105.0
293;30 Manufacture of other transport;2020;6748;6384;364;6542.0;6202.0;341.0;4.4;5.5;-12.3;103.2;102.9;106.8
294;30 Manufacture of other transport;2021;6771;6404;367;6363.0;6029.0;335.0;-2.7;-2.8;-1.6;106.4;106.2;109.5
295;30 Manufacture of other transport;2022;6482;6029;453;5850.0;5451.0;397.0;-8.1;-9.6;18.5;110.8;110.6;114.0
296;31-33 Other manufacturing and repair;2015;4322;2650;1672;4322.0;2650.0;1672.0;;;;100.0;100.0;100.0
297;31-33 Other manufacturing and repair;2016;4457;2749;1708;4425.0;2742.0;1683.0;2.4;3.5;0.7;100.7;100.3;101.5
298;31-33 Other manufacturing and repair;2017;5053;3094;1959;5010.0;3100.0;1910.0;13.2;13.1;13.5;100.9;99.8;102.6
299;31-33 Other manufacturing and repair;2018;5463;3250;2213;5423.0;3267.0;2153.0;8.3;5.4;12.8;100.7;99.5;102.8
300;31-33 Other manufacturing and repair;2019;5477;3333;2144;5209.0;3201.0;2007.0;-4.0;-2.0;-6.8;105.1;104.1;106.8
301;31-33 Other manufacturing and repair;2020;5645;3419;2226;5185.0;3137.0;2047.0;-0.5;-2.0;2.0;108.9;109.0;108.8
302;31-33 Other manufacturing and repair;2021;6168;3941;2227;5489.0;3524.0;1963.0;5.9;12.3;-4.1;112.4;111.8;113.4
303;31-33 Other manufacturing and repair;2022;6561;3881;2680;5557.0;3342.0;2209.0;1.2;-5.2;12.5;118.1;116.1;121.3
304;31-32 Man. of furniture and other prods.;2015;2658;2525;133;2658.0;2525.0;133.0;;;;100.0;100.0;100.0
305;31-32 Man. of furniture and other prods.;2016;2840;2627;213;2828.0;2621.0;207.0;6.4;3.8;55.6;100.4;100.2;102.9
306;31-32 Man. of furniture and other prods.;2017;3213;2956;257;3206.0;2960.0;246.0;13.4;12.9;18.8;100.2;99.9;104.5
307;31-32 Man. of furniture and other prods.;2018;3407;3127;280;3411.0;3146.0;264.0;6.4;6.3;7.4;99.9;99.4;106.0
308;31-32 Man. of furniture and other prods.;2019;3384;3124;260;3239.0;2994.0;245.0;-5.0;-4.9;-7.1;104.5;104.4;106.0
309;31-32 Man. of furniture and other prods.;2020;3468;3222;246;3170.0;2937.0;233.0;-2.1;-1.9;-5.0;109.4;109.7;105.6
310;31-32 Man. of furniture and other prods.;2021;3971;3765;206;3530.0;3342.0;186.0;11.4;13.8;-20.3;112.5;112.7;111.0
311;31-32 Man. of furniture and other prods.;2022;3952;3699;253;3379.0;3159.0;218.0;-4.3;-5.5;17.5;117.0;117.1;116.0
312;31 Manufacture of furniture;2015;674;649;25;674.0;649.0;25.0;;;;100.0;100.0;100.0
313;31 Manufacture of furniture;2016;814;774;40;806.0;767.0;39.0;19.6;18.2;56.0;101.0;100.9;102.6
314;31 Manufacture of furniture;2017;905;881;24;875.0;852.0;23.0;8.6;11.1;-40.0;103.4;103.4;102.6
315;31 Manufacture of furniture;2018;986;962;24;942.0;920.0;22.0;7.6;7.9;-4.2;104.7;104.6;107.0
316;31 Manufacture of furniture;2019;890;867;23;842.0;820.0;21.0;-10.6;-10.8;-4.2;105.7;105.7;107.0
317;31 Manufacture of furniture;2020;957;943;14;880.0;868.0;12.0;4.5;5.8;-43.5;108.8;108.7;115.3
318;31 Manufacture of furniture;2021;1149;1136;13;1015.0;1005.0;10.0;15.4;15.8;-14.3;113.2;113.0;124.9
319;31 Manufacture of furniture;2022;1121;1096;25;904.0;888.0;16.0;-10.9;-11.6;53.8;124.0;123.4;156.1
320;32 Manufacture of other products;2015;1984;1876;108;1984.0;1876.0;108.0;;;;100.0;100.0;100.0
321;32 Manufacture of other products;2016;2026;1853;173;2022.0;1854.0;168.0;1.9;-1.2;55.6;100.2;99.9;103.0
322;32 Manufacture of other products;2017;2308;2075;233;2331.0;2108.0;222.0;15.3;13.7;32.4;99.0;98.4;104.8
323;32 Manufacture of other products;2018;2421;2165;256;2469.0;2226.0;241.0;5.9;5.6;8.6;98.1;97.3;106.0
324;32 Manufacture of other products;2019;2494;2257;237;2400.0;2177.0;224.0;-2.8;-2.2;-7.4;103.9;103.7;106.0
325;32 Manufacture of other products;2020;2511;2279;232;2293.0;2072.0;221.0;-4.5;-4.8;-1.3;109.5;110.0;105.1
326;32 Manufacture of other products;2021;2822;2629;193;2518.0;2340.0;175.0;9.8;12.9;-20.7;112.1;112.4;110.3
327;32 Manufacture of other products;2022;2831;2603;228;2478.0;2274.0;201.0;-1.6;-2.8;15.0;114.2;114.5;113.2
328;33 Repair and installation of machinery;2015;1664;125;1539;1664.0;125.0;1539.0;;;;100.0;100.0;100.0
329;33 Repair and installation of machinery;2016;1617;122;1495;1597.0;121.0;1476.0;-4.0;-3.2;-4.1;101.3;100.8;101.3
330;33 Repair and installation of machinery;2017;1840;138;1702;1803.0;140.0;1664.0;12.9;15.6;12.7;102.0;98.7;102.3
331;33 Repair and installation of machinery;2018;2056;123;1933;2011.0;121.0;1889.0;11.5;-13.8;13.6;102.2;102.0;102.3
332;33 Repair and installation of machinery;2019;2093;209;1884;1968.0;205.0;1762.0;-2.1;69.9;-6.7;106.3;102.0;106.9
333;33 Repair and installation of machinery;2020;2177;197;1980;2012.0;197.0;1814.0;2.2;-3.8;2.9;108.2;100.0;109.2
334;33 Repair and installation of machinery;2021;2197;176;2021;1954.0;175.0;1776.0;-2.9;-11.2;-2.1;112.4;100.5;113.8
335;33 Repair and installation of machinery;2022;2609;182;2427;2173.0;178.0;1990.0;11.2;1.7;12.0;120.1;102.2;122.0
336;D Energy supply;2015;1683;1618;65;1683.0;1618.0;65.0;;;;100.0;100.0;100.0
337;D Energy supply;2016;783;714;69;871.0;800.0;71.0;-48.2;-50.6;9.2;89.9;89.3;97.2
338;D Energy supply;2017;716;655;61;852.0;790.0;63.0;-2.2;-1.3;-11.6;84.0;82.9;97.2
339;D Energy supply;2018;696;625;71;850.0;778.0;71.0;-0.3;-1.5;13.1;81.9;80.3;100.0
340;D Energy supply;2019;729;656;73;869.0;794.0;74.0;2.3;2.1;4.2;83.9;82.6;98.6
341;D Energy supply;2020;759;669;90;1034.0;931.0;99.0;18.9;17.2;34.2;73.4;71.9;90.6
342;D Energy supply;2021;1120;1065;55;938.0;863.0;76.0;-9.2;-7.3;-23.3;119.3;123.5;72.2
343;D Energy supply;2022;2888;2714;174;1054.0;944.0;129.0;12.3;9.4;69.1;274.0;287.6;135.1
344;35 Energy supply;2015;1683;1618;65;1683.0;1618.0;65.0;;;;100.0;100.0;100.0
345;35 Energy supply;2016;783;714;69;871.0;800.0;71.0;-48.2;-50.6;9.2;89.9;89.3;97.2
346;35 Energy supply;2017;716;655;61;852.0;790.0;63.0;-2.2;-1.3;-11.6;84.0;82.9;97.2
347;35 Energy supply;2018;696;625;71;850.0;778.0;71.0;-0.3;-1.5;13.1;81.9;80.3;100.0
348;35 Energy supply;2019;729;656;73;869.0;794.0;74.0;2.3;2.1;4.2;83.9;82.6;98.6
349;35 Energy supply;2020;759;669;90;1034.0;931.0;99.0;18.9;17.2;34.2;73.4;71.9;90.6
350;35 Energy supply;2021;1120;1065;55;938.0;863.0;76.0;-9.2;-7.3;-23.3;119.3;123.5;72.2
351;35 Energy supply;2022;2888;2714;174;1054.0;944.0;129.0;12.3;9.4;69.1;274.0;287.6;135.1
352;E Water supply and waste management;2015;1348;982;366;1348.0;982.0;366.0;;;;100.0;100.0;100.0
353;E Water supply and waste management;2016;1392;924;468;1429.0;958.0;471.0;6.0;-2.4;28.7;97.4;96.5;99.4
354;E Water supply and waste management;2017;1462;1025;437;1421.0;974.0;448.0;-0.6;1.6;-4.9;102.9;105.3;97.6
355;E Water supply and waste management;2018;1575;1123;452;1544.0;1080.0;463.0;8.7;10.9;3.4;102.0;104.0;97.6
356;E Water supply and waste management;2019;1615;1159;456;1581.0;1137.0;442.0;2.4;5.3;-4.6;102.1;102.0;103.2
357;E Water supply and waste management;2020;1607;1121;486;1549.0;1097.0;448.0;-2.0;-3.5;1.5;103.7;102.1;108.4
358;E Water supply and waste management;2021;2107;1648;459;1652.0;1266.0;389.0;6.7;15.3;-13.4;127.5;130.2;118.1
359;E Water supply and waste management;2022;2494;1992;502;1586.0;1175.0;417.0;-4.0;-7.2;7.4;157.2;169.5;120.3
360;36 Water collection and distribution;2015;12;2;10;12.0;2.0;10.0;;;;100.0;100.0;100.0
361;36 Water collection and distribution;2016;13;2;11;13.0;2.0;11.0;8.3;0.0;10.0;100.0;100.0;100.0
362;36 Water collection and distribution;2017;14;2;12;15.0;2.0;13.0;15.4;0.0;18.2;93.3;100.0;92.3
363;36 Water collection and distribution;2018;16;3;13;17.0;3.0;14.0;14.3;50.0;8.3;93.3;100.0;92.3
364;36 Water collection and distribution;2019;17;3;14;18.0;3.0;15.0;6.3;0.0;7.7;93.3;100.0;92.3
365;36 Water collection and distribution;2020;11;3;8;12.0;3.0;9.0;-35.3;0.0;-42.9;93.3;100.0;92.3
366;36 Water collection and distribution;2021;11;3;8;12.0;3.0;9.0;0.0;0.0;0.0;93.3;100.0;92.3
367;36 Water collection and distribution;2022;16;2;14;16.0;2.0;14.0;36.4;-33.3;62.5;99.6;100.0;99.4
368;37-39 Sewerage and waste treatment;2015;1336;980;356;1336.0;980.0;356.0;;;;100.0;100.0;100.0
369;37-39 Sewerage and waste treatment;2016;1379;922;457;1416.0;956.0;460.0;6.0;-2.4;29.2;97.4;96.4;99.3
370;37-39 Sewerage and waste treatment;2017;1448;1023;425;1406.0;972.0;435.0;-0.7;1.6;-5.5;103.0;105.3;97.7
371;37-39 Sewerage and waste treatment;2018;1559;1120;439;1527.0;1077.0;449.0;8.6;10.9;3.3;102.1;104.0;97.7
372;37-39 Sewerage and waste treatment;2019;1598;1156;442;1563.0;1134.0;427.0;2.4;5.3;-5.0;102.2;102.0;103.6
373;37-39 Sewerage and waste treatment;2020;1596;1118;478;1537.0;1094.0;439.0;-1.7;-3.5;2.9;103.8;102.1;108.8
374;37-39 Sewerage and waste treatment;2021;2096;1645;451;1640.0;1263.0;379.0;6.7;15.4;-13.6;127.8;130.3;118.8
375;37-39 Sewerage and waste treatment;2022;2478;1990;488;1571.0;1173.0;404.0;-4.2;-7.1;6.4;157.7;169.6;120.8
376;F Construction;2015;3402;176;3226;3402.0;176.0;3226.0;;;;100.0;100.0;100.0
377;F Construction;2016;3120;166;2954;3134.0;164.0;2970.0;-7.9;-6.8;-7.9;99.6;101.2;99.5
378;F Construction;2017;4080;127;3953;4029.0;126.0;3904.0;28.6;-22.9;31.4;101.3;100.4;101.3
379;F Construction;2018;3970;135;3835;3794.0;128.0;3667.0;-5.8;1.6;-6.1;104.6;105.1;104.6
380;F Construction;2019;3649;139;3510;3386.0;127.0;3261.0;-10.8;-1.5;-11.1;107.8;109.8;107.6
381;F Construction;2020;3522;224;3298;3222.0;203.0;3018.0;-4.9;60.4;-7.4;109.3;110.3;109.3
382;F Construction;2021;3760;275;3485;3275.0;236.0;3038.0;1.6;16.1;0.7;114.8;116.7;114.7
383;F Construction;2022;4253;313;3940;3391.0;245.0;3146.0;3.6;4.0;3.5;125.4;127.7;125.3
384;41 Construction buildings, development;2015;401;74;327;401.0;74.0;327.0;;;;100.0;100.0;100.0
385;41 Construction buildings, development;2016;409;89;320;410.0;88.0;322.0;2.2;18.9;-1.5;99.8;101.1;99.4
386;41 Construction buildings, development;2017;408;61;347;410.0;60.0;350.0;0.0;-31.5;8.7;99.5;101.1;99.1
387;41 Construction buildings, development;2018;441;78;363;426.0;73.0;353.0;3.9;21.3;0.9;103.5;106.6;102.8
388;41 Construction buildings, development;2019;401;72;329;366.0;65.0;302.0;-14.1;-11.5;-14.6;109.5;111.2;109.1
389;41 Construction buildings, development;2020;434;122;312;382.0;110.0;271.0;4.2;69.4;-10.0;113.7;111.2;115.0
390;41 Construction buildings, development;2021;491;155;336;412.0;132.0;279.0;7.8;20.5;2.9;119.3;117.3;120.3
391;41 Construction buildings, development;2022;556;180;376;437.0;138.0;298.0;6.1;4.5;6.8;127.3;130.3;126.0
392;42 Civil engineering;2015;1854;26;1828;1854.0;26.0;1828.0;;;;100.0;100.0;100.0
393;42 Civil engineering;2016;1713;33;1680;1724.0;32.0;1692.0;-7.0;23.1;-7.4;99.4;103.1;99.3
394;42 Civil engineering;2017;2673;25;2648;2630.0;24.0;2606.0;52.5;-24.2;54.0;101.6;103.1;101.6
395;42 Civil engineering;2018;2461;17;2444;2341.0;16.0;2326.0;-11.0;-36.0;-10.8;105.1;109.6;105.1
396;42 Civil engineering;2019;2228;22;2206;2073.0;20.0;2054.0;-11.4;29.4;-11.7;107.5;109.6;107.4
397;42 Civil engineering;2020;2116;35;2081;1959.0;32.0;1927.0;-5.5;59.1;-6.2;108.0;109.6;108.0
398;42 Civil engineering;2021;2231;36;2195;1965.0;30.0;1935.0;0.3;-5.7;0.4;113.5;119.5;113.4
399;42 Civil engineering;2022;2421;32;2389;1928.0;24.0;1905.0;-1.9;-19.4;-1.6;125.6;131.9;125.4
400;43 Specialised construction activities;2015;1147;76;1071;1147.0;76.0;1071.0;;;;100.0;100.0;100.0
401;43 Specialised construction activities;2016;998;44;954;1000.0;44.0;956.0;-12.8;-42.1;-10.7;99.8;100.0;99.8
402;43 Specialised construction activities;2017;999;41;958;991.0;42.0;949.0;-0.9;-4.5;-0.7;100.8;97.6;100.9
403;43 Specialised construction activities;2018;1068;40;1028;1031.0;40.0;991.0;4.0;-4.9;4.4;103.6;100.1;103.8
404;43 Specialised construction activities;2019;1020;45;975;950.0;42.0;908.0;-7.9;5.0;-8.4;107.4;107.3;107.4
405;43 Specialised construction activities;2020;972;67;905;883.0;62.0;822.0;-7.0;46.7;-9.4;110.0;108.9;110.1
406;43 Specialised construction activities;2021;1038;84;954;899.0;73.0;826.0;1.7;19.4;0.4;115.5;114.3;115.5
407;43 Specialised construction activities;2022;1276;101;1175;1025.0;83.0;943.0;14.1;13.1;14.2;124.4;121.6;124.7
408;G-I Trade, transport, hotels, catering;2015;60274;18256;42018;60274.0;18256.0;42018.0;;;;100.0;100.0;100.0
409;G-I Trade, transport, hotels, catering;2016;59835;18380;41455;60412.0;18486.0;41926.0;0.2;1.3;-0.2;99.0;99.4;98.9
410;G-I Trade, transport, hotels, catering;2017;65006;21498;43508;64053.0;20490.0;43557.0;6.0;10.8;3.9;101.5;104.9;99.9
411;G-I Trade, transport, hotels, catering;2018;66265;20981;45284;64453.0;20274.0;44191.0;0.6;-1.1;1.5;102.8;103.5;102.5
412;G-I Trade, transport, hotels, catering;2019;68365;20793;47572;65240.0;19601.0;45661.0;1.2;-3.3;3.3;104.8;106.1;104.2
413;G-I Trade, transport, hotels, catering;2020;56842;15631;41211;54768.0;15992.0;38803.0;-16.1;-18.4;-15.0;103.8;97.7;106.2
414;G-I Trade, transport, hotels, catering;2021;67925;19801;48124;61806.0;18830.0;43068.0;12.8;17.7;11.0;109.9;105.2;111.7
415;G-I Trade, transport, hotels, catering;2022;82999;21413;61586;66396.0;19059.0;47367.0;7.4;1.2;10.0;125.0;112.3;130.0
416;G Wholesale and retail trade;2015;25676;18252;7424;25676.0;18252.0;7424.0;;;;100.0;100.0;100.0
417;G Wholesale and retail trade;2016;25995;18376;7619;26103.0;18482.0;7621.0;1.7;1.3;2.7;99.6;99.4;100.0
418;G Wholesale and retail trade;2017;28565;21494;7071;27471.0;20486.0;6990.0;5.2;10.8;-8.3;104.0;104.9;101.2
419;G Wholesale and retail trade;2018;27952;20981;6971;26998.0;20274.0;6724.0;-1.7;-1.0;-3.8;103.5;103.5;103.7
420;G Wholesale and retail trade;2019;29083;20793;8290;27408.0;19600.0;7806.0;1.5;-3.3;16.1;106.1;106.1;106.2
421;G Wholesale and retail trade;2020;24600;15631;8969;24286.0;15992.0;8291.0;-11.4;-18.4;6.2;101.3;97.7;108.2
422;G Wholesale and retail trade;2021;30432;19801;10631;28409.0;18830.0;9588.0;17.0;17.7;15.6;107.1;105.2;110.9
423;G Wholesale and retail trade;2022;33219;21413;11806;29370.0;19059.0;10299.0;3.4;1.2;7.4;113.1;112.3;114.6
424;45 Sale and repair of motor vehicles;2015;530;213;317;530.0;213.0;317.0;;;;100.0;100.0;100.0
425;45 Sale and repair of motor vehicles;2016;538;218;320;528.0;214.0;314.0;-0.4;0.5;-0.9;101.9;101.9;101.9
426;45 Sale and repair of motor vehicles;2017;542;220;322;524.0;212.0;312.0;-0.7;-0.9;-0.6;103.4;103.8;103.2
427;45 Sale and repair of motor vehicles;2018;509;217;292;482.0;205.0;277.0;-7.9;-3.2;-11.2;105.5;105.7;105.4
428;45 Sale and repair of motor vehicles;2019;462;180;282;427.0;167.0;260.0;-11.6;-18.9;-6.2;108.3;108.1;108.4
429;45 Sale and repair of motor vehicles;2020;471;187;284;428.0;169.0;259.0;0.4;1.7;-0.4;109.9;110.5;109.6
430;45 Sale and repair of motor vehicles;2021;512;206;306;459.0;185.0;275.0;7.2;9.1;6.0;111.5;111.6;111.4
431;45 Sale and repair of motor vehicles;2022;554;218;336;483.0;192.0;291.0;5.1;3.9;5.9;114.8;113.6;115.5
