ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;GemiddeldeAncienniteit_2;TotaalWerknemers_3;VasteArbeidsrelatie_4;FlexibeleArbeidsrelatie_5;VasteArbeidsrelatie_6;FlexibeleArbeidsrelatie_7;TotaalZelfstandigen_8;MetPersoneel_9;ZonderPersoneel_10;MetPersoneel_11;ZonderPersoneel_12;PersonenMetVoortdurendEenBaan_13;PersonenMetMeerDanEenBaan_14;Deeltijders_15;Voltijders_16;GemiddeldeArbeidsduur_17;PersonenMetUitkering_18
604;Totaal mannen en vrouwen;46 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
605;Totaal mannen en vrouwen;46 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
606;Totaal mannen en vrouwen;46 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
607;Totaal mannen en vrouwen;46 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
608;Totaal mannen en vrouwen;47 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
609;Totaal mannen en vrouwen;47 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
610;Totaal mannen en vrouwen;47 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
611;Totaal mannen en vrouwen;47 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
612;Totaal mannen en vrouwen;47 jaar;1925  tot 1930;55.0;;82.0;;;;;18.0;;;;;;;12.0;88.0;42.9;
613;Totaal mannen en vrouwen;47 jaar;1930  tot 1935;57.0;;82.0;;;;;18.0;;;;;;;16.0;84.0;40.8;
614;Totaal mannen en vrouwen;47 jaar;1935  tot 1940;58.0;;85.0;;;;;15.0;;;;;;;21.0;79.0;39.7;
615;Totaal mannen en vrouwen;47 jaar;1940  tot 1945;62.0;14.3;84.0;78.0;5.0;94.0;6.0;16.0;9.0;8.0;;;;;26.0;74.0;37.6;
616;Totaal mannen en vrouwen;47 jaar;1945  tot 1950;68.0;14.1;85.0;79.0;6.0;93.0;7.0;15.0;8.0;8.0;51.0;49.0;;;28.0;72.0;37.2;
617;Totaal mannen en vrouwen;47 jaar;1950  tot 1955;73.0;13.5;85.0;78.0;7.0;92.0;8.0;15.0;7.0;8.0;46.0;54.0;0.0;0.0;33.0;67.0;36.0;14.0
618;Totaal mannen en vrouwen;47 jaar;1955  tot 1960;77.0;12.5;84.0;78.0;7.0;92.0;8.0;16.0;6.0;10.0;40.0;60.0;57.0;29.0;38.0;62.0;35.0;14.0
619;Totaal mannen en vrouwen;47 jaar;1960  tot 1965;81.0;12.3;83.0;75.0;8.0;90.0;10.0;17.0;6.0;11.0;37.0;63.0;55.0;34.0;40.0;60.0;35.1;13.0
620;Totaal mannen en vrouwen;47 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
621;Totaal mannen en vrouwen;47 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
622;Totaal mannen en vrouwen;47 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
623;Totaal mannen en vrouwen;47 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
624;Totaal mannen en vrouwen;47 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
625;Totaal mannen en vrouwen;47 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
626;Totaal mannen en vrouwen;47 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
627;Totaal mannen en vrouwen;48 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
628;Totaal mannen en vrouwen;48 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
629;Totaal mannen en vrouwen;48 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
630;Totaal mannen en vrouwen;48 jaar;1920  tot 1925;55.0;;80.0;;;;;20.0;;;;;;;11.0;89.0;44.3;
631;Totaal mannen en vrouwen;48 jaar;1925  tot 1930;56.0;;82.0;;;;;18.0;;;;;;;13.0;87.0;42.2;
632;Totaal mannen en vrouwen;48 jaar;1930  tot 1935;55.0;;83.0;;;;;17.0;;;;;;;16.0;84.0;40.7;
633;Totaal mannen en vrouwen;48 jaar;1935  tot 1940;58.0;;83.0;;;;;17.0;;;;;;;22.0;78.0;39.1;
634;Totaal mannen en vrouwen;48 jaar;1940  tot 1945;63.0;14.8;84.0;80.0;4.0;95.0;5.0;16.0;7.0;9.0;46.0;54.0;;;25.0;75.0;37.5;
635;Totaal mannen en vrouwen;48 jaar;1945  tot 1950;67.0;14.9;84.0;78.0;6.0;93.0;7.0;16.0;8.0;8.0;51.0;49.0;;;28.0;72.0;37.2;
636;Totaal mannen en vrouwen;48 jaar;1950  tot 1955;73.0;13.8;85.0;79.0;6.0;93.0;7.0;15.0;7.0;8.0;46.0;54.0;55.0;30.0;34.0;66.0;35.8;15.0
637;Totaal mannen en vrouwen;48 jaar;1955  tot 1960;77.0;13.3;85.0;78.0;7.0;92.0;8.0;15.0;6.0;9.0;40.0;60.0;57.0;29.0;38.0;62.0;35.0;15.0
638;Totaal mannen en vrouwen;48 jaar;1960  tot 1965;81.0;12.9;83.0;76.0;8.0;90.0;10.0;17.0;6.0;11.0;36.0;64.0;;;39.0;61.0;34.9;
639;Totaal mannen en vrouwen;48 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
640;Totaal mannen en vrouwen;48 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
641;Totaal mannen en vrouwen;48 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
642;Totaal mannen en vrouwen;48 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
643;Totaal mannen en vrouwen;48 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
644;Totaal mannen en vrouwen;48 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
645;Totaal mannen en vrouwen;48 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
646;Totaal mannen en vrouwen;49 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
647;Totaal mannen en vrouwen;49 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
648;Totaal mannen en vrouwen;49 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
649;Totaal mannen en vrouwen;49 jaar;1920  tot 1925;56.0;;81.0;;;;;19.0;;;;;;;9.0;91.0;44.3;
650;Totaal mannen en vrouwen;49 jaar;1925  tot 1930;54.0;;83.0;;;;;17.0;;;;;;;14.0;86.0;41.9;
651;Totaal mannen en vrouwen;49 jaar;1930  tot 1935;54.0;;83.0;;;;;17.0;;;;;;;17.0;83.0;40.6;
652;Totaal mannen en vrouwen;49 jaar;1935  tot 1940;58.0;;84.0;;;;;16.0;;;;;;;23.0;77.0;38.3;
653;Totaal mannen en vrouwen;49 jaar;1940  tot 1945;62.0;15.9;82.0;78.0;4.0;95.0;5.0;18.0;9.0;8.0;53.0;47.0;;;25.0;75.0;38.0;
654;Totaal mannen en vrouwen;49 jaar;1945  tot 1950;67.0;15.4;84.0;79.0;5.0;94.0;6.0;16.0;8.0;8.0;50.0;50.0;;;29.0;71.0;37.1;
655;Totaal mannen en vrouwen;49 jaar;1950  tot 1955;73.0;14.4;85.0;79.0;6.0;93.0;7.0;15.0;6.0;9.0;40.0;60.0;55.0;29.0;34.0;66.0;35.6;16.0
656;Totaal mannen en vrouwen;49 jaar;1955  tot 1960;77.0;13.8;84.0;78.0;6.0;92.0;8.0;16.0;6.0;10.0;40.0;60.0;57.0;29.0;39.0;61.0;35.0;14.0
657;Totaal mannen en vrouwen;49 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
658;Totaal mannen en vrouwen;49 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
659;Totaal mannen en vrouwen;49 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
660;Totaal mannen en vrouwen;49 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
661;Totaal mannen en vrouwen;49 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
662;Totaal mannen en vrouwen;49 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
663;Totaal mannen en vrouwen;49 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
664;Totaal mannen en vrouwen;49 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
665;Totaal mannen en vrouwen;50 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
666;Totaal mannen en vrouwen;50 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
667;Totaal mannen en vrouwen;50 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
668;Totaal mannen en vrouwen;50 jaar;1920  tot 1925;54.0;;81.0;;;;;19.0;;;;;;;11.0;89.0;43.4;
669;Totaal mannen en vrouwen;50 jaar;1925  tot 1930;54.0;;82.0;;;;;18.0;;;;;;;14.0;86.0;41.7;
670;Totaal mannen en vrouwen;50 jaar;1930  tot 1935;53.0;;82.0;;;;;18.0;;;;;;;18.0;82.0;40.4;
671;Totaal mannen en vrouwen;50 jaar;1935  tot 1940;55.0;;82.0;;;;;18.0;;;;;;;25.0;75.0;38.3;
672;Totaal mannen en vrouwen;50 jaar;1940  tot 1945;61.0;16.5;84.0;79.0;4.0;95.0;5.0;16.0;9.0;8.0;52.0;48.0;;;26.0;74.0;37.8;
673;Totaal mannen en vrouwen;50 jaar;1945  tot 1950;66.0;16.1;84.0;78.0;6.0;93.0;7.0;16.0;7.0;9.0;45.0;55.0;0.0;0.0;28.0;72.0;37.2;0.0
674;Totaal mannen en vrouwen;50 jaar;1950  tot 1955;72.0;15.0;84.0;79.0;5.0;94.0;6.0;16.0;7.0;9.0;45.0;55.0;55.0;27.0;35.0;65.0;35.5;17.0
675;Totaal mannen en vrouwen;50 jaar;1955  tot 1960;77.0;14.3;84.0;77.0;6.0;92.0;8.0;16.0;6.0;10.0;38.0;62.0;56.0;30.0;39.0;61.0;35.1;15.0
676;Totaal mannen en vrouwen;50 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
677;Totaal mannen en vrouwen;50 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
678;Totaal mannen en vrouwen;50 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
679;Totaal mannen en vrouwen;50 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
680;Totaal mannen en vrouwen;50 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
681;Totaal mannen en vrouwen;50 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
682;Totaal mannen en vrouwen;50 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
683;Totaal mannen en vrouwen;50 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
684;Totaal mannen en vrouwen;51 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
685;Totaal mannen en vrouwen;51 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
686;Totaal mannen en vrouwen;51 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
687;Totaal mannen en vrouwen;51 jaar;1920  tot 1925;54.0;;80.0;;;;;20.0;;;;;;;12.0;88.0;43.2;
688;Totaal mannen en vrouwen;51 jaar;1925  tot 1930;52.0;;82.0;;;;;18.0;;;;;;;15.0;85.0;41.1;
689;Totaal mannen en vrouwen;51 jaar;1930  tot 1935;52.0;;83.0;;;;;17.0;;;;;;;19.0;81.0;40.5;
690;Totaal mannen en vrouwen;51 jaar;1935  tot 1940;54.0;;82.0;;;;;18.0;;;;;;;23.0;77.0;38.2;
691;Totaal mannen en vrouwen;51 jaar;1940  tot 1945;59.0;17.2;83.0;79.0;4.0;95.0;5.0;17.0;8.0;9.0;48.0;52.0;;;25.0;75.0;37.9;
692;Totaal mannen en vrouwen;51 jaar;1945  tot 1950;66.0;16.8;84.0;78.0;6.0;93.0;7.0;16.0;8.0;8.0;49.0;51.0;0.0;0.0;29.0;71.0;36.9;0.0
693;Totaal mannen en vrouwen;51 jaar;1950  tot 1955;71.0;15.2;83.0;78.0;5.0;94.0;6.0;17.0;7.0;9.0;44.0;56.0;55.0;25.0;36.0;64.0;35.5;17.0
694;Totaal mannen en vrouwen;51 jaar;1955  tot 1960;77.0;14.9;83.0;77.0;6.0;93.0;7.0;17.0;6.0;11.0;38.0;62.0;55.0;30.0;38.0;62.0;35.1;15.0
695;Totaal mannen en vrouwen;51 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
696;Totaal mannen en vrouwen;51 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
697;Totaal mannen en vrouwen;51 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
698;Totaal mannen en vrouwen;51 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
699;Totaal mannen en vrouwen;51 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
700;Totaal mannen en vrouwen;51 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
701;Totaal mannen en vrouwen;51 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
702;Totaal mannen en vrouwen;51 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
703;Totaal mannen en vrouwen;52 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
704;Totaal mannen en vrouwen;52 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
705;Totaal mannen en vrouwen;52 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
706;Totaal mannen en vrouwen;52 jaar;1920  tot 1925;52.0;;81.0;;;;;19.0;;;;;;;11.0;89.0;42.9;
707;Totaal mannen en vrouwen;52 jaar;1925  tot 1930;51.0;;83.0;;;;;17.0;;;;;;;15.0;85.0;40.7;
708;Totaal mannen en vrouwen;52 jaar;1930  tot 1935;51.0;;82.0;;;;;18.0;;;;;;;19.0;81.0;40.0;
709;Totaal mannen en vrouwen;52 jaar;1935  tot 1940;53.0;17.7;82.0;79.0;3.0;96.0;4.0;18.0;9.0;8.0;;;;;23.0;77.0;38.4;
710;Totaal mannen en vrouwen;52 jaar;1940  tot 1945;58.0;18.1;82.0;77.0;4.0;95.0;5.0;18.0;9.0;9.0;48.0;52.0;;;26.0;74.0;37.8;
711;Totaal mannen en vrouwen;52 jaar;1945  tot 1950;66.0;17.1;83.0;78.0;5.0;94.0;6.0;17.0;8.0;9.0;48.0;52.0;0.0;0.0;31.0;69.0;36.5;18.0
712;Totaal mannen en vrouwen;52 jaar;1950  tot 1955;70.0;16.1;84.0;79.0;5.0;94.0;6.0;16.0;7.0;9.0;44.0;56.0;54.0;24.0;36.0;64.0;35.3;18.0
713;Totaal mannen en vrouwen;52 jaar;1955  tot 1960;76.0;15.4;83.0;77.0;6.0;92.0;8.0;17.0;6.0;11.0;36.0;64.0;55.0;29.0;39.0;61.0;34.9;16.0
714;Totaal mannen en vrouwen;52 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
715;Totaal mannen en vrouwen;52 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
716;Totaal mannen en vrouwen;52 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
717;Totaal mannen en vrouwen;52 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
718;Totaal mannen en vrouwen;52 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
719;Totaal mannen en vrouwen;52 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
720;Totaal mannen en vrouwen;52 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
721;Totaal mannen en vrouwen;52 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
722;Totaal mannen en vrouwen;53 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
723;Totaal mannen en vrouwen;53 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
724;Totaal mannen en vrouwen;53 jaar;1915  tot 1920;53.0;;78.0;;;;;22.0;;;;;;;12.0;88.0;44.5;
725;Totaal mannen en vrouwen;53 jaar;1920  tot 1925;51.0;;83.0;;;;;17.0;;;;;;;13.0;87.0;42.1;
726;Totaal mannen en vrouwen;53 jaar;1925  tot 1930;51.0;;82.0;;;;;18.0;;;;;;;16.0;84.0;40.6;
727;Totaal mannen en vrouwen;53 jaar;1930  tot 1935;49.0;;81.0;;;;;19.0;;;;;;;21.0;79.0;39.6;
728;Totaal mannen en vrouwen;53 jaar;1935  tot 1940;53.0;18.4;81.0;77.0;4.0;95.0;5.0;19.0;9.0;9.0;51.0;49.0;;;24.0;76.0;38.2;
729;Totaal mannen en vrouwen;53 jaar;1940  tot 1945;58.0;18.6;82.0;78.0;5.0;95.0;5.0;18.0;8.0;9.0;47.0;53.0;;;27.0;73.0;37.3;
730;Totaal mannen en vrouwen;53 jaar;1945  tot 1950;64.0;17.7;83.0;78.0;6.0;93.0;7.0;17.0;8.0;9.0;46.0;54.0;51.0;24.0;31.0;69.0;36.2;19.0
731;Totaal mannen en vrouwen;53 jaar;1950  tot 1955;70.0;16.8;83.0;78.0;5.0;94.0;6.0;17.0;7.0;10.0;41.0;59.0;54.0;24.0;37.0;63.0;35.1;19.0
732;Totaal mannen en vrouwen;53 jaar;1955  tot 1960;76.0;16.0;83.0;78.0;7.0;92.0;8.0;17.0;6.0;11.0;34.0;66.0;;;40.0;60.0;34.6;
733;Totaal mannen en vrouwen;53 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
734;Totaal mannen en vrouwen;53 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
735;Totaal mannen en vrouwen;53 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
736;Totaal mannen en vrouwen;53 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
737;Totaal mannen en vrouwen;53 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
738;Totaal mannen en vrouwen;53 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
739;Totaal mannen en vrouwen;53 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
740;Totaal mannen en vrouwen;53 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
741;Totaal mannen en vrouwen;54 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
742;Totaal mannen en vrouwen;54 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
743;Totaal mannen en vrouwen;54 jaar;1915  tot 1920;51.0;;78.0;;;;;22.0;;;;;;;11.0;89.0;43.9;
744;Totaal mannen en vrouwen;54 jaar;1920  tot 1925;49.0;;81.0;;;;;19.0;;;;;;;13.0;87.0;42.2;
745;Totaal mannen en vrouwen;54 jaar;1925  tot 1930;47.0;;82.0;;;;;18.0;;;;;;;16.0;84.0;40.7;
746;Totaal mannen en vrouwen;54 jaar;1930  tot 1935;48.0;;81.0;;;;;19.0;;;;;;;22.0;78.0;39.2;
747;Totaal mannen en vrouwen;54 jaar;1935  tot 1940;51.0;19.4;81.0;77.0;3.0;96.0;4.0;19.0;9.0;10.0;49.0;51.0;;;25.0;75.0;38.0;
748;Totaal mannen en vrouwen;54 jaar;1940  tot 1945;57.0;19.2;82.0;78.0;5.0;94.0;6.0;18.0;8.0;10.0;44.0;56.0;;;28.0;72.0;37.1;
749;Totaal mannen en vrouwen;54 jaar;1945  tot 1950;63.0;18.2;83.0;77.0;5.0;93.0;7.0;17.0;7.0;10.0;43.0;57.0;50.0;22.0;31.0;69.0;36.3;20.0
750;Totaal mannen en vrouwen;54 jaar;1950  tot 1955;70.0;17.1;82.0;77.0;5.0;94.0;6.0;18.0;7.0;10.0;41.0;59.0;53.0;24.0;37.0;63.0;35.1;19.0
751;Totaal mannen en vrouwen;54 jaar;1955  tot 1960;;;;;;;;;;;;;;;;;;
752;Totaal mannen en vrouwen;54 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
753;Totaal mannen en vrouwen;54 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
754;Totaal mannen en vrouwen;54 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
755;Totaal mannen en vrouwen;54 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
756;Totaal mannen en vrouwen;54 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
757;Totaal mannen en vrouwen;54 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
758;Totaal mannen en vrouwen;54 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
759;Totaal mannen en vrouwen;54 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
760;Totaal mannen en vrouwen;55 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
761;Totaal mannen en vrouwen;55 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
762;Totaal mannen en vrouwen;55 jaar;1915  tot 1920;49.0;;77.0;;;;;23.0;;;;;;;11.0;89.0;43.8;
763;Totaal mannen en vrouwen;55 jaar;1920  tot 1925;46.0;;81.0;;;;;19.0;;;;;;;13.0;87.0;41.9;
764;Totaal mannen en vrouwen;55 jaar;1925  tot 1930;44.0;;82.0;;;;;18.0;;;;;;;16.0;84.0;41.1;
765;Totaal mannen en vrouwen;55 jaar;1930  tot 1935;45.0;;81.0;;;;;19.0;;;;;;;23.0;77.0;38.2;
766;Totaal mannen en vrouwen;55 jaar;1935  tot 1940;48.0;20.2;80.0;76.0;3.0;96.0;4.0;20.0;9.0;11.0;44.0;56.0;;;26.0;74.0;37.6;
767;Totaal mannen en vrouwen;55 jaar;1940  tot 1945;54.0;19.7;81.0;76.0;5.0;94.0;6.0;19.0;8.0;10.0;44.0;56.0;0.0;0.0;28.0;72.0;37.4;0.0
768;Totaal mannen en vrouwen;55 jaar;1945  tot 1950;59.0;19.1;83.0;78.0;4.0;95.0;5.0;17.0;8.0;10.0;43.0;57.0;49.0;21.0;34.0;66.0;35.6;21.0
769;Totaal mannen en vrouwen;55 jaar;1950  tot 1955;69.0;17.8;82.0;77.0;6.0;93.0;7.0;18.0;7.0;11.0;37.0;63.0;52.0;25.0;38.0;62.0;35.0;19.0
770;Totaal mannen en vrouwen;55 jaar;1955  tot 1960;;;;;;;;;;;;;;;;;;
771;Totaal mannen en vrouwen;55 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
772;Totaal mannen en vrouwen;55 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
773;Totaal mannen en vrouwen;55 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
774;Totaal mannen en vrouwen;55 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
775;Totaal mannen en vrouwen;55 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
776;Totaal mannen en vrouwen;55 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
777;Totaal mannen en vrouwen;55 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
778;Totaal mannen en vrouwen;55 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
779;Totaal mannen en vrouwen;56 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
780;Totaal mannen en vrouwen;56 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
781;Totaal mannen en vrouwen;56 jaar;1915  tot 1920;47.0;;78.0;;;;;22.0;;;;;;;13.0;87.0;43.3;
782;Totaal mannen en vrouwen;56 jaar;1920  tot 1925;44.0;;81.0;;;;;19.0;;;;;;;14.0;86.0;41.3;
783;Totaal mannen en vrouwen;56 jaar;1925  tot 1930;41.0;;82.0;;;;;18.0;;;;;;;17.0;83.0;40.9;
784;Totaal mannen en vrouwen;56 jaar;1930  tot 1935;42.0;;81.0;;;;;19.0;;;;;;;25.0;75.0;37.9;
785;Totaal mannen en vrouwen;56 jaar;1935  tot 1940;44.0;20.5;80.0;76.0;4.0;95.0;5.0;20.0;9.0;11.0;44.0;56.0;;;26.0;74.0;37.8;
786;Totaal mannen en vrouwen;56 jaar;1940  tot 1945;50.0;20.1;82.0;77.0;5.0;94.0;6.0;18.0;8.0;10.0;46.0;54.0;0.0;0.0;30.0;70.0;37.0;0.0
787;Totaal mannen en vrouwen;56 jaar;1945  tot 1950;58.0;19.5;82.0;78.0;4.0;95.0;5.0;18.0;7.0;11.0;38.0;62.0;47.0;20.0;38.0;62.0;35.0;22.0
788;Totaal mannen en vrouwen;56 jaar;1950  tot 1955;67.0;18.6;83.0;78.0;5.0;94.0;6.0;17.0;6.0;11.0;34.0;66.0;50.0;25.0;39.0;61.0;34.8;20.0
789;Totaal mannen en vrouwen;56 jaar;1955  tot 1960;;;;;;;;;;;;;;;;;;
790;Totaal mannen en vrouwen;56 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
791;Totaal mannen en vrouwen;56 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
792;Totaal mannen en vrouwen;56 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
793;Totaal mannen en vrouwen;56 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
794;Totaal mannen en vrouwen;56 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
795;Totaal mannen en vrouwen;56 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
796;Totaal mannen en vrouwen;56 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
797;Totaal mannen en vrouwen;56 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
798;Totaal mannen en vrouwen;57 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
799;Totaal mannen en vrouwen;57 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
800;Totaal mannen en vrouwen;57 jaar;1915  tot 1920;45.0;;79.0;;;;;21.0;;;;;;;12.0;88.0;43.1;
801;Totaal mannen en vrouwen;57 jaar;1920  tot 1925;42.0;;81.0;;;;;19.0;;;;;;;14.0;86.0;41.0;
802;Totaal mannen en vrouwen;57 jaar;1925  tot 1930;39.0;;82.0;;;;;18.0;;;;;;;20.0;80.0;39.9;
803;Totaal mannen en vrouwen;57 jaar;1930  tot 1935;38.0;21.9;79.0;76.0;4.0;96.0;4.0;21.0;7.0;13.0;;;;;24.0;76.0;38.0;
804;Totaal mannen en vrouwen;57 jaar;1935  tot 1940;38.0;21.6;77.0;75.0;3.0;97.0;3.0;23.0;10.0;13.0;43.0;57.0;;;29.0;71.0;37.6;
805;Totaal mannen en vrouwen;57 jaar;1940  tot 1945;47.0;21.0;81.0;77.0;4.0;95.0;5.0;19.0;7.0;12.0;39.0;61.0;0.0;0.0;34.0;66.0;36.0;25.0
806;Totaal mannen en vrouwen;57 jaar;1945  tot 1950;55.0;20.0;81.0;77.0;4.0;95.0;5.0;19.0;7.0;12.0;38.0;62.0;45.0;19.0;38.0;62.0;35.2;24.0
807;Totaal mannen en vrouwen;57 jaar;1950  tot 1955;66.0;19.3;83.0;77.0;5.0;94.0;6.0;17.0;6.0;12.0;33.0;67.0;49.0;24.0;40.0;60.0;34.8;21.0
808;Totaal mannen en vrouwen;57 jaar;1955  tot 1960;;;;;;;;;;;;;;;;;;
809;Totaal mannen en vrouwen;57 jaar;1960  tot 1965;;;;;;;;;;;;;;;;;;
810;Totaal mannen en vrouwen;57 jaar;1965  tot 1970;;;;;;;;;;;;;;;;;;
811;Totaal mannen en vrouwen;57 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
812;Totaal mannen en vrouwen;57 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
813;Totaal mannen en vrouwen;57 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
814;Totaal mannen en vrouwen;57 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
815;Totaal mannen en vrouwen;57 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
816;Totaal mannen en vrouwen;57 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
817;Totaal mannen en vrouwen;58 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
