ID;SBI1993;Perioden;TotaalCaoSectoren_1;ParticuliereBedrijven_2;Overheid_3;GesubsidieerdeSector_4
333;6;2002 april;98.0;98.0;;
334;6;2002 mei;98.0;98.0;;
335;6;2002 juni;98.0;98.0;;
336;6;2002 juli;98.0;98.0;;
337;6;2002 augustus;98.0;98.0;;
338;6;2002 september;98.0;98.0;;
339;6;2002 oktober;98.0;98.0;;
340;6;2002 november;98.0;98.0;;
341;6;2002 december;98.0;98.0;;
342;6;2002 jaargemiddelde;98.0;98.0;;
343;6;2003*januari;98.0;98.0;;
344;6;2003*februari;98.0;98.0;;
345;6;2003*maart;98.0;98.0;;
346;6;2003*april;98.0;98.0;;
347;6;2003*mei;98.0;98.0;;
348;7;1990 januari;100.0;100.0;100.0;
349;7;1990 februari;100.0;100.0;100.0;
350;7;1990 maart;100.0;100.0;100.0;
351;7;1990 april;100.0;100.0;100.0;
352;7;1990 mei;100.0;100.0;100.0;
353;7;1990 juni;100.0;100.0;100.0;
354;7;1990 juli;100.0;100.0;100.0;
355;7;1990 augustus;100.0;100.0;100.0;
356;7;1990 september;100.0;100.0;100.0;
357;7;1990 oktober;100.0;100.0;100.0;
358;7;1990 november;100.0;100.0;100.0;
359;7;1990 December;100.0;100.0;100.0;
360;7;1990 jaargemiddelde;100.0;100.0;100.0;
361;7;1991 januari;99.6;99.6;100.0;
362;7;1991 februari;99.6;99.6;100.0;
363;7;1991 maart;99.6;99.6;100.0;
364;7;1991 april;99.5;99.5;100.0;
365;7;1991 mei;99.5;99.5;100.0;
366;7;1991 juni;99.5;99.5;100.0;
367;7;1991 juli;99.5;99.5;100.0;
368;7;1991 augustus;99.5;99.5;100.0;
369;7;1991 september;99.5;99.5;100.0;
370;7;1991 oktober;99.5;99.5;100.0;
371;7;1991 november;99.5;99.5;100.0;
372;7;1991 december;99.5;99.5;100.0;
373;7;1991 jaargemiddelde;99.5;99.5;100.0;
374;7;1992 januari;99.5;99.4;100.0;
375;7;1992 februari;99.5;99.4;100.0;
376;7;1992 maart;99.5;99.4;100.0;
377;7;1992 april;99.4;99.3;100.0;
378;7;1992 mei;99.4;99.3;100.0;
379;7;1992 juni;99.4;99.3;100.0;
380;7;1992 juli;99.4;99.3;100.0;
381;7;1992 augustus;99.4;99.3;100.0;
382;7;1992 september;99.4;99.3;100.0;
383;7;1992 oktober;99.4;99.3;100.0;
384;7;1992 november;99.4;99.3;100.0;
385;7;1992 december;99.4;99.3;100.0;
386;7;1992 jaargemiddelde;99.4;99.4;100.0;
387;7;1993 januari;99.4;99.3;100.0;
388;7;1993 februari;99.4;99.3;100.0;
389;7;1993 maart;99.4;99.3;100.0;
390;7;1993 april;99.3;99.3;100.0;
391;7;1993 mei;99.3;99.3;100.0;
392;7;1993 juni;99.3;99.2;100.0;
393;7;1993 juli;99.3;99.2;100.0;
394;7;1993 augustus;99.3;99.2;100.0;
395;7;1993 september;99.3;99.2;100.0;
396;7;1993 oktober;99.3;99.2;100.0;
397;7;1993 november;99.3;99.2;100.0;
398;7;1993 december;99.3;99.2;100.0;
399;7;1993 jaargemiddelde;99.3;99.3;100.0;
400;7;1994 januari;99.3;99.2;100.0;
401;7;1994 februari;99.3;99.2;100.0;
402;7;1994 maart;99.3;99.3;100.0;
403;7;1994 april;99.4;99.3;100.0;
404;7;1994 mei;99.4;99.3;100.0;
405;7;1994 juni;99.4;99.4;100.0;
406;7;1994 juli;99.4;99.4;100.0;
407;7;1994 augustus;99.4;99.4;100.0;
408;7;1994 september;99.4;99.4;100.0;
409;7;1994 oktober;99.4;99.4;100.0;
410;7;1994 november;99.4;99.4;100.0;
411;7;1994 december;99.4;99.4;100.0;
412;7;1994 jaargemiddelde;99.4;99.3;100.0;
413;7;1995 januari;99.6;99.6;100.0;
414;7;1995 februari;99.6;99.6;100.0;
415;7;1995 maart;99.6;99.6;100.0;
416;7;1995 april;99.6;99.6;100.0;
417;7;1995 mei;99.6;99.6;100.0;
418;7;1995 juni;99.6;99.6;100.0;
419;7;1995 juli;99.6;99.6;100.0;
420;7;1995 augustus;99.6;99.6;100.0;
421;7;1995 september;99.6;99.6;100.0;
422;7;1995 oktober;99.6;99.6;100.0;
423;7;1995 november;99.6;99.6;100.0;
424;7;1995 december;99.6;99.6;100.0;
425;7;1995 jaargemiddelde;99.6;99.6;100.0;
426;7;1996 januari;99.6;99.6;100.0;
427;7;1996 februari;99.6;99.6;100.0;
428;7;1996 maart;99.6;99.6;100.0;
429;7;1996 april;99.7;99.6;100.0;
430;7;1996 mei;99.7;99.6;100.0;
431;7;1996 juni;99.7;99.6;100.0;
432;7;1996 juli;99.7;99.6;100.0;
433;7;1996 augustus;99.7;99.6;100.0;
434;7;1996 september;99.7;99.6;100.0;
435;7;1996 oktober;99.7;99.6;100.0;
436;7;1996 november;99.7;99.6;100.0;
437;7;1996 december;99.7;99.6;100.0;
438;7;1996 jaargemiddelde;99.6;99.6;100.0;
439;7;1997 januari;99.3;99.5;98.2;
440;7;1997 februari;99.3;99.5;98.2;
441;7;1997 maart;99.3;99.5;98.2;
442;7;1997 april;99.3;99.5;98.2;
443;7;1997 mei;99.3;99.5;98.2;
444;7;1997 juni;99.3;99.5;98.2;
445;7;1997 juli;99.2;99.4;98.2;
446;7;1997 augustus;99.2;99.4;98.2;
447;7;1997 september;99.2;99.4;98.2;
448;7;1997 oktober;99.2;99.4;98.2;
449;7;1997 november;99.2;99.4;98.2;
450;7;1997 december;99.2;99.4;98.2;
451;7;1997 jaargemiddelde;99.2;99.5;98.2;
452;7;1998 januari;99.1;99.3;98.2;
453;7;1998 februari;99.1;99.3;98.2;
454;7;1998 maart;99.1;99.3;98.2;
455;7;1998 april;99.1;99.3;98.2;
456;7;1998 mei;99.1;99.3;98.2;
457;7;1998 juni;99.1;99.3;98.2;
458;7;1998 juli;99.1;99.3;98.2;
459;7;1998 augustus;99.1;99.3;98.2;
460;7;1998 september;99.1;99.3;98.2;
461;7;1998 oktober;99.1;99.3;98.2;
462;7;1998 november;99.1;99.3;98.2;
463;7;1998 december;99.1;99.3;98.2;
464;7;1998 jaargemiddelde;99.1;99.3;98.2;
465;7;1999 januari;98.8;99.1;98.0;
466;7;1999 februari;98.8;99.1;98.0;
467;7;1999 maart;98.8;99.0;98.0;
468;7;1999 april;98.8;99.0;98.0;
469;7;1999 mei;98.8;99.0;98.0;
470;7;1999 juni;98.8;99.0;98.0;
471;7;1999 juli;98.8;99.0;98.0;
472;7;1999 augustus;98.8;99.0;98.0;
473;7;1999 september;98.8;99.0;98.0;
474;7;1999 oktober;98.8;99.0;98.0;
475;7;1999 november;98.8;99.0;98.0;
476;7;1999 december;98.8;99.0;98.0;
477;7;1999 jaargemiddelde;98.8;99.0;98.0;
478;7;2000 januari;98.9;99.1;98.0;
479;7;2000 februari;98.9;99.1;98.0;
480;7;2000 april;98.7;98.9;98.0;
481;7;2000 maart;98.9;99.1;98.0;
482;7;2000 mei;98.7;98.9;98.0;
483;7;2000 juni;98.7;98.9;98.0;
484;7;2000 juli;98.7;98.9;98.0;
485;7;2000 augustus;98.7;98.9;98.0;
486;7;2000 september;98.7;98.9;98.0;
487;7;2000 oktober;98.7;98.9;98.0;
488;7;2000 november;98.7;98.9;98.0;
489;7;2000 december;98.7;98.9;98.0;
490;7;2000 jaargemiddelde;98.8;99.0;98.0;
491;7;2001 januari;98.7;98.9;98.0;
492;7;2001 februari;98.7;98.9;98.0;
493;7;2001 maart;98.7;98.9;98.0;
494;7;2001 april;98.7;98.9;98.0;
495;7;2001 mei;98.7;98.9;98.0;
496;7;2001 juni;98.7;98.9;98.0;
497;7;2001 juli;98.7;98.9;98.0;
498;7;2001 augustus;98.7;98.9;98.0;
499;7;2001 september;98.7;98.9;98.0;
500;7;2001 oktober;98.7;98.9;98.0;
501;7;2001 november;98.7;98.9;98.0;
502;7;2001 december;98.7;98.9;98.0;
503;7;2001 jaargemiddelde;98.7;98.9;98.0;
504;7;2002 januari;98.7;98.9;98.0;
505;7;2002 februari;98.7;98.9;98.0;
506;7;2002 maart;98.7;98.9;98.0;
507;7;2002 april;98.7;98.9;98.0;
508;7;2002 mei;98.7;98.9;98.0;
509;7;2002 juni;98.7;98.9;98.0;
510;7;2002 juli;98.7;98.9;98.0;
511;7;2002 augustus;98.7;98.9;98.0;
512;7;2002 september;98.7;98.9;98.0;
513;7;2002 oktober;98.7;98.9;98.0;
514;7;2002 november;98.7;98.9;98.0;
515;7;2002 december;98.7;98.9;98.0;
516;7;2002 jaargemiddelde;98.7;98.9;98.0;
517;7;2003*januari;98.7;98.9;98.0;
518;7;2003*februari;98.7;98.9;98.0;
519;7;2003*maart;98.7;98.9;98.0;
520;7;2003*april;98.7;98.9;98.0;
521;7;2003*mei;98.7;98.9;98.0;
522;10-14 Delfstoffenwinning;1990 januari;;;;
523;10-14 Delfstoffenwinning;1990 februari;;;;
524;10-14 Delfstoffenwinning;1990 maart;;;;
525;10-14 Delfstoffenwinning;1990 april;;;;
526;10-14 Delfstoffenwinning;1990 mei;;;;
527;10-14 Delfstoffenwinning;1990 juni;;;;
528;10-14 Delfstoffenwinning;1990 juli;;;;
529;10-14 Delfstoffenwinning;1990 augustus;;;;
530;10-14 Delfstoffenwinning;1990 september;;;;
531;10-14 Delfstoffenwinning;1990 oktober;;;;
