ID;Geslacht;Leeftijd;Perioden;TotaalPrivebezittingen_1;EigenWoning_2;TotaalFinancieel_3;BankEnSpaartegoeden_4;Effecten_5;Hypotheekschuld_6;Privevermogen_7;Ondernemingsvermogen_8;NagelatenVermogen_9;TotaalPrivebezittingen_10;EigenWoning_11;TotaalFinancieel_12;BankEnSpaartegoeden_13;Effecten_14;Hypotheekschuld_15;Privevermogen_16;Ondernemingsvermogen_17;NagelatenVermogen_18;TotaalPrivebezittingen_19;EigenWoning_20;TotaalFinancieel_21;BankEnSpaartegoeden_22;Effecten_23;Hypotheekschuld_24;Privevermogen_25;Ondernemingsvermogen_26;NagelatenVermogen_27;TotaalPrivebezittingen_28;EigenWoning_29;TotaalFinancieel_30;BankEnSpaartegoeden_31;Effecten_32;Hypotheekschuld_33;Privevermogen_34;Ondernemingsvermogen_35;NagelatenVermogen_36
114;Vrouwen;65 tot 85 jaar;2007;23050;6150;22860;22790;3270;2880;23060;300;23070;2665;1321;1344;889;455.0;159;2506;139.0;2645;116;215;59;39;139.0;55;109;465.0;115;23;175;16;15;37.0;34;23;92.0;23
115;Vrouwen;65 tot 85 jaar;2008;23750;6590;23580;23510;3080;3060;23760;310;23770;2795;1414;1380;983;397.0;172;2623;179.0;2802;118;215;59;42;129.0;56;110;573.0;118;24;176;17;16;34.0;35;24;158.0;24
116;Vrouwen;65 tot 85 jaar;2009;22730;6520;22550;22510;2870;3110;22740;320;22750;2605;1353;1252;937;314.0;182;2423;102.0;2525;115;208;56;42;110.0;58;107;316.0;111;25;175;17;16;30.0;39;24;108.0;25
117;Vrouwen;65 tot 85 jaar;2010;23590;7030;23350;23270;3160;3240;23600;330;23610;3014;1612;1401;976;425.0;210;2804;123.0;2927;128;229;60;42;135.0;65;119;370.0;124;25;192;18;16;31.0;41;24;98.0;24
118;Vrouwen;65 tot 85 jaar;2011;24000;7120;23720;23660;3220;3220;24010;320;24010;2941;1589;1353;1001;352.0;206;2735;95.0;2830;123;223;57;42;109.0;64;114;300.0;118;24;187;17;16;29.0;42;24;67.0;24
119;Vrouwen;85 jaar of ouder;2005;21210;1960;21120;21080;2310;420;21210;70;21210;1684;451;1234;781;453.0;19;1665;22.0;1686;79;230;58;37;196.0;47;78;291.0;79;16;192;15;14;54.0;25;16;96.0;16
120;Vrouwen;85 jaar of ouder;2006;22830;2110;22770;22710;2510;460;22830;70;22830;1943;518;1425;903;522.0;23;1919;63.0;1983;85;245;63;40;209.0;51;84;867.0;87;17;198;16;15;56.0;29;17;264.0;17
121;Vrouwen;85 jaar of ouder;2007;22280;2280;22220;22170;2390;540;22290;70;22290;2040;592;1448;955;493.0;29;2011;38.0;2050;92;259;65;43;206.0;53;90;533.0;92;20;207;18;17;60.0;30;20;94.0;20
122;Vrouwen;85 jaar of ouder;2008;24320;2550;24230;24200;2610;570;24320;90;24330;2249;647;1602;1120;482.0;36;2214;45.0;2259;92;254;66;46;185.0;63;91;508.0;93;21;205;19;18;53.0;32;21;260.0;21
123;Vrouwen;85 jaar of ouder;2009;24310;2770;24230;24190;2550;700;24310;110;24320;2302;676;1627;1191;436.0;43;2259;59.0;2319;95;244;67;49;171.0;62;93;555.0;95;22;200;20;19;48.0;34;22;193.0;22
124;Vrouwen;85 jaar of ouder;2010;25830;3300;25710;25640;2820;860;25830;120;25830;2676;909;1767;1301;466.0;54;2622;66.0;2689;104;275;69;51;165.0;63;102;537.0;104;24;223;21;20;48.0;35;24;95.0;24
125;Vrouwen;85 jaar of ouder;2011;26510;3560;26410;26340;2810;870;26510;80;26520;2802;949;1853;1340;512.0;54;2748;40.0;2788;106;267;70;51;182.0;62;104;503.0;105;24;221;22;21;48.0;34;24;128.0;24
