ID;EmploymentType;EconomicActivitiesNACE2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
1075;Total;O Public administration and services;1998;468.0;;495.0;;705.0;
1076;Total;O Public administration and services;1999 1st quarter;;;;;;
1077;Total;O Public administration and services;1999 2nd quarter;;;;;;
1078;Total;O Public administration and services;1999 3rd quarter;;;;;;
1079;Total;O Public administration and services;1999 4th quarter;;;;;;
1080;Total;O Public administration and services;1999;478.0;;503.0;;709.0;
1081;Total;O Public administration and services;2000 1st quarter;;;;;;
1082;Total;O Public administration and services;2000 2nd quarter;;;;;;
1083;Total;O Public administration and services;2000 3rd quarter;;;;;;
1084;Total;O Public administration and services;2000 4th quarter;;;;;;
1085;Total;O Public administration and services;2000;485.0;;510.0;;716.0;
1086;Total;O Public administration and services;2001 1st quarter;;;;;;
1087;Total;O Public administration and services;2001 2nd quarter;;;;;;
1088;Total;O Public administration and services;2001 3rd quarter;;;;;;
1089;Total;O Public administration and services;2001 4th quarter;;;;;;
1090;Total;O Public administration and services;2001;497.0;;525.0;;736.0;
1091;Total;O Public administration and services;2002 1st quarter;;;;;;
1092;Total;O Public administration and services;2002 2nd quarter;;;;;;
1093;Total;O Public administration and services;2002 3rd quarter;;;;;;
1094;Total;O Public administration and services;2002 4th quarter;;;;;;
1095;Total;O Public administration and services;2002;509.0;;541.0;;759.0;
1096;Total;O Public administration and services;2003 1st quarter;;;;;;
1097;Total;O Public administration and services;2003 2nd quarter;;;;;;
1098;Total;O Public administration and services;2003 3rd quarter;;;;;;
1099;Total;O Public administration and services;2003 4th quarter;;;;;;
1100;Total;O Public administration and services;2003;518.0;;550.0;;778.0;
1101;Total;O Public administration and services;2004 1st quarter;;;;;;
1102;Total;O Public administration and services;2004 2nd quarter;;;;;;
1103;Total;O Public administration and services;2004 3rd quarter;;;;;;
1104;Total;O Public administration and services;2004 4th quarter;;;;;;
1105;Total;O Public administration and services;2004;505.0;;536.0;;743.0;
1106;Total;O Public administration and services;2005 1st quarter;;;;;;
1107;Total;O Public administration and services;2005 2nd quarter;;;;;;
1108;Total;O Public administration and services;2005 3rd quarter;;;;;;
1109;Total;O Public administration and services;2005 4th quarter;;;;;;
1110;Total;O Public administration and services;2005;494.0;;525.0;;732.0;
1111;Total;O Public administration and services;2006 1st quarter;;;;;;
1112;Total;O Public administration and services;2006 2nd quarter;;;;;;
1113;Total;O Public administration and services;2006 3rd quarter;;;;;;
1114;Total;O Public administration and services;2006 4th quarter;;;;;;
1115;Total;O Public administration and services;2006;486.0;;516.0;;716.0;
1116;Total;O Public administration and services;2007 1st quarter;;;;;;
1117;Total;O Public administration and services;2007 2nd quarter;;;;;;
1118;Total;O Public administration and services;2007 3rd quarter;;;;;;
1119;Total;O Public administration and services;2007 4th quarter;;;;;;
1120;Total;O Public administration and services;2007;485.0;;516.0;;715.0;
1121;Total;O Public administration and services;2008 1st quarter;;;;;;
1122;Total;O Public administration and services;2008 2nd quarter;;;;;;
1123;Total;O Public administration and services;2008 3rd quarter;;;;;;
1124;Total;O Public administration and services;2008 4th quarter;;;;;;
1125;Total;O Public administration and services;2008;484.0;;515.0;;719.0;
1126;Total;O Public administration and services;2009 1st quarter;;;;;;
1127;Total;O Public administration and services;2009 2nd quarter;;;;;;
1128;Total;O Public administration and services;2009 3rd quarter;;;;;;
1129;Total;O Public administration and services;2009 4th quarter;;;;;;
1130;Total;O Public administration and services;2009;496.0;;527.0;;741.0;
1131;Total;O Public administration and services;2010 1st quarter;;;;;;
1132;Total;O Public administration and services;2010 2nd quarter;;;;;;
1133;Total;O Public administration and services;2010 3rd quarter;;;;;;
1134;Total;O Public administration and services;2010 4th quarter;;;;;;
1135;Total;O Public administration and services;2010;508.0;;540.0;;761.0;
1136;Total;O Public administration and services;2011 1st quarter;;;;;;
1137;Total;O Public administration and services;2011 2nd quarter;;;;;;
1138;Total;O Public administration and services;2011 3rd quarter;;;;;;
1139;Total;O Public administration and services;2011 4th quarter;;;;;;
1140;Total;O Public administration and services;2011;497.0;;529.0;;746.0;
1141;Total;O Public administration and services;2012 1st quarter;;;;;;
1142;Total;O Public administration and services;2012 2nd quarter;;;;;;
1143;Total;O Public administration and services;2012 3rd quarter;;;;;;
1144;Total;O Public administration and services;2012 4th quarter;;;;;;
1145;Total;O Public administration and services;2012;484.0;;515.0;;727.0;
1146;Total;O Public administration and services;2013 1st quarter;;;;;;
1147;Total;O Public administration and services;2013 2nd quarter;;;;;;
1148;Total;O Public administration and services;2013 3rd quarter;;;;;;
1149;Total;O Public administration and services;2013 4th quarter;;;;;;
1150;Total;O Public administration and services;2013;;;;;;
1151;Total;O Public administration and services;2014 1st quarter;;;;;;
1152;Total;P Education;1995 1st quarter;;;;;;
1153;Total;P Education;1995 2nd quarter;;;;;;
1154;Total;P Education;1995 3rd quarter;;;;;;
1155;Total;P Education;1995 4th quarter;;;;;;
1156;Total;P Education;1995;391.0;;437.0;;521.0;
1157;Total;P Education;1996 1st quarter;;;;;;
1158;Total;P Education;1996 2nd quarter;;;;;;
1159;Total;P Education;1996 3rd quarter;;;;;;
1160;Total;P Education;1996 4th quarter;;;;;;
1161;Total;P Education;1996;390.0;;444.0;;524.0;
1162;Total;P Education;1997 1st quarter;;;;;;
1163;Total;P Education;1997 2nd quarter;;;;;;
1164;Total;P Education;1997 3rd quarter;;;;;;
1165;Total;P Education;1997 4th quarter;;;;;;
1166;Total;P Education;1997;397.0;;446.0;;536.0;
1167;Total;P Education;1998 1st quarter;;;;;;
1168;Total;P Education;1998 2nd quarter;;;;;;
1169;Total;P Education;1998 3rd quarter;;;;;;
1170;Total;P Education;1998 4th quarter;;;;;;
1171;Total;P Education;1998;399.0;;451.0;;545.0;
1172;Total;P Education;1999 1st quarter;;;;;;
1173;Total;P Education;1999 2nd quarter;;;;;;
1174;Total;P Education;1999 3rd quarter;;;;;;
1175;Total;P Education;1999 4th quarter;;;;;;
1176;Total;P Education;1999;410.0;;453.0;;550.0;
1177;Total;P Education;2000 1st quarter;;;;;;
1178;Total;P Education;2000 2nd quarter;;;;;;
1179;Total;P Education;2000 3rd quarter;;;;;;
1180;Total;P Education;2000 4th quarter;;;;;;
1181;Total;P Education;2000;418.0;;461.0;;559.0;
1182;Total;P Education;2001 1st quarter;;;;;;
1183;Total;P Education;2001 2nd quarter;;;;;;
1184;Total;P Education;2001 3rd quarter;;;;;;
1185;Total;P Education;2001 4th quarter;;;;;;
1186;Total;P Education;2001;429.0;;471.0;;574.0;
1187;Total;P Education;2002 1st quarter;;;;;;
1188;Total;P Education;2002 2nd quarter;;;;;;
1189;Total;P Education;2002 3rd quarter;;;;;;
1190;Total;P Education;2002 4th quarter;;;;;;
1191;Total;P Education;2002;445.0;;488.0;;594.0;
1192;Total;P Education;2003 1st quarter;;;;;;
1193;Total;P Education;2003 2nd quarter;;;;;;
1194;Total;P Education;2003 3rd quarter;;;;;;
1195;Total;P Education;2003 4th quarter;;;;;;
1196;Total;P Education;2003;457.0;;503.0;;619.0;
1197;Total;P Education;2004 1st quarter;;;;;;
1198;Total;P Education;2004 2nd quarter;;;;;;
1199;Total;P Education;2004 3rd quarter;;;;;;
1200;Total;P Education;2004 4th quarter;;;;;;
1201;Total;P Education;2004;454.0;;500.0;;605.0;
1202;Total;P Education;2005 1st quarter;;;;;;
1203;Total;P Education;2005 2nd quarter;;;;;;
1204;Total;P Education;2005 3rd quarter;;;;;;
1205;Total;P Education;2005 4th quarter;;;;;;
1206;Total;P Education;2005;455.0;;500.0;;602.0;
1207;Total;P Education;2006 1st quarter;;;;;;
1208;Total;P Education;2006 2nd quarter;;;;;;
1209;Total;P Education;2006 3rd quarter;;;;;;
1210;Total;P Education;2006 4th quarter;;;;;;
1211;Total;P Education;2006;456.0;;502.0;;606.0;
1212;Total;P Education;2007 1st quarter;;;;;;
1213;Total;P Education;2007 2nd quarter;;;;;;
1214;Total;P Education;2007 3rd quarter;;;;;;
1215;Total;P Education;2007 4th quarter;;;;;;
1216;Total;P Education;2007;468.0;;515.0;;615.0;
1217;Total;P Education;2008 1st quarter;;;;;;
1218;Total;P Education;2008 2nd quarter;;;;;;
1219;Total;P Education;2008 3rd quarter;;;;;;
1220;Total;P Education;2008 4th quarter;;;;;;
1221;Total;P Education;2008;478.0;;524.0;;639.0;
1222;Total;P Education;2009 1st quarter;;;;;;
1223;Total;P Education;2009 2nd quarter;;;;;;
1224;Total;P Education;2009 3rd quarter;;;;;;
1225;Total;P Education;2009 4th quarter;;;;;;
1226;Total;P Education;2009;484.0;;532.0;;645.0;
1227;Total;P Education;2010 1st quarter;;;;;;
1228;Total;P Education;2010 2nd quarter;;;;;;
1229;Total;P Education;2010 3rd quarter;;;;;;
1230;Total;P Education;2010 4th quarter;;;;;;
1231;Total;P Education;2010;486.0;;534.0;;640.0;
1232;Total;P Education;2011 1st quarter;;;;;;
1233;Total;P Education;2011 2nd quarter;;;;;;
1234;Total;P Education;2011 3rd quarter;;;;;;
1235;Total;P Education;2011 4th quarter;;;;;;
1236;Total;P Education;2011;483.0;;531.0;;639.0;
1237;Total;P Education;2012 1st quarter;;;;;;
1238;Total;P Education;2012 2nd quarter;;;;;;
1239;Total;P Education;2012 3rd quarter;;;;;;
1240;Total;P Education;2012 4th quarter;;;;;;
1241;Total;P Education;2012;478.0;;526.0;;630.0;
1242;Total;P Education;2013 1st quarter;;;;;;
1243;Total;P Education;2013 2nd quarter;;;;;;
1244;Total;P Education;2013 3rd quarter;;;;;;
1245;Total;P Education;2013 4th quarter;;;;;;
1246;Total;P Education;2013;;;;;;
1247;Total;P Education;2014 1st quarter;;;;;;
1248;Total;Q Health and social work activities;1995 1st quarter;;;;;;
1249;Total;Q Health and social work activities;1995 2nd quarter;;;;;;
1250;Total;Q Health and social work activities;1995 3rd quarter;;;;;;
1251;Total;Q Health and social work activities;1995 4th quarter;;;;;;
1252;Total;Q Health and social work activities;1995;807.0;;860.0;;963.0;
1253;Total;Q Health and social work activities;1996 1st quarter;;;;;;
1254;Total;Q Health and social work activities;1996 2nd quarter;;;;;;
1255;Total;Q Health and social work activities;1996 3rd quarter;;;;;;
1256;Total;Q Health and social work activities;1996 4th quarter;;;;;;
1257;Total;Q Health and social work activities;1996;829.0;;885.0;;984.0;
1258;Total;Q Health and social work activities;1997 1st quarter;;;;;;
1259;Total;Q Health and social work activities;1997 2nd quarter;;;;;;
1260;Total;Q Health and social work activities;1997 3rd quarter;;;;;;
1261;Total;Q Health and social work activities;1997 4th quarter;;;;;;
1262;Total;Q Health and social work activities;1997;859.0;;917.0;;1023.0;
1263;Total;Q Health and social work activities;1998 1st quarter;;;;;;
1264;Total;Q Health and social work activities;1998 2nd quarter;;;;;;
1265;Total;Q Health and social work activities;1998 3rd quarter;;;;;;
1266;Total;Q Health and social work activities;1998 4th quarter;;;;;;
1267;Total;Q Health and social work activities;1998;893.0;;960.0;;1049.0;
1268;Total;Q Health and social work activities;1999 1st quarter;;;;;;
1269;Total;Q Health and social work activities;1999 2nd quarter;;;;;;
1270;Total;Q Health and social work activities;1999 3rd quarter;;;;;;
1271;Total;Q Health and social work activities;1999 4th quarter;;;;;;
1272;Total;Q Health and social work activities;1999;917.0;;984.0;;1070.0;
1273;Total;Q Health and social work activities;2000 1st quarter;;;;;;
1274;Total;Q Health and social work activities;2000 2nd quarter;;;;;;
1275;Total;Q Health and social work activities;2000 3rd quarter;;;;;;
1276;Total;Q Health and social work activities;2000 4th quarter;;;;;;
1277;Total;Q Health and social work activities;2000;937.0;;1004.0;;1086.0;
1278;Total;Q Health and social work activities;2001 1st quarter;;;;;;
1279;Total;Q Health and social work activities;2001 2nd quarter;;;;;;
1280;Total;Q Health and social work activities;2001 3rd quarter;;;;;;
1281;Total;Q Health and social work activities;2001 4th quarter;;;;;;
1282;Total;Q Health and social work activities;2001;985.0;;1050.0;;1143.0;
1283;Total;Q Health and social work activities;2002 1st quarter;;;;;;
1284;Total;Q Health and social work activities;2002 2nd quarter;;;;;;
1285;Total;Q Health and social work activities;2002 3rd quarter;;;;;;
1286;Total;Q Health and social work activities;2002 4th quarter;;;;;;
1287;Total;Q Health and social work activities;2002;1042.0;;1114.0;;1214.0;
1288;Total;Q Health and social work activities;2003 1st quarter;;;;;;
1289;Total;Q Health and social work activities;2003 2nd quarter;;;;;;
1290;Total;Q Health and social work activities;2003 3rd quarter;;;;;;
1291;Total;Q Health and social work activities;2003 4th quarter;;;;;;
1292;Total;Q Health and social work activities;2003;1096.0;;1167.0;;1274.0;
1293;Total;Q Health and social work activities;2004 1st quarter;;;;;;
1294;Total;Q Health and social work activities;2004 2nd quarter;;;;;;
1295;Total;Q Health and social work activities;2004 3rd quarter;;;;;;
1296;Total;Q Health and social work activities;2004 4th quarter;;;;;;
1297;Total;Q Health and social work activities;2004;1119.0;;1192.0;;1299.0;
1298;Total;Q Health and social work activities;2005 1st quarter;;;;;;
1299;Total;Q Health and social work activities;2005 2nd quarter;;;;;;
1300;Total;Q Health and social work activities;2005 3rd quarter;;;;;;
1301;Total;Q Health and social work activities;2005 4th quarter;;;;;;
1302;Total;Q Health and social work activities;2005;1141.0;;1216.0;;1314.0;
1303;Total;Q Health and social work activities;2006 1st quarter;;;;;;
1304;Total;Q Health and social work activities;2006 2nd quarter;;;;;;
1305;Total;Q Health and social work activities;2006 3rd quarter;;;;;;
1306;Total;Q Health and social work activities;2006 4th quarter;;;;;;
1307;Total;Q Health and social work activities;2006;1164.0;;1240.0;;1344.0;
1308;Total;Q Health and social work activities;2007 1st quarter;;;;;;
1309;Total;Q Health and social work activities;2007 2nd quarter;;;;;;
1310;Total;Q Health and social work activities;2007 3rd quarter;;;;;;
1311;Total;Q Health and social work activities;2007 4th quarter;;;;;;
1312;Total;Q Health and social work activities;2007;1186.0;;1264.0;;1365.0;
1313;Total;Q Health and social work activities;2008 1st quarter;;;;;;
1314;Total;Q Health and social work activities;2008 2nd quarter;;;;;;
1315;Total;Q Health and social work activities;2008 3rd quarter;;;;;;
1316;Total;Q Health and social work activities;2008 4th quarter;;;;;;
1317;Total;Q Health and social work activities;2008;1219.0;;1299.0;;1406.0;
1318;Total;Q Health and social work activities;2009 1st quarter;;;;;;
1319;Total;Q Health and social work activities;2009 2nd quarter;;;;;;
1320;Total;Q Health and social work activities;2009 3rd quarter;;;;;;
1321;Total;Q Health and social work activities;2009 4th quarter;;;;;;
1322;Total;Q Health and social work activities;2009;1251.0;;1333.0;;1449.0;
1323;Total;Q Health and social work activities;2010 1st quarter;;;;;;
1324;Total;Q Health and social work activities;2010 2nd quarter;;;;;;
1325;Total;Q Health and social work activities;2010 3rd quarter;;;;;;
1326;Total;Q Health and social work activities;2010 4th quarter;;;;;;
1327;Total;Q Health and social work activities;2010;1315.0;;1401.0;;1487.0;
1328;Total;Q Health and social work activities;2011 1st quarter;;;;;;
1329;Total;Q Health and social work activities;2011 2nd quarter;;;;;;
1330;Total;Q Health and social work activities;2011 3rd quarter;;;;;;
1331;Total;Q Health and social work activities;2011 4th quarter;;;;;;
1332;Total;Q Health and social work activities;2011;1352.0;;1442.0;;1533.0;
1333;Total;Q Health and social work activities;2012 1st quarter;;;;;;
1334;Total;Q Health and social work activities;2012 2nd quarter;;;;;;
1335;Total;Q Health and social work activities;2012 3rd quarter;;;;;;
1336;Total;Q Health and social work activities;2012 4th quarter;;;;;;
1337;Total;Q Health and social work activities;2012;1367.0;;1458.0;;1554.0;
1338;Total;Q Health and social work activities;2013 1st quarter;;;;;;
1339;Total;Q Health and social work activities;2013 2nd quarter;;;;;;
1340;Total;Q Health and social work activities;2013 3rd quarter;;;;;;
1341;Total;Q Health and social work activities;2013 4th quarter;;;;;;
1342;Total;Q Health and social work activities;2013;;;;;;
1343;Total;Q Health and social work activities;2014 1st quarter;;;;;;
1344;Total;R-U Culture, recreation, other services;1995 1st quarter;510.0;526.0;557.0;574.0;119.0;118.0
1345;Total;R-U Culture, recreation, other services;1995 2nd quarter;526.0;526.0;574.0;575.0;117.0;119.0
1346;Total;R-U Culture, recreation, other services;1995 3rd quarter;533.0;529.0;582.0;577.0;108.0;120.0
1347;Total;R-U Culture, recreation, other services;1995 4th quarter;545.0;533.0;595.0;582.0;136.0;123.0
1348;Total;R-U Culture, recreation, other services;1995;528.0;;577.0;;480.0;
1349;Total;R-U Culture, recreation, other services;1996 1st quarter;529.0;545.0;575.0;592.0;123.0;123.0
1350;Total;R-U Culture, recreation, other services;1996 2nd quarter;548.0;548.0;596.0;596.0;122.0;123.0
1351;Total;R-U Culture, recreation, other services;1996 3rd quarter;555.0;551.0;604.0;599.0;112.0;124.0
1352;Total;R-U Culture, recreation, other services;1996 4th quarter;565.0;553.0;614.0;602.0;141.0;127.0
1353;Total;R-U Culture, recreation, other services;1996;549.0;;597.0;;497.0;
1354;Total;R-U Culture, recreation, other services;1997 1st quarter;537.0;554.0;583.0;600.0;127.0;128.0
1355;Total;R-U Culture, recreation, other services;1997 2nd quarter;557.0;558.0;605.0;605.0;130.0;130.0
1356;Total;R-U Culture, recreation, other services;1997 3rd quarter;566.0;561.0;614.0;609.0;119.0;132.0
1357;Total;R-U Culture, recreation, other services;1997 4th quarter;576.0;564.0;624.0;612.0;147.0;132.0
1358;Total;R-U Culture, recreation, other services;1997;559.0;;606.0;;522.0;
1359;Total;R-U Culture, recreation, other services;1998 1st quarter;551.0;568.0;599.0;617.0;133.0;134.0
1360;Total;R-U Culture, recreation, other services;1998 2nd quarter;571.0;572.0;621.0;621.0;134.0;135.0
1361;Total;R-U Culture, recreation, other services;1998 3rd quarter;577.0;573.0;627.0;622.0;124.0;137.0
1362;Total;R-U Culture, recreation, other services;1998 4th quarter;581.0;568.0;632.0;619.0;152.0;137.0
1363;Total;R-U Culture, recreation, other services;1998;570.0;;620.0;;543.0;
1364;Total;R-U Culture, recreation, other services;1999 1st quarter;543.0;559.0;593.0;610.0;133.0;134.0
1365;Total;R-U Culture, recreation, other services;1999 2nd quarter;558.0;559.0;609.0;609.0;132.0;134.0
1366;Total;R-U Culture, recreation, other services;1999 3rd quarter;563.0;559.0;615.0;611.0;122.0;135.0
1367;Total;R-U Culture, recreation, other services;1999 4th quarter;571.0;559.0;624.0;612.0;151.0;136.0
1368;Total;R-U Culture, recreation, other services;1999;559.0;;610.0;;538.0;
1369;Total;R-U Culture, recreation, other services;2000 1st quarter;548.0;564.0;598.0;615.0;137.0;135.0
1370;Total;R-U Culture, recreation, other services;2000 2nd quarter;562.0;563.0;614.0;614.0;134.0;135.0
1371;Total;R-U Culture, recreation, other services;2000 3rd quarter;566.0;562.0;617.0;613.0;121.0;135.0
1372;Total;R-U Culture, recreation, other services;2000 4th quarter;573.0;561.0;622.0;610.0;149.0;136.0
1373;Total;R-U Culture, recreation, other services;2000;562.0;;613.0;;541.0;
1374;Total;R-U Culture, recreation, other services;2001 1st quarter;548.0;563.0;591.0;606.0;139.0;137.0
1375;Total;R-U Culture, recreation, other services;2001 2nd quarter;565.0;566.0;608.0;608.0;136.0;137.0
1376;Total;R-U Culture, recreation, other services;2001 3rd quarter;572.0;568.0;614.0;610.0;123.0;138.0
1377;Total;R-U Culture, recreation, other services;2001 4th quarter;579.0;566.0;621.0;609.0;153.0;139.0
1378;Total;R-U Culture, recreation, other services;2001;566.0;;608.0;;552.0;
1379;Total;R-U Culture, recreation, other services;2002 1st quarter;547.0;562.0;590.0;605.0;138.0;137.0
1380;Total;R-U Culture, recreation, other services;2002 2nd quarter;566.0;568.0;611.0;611.0;133.0;134.0
1381;Total;R-U Culture, recreation, other services;2002 3rd quarter;564.0;560.0;609.0;605.0;119.0;132.0
1382;Total;R-U Culture, recreation, other services;2002 4th quarter;576.0;564.0;620.0;609.0;150.0;137.0
1383;Total;R-U Culture, recreation, other services;2002;563.0;;607.0;;539.0;
1384;Total;R-U Culture, recreation, other services;2003 1st quarter;552.0;565.0;595.0;609.0;133.0;132.0
1385;Total;R-U Culture, recreation, other services;2003 2nd quarter;552.0;554.0;596.0;596.0;132.0;133.0
1386;Total;R-U Culture, recreation, other services;2003 3rd quarter;565.0;561.0;609.0;606.0;121.0;135.0
1387;Total;R-U Culture, recreation, other services;2003 4th quarter;581.0;569.0;625.0;614.0;156.0;143.0
1388;Total;R-U Culture, recreation, other services;2003;562.0;;606.0;;542.0;
1389;Total;R-U Culture, recreation, other services;2004 1st quarter;541.0;553.0;583.0;595.0;135.0;133.0
1390;Total;R-U Culture, recreation, other services;2004 2nd quarter;565.0;567.0;609.0;610.0;134.0;136.0
1391;Total;R-U Culture, recreation, other services;2004 3rd quarter;576.0;573.0;620.0;618.0;122.0;136.0
1392;Total;R-U Culture, recreation, other services;2004 4th quarter;567.0;556.0;611.0;601.0;146.0;133.0
1393;Total;R-U Culture, recreation, other services;2004;562.0;;606.0;;537.0;
1394;Total;R-U Culture, recreation, other services;2005 1st quarter;572.0;583.0;617.0;628.0;141.0;139.0
1395;Total;R-U Culture, recreation, other services;2005 2nd quarter;587.0;590.0;633.0;634.0;137.0;136.0
1396;Total;R-U Culture, recreation, other services;2005 3rd quarter;566.0;563.0;611.0;609.0;121.0;135.0
1397;Total;R-U Culture, recreation, other services;2005 4th quarter;551.0;541.0;594.0;586.0;144.0;133.0
1398;Total;R-U Culture, recreation, other services;2005;569.0;;614.0;;544.0;
1399;Total;R-U Culture, recreation, other services;2006 1st quarter;550.0;559.0;594.0;603.0;140.0;135.0
1400;Total;R-U Culture, recreation, other services;2006 2nd quarter;568.0;571.0;614.0;615.0;136.0;136.0
1401;Total;R-U Culture, recreation, other services;2006 3rd quarter;577.0;575.0;623.0;622.0;123.0;138.0
1402;Total;R-U Culture, recreation, other services;2006 4th quarter;594.0;584.0;640.0;632.0;151.0;141.0
1403;Total;R-U Culture, recreation, other services;2006;572.0;;618.0;;550.0;
1404;Total;R-U Culture, recreation, other services;2007 1st quarter;561.0;568.0;606.0;613.0;141.0;136.0
1405;Total;R-U Culture, recreation, other services;2007 2nd quarter;574.0;577.0;621.0;622.0;140.0;140.0
1406;Total;R-U Culture, recreation, other services;2007 3rd quarter;581.0;580.0;628.0;628.0;126.0;141.0
1407;Total;R-U Culture, recreation, other services;2007 4th quarter;609.0;601.0;657.0;650.0;156.0;145.0
1408;Total;R-U Culture, recreation, other services;2007;581.0;;628.0;;562.0;
1409;Total;R-U Culture, recreation, other services;2008 1st quarter;583.0;588.0;632.0;637.0;147.0;143.0
1410;Total;R-U Culture, recreation, other services;2008 2nd quarter;593.0;597.0;643.0;645.0;147.0;146.0
1411;Total;R-U Culture, recreation, other services;2008 3rd quarter;608.0;608.0;659.0;659.0;135.0;151.0
1412;Total;R-U Culture, recreation, other services;2008 4th quarter;622.0;616.0;673.0;668.0;162.0;151.0
1413;Total;R-U Culture, recreation, other services;2008;602.0;;652.0;;591.0;
1414;Total;R-U Culture, recreation, other services;2009 1st quarter;620.0;622.0;671.0;673.0;156.0;152.0
1415;Total;R-U Culture, recreation, other services;2009 2nd quarter;601.0;605.0;653.0;655.0;150.0;151.0
1416;Total;R-U Culture, recreation, other services;2009 3rd quarter;608.0;608.0;659.0;661.0;132.0;149.0
1417;Total;R-U Culture, recreation, other services;2009 4th quarter;612.0;608.0;664.0;660.0;162.0;150.0
1418;Total;R-U Culture, recreation, other services;2009;610.0;;662.0;;601.0;
1419;Total;R-U Culture, recreation, other services;2010 1st quarter;611.0;610.0;663.0;662.0;162.0;157.0
1420;Total;R-U Culture, recreation, other services;2010 2nd quarter;618.0;622.0;671.0;674.0;149.0;151.0
1421;Total;R-U Culture, recreation, other services;2010 3rd quarter;619.0;620.0;672.0;673.0;136.0;152.0
1422;Total;R-U Culture, recreation, other services;2010 4th quarter;621.0;619.0;674.0;672.0;164.0;150.0
1423;Total;R-U Culture, recreation, other services;2010;617.0;;670.0;;611.0;
1424;Total;R-U Culture, recreation, other services;2011 1st quarter;636.0;633.0;690.0;686.0;160.0;154.0
1425;Total;R-U Culture, recreation, other services;2011 2nd quarter;612.0;615.0;665.0;668.0;152.0;152.0
1426;Total;R-U Culture, recreation, other services;2011 3rd quarter;612.0;614.0;665.0;667.0;135.0;152.0
1427;Total;R-U Culture, recreation, other services;2011 4th quarter;613.0;613.0;666.0;666.0;165.0;154.0
1428;Total;R-U Culture, recreation, other services;2011;618.0;;672.0;;612.0;
1429;Total;R-U Culture, recreation, other services;2012 1st quarter;642.0;636.0;697.0;691.0;164.0;157.0
1430;Total;R-U Culture, recreation, other services;2012 2nd quarter;616.0;620.0;670.0;673.0;154.0;155.0
1431;Total;R-U Culture, recreation, other services;2012 3rd quarter;617.0;619.0;670.0;673.0;136.0;154.0
1432;Total;R-U Culture, recreation, other services;2012 4th quarter;618.0;619.0;672.0;673.0;168.0;156.0
1433;Total;R-U Culture, recreation, other services;2012;623.0;;677.0;;622.0;
1434;Total;R-U Culture, recreation, other services;2013 1st quarter;647.0;639.0;701.0;693.0;162.0;156.0
1435;Total;R-U Culture, recreation, other services;2013 2nd quarter;630.0;634.0;684.0;688.0;156.0;157.0
1436;Total;R-U Culture, recreation, other services;2013 3rd quarter;630.0;633.0;685.0;687.0;139.0;156.0
1437;Total;R-U Culture, recreation, other services;2013 4th quarter;613.0;616.0;667.0;669.0;166.0;154.0
1438;Total;R-U Culture, recreation, other services;2013;630.0;;684.0;;623.0;
1439;Total;R-U Culture, recreation, other services;2014 1st quarter;637.0;628.0;691.0;682.0;159.0;153.0
1440;Employee;A-U All economic activities;1995 1st quarter;5876.0;5951.0;6228.0;6308.0;2196.0;2021.0
1441;Employee;A-U All economic activities;1995 2nd quarter;6006.0;5982.0;6369.0;6343.0;2057.0;2111.0
1442;Employee;A-U All economic activities;1995 3rd quarter;6095.0;6032.0;6463.0;6395.0;1892.0;2151.0
1443;Employee;A-U All economic activities;1995 4th quarter;6079.0;6090.0;6445.0;6458.0;2358.0;2220.0
1444;Employee;A-U All economic activities;1995;6014.0;;6376.0;;8503.0;
1445;Employee;A-U All economic activities;1996 1st quarter;6009.0;6087.0;6380.0;6463.0;2242.0;2107.0
1446;Employee;A-U All economic activities;1996 2nd quarter;6152.0;6127.0;6536.0;6509.0;2103.0;2146.0
1447;Employee;A-U All economic activities;1996 3rd quarter;6236.0;6170.0;6626.0;6555.0;1932.0;2182.0
1448;Employee;A-U All economic activities;1996 4th quarter;6204.0;6217.0;6590.0;6604.0;2403.0;2245.0
1449;Employee;A-U All economic activities;1996;6150.0;;6533.0;;8681.0;
1450;Employee;A-U All economic activities;1997 1st quarter;6189.0;6271.0;6559.0;6646.0;2297.0;2212.0
1451;Employee;A-U All economic activities;1997 2nd quarter;6348.0;6320.0;6731.0;6701.0;2236.0;2238.0
1452;Employee;A-U All economic activities;1997 3rd quarter;6456.0;6387.0;6847.0;6772.0;1991.0;2236.0
1453;Employee;A-U All economic activities;1997 4th quarter;6425.0;6439.0;6811.0;6826.0;2408.0;2247.0
1454;Employee;A-U All economic activities;1997;6354.0;;6737.0;;8933.0;
1455;Employee;A-U All economic activities;1998 1st quarter;6401.0;6486.0;6808.0;6900.0;2403.0;2278.0
1456;Employee;A-U All economic activities;1998 2nd quarter;6571.0;6540.0;6993.0;6961.0;2255.0;2289.0
1457;Employee;A-U All economic activities;1998 3rd quarter;6663.0;6593.0;7093.0;7016.0;2045.0;2310.0
1458;Employee;A-U All economic activities;1998 4th quarter;6625.0;6641.0;7049.0;7065.0;2474.0;2299.0
1459;Employee;A-U All economic activities;1998;6565.0;;6986.0;;9176.0;
1460;Employee;A-U All economic activities;1999 1st quarter;6652.0;6739.0;7056.0;7152.0;2448.0;2330.0
1461;Employee;A-U All economic activities;1999 2nd quarter;6822.0;6789.0;7240.0;7206.0;2310.0;2355.0
