ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
421;Primary coals;2005;343.0;;541.0;197.0;344.0;;-1.0;343.0;342.0;208.0;134.0;;;;342.0;208.0;134.0;;;1.0;1.0;0.0;0.0
422;Primary coals;2006 1st quarter;86.0;;135.0;72.0;63.0;;23.0;;85.0;53.0;32.0;;;;85.0;53.0;32.0;;;;;0.0;
423;Primary coals;2006 2nd quarter;82.0;;145.0;77.0;69.0;;13.0;;82.0;49.0;33.0;;;;82.0;49.0;33.0;;;;;0.0;
424;Primary coals;2006 3rd quarter;84.0;;138.0;54.0;84.0;;0.0;;84.0;53.0;31.0;;;;84.0;53.0;31.0;;;;;0.0;
425;Primary coals;2006 4th quarter;79.0;;133.0;34.0;99.0;;-20.0;;79.0;50.0;28.0;;;;79.0;50.0;28.0;;;;;0.0;
426;Primary coals;2006;331.0;;551.0;237.0;315.0;;16.0;331.0;330.0;205.0;125.0;;;;330.0;205.0;125.0;;;1.0;1.0;0.0;0.0
427;Primary coals;2007 1st quarter;93.0;;175.0;81.0;94.0;;-2.0;;92.0;60.0;32.0;;;;92.0;60.0;32.0;;;;;0.0;
428;Primary coals;2007 2nd quarter;77.0;;153.0;84.0;69.0;;8.0;;76.0;42.0;33.0;;;;76.0;42.0;33.0;;;;;0.0;
429;Primary coals;2007 3rd quarter;89.0;;189.0;90.0;99.0;;-9.0;;88.0;54.0;34.0;;;;88.0;54.0;34.0;;;;;0.0;
430;Primary coals;2007 4th quarter;93.0;;166.0;57.0;109.0;;-16.0;;92.0;58.0;34.0;;;;92.0;58.0;34.0;;;;;0.0;
431;Primary coals;2007;352.0;;683.0;312.0;371.0;;-19.0;351.0;349.0;214.0;135.0;;;;349.0;214.0;135.0;;;2.0;2.0;0.0;0.0
432;Primary coals;2008 1st quarter;89.0;;150.0;60.0;91.0;;-1.0;;89.0;55.0;34.0;;;;89.0;55.0;34.0;;;;;0.0;
433;Primary coals;2008 2nd quarter;86.0;;146.0;55.0;91.0;;-6.0;;85.0;50.0;35.0;;;;85.0;50.0;35.0;;;;;0.0;
434;Primary coals;2008 3rd quarter;76.0;;115.0;35.0;80.0;;-4.0;;75.0;42.0;33.0;;;;75.0;42.0;33.0;;;;;0.0;
435;Primary coals;2008 4th quarter;80.0;;139.0;46.0;92.0;;-13.0;;80.0;56.0;24.0;;;;80.0;56.0;24.0;;;;;0.0;
436;Primary coals;2008;331.0;;551.0;196.0;354.0;;-24.0;331.0;329.0;203.0;126.0;;;;329.0;203.0;126.0;;;1.0;1.0;0.0;0.0
437;Primary coals;2009 1st quarter;84.0;;134.0;28.0;107.0;;-23.0;;83.0;62.0;22.0;;;;83.0;62.0;22.0;;;;;0.0;
438;Primary coals;2009 2nd quarter;73.0;;128.0;31.0;97.0;;-24.0;;72.0;51.0;21.0;;;;72.0;51.0;21.0;;;;;0.0;
439;Primary coals;2009 3rd quarter;76.0;;125.0;31.0;94.0;;-18.0;;75.0;49.0;27.0;;;;75.0;49.0;27.0;;;;;0.0;
440;Primary coals;2009 4th quarter;76.0;;124.0;32.0;92.0;;-15.0;;76.0;48.0;28.0;;;;76.0;48.0;28.0;;;;;0.0;
441;Primary coals;2009;309.0;;511.0;122.0;389.0;;-81.0;308.0;306.0;208.0;98.0;;;;306.0;208.0;98.0;;;2.0;2.0;0.0;1.0
442;Primary coals;2010 1st quarter;83.0;;140.0;31.0;110.0;;-27.0;;82.0;56.0;26.0;;;;82.0;56.0;26.0;;;;;0.0;
443;Primary coals;2010 2nd quarter;69.0;;123.0;50.0;73.0;;-5.0;;68.0;39.0;29.0;;;;68.0;39.0;29.0;;;;;0.0;
444;Primary coals;2010 3rd quarter;74.0;;111.0;19.0;93.0;;-18.0;;74.0;44.0;30.0;;;;74.0;44.0;30.0;;;;;0.0;
445;Primary coals;2010 4th quarter;85.0;;157.0;54.0;102.0;;-17.0;;85.0;57.0;28.0;;;;85.0;57.0;28.0;;;;;0.0;
446;Primary coals;2010;311.0;;531.0;153.0;378.0;;-68.0;310.0;309.0;195.0;113.0;;;;309.0;195.0;113.0;;;2.0;2.0;0.0;0.0
447;Primary coals;2011 1st quarter;77.0;;141.0;107.0;34.0;;43.0;;77.0;48.0;28.0;;;;77.0;48.0;28.0;;;;;0.0;
448;Primary coals;2011 2nd quarter;76.0;;171.0;69.0;102.0;;-26.0;;75.0;43.0;32.0;;;;75.0;43.0;32.0;;;;;0.0;
449;Primary coals;2011 3rd quarter;69.0;;175.0;69.0;106.0;;-37.0;;68.0;38.0;31.0;;;;68.0;38.0;31.0;;;;;0.0;
450;Primary coals;2011 4th quarter;84.0;;158.0;90.0;68.0;;16.0;;83.0;53.0;31.0;;;;83.0;53.0;31.0;;;;;0.0;
451;Primary coals;2011;305.0;;645.0;334.0;311.0;;-5.0;305.0;304.0;182.0;121.0;;;;304.0;182.0;121.0;;;2.0;1.0;0.0;0.0
452;Primary coals;2012 1st quarter;87.0;;177.0;108.0;68.0;;19.0;;87.0;57.0;30.0;;;;87.0;57.0;30.0;;;;;0.0;
453;Primary coals;2012 2nd quarter;72.0;;195.0;134.0;61.0;;11.0;;71.0;42.0;29.0;;;;71.0;42.0;29.0;;;;;0.0;
454;Primary coals;2012 3rd quarter;86.0;;170.0;99.0;72.0;;14.0;;84.0;54.0;30.0;;;;84.0;54.0;30.0;;;;;0.0;
455;Primary coals;2012 4th quarter;89.0;;224.0;144.0;80.0;;9.0;;88.0;58.0;30.0;;;;88.0;58.0;30.0;;;;;0.0;
456;Primary coals;2012;334.0;;765.0;485.0;281.0;;53.0;333.0;331.0;211.0;120.0;;;;331.0;211.0;120.0;;;2.0;2.0;0.0;1.0
457;Primary coals;2013 1st quarter;81.0;;208.0;126.0;82.0;;-1.0;81.0;81.0;53.0;28.0;;;;81.0;53.0;28.0;;;0.0;0.0;0.0;0.0
458;Primary coals;2013 2nd quarter;75.0;;207.0;102.0;104.0;;-29.0;76.0;75.0;46.0;29.0;;;;75.0;46.0;29.0;;;0.0;0.0;0.0;0.0
459;Primary coals;2013 3rd quarter;87.0;;292.0;194.0;98.0;;-11.0;87.0;86.0;56.0;30.0;;;;86.0;56.0;30.0;;;1.0;1.0;0.0;0.0
460;Primary coals;2013 4th quarter;97.0;;374.0;275.0;99.0;;-3.0;97.0;96.0;66.0;30.0;;;;96.0;66.0;30.0;;;0.0;0.0;0.0;0.0
461;Primary coals;2013;340.0;;1080.0;697.0;384.0;;-44.0;340.0;338.0;221.0;118.0;;;;338.0;221.0;118.0;;;1.0;1.0;0.0;0.0
462;Primary coals;2014 1st quarter;96.0;;398.0;268.0;130.0;;-35.0;96.0;96.0;64.0;31.0;;;;96.0;64.0;31.0;;;0.0;0.0;0.0;0.0
463;Primary coals;2014 2nd quarter;90.0;;354.0;231.0;123.0;;-33.0;90.0;89.0;59.0;30.0;;;;89.0;59.0;30.0;;;0.0;0.0;0.0;0.0
464;Primary coals;2014 3rd quarter;84.0;;300.0;235.0;65.0;;19.0;84.0;83.0;53.0;30.0;;;;83.0;53.0;30.0;;;1.0;1.0;0.0;0.0
465;Primary coals;2014 4th quarter;111.0;;385.0;287.0;98.0;;13.0;110.0;110.0;79.0;31.0;;;;110.0;79.0;31.0;;;1.0;0.0;0.0;0.0
466;Primary coals;2014;380.0;;1438.0;1022.0;417.0;;-36.0;380.0;378.0;255.0;123.0;;;;378.0;255.0;123.0;;;2.0;2.0;0.0;0.0
467;Primary coals;2015 1st quarter;116.0;;357.0;249.0;109.0;;8.0;;116.0;85.0;31.0;;;;116.0;85.0;31.0;;;;;0.0;
468;Primary coals;2015 2nd quarter;116.0;;404.0;231.0;173.0;;-57.0;;116.0;84.0;32.0;;;;116.0;84.0;32.0;;;;;0.0;
469;Primary coals;2015 3rd quarter;119.0;;397.0;207.0;190.0;;-72.0;;118.0;85.0;33.0;;;;118.0;85.0;33.0;;;;;0.0;
470;Primary coals;2015 4th quarter;115.0;;338.0;271.0;67.0;;48.0;;114.0;82.0;32.0;;;;114.0;82.0;32.0;;;;;0.0;
471;Primary coals;2015;466.0;;1496.0;957.0;539.0;;-73.0;466.0;464.0;337.0;128.0;;;;464.0;337.0;128.0;;;2.0;2.0;0.0;0.0
472;Primary coals;2016 1st quarter;110.0;;362.0;284.0;79.0;;31.0;;110.0;78.0;32.0;;;;110.0;78.0;32.0;;;;;0.0;
473;Primary coals;2016 2nd quarter;106.0;;335.0;258.0;77.0;;30.0;;106.0;76.0;30.0;;;;106.0;76.0;30.0;;;;;0.0;
474;Primary coals;2016 3rd quarter;98.0;;346.0;232.0;114.0;;-17.0;;97.0;66.0;32.0;;;;97.0;66.0;32.0;;;;;0.0;
475;Primary coals;2016 4th quarter;117.0;;401.0;279.0;123.0;;-5.0;;117.0;86.0;31.0;;;;117.0;86.0;31.0;;;;;0.0;
476;Primary coals;2016;431.0;;1445.0;1053.0;392.0;;39.0;431.0;429.0;305.0;125.0;;;;429.0;305.0;125.0;;;2.0;2.0;0.0;
477;Coal products;1946;;;;;;;;;;;;;;;;;;;;;;;
478;Coal products;1947;;;;;;;;;;;;;;;;;;;;;;;
479;Coal products;1948;;;;;;;;;;;;;;;;;;;;;;;
480;Coal products;1949;;;;;;;;;;;;;;;;;;;;;;;
481;Coal products;1950;;;;;;;;;;;;;;;;;;;;;;;
482;Coal products;1951;;;;;;;;;;;;;;;;;;;;;;;
483;Coal products;1952;;;;;;;;;;;;;;;;;;;;;;;
484;Coal products;1953;;;;;;;;;;;;;;;;;;;;;;;
485;Coal products;1954;;;;;;;;;;;;;;;;;;;;;;;
486;Coal products;1955;;;;;;;;;;;;;;;;;;;;;;;
487;Coal products;1956;;;;;;;;;;;;;;;;;;;;;;;
488;Coal products;1957;;;;;;;;;;;;;;;;;;;;;;;
489;Coal products;1958;;;;;;;;;;;;;;;;;;;;;;;
490;Coal products;1959;;;;;;;;;;;;;;;;;;;;;;;
491;Coal products;1960;;;;;;;;;;;;;;;;;;;;;;;
492;Coal products;1961;;;;;;;;;;;;;;;;;;;;;;;
493;Coal products;1962;;;;;;;;;;;;;;;;;;;;;;;
494;Coal products;1963;;;;;;;;;;;;;;;;;;;;;;;
495;Coal products;1964;;;;;;;;;;;;;;;;;;;;;;;
496;Coal products;1965;;;;;;;;;;;;;;;;;;;;;;;
497;Coal products;1966;;;;;;;;;;;;;;;;;;;;;;;
498;Coal products;1967;;;;;;;;;;;;;;;;;;;;;;;
499;Coal products;1968;;;;;;;;;;;;;;;;;;;;;;;
500;Coal products;1969;;;;;;;;;;;;;;;;;;;;;;;
501;Coal products;1970;;;;;;;;;;;;;;;;;;;;;;;
502;Coal products;1971;14.0;;36.0;19.0;17.0;;-4.0;14.0;;;;;;;;;;;;;;;
503;Coal products;1972;17.0;;28.0;22.0;7.0;;10.0;17.0;;;;;;;;;;;;;;;
504;Coal products;1973;0.0;;19.0;19.0;0.0;;0.0;0.0;;;;;;;;;;;;;;;
505;Coal products;1974;2.0;;22.0;20.0;2.0;;0.0;2.0;;;;;;;;;;;;;;;
506;Coal products;1975;-10.0;;12.0;18.0;-6.0;;-5.0;-10.0;;23.0;;;;;-65.0;23.0;-88.0;;;55.0;15.0;40.0;
507;Coal products;1976;-14.0;;7.0;18.0;-11.0;;-4.0;-15.0;;23.0;;;;;-68.0;23.0;-91.0;;;53.0;15.0;38.0;
508;Coal products;1977;-10.0;;8.0;20.0;-12.0;;3.0;-10.0;;20.0;;;;;-61.0;20.0;-81.0;;;51.0;13.0;38.0;
509;Coal products;1978;1.0;;15.0;20.0;-5.0;;6.0;1.0;;22.0;;;;;-57.0;22.0;-79.0;;;57.0;17.0;40.0;
510;Coal products;1979;4.0;;28.0;20.0;8.0;;-4.0;4.0;;24.0;;;;;-60.0;24.0;-84.0;;;63.0;21.0;42.0;
511;Coal products;1980;-1.0;;27.0;22.0;5.0;;-6.0;-1.0;;22.0;;;;;-57.0;22.0;-79.0;;;56.0;19.0;37.0;
512;Coal products;1981;14.0;;31.0;26.0;5.0;;8.0;14.0;;22.0;;;;;-50.0;22.0;-72.0;;;63.0;20.0;43.0;
513;Coal products;1982;-11.0;;21.0;20.0;1.0;;-12.0;-11.0;;20.0;;;;;-60.0;20.0;-80.0;;;50.0;14.0;36.0;
514;Coal products;1983;2.0;;19.0;24.0;-5.0;;8.0;1.0;;19.0;;;;;-54.0;19.0;-73.0;;;56.0;14.0;42.0;
515;Coal products;1984;-3.0;;27.0;29.0;-2.0;;-2.0;-3.0;;25.0;;;;;-69.0;25.0;-94.0;;;67.0;18.0;49.0;
516;Coal products;1985;-10.0;;16.0;28.0;-12.0;;2.0;-9.0;;27.0;;;;;-75.0;27.0;-102.0;;;65.0;17.0;48.0;
517;Coal products;1986;-11.0;;19.0;28.0;-9.0;;-2.0;-11.0;;26.0;;;;;-73.0;26.0;-99.0;;;62.0;17.0;45.0;
518;Coal products;1987;-14.0;;12.0;26.0;-14.0;;0.0;-14.0;;24.0;;;;;-70.0;24.0;-94.0;;;56.0;22.0;34.0;
519;Coal products;1988;-10.0;;17.0;29.0;-12.0;;1.0;-11.0;;26.0;;;;;-73.0;26.0;-99.0;;;63.0;19.0;44.0;
520;Coal products;1989;-13.0;;17.0;28.0;-11.0;;-1.0;-13.0;;25.0;;;;;-76.0;25.0;-101.0;;;64.0;20.0;44.0;
521;Coal products;1990;-10.0;;13.0;25.0;-12.0;;2.0;-10.0;93.0;24.0;70.0;133.0;;133.0;-40.0;24.0;-64.0;;;30.0;19.0;11.0;0.0
522;Coal products;1991;-22.0;;11.0;32.0;-22.0;;0.0;-22.0;91.0;24.0;67.0;141.0;;141.0;-50.0;24.0;-74.0;;;28.0;18.0;10.0;0.0
523;Coal products;1992;-24.0;;11.0;35.0;-24.0;;0.0;-24.0;89.0;24.0;64.0;142.0;;142.0;-53.0;24.0;-78.0;;;30.0;20.0;10.0;0.0
524;Coal products;1993;-17.0;;8.0;27.0;-19.0;;3.0;-17.0;97.0;26.0;71.0;145.0;;145.0;-48.0;26.0;-74.0;1.0;;30.0;20.0;10.0;0.0
525;Coal products;1994;-15.0;;16.0;29.0;-13.0;;-2.0;-15.0;99.0;26.0;73.0;144.0;;144.0;-45.0;26.0;-72.0;2.0;;28.0;18.0;9.0;0.0
526;Coal products;1995 1st quarter;-4.0;;4.0;8.0;-4.0;;0.0;;24.0;6.0;18.0;35.0;;35.0;-11.0;6.0;-17.0;1.0;;;;2.0;
527;Coal products;1995 2nd quarter;-3.0;;6.0;9.0;-3.0;;0.0;;26.0;6.0;19.0;37.0;;37.0;-11.0;6.0;-17.0;1.0;;;;2.0;
528;Coal products;1995 3rd quarter;-2.0;;6.0;7.0;-1.0;;-1.0;;27.0;7.0;20.0;37.0;;37.0;-10.0;7.0;-17.0;0.0;;;;3.0;
529;Coal products;1995 4th quarter;-3.0;;7.0;8.0;-2.0;;-2.0;;24.0;6.0;18.0;36.0;;36.0;-12.0;6.0;-18.0;-1.0;;;;3.0;
530;Coal products;1995;-12.0;;23.0;33.0;-10.0;;-2.0;-12.0;101.0;26.0;75.0;145.0;;145.0;-44.0;26.0;-70.0;;;32.0;22.0;10.0;0.0
531;Coal products;1996 1st quarter;-4.0;;3.0;6.0;-4.0;;0.0;;24.0;6.0;18.0;35.0;;35.0;-11.0;6.0;-17.0;1.0;;;;2.0;
532;Coal products;1996 2nd quarter;-3.0;;4.0;6.0;-2.0;;-1.0;;25.0;7.0;18.0;36.0;;36.0;-12.0;7.0;-18.0;1.0;;;;3.0;
533;Coal products;1996 3rd quarter;-5.0;;4.0;7.0;-3.0;;-1.0;;24.0;7.0;17.0;37.0;;37.0;-13.0;7.0;-20.0;1.0;;;;3.0;
534;Coal products;1996 4th quarter;-5.0;;3.0;8.0;-6.0;;0.0;;23.0;6.0;16.0;37.0;;37.0;-14.0;6.0;-21.0;-2.0;;;;3.0;
535;Coal products;1996;-17.0;;13.0;27.0;-14.0;;-3.0;-17.0;96.0;26.0;70.0;145.0;;145.0;-50.0;26.0;-76.0;;;33.0;22.0;11.0;0.0
536;Coal products;1997 1st quarter;-6.0;;2.0;8.0;-6.0;;0.0;;23.0;7.0;16.0;36.0;;36.0;-13.0;7.0;-19.0;1.0;;;;2.0;
537;Coal products;1997 2nd quarter;-5.0;;4.0;8.0;-4.0;;-1.0;;23.0;7.0;17.0;36.0;;36.0;-13.0;7.0;-20.0;0.0;;;;2.0;
538;Coal products;1997 3rd quarter;-3.0;;5.0;8.0;-4.0;;1.0;;26.0;7.0;19.0;36.0;;36.0;-10.0;7.0;-17.0;0.0;;;;3.0;
539;Coal products;1997 4th quarter;-4.0;;3.0;6.0;-2.0;;-1.0;;24.0;7.0;18.0;37.0;;37.0;-12.0;7.0;-19.0;-1.0;;;;3.0;
540;Coal products;1997;-17.0;;14.0;30.0;-16.0;;-1.0;-17.0;97.0;27.0;69.0;145.0;;145.0;-48.0;27.0;-75.0;;;31.0;21.0;10.0;0.0
541;Coal products;1998 1st quarter;-4.0;;4.0;10.0;-5.0;;1.0;;25.0;7.0;18.0;36.0;;36.0;-11.0;7.0;-18.0;0.0;;;;2.0;
542;Coal products;1998 2nd quarter;-4.0;;3.0;11.0;-8.0;;4.0;;24.0;6.0;18.0;36.0;;36.0;-12.0;6.0;-19.0;1.0;;;;2.0;
543;Coal products;1998 3rd quarter;-4.0;;4.0;6.0;-2.0;;-2.0;;26.0;8.0;18.0;36.0;;36.0;-10.0;8.0;-18.0;-1.0;;;;2.0;
544;Coal products;1998 4th quarter;-6.0;;3.0;8.0;-5.0;;-1.0;;22.0;6.0;16.0;33.0;;33.0;-11.0;6.0;-18.0;;;;;3.0;
545;Coal products;1998;-17.0;;15.0;34.0;-19.0;;2.0;-17.0;97.0;28.0;69.0;141.0;;141.0;-44.0;28.0;-72.0;;;27.0;19.0;8.0;0.0
546;Coal products;1999 1st quarter;-3.0;;4.0;8.0;-5.0;;1.0;;24.0;7.0;17.0;32.0;;32.0;-9.0;7.0;-15.0;;;;;1.0;
547;Coal products;1999 2nd quarter;-4.0;;3.0;6.0;-3.0;;-1.0;;23.0;7.0;16.0;32.0;;32.0;-9.0;7.0;-16.0;;;;;1.0;
548;Coal products;1999 3rd quarter;0.0;;4.0;5.0;-2.0;;2.0;;24.0;7.0;17.0;29.0;;29.0;-5.0;7.0;-12.0;;;;;1.0;
549;Coal products;1999 4th quarter;1.0;;5.0;5.0;0.0;;1.0;;24.0;7.0;17.0;28.0;;28.0;-4.0;7.0;-11.0;;;;;2.0;
550;Coal products;1999;-5.0;;16.0;25.0;-9.0;;3.0;-5.0;94.0;28.0;67.0;121.0;;121.0;-27.0;28.0;-55.0;;;22.0;16.0;5.0;0.0
551;Coal products;2000 1st quarter;1.0;;6.0;6.0;0.0;;1.0;;24.0;7.0;17.0;28.0;;28.0;-4.0;7.0;-11.0;;;;;1.0;
552;Coal products;2000 2nd quarter;-1.0;;3.0;4.0;-1.0;;0.0;;21.0;6.0;15.0;27.0;;27.0;-6.0;6.0;-12.0;;;;;1.0;
553;Coal products;2000 3rd quarter;-1.0;;3.0;2.0;1.0;;-2.0;;23.0;7.0;16.0;29.0;;29.0;-6.0;7.0;-13.0;;;;;1.0;
554;Coal products;2000 4th quarter;-2.0;;3.0;4.0;-1.0;;-1.0;;20.0;5.0;15.0;28.0;;28.0;-8.0;5.0;-13.0;;;;;1.0;
555;Coal products;2000;-3.0;;16.0;17.0;-1.0;;-2.0;-3.0;88.0;25.0;63.0;112.0;;112.0;-24.0;25.0;-49.0;;;21.0;17.0;5.0;0.0
556;Coal products;2001 1st quarter;-1.0;;3.0;6.0;-3.0;;2.0;;22.0;6.0;16.0;28.0;;28.0;-6.0;6.0;-13.0;;;;;1.0;
557;Coal products;2001 2nd quarter;-2.0;;9.0;9.0;-1.0;;-1.0;;22.0;7.0;15.0;29.0;;29.0;-7.0;7.0;-14.0;;;;;1.0;
558;Coal products;2001 3rd quarter;-1.0;;3.0;4.0;-1.0;;0.0;;24.0;7.0;17.0;30.0;;30.0;-6.0;7.0;-13.0;;;;;1.0;
559;Coal products;2001 4th quarter;0.0;;5.0;5.0;0.0;;0.0;;24.0;7.0;18.0;30.0;;30.0;-6.0;7.0;-12.0;;;;;1.0;
560;Coal products;2001;-4.0;;19.0;24.0;-4.0;;1.0;-4.0;93.0;27.0;66.0;118.0;;118.0;-25.0;27.0;-52.0;;;21.0;17.0;4.0;0.0
561;Coal products;2002 1st quarter;0.0;;5.0;7.0;-1.0;;2.0;;23.0;6.0;17.0;29.0;;29.0;-6.0;6.0;-12.0;;;;;1.0;
562;Coal products;2002 2nd quarter;-3.0;;3.0;5.0;-2.0;;-1.0;;19.0;5.0;13.0;27.0;;27.0;-8.0;5.0;-13.0;;;;;1.0;
563;Coal products;2002 3rd quarter;1.0;;5.0;5.0;0.0;;1.0;;25.0;7.0;18.0;29.0;;29.0;-4.0;7.0;-12.0;;;;;1.0;
564;Coal products;2002 4th quarter;1.0;;4.0;4.0;0.0;;1.0;;24.0;7.0;17.0;29.0;;29.0;-5.0;7.0;-12.0;0.0;;;;1.0;
565;Coal products;2002;-1.0;;18.0;21.0;-3.0;;2.0;-1.0;91.0;27.0;65.0;114.0;;114.0;-22.0;27.0;-49.0;0.0;;21.0;17.0;4.0;0.0
566;Coal products;2003 1st quarter;0.0;;7.0;7.0;0.0;;0.0;;23.0;7.0;16.0;28.0;;28.0;-5.0;7.0;-12.0;;;;;1.0;
567;Coal products;2003 2nd quarter;0.0;;4.0;4.0;0.0;;0.0;;23.0;7.0;17.0;29.0;;29.0;-6.0;7.0;-13.0;0.0;;;;1.0;
568;Coal products;2003 3rd quarter;1.0;;4.0;3.0;1.0;;0.0;;25.0;7.0;18.0;30.0;;30.0;-6.0;7.0;-13.0;0.0;;;;1.0;
569;Coal products;2003 4th quarter;1.0;;4.0;3.0;1.0;;0.0;;25.0;7.0;18.0;30.0;;30.0;-5.0;7.0;-12.0;;;;;1.0;
570;Coal products;2003;2.0;;19.0;17.0;2.0;;0.0;2.0;97.0;28.0;68.0;118.0;;118.0;-21.0;28.0;-50.0;;;23.0;18.0;5.0;0.0
571;Coal products;2004 1st quarter;-1.0;;3.0;3.0;0.0;;0.0;;23.0;7.0;17.0;30.0;;30.0;-6.0;7.0;-13.0;;;;;1.0;
572;Coal products;2004 2nd quarter;-1.0;;2.0;3.0;-1.0;;0.0;;23.0;7.0;16.0;31.0;;31.0;-8.0;7.0;-15.0;;;;;1.0;
573;Coal products;2004 3rd quarter;0.0;;3.0;3.0;0.0;;0.0;;25.0;7.0;18.0;31.0;;31.0;-6.0;7.0;-13.0;;;;;1.0;
574;Coal products;2004 4th quarter;0.0;;3.0;2.0;1.0;;0.0;;25.0;7.0;17.0;31.0;;31.0;-6.0;7.0;-13.0;;;;;1.0;
575;Coal products;2004;-1.0;;11.0;11.0;0.0;;-1.0;-1.0;96.0;28.0;68.0;122.0;;122.0;-26.0;28.0;-55.0;;;25.0;20.0;5.0;0.0
576;Coal products;2005 1st quarter;0.0;;4.0;2.0;3.0;;-3.0;;25.0;7.0;17.0;31.0;;31.0;-6.0;7.0;-14.0;;;;;1.0;
577;Coal products;2005 2nd quarter;-2.0;;2.0;4.0;-2.0;;0.0;;22.0;7.0;16.0;30.0;;30.0;-8.0;7.0;-15.0;;;;;1.0;
578;Coal products;2005 3rd quarter;-2.0;;4.0;3.0;1.0;;-3.0;;23.0;7.0;16.0;31.0;;31.0;-8.0;7.0;-15.0;0.0;;;;1.0;
579;Coal products;2005 4th quarter;0.0;;1.0;3.0;-1.0;;1.0;;25.0;8.0;17.0;31.0;;31.0;-6.0;8.0;-14.0;;;;;1.0;
580;Coal products;2005;-4.0;;11.0;11.0;0.0;;-4.0;-4.0;94.0;29.0;65.0;123.0;;123.0;-29.0;29.0;-58.0;0.0;;24.0;20.0;5.0;0.0
581;Coal products;2006 1st quarter;0.0;;4.0;5.0;-2.0;;1.0;;24.0;7.0;16.0;30.0;;30.0;-7.0;7.0;-14.0;;;;;1.0;
582;Coal products;2006 2nd quarter;0.0;;3.0;3.0;0.0;;1.0;;23.0;6.0;18.0;31.0;;31.0;-7.0;6.0;-13.0;;;;;1.0;
583;Coal products;2006 3rd quarter;-2.0;;4.0;6.0;-2.0;;0.0;;20.0;6.0;14.0;29.0;;29.0;-9.0;6.0;-15.0;;;;;1.0;
584;Coal products;2006 4th quarter;-5.0;;4.0;8.0;-4.0;;-1.0;;16.0;5.0;11.0;26.0;;26.0;-10.0;5.0;-15.0;0.0;;;;1.0;
585;Coal products;2006;-7.0;;14.0;22.0;-8.0;;1.0;-7.0;83.0;24.0;59.0;116.0;;116.0;-33.0;24.0;-57.0;0.0;;25.0;21.0;5.0;0.0
586;Coal products;2007 1st quarter;0.0;;6.0;6.0;0.0;;0.0;;23.0;7.0;16.0;30.0;;30.0;-7.0;7.0;-14.0;0.0;;;;1.0;
587;Coal products;2007 2nd quarter;0.0;;4.0;4.0;1.0;;0.0;;24.0;8.0;17.0;30.0;;30.0;-6.0;8.0;-14.0;;;;;1.0;
588;Coal products;2007 3rd quarter;0.0;;4.0;4.0;0.0;;0.0;;24.0;8.0;17.0;31.0;;31.0;-7.0;8.0;-15.0;0.0;;;;1.0;
589;Coal products;2007 4th quarter;0.0;;3.0;5.0;-2.0;;2.0;;25.0;8.0;17.0;32.0;;32.0;-6.0;8.0;-14.0;;;;;1.0;
590;Coal products;2007;0.0;;17.0;18.0;-1.0;;1.0;0.0;97.0;30.0;67.0;123.0;;123.0;-26.0;30.0;-57.0;;;27.0;22.0;5.0;0.0
591;Coal products;2008 1st quarter;1.0;;2.0;2.0;0.0;;1.0;;25.0;8.0;17.0;31.0;;31.0;-7.0;8.0;-15.0;;;;;1.0;
592;Coal products;2008 2nd quarter;0.0;;4.0;4.0;0.0;;0.0;;24.0;8.0;17.0;32.0;;32.0;-8.0;8.0;-15.0;;;;;1.0;
593;Coal products;2008 3rd quarter;1.0;;2.0;3.0;-1.0;;2.0;;25.0;8.0;18.0;32.0;;32.0;-7.0;8.0;-14.0;;;;;1.0;
594;Coal products;2008 4th quarter;2.0;;3.0;2.0;1.0;;1.0;;20.0;5.0;15.0;24.0;;24.0;-4.0;5.0;-9.0;;;;;1.0;
595;Coal products;2008;3.0;;11.0;10.0;0.0;;2.0;3.0;95.0;29.0;67.0;120.0;;120.0;-25.0;29.0;-54.0;;;28.0;23.0;5.0;
596;Coal products;2009 1st quarter;-1.0;;1.0;0.0;1.0;;-2.0;;15.0;4.0;11.0;20.0;;20.0;-5.0;4.0;-9.0;;;;;1.0;
597;Coal products;2009 2nd quarter;-1.0;;1.0;0.0;1.0;;-2.0;;15.0;4.0;11.0;21.0;;21.0;-6.0;4.0;-10.0;;;;;1.0;
598;Coal products;2009 3rd quarter;3.0;;2.0;2.0;-1.0;;4.0;;23.0;6.0;16.0;26.0;;26.0;-3.0;6.0;-9.0;;;;;1.0;
599;Coal products;2009 4th quarter;3.0;;2.0;2.0;0.0;;4.0;;24.0;6.0;17.0;27.0;;27.0;-3.0;6.0;-10.0;;;;;1.0;
600;Coal products;2009;6.0;;5.0;3.0;2.0;;4.0;4.0;76.0;21.0;55.0;94.0;;94.0;-18.0;21.0;-38.0;;;22.0;18.0;4.0;2.0
