ID;EconomischeActiviteit;Geslacht;DienstverbandArbeidsrelatie;Perioden;GemiddeldAantalBanen_1;Arbeidsjaren_2;OvereengekomenArbeidsduur_3;Overuren_4;BetaaldeArbeidsduur_5;OvereengekomenArbeidsuren_6;Overuren_7;BetaaldeArbeidsuren_8;TotaalLoonkosten_9;LonenEnSalarissen_10;SocialeLasten_11;LoonkostenPerArbeidsjaar_12
78;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2006, 3e kwartaal;3834.0;3841.8;;;447.0;;;1713.0;;;;
79;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2006, 4e kwartaal;3848.0;3855.8;;;432.0;;;1664.0;;;;
80;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2006;3821.0;3828.3;;;1751.0;;;6692.0;;;;
81;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2007, 1e kwartaal;3832.0;3839.0;;;440.0;;;1686.0;;;;
82;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2007, 2e kwartaal;3917.0;3925.0;;;426.0;;;1670.0;;;;
83;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2007, 3e kwartaal;3908.0;3915.8;;;447.0;;;1748.0;;;;
84;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2007, 4e kwartaal;3899.0;3906.9;;;435.0;;;1696.0;;;;
85;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2007;3889.0;3896.9;;;1748.0;;;6800.0;;;;
86;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2008, 1e kwartaal*;3858.0;3864.3;;;433.0;;;1670.0;;;;
87;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2008, 2e kwartaal*;3979.0;3986.3;;;433.0;;;1721.0;;;;
88;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2008, 3e kwartaal*;3964.0;3971.3;;;447.0;;;1773.0;;;;
89;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2008, 4e kwartaal*;3911.0;3917.5;;;433.0;;;1692.0;;;;
90;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2008*;3928.0;3934.9;;;1746.0;;;6857.0;;;;
