ID;Periods;TotalPronouncedBankruptcies_1;TotalPronouncedBankruptcies_2;SingleOwnerCompanies_3;TradingPartnerships_4;TotalPronouncedBankruptcies_5;Partners_6;OtherNaturalPersons_7;Legacies_8;TotalSingleOwnerAndTradingCompanies_9;SingleOwnerCompanies_10;TradingPartnerships_11;TotalPronouncedBankruptcies_12;SingleOwnerCompanies_13;TradingPartnerships_14;TotalPronouncedBankruptcies_15;SingleOwnerCompanies_16;TradingPartnerships_17;TotalPronouncedBankruptcies_18;SingleOwnerCompanies_19;TradingPartnerships_20;TotalPronouncedBankruptcies_21;SingleOwnerCompanies_22;TradingPartnerships_23;TotalPronouncedBankruptcies_24;SingleOwnerCompanies_25;TradingPartnerships_26;TotalPronouncedBankruptcies_27;SingleOwnerCompanies_28;TradingPartnerships_29;TotalPronouncedBankruptcies_30;SingleOwnerCompanies_31;TradingPartnerships_32;TotalPronouncedBankruptcies_33;SingleOwnerCompanies_34;TradingPartnerships_35;TotalPronouncedBankruptcies_36;SingleOwnerCompanies_37;TradingPartnerships_38
92;1998 2nd Quarter;1297;1024;407;617;273;118;155;;1024;407;617;23.0;12.0;11.0;109.0;26.0;83.0;147.0;82.0;65.0;307.0;135.0;172.0;84.0;53.0;31.0;65.0;26.0;39.0;213.0;50.0;163.0;67.0;23.0;44.0;9.0;0.0;9.0
93;1998 July;444;350;139;211;94;38;56;1.0;350;139;211;6.0;3.0;3.0;42.0;14.0;28.0;44.0;18.0;26.0;102.0;44.0;58.0;26.0;20.0;6.0;27.0;11.0;16.0;80.0;21.0;59.0;23.0;8.0;15.0;0.0;0.0;0.0
94;1998 August;326;273;121;152;53;15;38;;273;121;152;2.0;2.0;0.0;38.0;16.0;22.0;44.0;26.0;18.0;77.0;32.0;45.0;17.0;13.0;4.0;23.0;6.0;17.0;56.0;21.0;35.0;16.0;5.0;11.0;0.0;0.0;0.0
95;1998 September;540;436;175;261;104;37;67;;436;175;261;6.0;0.0;6.0;50.0;22.0;28.0;71.0;39.0;32.0;125.0;50.0;75.0;33.0;26.0;7.0;19.0;4.0;15.0;101.0;20.0;81.0;31.0;14.0;17.0;0.0;0.0;0.0
96;1998 3rd Quarter;1310;1059;435;624;251;90;161;1.0;1059;435;624;14.0;5.0;9.0;130.0;52.0;78.0;159.0;83.0;76.0;304.0;126.0;178.0;76.0;59.0;17.0;69.0;21.0;48.0;237.0;62.0;175.0;70.0;27.0;43.0;0.0;0.0;0.0
97;1998 October;364;299;116;183;65;16;49;;299;116;183;3.0;1.0;2.0;34.0;15.0;19.0;40.0;20.0;20.0;89.0;33.0;56.0;29.0;16.0;13.0;21.0;4.0;17.0;72.0;22.0;50.0;11.0;5.0;6.0;0.0;0.0;0.0
98;1998 November;378;280;88;192;98;47;51;;280;88;192;7.0;2.0;5.0;40.0;9.0;31.0;41.0;12.0;29.0;77.0;32.0;45.0;21.0;13.0;8.0;16.0;3.0;13.0;60.0;11.0;49.0;18.0;6.0;12.0;0.0;0.0;0.0
99;1998 December;306;272;61;211;34;9;25;1.0;272;61;211;4.0;3.0;1.0;41.0;2.0;39.0;36.0;15.0;21.0;76.0;13.0;63.0;11.0;6.0;5.0;26.0;6.0;20.0;60.0;8.0;52.0;17.0;8.0;9.0;1.0;0.0;1.0
100;1998 4th Quarter;1048;851;265;586;197;72;125;1.0;851;265;586;14.0;6.0;8.0;115.0;26.0;89.0;117.0;47.0;70.0;242.0;78.0;164.0;61.0;35.0;26.0;63.0;13.0;50.0;192.0;41.0;151.0;46.0;19.0;27.0;1.0;0.0;1.0
101;1998;5031;4015;1545;2470;1016;407;609;5.0;4015;1545;2470;69.0;32.0;37.0;475.0;143.0;332.0;559.0;280.0;279.0;1206.0;506.0;700.0;296.0;197.0;99.0;268.0;82.0;186.0;873.0;208.0;665.0;256.0;96.0;160.0;13.0;1.0;12.0
102;1999 January;285;229;76;153;56;23;33;;229;76;153;4.0;2.0;2.0;27.0;1.0;26.0;35.0;20.0;15.0;66.0;20.0;46.0;14.0;10.0;4.0;14.0;7.0;7.0;59.0;14.0;45.0;9.0;1.0;8.0;1.0;1.0;0.0
103;1999 February;327;282;79;203;45;23;22;;282;79;203;12.0;4.0;8.0;39.0;8.0;31.0;42.0;13.0;29.0;76.0;19.0;57.0;15.0;8.0;7.0;23.0;8.0;15.0;61.0;16.0;45.0;13.0;3.0;10.0;1.0;0.0;1.0
104;1999 March;390;345;100;245;45;18;27;1.0;345;100;245;10.0;6.0;4.0;36.0;9.0;27.0;56.0;24.0;32.0;103.0;30.0;73.0;23.0;11.0;12.0;33.0;4.0;29.0;75.0;15.0;60.0;9.0;1.0;8.0;0.0;0.0;0.0
105;1999 1st Quarter;1002;856;255;601;146;64;82;1.0;856;255;601;26.0;12.0;14.0;102.0;18.0;84.0;133.0;57.0;76.0;245.0;69.0;176.0;52.0;29.0;23.0;70.0;19.0;51.0;195.0;45.0;150.0;31.0;5.0;26.0;2.0;1.0;1.0
106;1999 April;342;289;83;206;53;31;22;;289;83;206;5.0;3.0;2.0;24.0;5.0;19.0;50.0;19.0;31.0;93.0;23.0;70.0;24.0;8.0;16.0;18.0;7.0;11.0;65.0;14.0;51.0;10.0;4.0;6.0;0.0;0.0;0.0
107;1999 May;263;231;56;175;32;14;18;1.0;231;56;175;1.0;0.0;1.0;34.0;3.0;31.0;31.0;12.0;19.0;85.0;20.0;65.0;10.0;7.0;3.0;11.0;3.0;8.0;49.0;7.0;42.0;9.0;4.0;5.0;1.0;0.0;1.0
108;1999 June;364;318;88;230;46;15;31;;318;88;230;2.0;2.0;0.0;43.0;10.0;33.0;42.0;22.0;20.0;98.0;26.0;72.0;11.0;6.0;5.0;27.0;8.0;19.0;76.0;9.0;67.0;16.0;5.0;11.0;3.0;0.0;3.0
109;1999 2nd Quarter;969;838;227;611;131;60;71;1.0;838;227;611;8.0;5.0;3.0;101.0;18.0;83.0;123.0;53.0;70.0;276.0;69.0;207.0;45.0;21.0;24.0;56.0;18.0;38.0;190.0;30.0;160.0;35.0;13.0;22.0;4.0;0.0;4.0
110;1999 July;281;232;66;166;49;13;36;1.0;232;66;166;5.0;3.0;2.0;33.0;2.0;31.0;31.0;18.0;13.0;65.0;23.0;42.0;7.0;6.0;1.0;23.0;3.0;20.0;58.0;6.0;52.0;10.0;5.0;5.0;0.0;0.0;0.0
111;1999 August;273;237;80;157;36;12;24;;237;80;157;2.0;2.0;0.0;34.0;9.0;25.0;40.0;19.0;21.0;69.0;17.0;52.0;13.0;7.0;6.0;14.0;6.0;8.0;48.0;13.0;35.0;14.0;5.0;9.0;3.0;2.0;1.0
112;1999 September;346;280;81;199;66;18;48;;280;81;199;4.0;4.0;0.0;32.0;8.0;24.0;33.0;15.0;18.0;76.0;22.0;54.0;18.0;9.0;9.0;11.0;3.0;8.0;86.0;14.0;72.0;17.0;5.0;12.0;3.0;1.0;2.0
113;1999 3rd Quarter;900;749;227;522;151;43;108;1.0;749;227;522;11.0;9.0;2.0;99.0;19.0;80.0;104.0;52.0;52.0;210.0;62.0;148.0;38.0;22.0;16.0;48.0;12.0;36.0;192.0;33.0;159.0;41.0;15.0;26.0;6.0;3.0;3.0
114;1999 October;308;242;67;175;66;14;52;1.0;242;67;175;5.0;1.0;4.0;23.0;6.0;17.0;41.0;14.0;27.0;65.0;20.0;45.0;16.0;6.0;10.0;21.0;5.0;16.0;58.0;11.0;47.0;13.0;4.0;9.0;0.0;0.0;0.0
115;1999 November;332;276;72;204;56;11;45;1.0;276;72;204;2.0;0.0;2.0;28.0;4.0;24.0;33.0;12.0;21.0;90.0;24.0;66.0;14.0;8.0;6.0;11.0;6.0;5.0;77.0;13.0;64.0;20.0;5.0;15.0;1.0;0.0;1.0
116;1999 December;329;277;77;200;52;12;40;1.0;277;77;200;8.0;3.0;5.0;40.0;7.0;33.0;33.0;16.0;17.0;77.0;29.0;48.0;14.0;4.0;10.0;21.0;3.0;18.0;65.0;8.0;57.0;18.0;7.0;11.0;1.0;0.0;1.0
117;1999 4th Quarter;969;795;216;579;174;37;137;3.0;795;216;579;15.0;4.0;11.0;91.0;17.0;74.0;107.0;42.0;65.0;232.0;73.0;159.0;44.0;18.0;26.0;53.0;14.0;39.0;200.0;32.0;168.0;51.0;16.0;35.0;2.0;0.0;2.0
118;1999;3840;3238;925;2313;602;204;398;6.0;3238;925;2313;60.0;30.0;30.0;393.0;72.0;321.0;467.0;204.0;263.0;963.0;273.0;690.0;179.0;90.0;89.0;227.0;63.0;164.0;777.0;140.0;637.0;158.0;49.0;109.0;14.0;4.0;10.0
119;2000 January;310;245;73;172;65;26;39;1.0;245;73;172;4.0;2.0;2.0;33.0;8.0;25.0;41.0;21.0;20.0;60.0;22.0;38.0;15.0;6.0;9.0;16.0;4.0;12.0;56.0;4.0;52.0;19.0;5.0;14.0;1.0;1.0;0.0
120;2000 February;345;281;74;207;64;17;47;2.0;281;74;207;6.0;1.0;5.0;38.0;7.0;31.0;40.0;17.0;23.0;82.0;24.0;58.0;20.0;9.0;11.0;19.0;2.0;17.0;61.0;9.0;52.0;15.0;5.0;10.0;0.0;0.0;0.0
121;2000 March;365;299;92;207;66;20;46;2.0;299;92;207;3.0;1.0;2.0;35.0;5.0;30.0;58.0;27.0;31.0;79.0;25.0;54.0;19.0;10.0;9.0;16.0;3.0;13.0;70.0;17.0;53.0;17.0;3.0;14.0;2.0;1.0;1.0
122;2000 1st Quarter;1020;825;239;586;195;63;132;5.0;825;239;586;13.0;4.0;9.0;106.0;20.0;86.0;139.0;65.0;74.0;221.0;71.0;150.0;54.0;25.0;29.0;51.0;9.0;42.0;187.0;30.0;157.0;51.0;13.0;38.0;3.0;2.0;1.0
123;2000 April;306;243;73;170;63;26;37;;243;73;170;6.0;2.0;4.0;23.0;4.0;19.0;39.0;17.0;22.0;61.0;23.0;38.0;14.0;10.0;4.0;22.0;2.0;20.0;59.0;9.0;50.0;18.0;5.0;13.0;1.0;1.0;0.0
124;2000 May;379;306;77;229;73;22;51;2.0;306;77;229;7.0;4.0;3.0;46.0;3.0;43.0;47.0;20.0;27.0;83.0;16.0;67.0;20.0;10.0;10.0;16.0;6.0;10.0;69.0;13.0;56.0;16.0;4.0;12.0;2.0;1.0;1.0
125;2000 June;336;266;61;205;70;21;49;3.0;266;61;205;4.0;3.0;1.0;35.0;4.0;31.0;31.0;10.0;21.0;78.0;17.0;61.0;12.0;5.0;7.0;26.0;5.0;21.0;61.0;16.0;45.0;19.0;1.0;18.0;0.0;0.0;0.0
126;2000 2nd Quarter;1021;815;211;604;206;69;137;5.0;815;211;604;17.0;9.0;8.0;104.0;11.0;93.0;117.0;47.0;70.0;222.0;56.0;166.0;46.0;25.0;21.0;64.0;13.0;51.0;189.0;38.0;151.0;53.0;10.0;43.0;3.0;2.0;1.0
127;2000 July;356;286;73;213;70;23;47;1.0;286;73;213;3.0;1.0;2.0;37.0;3.0;34.0;29.0;17.0;12.0;79.0;13.0;66.0;13.0;7.0;6.0;25.0;6.0;19.0;78.0;17.0;61.0;19.0;9.0;10.0;3.0;0.0;3.0
128;2000 August;452;362;114;248;90;22;68;3.0;362;114;248;8.0;4.0;4.0;41.0;12.0;29.0;45.0;22.0;23.0;100.0;31.0;69.0;17.0;13.0;4.0;29.0;10.0;19.0;103.0;13.0;90.0;16.0;8.0;8.0;3.0;1.0;2.0
129;2000 September;354;279;79;200;75;28;47;1.0;279;79;200;3.0;1.0;2.0;29.0;2.0;27.0;42.0;21.0;21.0;81.0;26.0;55.0;15.0;11.0;4.0;14.0;4.0;10.0;76.0;10.0;66.0;11.0;4.0;7.0;8.0;0.0;8.0
130;2000 3rd Quarter;1162;927;266;661;235;73;162;5.0;927;266;661;14.0;6.0;8.0;107.0;17.0;90.0;116.0;60.0;56.0;260.0;70.0;190.0;45.0;31.0;14.0;68.0;20.0;48.0;257.0;40.0;217.0;46.0;21.0;25.0;14.0;1.0;13.0
131;2000 October;440;354;86;268;86;23;63;2.0;354;86;268;6.0;3.0;3.0;42.0;8.0;34.0;52.0;19.0;33.0;103.0;20.0;83.0;14.0;10.0;4.0;28.0;7.0;21.0;100.0;16.0;84.0;8.0;2.0;6.0;1.0;1.0;0.0
132;2000 November;495;388;87;301;107;22;85;1.0;388;87;301;3.0;1.0;2.0;43.0;6.0;37.0;60.0;27.0;33.0;85.0;26.0;59.0;19.0;9.0;10.0;20.0;4.0;16.0;127.0;8.0;119.0;29.0;5.0;24.0;2.0;1.0;1.0
133;2000 December;360;270;69;201;90;9;81;;270;69;201;4.0;3.0;1.0;26.0;4.0;22.0;47.0;24.0;23.0;73.0;14.0;59.0;17.0;9.0;8.0;23.0;5.0;18.0;68.0;8.0;60.0;9.0;2.0;7.0;3.0;0.0;3.0
134;2000 4th Quarter;1295;1012;242;770;283;54;229;3.0;1012;242;770;13.0;7.0;6.0;111.0;18.0;93.0;159.0;70.0;89.0;261.0;60.0;201.0;50.0;28.0;22.0;71.0;16.0;55.0;295.0;32.0;263.0;46.0;9.0;37.0;6.0;2.0;4.0
135;2000;4498;3579;958;2621;919;259;660;18.0;3579;958;2621;57.0;26.0;31.0;428.0;66.0;362.0;531.0;242.0;289.0;964.0;257.0;707.0;195.0;109.0;86.0;254.0;58.0;196.0;928.0;140.0;788.0;196.0;53.0;143.0;26.0;7.0;19.0
136;2001 January;447;335;84;251;112;23;89;1.0;335;84;251;5.0;3.0;2.0;41.0;5.0;36.0;59.0;24.0;35.0;90.0;25.0;65.0;11.0;6.0;5.0;33.0;5.0;28.0;77.0;12.0;65.0;18.0;4.0;14.0;1.0;0.0;1.0
137;2001 February;451;336;75;261;115;25;90;3.0;336;75;261;2.0;1.0;1.0;27.0;3.0;24.0;48.0;15.0;33.0;97.0;18.0;79.0;20.0;10.0;10.0;25.0;5.0;20.0;93.0;18.0;75.0;21.0;5.0;16.0;3.0;0.0;3.0
138;2001 March;453;328;89;239;125;11;114;3.0;328;89;239;4.0;2.0;2.0;40.0;9.0;31.0;54.0;24.0;30.0;71.0;18.0;53.0;16.0;9.0;7.0;24.0;8.0;16.0;102.0;14.0;88.0;15.0;4.0;11.0;2.0;1.0;1.0
139;2001 1st Quarter;1351;999;248;751;352;59;293;7.0;999;248;751;11.0;6.0;5.0;108.0;17.0;91.0;161.0;63.0;98.0;258.0;61.0;197.0;47.0;25.0;22.0;82.0;18.0;64.0;272.0;44.0;228.0;54.0;13.0;41.0;6.0;1.0;5.0
140;2001 April;427;315;81;234;112;29;83;3.0;315;81;234;4.0;1.0;3.0;21.0;3.0;18.0;70.0;29.0;41.0;84.0;21.0;63.0;12.0;4.0;8.0;24.0;4.0;20.0;79.0;13.0;66.0;13.0;4.0;9.0;8.0;2.0;6.0
141;2001 May;544;425;97;328;119;18;101;;425;97;328;9.0;4.0;5.0;47.0;4.0;43.0;60.0;27.0;33.0;104.0;28.0;76.0;22.0;10.0;12.0;25.0;1.0;24.0;126.0;17.0;109.0;29.0;5.0;24.0;3.0;1.0;2.0
142;2001 June;440;313;74;239;127;19;108;4.0;313;74;239;7.0;4.0;3.0;31.0;5.0;26.0;40.0;17.0;23.0;81.0;22.0;59.0;15.0;6.0;9.0;18.0;2.0;16.0;102.0;13.0;89.0;18.0;5.0;13.0;1.0;0.0;1.0
143;2001 2nd Quarter;1411;1053;252;801;358;66;292;7.0;1053;252;801;20.0;9.0;11.0;99.0;12.0;87.0;170.0;73.0;97.0;269.0;71.0;198.0;49.0;20.0;29.0;67.0;7.0;60.0;307.0;43.0;264.0;60.0;14.0;46.0;12.0;3.0;9.0
144;2001 July;540;390;86;304;150;23;127;2.0;390;86;304;5.0;1.0;4.0;53.0;8.0;45.0;52.0;22.0;30.0;92.0;25.0;67.0;21.0;10.0;11.0;30.0;4.0;26.0;123.0;13.0;110.0;13.0;2.0;11.0;1.0;1.0;0.0
145;2001 August;520;396;100;296;124;12;112;9.0;396;100;296;7.0;1.0;6.0;52.0;6.0;46.0;61.0;34.0;27.0;103.0;35.0;68.0;12.0;5.0;7.0;23.0;5.0;18.0;112.0;13.0;99.0;26.0;1.0;25.0;0.0;0.0;0.0
146;2001 September;462;340;75;265;122;20;102;1.0;340;75;265;1.0;1.0;0.0;44.0;3.0;41.0;52.0;26.0;26.0;83.0;16.0;67.0;12.0;4.0;8.0;22.0;7.0;15.0;103.0;11.0;92.0;21.0;5.0;16.0;2.0;2.0;0.0
147;2001 3rd Quarter;1522;1126;261;865;396;55;341;12.0;1126;261;865;13.0;3.0;10.0;149.0;17.0;132.0;165.0;82.0;83.0;278.0;76.0;202.0;45.0;19.0;26.0;75.0;16.0;59.0;338.0;37.0;301.0;60.0;8.0;52.0;3.0;3.0;0.0
148;2001 October;589;435;102;333;154;24;130;8.0;435;102;333;7.0;4.0;3.0;58.0;9.0;49.0;61.0;32.0;29.0;95.0;25.0;70.0;17.0;8.0;9.0;40.0;8.0;32.0;137.0;13.0;124.0;18.0;3.0;15.0;2.0;0.0;2.0
149;2001 November;530;391;77;314;139;18;121;7.0;391;77;314;5.0;0.0;5.0;52.0;7.0;45.0;54.0;20.0;34.0;80.0;17.0;63.0;17.0;11.0;6.0;18.0;6.0;12.0;150.0;13.0;137.0;15.0;3.0;12.0;0.0;0.0;0.0
150;2001 December;431;326;57;269;105;19;86;4.0;326;57;269;5.0;2.0;3.0;41.0;5.0;36.0;34.0;16.0;18.0;89.0;15.0;74.0;17.0;6.0;11.0;16.0;2.0;14.0;101.0;7.0;94.0;16.0;3.0;13.0;7.0;1.0;6.0
151;2001 4th Quarter;1550;1152;236;916;398;61;337;19.0;1152;236;916;17.0;6.0;11.0;151.0;21.0;130.0;149.0;68.0;81.0;264.0;57.0;207.0;51.0;25.0;26.0;74.0;16.0;58.0;388.0;33.0;355.0;49.0;9.0;40.0;9.0;1.0;8.0
152;2001;5834;4330;997;3333;1504;241;1263;45.0;4330;997;3333;61.0;24.0;37.0;507.0;67.0;440.0;645.0;286.0;359.0;1069.0;265.0;804.0;192.0;89.0;103.0;298.0;57.0;241.0;1305.0;157.0;1148.0;223.0;44.0;179.0;30.0;8.0;22.0
153;2002 January;602;446;98;348;156;27;129;;446;98;348;8.0;2.0;6.0;54.0;6.0;48.0;65.0;31.0;34.0;123.0;29.0;94.0;18.0;8.0;10.0;19.0;3.0;16.0;138.0;16.0;122.0;19.0;3.0;16.0;2.0;0.0;2.0
154;2002 February;520;375;79;296;145;15;130;1.0;375;79;296;4.0;2.0;2.0;50.0;2.0;48.0;58.0;21.0;37.0;99.0;25.0;74.0;10.0;6.0;4.0;20.0;5.0;15.0;116.0;16.0;100.0;14.0;1.0;13.0;4.0;1.0;3.0
155;2002 March;506;392;85;307;114;14;100;3.0;392;85;307;3.0;2.0;1.0;56.0;5.0;51.0;43.0;22.0;21.0;100.0;27.0;73.0;10.0;8.0;2.0;21.0;6.0;15.0;134.0;10.0;124.0;19.0;2.0;17.0;6.0;3.0;3.0
156;2002 1st Quarter;1628;1213;262;951;415;56;359;4.0;1213;262;951;15.0;6.0;9.0;160.0;13.0;147.0;166.0;74.0;92.0;322.0;81.0;241.0;38.0;22.0;16.0;60.0;14.0;46.0;388.0;42.0;346.0;52.0;6.0;46.0;12.0;4.0;8.0
157;2002 April;486;357;74;283;129;14;115;9.0;357;74;283;3.0;2.0;1.0;40.0;6.0;34.0;45.0;21.0;24.0;79.0;17.0;62.0;9.0;4.0;5.0;29.0;7.0;22.0;127.0;13.0;114.0;23.0;3.0;20.0;2.0;1.0;1.0
158;2002 May;532;398;70;328;134;23;111;4.0;398;70;328;3.0;1.0;2.0;54.0;6.0;48.0;55.0;21.0;34.0;97.0;18.0;79.0;11.0;7.0;4.0;22.0;3.0;19.0;136.0;9.0;127.0;18.0;5.0;13.0;2.0;0.0;2.0
159;2002 June;535;413;84;329;122;20;102;3.0;413;84;329;6.0;2.0;4.0;48.0;6.0;42.0;51.0;16.0;35.0;101.0;30.0;71.0;18.0;8.0;10.0;29.0;5.0;24.0;140.0;12.0;128.0;16.0;3.0;13.0;4.0;2.0;2.0
160;2002 2nd Quarter;1553;1168;228;940;385;57;328;16.0;1168;228;940;12.0;5.0;7.0;142.0;18.0;124.0;151.0;58.0;93.0;277.0;65.0;212.0;38.0;19.0;19.0;80.0;15.0;65.0;403.0;34.0;369.0;57.0;11.0;46.0;8.0;3.0;5.0
161;2002 July;672;530;76;454;142;27;115;2.0;530;76;454;9.0;2.0;7.0;58.0;4.0;54.0;52.0;21.0;31.0;115.0;17.0;98.0;15.0;8.0;7.0;29.0;4.0;25.0;224.0;17.0;207.0;28.0;3.0;25.0;0.0;0.0;0.0
162;2002 August;493;356;72;284;137;24;113;;356;72;284;3.0;2.0;1.0;45.0;8.0;37.0;48.0;22.0;26.0;74.0;18.0;56.0;15.0;3.0;12.0;26.0;4.0;22.0;136.0;14.0;122.0;9.0;1.0;8.0;0.0;0.0;0.0
163;2002 September;575;401;61;340;174;25;149;;401;61;340;3.0;1.0;2.0;52.0;6.0;46.0;48.0;19.0;29.0;77.0;17.0;60.0;18.0;5.0;13.0;25.0;3.0;22.0;164.0;10.0;154.0;14.0;0.0;14.0;0.0;0.0;0.0
164;2002 3rd Quarter;1740;1287;209;1078;453;76;377;2.0;1287;209;1078;15.0;5.0;10.0;155.0;18.0;137.0;148.0;62.0;86.0;266.0;52.0;214.0;48.0;16.0;32.0;80.0;11.0;69.0;524.0;41.0;483.0;51.0;4.0;47.0;0.0;0.0;0.0
165;2002 October;703;529;90;439;174;17;157;;529;90;439;14.0;6.0;8.0;55.0;5.0;50.0;54.0;25.0;29.0;108.0;20.0;88.0;22.0;7.0;15.0;40.0;8.0;32.0;203.0;12.0;191.0;33.0;7.0;26.0;0.0;0.0;0.0
166;2002 November;586;373;33;340;213;8;205;;373;33;340;4.0;1.0;3.0;39.0;3.0;36.0;43.0;12.0;31.0;64.0;6.0;58.0;13.0;0.0;13.0;23.0;4.0;19.0;154.0;5.0;149.0;33.0;2.0;31.0;0.0;0.0;0.0
167;2002 December;561;393;56;337;168;28;140;;393;56;337;11.0;4.0;7.0;53.0;6.0;47.0;45.0;15.0;30.0;83.0;15.0;68.0;14.0;2.0;12.0;32.0;5.0;27.0;137.0;6.0;131.0;18.0;3.0;15.0;0.0;0.0;0.0
168;2002 4th Quarter;1850;1295;179;1116;555;53;502;;1295;179;1116;29.0;11.0;18.0;147.0;14.0;133.0;142.0;52.0;90.0;255.0;41.0;214.0;49.0;9.0;40.0;95.0;17.0;78.0;494.0;23.0;471.0;84.0;12.0;72.0;0.0;0.0;0.0
169;2002;6771;4963;878;4085;1808;242;1566;22.0;4963;878;4085;71.0;27.0;44.0;604.0;63.0;541.0;607.0;246.0;361.0;1120.0;239.0;881.0;173.0;66.0;107.0;315.0;57.0;258.0;1809.0;140.0;1669.0;244.0;33.0;211.0;20.0;7.0;13.0
170;2003 January;657;477;98;379;180;29;151;3.0;477;98;379;9.0;5.0;4.0;66.0;11.0;55.0;68.0;29.0;39.0;103.0;22.0;81.0;20.0;8.0;12.0;28.0;4.0;24.0;159.0;10.0;149.0;21.0;8.0;13.0;3.0;1.0;2.0
171;2003 February;639;476;77;399;163;23;140;2.0;476;77;399;13.0;5.0;8.0;52.0;1.0;51.0;64.0;19.0;45.0;93.0;19.0;74.0;24.0;8.0;16.0;36.0;12.0;24.0;174.0;9.0;165.0;18.0;3.0;15.0;2.0;1.0;1.0
172;2003 March;620;473;106;367;147;7;140;2.0;473;106;367;11.0;8.0;3.0;51.0;9.0;42.0;74.0;32.0;42.0;109.0;24.0;85.0;16.0;7.0;9.0;29.0;5.0;24.0;163.0;17.0;146.0;18.0;3.0;15.0;2.0;1.0;1.0
173;2003 1st Quarter;1916;1426;281;1145;490;59;431;7.0;1426;281;1145;33.0;18.0;15.0;169.0;21.0;148.0;206.0;80.0;126.0;305.0;65.0;240.0;60.0;23.0;37.0;93.0;21.0;72.0;496.0;36.0;460.0;57.0;14.0;43.0;7.0;3.0;4.0
174;2003 April;794;617;124;493;177;35;142;1.0;617;124;493;8.0;2.0;6.0;68.0;8.0;60.0;106.0;35.0;71.0;127.0;30.0;97.0;30.0;13.0;17.0;40.0;7.0;33.0;212.0;23.0;189.0;22.0;5.0;17.0;4.0;1.0;3.0
175;2003 May;757;570;88;482;187;38;149;;570;88;482;12.0;6.0;6.0;74.0;4.0;70.0;95.0;31.0;64.0;103.0;16.0;87.0;21.0;8.0;13.0;25.0;5.0;20.0;217.0;17.0;200.0;18.0;1.0;17.0;5.0;0.0;5.0
176;2003 June;737;547;92;455;190;30;160;;547;92;455;6.0;2.0;4.0;82.0;6.0;76.0;86.0;28.0;58.0;108.0;20.0;88.0;23.0;11.0;12.0;36.0;7.0;29.0;182.0;12.0;170.0;24.0;6.0;18.0;0.0;0.0;0.0
177;2003 2nd Quarter;2288;1734;304;1430;554;103;451;1.0;1734;304;1430;26.0;10.0;16.0;224.0;18.0;206.0;287.0;94.0;193.0;338.0;66.0;272.0;74.0;32.0;42.0;101.0;19.0;82.0;611.0;52.0;559.0;64.0;12.0;52.0;9.0;1.0;8.0
178;2003 July;757;572;105;467;185;40;145;;572;105;467;19.0;1.0;18.0;79.0;3.0;76.0;68.0;29.0;39.0;111.0;24.0;87.0;21.0;14.0;7.0;40.0;13.0;27.0;205.0;19.0;186.0;27.0;2.0;25.0;2.0;0.0;2.0
179;2003 August;596;426;91;335;170;27;143;;426;91;335;4.0;1.0;3.0;66.0;9.0;57.0;55.0;33.0;22.0;98.0;20.0;78.0;20.0;7.0;13.0;25.0;4.0;21.0;140.0;15.0;125.0;14.0;2.0;12.0;4.0;0.0;4.0
180;2003 September;869;617;105;512;252;55;197;;617;105;512;12.0;4.0;8.0;83.0;11.0;72.0;77.0;27.0;50.0;147.0;21.0;126.0;27.0;6.0;21.0;31.0;11.0;20.0;209.0;15.0;194.0;28.0;9.0;19.0;3.0;1.0;2.0
181;2003 3rd Quarter;2222;1615;301;1314;607;122;485;;1615;301;1314;35.0;6.0;29.0;228.0;23.0;205.0;200.0;89.0;111.0;356.0;65.0;291.0;68.0;27.0;41.0;96.0;28.0;68.0;554.0;49.0;505.0;69.0;13.0;56.0;9.0;1.0;8.0
182;2003 October;805;576;80;496;229;52;177;;576;80;496;9.0;0.0;9.0;68.0;3.0;65.0;68.0;28.0;40.0;116.0;22.0;94.0;16.0;8.0;8.0;48.0;3.0;45.0;222.0;13.0;209.0;26.0;3.0;23.0;3.0;0.0;3.0
183;2003 November;786;517;104;413;269;57;212;;517;104;413;10.0;5.0;5.0;64.0;15.0;49.0;62.0;32.0;30.0;116.0;20.0;96.0;28.0;12.0;16.0;35.0;3.0;32.0;174.0;12.0;162.0;24.0;5.0;19.0;4.0;0.0;4.0
184;2003 December;731;518;81;437;213;47;166;;518;81;437;9.0;2.0;7.0;51.0;7.0;44.0;64.0;26.0;38.0;115.0;22.0;93.0;25.0;9.0;16.0;31.0;6.0;25.0;197.0;8.0;189.0;21.0;0.0;21.0;5.0;1.0;4.0
185;2003 4th Quarter;2322;1611;265;1346;711;156;555;;1611;265;1346;28.0;7.0;21.0;183.0;25.0;158.0;194.0;86.0;108.0;347.0;64.0;283.0;69.0;29.0;40.0;114.0;12.0;102.0;593.0;33.0;560.0;71.0;8.0;63.0;12.0;1.0;11.0
186;2003;8748;6386;1151;5235;2362;440;1922;8.0;6386;1151;5235;122.0;41.0;81.0;804.0;87.0;717.0;887.0;349.0;538.0;1346.0;260.0;1086.0;271.0;111.0;160.0;404.0;80.0;324.0;2254.0;170.0;2084.0;261.0;47.0;214.0;37.0;6.0;31.0
