ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
2656;Total sales;C Manufactured products;2022 January;110.7;3.9;20.2
2657;Total sales;C Manufactured products;2022 February;112.9;2.0;20.4
2658;Total sales;C Manufactured products;2022 March;118.2;4.7;23.4
2659;Total sales;C Manufactured products;2022 April;123.0;4.1;26.3
2660;Total sales;C Manufactured products;2022 May;124.3;1.1;26.4
2661;Total sales;C Manufactured products;2022 June;126.4;1.7;27.8
2662;Total sales;C Manufactured products;2022 July;127.3;0.7;26.1
2663;Total sales;C Manufactured products;2022 August;125.2;-1.7;23.0
2664;Total sales;C Manufactured products;2022 September;123.7;-1.1;20.6
2665;Total sales;C Manufactured products;2022 October;124.9;0.9;18.3
2666;Total sales;C Manufactured products;2022 November;122.8;-1.7;15.4
2667;Total sales;C Manufactured products;2022 December;120.2;-2.1;12.8
2668;Total sales;C Manufactured products;2022;121.6;;21.6
2669;Total sales;C Manufactured products;2023 January;122.4;1.8;10.6
2670;Total sales;C Manufactured products;2023 February;121.7;-0.5;7.9
2671;Total sales;C Manufactured products;2023 March;120.9;-0.7;2.3
2672;Total sales;C Manufactured products;2023 April;121.0;0.1;-1.6
2673;Total sales;C Manufactured products;2023 May;119.4;-1.4;-4.0
2674;Total sales;C Manufactured products;2023 June;118.8;-0.5;-6.0
2675;Total sales;C Manufactured products;2023 July;118.1;-0.6;-7.2
2676;Total sales;C Manufactured products;2023 August;119.5;1.1;-4.5
2677;Total sales;C Manufactured products;2023 September;121.0;1.2;-2.3
2678;Total sales;C Manufactured products;2023 October;119.8;-0.9;-4.0
2679;Total sales;C Manufactured products;2023 November;118.5;-1.1;-3.4
2680;Total sales;C Manufactured products;2023 December;117.1;-1.2;-2.6
2681;Total sales;C Manufactured products;2023;119.9;;-1.5
2682;Total sales;C Manufactured products;2024 January;118.1;0.9;-3.5
2683;Total sales;C Manufactured products;2024 February;119.0;0.8;-2.2
2684;Total sales;C Manufactured products;2024 March;119.8;0.6;-1.0
2685;Total sales;C Manufactured products;2024 April;120.9;1.0;-0.1
2686;Total sales;C Manufactured products;2024 May;119.8;-0.9;0.4
2687;Total sales;C Manufactured products;2024 June;119.8;0.0;0.8
2688;Total sales;C Manufactured products;2024 July;119.5;-0.2;1.2
2689;Total sales;C Manufactured products;2024 August;118.8;-0.6;-0.6
2690;Total sales;C Manufactured products;2024 September;117.8;-0.8;-2.6
2691;Total sales;C Manufactured products;2024 October;118.2;0.3;-1.3
2692;Total sales;C Manufactured products;2024 November;118.6;0.4;0.1
2693;Total sales;C Manufactured products;2024 December;119.0;0.3;1.6
2694;Total sales;C Manufactured products;2024;119.1;;-0.6
2695;Total sales;C Manufactured products;2025 January;120.6;1.4;2.1
2696;Total sales;C Manufactured products;2025 February;121.0;0.3;1.7
2697;Total sales;10 Food products;2018 January;91.2;;
2698;Total sales;10 Food products;2018 February;91.4;0.2;
2699;Total sales;10 Food products;2018 March;92.0;0.6;
2700;Total sales;10 Food products;2018 April;91.5;-0.6;
2701;Total sales;10 Food products;2018 May;91.5;0.0;
2702;Total sales;10 Food products;2018 June;91.6;0.1;
2703;Total sales;10 Food products;2018 July;91.2;-0.5;
2704;Total sales;10 Food products;2018 August;91.2;0.1;
2705;Total sales;10 Food products;2018 September;91.5;0.3;
2706;Total sales;10 Food products;2018 October;91.8;0.3;
2707;Total sales;10 Food products;2018 November;91.8;0.0;
2708;Total sales;10 Food products;2018 December;91.9;0.2;
2709;Total sales;10 Food products;2018;91.6;;
2710;Total sales;10 Food products;2019 January;91.9;-0.1;0.7
2711;Total sales;10 Food products;2019 February;91.8;-0.1;0.4
2712;Total sales;10 Food products;2019 March;92.1;0.3;0.1
2713;Total sales;10 Food products;2019 April;93.6;1.7;2.4
2714;Total sales;10 Food products;2019 May;93.3;-0.3;2.0
2715;Total sales;10 Food products;2019 June;93.2;-0.2;1.7
2716;Total sales;10 Food products;2019 July;93.1;-0.1;2.1
2717;Total sales;10 Food products;2019 August;93.2;0.1;2.1
2718;Total sales;10 Food products;2019 September;93.8;0.7;2.5
2719;Total sales;10 Food products;2019 October;94.3;0.5;2.7
2720;Total sales;10 Food products;2019 November;95.2;1.0;3.7
2721;Total sales;10 Food products;2019 December;96.4;1.2;4.8
2722;Total sales;10 Food products;2019;93.5;;2.1
2723;Total sales;10 Food products;2020 January;96.4;0.0;5.0
2724;Total sales;10 Food products;2020 February;96.4;0.0;5.0
2725;Total sales;10 Food products;2020 March;96.5;0.1;4.8
2726;Total sales;10 Food products;2020 April;95.6;-0.9;2.1
2727;Total sales;10 Food products;2020 May;94.7;-1.0;1.5
2728;Total sales;10 Food products;2020 June;94.4;-0.3;1.3
2729;Total sales;10 Food products;2020 July;93.5;-1.0;0.4
2730;Total sales;10 Food products;2020 August;93.4;-0.1;0.2
2731;Total sales;10 Food products;2020 September;93.9;0.6;0.1
2732;Total sales;10 Food products;2020 October;94.2;0.2;-0.1
2733;Total sales;10 Food products;2020 November;94.6;0.5;-0.6
2734;Total sales;10 Food products;2020 December;94.7;0.0;-1.8
2735;Total sales;10 Food products;2020;94.9;;1.5
2736;Total sales;10 Food products;2021 January;95.5;0.9;-1.0
2737;Total sales;10 Food products;2021 February;96.4;0.9;-0.1
2738;Total sales;10 Food products;2021 March;97.7;1.3;1.2
2739;Total sales;10 Food products;2021 April;99.2;1.6;3.8
2740;Total sales;10 Food products;2021 May;99.6;0.3;5.1
2741;Total sales;10 Food products;2021 June;99.6;0.0;5.5
2742;Total sales;10 Food products;2021 July;100.3;0.7;7.3
2743;Total sales;10 Food products;2021 August;100.8;0.5;8.0
2744;Total sales;10 Food products;2021 September;101.4;0.6;7.9
2745;Total sales;10 Food products;2021 October;102.3;0.9;8.7
2746;Total sales;10 Food products;2021 November;103.2;0.8;9.0
2747;Total sales;10 Food products;2021 December;104.0;0.8;9.9
2748;Total sales;10 Food products;2021;100.0;;5.4
2749;Total sales;10 Food products;2022 January;108.7;4.5;13.8
2750;Total sales;10 Food products;2022 February;110.3;1.5;14.5
2751;Total sales;10 Food products;2022 March;113.9;3.3;16.7
2752;Total sales;10 Food products;2022 April;120.1;5.4;21.0
2753;Total sales;10 Food products;2022 May;120.9;0.7;21.5
2754;Total sales;10 Food products;2022 June;120.9;0.0;21.4
2755;Total sales;10 Food products;2022 July;123.0;1.7;22.6
2756;Total sales;10 Food products;2022 August;123.5;0.4;22.5
2757;Total sales;10 Food products;2022 September;123.6;0.1;22.0
2758;Total sales;10 Food products;2022 October;125.4;1.4;22.5
2759;Total sales;10 Food products;2022 November;125.6;0.1;21.7
2760;Total sales;10 Food products;2022 December;125.7;0.1;20.8
2761;Total sales;10 Food products;2022;120.1;;20.1
2762;Total sales;10 Food products;2023 January;129.3;2.9;19.0
2763;Total sales;10 Food products;2023 February;129.2;-0.1;17.1
2764;Total sales;10 Food products;2023 March;129.4;0.1;13.6
2765;Total sales;10 Food products;2023 April;129.6;0.2;7.9
2766;Total sales;10 Food products;2023 May;128.8;-0.7;6.5
2767;Total sales;10 Food products;2023 June;128.4;-0.3;6.2
2768;Total sales;10 Food products;2023 July;127.4;-0.8;3.6
2769;Total sales;10 Food products;2023 August;127.4;0.0;3.1
2770;Total sales;10 Food products;2023 September;127.2;-0.1;2.9
2771;Total sales;10 Food products;2023 October;127.7;0.4;1.8
2772;Total sales;10 Food products;2023 November;127.8;0.0;1.8
2773;Total sales;10 Food products;2023 December;127.6;-0.1;1.5
2774;Total sales;10 Food products;2023;128.3;;6.8
2775;Total sales;10 Food products;2024 January;127.9;0.2;-1.1
2776;Total sales;10 Food products;2024 February;128.5;0.5;-0.5
2777;Total sales;10 Food products;2024 March;129.7;0.9;0.2
2778;Total sales;10 Food products;2024 April;131.6;1.5;1.5
2779;Total sales;10 Food products;2024 May;130.9;-0.5;1.7
2780;Total sales;10 Food products;2024 June;132.8;1.4;3.4
2781;Total sales;10 Food products;2024 July;131.8;-0.7;3.5
2782;Total sales;10 Food products;2024 August;132.0;0.1;3.6
2783;Total sales;10 Food products;2024 September;132.5;0.4;4.1
2784;Total sales;10 Food products;2024 October;133.2;0.5;4.3
2785;Total sales;10 Food products;2024 November;134.7;1.1;5.4
2786;Total sales;10 Food products;2024 December;136.2;1.1;6.7
2787;Total sales;10 Food products;2024;131.8;;2.7
2788;Total sales;10 Food products;2025 January;136.5;0.2;6.7
2789;Total sales;10 Food products;2025 February;136.8;0.2;6.4
2790;Total sales;101 Preserved meat and meat products;2018 January;92.3;;
2791;Total sales;101 Preserved meat and meat products;2018 February;92.3;0.0;
2792;Total sales;101 Preserved meat and meat products;2018 March;93.6;1.4;
2793;Total sales;101 Preserved meat and meat products;2018 April;92.3;-1.4;
2794;Total sales;101 Preserved meat and meat products;2018 May;91.7;-0.7;
2795;Total sales;101 Preserved meat and meat products;2018 June;91.4;-0.3;
2796;Total sales;101 Preserved meat and meat products;2018 July;90.2;-1.3;
2797;Total sales;101 Preserved meat and meat products;2018 August;90.9;0.7;
2798;Total sales;101 Preserved meat and meat products;2018 September;91.6;0.8;
2799;Total sales;101 Preserved meat and meat products;2018 October;92.1;0.5;
2800;Total sales;101 Preserved meat and meat products;2018 November;92.2;0.0;
2801;Total sales;101 Preserved meat and meat products;2018 December;92.9;0.8;
2802;Total sales;101 Preserved meat and meat products;2018;92.0;;
2803;Total sales;101 Preserved meat and meat products;2019 January;90.5;-2.6;-2.0
2804;Total sales;101 Preserved meat and meat products;2019 February;89.8;-0.7;-2.7
2805;Total sales;101 Preserved meat and meat products;2019 March;91.5;1.8;-2.3
2806;Total sales;101 Preserved meat and meat products;2019 April;97.6;6.7;5.8
2807;Total sales;101 Preserved meat and meat products;2019 May;97.4;-0.3;6.2
2808;Total sales;101 Preserved meat and meat products;2019 June;97.0;-0.4;6.2
2809;Total sales;101 Preserved meat and meat products;2019 July;97.0;-0.1;7.5
2810;Total sales;101 Preserved meat and meat products;2019 August;98.8;1.9;8.7
2811;Total sales;101 Preserved meat and meat products;2019 September;101.9;3.1;11.2
2812;Total sales;101 Preserved meat and meat products;2019 October;104.0;2.1;12.9
2813;Total sales;101 Preserved meat and meat products;2019 November;107.0;2.9;16.1
2814;Total sales;101 Preserved meat and meat products;2019 December;110.3;3.1;18.7
2815;Total sales;101 Preserved meat and meat products;2019;98.6;;7.2
2816;Total sales;101 Preserved meat and meat products;2020 January;107.9;-2.1;19.3
2817;Total sales;101 Preserved meat and meat products;2020 February;106.8;-1.0;18.9
2818;Total sales;101 Preserved meat and meat products;2020 March;106.4;-0.4;16.3
2819;Total sales;101 Preserved meat and meat products;2020 April;103.7;-2.5;6.2
2820;Total sales;101 Preserved meat and meat products;2020 May;99.5;-4.1;2.2
2821;Total sales;101 Preserved meat and meat products;2020 June;99.0;-0.5;2.0
2822;Total sales;101 Preserved meat and meat products;2020 July;94.5;-4.5;-2.5
2823;Total sales;101 Preserved meat and meat products;2020 August;95.0;0.5;-3.9
2824;Total sales;101 Preserved meat and meat products;2020 September;97.0;2.1;-4.8
2825;Total sales;101 Preserved meat and meat products;2020 October;96.8;-0.2;-6.9
2826;Total sales;101 Preserved meat and meat products;2020 November;95.2;-1.7;-11.0
2827;Total sales;101 Preserved meat and meat products;2020 December;93.6;-1.6;-15.1
2828;Total sales;101 Preserved meat and meat products;2020;99.6;;1.1
2829;Total sales;101 Preserved meat and meat products;2021 January;94.3;0.7;-12.6
2830;Total sales;101 Preserved meat and meat products;2021 February;94.6;0.3;-11.5
2831;Total sales;101 Preserved meat and meat products;2021 March;98.0;3.6;-7.9
2832;Total sales;101 Preserved meat and meat products;2021 April;100.0;2.1;-3.6
2833;Total sales;101 Preserved meat and meat products;2021 May;100.9;0.9;1.4
2834;Total sales;101 Preserved meat and meat products;2021 June;101.3;0.4;2.3
2835;Total sales;101 Preserved meat and meat products;2021 July;101.4;0.1;7.2
2836;Total sales;101 Preserved meat and meat products;2021 August;102.2;0.9;7.6
2837;Total sales;101 Preserved meat and meat products;2021 September;102.4;0.2;5.6
2838;Total sales;101 Preserved meat and meat products;2021 October;100.4;-2.0;3.7
2839;Total sales;101 Preserved meat and meat products;2021 November;101.9;1.5;7.0
2840;Total sales;101 Preserved meat and meat products;2021 December;102.7;0.8;9.7
2841;Total sales;101 Preserved meat and meat products;2021;100.0;;0.4
2842;Total sales;101 Preserved meat and meat products;2022 January;103.7;1.0;10.0
2843;Total sales;101 Preserved meat and meat products;2022 February;104.5;0.7;10.5
2844;Total sales;101 Preserved meat and meat products;2022 March;112.1;7.3;14.4
2845;Total sales;101 Preserved meat and meat products;2022 April;124.0;10.6;24.0
2846;Total sales;101 Preserved meat and meat products;2022 May;123.5;-0.4;22.4
2847;Total sales;101 Preserved meat and meat products;2022 June;122.7;-0.6;21.2
2848;Total sales;101 Preserved meat and meat products;2022 July;125.6;2.4;24.0
2849;Total sales;101 Preserved meat and meat products;2022 August;126.9;1.0;24.1
2850;Total sales;101 Preserved meat and meat products;2022 September;128.6;1.3;25.5
2851;Total sales;101 Preserved meat and meat products;2022 October;129.5;0.7;29.0
2852;Total sales;101 Preserved meat and meat products;2022 November;130.2;0.5;27.8
2853;Total sales;101 Preserved meat and meat products;2022 December;131.5;1.0;28.0
2854;Total sales;101 Preserved meat and meat products;2022;121.9;;21.9
2855;Total sales;101 Preserved meat and meat products;2023 January;131.2;-0.2;26.5
2856;Total sales;101 Preserved meat and meat products;2023 February;133.0;1.4;27.4
2857;Total sales;101 Preserved meat and meat products;2023 March;136.2;2.4;21.5
2858;Total sales;101 Preserved meat and meat products;2023 April;139.0;2.0;12.1
2859;Total sales;101 Preserved meat and meat products;2023 May;139.5;0.3;12.9
2860;Total sales;101 Preserved meat and meat products;2023 June;139.5;0.0;13.6
2861;Total sales;101 Preserved meat and meat products;2023 July;138.9;-0.4;10.5
2862;Total sales;101 Preserved meat and meat products;2023 August;138.1;-0.6;8.9
2863;Total sales;101 Preserved meat and meat products;2023 September;137.6;-0.3;7.0
2864;Total sales;101 Preserved meat and meat products;2023 October;134.9;-2.0;4.1
2865;Total sales;101 Preserved meat and meat products;2023 November;133.8;-0.8;2.7
2866;Total sales;101 Preserved meat and meat products;2023 December;133.9;0.1;1.9
2867;Total sales;101 Preserved meat and meat products;2023;136.3;;11.8
2868;Total sales;101 Preserved meat and meat products;2024 January;132.5;-1.1;1.0
2869;Total sales;101 Preserved meat and meat products;2024 February;132.2;-0.2;-0.6
2870;Total sales;101 Preserved meat and meat products;2024 March;133.8;1.2;-1.8
2871;Total sales;101 Preserved meat and meat products;2024 April;133.4;-0.4;-4.0
2872;Total sales;101 Preserved meat and meat products;2024 May;133.9;0.4;-3.9
2873;Total sales;101 Preserved meat and meat products;2024 June;134.5;0.4;-3.6
2874;Total sales;101 Preserved meat and meat products;2024 July;133.1;-1.1;-4.2
2875;Total sales;101 Preserved meat and meat products;2024 August;132.2;-0.7;-4.3
2876;Total sales;101 Preserved meat and meat products;2024 September;132.8;0.5;-3.5
2877;Total sales;101 Preserved meat and meat products;2024 October;132.2;-0.5;-2.0
2878;Total sales;101 Preserved meat and meat products;2024 November;132.3;0.1;-1.1
2879;Total sales;101 Preserved meat and meat products;2024 December;132.6;0.2;-1.0
2880;Total sales;101 Preserved meat and meat products;2024;133.0;;-2.4
2881;Total sales;101 Preserved meat and meat products;2025 January;132.7;0.1;0.2
2882;Total sales;101 Preserved meat and meat products;2025 February;133.2;0.4;0.8
2883;Total sales;1011 Processed and preserved meat;2018 January;94.6;;
2884;Total sales;1011 Processed and preserved meat;2018 February;94.6;0.1;
2885;Total sales;1011 Processed and preserved meat;2018 March;96.9;2.4;
2886;Total sales;1011 Processed and preserved meat;2018 April;94.1;-2.8;
2887;Total sales;1011 Processed and preserved meat;2018 May;92.3;-2.0;
2888;Total sales;1011 Processed and preserved meat;2018 June;91.3;-1.1;
2889;Total sales;1011 Processed and preserved meat;2018 July;88.6;-2.9;
2890;Total sales;1011 Processed and preserved meat;2018 August;90.0;1.6;
2891;Total sales;1011 Processed and preserved meat;2018 September;91.7;1.9;
2892;Total sales;1011 Processed and preserved meat;2018 October;91.9;0.2;
2893;Total sales;1011 Processed and preserved meat;2018 November;93.0;1.2;
2894;Total sales;1011 Processed and preserved meat;2018 December;95.1;2.3;
2895;Total sales;1011 Processed and preserved meat;2018;92.8;;
2896;Total sales;1011 Processed and preserved meat;2019 January;91.7;-3.7;-3.1
2897;Total sales;1011 Processed and preserved meat;2019 February;90.0;-1.8;-4.8
2898;Total sales;1011 Processed and preserved meat;2019 March;90.4;0.4;-6.7
2899;Total sales;1011 Processed and preserved meat;2019 April;95.9;6.0;1.8
2900;Total sales;1011 Processed and preserved meat;2019 May;96.2;0.4;4.3
2901;Total sales;1011 Processed and preserved meat;2019 June;95.5;-0.7;4.6
2902;Total sales;1011 Processed and preserved meat;2019 July;95.4;-0.2;7.6
2903;Total sales;1011 Processed and preserved meat;2019 August;98.1;2.9;9.0
2904;Total sales;1011 Processed and preserved meat;2019 September;101.5;3.4;10.6
2905;Total sales;1011 Processed and preserved meat;2019 October;105.1;3.6;14.4
2906;Total sales;1011 Processed and preserved meat;2019 November;109.1;3.8;17.3
2907;Total sales;1011 Processed and preserved meat;2019 December;113.1;3.7;18.9
2908;Total sales;1011 Processed and preserved meat;2019;98.5;;6.1
2909;Total sales;1011 Processed and preserved meat;2020 January;110.2;-2.5;20.3
2910;Total sales;1011 Processed and preserved meat;2020 February;108.2;-1.9;20.2
2911;Total sales;1011 Processed and preserved meat;2020 March;107.5;-0.6;19.0
2912;Total sales;1011 Processed and preserved meat;2020 April;103.7;-3.5;8.2
2913;Total sales;1011 Processed and preserved meat;2020 May;98.0;-5.5;1.9
2914;Total sales;1011 Processed and preserved meat;2020 June;96.9;-1.2;1.4
2915;Total sales;1011 Processed and preserved meat;2020 July;89.8;-7.3;-5.8
2916;Total sales;1011 Processed and preserved meat;2020 August;90.6;0.8;-7.7
2917;Total sales;1011 Processed and preserved meat;2020 September;93.8;3.5;-7.6
2918;Total sales;1011 Processed and preserved meat;2020 October;93.4;-0.4;-11.2
2919;Total sales;1011 Processed and preserved meat;2020 November;92.7;-0.7;-15.1
2920;Total sales;1011 Processed and preserved meat;2020 December;91.5;-1.3;-19.1
2921;Total sales;1011 Processed and preserved meat;2020;98.0;;-0.5
2922;Total sales;1011 Processed and preserved meat;2021 January;92.3;0.9;-16.2
2923;Total sales;1011 Processed and preserved meat;2021 February;92.5;0.2;-14.5
2924;Total sales;1011 Processed and preserved meat;2021 March;97.9;5.9;-8.9
2925;Total sales;1011 Processed and preserved meat;2021 April;99.8;1.9;-3.8
2926;Total sales;1011 Processed and preserved meat;2021 May;100.4;0.6;2.4
2927;Total sales;1011 Processed and preserved meat;2021 June;100.0;-0.3;3.2
2928;Total sales;1011 Processed and preserved meat;2021 July;101.2;1.2;12.7
2929;Total sales;1011 Processed and preserved meat;2021 August;102.7;1.5;13.4
2930;Total sales;1011 Processed and preserved meat;2021 September;104.3;1.6;11.3
2931;Total sales;1011 Processed and preserved meat;2021 October;100.6;-3.6;7.7
2932;Total sales;1011 Processed and preserved meat;2021 November;103.6;3.0;11.7
2933;Total sales;1011 Processed and preserved meat;2021 December;104.7;1.1;14.4
2934;Total sales;1011 Processed and preserved meat;2021;100.0;;2.0
2935;Total sales;1011 Processed and preserved meat;2022 January;103.9;-0.8;12.5
2936;Total sales;1011 Processed and preserved meat;2022 February;104.6;0.7;13.1
2937;Total sales;1011 Processed and preserved meat;2022 March;114.4;9.4;16.8
2938;Total sales;1011 Processed and preserved meat;2022 April;125.1;9.4;25.4
2939;Total sales;1011 Processed and preserved meat;2022 May;123.5;-1.3;23.0
2940;Total sales;1011 Processed and preserved meat;2022 June;122.3;-0.9;22.3
2941;Total sales;1011 Processed and preserved meat;2022 July;128.1;4.7;26.6
2942;Total sales;1011 Processed and preserved meat;2022 August;129.8;1.3;26.4
2943;Total sales;1011 Processed and preserved meat;2022 September;133.1;2.5;27.6
2944;Total sales;1011 Processed and preserved meat;2022 October;132.4;-0.5;31.6
2945;Total sales;1011 Processed and preserved meat;2022 November;133.7;1.0;29.1
2946;Total sales;1011 Processed and preserved meat;2022 December;136.5;2.1;30.4
2947;Total sales;1011 Processed and preserved meat;2022;124.0;;24.0
2948;Total sales;1011 Processed and preserved meat;2023 January;134.4;-1.5;29.4
2949;Total sales;1011 Processed and preserved meat;2023 February;138.2;2.8;32.1
2950;Total sales;1011 Processed and preserved meat;2023 March;142.7;3.2;24.7
2951;Total sales;1011 Processed and preserved meat;2023 April;145.2;1.8;16.1
2952;Total sales;1011 Processed and preserved meat;2023 May;146.0;0.5;18.2
2953;Total sales;1011 Processed and preserved meat;2023 June;145.5;-0.4;18.9
2954;Total sales;1011 Processed and preserved meat;2023 July;146.1;0.4;14.1
2955;Total sales;1011 Processed and preserved meat;2023 August;143.2;-2.0;10.3
2956;Total sales;1011 Processed and preserved meat;2023 September;141.9;-0.9;6.6
2957;Total sales;1011 Processed and preserved meat;2023 October;139.2;-1.9;5.1
2958;Total sales;1011 Processed and preserved meat;2023 November;138.2;-0.7;3.3
2959;Total sales;1011 Processed and preserved meat;2023 December;139.1;0.7;1.9
2960;Total sales;1011 Processed and preserved meat;2023;141.6;;14.3
2961;Total sales;1011 Processed and preserved meat;2024 January;137.6;-1.1;2.4
2962;Total sales;1011 Processed and preserved meat;2024 February;136.7;-0.7;-1.1
2963;Total sales;1011 Processed and preserved meat;2024 March;138.7;1.5;-2.8
2964;Total sales;1011 Processed and preserved meat;2024 April;136.6;-1.5;-5.9
2965;Total sales;1011 Processed and preserved meat;2024 May;137.3;0.5;-6.0
2966;Total sales;1011 Processed and preserved meat;2024 June;138.4;0.8;-4.9
2967;Total sales;1011 Processed and preserved meat;2024 July;135.2;-2.3;-7.5
2968;Total sales;1011 Processed and preserved meat;2024 August;133.9;-1.0;-6.5
2969;Total sales;1011 Processed and preserved meat;2024 September;135.4;1.1;-4.6
2970;Total sales;1011 Processed and preserved meat;2024 October;135.6;0.1;-2.6
2971;Total sales;1011 Processed and preserved meat;2024 November;135.5;-0.1;-2.0
2972;Total sales;1011 Processed and preserved meat;2024 December;137.6;1.5;-1.1
2973;Total sales;1011 Processed and preserved meat;2024;136.5;;-3.6
2974;Total sales;1011 Processed and preserved meat;2025 January;137.7;0.1;0.1
2975;Total sales;1011 Processed and preserved meat;2025 February;138.0;0.3;1.0
2976;Total sales;10111000 Meat of bovine animals or sw...;2018 January;98.6;;
2977;Total sales;10111000 Meat of bovine animals or sw...;2018 February;99.5;0.8;
2978;Total sales;10111000 Meat of bovine animals or sw...;2018 March;102.6;3.2;
2979;Total sales;10111000 Meat of bovine animals or sw...;2018 April;99.7;-2.9;
2980;Total sales;10111000 Meat of bovine animals or sw...;2018 May;97.7;-2.0;
2981;Total sales;10111000 Meat of bovine animals or sw...;2018 June;98.2;0.5;
2982;Total sales;10111000 Meat of bovine animals or sw...;2018 July;94.4;-3.9;
2983;Total sales;10111000 Meat of bovine animals or sw...;2018 August;97.2;3.0;
2984;Total sales;10111000 Meat of bovine animals or sw...;2018 September;98.2;1.0;
2985;Total sales;10111000 Meat of bovine animals or sw...;2018 October;96.8;-1.4;
2986;Total sales;10111000 Meat of bovine animals or sw...;2018 November;97.9;1.2;
2987;Total sales;10111000 Meat of bovine animals or sw...;2018 December;99.4;1.6;
2988;Total sales;10111000 Meat of bovine animals or sw...;2018;98.3;;
2989;Total sales;10111000 Meat of bovine animals or sw...;2019 January;98.1;-1.3;-0.5
2990;Total sales;10111000 Meat of bovine animals or sw...;2019 February;96.7;-1.4;-2.8
2991;Total sales;10111000 Meat of bovine animals or sw...;2019 March;97.2;0.5;-5.3
2992;Total sales;10111000 Meat of bovine animals or sw...;2019 April;104.3;7.3;4.6
2993;Total sales;10111000 Meat of bovine animals or sw...;2019 May;105.3;0.9;7.8
2994;Total sales;10111000 Meat of bovine animals or sw...;2019 June;105.1;-0.2;7.0
2995;Total sales;10111000 Meat of bovine animals or sw...;2019 July;106.4;1.3;12.8
2996;Total sales;10111000 Meat of bovine animals or sw...;2019 August;109.8;3.2;12.9
2997;Total sales;10111000 Meat of bovine animals or sw...;2019 September;112.6;2.5;14.7
2998;Total sales;10111000 Meat of bovine animals or sw...;2019 October;114.1;1.4;17.9
2999;Total sales;10111000 Meat of bovine animals or sw...;2019 November;118.3;3.6;20.8
3000;Total sales;10111000 Meat of bovine animals or sw...;2019 December;122.3;3.4;23.0
3001;Total sales;10111000 Meat of bovine animals or sw...;2019;107.5;;9.3
3002;Total sales;10111000 Meat of bovine animals or sw...;2020 January;119.8;-2.0;22.1
3003;Total sales;10111000 Meat of bovine animals or sw...;2020 February;118.2;-1.3;22.3
3004;Total sales;10111000 Meat of bovine animals or sw...;2020 March;120.0;1.4;23.5
3005;Total sales;10111000 Meat of bovine animals or sw...;2020 April;114.0;-5.0;9.3
3006;Total sales;10111000 Meat of bovine animals or sw...;2020 May;105.8;-7.2;0.5
3007;Total sales;10111000 Meat of bovine animals or sw...;2020 June;106.5;0.6;1.3
3008;Total sales;10111000 Meat of bovine animals or sw...;2020 July;96.3;-9.6;-9.5
3009;Total sales;10111000 Meat of bovine animals or sw...;2020 August;96.8;0.6;-11.8
3010;Total sales;10111000 Meat of bovine animals or sw...;2020 September;98.5;1.8;-12.5
3011;Total sales;10111000 Meat of bovine animals or sw...;2020 October;98.7;0.2;-13.5
3012;Total sales;10111000 Meat of bovine animals or sw...;2020 November;97.1;-1.6;-17.9
3013;Total sales;10111000 Meat of bovine animals or sw...;2020 December;93.6;-3.6;-23.5
3014;Total sales;10111000 Meat of bovine animals or sw...;2020;105.5;;-1.9
3015;Total sales;10111000 Meat of bovine animals or sw...;2021 January;94.2;0.6;-21.4
3016;Total sales;10111000 Meat of bovine animals or sw...;2021 February;94.0;-0.2;-20.5
3017;Total sales;10111000 Meat of bovine animals or sw...;2021 March;101.7;8.2;-15.2
3018;Total sales;10111000 Meat of bovine animals or sw...;2021 April;102.0;0.3;-10.6
3019;Total sales;10111000 Meat of bovine animals or sw...;2021 May;102.7;0.7;-2.9
3020;Total sales;10111000 Meat of bovine animals or sw...;2021 June;102.0;-0.7;-4.2
3021;Total sales;10111000 Meat of bovine animals or sw...;2021 July;102.1;0.1;6.1
3022;Total sales;10111000 Meat of bovine animals or sw...;2021 August;101.3;-0.8;4.6
3023;Total sales;10111000 Meat of bovine animals or sw...;2021 September;102.1;0.8;3.6
3024;Total sales;10111000 Meat of bovine animals or sw...;2021 October;97.3;-4.7;-1.5
3025;Total sales;10111000 Meat of bovine animals or sw...;2021 November;100.3;3.1;3.3
3026;Total sales;10111000 Meat of bovine animals or sw...;2021 December;100.4;0.0;7.2
3027;Total sales;10111000 Meat of bovine animals or sw...;2021;100.0;;-5.2
3028;Total sales;10111000 Meat of bovine animals or sw...;2022 January;99.3;-1.1;5.4
3029;Total sales;10111000 Meat of bovine animals or sw...;2022 February;100.7;1.5;7.2
3030;Total sales;10111000 Meat of bovine animals or sw...;2022 March;116.6;15.7;14.6
3031;Total sales;10111000 Meat of bovine animals or sw...;2022 April;130.6;12.1;28.1
3032;Total sales;10111000 Meat of bovine animals or sw...;2022 May;127.3;-2.6;23.9
3033;Total sales;10111000 Meat of bovine animals or sw...;2022 June;124.9;-1.8;22.5
3034;Total sales;10111000 Meat of bovine animals or sw...;2022 July;127.8;2.3;25.1
3035;Total sales;10111000 Meat of bovine animals or sw...;2022 August;129.6;1.5;28.0
3036;Total sales;10111000 Meat of bovine animals or sw...;2022 September;133.1;2.7;30.4
3037;Total sales;10111000 Meat of bovine animals or sw...;2022 October;133.9;0.6;37.6
3038;Total sales;10111000 Meat of bovine animals or sw...;2022 November;134.1;0.2;33.7
