ID;InstitutionalSectors;NotConsolidatedOrConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossProfitsBeforeTaxes_144;NetProfitsBeforeTaxes_145;GrossNationalIncome_146;NetNationalIncome_147;GrossDisposableIncome_148;NetDisposableIncome_149;GrossSaving_150;NetSaving_151;NetTransactionsOfGoodAndServices_152;SurplusNationOnCurrentTransactions_153;NetSavingAndCapitalTransfers_154;NetLendingOrNetBorrowing_155;TotalFinancialTransactionsInAssets_156;TotalFinancialTransactionsLiabilities_157;NetFinancialTransactions_158;StatisticalDiscrepancy_159
3835;Insurance corporations;Not consolidated;2014;56563.0;;;;;;18015.0;17804.0;;17804.0;211.0;211.0;;;;;;;;;;;;;;4.0;;4.0;12705.0;8310.0;1.0;8309.0;1148.0;1148.0;0.0;54.0;3193.0;63.0;;3130.0;0.0;;;;9020.0;9020.0;4589.0;92.0;2473.0;5123.0;-3257.0;;;;;16819.0;15006.0;1813.0;;;0.0;;;0.0;;0.0;0.0;52633.0;;;;;;8545.0;3526.0;2778.0;748.0;40.0;;40.0;;;;13484.0;200.0;-95.0;295.0;1856.0;1856.0;0.0;0.0;11428.0;6305.0;5123.0;;;604.0;604.0;;4814.0;;;;;;;4814.0;;4814.0;;16898.0;1857.0;14983.0;;;58.0;;4206.0;;;;;;;;26.0;0.0;;26.0;474.0;474.0;1082.0;-608.0;0.0;0.0;0.0;16.0;;9470.0;;8388.0;5908.0;4826.0;6985.0;5903.0;5129.0;4047.0;8652.0;7570.0;4446.0;3364.0;;;3338.0;3930.0;-4006.0;-7936.0;3930.0;0.0
3836;Insurance corporations;Not consolidated;2015 1st quarter;12649.0;;;;;;3638.0;3590.0;;3590.0;48.0;48.0;;;;;;;;;;;;;;0.0;;0.0;2722.0;2029.0;-17.0;2046.0;52.0;52.0;0.0;-6.0;647.0;12.0;;635.0;0.0;;;;1855.0;1855.0;987.0;40.0;481.0;994.0;-647.0;;;;;4434.0;4018.0;416.0;;;0.0;;;0.0;;0.0;0.0;11786.0;;;;;;1830.0;902.0;631.0;271.0;8.0;;8.0;;;;2662.0;22.0;-39.0;61.0;391.0;391.0;0.0;13.0;2236.0;1242.0;994.0;;;157.0;157.0;;1561.0;;;;;;;1561.0;;1561.0;;4237.0;450.0;3769.0;;;18.0;;294.0;;;;;;;;7.0;0.0;;7.0;127.0;127.0;263.0;-136.0;0.0;0.0;0.0;1.0;;1808.0;;1545.0;898.0;635.0;1362.0;1099.0;958.0;695.0;1292.0;1029.0;998.0;735.0;;;728.0;863.0;8614.0;7751.0;863.0;0.0
3837;Insurance corporations;Not consolidated;2015 2nd quarter;13126.0;;;;;;3860.0;3809.0;;3809.0;51.0;51.0;;;;;;;;;;;;;;1.0;;1.0;3141.0;1953.0;-13.0;1966.0;441.0;441.0;0.0;-6.0;753.0;26.0;;727.0;0.0;;;;1895.0;1895.0;990.0;37.0;483.0;1127.0;-742.0;;;;;4229.0;3804.0;425.0;;;0.0;;;0.0;;0.0;0.0;12085.0;;;;;;1856.0;1094.0;829.0;265.0;9.0;;9.0;;;;2896.0;23.0;-35.0;58.0;280.0;280.0;0.0;13.0;2580.0;1453.0;1127.0;;;119.0;119.0;;1479.0;;;;;;;1479.0;;1479.0;;4066.0;429.0;3623.0;;;14.0;;416.0;;;;;;;;7.0;0.0;;7.0;140.0;140.0;264.0;-124.0;0.0;0.0;0.0;3.0;;2004.0;;1740.0;902.0;638.0;1440.0;1176.0;1147.0;883.0;1607.0;1343.0;1191.0;927.0;;;920.0;1041.0;-8900.0;-9941.0;1041.0;0.0
3838;Insurance corporations;Not consolidated;2015 3rd quarter;12207.0;;;;;;3853.0;3803.0;;3803.0;50.0;50.0;;;;;;;;;;;;;;0.0;;0.0;2439.0;1946.0;-9.0;1955.0;268.0;268.0;0.0;-6.0;231.0;23.0;;208.0;0.0;;;;1731.0;1731.0;990.0;39.0;483.0;885.0;-666.0;;;;;4184.0;3771.0;413.0;;;0.0;;;0.0;;0.0;0.0;10959.0;;;;;;1741.0;805.0;518.0;287.0;9.0;;9.0;;;;2502.0;25.0;-23.0;48.0;434.0;434.0;0.0;13.0;2030.0;1145.0;885.0;;;80.0;80.0;;1352.0;;;;;;;1352.0;;1352.0;;3951.0;417.0;3520.0;;;14.0;;379.0;;;;;;;;7.0;0.0;;7.0;130.0;130.0;264.0;-134.0;0.0;0.0;0.0;3.0;;2112.0;;1848.0;1298.0;1034.0;1682.0;1418.0;1235.0;971.0;1767.0;1503.0;1388.0;1124.0;;;1117.0;1248.0;-4331.0;-5579.0;1248.0;0.0
3839;Insurance corporations;Not consolidated;2015 4th quarter;12619.0;;;;;;3596.0;3543.0;;3543.0;53.0;53.0;;;;;;;;;;;;;;1.0;;1.0;2736.0;2052.0;-4.0;2056.0;105.0;105.0;0.0;-3.0;582.0;20.0;;562.0;0.0;;;;1805.0;1805.0;990.0;41.0;484.0;1003.0;-713.0;;;;;4481.0;3898.0;583.0;;;0.0;;;0.0;;0.0;0.0;12020.0;;;;;;1905.0;985.0;713.0;272.0;6.0;;6.0;;;;3154.0;20.0;-22.0;42.0;850.0;850.0;0.0;13.0;2271.0;1268.0;1003.0;;;42.0;42.0;;1669.0;;;;;;;1669.0;;1669.0;;4521.0;643.0;3865.0;;;13.0;;136.0;;;;;;;;5.0;0.0;;5.0;-222.0;-222.0;263.0;-485.0;0.0;0.0;0.0;-181.0;;1691.0;;1428.0;701.0;438.0;1146.0;883.0;283.0;20.0;337.0;74.0;201.0;-62.0;;;-67.0;599.0;-3134.0;-3733.0;599.0;0.0
3840;Insurance corporations;Not consolidated;2015;50601.0;;;;;;14947.0;14745.0;;14745.0;202.0;202.0;;;;;;;;;;;;;;2.0;;2.0;11038.0;7980.0;-43.0;8023.0;866.0;866.0;0.0;-21.0;2213.0;81.0;;2132.0;0.0;;;;7286.0;7286.0;3957.0;157.0;1931.0;4009.0;-2768.0;;;;;17328.0;15491.0;1837.0;;;0.0;;;0.0;;0.0;0.0;46850.0;;;;;;7332.0;3786.0;2691.0;1095.0;32.0;;32.0;;;;11214.0;90.0;-119.0;209.0;1955.0;1955.0;0.0;52.0;9117.0;5108.0;4009.0;;;398.0;398.0;;6061.0;;;;;;;6061.0;;6061.0;;16775.0;1939.0;14777.0;;;59.0;;1225.0;;;;;;;;26.0;0.0;;26.0;175.0;175.0;1054.0;-879.0;0.0;0.0;0.0;-174.0;;7615.0;;6561.0;3799.0;2745.0;5630.0;4576.0;3623.0;2569.0;5003.0;3949.0;3778.0;2724.0;;;2698.0;3751.0;-7751.0;-11502.0;3751.0;0.0
3841;Insurance corporations;Not consolidated;2016 1st quarter;11664.0;;;;;;3280.0;3230.0;;3230.0;50.0;50.0;;;;;;;;;;;;;;0.0;;0.0;2411.0;1795.0;-6.0;1801.0;43.0;43.0;0.0;0.0;573.0;12.0;;561.0;0.0;;;;1647.0;1647.0;943.0;47.0;460.0;983.0;-786.0;;;;;4326.0;4079.0;247.0;;;0.0;;;0.0;;0.0;0.0;11181.0;;;;;;1784.0;885.0;596.0;289.0;7.0;;7.0;;;;2362.0;40.0;-24.0;64.0;240.0;240.0;0.0;25.0;2057.0;1074.0;983.0;;;185.0;185.0;;1383.0;;;;;;;1383.0;;1383.0;;4169.0;491.0;3662.0;;;16.0;;264.0;;;;;;;;0.0;0.0;;0.0;150.0;150.0;265.0;-115.0;0.0;0.0;0.0;-8.0;;1496.0;;1231.0;604.0;339.0;918.0;653.0;653.0;388.0;889.0;624.0;625.0;360.0;;;360.0;483.0;2827.0;2344.0;483.0;0.0
3842;Insurance corporations;Not consolidated;2016 2nd quarter;12629.0;;;;;;3407.0;3356.0;;3356.0;51.0;51.0;;;;;;;;;;;;;;0.0;;0.0;2986.0;1898.0;-11.0;1909.0;362.0;362.0;0.0;0.0;726.0;20.0;;706.0;0.0;;;;1783.0;1783.0;955.0;42.0;468.0;1192.0;-874.0;;;;;4453.0;4000.0;453.0;;;0.0;;;0.0;;0.0;0.0;12610.0;;;;;;1802.0;1101.0;820.0;281.0;9.0;;9.0;;;;2965.0;30.0;-27.0;57.0;411.0;411.0;0.0;-6.0;2530.0;1338.0;1192.0;;;295.0;295.0;;1308.0;;;;;;;1308.0;;1308.0;;4503.0;434.0;4056.0;;;13.0;;475.0;;;;;;;;0.0;0.0;;0.0;156.0;156.0;265.0;-109.0;0.0;0.0;0.0;-4.0;;1605.0;;1340.0;495.0;230.0;921.0;656.0;516.0;251.0;646.0;381.0;171.0;-94.0;;;-94.0;19.0;3127.0;3108.0;19.0;0.0
3843;Insurance corporations;Not consolidated;2016 3rd quarter;11209.0;;;;;;3390.0;3339.0;;3339.0;51.0;51.0;;;;;;;;;;;;;;1.0;;1.0;2272.0;1857.0;-16.0;1873.0;252.0;252.0;0.0;0.0;163.0;19.0;;144.0;0.0;;;;1588.0;1588.0;953.0;45.0;464.0;944.0;-818.0;;;;;3958.0;3694.0;264.0;;;0.0;;;0.0;;0.0;0.0;10539.0;;;;;;1741.0;826.0;510.0;316.0;8.0;;8.0;;;;2135.0;42.0;-32.0;74.0;150.0;150.0;0.0;8.0;1935.0;991.0;944.0;;;39.0;39.0;;1296.0;;;;;;;1296.0;;1296.0;;4002.0;421.0;3568.0;;;13.0;;292.0;;;;;;;;0.0;0.0;;0.0;183.0;183.0;263.0;-80.0;0.0;0.0;0.0;17.0;;1649.0;;1386.0;816.0;553.0;1111.0;848.0;953.0;690.0;1162.0;899.0;870.0;607.0;;;607.0;670.0;-3416.0;-4086.0;670.0;0.0
3844;Insurance corporations;Not consolidated;2016 4th quarter;11818.0;;;;;;3104.0;3045.0;;3045.0;59.0;59.0;;;;;;;;;;;;;;2.0;;2.0;2561.0;1788.0;-9.0;1797.0;271.0;271.0;0.0;-4.0;506.0;18.0;;488.0;0.0;;;;1772.0;1772.0;953.0;46.0;466.0;1089.0;-782.0;;;;;4379.0;4070.0;309.0;;;0.0;;;0.0;;0.0;0.0;12450.0;;;;;;1935.0;1003.0;701.0;302.0;8.0;;8.0;;;;2804.0;49.0;-23.0;72.0;538.0;538.0;0.0;13.0;2204.0;1115.0;1089.0;;;220.0;220.0;;1498.0;;;;;;;1498.0;;1498.0;;4429.0;464.0;3952.0;;;13.0;;274.0;;;;;;;;0.0;0.0;;0.0;234.0;234.0;263.0;-29.0;0.0;0.0;0.0;45.0;;1169.0;;906.0;160.0;-103.0;468.0;205.0;-83.0;-346.0;-79.0;-342.0;-353.0;-616.0;;;-616.0;-632.0;-15016.0;-14384.0;-632.0;0.0
3845;Insurance corporations;Not consolidated;2016;47320.0;;;;;;13181.0;12970.0;;12970.0;211.0;211.0;;;;;;;;;;;;;;3.0;;3.0;10230.0;7338.0;-42.0;7380.0;928.0;928.0;0.0;-4.0;1968.0;69.0;;1899.0;0.0;;;;6790.0;6790.0;3804.0;180.0;1858.0;4208.0;-3260.0;;;;;17116.0;15843.0;1273.0;;;0.0;;;0.0;;0.0;0.0;46780.0;;;;;;7262.0;3815.0;2627.0;1188.0;32.0;;32.0;;;;10266.0;161.0;-106.0;267.0;1339.0;1339.0;0.0;40.0;8726.0;4518.0;4208.0;;;739.0;739.0;;5485.0;;;;;;;5485.0;;5485.0;;17103.0;1810.0;15238.0;;;55.0;;1305.0;;;;;;;;0.0;0.0;;0.0;723.0;723.0;1056.0;-333.0;0.0;0.0;0.0;50.0;;5919.0;;4863.0;2075.0;1019.0;3418.0;2362.0;2039.0;983.0;2618.0;1562.0;1313.0;257.0;;;257.0;540.0;-12478.0;-13018.0;540.0;0.0
3846;Insurance corporations;Not consolidated;2017 1st quarter;11778.0;;;;;;3597.0;3545.0;;3545.0;52.0;52.0;;;;;;;;;;;;;;0.0;;0.0;2313.0;1804.0;-3.0;1807.0;60.0;60.0;0.0;0.0;449.0;5.0;;444.0;0.0;;;;1585.0;1585.0;561.0;50.0;627.0;930.0;-583.0;;;;;4283.0;3896.0;387.0;;;0.0;;;0.0;;0.0;0.0;11714.0;;;;;;1874.0;859.0;566.0;293.0;9.0;;9.0;;;;2138.0;61.0;-21.0;82.0;233.0;233.0;0.0;1.0;1843.0;913.0;930.0;;;177.0;177.0;;1575.0;;;;;;;1575.0;;1575.0;;4280.0;374.0;3892.0;;;14.0;;10.0;;;;;;;;0.0;0.0;;0.0;586.0;586.0;269.0;317.0;0.0;0.0;0.0;206.0;;1723.0;;1454.0;855.0;586.0;1264.0;995.0;1030.0;761.0;866.0;597.0;856.0;587.0;;;587.0;64.0;-4202.0;-4266.0;64.0;0.0
3847;Insurance corporations;Not consolidated;2017 2nd quarter;12068.0;;;;;;3504.0;3453.0;;3453.0;51.0;51.0;;;;;;;;;;;;;;0.0;;0.0;2770.0;1779.0;-2.0;1781.0;370.0;370.0;0.0;0.0;621.0;3.0;;618.0;0.0;;;;1736.0;1736.0;564.0;48.0;632.0;1065.0;-573.0;;;;;4058.0;3705.0;353.0;;;0.0;;;0.0;;0.0;0.0;12011.0;;;;;;1801.0;1013.0;731.0;282.0;9.0;;9.0;;;;2985.0;47.0;-18.0;65.0;789.0;789.0;0.0;-3.0;2152.0;1087.0;1065.0;;;132.0;132.0;;1443.0;;;;;;;1443.0;;1443.0;;4008.0;255.0;3739.0;;;14.0;;293.0;;;;;;;;0.0;0.0;;0.0;258.0;258.0;266.0;-8.0;0.0;0.0;0.0;69.0;;1703.0;;1437.0;681.0;415.0;1252.0;986.0;466.0;200.0;677.0;411.0;384.0;118.0;;;118.0;57.0;250.0;193.0;57.0;0.0
3848;Insurance corporations;Not consolidated;2017 3rd quarter;11357.0;;;;;;3706.0;3654.0;;3654.0;52.0;52.0;;;;;;;;;;;;;;0.0;;0.0;2203.0;1806.0;2.0;1804.0;217.0;217.0;0.0;0.0;180.0;9.0;;171.0;0.0;;;;1505.0;1505.0;556.0;50.0;633.0;877.0;-611.0;;;;;3943.0;3534.0;409.0;;;0.0;;;0.0;;0.0;0.0;10842.0;;;;;;1924.0;799.0;486.0;313.0;8.0;;8.0;;;;2208.0;98.0;-17.0;115.0;361.0;361.0;0.0;-2.0;1751.0;874.0;877.0;;;260.0;260.0;;1432.0;;;;;;;1432.0;;1432.0;;3956.0;313.0;3629.0;;;14.0;;73.0;;;;;;;;0.0;0.0;;0.0;158.0;158.0;266.0;-108.0;0.0;0.0;0.0;24.0;;1782.0;;1516.0;975.0;709.0;1329.0;1063.0;970.0;704.0;770.0;504.0;697.0;431.0;;;431.0;515.0;-4021.0;-4536.0;515.0;0.0
3849;Insurance corporations;Not consolidated;2017 4th quarter;11716.0;;;;;;3399.0;3340.0;;3340.0;59.0;59.0;;;;;;;;;;;;;;1.0;;1.0;2369.0;1748.0;1.0;1747.0;169.0;169.0;0.0;0.0;452.0;7.0;;445.0;0.0;;;;1631.0;1631.0;565.0;54.0;641.0;977.0;-606.0;;;;;4316.0;3871.0;445.0;;;0.0;;;0.0;;0.0;0.0;11552.0;;;;;;2085.0;953.0;659.0;294.0;23.0;;23.0;;;;2524.0;61.0;-12.0;73.0;532.0;532.0;0.0;-9.0;1940.0;963.0;977.0;;;59.0;59.0;;1590.0;;;;;;;1590.0;;1590.0;;4252.0;300.0;3938.0;;;14.0;;41.0;;;;;;;;0.0;0.0;;0.0;70.0;70.0;265.0;-195.0;0.0;0.0;0.0;-45.0;;1314.0;;1049.0;339.0;74.0;707.0;442.0;184.0;-81.0;230.0;-35.0;189.0;-76.0;;;-76.0;164.0;-3658.0;-3822.0;164.0;0.0
3850;Insurance corporations;Not consolidated;2017;46919.0;;;;;;14206.0;13992.0;;13992.0;214.0;214.0;;;;;;;;;;;;;;1.0;;1.0;9655.0;7137.0;-2.0;7139.0;816.0;816.0;0.0;0.0;1702.0;24.0;;1678.0;0.0;;;;6457.0;6457.0;2246.0;202.0;2533.0;3849.0;-2373.0;;;;;16600.0;15006.0;1594.0;;;0.0;;;0.0;;0.0;0.0;46119.0;;;;;;7684.0;3624.0;2442.0;1182.0;49.0;;49.0;;;;9855.0;267.0;-68.0;335.0;1915.0;1915.0;0.0;-13.0;7686.0;3837.0;3849.0;;;628.0;628.0;;6040.0;;;;;;;6040.0;;6040.0;;16496.0;1242.0;15198.0;;;56.0;;417.0;;;;;;;;0.0;0.0;;0.0;1072.0;1072.0;1066.0;6.0;0.0;0.0;0.0;254.0;;6522.0;;5456.0;2850.0;1784.0;4552.0;3486.0;2650.0;1584.0;2543.0;1477.0;2126.0;1060.0;;;1060.0;800.0;-11631.0;-12431.0;800.0;0.0
3851;Insurance corporations;Not consolidated;2018 1st quarter;11914.0;;;;;;3986.0;3928.0;;3928.0;58.0;58.0;;;;;;;;;;;;;;0.0;;0.0;2232.0;1673.0;7.0;1666.0;34.0;34.0;0.0;0.0;525.0;3.0;;522.0;0.0;;;;1504.0;1504.0;805.0;47.0;356.0;898.0;-602.0;;;;;4192.0;3882.0;310.0;;;0.0;;;0.0;;0.0;0.0;10987.0;;;;;;1778.0;768.0;519.0;249.0;10.0;;10.0;;;;2006.0;68.0;-12.0;80.0;176.0;176.0;0.0;-8.0;1770.0;872.0;898.0;;;377.0;377.0;;1581.0;;;;;;;1581.0;;1581.0;;4139.0;344.0;3778.0;;;17.0;;-77.0;;;;;;;;0.0;0.0;;0.0;283.0;283.0;271.0;12.0;0.0;0.0;0.0;122.0;;2208.0;;1937.0;1430.0;1159.0;1824.0;1553.0;1656.0;1385.0;1255.0;984.0;1332.0;1061.0;;;1061.0;927.0;1637.0;710.0;927.0;0.0
3852;Insurance corporations;Not consolidated;2018 2nd quarter;11826.0;;;;;;3736.0;3679.0;;3679.0;57.0;57.0;;;;;;;;;;;;;;0.0;;0.0;2510.0;1651.0;6.0;1645.0;162.0;162.0;0.0;0.0;697.0;2.0;;695.0;0.0;;;;1551.0;1551.0;802.0;44.0;357.0;977.0;-629.0;;;;;4029.0;3798.0;231.0;;;0.0;;;0.0;;0.0;0.0;10135.0;;;;;;1816.0;940.0;700.0;240.0;7.0;;7.0;;;;2426.0;68.0;-10.0;78.0;438.0;438.0;0.0;-11.0;1931.0;954.0;977.0;;;249.0;249.0;;1545.0;;;;;;;1545.0;;1545.0;;4065.0;310.0;3738.0;;;17.0;;6.0;;;;;;;;0.0;0.0;;0.0;-390.0;-390.0;272.0;-662.0;0.0;0.0;0.0;-529.0;;1920.0;;1648.0;973.0;701.0;1484.0;1212.0;1057.0;785.0;778.0;506.0;772.0;500.0;;;500.0;1691.0;-2052.0;-3743.0;1691.0;0.0
3853;Insurance corporations;Not consolidated;2018 3rd quarter;11183.0;;;;;;3846.0;3790.0;;3790.0;56.0;56.0;;;;;;;;;;;;;;0.0;;0.0;2066.0;1699.0;4.0;1695.0;83.0;83.0;0.0;0.0;284.0;2.0;;282.0;0.0;;;;1502.0;1502.0;833.0;47.0;354.0;876.0;-608.0;;;;;3769.0;3515.0;254.0;;;0.0;;;0.0;;0.0;0.0;10393.0;;;;;;1838.0;733.0;449.0;284.0;8.0;;8.0;;;;2031.0;62.0;-10.0;72.0;262.0;262.0;0.0;3.0;1704.0;828.0;876.0;;;254.0;254.0;;1492.0;;;;;;;1492.0;;1492.0;;3962.0;289.0;3656.0;;;17.0;;10.0;;;;;;;;0.0;0.0;;0.0;87.0;87.0;271.0;-184.0;0.0;0.0;0.0;-22.0;;2008.0;;1737.0;1267.0;996.0;1567.0;1296.0;1302.0;1031.0;865.0;594.0;855.0;584.0;;;584.0;790.0;-3232.0;-4022.0;790.0;0.0
3854;Insurance corporations;Not consolidated;2018 4th quarter;12069.0;;;;;;3743.0;3690.0;;3690.0;53.0;53.0;;;;;;;;;;;;;;0.0;;0.0;2537.0;1710.0;8.0;1702.0;308.0;308.0;0.0;0.0;519.0;7.0;;512.0;0.0;;;;1619.0;1619.0;819.0;47.0;362.0;1041.0;-650.0;;;;;4170.0;3854.0;316.0;;;0.0;;;0.0;;0.0;0.0;12005.0;;;;;;2078.0;865.0;610.0;255.0;11.0;;11.0;;;;2717.0;51.0;-8.0;59.0;635.0;635.0;0.0;8.0;2023.0;982.0;1041.0;;;325.0;325.0;;1618.0;;;;;;;1618.0;;1618.0;;4148.0;326.0;3805.0;;;17.0;;1.0;;;;;;;;0.0;0.0;;0.0;215.0;215.0;283.0;-68.0;0.0;0.0;0.0;27.0;;1665.0;;1382.0;789.0;506.0;1252.0;969.0;609.0;326.0;307.0;24.0;306.0;23.0;;;23.0;64.0;-565.0;-629.0;64.0;0.0
3855;Insurance corporations;Not consolidated;2018;46992.0;;;;;;15311.0;15087.0;;15087.0;224.0;224.0;;;;;;;;;;;;;;0.0;;0.0;9345.0;6733.0;25.0;6708.0;587.0;587.0;0.0;0.0;2025.0;14.0;;2011.0;0.0;;;;6176.0;6176.0;3259.0;185.0;1429.0;3792.0;-2489.0;;;;;16160.0;15049.0;1111.0;;;0.0;;;0.0;;0.0;0.0;43520.0;;;;;;7510.0;3306.0;2278.0;1028.0;36.0;;36.0;;;;9180.0;249.0;-40.0;289.0;1511.0;1511.0;0.0;-8.0;7428.0;3636.0;3792.0;;;1205.0;1205.0;;6236.0;;;;;;;6236.0;;6236.0;;16314.0;1269.0;14977.0;;;68.0;;-60.0;;;;;;;;0.0;0.0;;0.0;195.0;195.0;1097.0;-902.0;0.0;0.0;0.0;-402.0;;7801.0;;6704.0;4459.0;3362.0;6127.0;5030.0;4624.0;3527.0;3205.0;2108.0;3265.0;2168.0;;;2168.0;3472.0;-4212.0;-7684.0;3472.0;0.0
3856;Insurance corporations;Not consolidated;2019 1st quarter;12155.0;;;;;;3931.0;3868.0;;3868.0;63.0;63.0;;;;;;;;;;;;;;0.0;;0.0;2274.0;1675.0;4.0;1671.0;49.0;49.0;0.0;0.0;550.0;5.0;;545.0;0.0;;;;1760.0;1760.0;880.0;46.0;382.0;1069.0;-617.0;;;;;4190.0;3828.0;362.0;;;0.0;;;0.0;;0.0;0.0;11205.0;;;;;;1675.0;800.0;563.0;237.0;9.0;;9.0;;;;2272.0;62.0;-5.0;67.0;211.0;211.0;0.0;14.0;1985.0;916.0;1069.0;;;253.0;253.0;;1834.0;;;;;;;1834.0;;1834.0;;4294.0;400.0;3875.0;;;19.0;;-74.0;;;;;;;;0.0;0.0;;0.0;136.0;136.0;277.0;-141.0;0.0;0.0;0.0;6.0;;2256.0;;1979.0;1447.0;1170.0;1674.0;1397.0;1449.0;1172.0;1018.0;741.0;1092.0;815.0;;;815.0;950.0;6619.0;5669.0;950.0;0.0
3857;Insurance corporations;Not consolidated;2019 2nd quarter;12562.0;;;;;;3916.0;3854.0;;3854.0;62.0;62.0;;;;;;;;;;;;;;0.0;;0.0;2667.0;1672.0;0.0;1672.0;297.0;297.0;0.0;0.0;698.0;5.0;;693.0;0.0;;;;1859.0;1859.0;877.0;40.0;381.0;1198.0;-637.0;;;;;4120.0;3830.0;290.0;;;0.0;;;0.0;;0.0;0.0;11999.0;;;;;;1790.0;816.0;613.0;203.0;9.0;;9.0;;;;3147.0;55.0;-14.0;69.0;824.0;824.0;0.0;9.0;2259.0;1061.0;1198.0;;;100.0;100.0;;1745.0;;;;;;;1745.0;;1745.0;;4119.0;406.0;3697.0;;;16.0;;114.0;;;;;;;;0.0;0.0;;0.0;146.0;146.0;277.0;-131.0;0.0;0.0;0.0;13.0;;2126.0;;1849.0;1301.0;1024.0;1654.0;1377.0;821.0;544.0;836.0;559.0;722.0;445.0;;;445.0;563.0;7530.0;6967.0;563.0;0.0
