ID;Cijfersoort;PolitieregioS;Perioden;Aanwezig_1;BijnaAltijdGebruikt_2;Aanwezig_3;BijnaAltijdGebruikt_4;Aanwezig_5;BijnaAltijdGebruikt_6;Aanwezig_7;BijnaAltijdGebruikt_8;TechnoPreventieSomscore_9;SAvondsLichtBrandenBijAfwezigheid_10;FietsInBewaakteFietsenstalling_11;WaardevolleSpullenMeenemenUitAuto_12;WaardevolleSpullenThuisLaten_13;SocioPreventieSomscore_14;PreventieTotaalSomscore_15;TechnoPreventieSomscore_16;SocioPreventieSomscore_17
142;Betrouwbaarheidsmarge;Brabant-Noord (PO);2010;3.9;4.0;3.3;3.1;3.0;4.0;2.7;2.2;0.1;3.6;3.6;3.0;3.6;0.1;0.1;0.1;0.1
143;Betrouwbaarheidsmarge;Brabant-Noord (PO);2011;1.2;1.3;1.1;1.0;1.0;1.3;0.9;0.8;0.0;1.2;1.2;1.0;1.2;0.0;0.0;0.0;0.0
144;Betrouwbaarheidsmarge;Brabant-Zuid-Oost (PO);2009;1.6;1.8;1.4;1.3;1.3;1.7;1.3;1.2;0.0;1.8;1.8;1.5;1.8;0.0;0.1;0.0;0.0
145;Betrouwbaarheidsmarge;Brabant-Zuid-Oost (PO);2010;3.9;4.2;3.5;3.0;3.5;4.2;2.5;2.1;0.1;3.7;3.7;3.3;3.6;0.1;0.1;0.1;0.1
146;Betrouwbaarheidsmarge;Brabant-Zuid-Oost (PO);2011;2.1;2.3;2.0;2.0;1.6;2.2;1.6;1.2;0.0;2.2;2.2;1.9;2.2;0.1;0.1;0.0;0.1
147;Betrouwbaarheidsmarge;Limburg-Noord (PO);2009;3.0;3.1;3.2;3.1;2.3;3.0;2.4;2.0;0.1;2.9;2.9;2.5;2.9;0.1;0.1;0.1;0.1
148;Betrouwbaarheidsmarge;Limburg-Noord (PO);2010;3.7;4.0;4.2;4.0;2.9;4.1;3.0;2.7;0.1;3.6;3.6;3.1;3.6;0.1;0.1;0.1;0.1
149;Betrouwbaarheidsmarge;Limburg-Noord (PO);2011;3.4;3.6;3.7;3.6;2.6;3.6;2.5;2.2;0.1;3.2;3.2;2.9;3.2;0.1;0.1;0.1;0.1
150;Betrouwbaarheidsmarge;Limburg-zuid (PO);2009;3.8;4.0;4.0;4.0;3.0;4.0;2.4;2.0;0.1;3.6;3.6;3.0;3.6;0.1;0.1;0.1;0.1
151;Betrouwbaarheidsmarge;Limburg-zuid (PO);2010;4.0;4.2;4.1;3.9;3.7;4.2;2.7;2.3;0.1;3.7;3.7;3.2;3.7;0.1;0.1;0.1;0.1
152;Betrouwbaarheidsmarge;Limburg-zuid (PO);2011;4.0;4.1;3.9;3.8;3.5;4.1;2.6;2.3;0.1;3.6;3.5;3.0;3.5;0.1;0.1;0.1;0.1
153;Betrouwbaarheidsmarge;Flevoland (PO);2009;3.8;4.2;2.2;2.0;3.3;4.2;3.2;2.8;0.1;3.7;3.8;3.4;3.7;0.1;0.1;0.1;0.1
154;Betrouwbaarheidsmarge;Flevoland (PO);2010;4.1;4.3;2.0;1.8;3.3;4.2;2.5;2.1;0.1;3.6;3.6;3.2;3.6;0.1;0.1;0.1;0.1
155;Betrouwbaarheidsmarge;Flevoland (PO);2011;3.9;4.1;2.1;2.0;2.9;3.9;2.8;2.3;0.1;3.5;3.5;3.3;3.5;0.1;0.1;0.1;0.1
