ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
968;Total;J Information and communication;2008 4th quarter;269.0;268.0;292.0;291.0;122.0;116.0;7.0;7.0;0.0;0.0
969;Total;J Information and communication;2008;267.0;;290.0;;459.0;;9.0;11.0;;
970;Total;J Information and communication;2009 1st quarter;265.0;265.0;289.0;289.0;120.0;116.0;1.0;3.0;-3.0;-2.0
971;Total;J Information and communication;2009 2nd quarter;263.0;262.0;288.0;286.0;109.0;114.0;-5.0;-4.0;-3.0;-3.0
972;Total;J Information and communication;2009 3rd quarter;258.0;259.0;280.0;282.0;105.0;112.0;-8.0;-10.0;-3.0;-4.0
973;Total;J Information and communication;2009 4th quarter;262.0;257.0;285.0;280.0;120.0;114.0;-7.0;-6.0;-2.0;-3.0
974;Total;J Information and communication;2009;262.0;;286.0;;454.0;;-5.0;-4.0;;
975;Total;J Information and communication;2010 1st quarter;251.0;254.0;275.0;277.0;113.0;110.0;-14.0;-14.0;-3.0;-3.0
976;Total;J Information and communication;2010 2nd quarter;253.0;253.0;279.0;277.0;103.0;110.0;-9.0;-9.0;-1.0;0.0
977;Total;J Information and communication;2010 3rd quarter;253.0;254.0;277.0;279.0;107.0;114.0;-5.0;-3.0;1.0;2.0
978;Total;J Information and communication;2010 4th quarter;256.0;254.0;282.0;280.0;119.0;112.0;-6.0;-3.0;1.0;1.0
979;Total;J Information and communication;2010;253.0;;278.0;;442.0;;-9.0;-7.0;;
980;Total;J Information and communication;2011 1st quarter;256.0;257.0;282.0;284.0;117.0;113.0;5.0;7.0;3.0;4.0
981;Total;J Information and communication;2011 2nd quarter;258.0;258.0;285.0;285.0;108.0;113.0;4.0;7.0;1.0;1.0
982;Total;J Information and communication;2011 3rd quarter;259.0;257.0;287.0;285.0;110.0;116.0;6.0;10.0;0.0;0.0
983;Total;J Information and communication;2011 4th quarter;256.0;257.0;283.0;284.0;118.0;113.0;1.0;1.0;0.0;-1.0
984;Total;J Information and communication;2011;257.0;;284.0;;453.0;;4.0;6.0;;
985;Total;J Information and communication;2012 1st quarter;257.0;258.0;284.0;286.0;118.0;114.0;1.0;2.0;1.0;1.0
986;Total;J Information and communication;2012 2nd quarter;262.0;261.0;291.0;289.0;110.0;115.0;4.0;5.0;3.0;3.0
987;Total;J Information and communication;2012 3rd quarter;263.0;262.0;290.0;289.0;109.0;115.0;4.0;3.0;1.0;1.0
988;Total;J Information and communication;2012 4th quarter;261.0;262.0;288.0;289.0;119.0;115.0;5.0;5.0;0.0;0.0
989;Total;J Information and communication;2012;261.0;;288.0;;456.0;;3.0;4.0;;
990;Total;J Information and communication;2013 1st quarter;259.0;259.0;287.0;287.0;117.0;115.0;2.0;3.0;-3.0;-2.0
991;Total;J Information and communication;2013 2nd quarter;258.0;258.0;285.0;285.0;109.0;114.0;-4.0;-6.0;-2.0;-2.0
992;Total;J Information and communication;2013 3rd quarter;257.0;256.0;286.0;284.0;109.0;114.0;-6.0;-4.0;-1.0;-2.0
993;Total;J Information and communication;2013 4th quarter;256.0;255.0;282.0;282.0;118.0;114.0;-6.0;-6.0;-1.0;-2.0
994;Total;J Information and communication;2013;257.0;;285.0;;453.0;;-3.0;-3.0;;
995;Total;J Information and communication;2014 1st quarter;255.0;257.0;281.0;283.0;118.0;116.0;-4.0;-6.0;1.0;0.0
996;Total;J Information and communication;2014 2nd quarter;261.0;260.0;288.0;286.0;110.0;114.0;3.0;3.0;3.0;3.0
997;Total;J Information and communication;2014 3rd quarter;264.0;264.0;291.0;291.0;113.0;119.0;6.0;5.0;4.0;5.0
998;Total;J Information and communication;2014 4th quarter;270.0;267.0;299.0;296.0;125.0;120.0;15.0;17.0;3.0;5.0
999;Total;J Information and communication;2014;262.0;;289.0;;466.0;;5.0;5.0;;
1000;Total;J Information and communication;2015 1st quarter;268.0;269.0;297.0;298.0;123.0;120.0;13.0;16.0;2.0;2.0
1001;Total;J Information and communication;2015 2nd quarter;271.0;269.0;300.0;298.0;115.0;120.0;10.0;12.0;0.0;0.0
1002;Total;J Information and communication;2015 3rd quarter;268.0;270.0;298.0;299.0;113.0;120.0;5.0;7.0;0.0;0.0
1003;Total;J Information and communication;2015 4th quarter;271.0;271.0;299.0;300.0;128.0;122.0;1.0;1.0;2.0;1.0
1004;Total;J Information and communication;2015;270.0;;298.0;;479.0;;7.0;9.0;;
1005;Total;J Information and communication;2016 1st quarter;276.0;273.0;306.0;300.0;125.0;122.0;8.0;9.0;1.0;0.0
1006;Total;J Information and communication;2016 2nd quarter;277.0;276.0;305.0;304.0;118.0;122.0;6.0;5.0;3.0;3.0
1007;Total;J Information and communication;2016 3rd quarter;279.0;281.0;307.0;310.0;119.0;126.0;11.0;9.0;5.0;6.0
1008;Total;J Information and communication;2016 4th quarter;286.0;286.0;317.0;317.0;133.0;128.0;14.0;17.0;5.0;7.0
1009;Total;J Information and communication;2016;279.0;;309.0;;495.0;;10.0;10.0;;
1010;Total;J Information and communication;2017 1st quarter;292.0;291.0;323.0;323.0;133.0;128.0;16.0;17.0;5.0;6.0
1011;Total;J Information and communication;2017 2nd quarter;296.0;294.0;328.0;325.0;127.0;132.0;19.0;23.0;2.0;2.0
1012;Total;J Information and communication;2017 3rd quarter;292.0;295.0;321.0;324.0;120.0;129.0;13.0;14.0;1.0;0.0
1013;Total;J Information and communication;2017 4th quarter;294.0;295.0;323.0;324.0;131.0;128.0;8.0;6.0;1.0;0.0
1014;Total;J Information and communication;2017;293.0;;324.0;;511.0;;14.0;15.0;;
1015;Total;J Information and communication;2018 1st quarter;301.0;298.0;330.0;327.0;135.0;130.0;9.0;7.0;2.0;3.0
1016;Total;J Information and communication;2018 2nd quarter;303.0;302.0;335.0;333.0;127.0;131.0;8.0;7.0;5.0;6.0
1017;Total;J Information and communication;2018 3rd quarter;304.0;307.0;334.0;339.0;124.0;134.0;12.0;14.0;5.0;6.0
1018;Total;J Information and communication;2018 4th quarter;311.0;312.0;343.0;343.0;141.0;137.0;17.0;20.0;5.0;5.0
1019;Total;J Information and communication;2018;305.0;;336.0;;527.0;;11.0;12.0;;
1020;Total;J Information and communication;2019 1st quarter;319.0;315.0;350.0;345.0;143.0;139.0;18.0;19.0;3.0;2.0
1021;Total;J Information and communication;2019 2nd quarter;316.0;316.0;346.0;346.0;133.0;137.0;12.0;11.0;2.0;1.0
1022;Total;J Information and communication;2019 3rd quarter;314.0;317.0;342.0;346.0;129.0;137.0;10.0;8.0;1.0;0.0
1023;Total;J Information and communication;2019 4th quarter;320.0;318.0;351.0;347.0;145.0;140.0;9.0;8.0;1.0;1.0
1024;Total;J Information and communication;2019;317.0;;347.0;;549.0;;12.0;11.0;;
1025;Total;J Information and communication;2020 1st quarter;325.0;323.0;358.0;355.0;141.0;136.0;6.0;8.0;5.0;8.0
1026;Total;J Information and communication;2020 2nd quarter;321.0;322.0;353.0;354.0;136.0;143.0;5.0;7.0;-1.0;-1.0
1027;Total;J Information and communication;2020 3rd quarter;325.0;327.0;357.0;360.0;128.0;143.0;11.0;15.0;5.0;6.0
1028;Total;J Information and communication;2020 4th quarter;331.0;330.0;364.0;363.0;153.0;145.0;12.0;14.0;3.0;3.0
1029;Total;J Information and communication;2020;326.0;;358.0;;558.0;;9.0;11.0;;
1030;Total;J Information and communication;2021 1st quarter;334.0;335.0;367.0;366.0;152.0;146.0;9.0;10.0;5.0;4.0
1031;Total;J Information and communication;2021 2nd quarter;340.0;340.0;372.0;371.0;144.0;147.0;19.0;19.0;5.0;5.0
1032;Total;J Information and communication;2021 3rd quarter;343.0;345.0;374.0;377.0;129.0;142.0;18.0;17.0;5.0;6.0
1033;Total;J Information and communication;2021 4th quarter;351.0;350.0;383.0;382.0;157.0;147.0;19.0;19.0;5.0;5.0
1034;Total;J Information and communication;2021;342.0;;374.0;;582.0;;16.0;16.0;;
1035;Total;J Information and communication;2022 1st quarter;355.0;354.0;389.0;388.0;156.0;150.0;21.0;22.0;4.0;5.0
1036;Total;J Information and communication;2022 2nd quarter;360.0;361.0;396.0;395.0;147.0;151.0;20.0;24.0;7.0;7.0
1037;Total;J Information and communication;2022 3rd quarter;365.0;366.0;397.0;401.0;145.0;158.0;22.0;23.0;6.0;6.0
1038;Total;J Information and communication;2022 4th quarter;375.0;373.0;408.0;407.0;165.0;158.0;24.0;25.0;6.0;7.0
1039;Total;J Information and communication;2022;364.0;;398.0;;614.0;;22.0;24.0;;
1040;Total;J Information and communication;2023 1st quarter;376.0;376.0;414.0;413.0;167.0;159.0;20.0;25.0;4.0;5.0
1041;Total;J Information and communication;2023 2nd quarter;378.0;377.0;414.0;413.0;154.0;159.0;18.0;18.0;1.0;1.0
1042;Total;J Information and communication;2023 3rd quarter;374.0;375.0;408.0;411.0;146.0;159.0;9.0;11.0;-2.0;-3.0
1043;Total;J Information and communication;2023 4th quarter;374.0;372.0;407.0;406.0;162.0;157.0;-1.0;-1.0;-4.0;-5.0
1044;Total;J Information and communication;2023;375.0;;411.0;;629.0;;12.0;13.0;;
1045;Total;J Information and communication;2024 1st quarter;370.0;370.0;403.0;403.0;162.0;156.0;-6.0;-11.0;-2.0;-3.0
1046;Total;J Information and communication;2024 2nd quarter;367.0;371.0;404.0;405.0;152.0;156.0;-11.0;-9.0;1.0;2.0
1047;Total;J Information and communication;2024 3rd quarter;376.0;374.0;409.0;411.0;149.0;160.0;2.0;1.0;3.0;6.0
1048;Total;J Information and communication;2024 4th quarter;381.0;377.0;420.0;416.0;165.0;159.0;7.0;12.0;3.0;5.0
1049;Total;J Information and communication;2024;373.0;;409.0;;629.0;;-2.0;-2.0;;
1050;Total;K Financial institutions;1995 1st quarter;224.0;222.0;240.0;238.0;96.0;91.0;;;;
1051;Total;K Financial institutions;1995 2nd quarter;222.0;221.0;237.0;236.0;86.0;91.0;;;-2.0;-2.0
1052;Total;K Financial institutions;1995 3rd quarter;222.0;222.0;237.0;238.0;83.0;93.0;;;1.0;2.0
1053;Total;K Financial institutions;1995 4th quarter;221.0;224.0;236.0;239.0;101.0;94.0;;;2.0;2.0
1054;Total;K Financial institutions;1995;222.0;;238.0;;366.0;;;;;
1055;Total;K Financial institutions;1996 1st quarter;228.0;226.0;242.0;240.0;97.0;93.0;4.0;3.0;2.0;1.0
1056;Total;K Financial institutions;1996 2nd quarter;226.0;225.0;241.0;239.0;87.0;92.0;5.0;4.0;-1.0;-1.0
1057;Total;K Financial institutions;1996 3rd quarter;226.0;227.0;241.0;241.0;84.0;94.0;4.0;3.0;1.0;2.0
1058;Total;K Financial institutions;1996 4th quarter;226.0;229.0;240.0;243.0;102.0;95.0;5.0;4.0;2.0;2.0
1059;Total;K Financial institutions;1996;227.0;;241.0;;371.0;;5.0;3.0;;
1060;Total;K Financial institutions;1997 1st quarter;234.0;232.0;249.0;247.0;100.0;98.0;6.0;6.0;3.0;3.0
1061;Total;K Financial institutions;1997 2nd quarter;238.0;237.0;253.0;252.0;96.0;100.0;12.0;13.0;5.0;5.0
1062;Total;K Financial institutions;1997 3rd quarter;241.0;241.0;256.0;257.0;90.0;100.0;15.0;16.0;5.0;5.0
1063;Total;K Financial institutions;1997 4th quarter;242.0;245.0;258.0;261.0;110.0;102.0;16.0;17.0;4.0;4.0
1064;Total;K Financial institutions;1997;239.0;;254.0;;395.0;;12.0;13.0;;
1065;Total;K Financial institutions;1998 1st quarter;248.0;247.0;265.0;263.0;107.0;103.0;14.0;16.0;1.0;2.0
1066;Total;K Financial institutions;1998 2nd quarter;250.0;249.0;267.0;265.0;98.0;104.0;12.0;14.0;2.0;2.0
1067;Total;K Financial institutions;1998 3rd quarter;251.0;251.0;267.0;268.0;93.0;104.0;10.0;11.0;2.0;2.0
1068;Total;K Financial institutions;1998 4th quarter;250.0;253.0;267.0;270.0;112.0;103.0;8.0;9.0;3.0;2.0
1069;Total;K Financial institutions;1998;250.0;;266.0;;411.0;;11.0;12.0;;
1070;Total;K Financial institutions;1999 1st quarter;261.0;259.0;277.0;275.0;111.0;107.0;12.0;12.0;6.0;6.0
1071;Total;K Financial institutions;1999 2nd quarter;264.0;262.0;281.0;279.0;103.0;108.0;14.0;14.0;3.0;3.0
1072;Total;K Financial institutions;1999 3rd quarter;263.0;263.0;279.0;280.0;97.0;108.0;12.0;12.0;1.0;1.0
1073;Total;K Financial institutions;1999 4th quarter;260.0;263.0;276.0;279.0;119.0;109.0;10.0;10.0;0.0;0.0
1074;Total;K Financial institutions;1999;262.0;;278.0;;429.0;;12.0;12.0;;
1075;Total;K Financial institutions;2000 1st quarter;270.0;269.0;287.0;286.0;116.0;109.0;9.0;10.0;5.0;6.0
1076;Total;K Financial institutions;2000 2nd quarter;274.0;272.0;291.0;289.0;106.0;112.0;9.0;10.0;3.0;3.0
1077;Total;K Financial institutions;2000 3rd quarter;272.0;272.0;289.0;289.0;96.0;108.0;9.0;9.0;0.0;0.0
1078;Total;K Financial institutions;2000 4th quarter;268.0;271.0;286.0;288.0;115.0;109.0;8.0;9.0;-1.0;-1.0
1079;Total;K Financial institutions;2000;271.0;;288.0;;433.0;;9.0;10.0;;
1080;Total;K Financial institutions;2001 1st quarter;273.0;272.0;291.0;290.0;114.0;109.0;3.0;5.0;1.0;2.0
1081;Total;K Financial institutions;2001 2nd quarter;275.0;273.0;294.0;292.0;104.0;109.0;1.0;3.0;1.0;2.0
1082;Total;K Financial institutions;2001 3rd quarter;274.0;274.0;293.0;293.0;98.0;109.0;2.0;4.0;1.0;1.0
1083;Total;K Financial institutions;2001 4th quarter;271.0;273.0;290.0;292.0;117.0;109.0;3.0;4.0;-1.0;-1.0
1084;Total;K Financial institutions;2001;273.0;;292.0;;432.0;;2.0;4.0;;
1085;Total;K Financial institutions;2002 1st quarter;275.0;274.0;292.0;291.0;113.0;109.0;2.0;1.0;1.0;-1.0
1086;Total;K Financial institutions;2002 2nd quarter;273.0;274.0;290.0;290.0;102.0;108.0;-1.0;-4.0;0.0;0.0
1087;Total;K Financial institutions;2002 3rd quarter;274.0;274.0;290.0;290.0;98.0;109.0;0.0;-3.0;0.0;0.0
1088;Total;K Financial institutions;2002 4th quarter;274.0;275.0;289.0;290.0;116.0;108.0;3.0;-1.0;0.0;0.0
1089;Total;K Financial institutions;2002;274.0;;290.0;;429.0;;1.0;-2.0;;
1090;Total;K Financial institutions;2003 1st quarter;269.0;271.0;285.0;287.0;110.0;106.0;-6.0;-7.0;-3.0;-3.0
1091;Total;K Financial institutions;2003 2nd quarter;271.0;270.0;287.0;285.0;100.0;107.0;-2.0;-3.0;-2.0;-2.0
1092;Total;K Financial institutions;2003 3rd quarter;268.0;269.0;284.0;284.0;96.0;105.0;-6.0;-6.0;-1.0;-1.0
1093;Total;K Financial institutions;2003 4th quarter;268.0;268.0;284.0;284.0;112.0;104.0;-6.0;-5.0;0.0;0.0
1094;Total;K Financial institutions;2003;269.0;;285.0;;418.0;;-5.0;-5.0;;
1095;Total;K Financial institutions;2004 1st quarter;263.0;263.0;280.0;280.0;109.0;104.0;-7.0;-6.0;-6.0;-4.0
1096;Total;K Financial institutions;2004 2nd quarter;263.0;262.0;279.0;279.0;97.0;104.0;-9.0;-8.0;-1.0;-1.0
1097;Total;K Financial institutions;2004 3rd quarter;263.0;263.0;279.0;279.0;95.0;104.0;-5.0;-4.0;1.0;0.0
1098;Total;K Financial institutions;2004 4th quarter;262.0;263.0;278.0;279.0;113.0;103.0;-6.0;-6.0;0.0;0.0
1099;Total;K Financial institutions;2004;263.0;;279.0;;414.0;;-7.0;-6.0;;
1100;Total;K Financial institutions;2005 1st quarter;262.0;262.0;278.0;278.0;107.0;103.0;-1.0;-1.0;-1.0;-1.0
1101;Total;K Financial institutions;2005 2nd quarter;260.0;259.0;276.0;275.0;97.0;102.0;-3.0;-3.0;-3.0;-3.0
1102;Total;K Financial institutions;2005 3rd quarter;260.0;261.0;277.0;277.0;94.0;102.0;-3.0;-3.0;1.0;1.0
1103;Total;K Financial institutions;2005 4th quarter;260.0;260.0;275.0;276.0;108.0;102.0;-2.0;-3.0;0.0;-1.0
1104;Total;K Financial institutions;2005;261.0;;277.0;;407.0;;-2.0;-2.0;;
1105;Total;K Financial institutions;2006 1st quarter;272.0;271.0;288.0;288.0;115.0;108.0;9.0;10.0;11.0;12.0
1106;Total;K Financial institutions;2006 2nd quarter;271.0;270.0;287.0;287.0;99.0;106.0;11.0;11.0;-1.0;-2.0
1107;Total;K Financial institutions;2006 3rd quarter;269.0;270.0;286.0;286.0;97.0;106.0;9.0;9.0;0.0;-1.0
1108;Total;K Financial institutions;2006 4th quarter;269.0;269.0;286.0;286.0;111.0;106.0;9.0;10.0;0.0;0.0
1109;Total;K Financial institutions;2006;270.0;;287.0;;422.0;;9.0;10.0;;
1110;Total;K Financial institutions;2007 1st quarter;268.0;267.0;286.0;285.0;113.0;107.0;-3.0;-3.0;-2.0;-1.0
1111;Total;K Financial institutions;2007 2nd quarter;270.0;269.0;287.0;287.0;99.0;107.0;-1.0;0.0;2.0;2.0
1112;Total;K Financial institutions;2007 3rd quarter;270.0;270.0;287.0;287.0;98.0;107.0;1.0;1.0;1.0;0.0
1113;Total;K Financial institutions;2007 4th quarter;271.0;271.0;287.0;287.0;114.0;107.0;2.0;2.0;0.0;0.0
1114;Total;K Financial institutions;2007;270.0;;287.0;;423.0;;0.0;0.0;;
1115;Total;K Financial institutions;2008 1st quarter;267.0;267.0;283.0;284.0;110.0;106.0;-1.0;-3.0;-3.0;-3.0
1116;Total;K Financial institutions;2008 2nd quarter;267.0;265.0;282.0;282.0;99.0;105.0;-3.0;-5.0;-2.0;-2.0
1117;Total;K Financial institutions;2008 3rd quarter;261.0;263.0;278.0;278.0;97.0;104.0;-8.0;-9.0;-3.0;-3.0
1118;Total;K Financial institutions;2008 4th quarter;260.0;260.0;277.0;276.0;110.0;104.0;-10.0;-10.0;-3.0;-2.0
1119;Total;K Financial institutions;2008;264.0;;280.0;;415.0;;-6.0;-7.0;;
1120;Total;K Financial institutions;2009 1st quarter;265.0;264.0;279.0;280.0;109.0;105.0;-3.0;-4.0;4.0;4.0
1121;Total;K Financial institutions;2009 2nd quarter;262.0;260.0;277.0;276.0;95.0;103.0;-5.0;-6.0;-4.0;-5.0
1122;Total;K Financial institutions;2009 3rd quarter;257.0;258.0;272.0;272.0;96.0;102.0;-4.0;-6.0;-2.0;-3.0
1123;Total;K Financial institutions;2009 4th quarter;252.0;253.0;267.0;267.0;107.0;101.0;-8.0;-10.0;-5.0;-5.0
1124;Total;K Financial institutions;2009;259.0;;274.0;;407.0;;-5.0;-6.0;;
1125;Total;K Financial institutions;2010 1st quarter;256.0;255.0;266.0;267.0;103.0;99.0;-9.0;-14.0;2.0;0.0
1126;Total;K Financial institutions;2010 2nd quarter;255.0;254.0;267.0;266.0;91.0;99.0;-7.0;-9.0;-2.0;-1.0
1127;Total;K Financial institutions;2010 3rd quarter;251.0;252.0;265.0;265.0;94.0;99.0;-7.0;-7.0;-1.0;-1.0
1128;Total;K Financial institutions;2010 4th quarter;249.0;251.0;263.0;264.0;107.0;99.0;-3.0;-4.0;-2.0;-2.0
1129;Total;K Financial institutions;2010;253.0;;265.0;;394.0;;-6.0;-8.0;;
1130;Total;K Financial institutions;2011 1st quarter;253.0;250.0;265.0;264.0;104.0;99.0;-3.0;-1.0;-1.0;0.0
1131;Total;K Financial institutions;2011 2nd quarter;247.0;246.0;261.0;260.0;91.0;96.0;-8.0;-6.0;-4.0;-4.0
1132;Total;K Financial institutions;2011 3rd quarter;242.0;244.0;256.0;258.0;92.0;98.0;-9.0;-8.0;-2.0;-2.0
1133;Total;K Financial institutions;2011 4th quarter;243.0;245.0;258.0;258.0;102.0;97.0;-6.0;-4.0;1.0;0.0
1134;Total;K Financial institutions;2011;246.0;;260.0;;388.0;;-7.0;-5.0;;
1135;Total;K Financial institutions;2012 1st quarter;247.0;244.0;257.0;255.0;103.0;97.0;-5.0;-8.0;-1.0;-3.0
1136;Total;K Financial institutions;2012 2nd quarter;242.0;242.0;254.0;254.0;89.0;95.0;-4.0;-8.0;-2.0;-2.0
1137;Total;K Financial institutions;2012 3rd quarter;238.0;240.0;250.0;252.0;88.0;94.0;-4.0;-6.0;-2.0;-2.0
1138;Total;K Financial institutions;2012 4th quarter;239.0;239.0;252.0;251.0;98.0;94.0;-4.0;-6.0;-1.0;-1.0
1139;Total;K Financial institutions;2012;242.0;;253.0;;377.0;;-4.0;-7.0;;
1140;Total;K Financial institutions;2013 1st quarter;244.0;241.0;250.0;249.0;97.0;93.0;-4.0;-7.0;2.0;-2.0
1141;Total;K Financial institutions;2013 2nd quarter;238.0;238.0;247.0;247.0;88.0;94.0;-4.0;-7.0;-3.0;-2.0
1142;Total;K Financial institutions;2013 3rd quarter;234.0;235.0;245.0;245.0;88.0;93.0;-4.0;-6.0;-3.0;-2.0
1143;Total;K Financial institutions;2013 4th quarter;232.0;232.0;243.0;242.0;96.0;92.0;-8.0;-10.0;-3.0;-3.0
1144;Total;K Financial institutions;2013;237.0;;246.0;;368.0;;-5.0;-7.0;;
1145;Total;K Financial institutions;2014 1st quarter;233.0;230.0;239.0;238.0;95.0;92.0;-11.0;-11.0;-2.0;-4.0
1146;Total;K Financial institutions;2014 2nd quarter;229.0;229.0;238.0;237.0;85.0;89.0;-9.0;-9.0;-2.0;-1.0
1147;Total;K Financial institutions;2014 3rd quarter;225.0;227.0;235.0;237.0;86.0;92.0;-8.0;-9.0;-2.0;-1.0
1148;Total;K Financial institutions;2014 4th quarter;224.0;225.0;235.0;234.0;93.0;89.0;-8.0;-8.0;-2.0;-2.0
1149;Total;K Financial institutions;2014;228.0;;237.0;;359.0;;-9.0;-9.0;;
1150;Total;K Financial institutions;2015 1st quarter;225.0;223.0;234.0;233.0;92.0;89.0;-7.0;-5.0;-2.0;-1.0
1151;Total;K Financial institutions;2015 2nd quarter;221.0;221.0;230.0;230.0;82.0;88.0;-8.0;-7.0;-2.0;-3.0
1152;Total;K Financial institutions;2015 3rd quarter;217.0;220.0;226.0;228.0;82.0;87.0;-8.0;-10.0;-1.0;-2.0
1153;Total;K Financial institutions;2015 4th quarter;219.0;220.0;228.0;228.0;91.0;87.0;-5.0;-6.0;0.0;0.0
1154;Total;K Financial institutions;2015;221.0;;230.0;;347.0;;-7.0;-7.0;;
1155;Total;K Financial institutions;2016 1st quarter;221.0;218.0;230.0;228.0;90.0;87.0;-5.0;-4.0;-2.0;0.0
1156;Total;K Financial institutions;2016 2nd quarter;217.0;217.0;225.0;226.0;83.0;87.0;-4.0;-5.0;0.0;-1.0
1157;Total;K Financial institutions;2016 3rd quarter;214.0;216.0;222.0;224.0;80.0;85.0;-4.0;-4.0;-2.0;-3.0
1158;Total;K Financial institutions;2016 4th quarter;213.0;213.0;222.0;221.0;88.0;85.0;-6.0;-7.0;-2.0;-3.0
1159;Total;K Financial institutions;2016;216.0;;225.0;;340.0;;-5.0;-5.0;;
1160;Total;K Financial institutions;2017 1st quarter;211.0;209.0;219.0;218.0;89.0;84.0;-9.0;-10.0;-4.0;-3.0
1161;Total;K Financial institutions;2017 2nd quarter;207.0;207.0;216.0;215.0;79.0;83.0;-10.0;-10.0;-2.0;-3.0
1162;Total;K Financial institutions;2017 3rd quarter;204.0;206.0;211.0;213.0;77.0;82.0;-10.0;-10.0;-1.0;-2.0
1163;Total;K Financial institutions;2017 4th quarter;204.0;204.0;212.0;211.0;82.0;81.0;-9.0;-9.0;-2.0;-2.0
1164;Total;K Financial institutions;2017;207.0;;215.0;;327.0;;-10.0;-10.0;;
1165;Total;K Financial institutions;2018 1st quarter;206.0;204.0;214.0;213.0;86.0;82.0;-5.0;-5.0;0.0;2.0
1166;Total;K Financial institutions;2018 2nd quarter;202.0;202.0;211.0;210.0;77.0;81.0;-5.0;-5.0;-2.0;-3.0
1167;Total;K Financial institutions;2018 3rd quarter;199.0;201.0;208.0;209.0;75.0;80.0;-4.0;-4.0;-1.0;-1.0
1168;Total;K Financial institutions;2018 4th quarter;201.0;201.0;209.0;209.0;83.0;80.0;-3.0;-3.0;0.0;0.0
1169;Total;K Financial institutions;2018;202.0;;210.0;;320.0;;-5.0;-4.0;;
1170;Total;K Financial institutions;2019 1st quarter;202.0;200.0;210.0;208.0;82.0;80.0;-4.0;-4.0;-1.0;0.0
1171;Total;K Financial institutions;2019 2nd quarter;198.0;198.0;209.0;209.0;77.0;80.0;-4.0;-2.0;-2.0;0.0
1172;Total;K Financial institutions;2019 3rd quarter;197.0;198.0;208.0;209.0;76.0;81.0;-3.0;1.0;0.0;0.0
1173;Total;K Financial institutions;2019 4th quarter;199.0;199.0;211.0;211.0;83.0;81.0;-2.0;2.0;1.0;1.0
1174;Total;K Financial institutions;2019;199.0;;209.0;;319.0;;-3.0;-1.0;;
1175;Total;K Financial institutions;2020 1st quarter;208.0;207.0;212.0;211.0;80.0;77.0;6.0;2.0;7.0;1.0
1176;Total;K Financial institutions;2020 2nd quarter;205.0;204.0;212.0;211.0;80.0;85.0;7.0;3.0;-2.0;0.0
1177;Total;K Financial institutions;2020 3rd quarter;203.0;205.0;210.0;212.0;74.0;81.0;7.0;2.0;1.0;1.0
1178;Total;K Financial institutions;2020 4th quarter;205.0;205.0;213.0;212.0;87.0;83.0;6.0;2.0;0.0;0.0
1179;Total;K Financial institutions;2020;205.0;;212.0;;322.0;;6.0;3.0;;
1180;Total;K Financial institutions;2021 1st quarter;203.0;203.0;211.0;211.0;86.0;82.0;-5.0;-1.0;-2.0;-1.0
1181;Total;K Financial institutions;2021 2nd quarter;206.0;205.0;214.0;213.0;81.0;84.0;1.0;2.0;2.0;2.0
1182;Total;K Financial institutions;2021 3rd quarter;205.0;207.0;213.0;214.0;74.0;80.0;2.0;3.0;2.0;2.0
1183;Total;K Financial institutions;2021 4th quarter;208.0;208.0;215.0;216.0;88.0;83.0;2.0;3.0;1.0;1.0
1184;Total;K Financial institutions;2021;206.0;;213.0;;328.0;;0.0;2.0;;
1185;Total;K Financial institutions;2022 1st quarter;210.0;209.0;218.0;217.0;87.0;83.0;7.0;7.0;2.0;2.0
1186;Total;K Financial institutions;2022 2nd quarter;212.0;211.0;220.0;219.0;81.0;84.0;6.0;6.0;2.0;2.0
1187;Total;K Financial institutions;2022 3rd quarter;211.0;212.0;219.0;220.0;79.0;86.0;6.0;6.0;1.0;1.0
1188;Total;K Financial institutions;2022 4th quarter;213.0;213.0;221.0;221.0;88.0;85.0;5.0;6.0;1.0;1.0
1189;Total;K Financial institutions;2022;211.0;;220.0;;335.0;;6.0;6.0;;
1190;Total;K Financial institutions;2023 1st quarter;216.0;215.0;225.0;223.0;91.0;86.0;5.0;6.0;2.0;2.0
1191;Total;K Financial institutions;2023 2nd quarter;217.0;217.0;226.0;225.0;83.0;86.0;6.0;6.0;2.0;1.0
1192;Total;K Financial institutions;2023 3rd quarter;217.0;218.0;224.0;226.0;80.0;87.0;5.0;5.0;1.0;1.0
1193;Total;K Financial institutions;2023 4th quarter;219.0;219.0;227.0;227.0;89.0;87.0;6.0;6.0;1.0;1.0
1194;Total;K Financial institutions;2023;217.0;;225.0;;342.0;;6.0;6.0;;
1195;Total;K Financial institutions;2024 1st quarter;220.0;220.0;229.0;228.0;91.0;87.0;4.0;5.0;1.0;1.0
1196;Total;K Financial institutions;2024 2nd quarter;222.0;221.0;231.0;230.0;85.0;88.0;5.0;5.0;1.0;1.0
1197;Total;K Financial institutions;2024 3rd quarter;221.0;222.0;229.0;230.0;82.0;88.0;4.0;4.0;1.0;1.0
