ID;Countries;Periods;GDPTotal_1;GDPPerCapita_2;ExportOfGoodsAndServices_3;ExportOfHighTechGoods_4;ForeignDirectInvestments_5;ValueAddedInServices_6;PopulationSize_7
345;Lithuania;1995;7905.0;2100.0;47.0;4.0;73.0;58.0;3.6
346;Lithuania;1996;8427.0;2290.0;50.0;3.0;152.0;58.0;3.6
347;Lithuania;1997;10129.0;2590.0;52.0;4.0;355.0;59.0;3.6
348;Lithuania;1998;11254.0;2850.0;45.0;3.0;926.0;60.0;3.6
349;Lithuania;1999;10971.0;2980.0;39.0;3.0;486.0;63.0;3.5
350;Lithuania;2000;11434.0;3200.0;45.0;4.0;379.0;64.0;3.5
351;Lithuania;2001;12159.0;3420.0;50.0;5.0;446.0;64.0;3.5
352;Lithuania;2002;14164.0;3760.0;53.0;4.0;712.0;65.0;3.5
353;Lithuania;2003;18609.0;4600.0;51.0;5.0;179.0;64.0;3.5
354;Lithuania;2004;22552.0;5870.0;52.0;5.0;773.0;62.0;3.4
355;Lithuania;2005;25962.0;7280.0;58.0;6.0;1032.0;62.0;3.4
356;Lithuania;2006;30089.0;8410.0;59.0;8.0;1840.0;63.0;3.4
357;Lithuania;2007;39104.0;9980.0;54.0;11.0;2017.0;64.0;3.4
358;Lithuania;2008;47129.0;11890.0;60.0;11.0;1770.0;64.0;3.4
359;Lithuania;2009;37206.0;11410.0;;;307.0;;3.3
360;Luxembourg;1990;12671.0;29530.0;102.0;;8047.0;71.0;0.4
361;Luxembourg;1991;13717.0;33160.0;101.0;;9363.0;74.0;0.4
362;Luxembourg;1992;15387.0;36760.0;100.0;;11286.0;75.0;0.4
363;Luxembourg;1993;15791.0;37760.0;101.0;;10750.0;77.0;0.4
364;Luxembourg;1994;17552.0;38970.0;104.0;;8514.0;77.0;0.4
365;Luxembourg;1995;20676.0;43140.0;106.0;;10689.0;77.0;0.4
366;Luxembourg;1996;20582.0;46010.0;111.0;;14064.0;79.0;0.4
367;Luxembourg;1997;18517.0;47980.0;121.0;;11998.0;78.0;0.4
368;Luxembourg;1998;19354.0;43820.0;128.0;;22691.0;78.0;0.4
369;Luxembourg;1999;21188.0;43450.0;134.0;15.0;119693.0;80.0;0.4
370;Luxembourg;2000;20270.0;43660.0;150.0;17.0;88739.0;81.0;0.4
371;Luxembourg;2001;20199.0;42900.0;147.0;19.0;88203.0;81.0;0.4
372;Luxembourg;2002;22579.0;39910.0;141.0;15.0;118512.0;81.0;0.4
373;Luxembourg;2003;29158.0;42090.0;137.0;12.0;89784.0;81.0;0.5
374;Luxembourg;2004;34091.0;58630.0;152.0;10.0;80098.0;82.0;0.5
375;Luxembourg;2005;37659.0;69290.0;156.0;12.0;114066.0;83.0;0.5
376;Luxembourg;2006;42841.0;67720.0;169.0;12.0;129879.0;84.0;0.5
377;Luxembourg;2007;51278.0;78770.0;176.0;9.0;192865.0;83.0;0.5
378;Luxembourg;2008;57639.0;81970.0;180.0;7.0;99688.0;85.0;0.5
379;Luxembourg;2009;52296.0;76710.0;169.0;;194844.0;86.0;0.5
380;Malta;1990;2312.0;6780.0;85.0;45.0;46.0;58.0;0.4
381;Malta;1991;2497.0;7220.0;87.0;52.0;77.0;58.0;0.4
382;Malta;1992;2743.0;7940.0;92.0;56.0;40.0;61.0;0.4
383;Malta;1993;2460.0;7800.0;95.0;52.0;56.0;62.0;0.4
384;Malta;1994;2724.0;7830.0;97.0;60.0;152.0;;0.4
385;Malta;1995;3246.0;8240.0;94.0;;129.0;;0.4
386;Malta;1996;3333.0;8810.0;87.0;59.0;293.0;;0.4
387;Malta;1997;3340.0;9140.0;85.0;56.0;82.0;;0.4
388;Malta;1998;3509.0;8790.0;88.0;60.0;283.0;;0.4
389;Malta;1999;3646.0;9270.0;91.0;62.0;857.0;;0.4
390;Malta;2000;3893.0;9670.0;92.0;72.0;601.0;;0.4
391;Malta;2001;3850.0;9800.0;82.0;62.0;240.0;;0.4
392;Malta;2002;4240.0;10140.0;84.0;59.0;-430.0;;0.4
393;Malta;2003;5001.0;11050.0;81.0;60.0;1007.0;;0.4
394;Malta;2004;5600.0;12790.0;79.0;58.0;395.0;;0.4
395;Malta;2005;5919.0;14180.0;78.0;52.0;679.0;;0.4
396;Malta;2006;6394.0;15160.0;87.0;58.0;1873.0;;0.4
397;Malta;2007;7449.0;16690.0;88.0;53.0;1015.0;;0.4
398;Malta;2008;;;;50.0;923.0;;0.4
399;Malta;2009;;;;;882.0;;0.4
400;The Netherlands;1990;294871.0;18820.0;56.0;16.0;10676.0;66.0;15.0
401;The Netherlands;1991;303365.0;19700.0;57.0;18.0;5624.0;67.0;15.1
402;The Netherlands;1992;336214.0;21790.0;55.0;19.0;6187.0;68.0;15.2
403;The Netherlands;1993;327495.0;22270.0;55.0;23.0;6380.0;69.0;15.3
404;The Netherlands;1994;351190.0;23500.0;57.0;22.0;7127.0;69.0;15.4
405;The Netherlands;1995;418969.0;25630.0;59.0;24.0;12206.0;69.0;15.5
406;The Netherlands;1996;417980.0;27370.0;60.0;27.0;16604.0;70.0;15.5
407;The Netherlands;1997;386534.0;27720.0;63.0;27.0;11033.0;71.0;15.6
408;The Netherlands;1998;402648.0;25820.0;63.0;30.0;37619.0;72.0;15.7
409;The Netherlands;1999;411456.0;26260.0;63.0;33.0;41168.0;73.0;15.8
410;The Netherlands;2000;385075.0;26580.0;70.0;35.0;63119.0;72.0;15.9
411;The Netherlands;2001;400654.0;25560.0;67.0;32.0;51980.0;73.0;16.0
412;The Netherlands;2002;437807.0;25290.0;64.0;28.0;25457.0;74.0;16.1
413;The Netherlands;2003;538313.0;28800.0;63.0;31.0;20441.0;74.0;16.2
414;The Netherlands;2004;609890.0;35430.0;66.0;30.0;4379.0;74.0;16.3
415;The Netherlands;2005;638471.0;39870.0;70.0;31.0;47328.0;74.0;16.3
416;The Netherlands;2006;677692.0;43400.0;73.0;29.0;7054.0;73.0;16.3
417;The Netherlands;2007;778312.0;46040.0;75.0;26.0;120403.0;73.0;16.4
418;The Netherlands;2008;872865.0;48520.0;77.0;22.0;5691.0;73.0;16.4
419;The Netherlands;2009;792128.0;48460.0;69.0;;33287.0;74.0;16.5
420;Norway;1990;117624.0;26010.0;40.0;12.0;1003.0;63.0;4.2
421;Norway;1991;119657.0;27310.0;40.0;12.0;-398.0;64.0;4.3
422;Norway;1992;128299.0;30190.0;38.0;13.0;-668.0;64.0;4.3
423;Norway;1993;118168.0;29610.0;38.0;16.0;992.0;65.0;4.3
424;Norway;1994;124519.0;30230.0;38.0;15.0;2736.0;64.0;4.3
425;Norway;1995;148920.0;32030.0;38.0;14.0;2393.0;63.0;4.4
426;Norway;1996;160158.0;35080.0;41.0;15.0;3179.0;61.0;4.4
427;Norway;1997;158223.0;37190.0;41.0;15.0;3886.0;60.0;4.4
428;Norway;1998;151139.0;35400.0;38.0;16.0;4354.0;65.0;4.4
429;Norway;1999;159045.0;34870.0;39.0;16.0;6776.0;63.0;4.5
430;Norway;2000;168288.0;35870.0;47.0;17.0;6962.0;56.0;4.5
431;Norway;2001;170923.0;37530.0;46.0;19.0;2104.0;58.0;4.5
432;Norway;2002;191927.0;39200.0;41.0;22.0;657.0;60.0;4.5
433;Norway;2003;225110.0;44030.0;40.0;19.0;3550.0;61.0;4.6
434;Norway;2004;258580.0;53100.0;42.0;18.0;2544.0;59.0;4.6
435;Norway;2005;302013.0;62300.0;45.0;17.0;5209.0;56.0;4.6
436;Norway;2006;336732.0;68360.0;46.0;19.0;6617.0;54.0;4.7
437;Norway;2007;387536.0;76200.0;46.0;18.0;3788.0;56.0;4.7
438;Norway;2008;450920.0;84840.0;48.0;20.0;7252.0;54.0;4.8
439;Norway;2009;381766.0;84640.0;42.0;;11556.0;59.0;4.8
440;Poland;1990;58976.0;;29.0;;89.0;42.0;38.1
441;Poland;1991;76427.0;;24.0;;291.0;46.0;38.2
442;Poland;1992;84325.0;1910.0;24.0;4.0;678.0;52.0;38.4
443;Poland;1993;85851.0;2270.0;23.0;3.0;1715.0;53.0;38.5
444;Poland;1994;98516.0;2450.0;24.0;3.0;1875.0;55.0;38.5
445;Poland;1995;139062.0;2970.0;23.0;3.0;3659.0;57.0;38.6
446;Poland;1996;156684.0;3620.0;22.0;3.0;4498.0;59.0;38.6
447;Poland;1997;157154.0;4180.0;23.0;3.0;4908.0;60.0;38.7
448;Poland;1998;172902.0;4310.0;26.0;3.0;6365.0;61.0;38.7
449;Poland;1999;167958.0;4390.0;24.0;3.0;7270.0;62.0;38.7
450;Poland;2000;171276.0;4590.0;27.0;3.0;9343.0;63.0;38.5
451;Poland;2001;190421.0;4670.0;27.0;3.0;5714.0;65.0;38.2
452;Poland;2002;198180.0;4850.0;29.0;3.0;4131.0;67.0;38.2
453;Poland;2003;216801.0;5470.0;33.0;3.0;4589.0;66.0;38.2
454;Poland;2004;252769.0;6240.0;37.0;3.0;12716.0;64.0;38.2
455;Poland;2005;303912.0;7270.0;37.0;4.0;10309.0;65.0;38.2
456;Poland;2006;341670.0;8340.0;40.0;4.0;19876.0;65.0;38.1
457;Poland;2007;425321.0;9800.0;41.0;4.0;23651.0;64.0;38.1
458;Poland;2008;528324.0;11820.0;40.0;5.0;14849.0;64.0;38.1
459;Poland;2009;430076.0;12260.0;39.0;;11546.0;66.0;38.1
460;Portugal;1990;77579.0;7050.0;30.0;4.0;2610.0;63.0;9.9
461;Portugal;1991;87947.0;8040.0;27.0;4.0;2448.0;65.0;9.9
462;Portugal;1992;106041.0;9660.0;25.0;4.0;1873.0;66.0;10.0
463;Portugal;1993;93640.0;9890.0;24.0;3.0;1534.0;67.0;10.0
464;Portugal;1994;98251.0;10240.0;26.0;4.0;1270.0;66.0;10.0
465;Portugal;1995;116419.0;10990.0;27.0;5.0;685.0;66.0;10.0
466;Portugal;1996;120986.0;11880.0;27.0;4.0;1347.0;65.0;10.1
467;Portugal;1997;115473.0;12170.0;28.0;4.0;2357.0;66.0;10.1
468;Portugal;1998;122556.0;12040.0;28.0;4.0;3004.0;67.0;10.1
469;Portugal;1999;126113.0;12110.0;27.0;5.0;1168.0;67.0;10.2
470;Portugal;2000;117014.0;12070.0;29.0;6.0;6682.0;68.0;10.2
471;Portugal;2001;120033.0;11690.0;28.0;8.0;6174.0;69.0;10.3
472;Portugal;2002;131886.0;11640.0;28.0;7.0;1755.0;70.0;10.4
473;Portugal;2003;161416.0;13070.0;28.0;9.0;7255.0;71.0;10.4
474;Portugal;2004;184795.0;15800.0;28.0;8.0;1661.0;71.0;10.5
475;Portugal;2005;191176.0;17990.0;28.0;9.0;4059.0;72.0;10.5
476;Portugal;2006;201060.0;18650.0;31.0;9.0;10969.0;72.0;10.6
477;Portugal;2007;230945.0;19910.0;32.0;9.0;2970.0;73.0;10.6
478;Portugal;2008;251833.0;21530.0;32.0;8.0;4681.0;73.0;10.6
479;Portugal;2009;232874.0;21910.0;28.0;;2808.0;75.0;10.6
480;Romania;1990;38299.0;1710.0;17.0;2.0;0.0;26.0;23.2
481;Romania;1991;28847.0;1430.0;18.0;1.0;40.0;35.0;23.2
482;Romania;1992;25090.0;1240.0;28.0;1.0;77.0;37.0;22.8
483;Romania;1993;26361.0;1190.0;23.0;1.0;94.0;35.0;22.8
484;Romania;1994;30073.0;1270.0;25.0;2.0;341.0;32.0;22.7
485;Romania;1995;35477.0;1470.0;28.0;2.0;419.0;36.0;22.7
486;Romania;1996;35334.0;1590.0;28.0;2.0;263.0;37.0;22.6
487;Romania;1997;35286.0;1520.0;29.0;1.0;1215.0;41.0;22.6
488;Romania;1998;42115.0;1520.0;23.0;2.0;2031.0;48.0;22.5
489;Romania;1999;35592.0;1580.0;28.0;3.0;1041.0;51.0;22.5
490;Romania;2000;37053.0;1690.0;33.0;6.0;1037.0;51.0;22.4
491;Romania;2001;40181.0;1750.0;33.0;6.0;1157.0;48.0;22.1
492;Romania;2002;45825.0;1930.0;35.0;3.0;1144.0;49.0;21.8
493;Romania;2003;59507.0;2310.0;35.0;4.0;1844.0;52.0;21.7
494;Romania;2004;75489.0;3010.0;36.0;3.0;6443.0;51.0;21.7
495;Romania;2005;98913.0;3920.0;33.0;3.0;6482.0;55.0;21.6
496;Romania;2006;122642.0;4870.0;30.0;4.0;11393.0;52.0;21.6
497;Romania;2007;169282.0;6430.0;31.0;4.0;9925.0;56.0;21.5
498;Romania;2008;200071.0;8290.0;31.0;7.0;13883.0;68.0;21.5
499;Romania;2009;161110.0;8330.0;33.0;;6310.0;67.0;21.5
500;Russian Federation;1990;516814.0;;18.0;;;35.0;148.3
501;Russian Federation;1991;509382.0;3420.0;13.0;;;38.0;148.6
502;Russian Federation;1992;460205.0;3070.0;62.0;;1161.0;50.0;148.7
503;Russian Federation;1993;435060.0;2900.0;38.0;;1211.0;47.0;148.5
504;Russian Federation;1994;395087.0;2650.0;28.0;;690.0;49.0;148.3
505;Russian Federation;1995;395528.0;2650.0;29.0;;2065.0;56.0;148.1
506;Russian Federation;1996;391721.0;2610.0;26.0;9.0;2579.0;54.0;147.7
507;Russian Federation;1997;404927.0;2660.0;25.0;9.0;4865.0;56.0;147.3
508;Russian Federation;1998;270953.0;2140.0;31.0;12.0;2761.0;57.0;146.9
509;Russian Federation;1999;195906.0;1760.0;43.0;15.0;3309.0;55.0;146.3
510;Russian Federation;2000;259708.0;1710.0;44.0;17.0;2714.0;56.0;146.3
511;Russian Federation;2001;306603.0;1780.0;37.0;13.0;2748.0;58.0;145.9
512;Russian Federation;2002;345110.0;2100.0;35.0;20.0;3461.0;61.0;145.3
513;Russian Federation;2003;430348.0;2590.0;35.0;19.0;7958.0;61.0;144.6
514;Russian Federation;2004;591017.0;3410.0;34.0;13.0;15444.0;58.0;143.8
515;Russian Federation;2005;764001.0;4460.0;35.0;8.0;12886.0;57.0;143.2
516;Russian Federation;2006;989931.0;5820.0;34.0;8.0;29701.0;58.0;142.5
517;Russian Federation;2007;1299706.0;7590.0;30.0;7.0;55073.0;59.0;142.1
518;Russian Federation;2008;1666951.0;9640.0;31.0;7.0;75002.0;60.0;142.0
519;Russian Federation;2009;1231893.0;9340.0;28.0;;36751.0;62.0;141.9
520;Slovak Republic;1990;11716.0;2060.0;27.0;;;33.0;5.3
521;Slovak Republic;1991;13119.0;1980.0;46.0;;;34.0;5.3
522;Slovak Republic;1992;14271.0;2300.0;70.0;;;57.0;5.3
523;Slovak Republic;1993;16251.0;2680.0;56.0;;199.0;61.0;5.3
524;Slovak Republic;1994;19833.0;3280.0;59.0;5.0;270.0;60.0;5.3
525;Slovak Republic;1995;25240.0;4120.0;58.0;4.0;236.0;56.0;5.4
526;Slovak Republic;1996;27268.0;4910.0;53.0;4.0;351.0;55.0;5.4
527;Slovak Republic;1997;27022.0;5260.0;56.0;4.0;174.0;59.0;5.4
528;Slovak Republic;1998;29258.0;5260.0;59.0;4.0;562.0;60.0;5.4
529;Slovak Republic;1999;29925.0;5220.0;61.0;4.0;354.0;60.0;5.4
530;Slovak Republic;2000;28701.0;5370.0;71.0;4.0;2052.0;59.0;5.4
531;Slovak Republic;2001;30296.0;5550.0;73.0;4.0;;60.0;5.4
532;Slovak Republic;2002;34613.0;5840.0;71.0;3.0;4104.0;61.0;5.4
533;Slovak Republic;2003;45804.0;7120.0;76.0;4.0;559.0;60.0;5.4
534;Slovak Republic;2004;56032.0;9070.0;75.0;5.0;3037.0;59.0;5.4
535;Slovak Republic;2005;61286.0;10880.0;76.0;7.0;2411.0;60.0;5.4
536;Slovak Republic;2006;69057.0;12470.0;84.0;7.0;4167.0;57.0;5.4
537;Slovak Republic;2007;84242.0;14270.0;87.0;5.0;3363.0;58.0;5.4
538;Slovak Republic;2008;98464.0;16590.0;83.0;5.0;3231.0;59.0;5.4
539;Slovak Republic;2009;87642.0;16130.0;99.0;;-31.0;63.0;5.4
540;Slovenia;1990;17382.0;;91.0;;;52.0;2.0
541;Slovenia;1991;12673.0;;84.0;;;49.0;2.0
542;Slovenia;1992;12523.0;6790.0;63.0;3.0;111.0;53.0;2.0
543;Slovenia;1993;12673.0;6660.0;59.0;3.0;113.0;56.0;2.0
544;Slovenia;1994;14386.0;7260.0;59.0;;117.0;55.0;2.0
545;Slovenia;1995;20814.0;8500.0;50.0;3.0;150.0;60.0;2.0
546;Slovenia;1996;21008.0;9910.0;50.0;4.0;173.0;60.0;2.0
547;Slovenia;1997;20272.0;11020.0;52.0;4.0;335.0;60.0;2.0
548;Slovenia;1998;21593.0;10790.0;51.0;4.0;216.0;60.0;2.0
549;Slovenia;1999;22158.0;11090.0;48.0;4.0;107.0;61.0;2.0
550;Slovenia;2000;19888.0;11090.0;54.0;5.0;136.0;61.0;2.0
551;Slovenia;2001;20390.0;10740.0;55.0;5.0;503.0;61.0;2.0
552;Slovenia;2002;23070.0;10750.0;55.0;5.0;1660.0;62.0;2.0
553;Slovenia;2003;29058.0;12420.0;54.0;6.0;302.0;62.0;2.0
554;Slovenia;2004;33724.0;15340.0;58.0;6.0;831.0;63.0;2.0
555;Slovenia;2005;35752.0;18080.0;62.0;5.0;540.0;63.0;2.0
556;Slovenia;2006;38952.0;19580.0;67.0;5.0;649.0;63.0;2.0
557;Slovenia;2007;47315.0;21530.0;70.0;5.0;1531.0;63.0;2.0
558;Slovenia;2008;54395.0;24280.0;68.0;6.0;1937.0;64.0;2.0
559;Slovenia;2009;48477.0;23520.0;59.0;;-579.0;;2.0
560;Spain;1990;520968.0;11890.0;16.0;6.0;13984.0;61.0;38.8
561;Spain;1991;560396.0;13340.0;16.0;8.0;12493.0;62.0;38.9
562;Spain;1992;612584.0;15220.0;17.0;7.0;13276.0;64.0;39.1
563;Spain;1993;509819.0;14670.0;18.0;8.0;9681.0;66.0;39.2
564;Spain;1994;515146.0;14180.0;21.0;8.0;9216.0;66.0;39.3
565;Spain;1995;596751.0;14550.0;22.0;7.0;8086.0;66.0;39.4
566;Spain;1996;622429.0;15300.0;24.0;7.0;9623.0;66.0;39.5
567;Spain;1997;572638.0;15580.0;26.0;7.0;8937.0;66.0;39.6
568;Spain;1998;600839.0;15220.0;27.0;7.0;14282.0;66.0;39.7
569;Spain;1999;617880.0;15230.0;27.0;8.0;18523.0;66.0;39.9
570;Spain;2000;580673.0;15420.0;29.0;8.0;38835.0;66.0;40.3
571;Spain;2001;609108.0;15070.0;29.0;8.0;28164.0;67.0;40.7
572;Spain;2002;686247.0;15120.0;27.0;7.0;39993.0;67.0;41.3
573;Spain;2003;883667.0;17570.0;26.0;7.0;25607.0;67.0;42.0
574;Spain;2004;1044299.0;21590.0;26.0;7.0;24792.0;67.0;42.7
575;Spain;2005;1130170.0;25450.0;26.0;7.0;24573.0;67.0;43.4
576;Spain;2006;1234768.0;27470.0;26.0;6.0;31172.0;67.0;44.1
577;Spain;2007;1440837.0;29410.0;27.0;5.0;66682.0;68.0;44.9
578;Spain;2008;1594466.0;31790.0;26.0;;74226.0;69.0;45.6
579;Spain;2009;1460250.0;32120.0;23.0;;6451.0;71.0;46.0
580;Sweden;1990;244458.0;26360.0;30.0;13.0;1982.0;65.0;8.6
581;Sweden;1991;257867.0;27620.0;28.0;14.0;6351.0;67.0;8.6
582;Sweden;1992;267145.0;29710.0;28.0;14.0;-5.0;69.0;8.7
583;Sweden;1993;202038.0;26860.0;33.0;13.0;3705.0;69.0;8.7
584;Sweden;1994;217546.0;26450.0;36.0;13.0;6269.0;68.0;8.8
585;Sweden;1995;253680.0;26760.0;40.0;16.0;14939.0;66.0;8.8
586;Sweden;1996;276456.0;28970.0;39.0;18.0;5492.0;68.0;8.8
587;Sweden;1997;253178.0;29780.0;42.0;19.0;10271.0;68.0;8.8
588;Sweden;1998;254723.0;29510.0;43.0;20.0;19413.0;68.0;8.9
589;Sweden;1999;258814.0;29360.0;43.0;21.0;59386.0;69.0;8.9
590;Sweden;2000;247260.0;29500.0;47.0;25.0;22125.0;69.0;8.9
591;Sweden;2001;227359.0;27680.0;46.0;17.0;13085.0;70.0;8.9
592;Sweden;2002;250961.0;27190.0;44.0;18.0;11709.0;70.0;8.9
593;Sweden;2003;314713.0;30690.0;44.0;16.0;3268.0;70.0;9.0
594;Sweden;2004;362090.0;37190.0;46.0;17.0;10957.0;70.0;9.0
595;Sweden;2005;370580.0;42940.0;48.0;17.0;10018.0;71.0;9.0
596;Sweden;2006;399076.0;45690.0;51.0;16.0;26865.0;70.0;9.1
597;Sweden;2007;462513.0;48900.0;52.0;16.0;27219.0;70.0;9.1
598;Sweden;2008;487576.0;52440.0;53.0;16.0;38815.0;71.0;9.2
599;Sweden;2009;406072.0;48840.0;49.0;;11538.0;73.0;9.3
600;Switserland;1990;238213.0;34390.0;36.0;12.0;5545.0;65.0;6.7
601;Switserland;1991;241002.0;34840.0;35.0;12.0;2839.0;66.0;6.8
602;Switserland;1992;250982.0;37960.0;36.0;13.0;1128.0;67.0;6.9
603;Switserland;1993;244090.0;37840.0;37.0;12.0;1707.0;68.0;6.9
604;Switserland;1994;270221.0;38810.0;36.0;13.0;3683.0;67.0;7.0
605;Switserland;1995;315940.0;42070.0;36.0;14.0;4158.0;68.0;7.0
606;Switserland;1996;304752.0;44840.0;37.0;15.0;4373.0;69.0;7.1
607;Switserland;1997;264584.0;44530.0;40.0;15.0;7306.0;70.0;7.1
608;Switserland;1998;272632.0;41620.0;41.0;16.0;9649.0;70.0;7.1
609;Switserland;1999;268212.0;40020.0;42.0;19.0;12426.0;70.0;7.1
610;Switserland;2000;249919.0;40280.0;46.0;20.0;19764.0;71.0;7.2
611;Switserland;2001;254990.0;37790.0;46.0;20.0;9392.0;71.0;7.2
612;Switserland;2002;278621.0;36740.0;44.0;21.0;6785.0;71.0;7.3
613;Switserland;2003;325040.0;42330.0;44.0;22.0;17471.0;72.0;7.3
614;Switserland;2004;362991.0;49930.0;46.0;22.0;1856.0;72.0;7.4
615;Switserland;2005;372476.0;56870.0;49.0;22.0;-525.0;72.0;7.4
616;Switserland;2006;391234.0;58300.0;52.0;22.0;32321.0;71.0;7.5
617;Switserland;2007;434117.0;57030.0;56.0;22.0;44569.0;71.0;7.6
618;Switserland;2008;502447.0;56770.0;56.0;23.0;12439.0;71.0;7.6
619;Switserland;2009;491924.0;65430.0;52.0;;24803.0;72.0;7.7
620;Turkey;1990;150676.0;2220.0;13.0;1.0;684.0;50.0;56.1
621;Turkey;1991;151041.0;2490.0;14.0;1.0;810.0;52.0;57.1
622;Turkey;1992;159095.0;2830.0;14.0;1.0;844.0;52.0;58.1
623;Turkey;1993;180422.0;3020.0;14.0;1.0;636.0;53.0;59.1
624;Turkey;1994;130690.0;2570.0;21.0;2.0;608.0;51.0;60.2
625;Turkey;1995;169486.0;2720.0;20.0;1.0;885.0;50.0;61.2
626;Turkey;1996;181476.0;2790.0;22.0;2.0;722.0;51.0;62.3
627;Turkey;1997;189835.0;3040.0;25.0;2.0;805.0;53.0;63.3
628;Turkey;1998;269287.0;3250.0;21.0;2.0;940.0;51.0;64.4
629;Turkey;1999;249751.0;3360.0;19.0;4.0;783.0;55.0;65.4
630;Turkey;2000;266568.0;3990.0;20.0;5.0;982.0;57.0;66.5
631;Turkey;2001;196005.0;3310.0;27.0;4.0;3352.0;60.0;67.4
632;Turkey;2002;232535.0;3310.0;25.0;2.0;1082.0;60.0;68.4
633;Turkey;2003;303005.0;3620.0;23.0;2.0;1702.0;60.0;69.3
634;Turkey;2004;392166.0;4820.0;24.0;2.0;2785.0;61.0;70.3
635;Turkey;2005;482980.0;6200.0;22.0;2.0;10031.0;61.0;71.2
636;Turkey;2006;530900.0;7160.0;23.0;2.0;20185.0;62.0;72.1
637;Turkey;2007;647155.0;8090.0;22.0;2.0;22047.0;63.0;73.0
638;Turkey;2008;730337.0;8890.0;24.0;2.0;18269.0;64.0;73.9
639;Turkey;2009;614603.0;8720.0;23.0;;7849.0;65.0;74.8
640;Ukraine;1990;81456.0;1610.0;28.0;;;30.0;51.9
641;Ukraine;1991;77464.0;1520.0;26.0;;;27.0;52.0
642;Ukraine;1992;73942.0;1420.0;24.0;;200.0;29.0;52.2
643;Ukraine;1993;65649.0;1230.0;26.0;;200.0;41.0;52.2
644;Ukraine;1994;52550.0;1010.0;35.0;;159.0;36.0;51.9
645;Ukraine;1995;48214.0;920.0;47.0;;267.0;42.0;51.5
646;Ukraine;1996;44558.0;860.0;46.0;4.0;521.0;48.0;51.1
647;Ukraine;1997;50150.0;890.0;41.0;4.0;623.0;50.0;50.6
648;Ukraine;1998;41883.0;850.0;42.0;5.0;743.0;50.0;50.1
649;Ukraine;1999;31581.0;760.0;54.0;4.0;496.0;47.0;49.7
650;Ukraine;2000;31262.0;700.0;62.0;5.0;595.0;47.0;49.2
651;Ukraine;2001;38009.0;730.0;55.0;5.0;792.0;49.0;48.7
652;Ukraine;2002;42393.0;790.0;55.0;5.0;693.0;51.0;48.2
653;Ukraine;2003;50133.0;980.0;58.0;7.0;1424.0;53.0;47.8
654;Ukraine;2004;64883.0;1270.0;61.0;6.0;1715.0;52.0;47.5
655;Ukraine;2005;86142.0;1540.0;51.0;4.0;7808.0;57.0;47.1
656;Ukraine;2006;107753.0;1950.0;47.0;3.0;5604.0;55.0;46.8
657;Ukraine;2007;142719.0;2570.0;45.0;4.0;9891.0;56.0;46.5
658;Ukraine;2008;180355.0;3210.0;42.0;3.0;10913.0;55.0;46.3
659;Ukraine;2009;113545.0;2800.0;46.0;;4816.0;62.0;46.0
660;United Kingdom;1990;1012576.0;16600.0;24.0;24.0;33504.0;64.0;57.2
661;United Kingdom;1991;1055845.0;17230.0;23.0;25.0;16451.0;66.0;57.4
662;United Kingdom;1992;1091751.0;18980.0;23.0;24.0;16559.0;67.0;57.6
663;United Kingdom;1993;981098.0;18830.0;25.0;26.0;16518.0;68.0;57.7
664;United Kingdom;1994;1060586.0;19270.0;26.0;26.0;10725.0;67.0;57.9
665;United Kingdom;1995;1157119.0;19620.0;28.0;27.0;21731.0;67.0;58.0
666;United Kingdom;1996;1219541.0;20770.0;29.0;27.0;27390.0;68.0;58.2
667;United Kingdom;1997;1359028.0;22130.0;29.0;27.0;37505.0;69.0;58.3
668;United Kingdom;1998;1455949.0;23450.0;27.0;29.0;74652.0;70.0;58.5
669;United Kingdom;1999;1502556.0;24810.0;26.0;30.0;89337.0;71.0;58.7
670;United Kingdom;2000;1477581.0;25910.0;28.0;32.0;122157.0;72.0;58.9
671;United Kingdom;2001;1470891.0;25860.0;27.0;34.0;53842.0;73.0;59.1
672;United Kingdom;2002;1612056.0;26230.0;26.0;31.0;25532.0;74.0;59.3
673;United Kingdom;2003;1860810.0;29080.0;26.0;26.0;27612.0;75.0;59.6
674;United Kingdom;2004;2202490.0;34600.0;25.0;24.0;57334.0;76.0;59.9
675;United Kingdom;2005;2280114.0;38880.0;26.0;28.0;177405.0;76.0;60.2
676;United Kingdom;2006;2439424.0;41090.0;29.0;34.0;154120.0;76.0;60.6
677;United Kingdom;2007;2799040.0;43970.0;27.0;20.0;202071.0;76.0;61.0
678;United Kingdom;2008;2662652.0;45760.0;29.0;19.0;93506.0;77.0;61.4
679;United Kingdom;2009;2174530.0;41370.0;28.0;;24799.0;78.0;61.8
680;Argentina;1990;141352.0;3020.0;10.0;;1836.0;56.0;32.5
681;Argentina;1991;189720.0;3770.0;8.0;;2439.0;61.0;33.0
682;Argentina;1992;228779.0;6020.0;7.0;7.0;4431.0;63.0;33.4
683;Argentina;1993;236754.0;7010.0;7.0;6.0;2793.0;65.0;33.9
684;Argentina;1994;257440.0;7590.0;8.0;4.0;3635.0;66.0;34.3
685;Argentina;1995;258032.0;7370.0;10.0;3.0;5609.0;66.0;34.8
686;Argentina;1996;272150.0;7740.0;10.0;5.0;6949.0;66.0;35.2
687;Argentina;1997;292859.0;8150.0;11.0;4.0;9160.0;65.0;35.7
