ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
1652;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2017;47.0;111.0
1653;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2018;48.0;113.0
1654;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2019;52.0;122.0
1655;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2020;55.0;128.0
1656;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2021;57.0;131.0
1657;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2022;62.0;142.0
1658;Property tax on non-residential building;Agglomeratie Leiden en Bollenstreek (CR);2023;68.0;155.0
1659;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2017;81.0;95.0
1660;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2018;82.0;95.0
1661;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2019;85.0;97.0
1662;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2020;96.0;108.0
1663;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2021;99.0;112.0
1664;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2022;104.0;116.0
1665;Property tax on non-residential building;Agglomeratie 's-Gravenhage (CR);2023;126.0;139.0
1666;Property tax on non-residential building;Delft en Westland (CR);2017;26.0;116.0
1667;Property tax on non-residential building;Delft en Westland (CR);2018;28.0;120.0
1668;Property tax on non-residential building;Delft en Westland (CR);2019;28.0;120.0
1669;Property tax on non-residential building;Delft en Westland (CR);2020;32.0;139.0
1670;Property tax on non-residential building;Delft en Westland (CR);2021;34.0;145.0
1671;Property tax on non-residential building;Delft en Westland (CR);2022;35.0;146.0
1672;Property tax on non-residential building;Delft en Westland (CR);2023;38.0;156.0
1673;Property tax on non-residential building;Oost-Zuid-Holland (CR);2017;27.0;84.0
1674;Property tax on non-residential building;Oost-Zuid-Holland (CR);2018;28.0;86.0
1675;Property tax on non-residential building;Oost-Zuid-Holland (CR);2019;29.0;89.0
1676;Property tax on non-residential building;Oost-Zuid-Holland (CR);2020;30.0;90.0
1677;Property tax on non-residential building;Oost-Zuid-Holland (CR);2021;31.0;92.0
1678;Property tax on non-residential building;Oost-Zuid-Holland (CR);2022;34.0;100.0
1679;Property tax on non-residential building;Oost-Zuid-Holland (CR);2023;34.0;99.0
1680;Property tax on non-residential building;Groot-Rijnmond (CR);2017;240.0;169.0
1681;Property tax on non-residential building;Groot-Rijnmond (CR);2018;242.0;169.0
1682;Property tax on non-residential building;Groot-Rijnmond (CR);2019;247.0;171.0
1683;Property tax on non-residential building;Groot-Rijnmond (CR);2020;270.0;186.0
1684;Property tax on non-residential building;Groot-Rijnmond (CR);2021;282.0;193.0
1685;Property tax on non-residential building;Groot-Rijnmond (CR);2022;309.0;210.0
1686;Property tax on non-residential building;Groot-Rijnmond (CR);2023;342.0;230.0
1687;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2017;35.0;88.0
1688;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2018;36.0;89.0
1689;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2019;34.0;93.0
1690;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2020;34.0;91.0
1691;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2021;35.0;95.0
1692;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2022;39.0;103.0
1693;Property tax on non-residential building;Zuidoost-Zuid-Holland (CR);2023;45.0;118.0
1694;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2017;12.0;112.0
1695;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2018;14.0;133.0
1696;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2019;14.0;135.0
1697;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2020;14.0;138.0
1698;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2021;15.0;140.0
1699;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2022;15.0;145.0
1700;Property tax on non-residential building;Zeeuwsch-Vlaanderen (CR);2023;16.0;151.0
1701;Property tax on non-residential building;Overig Zeeland (CR);2017;29.0;104.0
1702;Property tax on non-residential building;Overig Zeeland (CR);2018;29.0;105.0
1703;Property tax on non-residential building;Overig Zeeland (CR);2019;26.0;93.0
1704;Property tax on non-residential building;Overig Zeeland (CR);2020;32.0;114.0
1705;Property tax on non-residential building;Overig Zeeland (CR);2021;33.0;119.0
1706;Property tax on non-residential building;Overig Zeeland (CR);2022;36.0;127.0
1707;Property tax on non-residential building;Overig Zeeland (CR);2023;38.0;132.0
1708;Property tax on non-residential building;West-Noord-Brabant (CR);2017;60.0;95.0
1709;Property tax on non-residential building;West-Noord-Brabant (CR);2018;62.0;99.0
1710;Property tax on non-residential building;West-Noord-Brabant (CR);2019;64.0;101.0
1711;Property tax on non-residential building;West-Noord-Brabant (CR);2020;67.0;105.0
1712;Property tax on non-residential building;West-Noord-Brabant (CR);2021;71.0;111.0
1713;Property tax on non-residential building;West-Noord-Brabant (CR);2022;75.0;117.0
1714;Property tax on non-residential building;West-Noord-Brabant (CR);2023;80.0;124.0
1715;Property tax on non-residential building;Midden-Noord-Brabant (CR);2017;40.0;85.0
1716;Property tax on non-residential building;Midden-Noord-Brabant (CR);2018;41.0;86.0
1717;Property tax on non-residential building;Midden-Noord-Brabant (CR);2019;43.0;90.0
1718;Property tax on non-residential building;Midden-Noord-Brabant (CR);2020;47.0;98.0
1719;Property tax on non-residential building;Midden-Noord-Brabant (CR);2021;50.0;101.0
1720;Property tax on non-residential building;Midden-Noord-Brabant (CR);2022;53.0;107.0
1721;Property tax on non-residential building;Midden-Noord-Brabant (CR);2023;54.0;106.0
1722;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2017;62.0;96.0
1723;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2018;64.0;98.0
1724;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2019;68.0;103.0
1725;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2020;71.0;107.0
1726;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2021;70.0;106.0
1727;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2022;76.0;114.0
1728;Property tax on non-residential building;Noordoost-Noord-Brabant (CR);2023;81.0;121.0
1729;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2017;66.0;87.0
1730;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2018;73.0;95.0
1731;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2019;82.0;106.0
1732;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2020;86.0;110.0
1733;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2021;91.0;116.0
1734;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2022;96.0;122.0
1735;Property tax on non-residential building;Zuidoost-Noord-Brabant (CR);2023;101.0;125.0
1736;Property tax on non-residential building;Noord-Limburg (CR);2017;33.0;116.0
1737;Property tax on non-residential building;Noord-Limburg (CR);2018;35.0;125.0
1738;Property tax on non-residential building;Noord-Limburg (CR);2019;38.0;134.0
1739;Property tax on non-residential building;Noord-Limburg (CR);2020;40.0;142.0
1740;Property tax on non-residential building;Noord-Limburg (CR);2021;43.0;151.0
1741;Property tax on non-residential building;Noord-Limburg (CR);2022;46.0;162.0
1742;Property tax on non-residential building;Noord-Limburg (CR);2023;47.0;164.0
1743;Property tax on non-residential building;Midden-Limburg (CR);2017;17.0;71.0
1744;Property tax on non-residential building;Midden-Limburg (CR);2018;18.0;75.0
1745;Property tax on non-residential building;Midden-Limburg (CR);2019;18.0;76.0
1746;Property tax on non-residential building;Midden-Limburg (CR);2020;19.0;79.0
1747;Property tax on non-residential building;Midden-Limburg (CR);2021;19.0;81.0
1748;Property tax on non-residential building;Midden-Limburg (CR);2022;21.0;87.0
1749;Property tax on non-residential building;Midden-Limburg (CR);2023;23.0;94.0
1750;Property tax on non-residential building;Zuid-Limburg (CR);2017;68.0;113.0
1751;Property tax on non-residential building;Zuid-Limburg (CR);2018;75.0;125.0
1752;Property tax on non-residential building;Zuid-Limburg (CR);2019;83.0;139.0
1753;Property tax on non-residential building;Zuid-Limburg (CR);2020;84.0;140.0
1754;Property tax on non-residential building;Zuid-Limburg (CR);2021;88.0;148.0
1755;Property tax on non-residential building;Zuid-Limburg (CR);2022;96.0;162.0
1756;Property tax on non-residential building;Zuid-Limburg (CR);2023;96.0;160.0
1757;Property tax on non-residential building;Flevoland (CR);2017;43.0;104.0
1758;Property tax on non-residential building;Flevoland (CR);2018;43.0;105.0
1759;Property tax on non-residential building;Flevoland (CR);2019;46.0;112.0
1760;Property tax on non-residential building;Flevoland (CR);2020;47.0;110.0
1761;Property tax on non-residential building;Flevoland (CR);2021;49.0;114.0
1762;Property tax on non-residential building;Flevoland (CR);2022;56.0;128.0
1763;Property tax on non-residential building;Flevoland (CR);2023;62.0;138.0
1764;Property tax on non-residential building;Fewer than 5,000 inhabitants;2017;1.0;121.0
1765;Property tax on non-residential building;Fewer than 5,000 inhabitants;2018;2.0;128.0
1766;Property tax on non-residential building;Fewer than 5,000 inhabitants;2019;2.0;149.0
1767;Property tax on non-residential building;Fewer than 5,000 inhabitants;2020;2.0;167.0
1768;Property tax on non-residential building;Fewer than 5,000 inhabitants;2021;2.0;161.0
1769;Property tax on non-residential building;Fewer than 5,000 inhabitants;2022;2.0;168.0
1770;Property tax on non-residential building;Fewer than 5,000 inhabitants;2023;2.0;182.0
1771;Property tax on non-residential building;5,000 to 9,999 inhabitants;2017;11.0;77.0
1772;Property tax on non-residential building;5,000 to 9,999 inhabitants;2018;10.0;77.0
1773;Property tax on non-residential building;5,000 to 9,999 inhabitants;2019;8.0;92.0
1774;Property tax on non-residential building;5,000 to 9,999 inhabitants;2020;7.0;94.0
1775;Property tax on non-residential building;5,000 to 9,999 inhabitants;2021;6.0;115.0
1776;Property tax on non-residential building;5,000 to 9,999 inhabitants;2022;7.0;117.0
1777;Property tax on non-residential building;5,000 to 9,999 inhabitants;2023;7.0;119.0
1778;Property tax on non-residential building;10,000 to 19,999 inhabitants;2017;105.0;75.0
1779;Property tax on non-residential building;10,000 to 19,999 inhabitants;2018;101.0;76.0
1780;Property tax on non-residential building;10,000 to 19,999 inhabitants;2019;74.0;73.0
1781;Property tax on non-residential building;10,000 to 19,999 inhabitants;2020;78.0;77.0
1782;Property tax on non-residential building;10,000 to 19,999 inhabitants;2021;76.0;77.0
1783;Property tax on non-residential building;10,000 to 19,999 inhabitants;2022;77.0;83.0
1784;Property tax on non-residential building;10,000 to 19,999 inhabitants;2023;75.0;91.0
1785;Property tax on non-residential building;20,000 to 49,999 inhabitants;2017;451.0;75.0
1786;Property tax on non-residential building;20,000 to 49,999 inhabitants;2018;465.0;77.0
1787;Property tax on non-residential building;20,000 to 49,999 inhabitants;2019;489.0;80.0
1788;Property tax on non-residential building;20,000 to 49,999 inhabitants;2020;512.0;86.0
1789;Property tax on non-residential building;20,000 to 49,999 inhabitants;2021;548.0;90.0
1790;Property tax on non-residential building;20,000 to 49,999 inhabitants;2022;562.0;95.0
1791;Property tax on non-residential building;20,000 to 49,999 inhabitants;2023;614.0;102.0
1792;Property tax on non-residential building;50,000 to 99,999 inhabitants;2017;319.0;97.0
1793;Property tax on non-residential building;50,000 to 99,999 inhabitants;2018;335.0;100.0
1794;Property tax on non-residential building;50,000 to 99,999 inhabitants;2019;385.0;104.0
1795;Property tax on non-residential building;50,000 to 99,999 inhabitants;2020;400.0;106.0
1796;Property tax on non-residential building;50,000 to 99,999 inhabitants;2021;421.0;112.0
1797;Property tax on non-residential building;50,000 to 99,999 inhabitants;2022;467.0;117.0
1798;Property tax on non-residential building;50,000 to 99,999 inhabitants;2023;502.0;121.0
1799;Property tax on non-residential building;100,000 to 149,999 inhabitants;2017;230.0;142.0
1800;Property tax on non-residential building;100,000 to 149,999 inhabitants;2018;244.0;149.0
1801;Property tax on non-residential building;100,000 to 149,999 inhabitants;2019;204.0;137.0
1802;Property tax on non-residential building;100,000 to 149,999 inhabitants;2020;229.0;142.0
1803;Property tax on non-residential building;100,000 to 149,999 inhabitants;2021;238.0;148.0
1804;Property tax on non-residential building;100,000 to 149,999 inhabitants;2022;250.0;154.0
1805;Property tax on non-residential building;100,000 to 149,999 inhabitants;2023;271.0;165.0
1806;Property tax on non-residential building;150,000 to 249,999 inhabitants;2017;303.0;132.0
1807;Property tax on non-residential building;150,000 to 249,999 inhabitants;2018;316.0;137.0
1808;Property tax on non-residential building;150,000 to 249,999 inhabitants;2019;392.0;156.0
1809;Property tax on non-residential building;150,000 to 249,999 inhabitants;2020;411.0;162.0
1810;Property tax on non-residential building;150,000 to 249,999 inhabitants;2021;431.0;170.0
1811;Property tax on non-residential building;150,000 to 249,999 inhabitants;2022;449.0;175.0
1812;Property tax on non-residential building;150,000 to 249,999 inhabitants;2023;466.0;179.0
1813;Property tax on non-residential building;250,000 inhabitants or more;2017;409.0;174.0
1814;Property tax on non-residential building;250,000 inhabitants or more;2018;416.0;175.0
1815;Property tax on non-residential building;250,000 inhabitants or more;2019;421.0;176.0
1816;Property tax on non-residential building;250,000 inhabitants or more;2020;463.0;191.0
1817;Property tax on non-residential building;250,000 inhabitants or more;2021;505.0;208.0
1818;Property tax on non-residential building;250,000 inhabitants or more;2022;542.0;219.0
1819;Property tax on non-residential building;250,000 inhabitants or more;2023;639.0;254.0
1820;Parking fees;The Netherlands;2017;846.0;50.0
1821;Parking fees;The Netherlands;2018;891.0;52.0
1822;Parking fees;The Netherlands;2019;977.0;57.0
1823;Parking fees;The Netherlands;2020;848.0;49.0
1824;Parking fees;The Netherlands;2021;907.0;52.0
1825;Parking fees;The Netherlands;2022;1086.0;62.0
1826;Parking fees;The Netherlands;2023;1266.0;71.0
1827;Parking fees;Noord-Nederland (LD);2017;41.0;24.0
1828;Parking fees;Noord-Nederland (LD);2018;40.0;23.0
1829;Parking fees;Noord-Nederland (LD);2019;43.0;25.0
1830;Parking fees;Noord-Nederland (LD);2020;37.0;22.0
1831;Parking fees;Noord-Nederland (LD);2021;44.0;26.0
1832;Parking fees;Noord-Nederland (LD);2022;54.0;31.0
1833;Parking fees;Noord-Nederland (LD);2023;65.0;37.0
1834;Parking fees;Oost-Nederland (LD);2017;100.0;28.0
1835;Parking fees;Oost-Nederland (LD);2018;103.0;28.0
1836;Parking fees;Oost-Nederland (LD);2019;107.0;29.0
1837;Parking fees;Oost-Nederland (LD);2020;83.0;23.0
1838;Parking fees;Oost-Nederland (LD);2021;85.0;23.0
1839;Parking fees;Oost-Nederland (LD);2022;107.0;29.0
1840;Parking fees;Oost-Nederland (LD);2023;127.0;34.0
1841;Parking fees;West-Nederland (LD);2017;594.0;73.0
1842;Parking fees;West-Nederland (LD);2018;630.0;77.0
1843;Parking fees;West-Nederland (LD);2019;703.0;85.0
1844;Parking fees;West-Nederland (LD);2020;632.0;76.0
1845;Parking fees;West-Nederland (LD);2021;678.0;81.0
1846;Parking fees;West-Nederland (LD);2022;798.0;95.0
1847;Parking fees;West-Nederland (LD);2023;927.0;109.0
1848;Parking fees;Zuid-Nederland (LD);2017;111.0;31.0
1849;Parking fees;Zuid-Nederland (LD);2018;118.0;32.0
1850;Parking fees;Zuid-Nederland (LD);2019;125.0;34.0
1851;Parking fees;Zuid-Nederland (LD);2020;97.0;26.0
1852;Parking fees;Zuid-Nederland (LD);2021;100.0;27.0
1853;Parking fees;Zuid-Nederland (LD);2022;127.0;34.0
1854;Parking fees;Zuid-Nederland (LD);2023;147.0;39.0
1855;Parking fees;Groningen (PV);2017;15.0;26.0
1856;Parking fees;Groningen (PV);2018;16.0;28.0
1857;Parking fees;Groningen (PV);2019;18.0;32.0
1858;Parking fees;Groningen (PV);2020;18.0;30.0
1859;Parking fees;Groningen (PV);2021;19.0;33.0
1860;Parking fees;Groningen (PV);2022;24.0;42.0
1861;Parking fees;Groningen (PV);2023;30.0;51.0
1862;Parking fees;Fryslân (PV);2017;13.0;20.0
1863;Parking fees;Fryslân (PV);2018;12.0;18.0
1864;Parking fees;Fryslân (PV);2019;12.0;18.0
1865;Parking fees;Fryslân (PV);2020;10.0;16.0
1866;Parking fees;Fryslân (PV);2021;15.0;23.0
1867;Parking fees;Fryslân (PV);2022;17.0;26.0
1868;Parking fees;Fryslân (PV);2023;21.0;31.0
1869;Parking fees;Drenthe (PV);2017;13.0;26.0
1870;Parking fees;Drenthe (PV);2018;12.0;25.0
1871;Parking fees;Drenthe (PV);2019;13.0;26.0
1872;Parking fees;Drenthe (PV);2020;10.0;20.0
1873;Parking fees;Drenthe (PV);2021;10.0;20.0
1874;Parking fees;Drenthe (PV);2022;13.0;25.0
1875;Parking fees;Drenthe (PV);2023;14.0;28.0
1876;Parking fees;Overijssel (PV);2017;34.0;29.0
1877;Parking fees;Overijssel (PV);2018;35.0;30.0
1878;Parking fees;Overijssel (PV);2019;37.0;32.0
1879;Parking fees;Overijssel (PV);2020;29.0;25.0
1880;Parking fees;Overijssel (PV);2021;28.0;24.0
1881;Parking fees;Overijssel (PV);2022;35.0;30.0
1882;Parking fees;Overijssel (PV);2023;41.0;34.0
1883;Parking fees;Flevoland (PV);2017;16.0;39.0
1884;Parking fees;Flevoland (PV);2018;17.0;40.0
1885;Parking fees;Flevoland (PV);2019;17.0;41.0
1886;Parking fees;Flevoland (PV);2020;13.0;31.0
1887;Parking fees;Flevoland (PV);2021;14.0;32.0
1888;Parking fees;Flevoland (PV);2022;19.0;43.0
1889;Parking fees;Flevoland (PV);2023;21.0;47.0
1890;Parking fees;Gelderland (PV);2017;51.0;25.0
1891;Parking fees;Gelderland (PV);2018;51.0;25.0
1892;Parking fees;Gelderland (PV);2019;53.0;26.0
1893;Parking fees;Gelderland (PV);2020;41.0;20.0
1894;Parking fees;Gelderland (PV);2021;43.0;20.0
1895;Parking fees;Gelderland (PV);2022;54.0;25.0
1896;Parking fees;Gelderland (PV);2023;65.0;31.0
1897;Parking fees;Utrecht (PV);2017;51.0;40.0
1898;Parking fees;Utrecht (PV);2018;53.0;41.0
1899;Parking fees;Utrecht (PV);2019;61.0;45.0
1900;Parking fees;Utrecht (PV);2020;53.0;39.0
1901;Parking fees;Utrecht (PV);2021;58.0;42.0
1902;Parking fees;Utrecht (PV);2022;69.0;50.0
1903;Parking fees;Utrecht (PV);2023;83.0;60.0
1904;Parking fees;Noord-Holland (PV);2017;313.0;111.0
1905;Parking fees;Noord-Holland (PV);2018;329.0;116.0
1906;Parking fees;Noord-Holland (PV);2019;368.0;129.0
1907;Parking fees;Noord-Holland (PV);2020;310.0;108.0
1908;Parking fees;Noord-Holland (PV);2021;330.0;114.0
1909;Parking fees;Noord-Holland (PV);2022;385.0;132.0
1910;Parking fees;Noord-Holland (PV);2023;440.0;149.0
1911;Parking fees;Zuid-Holland (PV);2017;209.0;57.0
1912;Parking fees;Zuid-Holland (PV);2018;225.0;61.0
1913;Parking fees;Zuid-Holland (PV);2019;252.0;69.0
1914;Parking fees;Zuid-Holland (PV);2020;250.0;67.0
1915;Parking fees;Zuid-Holland (PV);2021;268.0;72.0
1916;Parking fees;Zuid-Holland (PV);2022;318.0;85.0
1917;Parking fees;Zuid-Holland (PV);2023;375.0;99.0
1918;Parking fees;Zeeland (PV);2017;21.0;55.0
1919;Parking fees;Zeeland (PV);2018;22.0;57.0
1920;Parking fees;Zeeland (PV);2019;22.0;57.0
1921;Parking fees;Zeeland (PV);2020;18.0;48.0
1922;Parking fees;Zeeland (PV);2021;23.0;59.0
1923;Parking fees;Zeeland (PV);2022;26.0;68.0
1924;Parking fees;Zeeland (PV);2023;29.0;74.0
1925;Parking fees;Noord-Brabant (PV);2017;77.0;31.0
1926;Parking fees;Noord-Brabant (PV);2018;86.0;34.0
1927;Parking fees;Noord-Brabant (PV);2019;91.0;36.0
1928;Parking fees;Noord-Brabant (PV);2020;72.0;28.0
1929;Parking fees;Noord-Brabant (PV);2021;74.0;29.0
1930;Parking fees;Noord-Brabant (PV);2022;97.0;37.0
1931;Parking fees;Noord-Brabant (PV);2023;115.0;44.0
1932;Parking fees;Limburg (PV);2017;34.0;31.0
1933;Parking fees;Limburg (PV);2018;32.0;29.0
1934;Parking fees;Limburg (PV);2019;34.0;30.0
1935;Parking fees;Limburg (PV);2020;25.0;22.0
1936;Parking fees;Limburg (PV);2021;25.0;23.0
1937;Parking fees;Limburg (PV);2022;30.0;26.0
1938;Parking fees;Limburg (PV);2023;31.0;28.0
1939;Parking fees;Oost-Groningen (CR);2017;0.0;0.0
1940;Parking fees;Oost-Groningen (CR);2018;0.0;0.0
1941;Parking fees;Oost-Groningen (CR);2019;0.0;0.0
1942;Parking fees;Oost-Groningen (CR);2020;0.0;0.0
1943;Parking fees;Oost-Groningen (CR);2021;0.0;0.0
1944;Parking fees;Oost-Groningen (CR);2022;0.0;0.0
1945;Parking fees;Oost-Groningen (CR);2023;0.0;0.0
1946;Parking fees;Delfzijl en omgeving (CR);2017;0.0;0.0
1947;Parking fees;Delfzijl en omgeving (CR);2018;0.0;0.0
1948;Parking fees;Delfzijl en omgeving (CR);2019;0.0;0.0
1949;Parking fees;Delfzijl en omgeving (CR);2020;0.0;0.0
1950;Parking fees;Delfzijl en omgeving (CR);2021;0.0;0.0
1951;Parking fees;Delfzijl en omgeving (CR);2022;0.0;0.0
1952;Parking fees;Delfzijl en omgeving (CR);2023;0.0;0.0
1953;Parking fees;Overig Groningen (CR);2017;15.0;39.0
1954;Parking fees;Overig Groningen (CR);2018;16.0;41.0
1955;Parking fees;Overig Groningen (CR);2019;18.0;46.0
1956;Parking fees;Overig Groningen (CR);2020;18.0;44.0
1957;Parking fees;Overig Groningen (CR);2021;19.0;48.0
1958;Parking fees;Overig Groningen (CR);2022;24.0;60.0
1959;Parking fees;Overig Groningen (CR);2023;30.0;73.0
1960;Parking fees;Noord-Friesland (CR);2017;6.0;18.0
1961;Parking fees;Noord-Friesland (CR);2018;5.0;15.0
1962;Parking fees;Noord-Friesland (CR);2019;5.0;15.0
1963;Parking fees;Noord-Friesland (CR);2020;5.0;16.0
1964;Parking fees;Noord-Friesland (CR);2021;10.0;31.0
1965;Parking fees;Noord-Friesland (CR);2022;11.0;34.0
1966;Parking fees;Noord-Friesland (CR);2023;12.0;38.0
1967;Parking fees;Zuidwest-Friesland (CR);2017;2.0;17.0
1968;Parking fees;Zuidwest-Friesland (CR);2018;2.0;16.0
1969;Parking fees;Zuidwest-Friesland (CR);2019;2.0;15.0
1970;Parking fees;Zuidwest-Friesland (CR);2020;1.0;10.0
1971;Parking fees;Zuidwest-Friesland (CR);2021;1.0;9.0
1972;Parking fees;Zuidwest-Friesland (CR);2022;1.0;10.0
1973;Parking fees;Zuidwest-Friesland (CR);2023;1.0;10.0
1974;Parking fees;Zuidoost-Friesland (CR);2017;5.0;24.0
1975;Parking fees;Zuidoost-Friesland (CR);2018;5.0;25.0
1976;Parking fees;Zuidoost-Friesland (CR);2019;5.0;25.0
1977;Parking fees;Zuidoost-Friesland (CR);2020;4.0;20.0
1978;Parking fees;Zuidoost-Friesland (CR);2021;4.0;20.0
1979;Parking fees;Zuidoost-Friesland (CR);2022;5.0;26.0
1980;Parking fees;Zuidoost-Friesland (CR);2023;7.0;36.0
1981;Parking fees;Noord-Drenthe (CR);2017;5.0;26.0
1982;Parking fees;Noord-Drenthe (CR);2018;5.0;26.0
1983;Parking fees;Noord-Drenthe (CR);2019;5.0;24.0
1984;Parking fees;Noord-Drenthe (CR);2020;4.0;19.0
1985;Parking fees;Noord-Drenthe (CR);2021;4.0;20.0
1986;Parking fees;Noord-Drenthe (CR);2022;5.0;24.0
1987;Parking fees;Noord-Drenthe (CR);2023;5.0;26.0
1988;Parking fees;Zuidoost-Drenthe (CR);2017;4.0;22.0
1989;Parking fees;Zuidoost-Drenthe (CR);2018;4.0;22.0
1990;Parking fees;Zuidoost-Drenthe (CR);2019;4.0;22.0
1991;Parking fees;Zuidoost-Drenthe (CR);2020;3.0;16.0
1992;Parking fees;Zuidoost-Drenthe (CR);2021;3.0;18.0
1993;Parking fees;Zuidoost-Drenthe (CR);2022;4.0;25.0
1994;Parking fees;Zuidoost-Drenthe (CR);2023;5.0;27.0
1995;Parking fees;Zuidwest-Drenthe (CR);2017;4.0;31.0
1996;Parking fees;Zuidwest-Drenthe (CR);2018;4.0;28.0
1997;Parking fees;Zuidwest-Drenthe (CR);2019;4.0;32.0
1998;Parking fees;Zuidwest-Drenthe (CR);2020;3.0;24.0
1999;Parking fees;Zuidwest-Drenthe (CR);2021;3.0;24.0
2000;Parking fees;Zuidwest-Drenthe (CR);2022;4.0;28.0
2001;Parking fees;Zuidwest-Drenthe (CR);2023;4.0;31.0
2002;Parking fees;Noord-Overijssel (CR);2017;12.0;32.0
2003;Parking fees;Noord-Overijssel (CR);2018;13.0;34.0
2004;Parking fees;Noord-Overijssel (CR);2019;14.0;37.0
2005;Parking fees;Noord-Overijssel (CR);2020;12.0;31.0
2006;Parking fees;Noord-Overijssel (CR);2021;11.0;30.0
2007;Parking fees;Noord-Overijssel (CR);2022;13.0;34.0
2008;Parking fees;Noord-Overijssel (CR);2023;15.0;40.0
2009;Parking fees;Zuidwest-Overijssel (CR);2017;4.0;29.0
2010;Parking fees;Zuidwest-Overijssel (CR);2018;5.0;30.0
2011;Parking fees;Zuidwest-Overijssel (CR);2019;5.0;32.0
2012;Parking fees;Zuidwest-Overijssel (CR);2020;4.0;26.0
2013;Parking fees;Zuidwest-Overijssel (CR);2021;5.0;30.0
2014;Parking fees;Zuidwest-Overijssel (CR);2022;5.0;31.0
2015;Parking fees;Zuidwest-Overijssel (CR);2023;6.0;37.0
2016;Parking fees;Twente (CR);2017;18.0;28.0
2017;Parking fees;Twente (CR);2018;18.0;28.0
2018;Parking fees;Twente (CR);2019;18.0;29.0
2019;Parking fees;Twente (CR);2020;13.0;21.0
2020;Parking fees;Twente (CR);2021;13.0;20.0
2021;Parking fees;Twente (CR);2022;17.0;27.0
2022;Parking fees;Twente (CR);2023;19.0;30.0
2023;Parking fees;Veluwe (CR);2017;10.0;15.0
2024;Parking fees;Veluwe (CR);2018;10.0;15.0
2025;Parking fees;Veluwe (CR);2019;10.0;15.0
2026;Parking fees;Veluwe (CR);2020;7.0;10.0
2027;Parking fees;Veluwe (CR);2021;7.0;10.0
2028;Parking fees;Veluwe (CR);2022;10.0;15.0
2029;Parking fees;Veluwe (CR);2023;12.0;16.0
2030;Parking fees;Achterhoek (CR);2017;6.0;14.0
2031;Parking fees;Achterhoek (CR);2018;5.0;13.0
2032;Parking fees;Achterhoek (CR);2019;6.0;14.0
2033;Parking fees;Achterhoek (CR);2020;5.0;12.0
2034;Parking fees;Achterhoek (CR);2021;5.0;12.0
2035;Parking fees;Achterhoek (CR);2022;6.0;14.0
2036;Parking fees;Achterhoek (CR);2023;6.0;16.0
2037;Parking fees;Arnhem/Nijmegen (CR);2017;31.0;43.0
2038;Parking fees;Arnhem/Nijmegen (CR);2018;32.0;44.0
2039;Parking fees;Arnhem/Nijmegen (CR);2019;34.0;45.0
2040;Parking fees;Arnhem/Nijmegen (CR);2020;26.0;36.0
2041;Parking fees;Arnhem/Nijmegen (CR);2021;28.0;37.0
2042;Parking fees;Arnhem/Nijmegen (CR);2022;34.0;45.0
2043;Parking fees;Arnhem/Nijmegen (CR);2023;43.0;57.0
2044;Parking fees;Zuidwest-Gelderland (CR);2017;3.0;14.0
2045;Parking fees;Zuidwest-Gelderland (CR);2018;3.0;14.0
