ID;Perioden;Hoeveelheid_1;Vetgehalte_2;Eiwitgehalte_3;Boter_4;Fabriekskaas_5;MelkpoederTotaal_6;NietMagerMelkpoeder_7;MagerMelkpoeder_8;GecondenseerdeMelk_9;Weipoeder_10
360;2022 oktober;1149290;4.49;3.63;10162;79241;14884;5657;9316;30287;
361;2022 november;1123055;4.52;3.64;9428;77199;14500;5657;8910;33344;
362;2022 december;1178046;4.64;3.66;10569;81248;16780;7353;9391;28479;
363;2022;13875916;4.42;3.55;133311;945712;200619;84889;115730;366969;
364;2023 januari;1211982;4.56;3.63;11177;84297;18056;6195;12636;30951;
365;2023 februari;1110664;4.59;3.63;10970;78726;19609;6800;13597;30780;
366;2023 maart;1226790;4.61;3.63;10643;85099;20215;6679;14591;31425;
367;2023 april;1192086;4.57;3.62;10913;82756;23527;9746;13560;30370;
368;2023 mei;1229715;4.42;3.58;11033;82535;21503;9655;11098;30394;
369;2023 juni;1166644;4.31;3.52;9124;81945;17513;8120;8592;29906;
370;2023 juli;1185221;4.28;3.51;10039;82546;18313;6202;12955;26307;
371;2023 augustus;1151489;4.33;3.53;10267;82703;14004;6124;7512;28984;
372;2023 september;1093850;4.35;3.54;8958;80152;12827;5563;6961;29202;
373;2023 oktober;1114169;4.48;3.59;9522;82178;12281;5558;6262;31843;
374;2023 november;1071696;4.61;3.65;10060;81994;13198;5555;7454;31555;
375;2023 december;1140859;4.64;3.65;10583;85571;15491;6722;8400;31055;
376;2023;13895165;4.48;3.59;123288;990503;206537;82919;123618;362770;
377;2024 januari;1175723;4.63;3.63;11653;83083;14729;7420;7309;34122;
378;2024 februari;1125603;4.56;3.59;10891;77276;14795;6830;7965;31585;
379;2024 maart;1210315;4.57;3.6;10513;78708;15756;7219;8537;31596;
380;2024 april;1177221;4.52;3.59;10680;79717;16150;7704;8446;31749;
381;2024 mei;1212156;4.4;3.54;11094;79845;15422;8043;7379;35976;
382;2024 juni;1142667;4.34;3.5;9370;77190;14210;6817;7393;32413;
383;2024 juli;1148394;4.3;3.49;9118;75204;13378;7117;6261;36068;
384;2024 augustus;1106504;4.31;3.48;10042;75792;11379;6007;5372;28274;
385;2024 september;1064759;4.4;3.55;8742;71864;11320;5459;5861;28714;
386;2024 oktober;1096430;4.54;3.65;8848;77434;12711;5796;6915;36382;
387;2024 november;1067444;4.61;3.66;8419;77640;11961;5369;6592;29129;
388;2024 december;1134546;4.64;3.66;9621;81788;14257;6391;7866;29197;
389;2024;13661762;4.48;3.58;118991;935541;166068;80172;85896;385205;
390;2025 januari;1157223;4.66;3.65;9804;81828;14695;6739;7956;32807;
391;2025 februari;1059138;4.69;3.66;9569;74898;13936;5656;8280;32497;
