ID;SBI1993LeeftijdscatCaoSectoren;Perioden;CaoLonenInclBijzBelPerMaand_1;CaoLonenInclBijzBelPerUur_2
437;01-05 Landbouw en visserij;2001 jaargemiddelde;137.7;140.8
438;01-05 Landbouw en visserij;2002 januari;138.8;141.8
439;01-05 Landbouw en visserij;2002 februari;140.6;143.6
440;01-05 Landbouw en visserij;2002 maart;140.6;143.7
441;01-05 Landbouw en visserij;2002 april;140.6;143.7
442;01-05 Landbouw en visserij;2002 mei;142.2;145.4
443;01-05 Landbouw en visserij;2002 juni;142.2;145.4
444;01-05 Landbouw en visserij;2002 juli;144.9;148.1
445;01-05 Landbouw en visserij;2002 augustus;144.9;148.1
446;01-05 Landbouw en visserij;2002 september;144.9;148.1
447;01-05 Landbouw en visserij;2002 oktober;145.3;148.5
448;01-05 Landbouw en visserij;2002 november;145.3;148.5
449;01-05 Landbouw en visserij;2002 december;145.3;148.5
450;01-05 Landbouw en visserij;2002 jaargemiddelde;143.7;146.8
451;01-05 Landbouw en visserij;2003 januari;146.4;149.7
452;01-05 Landbouw en visserij;2003 februari;147.1;150.3
453;01-05 Landbouw en visserij;2003 maart;147.1;150.3
454;01-05 Landbouw en visserij;2003 april;147.2;150.5
455;01-05 Landbouw en visserij;2003 mei;147.2;150.5
456;10-45 Industrie en bouwnijverheid;1999 januari;125.6;126.8
457;10-45 Industrie en bouwnijverheid;1999 februari;125.7;126.8
458;10-45 Industrie en bouwnijverheid;1999 maart;125.9;127.1
459;10-45 Industrie en bouwnijverheid;1999 april;126.1;127.3
460;10-45 Industrie en bouwnijverheid;1999 mei;126.1;127.4
461;10-45 Industrie en bouwnijverheid;1999 juni;126.7;127.9
462;10-45 Industrie en bouwnijverheid;1999 juli;128.0;129.2
463;10-45 Industrie en bouwnijverheid;1999 augustus;128.7;130.0
464;10-45 Industrie en bouwnijverheid;1999 september;128.8;130.1
465;10-45 Industrie en bouwnijverheid;1999 oktober;129.2;130.5
466;10-45 Industrie en bouwnijverheid;1999 november;129.2;130.8
467;10-45 Industrie en bouwnijverheid;1999 december;129.2;130.9
468;10-45 Industrie en bouwnijverheid;1999 jaargemiddelde;127.9;129.5
469;10-45 Industrie en bouwnijverheid;2000 januari;129.8;131.4
470;10-45 Industrie en bouwnijverheid;2000 februari;130.2;131.7
471;10-45 Industrie en bouwnijverheid;2000 maart;130.4;131.9
472;10-45 Industrie en bouwnijverheid;2000 april;130.7;132.3
473;10-45 Industrie en bouwnijverheid;2000 mei;130.8;132.4
474;10-45 Industrie en bouwnijverheid;2000 juni;131.0;132.6
475;10-45 Industrie en bouwnijverheid;2000 juli;132.6;134.2
476;10-45 Industrie en bouwnijverheid;2000 augustus;132.7;134.3
477;10-45 Industrie en bouwnijverheid;2000 september;133.3;134.9
478;10-45 Industrie en bouwnijverheid;2000 oktober;133.2;134.9
479;10-45 Industrie en bouwnijverheid;2000 november;133.3;135.1
480;10-45 Industrie en bouwnijverheid;2000 december;133.4;135.3
481;10-45 Industrie en bouwnijverheid;2000 jaargemiddelde;132.0;133.8
482;10-45 Industrie en bouwnijverheid;2001 januari;133.7;135.6
483;10-45 Industrie en bouwnijverheid;2001 februari;134.0;135.9
484;10-45 Industrie en bouwnijverheid;2001 maart;134.1;136.0
485;10-45 Industrie en bouwnijverheid;2001 april;135.8;137.7
486;10-45 Industrie en bouwnijverheid;2001 mei;136.9;138.8
487;10-45 Industrie en bouwnijverheid;2001 juni;137.4;139.3
488;10-45 Industrie en bouwnijverheid;2001 juli;138.6;140.6
489;10-45 Industrie en bouwnijverheid;2001 augustus;138.7;140.7
490;10-45 Industrie en bouwnijverheid;2001 september;138.8;140.8
491;10-45 Industrie en bouwnijverheid;2001 oktober;139.7;141.7
492;10-45 Industrie en bouwnijverheid;2001 november;139.7;141.7
493;10-45 Industrie en bouwnijverheid;2001 december;139.7;141.7
494;10-45 Industrie en bouwnijverheid;2001 jaargemiddelde;137.8;139.7
495;10-45 Industrie en bouwnijverheid;2002 januari;140.3;142.3
496;10-45 Industrie en bouwnijverheid;2002 februari;140.4;142.4
497;10-45 Industrie en bouwnijverheid;2002 maart;141.1;143.2
498;10-45 Industrie en bouwnijverheid;2002 april;141.7;143.8
499;10-45 Industrie en bouwnijverheid;2002 mei;142.0;144.1
500;10-45 Industrie en bouwnijverheid;2002 juni;142.2;144.3
501;10-45 Industrie en bouwnijverheid;2002 juli;143.8;145.9
502;10-45 Industrie en bouwnijverheid;2002 augustus;144.0;146.1
503;10-45 Industrie en bouwnijverheid;2002 september;144.4;146.5
504;10-45 Industrie en bouwnijverheid;2002 oktober;144.5;146.6
505;10-45 Industrie en bouwnijverheid;2002 november;144.3;146.4
506;10-45 Industrie en bouwnijverheid;2002 december;144.1;146.2
507;10-45 Industrie en bouwnijverheid;2002 jaargemiddelde;143.2;145.2
508;10-45 Industrie en bouwnijverheid;2003 januari;145.4;147.5
509;10-45 Industrie en bouwnijverheid;2003 februari;145.5;147.6
510;10-45 Industrie en bouwnijverheid;2003 maart;145.6;147.7
511;10-45 Industrie en bouwnijverheid;2003 april;146.3;148.5
512;10-45 Industrie en bouwnijverheid;2003 mei;146.5;148.6
513;10-14 Delfstoffenwinning;1999 januari;;
514;10-14 Delfstoffenwinning;1999 februari;;
515;10-14 Delfstoffenwinning;1999 maart;;
