ID;KenmerkenLeasevoertuigen;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
615;Benzineauto en MHEV: Categorie D;2005 3e kwartaal;;;;;;;;
616;Benzineauto en MHEV: Categorie D;2005 4e kwartaal;;;;;;;;
617;Benzineauto en MHEV: Categorie D;2005;;;;;;;;
618;Benzineauto en MHEV: Categorie D;2006 1e kwartaal;;;;;;;;
619;Benzineauto en MHEV: Categorie D;2006 2e kwartaal;;;;;;;;
620;Benzineauto en MHEV: Categorie D;2006 3e kwartaal;;;;;;;;
621;Benzineauto en MHEV: Categorie D;2006 4e kwartaal;;;;;;;;
622;Benzineauto en MHEV: Categorie D;2006;;;;;;;;
623;Benzineauto en MHEV: Categorie D;2007 1e kwartaal;;;;;;;;
624;Benzineauto en MHEV: Categorie D;2007 2e kwartaal;;;;;;;;
625;Benzineauto en MHEV: Categorie D;2007 3e kwartaal;;;;;;;;
626;Benzineauto en MHEV: Categorie D;2007 4e kwartaal;;;;;;;;
627;Benzineauto en MHEV: Categorie D;2007;;;;;;;;
628;Benzineauto en MHEV: Categorie D;2008 1e kwartaal;;;;;;;;
629;Benzineauto en MHEV: Categorie D;2008 2e kwartaal;;;;;;;;
630;Benzineauto en MHEV: Categorie D;2008 3e kwartaal;;;;;;;;
631;Benzineauto en MHEV: Categorie D;2008 4e kwartaal;;;;;;;;
632;Benzineauto en MHEV: Categorie D;2008;;;;;;;;
633;Benzineauto en MHEV: Categorie D;2009 1e kwartaal;;;;;;;;
634;Benzineauto en MHEV: Categorie D;2009 2e kwartaal;;;;;;;;
635;Benzineauto en MHEV: Categorie D;2009 3e kwartaal;;;;;;;;
636;Benzineauto en MHEV: Categorie D;2009 4e kwartaal;;;;;;;;
637;Benzineauto en MHEV: Categorie D;2009;;;;;;;;
638;Benzineauto en MHEV: Categorie D;2010 1e kwartaal;;;;;;;;
639;Benzineauto en MHEV: Categorie D;2010 2e kwartaal;;;;;;;;
640;Benzineauto en MHEV: Categorie D;2010 3e kwartaal;;;;;;;;
641;Benzineauto en MHEV: Categorie D;2010 4e kwartaal;;;;;;;;
642;Benzineauto en MHEV: Categorie D;2010;;;;;;;;
643;Benzineauto en MHEV: Categorie D;2011 1e kwartaal;;;;;;;;
644;Benzineauto en MHEV: Categorie D;2011 2e kwartaal;;;;;;;;
645;Benzineauto en MHEV: Categorie D;2011 3e kwartaal;;;;;;;;
646;Benzineauto en MHEV: Categorie D;2011 4e kwartaal;;;;;;;;
647;Benzineauto en MHEV: Categorie D;2011;;;;;;;;
648;Benzineauto en MHEV: Categorie D;2012 1e kwartaal;;;;;;;;
649;Benzineauto en MHEV: Categorie D;2012 2e kwartaal;;;;;;;;
650;Benzineauto en MHEV: Categorie D;2012 3e kwartaal;;;;;;;;
651;Benzineauto en MHEV: Categorie D;2012 4e kwartaal;;;;;;;;
652;Benzineauto en MHEV: Categorie D;2012;;;;;;;;
653;Benzineauto en MHEV: Categorie D;2013 1e kwartaal;;;;;;;;
654;Benzineauto en MHEV: Categorie D;2013 2e kwartaal;;;;;;;;
655;Benzineauto en MHEV: Categorie D;2013 3e kwartaal;;;;;;;;
656;Benzineauto en MHEV: Categorie D;2013 4e kwartaal;;;;;;;;
657;Benzineauto en MHEV: Categorie D;2013;;;;;;;;
658;Benzineauto en MHEV: Categorie D;2014 1e kwartaal;;;;;;;;
659;Benzineauto en MHEV: Categorie D;2014 2e kwartaal;;;;;;;;
660;Benzineauto en MHEV: Categorie D;2014 3e kwartaal;;;;;;;;
661;Benzineauto en MHEV: Categorie D;2014 4e kwartaal;;;;;;;;
662;Benzineauto en MHEV: Categorie D;2014;;;;;;;;
663;Benzineauto en MHEV: Categorie D;2015 1e kwartaal;;;;;;;;
664;Benzineauto en MHEV: Categorie D;2015 2e kwartaal;;;;;;;;
665;Benzineauto en MHEV: Categorie D;2015 3e kwartaal;;;;;;;;
666;Benzineauto en MHEV: Categorie D;2015 4e kwartaal;;;;;;;;
667;Benzineauto en MHEV: Categorie D;2015;;;;;;;;
668;Benzineauto en MHEV: Categorie D;2016 1e kwartaal;;;;;;;;
669;Benzineauto en MHEV: Categorie D;2016 2e kwartaal;;;;;;;;
670;Benzineauto en MHEV: Categorie D;2016 3e kwartaal;;;;;;;;
671;Benzineauto en MHEV: Categorie D;2016 4e kwartaal;;;;;;;;
672;Benzineauto en MHEV: Categorie D;2016;;;;;;;;
673;Benzineauto en MHEV: Categorie D;2017 1e kwartaal;;;;;;;;
674;Benzineauto en MHEV: Categorie D;2017 2e kwartaal;;;;;;;;
675;Benzineauto en MHEV: Categorie D;2017 3e kwartaal;;;;;;;;
676;Benzineauto en MHEV: Categorie D;2017 4e kwartaal;;;;;;;;
677;Benzineauto en MHEV: Categorie D;2017;;;;;;;;
678;Benzineauto en MHEV: Categorie D;2018 1e kwartaal;;;;;;;;
679;Benzineauto en MHEV: Categorie D;2018 2e kwartaal;;;;;;;;
680;Benzineauto en MHEV: Categorie D;2018 3e kwartaal;;;;;;;;
681;Benzineauto en MHEV: Categorie D;2018 4e kwartaal;;;;;;;;
682;Benzineauto en MHEV: Categorie D;2018;;;;;;;;
683;Benzineauto en MHEV: Categorie D;2019 1e kwartaal;;;;;;;;
684;Benzineauto en MHEV: Categorie D;2019 2e kwartaal;;;;;;;;
685;Benzineauto en MHEV: Categorie D;2019 3e kwartaal;;;;;;;;
686;Benzineauto en MHEV: Categorie D;2019 4e kwartaal;;;;;;;;
687;Benzineauto en MHEV: Categorie D;2019;;;;;;;;
688;Benzineauto en MHEV: Categorie D;2020 1e kwartaal;;;;;;;;
689;Benzineauto en MHEV: Categorie D;2020 2e kwartaal;;;;;;;;
690;Benzineauto en MHEV: Categorie D;2020 3e kwartaal;;;;;;;;
691;Benzineauto en MHEV: Categorie D;2020 4e kwartaal;97.9;;;;95.5;;;
692;Benzineauto en MHEV: Categorie D;2020;;;;;;;;
693;Benzineauto en MHEV: Categorie D;2021 1e kwartaal;99.4;1.5;;3.2;97.5;2.1;;4.1
694;Benzineauto en MHEV: Categorie D;2021 2e kwartaal;100.1;0.7;;3.2;99.5;2.1;;4.1
695;Benzineauto en MHEV: Categorie D;2021 3e kwartaal;100.4;0.3;;3.2;100.4;1.0;;4.1
696;Benzineauto en MHEV: Categorie D;2021 4e kwartaal;100.1;-0.3;2.2;3.2;102.6;2.1;7.4;4.1
697;Benzineauto en MHEV: Categorie D;2021;100.0;;;3.2;100.0;;;4.1
698;Benzineauto en MHEV: Categorie D;2022 1e kwartaal;102.2;2.1;2.8;3.2;104.7;2.0;7.4;4.1
699;Benzineauto en MHEV: Categorie D;2022 2e kwartaal;106.5;4.2;6.4;3.2;109.9;5.0;10.5;4.1
700;Benzineauto en MHEV: Categorie D;2022 3e kwartaal;108.9;2.2;8.4;3.2;111.7;1.6;11.2;4.1
701;Benzineauto en MHEV: Categorie D;2022 4e kwartaal;113.2;4.0;13.1;3.2;113.3;1.4;10.5;4.1
702;Benzineauto en MHEV: Categorie D;2022;107.7;;7.7;3.2;109.9;;9.9;4.1
703;Benzineauto en MHEV: Categorie D;2023 1e kwartaal;117.0;3.3;14.5;3.2;114.6;1.1;9.5;4.1
704;Benzineauto en MHEV: Categorie D;2023 2e kwartaal;118.1;0.9;10.9;3.2;115.0;0.4;4.6;4.1
705;Benzineauto en MHEV: Categorie D;2023 3e kwartaal;119.2;1.0;9.5;3.2;118.5;3.0;6.1;4.1
706;Benzineauto en MHEV: Categorie D;2023 4e kwartaal;120.8;1.3;6.7;3.2;119.7;1.1;5.7;4.1
707;Benzineauto en MHEV: Categorie D;2023;118.8;;10.3;3.2;116.9;;6.4;4.1
708;Benzineauto en MHEV: Categorie D;2024 1e kwartaal;123.0;1.9;5.2;3.2;121.1;1.1;5.7;4.1
709;Benzineauto en MHEV: Categorie D;2024 2e kwartaal;123.5;0.4;4.6;3.2;121.9;0.7;5.9;4.1
710;Benzineauto en MHEV: Categorie D;2024 3e kwartaal;122.6;-0.8;2.8;3.2;120.4;-1.2;1.7;4.1
711;Benzineauto en MHEV: Categorie D;2024 4e kwartaal;122.6;0.0;1.5;3.2;119.5;-0.8;-0.2;4.1
712;Benzineauto en MHEV: Categorie D;2024;122.9;;3.5;3.2;120.7;;3.2;4.1
713;Benzineauto en MHEV: Categorie D;2025 1e kwartaal;124.6;1.7;1.3;3.2;121.5;1.7;0.4;4.1
714;Personenauto's: Hybride;2001 3e kwartaal;;;;;;;;
715;Personenauto's: Hybride;2001 4e kwartaal;;;;;;;;
716;Personenauto's: Hybride;2001;;;;;;;;
717;Personenauto's: Hybride;2002 1e kwartaal;;;;;;;;
718;Personenauto's: Hybride;2002 2e kwartaal;;;;;;;;
719;Personenauto's: Hybride;2002 3e kwartaal;;;;;;;;
720;Personenauto's: Hybride;2002 4e kwartaal;;;;;;;;
721;Personenauto's: Hybride;2002;;;;;;;;
722;Personenauto's: Hybride;2003 1e kwartaal;;;;;;;;
723;Personenauto's: Hybride;2003 2e kwartaal;;;;;;;;
724;Personenauto's: Hybride;2003 3e kwartaal;;;;;;;;
725;Personenauto's: Hybride;2003 4e kwartaal;;;;;;;;
726;Personenauto's: Hybride;2003 ;;;;;;;;
727;Personenauto's: Hybride;2004 1e kwartaal;;;;;;;;
728;Personenauto's: Hybride;2004 2e kwartaal;;;;;;;;
729;Personenauto's: Hybride;2004 3e kwartaal;;;;;;;;
730;Personenauto's: Hybride;2004 4e kwartaal;;;;;;;;
731;Personenauto's: Hybride;2004;;;;;;;;
732;Personenauto's: Hybride;2005 1e kwartaal;;;;;;;;
733;Personenauto's: Hybride;2005 2e kwartaal;;;;;;;;
734;Personenauto's: Hybride;2005 3e kwartaal;;;;;;;;
735;Personenauto's: Hybride;2005 4e kwartaal;;;;;;;;
736;Personenauto's: Hybride;2005;;;;;;;;
737;Personenauto's: Hybride;2006 1e kwartaal;;;;;;;;
738;Personenauto's: Hybride;2006 2e kwartaal;;;;;;;;
739;Personenauto's: Hybride;2006 3e kwartaal;;;;;;;;
740;Personenauto's: Hybride;2006 4e kwartaal;;;;;;;;
741;Personenauto's: Hybride;2006;;;;;;;;
742;Personenauto's: Hybride;2007 1e kwartaal;;;;;;;;
743;Personenauto's: Hybride;2007 2e kwartaal;;;;;;;;
744;Personenauto's: Hybride;2007 3e kwartaal;;;;;;;;
745;Personenauto's: Hybride;2007 4e kwartaal;;;;;;;;
746;Personenauto's: Hybride;2007;;;;;;;;
747;Personenauto's: Hybride;2008 1e kwartaal;;;;;;;;
748;Personenauto's: Hybride;2008 2e kwartaal;;;;;;;;
749;Personenauto's: Hybride;2008 3e kwartaal;;;;;;;;
750;Personenauto's: Hybride;2008 4e kwartaal;;;;;;;;
751;Personenauto's: Hybride;2008;;;;;;;;
752;Personenauto's: Hybride;2009 1e kwartaal;;;;;;;;
753;Personenauto's: Hybride;2009 2e kwartaal;;;;;;;;
754;Personenauto's: Hybride;2009 3e kwartaal;;;;;;;;
755;Personenauto's: Hybride;2009 4e kwartaal;;;;;;;;
756;Personenauto's: Hybride;2009;;;;;;;;
757;Personenauto's: Hybride;2010 1e kwartaal;;;;;;;;
758;Personenauto's: Hybride;2010 2e kwartaal;;;;;;;;
759;Personenauto's: Hybride;2010 3e kwartaal;;;;;;;;
760;Personenauto's: Hybride;2010 4e kwartaal;;;;;;;;
761;Personenauto's: Hybride;2010;;;;;;;;
762;Personenauto's: Hybride;2011 1e kwartaal;;;;;;;;
763;Personenauto's: Hybride;2011 2e kwartaal;;;;;;;;
764;Personenauto's: Hybride;2011 3e kwartaal;;;;;;;;
765;Personenauto's: Hybride;2011 4e kwartaal;;;;;;;;
766;Personenauto's: Hybride;2011;;;;;;;;
767;Personenauto's: Hybride;2012 1e kwartaal;;;;;;;;
768;Personenauto's: Hybride;2012 2e kwartaal;;;;;;;;
769;Personenauto's: Hybride;2012 3e kwartaal;;;;;;;;
770;Personenauto's: Hybride;2012 4e kwartaal;;;;;;;;
771;Personenauto's: Hybride;2012;;;;;;;;
772;Personenauto's: Hybride;2013 1e kwartaal;;;;;;;;
773;Personenauto's: Hybride;2013 2e kwartaal;;;;;;;;
774;Personenauto's: Hybride;2013 3e kwartaal;;;;;;;;
775;Personenauto's: Hybride;2013 4e kwartaal;;;;;;;;
776;Personenauto's: Hybride;2013;;;;;;;;
777;Personenauto's: Hybride;2014 1e kwartaal;;;;;;;;
778;Personenauto's: Hybride;2014 2e kwartaal;;;;;;;;
779;Personenauto's: Hybride;2014 3e kwartaal;;;;;;;;
780;Personenauto's: Hybride;2014 4e kwartaal;;;;;;;;
781;Personenauto's: Hybride;2014;;;;;;;;
782;Personenauto's: Hybride;2015 1e kwartaal;;;;;;;;
783;Personenauto's: Hybride;2015 2e kwartaal;;;;;;;;
784;Personenauto's: Hybride;2015 3e kwartaal;;;;;;;;
785;Personenauto's: Hybride;2015 4e kwartaal;;;;;;;;
786;Personenauto's: Hybride;2015;;;;;;;;
787;Personenauto's: Hybride;2016 1e kwartaal;;;;;;;;
788;Personenauto's: Hybride;2016 2e kwartaal;;;;;;;;
789;Personenauto's: Hybride;2016 3e kwartaal;;;;;;;;
790;Personenauto's: Hybride;2016 4e kwartaal;;;;;;;;
791;Personenauto's: Hybride;2016;;;;;;;;
792;Personenauto's: Hybride;2017 1e kwartaal;;;;;;;;
793;Personenauto's: Hybride;2017 2e kwartaal;;;;;;;;
794;Personenauto's: Hybride;2017 3e kwartaal;;;;;;;;
795;Personenauto's: Hybride;2017 4e kwartaal;;;;;;;;
796;Personenauto's: Hybride;2017;;;;;;;;
797;Personenauto's: Hybride;2018 1e kwartaal;;;;;;;;
798;Personenauto's: Hybride;2018 2e kwartaal;;;;;;;;
799;Personenauto's: Hybride;2018 3e kwartaal;;;;;;;;
800;Personenauto's: Hybride;2018 4e kwartaal;;;;;;;;
801;Personenauto's: Hybride;2018;;;;;;;;
802;Personenauto's: Hybride;2019 1e kwartaal;;;;;;;;
803;Personenauto's: Hybride;2019 2e kwartaal;;;;;;;;
804;Personenauto's: Hybride;2019 3e kwartaal;;;;;;;;
805;Personenauto's: Hybride;2019 4e kwartaal;;;;;;;;
806;Personenauto's: Hybride;2019;;;;;;;;
807;Personenauto's: Hybride;2020 1e kwartaal;;;;;;;;
808;Personenauto's: Hybride;2020 2e kwartaal;;;;;;;;
809;Personenauto's: Hybride;2020 3e kwartaal;;;;;;;;
810;Personenauto's: Hybride;2020 4e kwartaal;100.0;;;;98.2;;;
811;Personenauto's: Hybride;2020;;;;;;;;
812;Personenauto's: Hybride;2021 1e kwartaal;100.2;0.2;;20.1;98.9;0.7;;26.0
813;Personenauto's: Hybride;2021 2e kwartaal;99.8;-0.4;;20.1;99.5;0.6;;26.0
814;Personenauto's: Hybride;2021 3e kwartaal;99.7;-0.1;;20.1;99.9;0.4;;26.0
815;Personenauto's: Hybride;2021 4e kwartaal;100.3;0.6;0.4;20.1;101.8;1.9;3.6;26.0
816;Personenauto's: Hybride;2021;100.0;;;20.1;100.0;;;26.0
817;Personenauto's: Hybride;2022 1e kwartaal;102.4;2.1;2.2;20.1;104.3;2.5;5.5;26.0
818;Personenauto's: Hybride;2022 2e kwartaal;106.5;4.0;6.7;20.1;108.9;4.4;9.4;26.0
819;Personenauto's: Hybride;2022 3e kwartaal;109.1;2.4;9.4;20.1;111.2;2.2;11.4;26.0
820;Personenauto's: Hybride;2022 4e kwartaal;113.8;4.3;13.4;20.1;115.5;3.8;13.5;26.0
821;Personenauto's: Hybride;2022;107.9;;7.9;20.1;110.0;;10.0;26.0
822;Personenauto's: Hybride;2023 1e kwartaal;116.6;2.5;13.8;20.1;118.8;2.9;13.9;26.0
823;Personenauto's: Hybride;2023 2e kwartaal;116.9;0.2;9.7;20.1;119.1;0.3;9.4;26.0
824;Personenauto's: Hybride;2023 3e kwartaal;116.6;-0.2;6.9;20.1;119.7;0.5;7.6;26.0
825;Personenauto's: Hybride;2023 4e kwartaal;118.0;1.2;3.7;20.1;120.7;0.8;4.5;26.0
826;Personenauto's: Hybride;2023;117.0;;8.4;20.1;119.6;;8.7;26.0
827;Personenauto's: Hybride;2024 1e kwartaal;118.6;0.5;1.8;20.1;121.3;0.5;2.1;26.0
828;Personenauto's: Hybride;2024 2e kwartaal;118.2;-0.3;1.2;20.1;121.2;-0.1;1.8;26.0
829;Personenauto's: Hybride;2024 3e kwartaal;117.8;-0.4;1.0;20.1;120.7;-0.5;0.8;26.0
830;Personenauto's: Hybride;2024 4e kwartaal;117.4;-0.3;-0.5;20.1;120.1;-0.5;-0.5;26.0
831;Personenauto's: Hybride;2024;118.0;;0.9;20.1;120.8;;1.0;26.0
832;Personenauto's: Hybride;2025 1e kwartaal;120.1;2.3;1.3;20.1;122.7;2.2;1.1;26.0
833;Hybride auto's: A en B incl. MPV/SUV;2001 3e kwartaal;;;;;;;;
834;Hybride auto's: A en B incl. MPV/SUV;2001 4e kwartaal;;;;;;;;
835;Hybride auto's: A en B incl. MPV/SUV;2001;;;;;;;;
836;Hybride auto's: A en B incl. MPV/SUV;2002 1e kwartaal;;;;;;;;
837;Hybride auto's: A en B incl. MPV/SUV;2002 2e kwartaal;;;;;;;;
838;Hybride auto's: A en B incl. MPV/SUV;2002 3e kwartaal;;;;;;;;
839;Hybride auto's: A en B incl. MPV/SUV;2002 4e kwartaal;;;;;;;;
840;Hybride auto's: A en B incl. MPV/SUV;2002;;;;;;;;
841;Hybride auto's: A en B incl. MPV/SUV;2003 1e kwartaal;;;;;;;;
842;Hybride auto's: A en B incl. MPV/SUV;2003 2e kwartaal;;;;;;;;
843;Hybride auto's: A en B incl. MPV/SUV;2003 3e kwartaal;;;;;;;;
844;Hybride auto's: A en B incl. MPV/SUV;2003 4e kwartaal;;;;;;;;
845;Hybride auto's: A en B incl. MPV/SUV;2003 ;;;;;;;;
846;Hybride auto's: A en B incl. MPV/SUV;2004 1e kwartaal;;;;;;;;
847;Hybride auto's: A en B incl. MPV/SUV;2004 2e kwartaal;;;;;;;;
848;Hybride auto's: A en B incl. MPV/SUV;2004 3e kwartaal;;;;;;;;
849;Hybride auto's: A en B incl. MPV/SUV;2004 4e kwartaal;;;;;;;;
850;Hybride auto's: A en B incl. MPV/SUV;2004;;;;;;;;
851;Hybride auto's: A en B incl. MPV/SUV;2005 1e kwartaal;;;;;;;;
852;Hybride auto's: A en B incl. MPV/SUV;2005 2e kwartaal;;;;;;;;
853;Hybride auto's: A en B incl. MPV/SUV;2005 3e kwartaal;;;;;;;;
854;Hybride auto's: A en B incl. MPV/SUV;2005 4e kwartaal;;;;;;;;
855;Hybride auto's: A en B incl. MPV/SUV;2005;;;;;;;;
856;Hybride auto's: A en B incl. MPV/SUV;2006 1e kwartaal;;;;;;;;
857;Hybride auto's: A en B incl. MPV/SUV;2006 2e kwartaal;;;;;;;;
858;Hybride auto's: A en B incl. MPV/SUV;2006 3e kwartaal;;;;;;;;
859;Hybride auto's: A en B incl. MPV/SUV;2006 4e kwartaal;;;;;;;;
860;Hybride auto's: A en B incl. MPV/SUV;2006;;;;;;;;
861;Hybride auto's: A en B incl. MPV/SUV;2007 1e kwartaal;;;;;;;;
862;Hybride auto's: A en B incl. MPV/SUV;2007 2e kwartaal;;;;;;;;
863;Hybride auto's: A en B incl. MPV/SUV;2007 3e kwartaal;;;;;;;;
864;Hybride auto's: A en B incl. MPV/SUV;2007 4e kwartaal;;;;;;;;
865;Hybride auto's: A en B incl. MPV/SUV;2007;;;;;;;;
866;Hybride auto's: A en B incl. MPV/SUV;2008 1e kwartaal;;;;;;;;
867;Hybride auto's: A en B incl. MPV/SUV;2008 2e kwartaal;;;;;;;;
868;Hybride auto's: A en B incl. MPV/SUV;2008 3e kwartaal;;;;;;;;
869;Hybride auto's: A en B incl. MPV/SUV;2008 4e kwartaal;;;;;;;;
870;Hybride auto's: A en B incl. MPV/SUV;2008;;;;;;;;
871;Hybride auto's: A en B incl. MPV/SUV;2009 1e kwartaal;;;;;;;;
872;Hybride auto's: A en B incl. MPV/SUV;2009 2e kwartaal;;;;;;;;
873;Hybride auto's: A en B incl. MPV/SUV;2009 3e kwartaal;;;;;;;;
874;Hybride auto's: A en B incl. MPV/SUV;2009 4e kwartaal;;;;;;;;
875;Hybride auto's: A en B incl. MPV/SUV;2009;;;;;;;;
876;Hybride auto's: A en B incl. MPV/SUV;2010 1e kwartaal;;;;;;;;
877;Hybride auto's: A en B incl. MPV/SUV;2010 2e kwartaal;;;;;;;;
878;Hybride auto's: A en B incl. MPV/SUV;2010 3e kwartaal;;;;;;;;
879;Hybride auto's: A en B incl. MPV/SUV;2010 4e kwartaal;;;;;;;;
880;Hybride auto's: A en B incl. MPV/SUV;2010;;;;;;;;
881;Hybride auto's: A en B incl. MPV/SUV;2011 1e kwartaal;;;;;;;;
882;Hybride auto's: A en B incl. MPV/SUV;2011 2e kwartaal;;;;;;;;
883;Hybride auto's: A en B incl. MPV/SUV;2011 3e kwartaal;;;;;;;;
884;Hybride auto's: A en B incl. MPV/SUV;2011 4e kwartaal;;;;;;;;
885;Hybride auto's: A en B incl. MPV/SUV;2011;;;;;;;;
886;Hybride auto's: A en B incl. MPV/SUV;2012 1e kwartaal;;;;;;;;
887;Hybride auto's: A en B incl. MPV/SUV;2012 2e kwartaal;;;;;;;;
888;Hybride auto's: A en B incl. MPV/SUV;2012 3e kwartaal;;;;;;;;
889;Hybride auto's: A en B incl. MPV/SUV;2012 4e kwartaal;;;;;;;;
890;Hybride auto's: A en B incl. MPV/SUV;2012;;;;;;;;
891;Hybride auto's: A en B incl. MPV/SUV;2013 1e kwartaal;;;;;;;;
892;Hybride auto's: A en B incl. MPV/SUV;2013 2e kwartaal;;;;;;;;
893;Hybride auto's: A en B incl. MPV/SUV;2013 3e kwartaal;;;;;;;;
894;Hybride auto's: A en B incl. MPV/SUV;2013 4e kwartaal;;;;;;;;
895;Hybride auto's: A en B incl. MPV/SUV;2013;;;;;;;;
896;Hybride auto's: A en B incl. MPV/SUV;2014 1e kwartaal;;;;;;;;
897;Hybride auto's: A en B incl. MPV/SUV;2014 2e kwartaal;;;;;;;;
898;Hybride auto's: A en B incl. MPV/SUV;2014 3e kwartaal;;;;;;;;
899;Hybride auto's: A en B incl. MPV/SUV;2014 4e kwartaal;;;;;;;;
900;Hybride auto's: A en B incl. MPV/SUV;2014;;;;;;;;
901;Hybride auto's: A en B incl. MPV/SUV;2015 1e kwartaal;;;;;;;;
902;Hybride auto's: A en B incl. MPV/SUV;2015 2e kwartaal;;;;;;;;
903;Hybride auto's: A en B incl. MPV/SUV;2015 3e kwartaal;;;;;;;;
904;Hybride auto's: A en B incl. MPV/SUV;2015 4e kwartaal;;;;;;;;
905;Hybride auto's: A en B incl. MPV/SUV;2015;;;;;;;;
906;Hybride auto's: A en B incl. MPV/SUV;2016 1e kwartaal;;;;;;;;
907;Hybride auto's: A en B incl. MPV/SUV;2016 2e kwartaal;;;;;;;;
908;Hybride auto's: A en B incl. MPV/SUV;2016 3e kwartaal;;;;;;;;
909;Hybride auto's: A en B incl. MPV/SUV;2016 4e kwartaal;;;;;;;;
910;Hybride auto's: A en B incl. MPV/SUV;2016;;;;;;;;
911;Hybride auto's: A en B incl. MPV/SUV;2017 1e kwartaal;;;;;;;;
912;Hybride auto's: A en B incl. MPV/SUV;2017 2e kwartaal;;;;;;;;
913;Hybride auto's: A en B incl. MPV/SUV;2017 3e kwartaal;;;;;;;;
914;Hybride auto's: A en B incl. MPV/SUV;2017 4e kwartaal;;;;;;;;
915;Hybride auto's: A en B incl. MPV/SUV;2017;;;;;;;;
916;Hybride auto's: A en B incl. MPV/SUV;2018 1e kwartaal;;;;;;;;
917;Hybride auto's: A en B incl. MPV/SUV;2018 2e kwartaal;;;;;;;;
918;Hybride auto's: A en B incl. MPV/SUV;2018 3e kwartaal;;;;;;;;
919;Hybride auto's: A en B incl. MPV/SUV;2018 4e kwartaal;;;;;;;;
920;Hybride auto's: A en B incl. MPV/SUV;2018;;;;;;;;
921;Hybride auto's: A en B incl. MPV/SUV;2019 1e kwartaal;;;;;;;;
922;Hybride auto's: A en B incl. MPV/SUV;2019 2e kwartaal;;;;;;;;
923;Hybride auto's: A en B incl. MPV/SUV;2019 3e kwartaal;;;;;;;;
924;Hybride auto's: A en B incl. MPV/SUV;2019 4e kwartaal;;;;;;;;
925;Hybride auto's: A en B incl. MPV/SUV;2019;;;;;;;;
926;Hybride auto's: A en B incl. MPV/SUV;2020 1e kwartaal;;;;;;;;
927;Hybride auto's: A en B incl. MPV/SUV;2020 2e kwartaal;;;;;;;;
928;Hybride auto's: A en B incl. MPV/SUV;2020 3e kwartaal;;;;;;;;
929;Hybride auto's: A en B incl. MPV/SUV;2020 4e kwartaal;100.0;;;;98.2;;;
930;Hybride auto's: A en B incl. MPV/SUV;2020;;;;;;;;
931;Hybride auto's: A en B incl. MPV/SUV;2021 1e kwartaal;100.2;0.2;;3.2;98.9;0.7;;4.2
932;Hybride auto's: A en B incl. MPV/SUV;2021 2e kwartaal;99.8;-0.4;;3.2;99.5;0.6;;4.2
933;Hybride auto's: A en B incl. MPV/SUV;2021 3e kwartaal;99.7;-0.1;;3.2;99.9;0.4;;4.2
934;Hybride auto's: A en B incl. MPV/SUV;2021 4e kwartaal;100.3;0.6;0.4;3.2;101.8;1.9;3.6;4.2
935;Hybride auto's: A en B incl. MPV/SUV;2021;100.0;;;3.2;100.0;;;4.2
936;Hybride auto's: A en B incl. MPV/SUV;2022 1e kwartaal;102.4;2.1;2.2;3.2;104.3;2.5;5.5;4.2
937;Hybride auto's: A en B incl. MPV/SUV;2022 2e kwartaal;106.5;4.0;6.7;3.2;108.9;4.4;9.4;4.2
938;Hybride auto's: A en B incl. MPV/SUV;2022 3e kwartaal;109.1;2.4;9.4;3.2;111.2;2.2;11.4;4.2
939;Hybride auto's: A en B incl. MPV/SUV;2022 4e kwartaal;113.8;4.3;13.4;3.2;115.5;3.8;13.5;4.2
940;Hybride auto's: A en B incl. MPV/SUV;2022;107.9;;7.9;3.2;110.0;;10.0;4.2
941;Hybride auto's: A en B incl. MPV/SUV;2023 1e kwartaal;116.6;2.5;13.8;3.2;118.8;2.9;13.9;4.2
942;Hybride auto's: A en B incl. MPV/SUV;2023 2e kwartaal;116.9;0.2;9.7;3.2;119.1;0.3;9.4;4.2
943;Hybride auto's: A en B incl. MPV/SUV;2023 3e kwartaal;116.6;-0.2;6.9;3.2;119.7;0.5;7.6;4.2
944;Hybride auto's: A en B incl. MPV/SUV;2023 4e kwartaal;118.0;1.2;3.7;3.2;120.7;0.8;4.5;4.2
945;Hybride auto's: A en B incl. MPV/SUV;2023;117.0;;8.4;3.2;119.6;;8.7;4.2
946;Hybride auto's: A en B incl. MPV/SUV;2024 1e kwartaal;119.1;1.0;2.2;3.2;122.6;1.6;3.2;4.2
947;Hybride auto's: A en B incl. MPV/SUV;2024 2e kwartaal;119.2;0.1;2.0;3.2;123.9;1.0;4.0;4.2
948;Hybride auto's: A en B incl. MPV/SUV;2024 3e kwartaal;117.6;-1.3;0.9;3.2;122.1;-1.5;2.0;4.2
949;Hybride auto's: A en B incl. MPV/SUV;2024 4e kwartaal;115.6;-1.7;-2.0;3.2;119.7;-2.0;-0.8;4.2
950;Hybride auto's: A en B incl. MPV/SUV;2024;117.9;;0.8;3.2;122.1;;2.1;4.2
951;Hybride auto's: A en B incl. MPV/SUV;2025 1e kwartaal;117.9;2.0;-1.1;3.2;122.0;2.0;-0.5;4.2
952;Hybride auto's:  C inclusief MPV/SUV;2001 3e kwartaal;;;;;;;;
953;Hybride auto's:  C inclusief MPV/SUV;2001 4e kwartaal;;;;;;;;
