ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
3149;Building projects started;Noord-Nederland (LD);2019 1st quarter;359;102;257;193.0;;;;;;;;;
3150;Building projects started;Noord-Nederland (LD);2019 April;104;25;79;67.0;;;;;;;;;
3151;Building projects started;Noord-Nederland (LD);2019 May;96;28;68;46.0;;;;;;;;;
3152;Building projects started;Noord-Nederland (LD);2019 June;107;23;84;54.0;;;;;;;;;
3153;Building projects started;Noord-Nederland (LD);2019 2nd quarter;307;76;231;167.0;;;;;;;;;
3154;Building projects started;Noord-Nederland (LD);2019 July;107;23;84;61.0;;;;;;;;;
3155;Building projects started;Noord-Nederland (LD);2019 August;108;22;86;68.0;;;;;;;;;
3156;Building projects started;Noord-Nederland (LD);2019 September;123;33;90;66.0;;;;;;;;;
3157;Building projects started;Noord-Nederland (LD);2019 3rd quarter;338;79;259;195.0;;;;;;;;;
3158;Building projects started;Noord-Nederland (LD);2019 October;92;28;64;32.0;;;;;;;;;
3159;Building projects started;Noord-Nederland (LD);2019 November;110;15;95;75.0;;;;;;;;;
3160;Building projects started;Noord-Nederland (LD);2019 December;171;55;116;94.0;;;;;;;;;
3161;Building projects started;Noord-Nederland (LD);2019 4th quarter;374;98;276;202.0;;;;;;;;;
3162;Building projects started;Noord-Nederland (LD);2019;1377;354;1023;757.0;40.0;59.0;27.0;13.0;12.0;19.0;33.0;40.0;23.0
3163;Building projects started;Noord-Nederland (LD);2020 January;124;24;100;83.0;;;;;;;;;
3164;Building projects started;Noord-Nederland (LD);2020 February;121;21;100;77.0;;;;;;;;;
3165;Building projects started;Noord-Nederland (LD);2020 March;159;24;135;115.0;;;;;;;;;
3166;Building projects started;Noord-Nederland (LD);2020 1st quarter;405;69;336;276.0;;;;;;;;;
3167;Building projects started;Noord-Nederland (LD);2020 April;145;27;118;74.0;;;;;;;;;
3168;Building projects started;Noord-Nederland (LD);2020 May;176;33;143;112.0;;;;;;;;;
3169;Building projects started;Noord-Nederland (LD);2020 June;132;30;102;85.0;;;;;;;;;
3170;Building projects started;Noord-Nederland (LD);2020 2nd quarter;453;89;363;271.0;;;;;;;;;
3171;Building projects started;Noord-Nederland (LD);2020 July;152;26;126;103.0;;;;;;;;;
3172;Building projects started;Noord-Nederland (LD);2020 August;165;43;122;69.0;;;;;;;;;
3173;Building projects started;Noord-Nederland (LD);2020 September;108;27;81;70.0;;;;;;;;;
3174;Building projects started;Noord-Nederland (LD);2020 3rd quarter;425;96;329;241.0;;;;;;;;;
3175;Building projects started;Noord-Nederland (LD);2020 October;152;30;122;55.0;;;;;;;;;
3176;Building projects started;Noord-Nederland (LD);2020 November;166;20;146;118.0;;;;;;;;;
3177;Building projects started;Noord-Nederland (LD);2020 December;116;28;88;51.0;;;;;;;;;
3178;Building projects started;Noord-Nederland (LD);2020 4th quarter;435;78;356;224.0;;;;;;;;;
3179;Building projects started;Noord-Nederland (LD);2020;1717;333;1384;1012.0;32.0;69.0;57.0;36.0;31.0;8.0;54.0;65.0;18.0
3180;Building projects started;Noord-Nederland (LD);2021 January;187;28;158;68.0;;;;;;;;;
3181;Building projects started;Noord-Nederland (LD);2021 February;119;38;82;62.0;;;;;;;;;
3182;Building projects started;Noord-Nederland (LD);2021 March;136;41;95;72.0;;;;;;;;;
3183;Building projects started;Noord-Nederland (LD);2021 1st quarter;442;107;335;203.0;;;;;;;;;
3184;Building projects started;Noord-Nederland (LD);2021 April;174;39;135;115.0;;;;;;;;;
3185;Building projects started;Noord-Nederland (LD);2021 May;211;43;168;126.0;;;;;;;;;
3186;Building projects started;Noord-Nederland (LD);2021 June;178;49;130;94.0;;;;;;;;;
3187;Building projects started;Noord-Nederland (LD);2021 2nd quarter;563;131;432;335.0;;;;;;;;;
3188;Building projects started;Noord-Nederland (LD);2021 July;164;22;142;117.0;;;;;;;;;
3189;Building projects started;Noord-Nederland (LD);2021 August;111;30;82;63.0;;;;;;;;;
3190;Building projects started;Noord-Nederland (LD);2021 September;136;44;92;56.0;;;;;;;;;
3191;Building projects started;Noord-Nederland (LD);2021 3rd quarter;412;96;316;236.0;;;;;;;;;
3192;Building projects started;Noord-Nederland (LD);2021 October;144;37;106;53.0;;;;;;;;;
3193;Building projects started;Noord-Nederland (LD);2021 November;142;41;101;74.0;;;;;;;;;
3194;Building projects started;Noord-Nederland (LD);2021 December;229;46;183;122.0;;;;;;;;;
3195;Building projects started;Noord-Nederland (LD);2021 4th quarter;514;124;390;248.0;;;;;;;;;
3196;Building projects started;Noord-Nederland (LD);2021;1931;458;1473;1022.0;111.0;70.0;46.0;23.0;45.0;3.0;37.0;92.0;23.0
3197;Building projects started;Noord-Nederland (LD);2022 January;141;38;102;77.0;;;;;;;;;
3198;Building projects started;Noord-Nederland (LD);2022 February;141;30;111;88.0;;;;;;;;;
3199;Building projects started;Noord-Nederland (LD);2022 March;157;42;115;58.0;;;;;;;;;
3200;Building projects started;Noord-Nederland (LD);2022 1st quarter;439;111;328;223.0;;;;;;;;;
3201;Building projects started;Noord-Nederland (LD);2022 April;163;44;119;90.0;;;;;;;;;
3202;Building projects started;Noord-Nederland (LD);2022 May;167;41;126;74.0;;;;;;;;;
3203;Building projects started;Noord-Nederland (LD);2022 June;113;27;86;68.0;;;;;;;;;
3204;Building projects started;Noord-Nederland (LD);2022 2nd quarter;443;112;331;232.0;;;;;;;;;
3205;Building projects started;Noord-Nederland (LD);2022 July;160;48;113;78.0;;;;;;;;;
3206;Building projects started;Noord-Nederland (LD);2022 August;185;48;137;87.0;;;;;;;;;
3207;Building projects started;Noord-Nederland (LD);2022 September;155;40;115;79.0;;;;;;;;;
3208;Building projects started;Noord-Nederland (LD);2022 3rd quarter;500;135;365;244.0;;;;;;;;;
3209;Building projects started;Noord-Nederland (LD);2022 October;136;52;84;63.0;;;;;;;;;
3210;Building projects started;Noord-Nederland (LD);2022 November;138;24;114;93.0;;;;;;;;;
3211;Building projects started;Noord-Nederland (LD);2022 December;216;22;195;72.0;;;;;;;;;
3212;Building projects started;Noord-Nederland (LD);2022 4th quarter;491;97;394;229.0;;;;;;;;;
3213;Building projects started;Noord-Nederland (LD);2022;1874;455;1419;927.0;28.0;156.0;47.0;91.0;47.0;2.0;20.0;41.0;57.0
3214;Building projects started;Noord-Nederland (LD);2023 January;129;37;92;79.0;;;;;;;;;
3215;Building projects started;Noord-Nederland (LD);2023 February;154;31;124;70.0;;;;;;;;;
3216;Building projects started;Noord-Nederland (LD);2023 March;101;29;72;34.0;;;;;;;;;
3217;Building projects started;Noord-Nederland (LD);2023 1st quarter;384;96;287;183.0;;;;;;;;;
3218;Building projects started;Noord-Nederland (LD);2023 April;126;41;84;67.0;;;;;;;;;
3219;Building projects started;Noord-Nederland (LD);2023 May;212;33;180;106.0;;;;;;;;;
3220;Building projects started;Noord-Nederland (LD);2023 June;170;33;137;71.0;;;;;;;;;
3221;Building projects started;Noord-Nederland (LD);2023 2nd quarter;509;107;401;244.0;;;;;;;;;
3222;Building projects started;Noord-Nederland (LD);2023 July;161;48;113;84.0;;;;;;;;;
3223;Building projects started;Noord-Nederland (LD);2023 August;161;66;94;63.0;;;;;;;;;
3224;Building projects started;Noord-Nederland (LD);2023 September;119;36;83;51.0;;;;;;;;;
3225;Building projects started;Noord-Nederland (LD);2023 3rd quarter;440;150;291;198.0;;;;;;;;;
3226;Building projects started;Noord-Nederland (LD);2023 October;110;35;75;53.0;;;;;;;;;
3227;Building projects started;Noord-Nederland (LD);2023 November;157;23;135;102.0;;;;;;;;;
3228;Building projects started;Noord-Nederland (LD);2023 December;129;16;113;96.0;;;;;;;;;
3229;Building projects started;Noord-Nederland (LD);2023 4th quarter;396;73;323;250.0;;;;;;;;;
3230;Building projects started;Noord-Nederland (LD);2023;1728;427;1302;875.0;28.0;79.0;79.0;100.0;25.0;4.0;41.0;36.0;33.0
3231;Building projects started;Noord-Nederland (LD);2024 January;133;64;68;53.0;;;;;;;;;
3232;Building projects started;Noord-Nederland (LD);2024 February;136;34;102;54.0;;;;;;;;;
3233;Building projects started;Noord-Nederland (LD);2024 March;140;53;87;52.0;;;;;;;;;
3234;Building projects started;Noord-Nederland (LD);2024 1st quarter;409;152;257;160.0;;;;;;;;;
3235;Building projects started;Noord-Nederland (LD);2024 April;147;56;91;71.0;;;;;;;;;
3236;Building projects started;Noord-Nederland (LD);2024 May;187;40;147;72.0;;;;;;;;;
3237;Building projects started;Noord-Nederland (LD);2024 June;182;35;147;83.0;;;;;;;;;
3238;Building projects started;Noord-Nederland (LD);2024 2nd quarter;516;131;385;225.0;;;;;;;;;
3239;Building projects started;Noord-Nederland (LD);2024 July;106;36;70;45.0;;;;;;;;;
3240;Building projects started;Noord-Nederland (LD);2024 August;143;33;110;91.0;;;;;;;;;
3241;Building projects started;Noord-Nederland (LD);2024 September;184;31;153;73.0;;;;;;;;;
3242;Building projects started;Noord-Nederland (LD);2024 3rd quarter;434;101;333;209.0;;;;;;;;;
3243;Building projects started;Noord-Nederland (LD);2024 October;213;37;177;109.0;;;;;;;;;
3244;Building projects started;Noord-Nederland (LD);2024 November;158;37;121;102.0;;;;;;;;;
3245;Building projects started;Noord-Nederland (LD);2024 December;162;31;131;107.0;;;;;;;;;
3246;Building projects started;Noord-Nederland (LD);2024 4th quarter;533;105;428;319.0;;;;;;;;;
3247;Building projects started;Noord-Nederland (LD);2024;1892;488;1404;913.0;56.0;102.0;69.0;37.0;10.0;93.0;33.0;78.0;15.0
3248;Building projects started;Noord-Nederland (LD);2025 January;125;23;102;80.0;;;;;;;;;
3249;Building projects started;Oost-Nederland (LD);2015 January;191;42;150;116.0;10.0;5.0;9.0;4.0;2.0;0.0;0.0;3.0;1.0
3250;Building projects started;Oost-Nederland (LD);2015 February;167;35;132;93.0;9.0;3.0;5.0;0.0;1.0;1.0;6.0;0.0;15.0
3251;Building projects started;Oost-Nederland (LD);2015 March;177;31;146;115.0;8.0;1.0;5.0;6.0;2.0;0.0;2.0;6.0;2.0
3252;Building projects started;Oost-Nederland (LD);2015 1st quarter;536;108;428;323.0;27.0;9.0;18.0;10.0;5.0;1.0;8.0;9.0;17.0
3253;Building projects started;Oost-Nederland (LD);2015 April;334;61;273;202.0;10.0;7.0;24.0;1.0;2.0;0.0;14.0;3.0;10.0
3254;Building projects started;Oost-Nederland (LD);2015 May;312;67;245;190.0;8.0;10.0;8.0;1.0;4.0;0.0;7.0;2.0;14.0
3255;Building projects started;Oost-Nederland (LD);2015 June;255;37;218;155.0;9.0;6.0;4.0;0.0;21.0;0.0;13.0;1.0;9.0
3256;Building projects started;Oost-Nederland (LD);2015 2nd quarter;900;165;736;548.0;26.0;23.0;37.0;2.0;27.0;0.0;34.0;6.0;33.0
3257;Building projects started;Oost-Nederland (LD);2015 July;211;47;165;102.0;8.0;5.0;17.0;17.0;4.0;0.0;8.0;2.0;1.0
3258;Building projects started;Oost-Nederland (LD);2015 August;198;63;135;86.0;12.0;14.0;8.0;0.0;3.0;0.0;4.0;4.0;5.0
3259;Building projects started;Oost-Nederland (LD);2015 September;192;42;150;82.0;9.0;8.0;8.0;4.0;7.0;0.0;21.0;0.0;10.0
3260;Building projects started;Oost-Nederland (LD);2015 3rd quarter;601;152;450;270.0;29.0;28.0;33.0;22.0;14.0;0.0;33.0;6.0;16.0
3261;Building projects started;Oost-Nederland (LD);2015 October;163;46;117;79.0;11.0;4.0;2.0;1.0;2.0;1.0;8.0;4.0;5.0
3262;Building projects started;Oost-Nederland (LD);2015 November;192;41;151;109.0;7.0;13.0;11.0;1.0;8.0;0.0;0.0;1.0;1.0
3263;Building projects started;Oost-Nederland (LD);2015 December;163;40;123;91.0;6.0;11.0;4.0;1.0;1.0;0.0;2.0;1.0;5.0
3264;Building projects started;Oost-Nederland (LD);2015 4th quarter;517;127;391;278.0;24.0;28.0;17.0;4.0;11.0;1.0;9.0;6.0;12.0
3265;Building projects started;Oost-Nederland (LD);2015;2555;551;2004;1420.0;107.0;88.0;105.0;37.0;56.0;2.0;84.0;27.0;78.0
3266;Building projects started;Oost-Nederland (LD);2016 January;212;55;156;97.0;7.0;15.0;1.0;24.0;1.0;0.0;2.0;4.0;5.0
3267;Building projects started;Oost-Nederland (LD);2016 February;197;44;153;118.0;3.0;3.0;13.0;3.0;2.0;0.0;3.0;5.0;3.0
3268;Building projects started;Oost-Nederland (LD);2016 March;177;26;151;98.0;8.0;13.0;3.0;0.0;9.0;0.0;11.0;9.0;1.0
3269;Building projects started;Oost-Nederland (LD);2016 1st quarter;586;125;461;313.0;18.0;31.0;17.0;28.0;12.0;0.0;16.0;19.0;8.0
3270;Building projects started;Oost-Nederland (LD);2016 April;186;35;150;109.0;4.0;14.0;1.0;1.0;0.0;0.0;4.0;14.0;3.0
3271;Building projects started;Oost-Nederland (LD);2016 May;208;51;156;119.0;11.0;2.0;11.0;3.0;3.0;0.0;0.0;7.0;1.0
3272;Building projects started;Oost-Nederland (LD);2016 June;208;38;170;110.0;25.0;12.0;8.0;1.0;3.0;0.0;0.0;10.0;2.0
3273;Building projects started;Oost-Nederland (LD);2016 2nd quarter;602;125;477;338.0;39.0;28.0;20.0;5.0;6.0;0.0;4.0;31.0;5.0
3274;Building projects started;Oost-Nederland (LD);2016 July;246;45;202;131.0;6.0;3.0;40.0;3.0;1.0;3.0;3.0;9.0;3.0
3275;Building projects started;Oost-Nederland (LD);2016 August;205;33;173;113.0;15.0;23.0;1.0;7.0;2.0;1.0;2.0;6.0;2.0
3276;Building projects started;Oost-Nederland (LD);2016 September;230;58;173;121.0;9.0;5.0;13.0;10.0;1.0;0.0;1.0;5.0;8.0
3277;Building projects started;Oost-Nederland (LD);2016 3rd quarter;682;135;547;365.0;29.0;31.0;54.0;20.0;4.0;5.0;6.0;21.0;13.0
3278;Building projects started;Oost-Nederland (LD);2016 October;197;43;155;86.0;10.0;8.0;2.0;8.0;7.0;1.0;8.0;16.0;10.0
3279;Building projects started;Oost-Nederland (LD);2016 November;203;42;160;119.0;5.0;14.0;2.0;2.0;0.0;0.0;3.0;0.0;15.0
3280;Building projects started;Oost-Nederland (LD);2016 December;228;43;185;127.0;10.0;11.0;5.0;19.0;3.0;1.0;2.0;6.0;1.0
3281;Building projects started;Oost-Nederland (LD);2016 4th quarter;628;128;500;332.0;26.0;33.0;8.0;28.0;10.0;1.0;13.0;22.0;26.0
3282;Building projects started;Oost-Nederland (LD);2016;2498;513;1985;1349.0;112.0;123.0;99.0;80.0;32.0;6.0;39.0;92.0;53.0
3283;Building projects started;Oost-Nederland (LD);2017 January;256;39;216;163.0;10.0;13.0;5.0;5.0;8.0;3.0;0.0;6.0;3.0
3284;Building projects started;Oost-Nederland (LD);2017 February;248;28;220;158.0;9.0;16.0;6.0;3.0;3.0;0.0;2.0;22.0;2.0
3285;Building projects started;Oost-Nederland (LD);2017 March;219;35;185;158.0;9.0;8.0;6.0;2.0;2.0;0.0;0.0;1.0;0.0
3286;Building projects started;Oost-Nederland (LD);2017 1st quarter;724;103;621;478.0;28.0;37.0;16.0;9.0;12.0;3.0;2.0;29.0;6.0
3287;Building projects started;Oost-Nederland (LD);2017 April;271;33;238;157.0;7.0;23.0;11.0;9.0;7.0;0.0;0.0;1.0;23.0
3288;Building projects started;Oost-Nederland (LD);2017 May;278;41;237;167.0;9.0;9.0;21.0;1.0;2.0;0.0;2.0;6.0;20.0
3289;Building projects started;Oost-Nederland (LD);2017 June;277;57;220;159.0;10.0;3.0;10.0;3.0;9.0;0.0;22.0;3.0;1.0
3290;Building projects started;Oost-Nederland (LD);2017 2nd quarter;825;131;694;483.0;27.0;34.0;43.0;13.0;18.0;0.0;24.0;10.0;45.0
3291;Building projects started;Oost-Nederland (LD);2017 July;250;42;208;163.0;6.0;25.0;3.0;7.0;1.0;0.0;1.0;1.0;1.0
3292;Building projects started;Oost-Nederland (LD);2017 August;280;58;222;163.0;6.0;21.0;16.0;1.0;2.0;0.0;3.0;9.0;0.0
3293;Building projects started;Oost-Nederland (LD);2017 September;427;43;384;229.0;8.0;22.0;106.0;3.0;3.0;0.0;2.0;8.0;3.0
3294;Building projects started;Oost-Nederland (LD);2017 3rd quarter;956;143;814;555.0;20.0;68.0;125.0;11.0;6.0;0.0;6.0;18.0;4.0
3295;Building projects started;Oost-Nederland (LD);2017 October;338;95;242;192.0;8.0;9.0;4.0;3.0;7.0;0.0;0.0;17.0;1.0
3296;Building projects started;Oost-Nederland (LD);2017 November;327;60;267;213.0;7.0;20.0;10.0;7.0;1.0;0.0;1.0;6.0;2.0
3297;Building projects started;Oost-Nederland (LD);2017 December;356;58;298;211.0;6.0;24.0;27.0;7.0;6.0;0.0;0.0;1.0;15.0
3298;Building projects started;Oost-Nederland (LD);2017 4th quarter;1021;213;808;616.0;21.0;54.0;41.0;17.0;14.0;0.0;2.0;24.0;18.0
3299;Building projects started;Oost-Nederland (LD);2017;3526;590;2936;2132.0;96.0;193.0;225.0;50.0;50.0;3.0;34.0;81.0;72.0
3300;Building projects started;Oost-Nederland (LD);2018 January;426;51;374;183.0;;;;;;;;;
3301;Building projects started;Oost-Nederland (LD);2018 February;339;47;293;145.0;;;;;;;;;
3302;Building projects started;Oost-Nederland (LD);2018 March;329;121;208;176.0;;;;;;;;;
3303;Building projects started;Oost-Nederland (LD);2018 1st quarter;1094;219;875;504.0;;;;;;;;;
3304;Building projects started;Oost-Nederland (LD);2018 April;304;50;254;181.0;;;;;;;;;
3305;Building projects started;Oost-Nederland (LD);2018 May;388;76;313;197.0;;;;;;;;;
3306;Building projects started;Oost-Nederland (LD);2018 June;297;47;250;156.0;;;;;;;;;
3307;Building projects started;Oost-Nederland (LD);2018 2nd quarter;989;173;816;534.0;;;;;;;;;
3308;Building projects started;Oost-Nederland (LD);2018 July;289;45;244;143.0;;;;;;;;;
3309;Building projects started;Oost-Nederland (LD);2018 August;321;62;259;182.0;;;;;;;;;
3310;Building projects started;Oost-Nederland (LD);2018 September;366;69;296;203.0;;;;;;;;;
3311;Building projects started;Oost-Nederland (LD);2018 3rd quarter;976;177;799;529.0;;;;;;;;;
3312;Building projects started;Oost-Nederland (LD);2018 October;365;63;302;188.0;;;;;;;;;
3313;Building projects started;Oost-Nederland (LD);2018 November;301;47;254;190.0;;;;;;;;;
3314;Building projects started;Oost-Nederland (LD);2018 December;363;41;322;262.0;;;;;;;;;
3315;Building projects started;Oost-Nederland (LD);2018 4th quarter;1029;152;878;639.0;;;;;;;;;
3316;Building projects started;Oost-Nederland (LD);2018;4088;720;3368;2206.0;136.0;355.0;111.0;191.0;70.0;4.0;54.0;200.0;40.0
3317;Building projects started;Oost-Nederland (LD);2019 January;337;64;273;190.0;;;;;;;;;
3318;Building projects started;Oost-Nederland (LD);2019 February;286;51;235;162.0;;;;;;;;;
3319;Building projects started;Oost-Nederland (LD);2019 March;211;38;173;121.0;;;;;;;;;
3320;Building projects started;Oost-Nederland (LD);2019 1st quarter;834;154;680;473.0;;;;;;;;;
3321;Building projects started;Oost-Nederland (LD);2019 April;278;53;226;155.0;;;;;;;;;
3322;Building projects started;Oost-Nederland (LD);2019 May;315;71;243;161.0;;;;;;;;;
3323;Building projects started;Oost-Nederland (LD);2019 June;322;51;271;158.0;;;;;;;;;
3324;Building projects started;Oost-Nederland (LD);2019 2nd quarter;915;175;740;473.0;;;;;;;;;
3325;Building projects started;Oost-Nederland (LD);2019 July;230;47;183;112.0;;;;;;;;;
3326;Building projects started;Oost-Nederland (LD);2019 August;298;68;230;131.0;;;;;;;;;
3327;Building projects started;Oost-Nederland (LD);2019 September;288;62;226;155.0;;;;;;;;;
3328;Building projects started;Oost-Nederland (LD);2019 3rd quarter;816;178;639;399.0;;;;;;;;;
3329;Building projects started;Oost-Nederland (LD);2019 October;239;61;177;113.0;;;;;;;;;
3330;Building projects started;Oost-Nederland (LD);2019 November;304;41;263;222.0;;;;;;;;;
3331;Building projects started;Oost-Nederland (LD);2019 December;396;82;315;240.0;;;;;;;;;
3332;Building projects started;Oost-Nederland (LD);2019 4th quarter;939;184;755;575.0;;;;;;;;;
3333;Building projects started;Oost-Nederland (LD);2019;3505;691;2814;1920.0;91.0;253.0;148.0;116.0;87.0;0.0;77.0;67.0;54.0
3334;Building projects started;Oost-Nederland (LD);2020 January;294;53;241;157.0;;;;;;;;;
3335;Building projects started;Oost-Nederland (LD);2020 February;362;72;290;207.0;;;;;;;;;
3336;Building projects started;Oost-Nederland (LD);2020 March;261;59;202;165.0;;;;;;;;;
3337;Building projects started;Oost-Nederland (LD);2020 1st quarter;917;185;732;529.0;;;;;;;;;
3338;Building projects started;Oost-Nederland (LD);2020 April;325;63;262;186.0;;;;;;;;;
3339;Building projects started;Oost-Nederland (LD);2020 May;356;74;282;205.0;;;;;;;;;
3340;Building projects started;Oost-Nederland (LD);2020 June;378;93;285;141.0;;;;;;;;;
3341;Building projects started;Oost-Nederland (LD);2020 2nd quarter;1059;231;828;532.0;;;;;;;;;
3342;Building projects started;Oost-Nederland (LD);2020 July;271;68;203;156.0;;;;;;;;;
3343;Building projects started;Oost-Nederland (LD);2020 August;303;78;225;139.0;;;;;;;;;
3344;Building projects started;Oost-Nederland (LD);2020 September;364;55;309;199.0;;;;;;;;;
3345;Building projects started;Oost-Nederland (LD);2020 3rd quarter;938;201;737;494.0;;;;;;;;;
3346;Building projects started;Oost-Nederland (LD);2020 October;413;56;356;163.0;;;;;;;;;
3347;Building projects started;Oost-Nederland (LD);2020 November;360;58;302;226.0;;;;;;;;;
3348;Building projects started;Oost-Nederland (LD);2020 December;387;69;318;228.0;;;;;;;;;
3349;Building projects started;Oost-Nederland (LD);2020 4th quarter;1159;183;976;617.0;;;;;;;;;
3350;Building projects started;Oost-Nederland (LD);2020;4073;799;3274;2172.0;65.0;294.0;246.0;186.0;59.0;8.0;82.0;105.0;55.0
3351;Building projects started;Oost-Nederland (LD);2021 January;346;55;291;206.0;;;;;;;;;
3352;Building projects started;Oost-Nederland (LD);2021 February;307;45;262;197.0;;;;;;;;;
3353;Building projects started;Oost-Nederland (LD);2021 March;239;53;186;141.0;;;;;;;;;
3354;Building projects started;Oost-Nederland (LD);2021 1st quarter;892;153;739;545.0;;;;;;;;;
3355;Building projects started;Oost-Nederland (LD);2021 April;446;55;391;288.0;;;;;;;;;
3356;Building projects started;Oost-Nederland (LD);2021 May;403;58;345;255.0;;;;;;;;;
3357;Building projects started;Oost-Nederland (LD);2021 June;541;90;451;270.0;;;;;;;;;
3358;Building projects started;Oost-Nederland (LD);2021 2nd quarter;1389;203;1186;813.0;;;;;;;;;
3359;Building projects started;Oost-Nederland (LD);2021 July;292;79;213;151.0;;;;;;;;;
3360;Building projects started;Oost-Nederland (LD);2021 August;374;81;293;177.0;;;;;;;;;
3361;Building projects started;Oost-Nederland (LD);2021 September;422;80;342;238.0;;;;;;;;;
3362;Building projects started;Oost-Nederland (LD);2021 3rd quarter;1088;240;848;566.0;;;;;;;;;
3363;Building projects started;Oost-Nederland (LD);2021 October;317;78;239;159.0;;;;;;;;;
3364;Building projects started;Oost-Nederland (LD);2021 November;462;75;387;265.0;;;;;;;;;
3365;Building projects started;Oost-Nederland (LD);2021 December;347;57;290;147.0;;;;;;;;;
3366;Building projects started;Oost-Nederland (LD);2021 4th quarter;1126;210;916;571.0;;;;;;;;;
3367;Building projects started;Oost-Nederland (LD);2021;4496;806;3690;2494.0;97.0;352.0;201.0;150.0;54.0;38.0;44.0;179.0;80.0
3368;Building projects started;Oost-Nederland (LD);2022 January;255;65;190;113.0;;;;;;;;;
3369;Building projects started;Oost-Nederland (LD);2022 February;321;74;247;143.0;;;;;;;;;
3370;Building projects started;Oost-Nederland (LD);2022 March;256;60;196;124.0;;;;;;;;;
3371;Building projects started;Oost-Nederland (LD);2022 1st quarter;832;199;633;380.0;;;;;;;;;
3372;Building projects started;Oost-Nederland (LD);2022 April;371;85;286;204.0;;;;;;;;;
3373;Building projects started;Oost-Nederland (LD);2022 May;347;60;287;171.0;;;;;;;;;
3374;Building projects started;Oost-Nederland (LD);2022 June;345;73;272;159.0;;;;;;;;;
3375;Building projects started;Oost-Nederland (LD);2022 2nd quarter;1064;219;845;534.0;;;;;;;;;
3376;Building projects started;Oost-Nederland (LD);2022 July;392;133;260;123.0;;;;;;;;;
3377;Building projects started;Oost-Nederland (LD);2022 August;437;70;367;179.0;;;;;;;;;
3378;Building projects started;Oost-Nederland (LD);2022 September;459;103;356;180.0;;;;;;;;;
3379;Building projects started;Oost-Nederland (LD);2022 3rd quarter;1288;305;983;481.0;;;;;;;;;
3380;Building projects started;Oost-Nederland (LD);2022 October;473;119;355;116.0;;;;;;;;;
3381;Building projects started;Oost-Nederland (LD);2022 November;447;62;385;306.0;;;;;;;;;
3382;Building projects started;Oost-Nederland (LD);2022 December;351;75;275;172.0;;;;;;;;;
3383;Building projects started;Oost-Nederland (LD);2022 4th quarter;1271;256;1015;593.0;;;;;;;;;
3384;Building projects started;Oost-Nederland (LD);2022;4455;979;3476;1989.0;77.0;473.0;192.0;356.0;144.0;3.0;63.0;125.0;55.0
3385;Building projects started;Oost-Nederland (LD);2023 January;263;61;202;124.0;;;;;;;;;
3386;Building projects started;Oost-Nederland (LD);2023 February;317;65;252;166.0;;;;;;;;;
3387;Building projects started;Oost-Nederland (LD);2023 March;291;56;234;156.0;;;;;;;;;
3388;Building projects started;Oost-Nederland (LD);2023 1st quarter;870;182;688;447.0;;;;;;;;;
3389;Building projects started;Oost-Nederland (LD);2023 April;336;69;267;204.0;;;;;;;;;
3390;Building projects started;Oost-Nederland (LD);2023 May;419;127;292;184.0;;;;;;;;;
3391;Building projects started;Oost-Nederland (LD);2023 June;467;79;388;218.0;;;;;;;;;
3392;Building projects started;Oost-Nederland (LD);2023 2nd quarter;1223;276;947;606.0;;;;;;;;;
3393;Building projects started;Oost-Nederland (LD);2023 July;287;67;220;122.0;;;;;;;;;
3394;Building projects started;Oost-Nederland (LD);2023 August;334;59;275;165.0;;;;;;;;;
3395;Building projects started;Oost-Nederland (LD);2023 September;276;60;216;139.0;;;;;;;;;
3396;Building projects started;Oost-Nederland (LD);2023 3rd quarter;897;186;711;426.0;;;;;;;;;
3397;Building projects started;Oost-Nederland (LD);2023 October;246;57;189;126.0;;;;;;;;;
3398;Building projects started;Oost-Nederland (LD);2023 November;425;50;376;318.0;;;;;;;;;
3399;Building projects started;Oost-Nederland (LD);2023 December;286;59;227;179.0;;;;;;;;;
3400;Building projects started;Oost-Nederland (LD);2023 4th quarter;958;166;792;623.0;;;;;;;;;
3401;Building projects started;Oost-Nederland (LD);2023;3948;809;3139;2101.0;70.0;313.0;102.0;168.0;133.0;20.0;74.0;108.0;50.0
3402;Building projects started;Oost-Nederland (LD);2024 January;378;77;302;183.0;;;;;;;;;
3403;Building projects started;Oost-Nederland (LD);2024 February;382;45;337;115.0;;;;;;;;;
3404;Building projects started;Oost-Nederland (LD);2024 March;370;55;314;209.0;;;;;;;;;
3405;Building projects started;Oost-Nederland (LD);2024 1st quarter;1131;177;953;506.0;;;;;;;;;
3406;Building projects started;Oost-Nederland (LD);2024 April;428;82;345;235.0;;;;;;;;;
3407;Building projects started;Oost-Nederland (LD);2024 May;540;77;463;275.0;;;;;;;;;
3408;Building projects started;Oost-Nederland (LD);2024 June;724;60;664;296.0;;;;;;;;;
3409;Building projects started;Oost-Nederland (LD);2024 2nd quarter;1691;220;1472;805.0;;;;;;;;;
