ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
4252;Other private clients;Building projects under construction;2023 October;10944;3333;7611;1335.0;;;;;;;;;
4253;Other private clients;Building projects under construction;2023 November;10623;3232;7391;1301.0;;;;;;;;;
4254;Other private clients;Building projects under construction;2023 December;10533;3254;7279;1310.0;;;;;;;;;
4255;Other private clients;Building projects under construction;2023 4th quarter;10533;3254;7279;1310.0;;;;;;;;;
4256;Other private clients;Building projects under construction;2023;10533;3254;7279;1310.0;250.0;1610.0;672.0;1655.0;444.0;1.0;598.0;559.0;181.0
4257;Other private clients;Building projects under construction;2024 January;10483;3329;7153;1327.0;;;;;;;;;
4258;Other private clients;Building projects under construction;2024 February;10299;3229;7071;1321.0;;;;;;;;;
4259;Other private clients;Building projects under construction;2024 March;10109;3260;6849;1329.0;;;;;;;;;
4260;Other private clients;Building projects under construction;2024 1st quarter;10109;3260;6849;1329.0;;;;;;;;;
4261;Other private clients;Building projects under construction;2024 April;10071;3271;6800;1369.0;;;;;;;;;
4262;Other private clients;Building projects under construction;2024 May;10040;3233;6807;1394.0;;;;;;;;;
4263;Other private clients;Building projects under construction;2024 June;10289;3196;7093;1448.0;;;;;;;;;
4264;Other private clients;Building projects under construction;2024 2nd quarter;10289;3196;7093;1448.0;;;;;;;;;
4265;Other private clients;Building projects under construction;2024 July;10291;3254;7037;1492.0;;;;;;;;;
4266;Other private clients;Building projects under construction;2024 August;10582;3315;7267;1554.0;;;;;;;;;
4267;Other private clients;Building projects under construction;2024 September;10553;3374;7179;1540.0;;;;;;;;;
4268;Other private clients;Building projects under construction;2024 3rd quarter;10553;3374;7179;1540.0;;;;;;;;;
4269;Other private clients;Building projects under construction;2024 October;10288;3368;6919;1461.0;;;;;;;;;
4270;Other private clients;Building projects under construction;2024 November;10277;3456;6821;1414.0;;;;;;;;;
4271;Other private clients;Building projects under construction;2024 December;10149;3335;6814;1407.0;;;;;;;;;
4272;Other private clients;Building projects under construction;2024 4th quarter;10149;3335;6814;1407.0;;;;;;;;;
4273;Other private clients;Building projects under construction;2024;10149;3335;6814;1407.0;291.0;1445.0;728.0;1321.0;355.0;0.0;512.0;513.0;242.0
4274;Other private clients;Building projects under construction;2025 January;9705;3200;6505;1339.0;;;;;;;;;
4275;Other private clients;Production of building projects;2015 January;535;199;337;103.0;43.0;32.0;43.0;23.0;16.0;0.0;27.0;29.0;21.0
4276;Other private clients;Production of building projects;2015 February;524;192;332;103.0;41.0;31.0;42.0;23.0;17.0;0.0;26.0;29.0;20.0
4277;Other private clients;Production of building projects;2015 March;582;210;372;117.0;43.0;35.0;46.0;26.0;22.0;0.0;28.0;33.0;23.0
4278;Other private clients;Production of building projects;2015 1st quarter;1641;600;1041;322.0;127.0;97.0;131.0;72.0;55.0;0.0;81.0;91.0;64.0
4279;Other private clients;Production of building projects;2015 April;506;182;325;106.0;35.0;30.0;40.0;22.0;19.0;0.0;24.0;28.0;20.0
4280;Other private clients;Production of building projects;2015 May;464;166;298;102.0;31.0;28.0;35.0;19.0;17.0;0.0;21.0;26.0;18.0
4281;Other private clients;Production of building projects;2015 June;603;215;388;137.0;39.0;35.0;45.0;26.0;24.0;0.0;27.0;33.0;24.0
4282;Other private clients;Production of building projects;2015 2nd quarter;1574;563;1011;345.0;105.0;94.0;120.0;66.0;60.0;0.0;72.0;87.0;62.0
4283;Other private clients;Production of building projects;2015 July;473;168;305;107.0;30.0;27.0;36.0;22.0;19.0;0.0;22.0;25.0;19.0
4284;Other private clients;Production of building projects;2015 August;281;100;182;64.0;18.0;16.0;21.0;14.0;11.0;0.0;13.0;14.0;11.0
4285;Other private clients;Production of building projects;2015 September;625;222;403;143.0;40.0;34.0;45.0;30.0;27.0;0.0;29.0;31.0;25.0
4286;Other private clients;Production of building projects;2015 3rd quarter;1380;490;890;313.0;87.0;77.0;101.0;65.0;57.0;0.0;64.0;71.0;55.0
4287;Other private clients;Production of building projects;2015 October;585;210;375;131.0;38.0;31.0;40.0;28.0;26.0;0.0;28.0;30.0;23.0
4288;Other private clients;Production of building projects;2015 November;599;216;383;134.0;39.0;31.0;41.0;29.0;27.0;0.0;28.0;31.0;23.0
4289;Other private clients;Production of building projects;2015 December;444;161;283;102.0;29.0;22.0;31.0;22.0;20.0;0.0;17.0;23.0;17.0
4290;Other private clients;Production of building projects;2015 4th quarter;1628;587;1041;368.0;106.0;85.0;111.0;79.0;72.0;0.0;73.0;84.0;62.0
4291;Other private clients;Production of building projects;2015;6223;2240;3983;1348.0;425.0;353.0;463.0;282.0;244.0;0.0;290.0;333.0;244.0
4292;Other private clients;Production of building projects;2016 January;526;192;334;122.0;33.0;25.0;36.0;26.0;23.0;0.0;20.0;28.0;20.0
4293;Other private clients;Production of building projects;2016 February;571;206;365;136.0;34.0;27.0;42.0;28.0;26.0;0.0;22.0;31.0;20.0
4294;Other private clients;Production of building projects;2016 March;558;200;358;138.0;32.0;27.0;41.0;27.0;25.0;0.0;22.0;30.0;17.0
4295;Other private clients;Production of building projects;2016 1st quarter;1654;598;1056;395.0;98.0;79.0;119.0;81.0;74.0;0.0;64.0;89.0;57.0
4296;Other private clients;Production of building projects;2016 April;576;205;372;146.0;31.0;28.0;41.0;28.0;26.0;0.0;24.0;30.0;16.0
4297;Other private clients;Production of building projects;2016 May;527;184;342;138.0;29.0;27.0;37.0;27.0;23.0;0.0;21.0;27.0;14.0
4298;Other private clients;Production of building projects;2016 June;647;223;424;175.0;35.0;33.0;46.0;32.0;28.0;0.0;25.0;33.0;17.0
4299;Other private clients;Production of building projects;2016 2nd quarter;1750;612;1138;459.0;95.0;88.0;125.0;87.0;77.0;0.0;71.0;89.0;47.0
4300;Other private clients;Production of building projects;2016 July;546;186;360;152.0;29.0;27.0;39.0;26.0;24.0;0.0;21.0;29.0;14.0
4301;Other private clients;Production of building projects;2016 August;278;94;184;79.0;15.0;14.0;20.0;12.0;12.0;0.0;10.0;14.0;6.0
4302;Other private clients;Production of building projects;2016 September;732;247;485;215.0;39.0;38.0;53.0;31.0;31.0;0.0;25.0;37.0;16.0
4303;Other private clients;Production of building projects;2016 3rd quarter;1556;527;1029;446.0;83.0;80.0;112.0;69.0;67.0;0.0;55.0;80.0;36.0
4304;Other private clients;Production of building projects;2016 October;613;205;408;183.0;33.0;32.0;43.0;25.0;27.0;0.0;21.0;30.0;14.0
4305;Other private clients;Production of building projects;2016 November;677;225;451;204.0;36.0;37.0;46.0;29.0;28.0;0.0;24.0;32.0;15.0
4306;Other private clients;Production of building projects;2016 December;478;160;319;144.0;25.0;27.0;31.0;23.0;19.0;0.0;16.0;23.0;10.0
4307;Other private clients;Production of building projects;2016 4th quarter;1768;590;1178;532.0;94.0;96.0;120.0;77.0;75.0;0.0;61.0;85.0;39.0
4308;Other private clients;Production of building projects;2016;6729;2328;4401;1832.0;370.0;343.0;476.0;314.0;293.0;0.0;251.0;343.0;179.0
4309;Other private clients;Production of building projects;2017 January;447;149;298;136.0;25.0;26.0;28.0;22.0;18.0;0.0;14.0;21.0;9.0
4310;Other private clients;Production of building projects;2017 February;626;207;419;191.0;34.0;38.0;40.0;30.0;26.0;0.0;19.0;28.0;13.0
4311;Other private clients;Production of building projects;2017 March;752;246;506;232.0;40.0;46.0;47.0;36.0;32.0;0.0;22.0;34.0;15.0
4312;Other private clients;Production of building projects;2017 1st quarter;1826;602;1224;560.0;99.0;110.0;115.0;88.0;76.0;0.0;56.0;84.0;37.0
4313;Other private clients;Production of building projects;2017 April;567;182;385;176.0;31.0;37.0;36.0;27.0;25.0;0.0;17.0;25.0;11.0
4314;Other private clients;Production of building projects;2017 May;690;220;471;213.0;38.0;49.0;43.0;35.0;30.0;0.0;20.0;28.0;14.0
4315;Other private clients;Production of building projects;2017 June;669;210;459;204.0;36.0;49.0;43.0;36.0;29.0;0.0;21.0;27.0;14.0
4316;Other private clients;Production of building projects;2017 2nd quarter;1927;612;1315;593.0;105.0;135.0;123.0;98.0;84.0;0.0;58.0;81.0;38.0
4317;Other private clients;Production of building projects;2017 July;580;179;401;177.0;30.0;44.0;40.0;31.0;25.0;0.0;19.0;24.0;12.0
4318;Other private clients;Production of building projects;2017 August;342;105;237;105.0;17.0;27.0;24.0;18.0;13.0;0.0;12.0;14.0;7.0
4319;Other private clients;Production of building projects;2017 September;713;217;496;220.0;37.0;57.0;50.0;37.0;27.0;0.0;25.0;28.0;15.0
4320;Other private clients;Production of building projects;2017 3rd quarter;1635;501;1134;502.0;84.0;128.0;114.0;87.0;65.0;0.0;56.0;66.0;33.0
4321;Other private clients;Production of building projects;2017 October;753;230;523;232.0;36.0;63.0;54.0;39.0;28.0;0.0;25.0;29.0;15.0
4322;Other private clients;Production of building projects;2017 November;728;221;507;224.0;36.0;63.0;53.0;39.0;26.0;0.0;24.0;28.0;14.0
4323;Other private clients;Production of building projects;2017 December;515;156;359;160.0;26.0;46.0;34.0;28.0;19.0;0.0;16.0;19.0;11.0
4324;Other private clients;Production of building projects;2017 4th quarter;1996;607;1389;616.0;98.0;172.0;141.0;106.0;73.0;0.0;65.0;76.0;40.0
4325;Other private clients;Production of building projects;2017;7383;2322;5062;2271.0;386.0;545.0;493.0;380.0;298.0;0.0;235.0;306.0;149.0
4326;Other private clients;Production of building projects;2018 January;638;193;445;199.0;32.0;59.0;41.0;36.0;22.0;0.0;19.0;24.0;14.0
4327;Other private clients;Production of building projects;2018 February;564;170;394;176.0;28.0;53.0;35.0;33.0;19.0;0.0;16.0;22.0;13.0
4328;Other private clients;Production of building projects;2018 March;620;186;434;194.0;31.0;58.0;40.0;37.0;17.0;0.0;17.0;25.0;15.0
4329;Other private clients;Production of building projects;2018 1st quarter;1822;548;1273;568.0;92.0;170.0;115.0;106.0;58.0;0.0;52.0;71.0;41.0
4330;Other private clients;Production of building projects;2018 April;655;195;460;203.0;33.0;63.0;42.0;40.0;17.0;0.0;19.0;27.0;16.0
4331;Other private clients;Production of building projects;2018 May;679;204;475;207.0;34.0;67.0;41.0;43.0;17.0;0.0;19.0;28.0;18.0
4332;Other private clients;Production of building projects;2018 June;710;214;496;215.0;35.0;72.0;43.0;45.0;18.0;0.0;20.0;29.0;19.0
4333;Other private clients;Production of building projects;2018 2nd quarter;2043;613;1430;626.0;102.0;201.0;126.0;128.0;52.0;0.0;59.0;84.0;53.0
4334;Other private clients;Production of building projects;2018 July;649;195;454;199.0;31.0;67.0;40.0;41.0;16.0;0.0;18.0;25.0;17.0
4335;Other private clients;Production of building projects;2018 August;354;107;247;110.0;17.0;37.0;22.0;22.0;8.0;0.0;9.0;13.0;9.0
4336;Other private clients;Production of building projects;2018 September;688;209;479;213.0;33.0;72.0;43.0;40.0;16.0;0.0;18.0;26.0;18.0
4337;Other private clients;Production of building projects;2018 3rd quarter;1691;510;1180;522.0;82.0;176.0;105.0;103.0;39.0;0.0;45.0;64.0;44.0
4338;Other private clients;Production of building projects;2018 October;792;241;551;241.0;38.0;85.0;50.0;47.0;18.0;0.0;21.0;30.0;21.0
4339;Other private clients;Production of building projects;2018 November;749;225;525;224.0;36.0;83.0;45.0;47.0;18.0;0.0;22.0;29.0;20.0
4340;Other private clients;Production of building projects;2018 December;501;148;353;150.0;24.0;56.0;30.0;31.0;13.0;0.0;16.0;20.0;13.0
4341;Other private clients;Production of building projects;2018 4th quarter;2043;614;1429;616.0;98.0;224.0;126.0;126.0;49.0;0.0;58.0;79.0;53.0
4342;Other private clients;Production of building projects;2018;7598;2286;5313;2331.0;374.0;772.0;471.0;463.0;198.0;0.0;214.0;299.0;190.0
4343;Other private clients;Production of building projects;2019 January;635;187;448;191.0;30.0;72.0;39.0;40.0;17.0;0.0;19.0;25.0;16.0
4344;Other private clients;Production of building projects;2019 February;661;195;466;197.0;31.0;76.0;41.0;43.0;17.0;0.0;19.0;26.0;16.0
4345;Other private clients;Production of building projects;2019 March;699;207;493;206.0;32.0;82.0;44.0;46.0;18.0;0.0;19.0;28.0;17.0
4346;Other private clients;Production of building projects;2019 1st quarter;1995;588;1407;594.0;93.0;229.0;124.0;129.0;52.0;0.0;57.0;79.0;49.0
4347;Other private clients;Production of building projects;2019 April;694;205;489;202.0;32.0;81.0;46.0;46.0;17.0;0.0;19.0;28.0;16.0
4348;Other private clients;Production of building projects;2019 May;716;215;501;203.0;31.0;85.0;47.0;49.0;18.0;0.0;21.0;29.0;17.0
4349;Other private clients;Production of building projects;2019 June;644;194;449;180.0;26.0;77.0;43.0;45.0;16.0;0.0;19.0;26.0;16.0
4350;Other private clients;Production of building projects;2019 2nd quarter;2053;615;1439;585.0;89.0;243.0;137.0;140.0;51.0;0.0;59.0;84.0;50.0
4351;Other private clients;Production of building projects;2019 July;682;204;478;191.0;27.0;81.0;47.0;49.0;18.0;0.0;20.0;29.0;17.0
4352;Other private clients;Production of building projects;2019 August;339;102;237;95.0;14.0;40.0;23.0;24.0;9.0;0.0;10.0;14.0;9.0
4353;Other private clients;Production of building projects;2019 September;734;225;509;204.0;30.0;87.0;47.0;50.0;21.0;0.0;22.0;30.0;18.0
4354;Other private clients;Production of building projects;2019 3rd quarter;1755;531;1223;490.0;70.0;208.0;117.0;123.0;48.0;0.0;52.0;72.0;44.0
4355;Other private clients;Production of building projects;2019 October;788;244;543;216.0;31.0;95.0;49.0;53.0;22.0;0.0;25.0;33.0;19.0
4356;Other private clients;Production of building projects;2019 November;707;220;487;192.0;27.0;88.0;44.0;47.0;20.0;0.0;22.0;30.0;16.0
4357;Other private clients;Production of building projects;2019 December;511;160;351;139.0;19.0;65.0;32.0;32.0;15.0;0.0;16.0;22.0;12.0
4358;Other private clients;Production of building projects;2019 4th quarter;2005;624;1381;547.0;78.0;248.0;126.0;132.0;57.0;0.0;63.0;85.0;47.0
4359;Other private clients;Production of building projects;2019;7808;2358;5450;2216.0;331.0;928.0;503.0;524.0;208.0;0.0;231.0;319.0;189.0
4360;Other private clients;Production of building projects;2020 January;731;229;502;197.0;27.0;93.0;48.0;47.0;21.0;0.0;23.0;31.0;16.0
4361;Other private clients;Production of building projects;2020 February;642;200;442;174.0;24.0;82.0;43.0;41.0;18.0;0.0;20.0;27.0;14.0
4362;Other private clients;Production of building projects;2020 March;750;234;515;204.0;26.0;95.0;50.0;47.0;20.0;0.0;24.0;33.0;17.0
4363;Other private clients;Production of building projects;2020 1st quarter;2122;663;1459;575.0;77.0;270.0;141.0;135.0;58.0;0.0;67.0;91.0;46.0
4364;Other private clients;Production of building projects;2020 April;646;201;445;175.0;21.0;82.0;44.0;40.0;18.0;0.0;21.0;29.0;15.0
4365;Other private clients;Production of building projects;2020 May;613;193;420;166.0;20.0;78.0;43.0;38.0;16.0;0.0;20.0;27.0;12.0
4366;Other private clients;Production of building projects;2020 June;715;227;489;193.0;25.0;90.0;51.0;43.0;19.0;0.0;24.0;31.0;13.0
4367;Other private clients;Production of building projects;2020 2nd quarter;1974;621;1353;534.0;66.0;251.0;138.0;121.0;52.0;0.0;65.0;86.0;40.0
4368;Other private clients;Production of building projects;2020 July;632;202;431;168.0;21.0;79.0;45.0;40.0;17.0;0.0;22.0;27.0;11.0
4369;Other private clients;Production of building projects;2020 August;374;121;253;99.0;12.0;47.0;26.0;25.0;10.0;0.0;12.0;16.0;6.0
4370;Other private clients;Production of building projects;2020 September;809;264;545;216.0;28.0;101.0;52.0;55.0;21.0;0.0;25.0;34.0;13.0
4371;Other private clients;Production of building projects;2020 3rd quarter;1814;586;1228;483.0;62.0;228.0;123.0;120.0;47.0;0.0;58.0;77.0;30.0
4372;Other private clients;Production of building projects;2020 October;775;253;523;206.0;28.0;97.0;49.0;55.0;19.0;0.0;24.0;32.0;13.0
4373;Other private clients;Production of building projects;2020 November;760;245;515;201.0;26.0;92.0;48.0;58.0;19.0;0.0;25.0;33.0;12.0
4374;Other private clients;Production of building projects;2020 December;515;165;349;137.0;18.0;61.0;33.0;41.0;13.0;0.0;17.0;23.0;7.0
4375;Other private clients;Production of building projects;2020 4th quarter;2050;663;1387;544.0;71.0;250.0;130.0;155.0;50.0;0.0;66.0;88.0;33.0
4376;Other private clients;Production of building projects;2020;7961;2533;5428;2136.0;276.0;998.0;532.0;531.0;207.0;0.0;256.0;342.0;149.0
4377;Other private clients;Production of building projects;2021 January;706;227;479;188.0;25.0;82.0;45.0;56.0;18.0;0.0;23.0;32.0;9.0
4378;Other private clients;Production of building projects;2021 February;570;185;385;152.0;21.0;65.0;36.0;45.0;16.0;0.0;18.0;25.0;7.0
4379;Other private clients;Production of building projects;2021 March;870;283;587;235.0;31.0;98.0;52.0;69.0;26.0;0.0;29.0;37.0;10.0
4380;Other private clients;Production of building projects;2021 1st quarter;2146;695;1451;575.0;77.0;246.0;134.0;170.0;60.0;0.0;70.0;94.0;26.0
4381;Other private clients;Production of building projects;2021 April;702;228;475;193.0;26.0;77.0;41.0;56.0;22.0;0.0;23.0;31.0;7.0
4382;Other private clients;Production of building projects;2021 May;675;216;459;188.0;25.0;73.0;40.0;55.0;21.0;0.0;23.0;28.0;7.0
4383;Other private clients;Production of building projects;2021 June;854;272;582;235.0;30.0;96.0;48.0;71.0;26.0;0.0;30.0;35.0;9.0
4384;Other private clients;Production of building projects;2021 2nd quarter;2231;716;1515;616.0;81.0;246.0;129.0;182.0;69.0;0.0;76.0;94.0;22.0
4385;Other private clients;Production of building projects;2021 July;794;257;537;218.0;27.0;90.0;43.0;67.0;25.0;0.0;26.0;34.0;9.0
4386;Other private clients;Production of building projects;2021 August;340;111;229;93.0;11.0;39.0;18.0;28.0;10.0;0.0;11.0;15.0;4.0
4387;Other private clients;Production of building projects;2021 September;918;300;618;249.0;31.0;106.0;47.0;77.0;26.0;0.0;31.0;42.0;9.0
4388;Other private clients;Production of building projects;2021 3rd quarter;2053;668;1385;561.0;69.0;234.0;107.0;172.0;61.0;0.0;68.0;91.0;22.0
4389;Other private clients;Production of building projects;2021 October;851;279;572;226.0;29.0;101.0;43.0;73.0;24.0;0.0;28.0;39.0;9.0
4390;Other private clients;Production of building projects;2021 November;911;300;611;236.0;32.0;111.0;48.0;77.0;28.0;0.0;27.0;42.0;10.0
4391;Other private clients;Production of building projects;2021 December;714;236;478;182.0;25.0;87.0;39.0;63.0;22.0;0.0;20.0;33.0;8.0
4392;Other private clients;Production of building projects;2021 4th quarter;2476;815;1661;643.0;86.0;299.0;130.0;213.0;74.0;0.0;75.0;114.0;26.0
4393;Other private clients;Production of building projects;2021;8905;2893;6013;2395.0;312.0;1024.0;500.0;738.0;263.0;0.0;289.0;393.0;97.0
4394;Other private clients;Production of building projects;2022 January;741;246;495;186.0;27.0;92.0;39.0;69.0;20.0;0.0;20.0;34.0;8.0
4395;Other private clients;Production of building projects;2022 February;760;253;508;189.0;28.0;98.0;40.0;70.0;20.0;0.0;21.0;32.0;8.0
4396;Other private clients;Production of building projects;2022 March;954;313;641;234.0;36.0;129.0;51.0;88.0;25.0;0.0;26.0;42.0;10.0
4397;Other private clients;Production of building projects;2022 1st quarter;2455;812;1643;609.0;92.0;319.0;130.0;226.0;65.0;0.0;67.0;108.0;27.0
4398;Other private clients;Production of building projects;2022 April;729;239;490;177.0;27.0;104.0;40.0;62.0;20.0;0.0;21.0;31.0;7.0
4399;Other private clients;Production of building projects;2022 May;824;268;556;198.0;30.0;124.0;45.0;67.0;22.0;0.0;24.0;37.0;9.0
4400;Other private clients;Production of building projects;2022 June;852;281;570;202.0;29.0;133.0;44.0;64.0;22.0;0.0;25.0;40.0;11.0
4401;Other private clients;Production of building projects;2022 2nd quarter;2404;788;1616;577.0;86.0;361.0;129.0;194.0;64.0;0.0;70.0;109.0;27.0
4402;Other private clients;Production of building projects;2022 July;781;266;515;184.0;25.0;117.0;40.0;62.0;19.0;0.0;22.0;34.0;12.0
4403;Other private clients;Production of building projects;2022 August;437;143;293;102.0;14.0;70.0;21.0;41.0;11.0;0.0;12.0;17.0;5.0
4404;Other private clients;Production of building projects;2022 September;968;317;651;225.0;30.0;165.0;48.0;84.0;24.0;0.0;30.0;36.0;10.0
4405;Other private clients;Production of building projects;2022 3rd quarter;2186;727;1459;510.0;69.0;352.0;109.0;187.0;54.0;0.0;64.0;87.0;27.0
4406;Other private clients;Production of building projects;2022 October;946;340;606;210.0;28.0;149.0;45.0;69.0;24.0;0.0;31.0;40.0;10.0
4407;Other private clients;Production of building projects;2022 November;984;367;617;211.0;28.0;151.0;42.0;76.0;26.0;0.0;29.0;42.0;10.0
4408;Other private clients;Production of building projects;2022 December;587;206;381;135.0;18.0;96.0;26.0;44.0;16.0;0.0;18.0;22.0;7.0
4409;Other private clients;Production of building projects;2022 4th quarter;2517;913;1604;557.0;74.0;396.0;113.0;189.0;66.0;0.0;78.0;104.0;27.0
4410;Other private clients;Production of building projects;2022;9563;3240;6323;2253.0;321.0;1428.0;481.0;796.0;249.0;0.0;279.0;408.0;108.0
4411;Other private clients;Production of building projects;2023 January;711;249;462;164.0;22.0;113.0;30.0;54.0;20.0;0.0;22.0;28.0;9.0
4412;Other private clients;Production of building projects;2023 February;756;268;487;176.0;24.0;103.0;31.0;65.0;23.0;0.0;25.0;31.0;10.0
4413;Other private clients;Production of building projects;2023 March;921;309;612;199.0;28.0;159.0;37.0;82.0;27.0;0.0;30.0;38.0;12.0
4414;Other private clients;Production of building projects;2023 1st quarter;2388;827;1562;538.0;74.0;376.0;97.0;200.0;70.0;0.0;78.0;97.0;31.0
4415;Other private clients;Production of building projects;2023 April;737;234;503;149.0;21.0;156.0;29.0;65.0;22.0;0.0;22.0;31.0;9.0
4416;Other private clients;Production of building projects;2023 May;790;272;518;168.0;24.0;115.0;35.0;77.0;28.0;0.0;26.0;35.0;11.0
4417;Other private clients;Production of building projects;2023 June;897;300;597;177.0;26.0;130.0;40.0;103.0;37.0;0.0;33.0;40.0;11.0
4418;Other private clients;Production of building projects;2023 2nd quarter;2424;806;1619;494.0;70.0;401.0;105.0;245.0;86.0;0.0;80.0;106.0;32.0
4419;Other private clients;Production of building projects;2023 July;707;228;479;135.0;20.0;101.0;33.0;89.0;31.0;0.0;29.0;33.0;9.0
4420;Other private clients;Production of building projects;2023 August;418;137;281;81.0;12.0;64.0;21.0;45.0;16.0;0.0;17.0;19.0;5.0
4421;Other private clients;Production of building projects;2023 September;858;285;572;166.0;26.0;134.0;39.0;91.0;32.0;0.0;35.0;38.0;11.0
4422;Other private clients;Production of building projects;2023 3rd quarter;1982;651;1332;382.0;58.0;299.0;93.0;224.0;79.0;0.0;82.0;90.0;26.0
4423;Other private clients;Production of building projects;2023 October;825;282;543;157.0;25.0;121.0;37.0;88.0;33.0;0.0;35.0;37.0;11.0
4424;Other private clients;Production of building projects;2023 November;798;275;523;150.0;24.0;118.0;37.0;85.0;31.0;0.0;34.0;34.0;10.0
4425;Other private clients;Production of building projects;2023 December;576;200;375;110.0;20.0;86.0;27.0;62.0;19.0;0.0;22.0;22.0;8.0
4426;Other private clients;Production of building projects;2023 4th quarter;2198;757;1442;416.0;70.0;324.0;101.0;235.0;83.0;0.0;91.0;93.0;28.0
4427;Other private clients;Production of building projects;2023;8993;3040;5953;1830.0;272.0;1400.0;396.0;905.0;317.0;0.0;331.0;386.0;116.0
4428;Other private clients;Production of building projects;2024 January;577;202;376;111.0;22.0;85.0;27.0;64.0;18.0;0.0;20.0;21.0;8.0
4429;Other private clients;Production of building projects;2024 February;723;255;467;141.0;23.0;98.0;36.0;86.0;22.0;0.0;26.0;27.0;10.0
4430;Other private clients;Production of building projects;2024 March;726;259;467;144.0;22.0;85.0;39.0;88.0;21.0;0.0;27.0;29.0;11.0
4431;Other private clients;Production of building projects;2024 1st quarter;2026;717;1309;395.0;67.0;267.0;103.0;238.0;61.0;0.0;73.0;77.0;28.0
4432;Other private clients;Production of building projects;2024 April;726;263;463;150.0;23.0;77.0;36.0;81.0;21.0;0.0;33.0;30.0;12.0
4433;Other private clients;Production of building projects;2024 May;719;259;460;151.0;24.0;76.0;35.0;79.0;21.0;0.0;35.0;28.0;11.0
4434;Other private clients;Production of building projects;2024 June;706;253;453;154.0;25.0;77.0;35.0;70.0;21.0;0.0;29.0;32.0;11.0
4435;Other private clients;Production of building projects;2024 2nd quarter;2152;775;1376;455.0;72.0;230.0;107.0;229.0;63.0;1.0;97.0;90.0;34.0
4436;Other private clients;Production of building projects;2024 July;708;243;465;156.0;26.0;79.0;41.0;69.0;20.0;0.0;28.0;34.0;11.0
4437;Other private clients;Production of building projects;2024 August;376;131;246;84.0;15.0;43.0;24.0;35.0;10.0;0.0;13.0;15.0;6.0
4438;Other private clients;Production of building projects;2024 September;795;274;521;177.0;33.0;92.0;48.0;80.0;22.0;0.0;26.0;29.0;14.0
4439;Other private clients;Production of building projects;2024 3rd quarter;1879;648;1231;417.0;75.0;215.0;114.0;184.0;52.0;0.0;67.0;77.0;31.0
4440;Other private clients;Production of building projects;2024 October;822;282;540;180.0;35.0;95.0;51.0;84.0;24.0;0.0;27.0;31.0;14.0
4441;Other private clients;Production of building projects;2024 November;738;260;478;159.0;31.0;87.0;46.0;70.0;19.0;0.0;25.0;27.0;13.0
4442;Other private clients;Production of building projects;2024 December;590;210;381;128.0;25.0;70.0;32.0;60.0;15.0;0.0;20.0;21.0;11.0
4443;Other private clients;Production of building projects;2024 4th quarter;2150;752;1399;467.0;91.0;252.0;129.0;213.0;57.0;0.0;72.0;79.0;37.0
4444;Other private clients;Production of building projects;2024;8207;2891;5316;1734.0;305.0;965.0;452.0;864.0;233.0;2.0;309.0;323.0;130.0
4445;Other private clients;Production of building projects;2025 January;675;240;435;147.0;29.0;78.0;37.0;68.0;16.0;0.0;24.0;24.0;12.0
4446;Other private clients;Remaining production of buildings;2015 January;3754;1180;2574;451.0;157.0;256.0;415.0;261.0;187.0;0.0;232.0;402.0;214.0
4447;Other private clients;Remaining production of buildings;2015 February;3774;1152;2622;459.0;147.0;239.0;402.0;251.0;318.0;0.0;216.0;388.0;201.0
4448;Other private clients;Remaining production of buildings;2015 March;3688;1118;2570;451.0;139.0;224.0;391.0;244.0;307.0;0.0;206.0;394.0;213.0
4449;Other private clients;Remaining production of buildings;2015 1st quarter;3688;1118;2570;451.0;139.0;224.0;391.0;244.0;307.0;0.0;206.0;394.0;213.0
4450;Other private clients;Remaining production of buildings;2015 April;3825;1184;2642;534.0;137.0;221.0;410.0;267.0;303.0;0.0;197.0;369.0;203.0
4451;Other private clients;Remaining production of buildings;2015 May;4013;1232;2781;587.0;136.0;260.0;408.0;304.0;301.0;0.0;187.0;391.0;207.0
4452;Other private clients;Remaining production of buildings;2015 June;4081;1259;2822;573.0;132.0;249.0;403.0;300.0;360.0;0.0;217.0;387.0;200.0
4453;Other private clients;Remaining production of buildings;2015 2nd quarter;4081;1259;2822;573.0;132.0;249.0;403.0;300.0;360.0;0.0;217.0;387.0;200.0
4454;Other private clients;Remaining production of buildings;2015 July;4210;1271;2939;557.0;128.0;259.0;411.0;385.0;362.0;0.0;254.0;385.0;198.0
4455;Other private clients;Remaining production of buildings;2015 August;4365;1333;3033;611.0;155.0;264.0;416.0;379.0;385.0;0.0;246.0;377.0;199.0
4456;Other private clients;Remaining production of buildings;2015 September;4249;1284;2966;573.0;160.0;258.0;391.0;382.0;391.0;0.0;252.0;370.0;189.0
4457;Other private clients;Remaining production of buildings;2015 3rd quarter;4249;1284;2966;573.0;160.0;258.0;391.0;382.0;391.0;0.0;252.0;370.0;189.0
