ID;Bestemming;Perioden;InvesteringenWerkelijkePrijzen_1;InvesteringenPrijsniveau2015_2;InvesteringenVolumemutatie_3;InvesteringenPrijsindexcijfers_4
208;06 Winning van aardolie en aardgas;2007;;;;
209;06 Winning van aardolie en aardgas;2008;;;;
210;06 Winning van aardolie en aardgas;2009;;;;
211;06 Winning van aardolie en aardgas;2010;;;;
212;06 Winning van aardolie en aardgas;2011;;;;
213;06 Winning van aardolie en aardgas;2012;;;;
214;06 Winning van aardolie en aardgas;2013;;;;
215;06 Winning van aardolie en aardgas;2014;;;;
216;06 Winning van aardolie en aardgas;2015;2571.0;2571.0;;100.0
217;06 Winning van aardolie en aardgas;2016;2120.0;2122.0;-17.5;99.9
218;06 Winning van aardolie en aardgas;2017;1694.0;1704.0;-19.7;99.4
219;06 Winning van aardolie en aardgas;2018;1035.0;1010.0;-40.7;102.5
220;06 Winning van aardolie en aardgas;2019;2000.0;1923.0;90.4;104.0
221;06 Winning van aardolie en aardgas;2020;419.0;399.0;-79.3;105.0
222;06 Winning van aardolie en aardgas;2021;776.0;708.0;77.3;109.7
223;06 Winning van aardolie en aardgas;2022;;;;
224;08 Delfstoffenwinning (geen olie en gas);1995;;;;
225;08 Delfstoffenwinning (geen olie en gas);1996;;;;
226;08 Delfstoffenwinning (geen olie en gas);1997;;;;
227;08 Delfstoffenwinning (geen olie en gas);1998;;;;
228;08 Delfstoffenwinning (geen olie en gas);1999;;;;
229;08 Delfstoffenwinning (geen olie en gas);2000;;;;
230;08 Delfstoffenwinning (geen olie en gas);2001;;;;
231;08 Delfstoffenwinning (geen olie en gas);2002;;;;
232;08 Delfstoffenwinning (geen olie en gas);2003;;;;
233;08 Delfstoffenwinning (geen olie en gas);2004;;;;
234;08 Delfstoffenwinning (geen olie en gas);2005;;;;
235;08 Delfstoffenwinning (geen olie en gas);2006;;;;
236;08 Delfstoffenwinning (geen olie en gas);2007;;;;
237;08 Delfstoffenwinning (geen olie en gas);2008;;;;
238;08 Delfstoffenwinning (geen olie en gas);2009;;;;
239;08 Delfstoffenwinning (geen olie en gas);2010;;;;
240;08 Delfstoffenwinning (geen olie en gas);2011;;;;
241;08 Delfstoffenwinning (geen olie en gas);2012;;;;
242;08 Delfstoffenwinning (geen olie en gas);2013;;;;
243;08 Delfstoffenwinning (geen olie en gas);2014;;;;
244;08 Delfstoffenwinning (geen olie en gas);2015;57.0;57.0;;100.0
245;08 Delfstoffenwinning (geen olie en gas);2016;65.0;65.0;14.0;100.0
246;08 Delfstoffenwinning (geen olie en gas);2017;93.0;92.0;41.5;101.1
247;08 Delfstoffenwinning (geen olie en gas);2018;90.0;90.0;-2.2;100.0
248;08 Delfstoffenwinning (geen olie en gas);2019;67.0;67.0;-25.6;100.0
249;08 Delfstoffenwinning (geen olie en gas);2020;92.0;90.0;34.3;102.2
250;08 Delfstoffenwinning (geen olie en gas);2021;151.0;142.0;57.6;106.4
251;08 Delfstoffenwinning (geen olie en gas);2022;;;;
252;09 Dienstverlening delfstoffenwinning;1995;;;;
253;09 Dienstverlening delfstoffenwinning;1996;;;;
254;09 Dienstverlening delfstoffenwinning;1997;;;;
255;09 Dienstverlening delfstoffenwinning;1998;;;;
256;09 Dienstverlening delfstoffenwinning;1999;;;;
257;09 Dienstverlening delfstoffenwinning;2000;;;;
258;09 Dienstverlening delfstoffenwinning;2001;;;;
259;09 Dienstverlening delfstoffenwinning;2002;;;;
260;09 Dienstverlening delfstoffenwinning;2003;;;;
261;09 Dienstverlening delfstoffenwinning;2004;;;;
262;09 Dienstverlening delfstoffenwinning;2005;;;;
263;09 Dienstverlening delfstoffenwinning;2006;;;;
264;09 Dienstverlening delfstoffenwinning;2007;;;;
265;09 Dienstverlening delfstoffenwinning;2008;;;;
266;09 Dienstverlening delfstoffenwinning;2009;;;;
267;09 Dienstverlening delfstoffenwinning;2010;;;;
268;09 Dienstverlening delfstoffenwinning;2011;;;;
269;09 Dienstverlening delfstoffenwinning;2012;;;;
270;09 Dienstverlening delfstoffenwinning;2013;;;;
271;09 Dienstverlening delfstoffenwinning;2014;;;;
272;09 Dienstverlening delfstoffenwinning;2015;0.0;;;
273;09 Dienstverlening delfstoffenwinning;2016;0.0;;;
274;09 Dienstverlening delfstoffenwinning;2017;0.0;;;
275;09 Dienstverlening delfstoffenwinning;2018;0.0;;;
276;09 Dienstverlening delfstoffenwinning;2019;0.0;;;
277;09 Dienstverlening delfstoffenwinning;2020;0.0;;;
278;09 Dienstverlening delfstoffenwinning;2021;0.0;;;
279;09 Dienstverlening delfstoffenwinning;2022;;;;
280;C Industrie;1995;9529.0;11658.0;;81.7
281;C Industrie;1996;9925.0;12190.0;4.6;81.4
282;C Industrie;1997;10344.0;12666.0;3.9;81.7
283;C Industrie;1998;11203.0;13740.0;8.5;81.5
284;C Industrie;1999;11504.0;14075.0;2.4;81.7
285;C Industrie;2000;11674.0;13970.0;-0.7;83.6
286;C Industrie;2001;11468.0;13502.0;-3.3;84.9
287;C Industrie;2002;11290.0;13065.0;-3.2;86.4
288;C Industrie;2003;10903.0;12593.0;-3.6;86.6
289;C Industrie;2004;10538.0;12062.0;-4.2;87.4
290;C Industrie;2005;10882.0;12307.0;2.0;88.4
291;C Industrie;2006;11827.0;13147.0;6.8;90.0
292;C Industrie;2007;12705.0;13873.0;5.5;91.6
293;C Industrie;2008;13342.0;14230.0;2.6;93.8
294;C Industrie;2009;12264.0;12870.0;-9.6;95.3
295;C Industrie;2010;11311.0;11760.0;-8.6;96.2
296;C Industrie;2011;12719.0;13156.0;11.9;96.7
297;C Industrie;2012;13159.0;13460.0;2.3;97.8
298;C Industrie;2013;12617.0;12864.0;-4.4;98.1
299;C Industrie;2014;13333.0;13529.0;5.2;98.6
300;C Industrie;2015;13902.0;13902.0;2.8;100.0
301;C Industrie;2016;15560.0;15482.0;11.4;100.5
302;C Industrie;2017;16044.0;15857.0;2.4;101.2
303;C Industrie;2018;17781.0;17234.0;8.7;103.2
304;C Industrie;2019;18276.0;17299.0;0.4;105.6
305;C Industrie;2020;17188.0;15976.0;-7.6;107.6
306;C Industrie;2021;17187.0;15581.0;-2.5;110.3
307;C Industrie;2022;18836.0;16257.0;4.3;115.9
308;10-12 Voedings-, genotmiddelenindustrie;1995;1375.0;1744.0;;78.8
309;10-12 Voedings-, genotmiddelenindustrie;1996;1561.0;2002.0;14.8;78.0
310;10-12 Voedings-, genotmiddelenindustrie;1997;1683.0;2159.0;7.9;77.9
311;10-12 Voedings-, genotmiddelenindustrie;1998;1574.0;2013.0;-6.8;78.2
312;10-12 Voedings-, genotmiddelenindustrie;1999;1729.0;2199.0;9.2;78.6
313;10-12 Voedings-, genotmiddelenindustrie;2000;1787.0;2218.0;0.9;80.6
314;10-12 Voedings-, genotmiddelenindustrie;2001;1791.0;2189.0;-1.3;81.8
315;10-12 Voedings-, genotmiddelenindustrie;2002;1914.0;2294.0;4.8;83.4
316;10-12 Voedings-, genotmiddelenindustrie;2003;1859.0;2242.0;-2.3;82.9
317;10-12 Voedings-, genotmiddelenindustrie;2004;1846.0;2181.0;-2.7;84.6
318;10-12 Voedings-, genotmiddelenindustrie;2005;2023.0;2347.0;7.6;86.2
319;10-12 Voedings-, genotmiddelenindustrie;2006;1762.0;2011.0;-14.3;87.6
320;10-12 Voedings-, genotmiddelenindustrie;2007;2009.0;2230.0;10.8;90.1
321;10-12 Voedings-, genotmiddelenindustrie;2008;2084.0;2258.0;1.3;92.3
322;10-12 Voedings-, genotmiddelenindustrie;2009;1893.0;2013.0;-10.8;94.0
323;10-12 Voedings-, genotmiddelenindustrie;2010;1870.0;1943.0;-3.5;96.2
324;10-12 Voedings-, genotmiddelenindustrie;2011;1772.0;1837.0;-5.5;96.4
325;10-12 Voedings-, genotmiddelenindustrie;2012;1996.0;2046.0;11.3;97.6
326;10-12 Voedings-, genotmiddelenindustrie;2013;2278.0;2328.0;13.8;97.9
327;10-12 Voedings-, genotmiddelenindustrie;2014;2542.0;2588.0;11.2;98.2
328;10-12 Voedings-, genotmiddelenindustrie;2015;2417.0;2417.0;-6.6;100.0
329;10-12 Voedings-, genotmiddelenindustrie;2016;2454.0;2448.0;1.3;100.2
330;10-12 Voedings-, genotmiddelenindustrie;2017;2541.0;2524.0;3.1;100.7
331;10-12 Voedings-, genotmiddelenindustrie;2018;2895.0;2843.0;12.6;101.8
332;10-12 Voedings-, genotmiddelenindustrie;2019;2864.0;2743.0;-3.5;104.4
333;10-12 Voedings-, genotmiddelenindustrie;2020;2799.0;2643.0;-3.7;105.9
334;10-12 Voedings-, genotmiddelenindustrie;2021;2789.0;2587.0;-2.1;107.8
335;10-12 Voedings-, genotmiddelenindustrie;2022;;;;
336;10 Voedingsmiddelenindustrie;1995;;;;
337;10 Voedingsmiddelenindustrie;1996;;;;
338;10 Voedingsmiddelenindustrie;1997;;;;
339;10 Voedingsmiddelenindustrie;1998;;;;
340;10 Voedingsmiddelenindustrie;1999;;;;
341;10 Voedingsmiddelenindustrie;2000;;;;
342;10 Voedingsmiddelenindustrie;2001;;;;
343;10 Voedingsmiddelenindustrie;2002;;;;
344;10 Voedingsmiddelenindustrie;2003;;;;
345;10 Voedingsmiddelenindustrie;2004;;;;
346;10 Voedingsmiddelenindustrie;2005;;;;
347;10 Voedingsmiddelenindustrie;2006;;;;
348;10 Voedingsmiddelenindustrie;2007;;;;
349;10 Voedingsmiddelenindustrie;2008;;;;
350;10 Voedingsmiddelenindustrie;2009;;;;
351;10 Voedingsmiddelenindustrie;2010;;;;
352;10 Voedingsmiddelenindustrie;2011;;;;
353;10 Voedingsmiddelenindustrie;2012;;;;
354;10 Voedingsmiddelenindustrie;2013;;;;
355;10 Voedingsmiddelenindustrie;2014;;;;
356;10 Voedingsmiddelenindustrie;2015;2186.0;2186.0;;100.0
357;10 Voedingsmiddelenindustrie;2016;2151.0;2146.0;-1.8;100.2
358;10 Voedingsmiddelenindustrie;2017;2242.0;2231.0;4.0;100.5
359;10 Voedingsmiddelenindustrie;2018;2542.0;2501.0;12.1;101.6
360;10 Voedingsmiddelenindustrie;2019;2497.0;2397.0;-4.2;104.2
361;10 Voedingsmiddelenindustrie;2020;2481.0;2345.0;-2.2;105.8
362;10 Voedingsmiddelenindustrie;2021;2495.0;2322.0;-1.0;107.5
363;10 Voedingsmiddelenindustrie;2022;;;;
364;11 Drankenindustrie;1995;;;;
365;11 Drankenindustrie;1996;;;;
366;11 Drankenindustrie;1997;;;;
367;11 Drankenindustrie;1998;;;;
368;11 Drankenindustrie;1999;;;;
369;11 Drankenindustrie;2000;;;;
370;11 Drankenindustrie;2001;;;;
371;11 Drankenindustrie;2002;;;;
372;11 Drankenindustrie;2003;;;;
373;11 Drankenindustrie;2004;;;;
374;11 Drankenindustrie;2005;;;;
375;11 Drankenindustrie;2006;;;;
376;11 Drankenindustrie;2007;;;;
377;11 Drankenindustrie;2008;;;;
378;11 Drankenindustrie;2009;;;;
379;11 Drankenindustrie;2010;;;;
380;11 Drankenindustrie;2011;;;;
381;11 Drankenindustrie;2012;;;;
382;11 Drankenindustrie;2013;;;;
383;11 Drankenindustrie;2014;;;;
384;11 Drankenindustrie;2015;216.0;216.0;;100.0
385;11 Drankenindustrie;2016;254.0;253.0;17.1;100.4
386;11 Drankenindustrie;2017;224.0;224.0;-11.4;99.9
387;11 Drankenindustrie;2018;319.0;314.0;40.2;101.5
388;11 Drankenindustrie;2019;339.0;325.0;3.4;104.3
389;11 Drankenindustrie;2020;252.0;237.0;-27.1;106.4
390;11 Drankenindustrie;2021;223.0;204.0;-13.9;109.4
391;11 Drankenindustrie;2022;;;;
392;12 Tabaksindustrie;1995;;;;
393;12 Tabaksindustrie;1996;;;;
394;12 Tabaksindustrie;1997;;;;
395;12 Tabaksindustrie;1998;;;;
396;12 Tabaksindustrie;1999;;;;
397;12 Tabaksindustrie;2000;;;;
398;12 Tabaksindustrie;2001;;;;
399;12 Tabaksindustrie;2002;;;;
400;12 Tabaksindustrie;2003;;;;
401;12 Tabaksindustrie;2004;;;;
402;12 Tabaksindustrie;2005;;;;
403;12 Tabaksindustrie;2006;;;;
404;12 Tabaksindustrie;2007;;;;
405;12 Tabaksindustrie;2008;;;;
406;12 Tabaksindustrie;2009;;;;
407;12 Tabaksindustrie;2010;;;;
408;12 Tabaksindustrie;2011;;;;
409;12 Tabaksindustrie;2012;;;;
410;12 Tabaksindustrie;2013;;;;
411;12 Tabaksindustrie;2014;;;;
412;12 Tabaksindustrie;2015;15.0;15.0;;100.0
413;12 Tabaksindustrie;2016;49.0;49.0;226.7;100.0
414;12 Tabaksindustrie;2017;75.0;69.0;40.8;108.7
415;12 Tabaksindustrie;2018;34.0;31.0;-54.7;108.7
416;12 Tabaksindustrie;2019;28.0;26.0;-17.6;108.7
417;12 Tabaksindustrie;2020;66.0;63.0;146.4;104.0
418;12 Tabaksindustrie;2021;71.0;64.0;1.5;110.2
419;12 Tabaksindustrie;2022;;;;
420;13-15 Textiel-, kleding-, lederindustrie;1995;127.0;128.0;;99.4
