ID;Persoonskenmerken;Perioden;AdoptieDoorHomosexueleParen_1;MeerGeldAanOntwikkelingshulp_2;TurkijeLidEuropeseUnie_3;GroteBedrijvenDreigingDemocratie_4;BelastingVerlagen_5;WinkelsOpZondagGesloten_6;IllegalenMoetenKunnenBlijven_7;AfschaffenHypotheekaftrek_8;VerbodGenManipulatiePlanten_9;KomstVanMoslimsStopzetten_10;MensenMetPensioenMeebetalenAOW_11;HomohuwelijkVerbieden_12;TerechtMilitairenNaarUruzgan_13;EuthanasieMoetMogelijkZijn_14;InkomensverschillenVerkleinen_15;AsielzoekersTerugsturen_16;HardOptredenTegenCriminaliteit_17;NietKerncentralesBouwen_18;AllochtonenZichGeheelAanpassen_19;EuropeseEenwordingTeVer_20;AltijdMilitairenLeveren_21;PartijenLosVanGodsdienst_22;ScholenLosVanGodsdienst_23;ReligieAlsWegwijzerInPolitiek_24;LinksRechtsScore_25
134;21020;2012;61.0;20.0;;22.0;36.0;;49.0;28.0;;;44.0;20.0;;55.0;57.0;53.0;90.0;54.0;63.0;47.0;58.0;;22.0;66.0;5.6
135;21000;2006;55.0;56.0;46.0;33.0;17.0;39.0;46.0;14.0;25.0;29.0;41.0;24.0;75.0;76.0;62.0;50.0;86.0;50.0;69.0;50.0;65.0;40.0;21.0;9.0;5.8
136;21000;2010;77.0;32.0;45.0;25.0;29.0;43.0;47.0;23.0;37.0;27.0;35.0;8.0;62.0;71.0;49.0;47.0;88.0;43.0;68.0;42.0;56.0;;;;4.9
137;21000;2012;60.0;12.0;;34.0;18.0;;43.0;20.0;;;26.0;11.0;;79.0;55.0;44.0;95.0;61.0;64.0;51.0;44.0;;19.0;45.0;5.3
138;21025;2006;73.0;39.0;34.0;30.0;23.0;40.0;53.0;14.0;43.0;39.0;36.0;15.0;58.0;85.0;65.0;54.0;91.0;56.0;72.0;53.0;58.0;43.0;29.0;6.0;5.3
139;21025;2010;79.0;28.0;53.0;31.0;25.0;30.0;45.0;22.0;24.0;39.0;34.0;8.0;58.0;83.0;62.0;55.0;90.0;45.0;70.0;41.0;61.0;;;;5.3
140;21025;2012;62.0;25.0;;38.0;34.0;;44.0;27.0;;;33.0;10.0;;76.0;51.0;66.0;94.0;71.0;66.0;44.0;58.0;;34.0;36.0;5.6
141;21030;2006;64.0;43.0;48.0;35.0;27.0;37.0;56.0;18.0;37.0;42.0;37.0;15.0;61.0;88.0;68.0;56.0;88.0;53.0;71.0;58.0;61.0;51.0;36.0;8.0;5.4
142;21030;2010;76.0;25.0;40.0;38.0;25.0;36.0;41.0;23.0;28.0;43.0;35.0;10.0;53.0;84.0;62.0;53.0;85.0;50.0;70.0;51.0;54.0;;;;5.3
143;21030;2012;70.0;20.0;;34.0;32.0;;43.0;28.0;;;40.0;13.0;;80.0;58.0;61.0;94.0;66.0;68.0;57.0;49.0;;43.0;26.0;5.4
