ID;StandaardGoederennomenclatuurSGN;Perioden;InNLGeproduceerdEnAfgezet_1;Uitvoer_2;InBuitenlGeproduceerdInNLAfgezet_3
1116;1911290  Overig zand (w.o. ophoogzand);November  1994;117.0;;135.0
1117;1911290  Overig zand (w.o. ophoogzand);December  1994;117.0;;135.0
1118;1911290  Overig zand (w.o. ophoogzand);1995;123.0;;143.0
1119;1911290  Overig zand (w.o. ophoogzand);Januari   1995;122.0;;143.0
1120;1911290  Overig zand (w.o. ophoogzand);Februari  1995;122.0;;143.0
1121;1911290  Overig zand (w.o. ophoogzand);Maart     1995;122.0;;143.0
1122;1911290  Overig zand (w.o. ophoogzand);April     1995;122.0;;143.0
1123;1911290  Overig zand (w.o. ophoogzand);Mei       1995;122.0;;143.0
1124;1911290  Overig zand (w.o. ophoogzand);Juni      1995;122.0;;143.0
1125;1911290  Overig zand (w.o. ophoogzand);Juli      1995;123.0;;143.0
1126;1911290  Overig zand (w.o. ophoogzand);Augustus  1995;123.0;;143.0
1127;1911290  Overig zand (w.o. ophoogzand);September 1995;123.0;;143.0
1128;1911290  Overig zand (w.o. ophoogzand);Oktober   1995;123.0;;143.0
1129;1911290  Overig zand (w.o. ophoogzand);November  1995;123.0;;143.0
1130;1911290  Overig zand (w.o. ophoogzand);December  1995;123.0;;143.0
1131;1911290  Overig zand (w.o. ophoogzand);1996;129.0;;149.0
1132;1911290  Overig zand (w.o. ophoogzand);Januari   1996;129.0;;149.0
1133;1911290  Overig zand (w.o. ophoogzand);Februari  1996;129.0;;149.0
1134;1911290  Overig zand (w.o. ophoogzand);Maart     1996;129.0;;149.0
1135;1911290  Overig zand (w.o. ophoogzand);April     1996;130.0;;149.0
1136;1911290  Overig zand (w.o. ophoogzand);Mei       1996;130.0;;149.0
1137;1911290  Overig zand (w.o. ophoogzand);Juni      1996;130.0;;149.0
1138;1911290  Overig zand (w.o. ophoogzand);Juli      1996;129.0;;149.0
1139;1911290  Overig zand (w.o. ophoogzand);Augustus  1996;129.0;;149.0
1140;1911290  Overig zand (w.o. ophoogzand);September 1996;129.0;;149.0
1141;1911290  Overig zand (w.o. ophoogzand);Oktober   1996;130.0;;149.0
1142;1911290  Overig zand (w.o. ophoogzand);November  1996;130.0;;149.0
1143;1911290  Overig zand (w.o. ophoogzand);December  1996;130.0;;149.0
1144;1911290  Overig zand (w.o. ophoogzand);1997;137.0;;152.0
1145;1911290  Overig zand (w.o. ophoogzand);Januari   1997;137.0;;151.0
1146;1911290  Overig zand (w.o. ophoogzand);Februari  1997;137.0;;151.0
1147;1911290  Overig zand (w.o. ophoogzand);Maart     1997;137.0;;151.0
1148;1911290  Overig zand (w.o. ophoogzand);April     1997;137.0;;151.0
1149;1911290  Overig zand (w.o. ophoogzand);Mei       1997;137.0;;151.0
1150;1911290  Overig zand (w.o. ophoogzand);Juni      1997;137.0;;151.0
1151;1911290  Overig zand (w.o. ophoogzand);Juli      1997;137.0;;153.0
1152;1911290  Overig zand (w.o. ophoogzand);Augustus  1997;137.0;;153.0
1153;1911290  Overig zand (w.o. ophoogzand);September 1997;137.0;;153.0
1154;1911290  Overig zand (w.o. ophoogzand);Oktober   1997;137.0;;153.0
1155;1911290  Overig zand (w.o. ophoogzand);November  1997;137.0;;153.0
1156;1911290  Overig zand (w.o. ophoogzand);December  1997;137.0;;153.0
1157;1911290  Overig zand (w.o. ophoogzand);1998;143.0;;166.0
1158;1911290  Overig zand (w.o. ophoogzand);Januari   1998;143.0;;166.0
1159;1911290  Overig zand (w.o. ophoogzand);Februari  1998;143.0;;166.0
1160;1911290  Overig zand (w.o. ophoogzand);Maart  1998;143.0;;166.0
1161;1911290  Overig zand (w.o. ophoogzand);April  1998;143.0;;166.0
1162;1911290  Overig zand (w.o. ophoogzand);Mei 1998;143.0;;166.0
1163;1911290  Overig zand (w.o. ophoogzand);Juni 1998;143.0;;166.0
1164;1911290  Overig zand (w.o. ophoogzand);Juli 1998;143.0;;166.0
1165;1911290  Overig zand (w.o. ophoogzand);Augustus 1998;143.0;;166.0
1166;1911290  Overig zand (w.o. ophoogzand);September 1998;143.0;;166.0
1167;1911290  Overig zand (w.o. ophoogzand);Oktober 1998;143.0;;166.0
1168;1911290  Overig zand (w.o. ophoogzand);November 1998;143.0;;166.0
1169;1911290  Overig zand (w.o. ophoogzand);December 1998;143.0;;166.0
1170;1912000  Klei en kleiaarde;1990;;;100.0
1171;1912000  Klei en kleiaarde;Januari   1990;;;99.0
1172;1912000  Klei en kleiaarde;Februari  1990;;;99.0
1173;1912000  Klei en kleiaarde;Maart     1990;;;99.0
1174;1912000  Klei en kleiaarde;April     1990;;;99.0
1175;1912000  Klei en kleiaarde;Mei       1990;;;100.0
1176;1912000  Klei en kleiaarde;Juni      1990;;;100.0
1177;1912000  Klei en kleiaarde;Juli      1990;;;100.0
1178;1912000  Klei en kleiaarde;Augustus  1990;;;100.0
1179;1912000  Klei en kleiaarde;September 1990;;;100.0
1180;1912000  Klei en kleiaarde;Oktober   1990;;;101.0
1181;1912000  Klei en kleiaarde;November  1990;;;101.0
1182;1912000  Klei en kleiaarde;December  1990;;;101.0
1183;1912000  Klei en kleiaarde;1991;;;100.0
1184;1912000  Klei en kleiaarde;Januari   1991;;;100.0
1185;1912000  Klei en kleiaarde;Februari  1991;;;100.0
1186;1912000  Klei en kleiaarde;Maart     1991;;;100.0
1187;1912000  Klei en kleiaarde;April     1991;;;100.0
1188;1912000  Klei en kleiaarde;Mei       1991;;;100.0
1189;1912000  Klei en kleiaarde;Juni      1991;;;100.0
1190;1912000  Klei en kleiaarde;Juli      1991;;;100.0
1191;1912000  Klei en kleiaarde;Augustus  1991;;;100.0
1192;1912000  Klei en kleiaarde;September 1991;;;100.0
1193;1912000  Klei en kleiaarde;Oktober   1991;;;100.0
1194;1912000  Klei en kleiaarde;November  1991;;;101.0
1195;1912000  Klei en kleiaarde;December  1991;;;101.0
1196;1912000  Klei en kleiaarde;1992;;;103.0
1197;1912000  Klei en kleiaarde;Januari   1992;;;103.0
1198;1912000  Klei en kleiaarde;Februari  1992;;;103.0
1199;1912000  Klei en kleiaarde;Maart     1992;;;103.0
1200;1912000  Klei en kleiaarde;April     1992;;;103.0
1201;1912000  Klei en kleiaarde;Mei       1992;;;103.0
1202;1912000  Klei en kleiaarde;Juni      1992;;;103.0
1203;1912000  Klei en kleiaarde;Juli      1992;;;103.0
1204;1912000  Klei en kleiaarde;Augustus  1992;;;103.0
1205;1912000  Klei en kleiaarde;September 1992;;;103.0
1206;1912000  Klei en kleiaarde;Oktober   1992;;;103.0
1207;1912000  Klei en kleiaarde;November  1992;;;103.0
1208;1912000  Klei en kleiaarde;December  1992;;;103.0
1209;1912000  Klei en kleiaarde;1993;;;103.0
1210;1912000  Klei en kleiaarde;Januari   1993;;;103.0
1211;1912000  Klei en kleiaarde;Februari  1993;;;103.0
1212;1912000  Klei en kleiaarde;Maart     1993;;;103.0
1213;1912000  Klei en kleiaarde;April     1993;;;103.0
1214;1912000  Klei en kleiaarde;Mei       1993;;;103.0
1215;1912000  Klei en kleiaarde;Juni      1993;;;103.0
1216;1912000  Klei en kleiaarde;Juli      1993;;;103.0
1217;1912000  Klei en kleiaarde;Augustus  1993;;;103.0
1218;1912000  Klei en kleiaarde;September 1993;;;103.0
1219;1912000  Klei en kleiaarde;Oktober   1993;;;103.0
1220;1912000  Klei en kleiaarde;November  1993;;;103.0
1221;1912000  Klei en kleiaarde;December  1993;;;103.0
1222;1912000  Klei en kleiaarde;1994;;;103.0
1223;1912000  Klei en kleiaarde;Januari   1994;;;103.0
1224;1912000  Klei en kleiaarde;Februari  1994;;;103.0
1225;1912000  Klei en kleiaarde;Maart     1994;;;103.0
1226;1912000  Klei en kleiaarde;April     1994;;;103.0
1227;1912000  Klei en kleiaarde;Mei       1994;;;103.0
1228;1912000  Klei en kleiaarde;Juni      1994;;;103.0
1229;1912000  Klei en kleiaarde;Juli      1994;;;103.0
1230;1912000  Klei en kleiaarde;Augustus  1994;;;103.0
1231;1912000  Klei en kleiaarde;September 1994;;;103.0
1232;1912000  Klei en kleiaarde;Oktober   1994;;;103.0
1233;1912000  Klei en kleiaarde;November  1994;;;103.0
1234;1912000  Klei en kleiaarde;December  1994;;;103.0
1235;1912000  Klei en kleiaarde;1995;;;102.0
1236;1912000  Klei en kleiaarde;Januari   1995;;;102.0
1237;1912000  Klei en kleiaarde;Februari  1995;;;102.0
1238;1912000  Klei en kleiaarde;Maart     1995;;;102.0
1239;1912000  Klei en kleiaarde;April     1995;;;102.0
1240;1912000  Klei en kleiaarde;Mei       1995;;;102.0
1241;1912000  Klei en kleiaarde;Juni      1995;;;102.0
1242;1912000  Klei en kleiaarde;Juli      1995;;;102.0
1243;1912000  Klei en kleiaarde;Augustus  1995;;;102.0
1244;1912000  Klei en kleiaarde;September 1995;;;102.0
1245;1912000  Klei en kleiaarde;Oktober   1995;;;103.0
1246;1912000  Klei en kleiaarde;November  1995;;;103.0
1247;1912000  Klei en kleiaarde;December  1995;;;103.0
1248;1912000  Klei en kleiaarde;1996;;;104.0
1249;1912000  Klei en kleiaarde;Januari   1996;;;104.0
1250;1912000  Klei en kleiaarde;Februari  1996;;;104.0
1251;1912000  Klei en kleiaarde;Maart     1996;;;104.0
1252;1912000  Klei en kleiaarde;April     1996;;;104.0
1253;1912000  Klei en kleiaarde;Mei       1996;;;103.0
1254;1912000  Klei en kleiaarde;Juni      1996;;;104.0
1255;1912000  Klei en kleiaarde;Juli      1996;;;104.0
1256;1912000  Klei en kleiaarde;Augustus  1996;;;104.0
1257;1912000  Klei en kleiaarde;September 1996;;;104.0
1258;1912000  Klei en kleiaarde;Oktober   1996;;;104.0
1259;1912000  Klei en kleiaarde;November  1996;;;104.0
1260;1912000  Klei en kleiaarde;December  1996;;;104.0
1261;1912000  Klei en kleiaarde;1997;;;104.0
1262;1912000  Klei en kleiaarde;Januari   1997;;;104.0
1263;1912000  Klei en kleiaarde;Februari  1997;;;104.0
1264;1912000  Klei en kleiaarde;Maart     1997;;;104.0
1265;1912000  Klei en kleiaarde;April     1997;;;104.0
1266;1912000  Klei en kleiaarde;Mei       1997;;;104.0
1267;1912000  Klei en kleiaarde;Juni      1997;;;104.0
1268;1912000  Klei en kleiaarde;Juli      1997;;;104.0
1269;1912000  Klei en kleiaarde;Augustus  1997;;;104.0
1270;1912000  Klei en kleiaarde;September 1997;;;104.0
1271;1912000  Klei en kleiaarde;Oktober   1997;;;104.0
1272;1912000  Klei en kleiaarde;November  1997;;;104.0
1273;1912000  Klei en kleiaarde;December  1997;;;104.0
1274;1912000  Klei en kleiaarde;1998;;;104.0
1275;1912000  Klei en kleiaarde;Januari   1998;;;104.0
1276;1912000  Klei en kleiaarde;Februari  1998;;;104.0
1277;1912000  Klei en kleiaarde;Maart  1998;;;104.0
1278;1912000  Klei en kleiaarde;April  1998;;;104.0
1279;1912000  Klei en kleiaarde;Mei 1998;;;104.0
1280;1912000  Klei en kleiaarde;Juni 1998;;;104.0
1281;1912000  Klei en kleiaarde;Juli 1998;;;104.0
1282;1912000  Klei en kleiaarde;Augustus 1998;;;104.0
1283;1912000  Klei en kleiaarde;September 1998;;;104.0
1284;1912000  Klei en kleiaarde;Oktober 1998;;;104.0
1285;1912000  Klei en kleiaarde;November 1998;;;104.0
1286;1912000  Klei en kleiaarde;December 1998;;;104.0
1287;1913000  Ongebroken grint;1990;100.0;;100.0
1288;1913000  Ongebroken grint;Januari   1990;99.0;;100.0
1289;1913000  Ongebroken grint;Februari  1990;100.0;;100.0
1290;1913000  Ongebroken grint;Maart     1990;100.0;;101.0
1291;1913000  Ongebroken grint;April     1990;100.0;;97.0
1292;1913000  Ongebroken grint;Mei       1990;100.0;;99.0
1293;1913000  Ongebroken grint;Juni      1990;100.0;;99.0
1294;1913000  Ongebroken grint;Juli      1990;100.0;;99.0
1295;1913000  Ongebroken grint;Augustus  1990;101.0;;101.0
1296;1913000  Ongebroken grint;September 1990;100.0;;101.0
1297;1913000  Ongebroken grint;Oktober   1990;100.0;;101.0
1298;1913000  Ongebroken grint;November  1990;100.0;;101.0
1299;1913000  Ongebroken grint;December  1990;101.0;;101.0
1300;1913000  Ongebroken grint;1991;105.0;;105.0
1301;1913000  Ongebroken grint;Januari   1991;106.0;;103.0
1302;1913000  Ongebroken grint;Februari  1991;106.0;;104.0
1303;1913000  Ongebroken grint;Maart     1991;105.0;;104.0
1304;1913000  Ongebroken grint;April     1991;105.0;;104.0
1305;1913000  Ongebroken grint;Mei       1991;104.0;;104.0
1306;1913000  Ongebroken grint;Juni      1991;104.0;;105.0
1307;1913000  Ongebroken grint;Juli      1991;105.0;;105.0
1308;1913000  Ongebroken grint;Augustus  1991;105.0;;105.0
1309;1913000  Ongebroken grint;September 1991;104.0;;105.0
1310;1913000  Ongebroken grint;Oktober   1991;103.0;;105.0
1311;1913000  Ongebroken grint;November  1991;104.0;;105.0
1312;1913000  Ongebroken grint;December  1991;104.0;;105.0
1313;1913000  Ongebroken grint;1992;103.0;;108.0
1314;1913000  Ongebroken grint;Januari   1992;104.0;;108.0
1315;1913000  Ongebroken grint;Februari  1992;104.0;;108.0
1316;1913000  Ongebroken grint;Maart     1992;104.0;;108.0
1317;1913000  Ongebroken grint;April     1992;103.0;;108.0
1318;1913000  Ongebroken grint;Mei       1992;104.0;;108.0
1319;1913000  Ongebroken grint;Juni      1992;104.0;;108.0
1320;1913000  Ongebroken grint;Juli      1992;104.0;;108.0
1321;1913000  Ongebroken grint;Augustus  1992;103.0;;108.0
1322;1913000  Ongebroken grint;September 1992;103.0;;108.0
1323;1913000  Ongebroken grint;Oktober   1992;102.0;;108.0
1324;1913000  Ongebroken grint;November  1992;103.0;;108.0
1325;1913000  Ongebroken grint;December  1992;103.0;;108.0
1326;1913000  Ongebroken grint;1993;103.0;;111.0
1327;1913000  Ongebroken grint;Januari   1993;103.0;;109.0
1328;1913000  Ongebroken grint;Februari  1993;103.0;;109.0
1329;1913000  Ongebroken grint;Maart     1993;103.0;;111.0
1330;1913000  Ongebroken grint;April     1993;103.0;;111.0
1331;1913000  Ongebroken grint;Mei       1993;103.0;;111.0
1332;1913000  Ongebroken grint;Juni      1993;103.0;;111.0
1333;1913000  Ongebroken grint;Juli      1993;103.0;;111.0
1334;1913000  Ongebroken grint;Augustus  1993;103.0;;111.0
1335;1913000  Ongebroken grint;September 1993;103.0;;111.0
1336;1913000  Ongebroken grint;Oktober   1993;103.0;;111.0
1337;1913000  Ongebroken grint;November  1993;103.0;;111.0
1338;1913000  Ongebroken grint;December  1993;103.0;;111.0
1339;1913000  Ongebroken grint;1994;101.0;;112.0
1340;1913000  Ongebroken grint;Januari   1994;101.0;;111.0
1341;1913000  Ongebroken grint;Februari  1994;101.0;;112.0
1342;1913000  Ongebroken grint;Maart     1994;101.0;;112.0
1343;1913000  Ongebroken grint;April     1994;101.0;;112.0
1344;1913000  Ongebroken grint;Mei       1994;101.0;;112.0
1345;1913000  Ongebroken grint;Juni      1994;101.0;;112.0
1346;1913000  Ongebroken grint;Juli      1994;101.0;;112.0
1347;1913000  Ongebroken grint;Augustus  1994;101.0;;112.0
1348;1913000  Ongebroken grint;September 1994;101.0;;112.0
1349;1913000  Ongebroken grint;Oktober   1994;101.0;;112.0
1350;1913000  Ongebroken grint;November  1994;101.0;;112.0
1351;1913000  Ongebroken grint;December  1994;101.0;;112.0
1352;1913000  Ongebroken grint;1995;101.0;;112.0
1353;1913000  Ongebroken grint;Januari   1995;101.0;;112.0
1354;1913000  Ongebroken grint;Februari  1995;101.0;;112.0
1355;1913000  Ongebroken grint;Maart     1995;101.0;;112.0
1356;1913000  Ongebroken grint;April     1995;101.0;;112.0
1357;1913000  Ongebroken grint;Mei       1995;101.0;;112.0
1358;1913000  Ongebroken grint;Juni      1995;101.0;;112.0
1359;1913000  Ongebroken grint;Juli      1995;101.0;;112.0
1360;1913000  Ongebroken grint;Augustus  1995;101.0;;112.0
1361;1913000  Ongebroken grint;September 1995;101.0;;112.0
1362;1913000  Ongebroken grint;Oktober   1995;101.0;;112.0
1363;1913000  Ongebroken grint;November  1995;101.0;;112.0
1364;1913000  Ongebroken grint;December  1995;101.0;;112.0
1365;1913000  Ongebroken grint;1996;103.0;;113.0
1366;1913000  Ongebroken grint;Januari   1996;103.0;;112.0
1367;1913000  Ongebroken grint;Februari  1996;103.0;;112.0
1368;1913000  Ongebroken grint;Maart     1996;103.0;;112.0
1369;1913000  Ongebroken grint;April     1996;103.0;;113.0
1370;1913000  Ongebroken grint;Mei       1996;103.0;;113.0
1371;1913000  Ongebroken grint;Juni      1996;103.0;;113.0
1372;1913000  Ongebroken grint;Juli      1996;103.0;;113.0
1373;1913000  Ongebroken grint;Augustus  1996;103.0;;113.0
1374;1913000  Ongebroken grint;September 1996;103.0;;113.0
1375;1913000  Ongebroken grint;Oktober   1996;103.0;;113.0
1376;1913000  Ongebroken grint;November  1996;103.0;;113.0
1377;1913000  Ongebroken grint;December  1996;103.0;;113.0
1378;1913000  Ongebroken grint;1997;104.0;;116.0
1379;1913000  Ongebroken grint;Januari   1997;104.0;;114.0
1380;1913000  Ongebroken grint;Februari  1997;104.0;;114.0
1381;1913000  Ongebroken grint;Maart     1997;104.0;;114.0
1382;1913000  Ongebroken grint;April     1997;104.0;;115.0
1383;1913000  Ongebroken grint;Mei       1997;104.0;;115.0
1384;1913000  Ongebroken grint;Juni      1997;104.0;;115.0
1385;1913000  Ongebroken grint;Juli      1997;104.0;;117.0
1386;1913000  Ongebroken grint;Augustus  1997;104.0;;117.0
1387;1913000  Ongebroken grint;September 1997;104.0;;117.0
1388;1913000  Ongebroken grint;Oktober   1997;104.0;;117.0
1389;1913000  Ongebroken grint;November  1997;104.0;;117.0
1390;1913000  Ongebroken grint;December  1997;104.0;;117.0
1391;1913000  Ongebroken grint;1998;105.0;;119.0
1392;1913000  Ongebroken grint;Januari   1998;105.0;;118.0
1393;1913000  Ongebroken grint;Februari  1998;105.0;;118.0
1394;1913000  Ongebroken grint;Maart  1998;105.0;;118.0
1395;1913000  Ongebroken grint;April  1998;105.0;;118.0
1396;1913000  Ongebroken grint;Mei 1998;105.0;;118.0
1397;1913000  Ongebroken grint;Juni 1998;105.0;;118.0
1398;1913000  Ongebroken grint;Juli 1998;105.0;;120.0
1399;1913000  Ongebroken grint;Augustus 1998;105.0;;120.0
1400;1913000  Ongebroken grint;September 1998;105.0;;120.0
1401;1913000  Ongebroken grint;Oktober 1998;105.0;;120.0
1402;1913000  Ongebroken grint;November 1998;105.0;;120.0
1403;1913000  Ongebroken grint;December 1998;105.0;;120.0
1404;1914000  Nat.steen  (excl.edelstenen);1990;;;100.0
1405;1914000  Nat.steen  (excl.edelstenen);Januari   1990;;;100.0
1406;1914000  Nat.steen  (excl.edelstenen);Februari  1990;;;101.0
1407;1914000  Nat.steen  (excl.edelstenen);Maart     1990;;;99.0
1408;1914000  Nat.steen  (excl.edelstenen);April     1990;;;100.0
1409;1914000  Nat.steen  (excl.edelstenen);Mei       1990;;;100.0
1410;1914000  Nat.steen  (excl.edelstenen);Juni      1990;;;100.0
1411;1914000  Nat.steen  (excl.edelstenen);Juli      1990;;;100.0
1412;1914000  Nat.steen  (excl.edelstenen);Augustus  1990;;;100.0
1413;1914000  Nat.steen  (excl.edelstenen);September 1990;;;100.0
1414;1914000  Nat.steen  (excl.edelstenen);Oktober   1990;;;100.0
1415;1914000  Nat.steen  (excl.edelstenen);November  1990;;;100.0
1416;1914000  Nat.steen  (excl.edelstenen);December  1990;;;100.0
1417;1914000  Nat.steen  (excl.edelstenen);1991;;;101.0
1418;1914000  Nat.steen  (excl.edelstenen);Januari   1991;;;101.0
1419;1914000  Nat.steen  (excl.edelstenen);Februari  1991;;;100.0
1420;1914000  Nat.steen  (excl.edelstenen);Maart     1991;;;102.0
1421;1914000  Nat.steen  (excl.edelstenen);April     1991;;;101.0
1422;1914000  Nat.steen  (excl.edelstenen);Mei       1991;;;101.0
1423;1914000  Nat.steen  (excl.edelstenen);Juni      1991;;;101.0
1424;1914000  Nat.steen  (excl.edelstenen);Juli      1991;;;102.0
1425;1914000  Nat.steen  (excl.edelstenen);Augustus  1991;;;102.0
1426;1914000  Nat.steen  (excl.edelstenen);September 1991;;;101.0
1427;1914000  Nat.steen  (excl.edelstenen);Oktober   1991;;;102.0
1428;1914000  Nat.steen  (excl.edelstenen);November  1991;;;102.0
1429;1914000  Nat.steen  (excl.edelstenen);December  1991;;;103.0
1430;1914000  Nat.steen  (excl.edelstenen);1992;;;107.0
1431;1914000  Nat.steen  (excl.edelstenen);Januari   1992;;;105.0
1432;1914000  Nat.steen  (excl.edelstenen);Februari  1992;;;105.0
1433;1914000  Nat.steen  (excl.edelstenen);Maart     1992;;;106.0
1434;1914000  Nat.steen  (excl.edelstenen);April     1992;;;108.0
1435;1914000  Nat.steen  (excl.edelstenen);Mei       1992;;;108.0
1436;1914000  Nat.steen  (excl.edelstenen);Juni      1992;;;108.0
1437;1914000  Nat.steen  (excl.edelstenen);Juli      1992;;;108.0
1438;1914000  Nat.steen  (excl.edelstenen);Augustus  1992;;;108.0
1439;1914000  Nat.steen  (excl.edelstenen);September 1992;;;108.0
1440;1914000  Nat.steen  (excl.edelstenen);Oktober   1992;;;107.0
1441;1914000  Nat.steen  (excl.edelstenen);November  1992;;;107.0
1442;1914000  Nat.steen  (excl.edelstenen);December  1992;;;106.0
1443;1914000  Nat.steen  (excl.edelstenen);1993;;;107.0
1444;1914000  Nat.steen  (excl.edelstenen);Januari   1993;;;106.0
1445;1914000  Nat.steen  (excl.edelstenen);Februari  1993;;;106.0
1446;1914000  Nat.steen  (excl.edelstenen);Maart     1993;;;107.0
1447;1914000  Nat.steen  (excl.edelstenen);April     1993;;;107.0
1448;1914000  Nat.steen  (excl.edelstenen);Mei       1993;;;108.0
1449;1914000  Nat.steen  (excl.edelstenen);Juni      1993;;;108.0
1450;1914000  Nat.steen  (excl.edelstenen);Juli      1993;;;108.0
1451;1914000  Nat.steen  (excl.edelstenen);Augustus  1993;;;107.0
1452;1914000  Nat.steen  (excl.edelstenen);September 1993;;;107.0
1453;1914000  Nat.steen  (excl.edelstenen);Oktober   1993;;;106.0
1454;1914000  Nat.steen  (excl.edelstenen);November  1993;;;106.0
1455;1914000  Nat.steen  (excl.edelstenen);December  1993;;;106.0
1456;1914000  Nat.steen  (excl.edelstenen);1994;;;109.0
1457;1914000  Nat.steen  (excl.edelstenen);Januari   1994;;;108.0
1458;1914000  Nat.steen  (excl.edelstenen);Februari  1994;;;108.0
1459;1914000  Nat.steen  (excl.edelstenen);Maart     1994;;;108.0
1460;1914000  Nat.steen  (excl.edelstenen);April     1994;;;108.0
1461;1914000  Nat.steen  (excl.edelstenen);Mei       1994;;;109.0
1462;1914000  Nat.steen  (excl.edelstenen);Juni      1994;;;109.0
1463;1914000  Nat.steen  (excl.edelstenen);Juli      1994;;;108.0
1464;1914000  Nat.steen  (excl.edelstenen);Augustus  1994;;;108.0
1465;1914000  Nat.steen  (excl.edelstenen);September 1994;;;108.0
1466;1914000  Nat.steen  (excl.edelstenen);Oktober   1994;;;109.0
1467;1914000  Nat.steen  (excl.edelstenen);November  1994;;;109.0
1468;1914000  Nat.steen  (excl.edelstenen);December  1994;;;109.0
1469;1914000  Nat.steen  (excl.edelstenen);1995;;;107.0
1470;1914000  Nat.steen  (excl.edelstenen);Januari   1995;;;109.0
1471;1914000  Nat.steen  (excl.edelstenen);Februari  1995;;;110.0
1472;1914000  Nat.steen  (excl.edelstenen);Maart     1995;;;109.0
1473;1914000  Nat.steen  (excl.edelstenen);April     1995;;;108.0
1474;1914000  Nat.steen  (excl.edelstenen);Mei       1995;;;106.0
1475;1914000  Nat.steen  (excl.edelstenen);Juni      1995;;;106.0
1476;1914000  Nat.steen  (excl.edelstenen);Juli      1995;;;106.0
1477;1914000  Nat.steen  (excl.edelstenen);Augustus  1995;;;107.0
1478;1914000  Nat.steen  (excl.edelstenen);September 1995;;;107.0
1479;1914000  Nat.steen  (excl.edelstenen);Oktober   1995;;;107.0
1480;1914000  Nat.steen  (excl.edelstenen);November  1995;;;107.0
1481;1914000  Nat.steen  (excl.edelstenen);December  1995;;;107.0
1482;1914000  Nat.steen  (excl.edelstenen);1996;;;108.0
1483;1914000  Nat.steen  (excl.edelstenen);Januari   1996;;;108.0
1484;1914000  Nat.steen  (excl.edelstenen);Februari  1996;;;108.0
1485;1914000  Nat.steen  (excl.edelstenen);Maart     1996;;;108.0
1486;1914000  Nat.steen  (excl.edelstenen);April     1996;;;107.0
1487;1914000  Nat.steen  (excl.edelstenen);Mei       1996;;;107.0
1488;1914000  Nat.steen  (excl.edelstenen);Juni      1996;;;108.0
1489;1914000  Nat.steen  (excl.edelstenen);Juli      1996;;;108.0
1490;1914000  Nat.steen  (excl.edelstenen);Augustus  1996;;;108.0
1491;1914000  Nat.steen  (excl.edelstenen);September 1996;;;108.0
1492;1914000  Nat.steen  (excl.edelstenen);Oktober   1996;;;108.0
1493;1914000  Nat.steen  (excl.edelstenen);November  1996;;;108.0
1494;1914000  Nat.steen  (excl.edelstenen);December  1996;;;108.0
1495;1914000  Nat.steen  (excl.edelstenen);1997;;;110.0
1496;1914000  Nat.steen  (excl.edelstenen);Januari   1997;;;108.0
1497;1914000  Nat.steen  (excl.edelstenen);Februari  1997;;;108.0
1498;1914000  Nat.steen  (excl.edelstenen);Maart     1997;;;109.0
1499;1914000  Nat.steen  (excl.edelstenen);April     1997;;;109.0
1500;1914000  Nat.steen  (excl.edelstenen);Mei       1997;;;109.0
1501;1914000  Nat.steen  (excl.edelstenen);Juni      1997;;;110.0
1502;1914000  Nat.steen  (excl.edelstenen);Juli      1997;;;110.0
1503;1914000  Nat.steen  (excl.edelstenen);Augustus  1997;;;110.0
1504;1914000  Nat.steen  (excl.edelstenen);September 1997;;;110.0
1505;1914000  Nat.steen  (excl.edelstenen);Oktober   1997;;;110.0
1506;1914000  Nat.steen  (excl.edelstenen);November  1997;;;111.0
1507;1914000  Nat.steen  (excl.edelstenen);December  1997;;;111.0
1508;1914000  Nat.steen  (excl.edelstenen);1998;;;112.0
1509;1914000  Nat.steen  (excl.edelstenen);Januari   1998;;;111.0
1510;1914000  Nat.steen  (excl.edelstenen);Februari  1998;;;111.0
1511;1914000  Nat.steen  (excl.edelstenen);Maart  1998;;;111.0
1512;1914000  Nat.steen  (excl.edelstenen);April  1998;;;111.0
1513;1914000  Nat.steen  (excl.edelstenen);Mei 1998;;;111.0
1514;1914000  Nat.steen  (excl.edelstenen);Juni 1998;;;112.0
1515;1914000  Nat.steen  (excl.edelstenen);Juli 1998;;;113.0
1516;1914000  Nat.steen  (excl.edelstenen);Augustus 1998;;;113.0
1517;1914000  Nat.steen  (excl.edelstenen);September 1998;;;113.0
1518;1914000  Nat.steen  (excl.edelstenen);Oktober 1998;;;113.0
1519;1914000  Nat.steen  (excl.edelstenen);November 1998;;;113.0
1520;1914000  Nat.steen  (excl.edelstenen);December 1998;;;113.0
1521;1990000  Delfstoffen n.e.g.;1990;;;100.0
1522;1990000  Delfstoffen n.e.g.;Januari   1990;;;99.0
1523;1990000  Delfstoffen n.e.g.;Februari  1990;;;100.0
1524;1990000  Delfstoffen n.e.g.;Maart     1990;;;101.0
1525;1990000  Delfstoffen n.e.g.;April     1990;;;100.0
1526;1990000  Delfstoffen n.e.g.;Mei       1990;;;99.0
1527;1990000  Delfstoffen n.e.g.;Juni      1990;;;101.0
1528;1990000  Delfstoffen n.e.g.;Juli      1990;;;103.0
1529;1990000  Delfstoffen n.e.g.;Augustus  1990;;;102.0
1530;1990000  Delfstoffen n.e.g.;September 1990;;;101.0
1531;1990000  Delfstoffen n.e.g.;Oktober   1990;;;98.0
