ID;RegioS;Perioden;TotaalJeugdreclasseringstrajecten_1;TotaalBegonnenTrajecten_2;TotaalBeeindigdeTrajecten_3;k_0Tot3Maanden_4;k_3Tot6Maanden_5;k_6Tot12Maanden_6;k_1Tot2Jaar_7;k_2JaarOfLanger_8;BeeindigingVolgensPlan_9;TussentijdseOpheffing_10;OvergangNaarVolwassenReclassering_11;Terugmelding_12;NaderBesluitRechter_13;OverlijdenJeugdige_14;TotaalToezEnBegelGedwongenKader_15;TotaalBegonnenTrajecten_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2JaarOfLanger_22;BeeindigingVolgensPlan_23;TussentijdseOpheffing_24;OvergangNaarVolwassenReclassering_25;Terugmelding_26;NaderBesluitRechter_27;OverlijdenJeugdige_28;TotaalToezEnBegeleidingVrijwillig_29;TotaalBegonnenTrajecten_30;TotaalBeeindigdeTrajecten_31;k_0Tot3Maanden_32;k_3Tot6Maanden_33;k_6Tot12Maanden_34;k_1Tot2Jaar_35;k_2JaarOfLanger_36;BeeindigingVolgensPlan_37;TussentijdseOpheffing_38;OvergangNaarVolwassenReclassering_39;Terugmelding_40;NaderBesluitRechter_41;OverlijdenJeugdige_42;TotaalOverig_43;TotaalBegonnenTrajecten_44;TotaalBeeindigdeTrajecten_45;k_0Tot3Maanden_46;k_3Tot6Maanden_47;k_6Tot12Maanden_48;k_1Tot2Jaar_49;k_2JaarOfLanger_50;BeeindigingVolgensPlan_51;TussentijdseOpheffing_52;OvergangNaarVolwassenReclassering_53;Terugmelding_54;NaderBesluitRechter_55;OverlijdenJeugdige_56
95;Dordrecht (GA);2015 1e kwartaal;95.0;15.0;10.0;;;;;;10.0;;;;;;75.0;10.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Breda (GA);2015 1e kwartaal;105.0;10.0;20.0;;;;10.0;;20.0;;;;;;85.0;10.0;15.0;;;;;;15.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Tilburg (GA);2015 1e kwartaal;180.0;15.0;30.0;;;10.0;;15.0;30.0;;;;;;165.0;10.0;20.0;;;;;15.0;20.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
98;'s-Hertogenbosch (GA);2015 1e kwartaal;120.0;10.0;10.0;;;;;;10.0;;;;;;115.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Eindhoven (GA);2015 1e kwartaal;130.0;15.0;20.0;;;;;10.0;20.0;;;;;;110.0;15.0;15.0;;;;;10.0;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Geleen/Sittard (GA);2015 1e kwartaal;65.0;15.0;10.0;;;;;;10.0;;;;;;55.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Heerlen (GA);2015 1e kwartaal;165.0;35.0;35.0;;;10.0;;;35.0;;;;;;125.0;20.0;15.0;;;;;;15.0;;;;;;25.0;;15.0;;;;;;15.0;;;;;;15.0;10.0;;;;;;;;;;;;
102;Maastricht (GA);2015 1e kwartaal;90.0;20.0;15.0;;;;;;15.0;;;;;;70.0;10.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Aa en Hunze;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Aalburg;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Aalsmeer;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Aalten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Achtkarspelen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Alblasserdam;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Albrandswaard;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Alkmaar;2015 1e kwartaal;55.0;10.0;10.0;;;;;;10.0;;;;;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Almelo;2015 1e kwartaal;45.0;;;;;;;;;;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Almere;2015 1e kwartaal;160.0;25.0;25.0;;;10.0;;;25.0;;;;;;135.0;20.0;10.0;;;;;;10.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
113;Alphen aan den Rijn;2015 1e kwartaal;40.0;10.0;10.0;;;;;;10.0;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Alphen-Chaam;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Ameland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Amersfoort;2015 1e kwartaal;100.0;15.0;20.0;;;;;;20.0;;;;;;75.0;;15.0;;;;;;15.0;;;;;;15.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
117;Amstelveen;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Amsterdam;2015 1e kwartaal;695.0;65.0;85.0;;15.0;20.0;15.0;30.0;80.0;;;;;;535.0;35.0;45.0;;;;10.0;30.0;45.0;;;;;;35.0;;10.0;;;;;;10.0;;;;;;125.0;25.0;30.0;;10.0;15.0;;;30.0;;;;;
119;Apeldoorn;2015 1e kwartaal;80.0;10.0;15.0;;;;;;15.0;;;;;;70.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Appingedam;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Arnhem;2015 1e kwartaal;125.0;20.0;15.0;;;;;10.0;15.0;;;;;;100.0;10.0;15.0;;;;;10.0;15.0;;;;;;20.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Assen;2015 1e kwartaal;50.0;10.0;10.0;;;;;;10.0;;;;;;45.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Asten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Baarle-Nassau;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Baarn;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;Barendrecht;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Barneveld;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Bedum;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;Beek (L.);2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Beemster;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Beesel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Bellingwedde;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Bergeijk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Bergen (L.);2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Bergen (NH.);2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Bergen op Zoom;2015 1e kwartaal;40.0;15.0;10.0;;;;;;10.0;;;;;;30.0;15.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Berkelland;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;Bernheze;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Best;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;Beuningen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Beverwijk;2015 1e kwartaal;30.0;;10.0;;;;;;10.0;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;het Bildt;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;De Bilt;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Binnenmaas;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Bladel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Blaricum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Bloemendaal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;Bodegraven-Reeuwijk;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Boekel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Ten Boer;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Borger-Odoorn;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Borne;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;Borsele;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Boxmeer;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;Boxtel;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;Breda;2015 1e kwartaal;105.0;10.0;20.0;;;;10.0;;20.0;;;;;;85.0;10.0;15.0;;;;;;15.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;Brielle;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;Bronckhorst;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;Brummen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;Brunssum;2015 1e kwartaal;30.0;;10.0;;;;;;10.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;Bunnik;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;Bunschoten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;Buren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;Bussum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;Capelle aan den IJssel;2015 1e kwartaal;70.0;10.0;10.0;;;;;;10.0;;;;;;55.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Castricum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;Coevorden;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;Cranendonck;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;Cromstrijen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;Cuijk;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;Culemborg;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;Dalfsen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;Dantumadiel;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;Delft;2015 1e kwartaal;50.0;;;;;;;;;;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;Delfzijl;2015 1e kwartaal;30.0;10.0;;;;;;;;;;;;;25.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;Deurne;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Deventer;2015 1e kwartaal;55.0;10.0;;;;;;;;;;;;;45.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Diemen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;Dinkelland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;Doesburg;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;Doetinchem;2015 1e kwartaal;35.0;10.0;10.0;;;;;;10.0;;;;;;25.0;;;;;;;;;;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
182;Dongen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;Dongeradeel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;Dordrecht;2015 1e kwartaal;65.0;10.0;10.0;;;;;;10.0;;;;;;50.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;Drechterland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Drimmelen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;Dronten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Druten;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;Duiven;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;Echt-Susteren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Edam-Volendam;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Ede;2015 1e kwartaal;65.0;10.0;10.0;;;;;;10.0;;;;;;60.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Eemnes;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Eemsmond;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Eersel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Eijsden-Margraten;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Eindhoven;2015 1e kwartaal;105.0;15.0;15.0;;;;;10.0;15.0;;;;;;90.0;10.0;10.0;;;;;10.0;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Elburg;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Emmen;2015 1e kwartaal;65.0;15.0;15.0;;;;;;15.0;;;;;;55.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Enkhuizen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;Enschede;2015 1e kwartaal;145.0;30.0;20.0;;;;;;20.0;;;;;;105.0;20.0;10.0;;;;;;10.0;;;;;;25.0;10.0;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;
202;Epe;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Ermelo;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Etten-Leur;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Ferwerderadiel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Franekeradeel;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;De Friese Meren;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Geertruidenberg;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Geldermalsen;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Geldrop-Mierlo;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Gemert-Bakel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Gennep;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Giessenlanden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Gilze en Rijen;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Goeree-Overflakkee;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Goes;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;Goirle;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Gorinchem;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;Gouda;2015 1e kwartaal;65.0;;15.0;;;;;;15.0;;;;;;60.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Grave;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;'s-Gravenhage (gemeente);2015 1e kwartaal;440.0;75.0;80.0;25.0;10.0;15.0;10.0;20.0;80.0;;;;;;375.0;50.0;45.0;;;;10.0;20.0;45.0;;;;;;40.0;15.0;20.0;10.0;;;;;20.0;;;;;;25.0;10.0;15.0;10.0;;;;;15.0;;;;;
222;Groesbeek;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Groningen (gemeente);2015 1e kwartaal;200.0;30.0;35.0;;;;;20.0;35.0;;;;;;170.0;20.0;25.0;;;;;20.0;25.0;;;;;;20.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
224;Grootegast;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Gulpen-Wittem;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Haaksbergen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Haaren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Haarlem;2015 1e kwartaal;75.0;15.0;20.0;;;;;;20.0;;;;;;60.0;10.0;15.0;;;;;;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Haarlemmerliede en Spaarnwoude;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Haarlemmermeer;2015 1e kwartaal;55.0;10.0;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
231;Halderberge;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Hardenberg;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Harderwijk;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Hardinxveld-Giessendam;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;Haren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Harlingen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Hattem;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Heemskerk;2015 1e kwartaal;30.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Heemstede;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Heerde;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;Heerenveen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Heerhugowaard;2015 1e kwartaal;35.0;;;;;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;Heerlen;2015 1e kwartaal;80.0;15.0;15.0;;;;;;15.0;;;;;;60.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
244;Heeze-Leende;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Heiloo;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Den Helder;2015 1e kwartaal;40.0;;10.0;;;;;;10.0;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Hellendoorn;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Hellevoetsluis;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;Helmond;2015 1e kwartaal;40.0;;;;;;;;;;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
