ID;Politieregio;Cijfersoort;Perioden;SlachtofferschapTotaal_1;GeweldsdelictenTotaal_2;SeksueleDelicten_3;Mishandeling_4;Bedreiging_5;VermogensdelictenTotaal_6;TotaalInbrakenEnPogingTotInbraak_7;Inbraken_8;PogingTotInbraak_9;Fietsdiefstal_10;DiefstalVanEnUitDeAuto18_11;TotaalZakkenrollerij_12;ZakkenrollerijZonderGeweld_13;ZakkenrollerijMetGeweld_14;OverigeDiefstal_15;VandalismedelictenTotaal_16;OverigeDelicten_17;TotaalInbrakenEnPogingTotInbraak_18;Inbraken_19;PogingTotInbraak_20;Fietsdiefstal_21;DelictenTotaal_22;GeweldsdelictenTotaal_23;SeksueleDelicten_24;Mishandeling_25;Bedreiging_26;VermogensdelictenTotaal_27;PogingTotInbraakTotaal_28;PogingTotInbraak_29;Inbraak_30;Fietsendiefstal_31;DiefstalVanEnUitDeAuto_32;ZakkenrollerijTotaal_33;ZakkenrollerijZonderGeweld_34;ZakkenrollerijMetGeweld_35;OverigeDiefstal_36;VandalismedelictenTotaal_37;OverigeDelicten_38;DaderBekendTotaal_39;ExPartnerFamilielid_40;Partner_41;ExPartner_42;AnderFamilielid_43;Buurtgenoot_44;IemandVanHetWerk_45;AndersInclOnbekend_46;EigenBuurt_47;EldersInWoongemeente_48;EldersInNederland_49;InBuitenland_50;Onbekend_51;Thuis_52;InAndereWoning_53;InCafeBarDiscoRestaurant_54;OpStraat_55;OpTreinstationBushalteMetrostation_56;InTramBusTreinMetro_57;InEenAuto_58;OpWerk_59;OpSchool_60;InWinkelWarenhuisWinkelcentrum_61;SportveldSporthalKleedruimte_62;ParkParkeerterreinStrand_63;Elders_64
45;Twente (PO);Betrouwbaarheidsmarge;2009;2.8;1.4;0.6;0.5;1.3;2.1;1.1;0.7;0.9;1.5;0.6;0.5;0.5;0.0;1.0;2.3;0.2;1.5;1.2;0.9;1.6;6.2;2.3;1.1;0.5;1.8;2.9;0.8;0.6;0.5;2.4;0.6;0.4;0.4;0.0;1.2;3.9;0.2;9.2;0.4;0.3;0.1;0.1;7.2;4.1;6.3;6.0;5.6;3.7;0.6;0.9;11.7;7.6;8.3;11.7;0.4;0.1;0.1;8.8;0.4;5.1;5.7;0.5;7.9
46;Twente (PO);Betrouwbaarheidsmarge;2010;2.8;1.4;0.7;0.6;1.0;2.1;0.9;0.5;0.7;1.5;0.7;0.8;0.8;0.0;1.0;1.9;0.6;1.1;0.8;0.8;1.6;4.7;1.7;0.7;0.6;1.4;2.8;0.6;0.4;0.4;1.8;0.8;0.9;0.9;;1.1;3.0;0.6;11.7;5.8;3.5;3.0;3.7;8.0;5.0;8.0;7.2;6.5;4.7;1.7;1.6;10.6;0.1;10.0;10.9;0.2;4.8;;9.3;6.7;7.9;4.6;3.1;6.3
47;Twente (PO);Betrouwbaarheidsmarge;2011;1.1;0.4;0.2;0.2;0.3;0.8;0.3;0.2;0.2;0.7;0.2;0.2;0.2;0.1;0.3;0.8;0.2;0.3;0.3;0.2;0.7;1.9;0.7;0.3;0.3;0.5;1.1;0.3;0.2;0.2;0.8;0.2;0.3;0.3;;0.4;1.2;0.3;3.1;1.2;0.3;1.0;0.7;2.0;1.1;1.9;2.2;2.1;1.1;0.5;0.3;2.8;1.0;2.2;2.5;1.0;0.6;0.4;2.1;1.4;1.3;1.4;1.1;1.6
48;Noord- en Oost-Gelderland (PO);Waarde;2008;19.6;4.0;1.6;0.8;2.2;9.5;1.5;0.4;1.2;4.5;0.4;1.0;1.0;0.0;2.4;9.1;0.6;1.1;0.9;0.3;4.6;27.7;5.2;1.7;0.6;2.9;9.8;0.6;0.4;0.2;5.5;0.4;1.1;1.1;0.0;2.2;12.6;0.7;32.0;2.9;0.0;1.6;1.2;9.2;9.7;10.2;53.1;26.7;14.9;4.9;0.5;22.2;2.0;4.4;20.4;1.7;0.0;0.0;;;4.4;10.2;1.7;10.8
49;Noord- en Oost-Gelderland (PO);Waarde;2009;19.9;4.2;1.2;0.7;2.6;7.9;1.1;0.4;0.7;3.6;0.9;0.9;0.9;0.0;2.3;11.7;0.8;1.1;0.7;0.4;3.7;32.0;5.6;1.8;0.8;3.0;9.8;0.6;0.4;0.2;4.8;1.0;0.9;0.8;0.0;2.5;16.7;0.7;24.5;2.2;0.4;1.0;0.9;9.5;1.8;11.3;58.7;25.4;14.4;1.3;0.2;23.6;5.2;16.5;25.9;1.8;0.8;0.2;6.5;2.0;7.7;4.9;4.6;5.5
50;Noord- en Oost-Gelderland (PO);Waarde;2010;19.6;4.2;1.0;0.0;3.4;9.1;1.9;1.0;0.9;3.4;1.3;1.4;1.4;0.0;2.2;9.1;0.1;1.6;0.7;0.9;3.5;27.3;5.3;1.7;0.0;3.5;9.5;0.8;0.4;0.5;3.8;1.5;1.2;1.2;0.0;2.3;12.5;0.1;24.1;2.7;0.0;2.7;0.0;6.7;0.9;13.9;54.2;24.6;16.3;2.6;2.2;20.7;1.6;7.7;30.3;6.3;2.3;1.9;8.3;8.7;8.6;3.6;0.0;4.7
51;Noord- en Oost-Gelderland (PO);Waarde;2011;20.5;4.2;1.0;1.1;2.4;8.7;1.8;1.1;0.7;2.8;0.8;1.5;1.3;0.2;2.7;10.8;0.3;1.7;0.5;1.2;2.8;31.0;7.3;2.3;0.0;3.9;8.9;0.9;0.3;0.6;3.2;0.8;1.2;1.1;0.0;2.9;14.8;0.3;26.6;7.8;0.0;6.2;1.6;6.7;1.5;10.7;52.0;23.8;19.5;2.8;1.9;30.0;2.5;28.0;11.6;0.0;1.7;0.1;12.9;8.8;2.6;1.6;0.3;9.8
52;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2008;3.6;1.8;1.4;0.6;1.1;2.9;1.4;0.5;1.3;2.1;0.5;0.7;0.7;;1.5;2.2;0.5;1.0;0.9;0.4;2.2;5.9;2.4;1.4;0.7;1.6;3.7;0.5;0.5;0.2;3.2;0.5;1.0;1.0;;1.7;3.4;0.7;12.1;4.0;;3.2;2.4;6.9;7.1;8.1;8.6;8.1;5.3;3.2;0.9;15.7;4.0;5.0;12.3;3.4;;;;;5.0;15.5;3.4;8.7
53;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2009;2.3;1.2;0.6;0.4;0.9;1.4;0.3;0.2;0.2;1.1;0.5;0.6;0.5;0.0;0.8;1.9;0.6;0.3;0.2;0.2;1.2;4.2;1.4;0.9;0.4;1.0;2.4;0.2;0.1;0.1;2.0;0.5;0.6;0.5;;0.8;2.8;0.6;7.0;1.3;0.5;0.8;0.9;4.5;1.0;5.7;5.4;5.0;3.8;0.9;0.2;8.4;5.8;9.4;9.0;1.2;0.8;0.3;2.3;1.1;6.4;4.0;4.8;3.0
54;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2010;3.0;1.6;0.8;;1.5;2.1;1.0;0.7;0.8;1.3;1.0;0.8;0.8;;1.0;2.1;0.2;1.0;0.6;0.8;1.4;5.1;2.5;1.7;;1.7;2.5;0.5;0.3;0.4;1.6;1.1;0.8;0.8;;1.2;3.3;0.2;11.6;5.2;;5.2;;6.6;1.7;9.4;7.4;6.5;5.6;2.1;2.0;11.4;3.2;6.7;13.9;7.0;4.4;3.8;7.3;8.7;7.1;4.9;;5.5
55;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2011;2.8;1.4;0.7;0.7;1.1;1.9;0.9;0.7;0.5;1.1;0.6;0.8;0.8;0.3;1.1;2.1;0.3;0.9;0.4;0.8;1.1;5.3;2.8;1.8;;1.9;2.2;0.5;0.2;0.4;1.3;0.6;0.7;0.7;;1.2;3.5;0.3;10.1;6.5;0.0;5.8;3.0;5.1;2.7;7.1;6.7;5.8;5.4;2.2;1.8;11.3;4.0;11.4;7.2;0.1;3.1;0.1;8.6;7.2;4.2;2.4;0.2;7.0
56;Gelderland-Midden (PO);Waarde;2008;25.1;4.5;1.3;1.0;3.1;12.2;2.6;1.4;1.3;5.0;2.1;1.2;1.2;0.1;4.2;13.8;1.6;2.7;1.8;1.0;5.2;43.6;8.2;2.1;1.7;4.4;15.6;1.7;1.0;0.7;5.3;2.3;2.1;2.0;0.1;4.3;19.9;1.6;29.5;1.1;0.0;1.1;0.0;15.4;2.8;7.0;70.8;15.8;11.7;1.1;0.6;28.1;1.8;4.3;32.8;5.0;0.0;0.0;;;0.8;1.1;6.8;4.2
57;Gelderland-Midden (PO);Waarde;2009;25.8;5.5;1.3;0.9;4.1;13.1;3.0;1.3;1.9;5.1;1.8;1.8;1.7;0.2;3.6;13.1;0.9;2.9;1.8;1.3;5.3;44.6;9.2;1.8;1.3;6.1;15.9;1.9;1.1;0.8;6.0;2.1;1.7;1.6;0.2;4.3;19.5;1.1;31.0;2.8;0.5;1.5;0.9;14.3;3.4;11.4;64.1;21.2;11.7;2.1;0.9;29.6;2.3;10.3;25.4;1.9;1.2;1.1;9.0;3.3;7.3;4.1;3.2;9.6
58;Gelderland-Midden (PO);Waarde;2010;23.7;4.8;1.4;1.2;3.1;12.0;3.2;1.3;1.9;4.9;1.9;1.3;1.3;0.0;2.4;11.7;0.6;3.1;1.5;1.6;5.0;40.0;9.3;2.0;2.2;5.1;13.0;1.7;0.8;0.9;5.2;1.7;1.3;1.3;0.0;3.1;17.8;0.5;31.4;3.1;0.7;2.4;0.7;7.1;5.1;16.2;56.0;22.4;19.7;1.9;0.0;25.3;1.5;5.6;29.0;5.9;0.0;1.3;11.3;6.9;7.4;4.0;2.0;9.6
59;Gelderland-Midden (PO);Waarde;2011;24.4;5.4;1.9;0.8;3.3;12.6;3.4;1.6;2.2;4.2;2.1;1.5;1.5;0.1;3.6;11.9;0.6;3.6;2.5;1.4;4.4;42.6;9.4;2.3;1.3;5.7;16.1;2.5;1.6;0.9;4.8;2.5;1.4;1.3;0.0;5.0;17.1;0.8;31.7;1.2;0.1;0.7;0.3;10.4;7.4;13.0;65.1;16.7;15.9;1.6;0.7;32.2;3.7;9.8;23.0;0.9;3.1;0.3;14.0;2.8;5.1;1.8;2.7;5.5
60;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2008;3.9;2.4;1.3;1.4;2.0;3.2;1.7;0.8;1.5;2.2;1.2;1.2;1.2;0.2;2.2;2.8;1.6;2.5;2.5;0.6;2.3;10.3;4.6;2.0;1.9;2.8;5.5;1.4;1.4;0.5;2.3;1.4;2.5;2.5;0.2;2.3;5.4;1.6;15.0;2.3;;2.3;;13.7;3.9;5.4;7.0;5.8;4.6;1.2;0.8;15.5;3.6;4.0;16.7;9.6;;;;;1.6;2.2;11.0;4.8
61;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2009;1.0;0.6;0.3;0.2;0.5;0.8;0.4;0.2;0.3;0.6;0.3;0.3;0.3;0.1;0.5;0.7;0.2;0.4;0.3;0.3;0.6;2.3;1.2;0.4;0.3;1.0;1.0;0.3;0.2;0.2;0.6;0.3;0.3;0.3;0.1;0.5;1.3;0.2;3.1;0.8;0.2;0.7;0.4;2.2;1.2;2.3;1.9;1.6;1.3;0.5;0.3;3.2;0.7;2.7;3.2;0.7;0.5;0.5;1.8;1.0;1.9;2.2;1.4;2.3
62;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2010;3.1;1.6;0.9;0.8;1.3;2.3;1.3;0.9;0.9;1.6;1.0;0.8;0.8;;1.1;2.3;0.5;1.5;0.8;1.3;1.6;6.7;4.0;1.6;1.6;2.6;3.0;0.8;0.5;0.7;1.7;1.0;0.9;0.9;;1.7;3.9;0.5;10.2;3.6;1.4;3.3;1.4;5.7;4.9;8.1;6.4;5.3;5.3;1.6;;10.9;2.9;6.4;12.0;5.7;;2.5;7.8;6.6;6.4;5.4;3.9;6.5
63;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2011;2.2;1.3;0.8;0.5;1.0;1.7;1.0;0.7;0.7;1.0;0.7;0.5;0.5;0.0;0.9;1.6;0.3;1.1;1.0;0.5;1.0;5.2;3.1;1.0;1.1;2.2;2.3;0.7;0.6;0.3;1.0;0.7;0.5;0.5;;1.4;2.5;0.4;7.3;0.5;0.1;0.4;0.2;3.5;5.1;5.8;4.4;3.2;3.9;0.9;0.6;7.4;3.0;5.9;6.3;0.5;4.2;0.2;6.7;2.9;2.6;1.8;2.2;3.0
64;Gelderland-Zuid (PO);Waarde;2008;27.6;6.4;1.4;1.9;5.1;17.8;3.0;0.9;2.2;7.3;3.6;4.1;4.1;0.6;4.7;14.2;1.0;2.7;1.6;1.2;7.6;59.5;10.9;1.1;1.9;7.9;25.3;1.8;1.1;0.7;9.6;3.8;4.4;3.8;0.6;5.8;23.4;1.7;31.9;0.4;0.0;0.4;0.0;16.1;10.7;6.4;57.8;25.0;11.5;4.6;1.1;19.3;0.0;9.9;31.0;4.5;0.6;0.0;;;6.8;1.9;1.7;6.8
65;Gelderland-Zuid (PO);Waarde;2009;25.8;5.2;1.3;1.0;3.6;12.8;2.9;1.2;1.9;5.0;2.1;1.9;1.7;0.3;3.0;12.5;0.6;3.0;1.9;1.3;5.2;41.3;7.5;1.7;1.1;4.7;15.6;1.9;1.1;0.7;5.7;2.5;2.0;1.7;0.3;3.7;18.2;0.7;30.5;7.8;0.3;1.1;6.4;8.9;4.2;10.0;57.9;23.1;15.4;2.4;1.2;26.9;3.6;9.2;26.5;1.3;0.9;0.7;14.5;3.3;6.4;3.1;3.0;6.6
66;Gelderland-Zuid (PO);Waarde;2010;24.8;5.8;1.1;1.0;4.2;12.7;3.9;1.9;2.0;4.2;1.4;1.2;1.2;0.0;3.6;11.9;1.1;3.6;1.7;2.0;4.3;40.7;9.3;1.6;1.3;6.4;14.7;2.7;0.9;1.8;5.1;1.8;1.3;1.3;0.0;3.8;16.7;1.3;39.0;4.3;0.0;2.2;2.1;11.7;6.6;17.4;58.5;22.6;16.4;1.2;1.2;28.7;3.0;13.2;21.1;1.1;1.1;1.8;13.3;1.4;6.8;4.8;3.6;7.3
67;Gelderland-Zuid (PO);Waarde;2011;24.4;5.9;1.8;0.7;4.0;14.1;3.6;2.1;1.9;5.5;1.7;2.1;1.7;0.4;3.4;10.0;1.0;3.5;1.8;2.1;5.7;41.6;9.2;2.4;1.1;5.7;16.8;2.5;1.2;1.4;6.5;2.1;1.6;1.4;0.0;4.1;15.7;1.5;32.9;1.4;0.1;0.6;0.7;11.6;6.7;13.7;58.7;22.1;16.1;2.8;0.3;29.3;4.5;12.9;18.2;3.6;1.6;0.7;18.4;3.0;2.9;2.5;1.7;8.9
68;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2008;4.1;2.7;1.3;1.7;2.4;3.8;1.7;0.7;1.6;2.6;2.3;2.4;2.4;1.2;2.3;3.3;1.2;1.6;1.2;1.1;2.7;21.1;6.3;0.8;1.7;4.7;10.9;1.0;0.8;0.7;3.9;2.4;4.0;3.0;1.2;4.1;7.2;2.4;12.8;0.8;;0.8;;9.6;10.1;4.3;7.6;7.0;4.2;3.3;1.1;10.9;;8.3;14.2;7.4;1.2;;;;6.9;2.5;2.0;4.7
69;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2009;2.6;1.4;0.6;0.6;1.2;1.9;1.0;0.6;0.8;1.1;0.8;0.7;0.7;0.3;0.9;1.9;0.3;1.2;0.9;0.8;1.1;5.2;2.5;1.0;0.7;1.8;2.5;0.7;0.5;0.4;1.3;1.0;0.9;0.8;0.3;1.2;3.2;0.4;8.0;5.3;0.4;1.7;5.1;4.3;3.5;5.3;4.7;3.8;3.8;1.3;1.1;8.1;4.3;5.1;7.8;2.0;1.3;0.9;6.9;3.7;4.2;2.6;3.2;3.5
70;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2010;3.2;1.8;0.7;0.7;1.6;2.5;1.4;1.0;1.0;1.5;0.9;0.8;0.8;;1.4;2.4;0.8;1.6;1.0;1.3;1.6;7.3;3.7;1.3;1.0;2.7;3.6;1.6;0.5;1.5;2.1;1.2;1.0;1.0;;1.6;3.9;1.0;10.0;4.1;;3.0;2.9;6.3;5.3;7.8;6.3;5.4;4.7;1.4;1.4;10.4;4.1;7.9;9.4;2.2;2.3;3.5;8.0;2.7;5.4;4.6;4.1;5.4
71;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2011;2.3;1.4;0.7;0.4;1.2;1.9;1.0;0.8;0.6;1.2;0.7;0.8;0.7;0.4;0.9;1.5;0.5;0.9;0.5;0.7;1.2;4.9;2.6;1.2;0.8;1.8;2.4;0.6;0.3;0.5;1.6;0.7;0.7;0.6;;1.2;2.5;0.8;7.6;0.6;0.2;0.4;0.4;4.5;4.9;5.9;4.5;3.7;4.0;1.6;0.1;7.2;4.1;6.1;5.4;3.3;2.2;0.5;7.3;3.4;1.6;1.6;0.8;4.7
72;Utrecht (PO);Waarde;2008;29.5;5.7;1.7;1.2;4.0;15.5;3.4;1.8;1.9;6.6;2.7;2.3;2.2;0.1;3.4;15.9;1.0;3.3;1.8;1.7;6.9;52.3;9.6;2.4;1.6;5.7;19.9;2.3;1.2;1.0;7.7;3.8;2.2;2.0;0.2;4.2;22.7;1.2;28.6;0.7;0.1;0.1;0.5;1.2;0.4;1.6;66.4;20.2;11.2;2.1;0.1;24.8;2.5;10.1;24.6;1.2;2.4;1.7;;;7.6;3.9;2.0;8.1
73;Utrecht (PO);Waarde;2009;28.0;5.5;1.4;0.9;3.9;14.0;3.2;1.6;1.9;5.2;3.0;1.7;1.5;0.2;3.5;15.2;1.2;2.8;1.6;1.4;5.4;50.0;9.1;2.0;1.3;5.7;18.0;1.9;1.1;0.8;6.8;3.8;1.6;1.3;0.3;4.0;23.0;1.4;26.6;3.3;0.2;1.4;1.8;13.4;4.3;5.5;68.6;17.7;11.0;2.2;0.5;25.8;2.7;10.8;30.8;3.0;2.0;1.5;7.4;3.2;6.7;1.9;3.7;6.4
74;Utrecht (PO);Waarde;2010;24.6;5.0;2.0;0.8;2.9;12.2;3.2;0.9;2.4;4.4;2.1;1.8;1.8;0.0;2.7;12.1;1.5;2.8;2.2;0.7;4.5;37.4;8.1;3.0;0.9;4.2;12.9;1.8;1.3;0.5;4.4;2.5;1.5;1.5;0.0;2.8;16.5;2.0;23.2;7.2;0.0;5.0;2.2;5.4;5.4;5.1;64.0;18.1;15.4;1.7;0.9;22.7;2.9;22.8;19.2;3.2;1.1;0.0;12.8;1.0;9.3;3.7;1.2;12.9
75;Utrecht (PO);Waarde;2011;25.9;5.2;1.4;0.8;3.7;13.6;3.4;1.5;2.4;5.1;2.4;1.8;1.7;0.2;3.2;13.0;1.2;3.7;2.6;1.6;5.3;45.1;8.4;2.1;1.0;5.3;17.4;2.8;1.8;1.0;6.3;3.1;1.8;1.6;0.0;3.6;19.3;1.8;27.3;5.2;1.1;2.3;2.6;12.7;3.4;6.9;68.5;18.5;10.6;2.2;0.2;28.0;2.2;9.5;31.2;2.6;2.0;1.7;8.4;2.1;7.0;3.2;2.1;7.6
76;Utrecht (PO);Betrouwbaarheidsmarge;2008;1.3;0.7;0.4;0.3;0.6;1.1;0.5;0.4;0.4;0.7;0.5;0.4;0.4;0.1;0.5;1.0;0.3;0.6;0.5;0.5;0.8;3.3;1.4;0.7;0.4;0.9;1.7;0.5;0.4;0.3;0.9;0.8;0.5;0.5;0.2;0.7;1.7;0.4;3.4;0.8;0.2;0.2;0.7;0.9;0.3;1.1;2.0;1.7;1.3;0.7;0.1;3.5;1.5;2.7;3.5;0.7;1.2;0.9;;;2.5;1.4;1.1;2.3
77;Utrecht (PO);Betrouwbaarheidsmarge;2009;1.4;0.7;0.3;0.3;0.6;1.1;0.5;0.4;0.4;0.7;0.5;0.4;0.4;0.2;0.6;1.1;0.3;0.5;0.4;0.4;0.8;3.6;1.5;0.6;0.6;0.9;1.8;0.4;0.3;0.2;1.1;0.8;0.5;0.4;0.2;0.7;2.0;0.5;3.6;1.6;0.2;0.9;1.3;2.9;1.6;1.5;2.2;1.9;1.5;0.7;0.4;4.1;1.3;3.3;4.3;1.8;1.1;0.9;2.2;1.8;2.2;1.0;1.8;2.0
78;Utrecht (PO);Betrouwbaarheidsmarge;2010;3.2;1.7;1.1;0.7;1.2;2.5;1.4;0.7;1.2;1.6;1.1;1.0;1.0;;1.2;2.4;0.9;1.3;1.2;0.6;1.7;6.0;3.0;1.8;0.9;1.9;3.0;0.9;0.8;0.4;1.6;1.4;0.9;0.9;;1.3;3.7;1.4;8.7;5.6;;4.8;3.0;4.3;4.7;4.5;6.1;4.9;4.6;1.8;1.2;9.7;4.1;10.7;9.1;4.6;2.2;;8.0;2.1;6.8;4.3;2.3;7.6
79;Utrecht (PO);Betrouwbaarheidsmarge;2011;1.4;0.7;0.4;0.3;0.6;1.1;0.5;0.4;0.5;0.7;0.5;0.4;0.4;0.2;0.6;1.0;0.3;0.7;0.6;0.4;0.7;3.2;1.3;0.7;0.3;0.9;1.7;0.5;0.4;0.3;0.9;0.5;0.5;0.4;;0.6;1.7;0.6;3.8;2.4;0.6;1.8;1.8;2.7;1.6;1.9;2.4;2.0;1.6;0.8;0.2;4.5;1.4;2.9;4.4;1.4;1.7;1.2;2.4;1.2;2.6;1.9;1.1;2.4
80;Noord-Holland-Noord (PO);Waarde;2008;24.1;4.9;1.7;1.0;2.8;13.0;1.6;0.7;1.1;6.3;1.0;2.5;2.5;0.0;3.7;10.2;0.5;1.8;1.3;0.9;6.4;37.5;7.2;1.8;1.4;4.0;17.0;1.2;0.7;0.5;8.0;1.3;2.0;2.0;0.0;4.6;13.3;0.5;26.1;5.3;2.3;0.0;3.0;9.4;2.4;10.0;58.7;23.3;12.6;3.5;1.9;24.0;0.0;8.4;19.2;0.9;1.4;1.3;;;4.8;10.9;1.1;9.6
81;Noord-Holland-Noord (PO);Waarde;2009;28.7;6.6;1.7;1.6;4.5;14.6;2.6;1.4;1.4;6.2;1.9;1.8;1.7;0.2;5.0;14.4;1.6;2.4;1.2;1.3;6.3;53.4;11.3;2.4;2.2;6.7;19.5;1.5;0.7;0.7;7.5;2.1;1.7;1.5;0.0;6.8;22.5;2.0;31.7;4.9;0.9;3.0;1.1;13.0;2.8;11.9;62.3;21.8;12.9;1.9;1.1;29.1;4.4;12.9;25.5;3.0;0.3;2.2;8.8;3.0;5.0;2.9;2.3;9.6
82;Noord-Holland-Noord (PO);Waarde;2010;24.1;3.9;1.2;0.7;2.2;11.7;1.9;1.2;1.0;4.8;1.8;1.4;1.2;0.2;3.8;13.4;0.9;2.3;0.9;1.6;5.0;42.3;5.5;1.7;0.8;3.0;16.2;1.8;0.8;1.1;5.8;2.3;1.1;1.0;0.2;5.3;20.6;1.1;28.3;12.2;2.3;8.4;1.5;5.8;5.5;6.0;65.0;16.9;15.2;1.5;1.5;44.4;1.3;11.9;13.3;7.0;1.5;1.6;8.1;1.3;6.9;1.3;1.3;12.2
83;Noord-Holland-Noord (PO);Waarde;2011;25.1;5.1;1.5;0.9;3.6;12.7;3.3;1.7;2.0;4.2;1.2;1.7;1.6;0.2;4.2;11.8;0.8;3.2;1.9;1.7;4.4;42.1;9.1;2.5;1.3;5.3;16.0;2.3;1.3;1.0;4.9;1.5;2.0;1.7;0.3;5.3;17.0;1.2;34.0;5.0;2.0;1.9;1.1;11.9;5.8;12.0;64.9;20.9;12.0;1.9;0.4;32.4;1.8;14.7;19.9;3.0;0.5;1.6;13.2;1.2;6.0;1.8;2.4;7.7
84;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2008;3.5;1.6;1.0;0.8;1.2;2.8;1.0;0.7;0.8;2.2;1.0;1.5;1.5;;1.4;2.4;0.5;1.4;1.2;1.1;2.2;7.1;2.9;1.1;1.2;1.9;4.7;1.1;0.6;0.6;3.1;1.2;1.4;1.4;;2.3;3.8;0.5;9.7;5.3;4.5;;2.9;6.1;3.4;6.0;7.2;6.2;4.7;2.6;1.9;9.7;;6.6;11.0;1.7;2.7;2.6;;;5.0;7.3;2.1;6.7
85;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2009;1.8;1.0;0.5;0.5;0.9;1.4;0.6;0.5;0.4;1.1;0.6;0.5;0.5;0.1;0.9;1.4;0.5;0.6;0.3;0.5;1.1;4.5;2.1;0.7;0.7;1.5;2.6;0.4;0.2;0.3;1.5;0.7;0.5;0.5;;1.4;2.5;0.6;4.5;1.9;0.5;1.7;0.7;3.1;1.2;3.1;3.0;2.7;1.8;0.6;0.9;4.7;2.7;3.7;4.8;2.1;0.2;1.7;3.0;1.7;2.3;2.0;1.0;2.9
86;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2010;3.1;1.4;0.8;0.6;1.0;2.4;1.0;0.8;0.7;1.6;1.0;0.9;0.8;0.3;1.4;2.5;0.7;1.5;0.7;1.3;1.6;7.3;2.3;1.4;0.8;1.6;3.9;1.4;0.9;1.0;2.0;1.5;0.8;0.7;0.3;2.3;4.6;1.0;10.3;7.7;3.2;6.6;2.9;5.0;5.3;5.2;6.0;4.7;4.5;1.7;1.4;12.6;2.5;8.5;8.7;6.8;2.8;3.2;6.9;2.6;6.0;2.6;2.5;8.1
87;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2011;1.3;0.7;0.4;0.2;0.6;1.1;0.5;0.4;0.4;0.7;0.3;0.5;0.4;0.2;0.6;0.9;0.2;0.5;0.4;0.4;0.7;3.5;1.6;0.8;0.4;1.0;1.9;0.5;0.3;0.3;0.9;0.3;0.6;0.5;0.3;0.8;1.5;0.5;4.1;1.8;1.3;1.2;0.6;2.7;2.4;2.5;2.5;2.2;1.7;0.6;0.1;4.4;0.8;3.6;3.5;1.7;0.5;1.0;3.4;0.7;2.2;0.8;1.6;2.6
88;Zaanstreek-Waterland (PO);Waarde;2008;26.1;4.3;0.6;1.3;3.3;12.5;1.5;0.3;1.4;5.8;1.1;1.4;1.3;0.1;4.4;14.0;1.4;1.6;1.5;0.3;6.1;44.4;7.7;1.2;1.6;4.9;14.7;1.0;0.9;0.2;6.6;1.2;1.1;1.0;0.1;4.8;22.0;1.9;33.3;3.4;0.8;2.5;0.0;12.0;6.1;11.8;60.3;21.2;14.2;2.1;2.3;22.8;3.1;9.3;16.0;1.9;0.4;1.4;;;6.4;4.2;0.5;13.4
89;Zaanstreek-Waterland (PO);Waarde;2009;28.1;6.6;1.3;1.0;5.1;12.3;2.2;1.0;1.5;3.1;1.4;2.8;2.2;0.9;4.1;16.2;1.1;2.0;1.3;0.9;3.2;48.3;11.0;2.1;1.4;7.5;15.3;1.2;0.7;0.5;3.9;1.9;3.0;2.1;0.9;5.5;22.1;1.2;36.9;3.7;1.3;2.4;0.0;15.9;3.2;15.1;61.9;19.8;16.5;0.8;1.0;24.6;4.6;14.5;22.5;0.0;1.1;1.3;10.2;5.4;5.1;8.3;1.2;11.4
90;Zaanstreek-Waterland (PO);Waarde;2010;25.5;5.3;1.9;1.0;3.4;12.0;1.8;1.1;0.9;5.1;1.2;2.3;2.2;0.3;3.3;13.4;0.5;1.8;0.8;1.1;5.3;43.0;9.3;2.9;1.4;5.0;14.7;1.2;0.5;0.7;6.2;1.2;2.7;2.5;0.3;3.4;19.0;0.6;33.1;6.6;0.8;2.1;3.7;13.8;4.2;12.0;63.6;18.8;15.7;1.6;0.2;27.6;3.5;15.0;28.9;1.4;3.1;0.0;6.4;1.3;5.0;3.7;2.4;6.9
