ID;EnergyCommodities;Sectors;Periods;TotalPrimaryEnergySupply_1;IndigenousProduction_2;ReceiptsOfEnergy_3;DeliveriesOfEnergy_4;StockChange_5;StatisticalDifferences_6;TotalEnergyConsumption_7;TotalNetEnergyTransformation_8;NetElectricityCHPTransformation_9;NetOtherTransformation_10;EnergyTransformationInput_11;ElectricityAndCHPTransformationInput_12;OtherTransformationInput_13;EnergyTransformationOutput_14;ElectricityCHPTransformationOutput_15;OtherTransformationOutput_16;OwnUse_17;DistributionLosses_18;FinalEnergyConsumption_19;NonEnergyUse_20
2699;Total energy commodities;E Water supply and waste management;2003;52.0;67.7;15.2;31.0;;;52.0;37.0;34.5;2.5;60.5;49.8;10.7;23.5;15.4;8.2;1.8;;13.2;
2700;Total energy commodities;E Water supply and waste management;2004;57.2;75.4;14.9;33.1;0.0;;57.2;39.4;36.5;2.9;62.5;51.5;11.0;23.0;15.0;8.0;1.8;;15.9;
2701;Total energy commodities;E Water supply and waste management;2005;57.7;75.4;13.0;30.7;0.0;;57.7;40.3;37.9;2.4;63.6;53.9;9.8;23.4;16.0;7.4;1.9;;15.4;
2702;Total energy commodities;E Water supply and waste management;2006;56.4;74.2;13.8;31.6;;;56.4;38.2;36.3;1.9;62.5;52.9;9.6;24.3;16.5;7.7;2.0;;16.2;
2703;Total energy commodities;E Water supply and waste management;2007;59.3;77.4;14.3;32.4;;;59.3;40.4;38.4;2.0;65.0;55.6;9.4;24.6;17.2;7.4;2.1;;16.9;
2704;Total energy commodities;E Water supply and waste management;2008;67.2;85.0;15.1;33.0;;;67.2;47.7;45.4;2.3;74.2;63.9;10.3;26.5;18.5;7.9;2.4;;17.1;
2705;Total energy commodities;E Water supply and waste management;2009;67.4;86.5;15.2;34.3;;;67.4;47.6;45.2;2.4;76.4;65.2;11.2;28.9;20.0;8.9;2.5;;17.3;
2706;Total energy commodities;E Water supply and waste management;2010;65.9;86.9;14.5;35.5;;;65.9;47.7;45.9;1.8;77.0;66.6;10.4;29.3;20.7;8.6;2.4;;15.7;
2707;Total energy commodities;E Water supply and waste management;2011;65.7;88.6;17.3;40.3;;;65.7;47.5;46.4;1.1;82.1;72.9;9.3;34.6;26.5;8.2;2.7;;15.5;
2708;Total energy commodities;E Water supply and waste management;2012;68.8;87.5;24.4;43.0;;;68.8;47.7;47.7;;84.3;83.9;0.4;36.6;36.2;0.4;3.1;;18.0;
2709;Total energy commodities;E Water supply and waste management;2013;69.7;84.8;31.3;46.4;;;69.7;48.0;48.0;;86.1;85.6;0.6;38.2;37.6;0.6;2.9;;18.8;
2710;Total energy commodities;E Water supply and waste management;2014;67.3;85.1;30.3;48.1;;;67.3;47.7;47.7;;87.0;86.2;0.8;39.3;38.5;0.8;3.1;;16.5;
2711;Total energy commodities;E Water supply and waste management;2015;62.9;94.8;29.6;61.5;0.0;;62.9;45.2;45.2;;87.9;87.0;0.9;42.7;41.8;0.9;2.7;;15.1;
2712;Total energy commodities;E Water supply and waste management;2016;67.6;95.6;33.0;61.1;0.1;;67.6;49.6;49.6;;91.4;90.4;1.0;41.8;40.8;1.0;2.8;;15.2;
2713;Total energy commodities;E Water supply and waste management;2017;66.5;97.2;32.3;62.7;-0.2;;66.5;48.1;48.1;;90.7;89.9;0.9;42.6;41.7;0.9;2.9;;15.5;
2714;Total energy commodities;E Water supply and waste management;2018;69.1;95.1;30.1;56.3;0.2;;69.1;51.0;51.0;;88.5;87.6;0.9;37.5;36.6;0.9;3.2;;14.9;
2715;Total energy commodities;E Water supply and waste management;2019;68.2;92.7;28.2;52.4;-0.2;;68.2;49.6;49.6;;87.7;86.7;1.0;38.1;37.1;1.0;3.2;;15.4;
2716;Total energy commodities;E Water supply and waste management;2020 ;68.4;99.3;23.3;54.4;0.2;;68.4;50.0;50.0;;88.4;87.1;1.3;38.4;37.1;1.3;3.0;;15.4;
2717;Total energy commodities;E Water supply and waste management;2021;70.7;103.9;24.0;57.2;;;70.7;52.5;52.5;;94.7;93.1;1.6;42.2;40.6;1.6;3.2;;15.0;
2718;Total energy commodities;E Water supply and waste management;2022;71.9;100.9;23.8;53.0;0.1;;71.9;54.1;54.1;;94.6;93.7;1.0;40.5;39.6;1.0;3.5;;14.3;
2719;Total energy commodities;E Water supply and waste management;2023;65.5;93.9;23.0;51.2;-0.1;;65.5;48.4;48.4;;86.2;85.2;1.0;37.8;36.8;1.0;3.0;;14.1;
2720;Total energy commodities;36 Water collection and distribution;1990;;;;;;;;;;;;;;;;;;;;
2721;Total energy commodities;36 Water collection and distribution;1991;;;;;;;;;;;;;;;;;;;;
2722;Total energy commodities;36 Water collection and distribution;1992;;;;;;;;;;;;;;;;;;;;
2723;Total energy commodities;36 Water collection and distribution;1993;;;;;;;;;;;;;;;;;;;;
2724;Total energy commodities;36 Water collection and distribution;1994;;;;;;;;;;;;;;;;;;;;
2725;Total energy commodities;36 Water collection and distribution;1995;;;;;;;;;;;;;;;;;;;;
2726;Total energy commodities;36 Water collection and distribution;1996;;;;;;;;;;;;;;;;;;;;
2727;Total energy commodities;36 Water collection and distribution;1997;;;;;;;;;;;;;;;;;;;;
2728;Total energy commodities;36 Water collection and distribution;1998;;;;;;;;;;;;;;;;;;;;
2729;Total energy commodities;36 Water collection and distribution;1999;;;;;;;;;;;;;;;;;;;;
2730;Total energy commodities;36 Water collection and distribution;2000;;;;;;;;;;;;;;;;;;;;
2731;Total energy commodities;36 Water collection and distribution;2001;;;;;;;;;;;;;;;;;;;;
2732;Total energy commodities;36 Water collection and distribution;2002;;;;;;;;;;;;;;;;;;;;
2733;Total energy commodities;36 Water collection and distribution;2003;;;;;;;;;;;;;;;;;;;;
2734;Total energy commodities;36 Water collection and distribution;2004;;;;;;;;;;;;;;;;;;;;
2735;Total energy commodities;36 Water collection and distribution;2005;;;;;;;;;;;;;;;;;;;;
2736;Total energy commodities;36 Water collection and distribution;2006;;;;;;;;;;;;;;;;;;;;
2737;Total energy commodities;36 Water collection and distribution;2007;;;;;;;;;;;;;;;;;;;;
2738;Total energy commodities;36 Water collection and distribution;2008;;;;;;;;;;;;;;;;;;;;
2739;Total energy commodities;36 Water collection and distribution;2009;;;;;;;;;;;;;;;;;;;;
2740;Total energy commodities;36 Water collection and distribution;2010;;;;;;;;;;;;;;;;;;;;
2741;Total energy commodities;36 Water collection and distribution;2011;2.4;;2.4;;;;2.4;;;;;;;;;;;;2.4;
2742;Total energy commodities;36 Water collection and distribution;2012;2.4;;2.4;;;;2.4;;;;;;;;;;;;2.4;
2743;Total energy commodities;36 Water collection and distribution;2013;2.6;;2.6;;;;2.6;;;;;;;;;;;;2.6;
2744;Total energy commodities;36 Water collection and distribution;2014;2.6;;2.6;;;;2.6;;;;;;;;;;;;2.6;
2745;Total energy commodities;36 Water collection and distribution;2015;2.5;;2.5;;;;2.5;;;;;;;;;;;;2.5;
2746;Total energy commodities;36 Water collection and distribution;2016;2.5;;2.5;;;;2.5;;;;;;;;;;;;2.5;
2747;Total energy commodities;36 Water collection and distribution;2017;2.7;;2.7;;;;2.7;;;;;;;;;;;;2.7;
2748;Total energy commodities;36 Water collection and distribution;2018;2.6;;2.6;;;;2.6;;;;0.0;0.0;;0.0;0.0;;;;2.6;
2749;Total energy commodities;36 Water collection and distribution;2019;2.7;;2.7;;;;2.7;;;;0.1;0.1;;0.1;0.1;;;;2.7;
2750;Total energy commodities;36 Water collection and distribution;2020 ;2.6;;2.6;;;;2.6;;;;0.0;0.0;;0.0;0.0;;;;2.6;
2751;Total energy commodities;36 Water collection and distribution;2021;2.5;;2.5;;;;2.5;;;;0.1;0.1;;0.1;0.1;;;;2.5;
2752;Total energy commodities;36 Water collection and distribution;2022;2.6;;2.5;;;;2.6;;;;0.1;0.1;;0.1;0.1;;;;2.6;
2753;Total energy commodities;36 Water collection and distribution;2023;2.6;;2.6;;;;2.6;;;;0.1;0.1;;0.1;0.1;;;;2.6;
2754;Total energy commodities;37 Sewerage ;1990;;;;;;;;;;;;;;;;;;;;
2755;Total energy commodities;37 Sewerage ;1991;;;;;;;;;;;;;;;;;;;;
2756;Total energy commodities;37 Sewerage ;1992;;;;;;;;;;;;;;;;;;;;
2757;Total energy commodities;37 Sewerage ;1993;;;;;;;;;;;;;;;;;;;;
2758;Total energy commodities;37 Sewerage ;1994;;;;;;;;;;;;;;;;;;;;
2759;Total energy commodities;37 Sewerage ;1995;;;;;;;;;;;;;;;;;;;;
2760;Total energy commodities;37 Sewerage ;1996;;;;;;;;;;;;;;;;;;;;
2761;Total energy commodities;37 Sewerage ;1997;;;;;;;;;;;;;;;;;;;;
2762;Total energy commodities;37 Sewerage ;1998;;;;;;;;;;;;;;;;;;;;
2763;Total energy commodities;37 Sewerage ;1999;;;;;;;;;;;;;;;;;;;;
2764;Total energy commodities;37 Sewerage ;2000;;;;;;;;;;;;;;;;;;;;
2765;Total energy commodities;37 Sewerage ;2001;;;;;;;;;;;;;;;;;;;;
2766;Total energy commodities;37 Sewerage ;2002;;;;;;;;;;;;;;;;;;;;
2767;Total energy commodities;37 Sewerage ;2003;;;;;;;;;;;;;;;;;;;;
2768;Total energy commodities;37 Sewerage ;2004;;;;;;;;;;;;;;;;;;;;
2769;Total energy commodities;37 Sewerage ;2005;;;;;;;;;;;;;;;;;;;;
2770;Total energy commodities;37 Sewerage ;2006;;;;;;;;;;;;;;;;;;;;
2771;Total energy commodities;37 Sewerage ;2007;;;;;;;;;;;;;;;;;;;;
2772;Total energy commodities;37 Sewerage ;2008;;;;;;;;;;;;;;;;;;;;
2773;Total energy commodities;37 Sewerage ;2009;;;;;;;;;;;;;;;;;;;;
2774;Total energy commodities;37 Sewerage ;2010;;;;;;;;;;;;;;;;;;;;
2775;Total energy commodities;37 Sewerage ;2011;5.3;;3.5;;;;5.3;0.5;0.5;;2.3;2.3;;1.7;1.7;;0.0;;4.8;
2776;Total energy commodities;37 Sewerage ;2012;5.3;;3.4;;;;5.3;0.6;0.6;;2.4;2.4;;1.8;1.8;;0.0;;4.6;
2777;Total energy commodities;37 Sewerage ;2013;5.3;;3.3;;;;5.3;0.8;0.8;;2.7;2.7;;1.9;1.9;;0.0;;4.5;
2778;Total energy commodities;37 Sewerage ;2014;5.7;;3.5;;;;5.7;0.8;0.8;;2.8;2.8;;2.0;2.0;;0.0;;4.9;
2779;Total energy commodities;37 Sewerage ;2015;5.7;;3.5;;;;5.7;0.8;0.8;;2.8;2.8;;2.0;2.0;;0.0;;4.9;
2780;Total energy commodities;37 Sewerage ;2016;5.8;;3.6;;;;5.8;0.8;0.8;;2.8;2.8;;1.9;1.9;;0.0;;4.9;
2781;Total energy commodities;37 Sewerage ;2017;5.8;;3.6;;;;5.8;0.9;0.9;;2.7;2.7;;1.9;1.9;;0.0;;4.9;
2782;Total energy commodities;37 Sewerage ;2018;5.6;;3.4;;;;5.6;0.8;0.8;;2.7;2.7;0.1;1.9;1.9;0.1;0.0;;4.7;
2783;Total energy commodities;37 Sewerage ;2019;5.7;;3.4;;;;5.7;0.8;0.8;;2.8;2.7;0.1;2.0;1.9;0.1;0.0;;4.9;
2784;Total energy commodities;37 Sewerage ;2020 ;5.4;;3.1;;;;5.4;0.7;0.7;;2.9;2.6;0.3;2.1;1.9;0.3;0.0;;4.6;
2785;Total energy commodities;37 Sewerage ;2021;5.3;;3.0;;;;5.3;0.8;0.8;;3.1;2.6;0.6;2.3;1.7;0.6;0.0;;4.5;
2786;Total energy commodities;37 Sewerage ;2022;4.8;;3.0;;;;4.8;0.8;0.8;;3.1;2.5;0.6;2.3;1.7;0.6;0.0;;4.0;
2787;Total energy commodities;37 Sewerage ;2023;5.0;;2.9;;;;5.0;0.8;0.8;;3.0;2.3;0.7;2.2;1.6;0.7;0.0;;4.2;
2788;Total energy commodities;38 Waste collection and treatment;1990;;;;;;;;;;;;;;;;;;;;
2789;Total energy commodities;38 Waste collection and treatment;1991;;;;;;;;;;;;;;;;;;;;
2790;Total energy commodities;38 Waste collection and treatment;1992;;;;;;;;;;;;;;;;;;;;
2791;Total energy commodities;38 Waste collection and treatment;1993;;;;;;;;;;;;;;;;;;;;
2792;Total energy commodities;38 Waste collection and treatment;1994;;;;;;;;;;;;;;;;;;;;
2793;Total energy commodities;38 Waste collection and treatment;1995;;;;;;;;;;;;;;;;;;;;
2794;Total energy commodities;38 Waste collection and treatment;1996;;;;;;;;;;;;;;;;;;;;
2795;Total energy commodities;38 Waste collection and treatment;1997;;;;;;;;;;;;;;;;;;;;
2796;Total energy commodities;38 Waste collection and treatment;1998;;;;;;;;;;;;;;;;;;;;
2797;Total energy commodities;38 Waste collection and treatment;1999;;;;;;;;;;;;;;;;;;;;
2798;Total energy commodities;38 Waste collection and treatment;2000;;;;;;;;;;;;;;;;;;;;
2799;Total energy commodities;38 Waste collection and treatment;2001;;;;;;;;;;;;;;;;;;;;
2800;Total energy commodities;38 Waste collection and treatment;2002;;;;;;;;;;;;;;;;;;;;
2801;Total energy commodities;38 Waste collection and treatment;2003;;;;;;;;;;;;;;;;;;;;
2802;Total energy commodities;38 Waste collection and treatment;2004;;;;;;;;;;;;;;;;;;;;
2803;Total energy commodities;38 Waste collection and treatment;2005;;;;;;;;;;;;;;;;;;;;
2804;Total energy commodities;38 Waste collection and treatment;2006;;;;;;;;;;;;;;;;;;;;
2805;Total energy commodities;38 Waste collection and treatment;2007;;;;;;;;;;;;;;;;;;;;
2806;Total energy commodities;38 Waste collection and treatment;2008;;;;;;;;;;;;;;;;;;;;
2807;Total energy commodities;38 Waste collection and treatment;2009;;;;;;;;;;;;;;;;;;;;
2808;Total energy commodities;38 Waste collection and treatment;2010;;;;;;;;;;;;;;;;;;;;
2809;Total energy commodities;38 Waste collection and treatment;2011;57.3;;11.3;;;;57.3;46.6;45.4;1.1;78.9;70.0;9.0;32.4;24.5;7.8;2.6;;8.2;
2810;Total energy commodities;38 Waste collection and treatment;2012;60.6;;18.6;;;;60.6;46.7;46.7;;81.0;80.9;0.2;34.4;34.2;0.2;3.0;;10.9;
2811;Total energy commodities;38 Waste collection and treatment;2013;61.1;;25.3;;;;61.1;46.8;46.8;;82.8;82.4;0.4;36.0;35.6;0.4;2.9;;11.4;
2812;Total energy commodities;38 Waste collection and treatment;2014;58.5;;24.1;;;;58.5;46.6;46.6;;83.5;82.9;0.6;36.9;36.4;0.6;3.1;;8.8;
2813;Total energy commodities;38 Waste collection and treatment;2015;54.2;;23.5;;;;54.2;44.1;44.1;;84.5;83.8;0.7;40.4;39.7;0.7;2.6;;7.5;
2814;Total energy commodities;38 Waste collection and treatment;2016;58.8;;26.8;;;;58.8;48.6;48.6;;88.2;87.3;0.8;39.6;38.8;0.8;2.8;;7.5;
2815;Total energy commodities;38 Waste collection and treatment;2017;57.5;;25.8;;;;57.5;47.0;47.0;;87.5;86.7;0.7;40.5;39.8;0.7;2.8;;7.7;
2816;Total energy commodities;38 Waste collection and treatment;2018;60.6;;24.0;;;;60.6;50.0;50.0;;85.3;84.6;0.7;35.3;34.6;0.7;3.2;;7.4;
2817;Total energy commodities;38 Waste collection and treatment;2019;59.5;;22.1;;;;59.5;48.7;48.7;;84.5;83.8;0.7;35.8;35.1;0.7;3.1;;7.6;
2818;Total energy commodities;38 Waste collection and treatment;2020 ;60.0;;17.5;;;;60.0;49.1;49.1;;85.0;84.1;0.9;35.9;35.0;0.9;3.0;;7.9;
2819;Total energy commodities;38 Waste collection and treatment;2021;62.5;;18.4;;;;62.5;51.6;51.6;;91.0;90.2;0.8;39.4;38.6;0.8;3.2;;7.7;
2820;Total energy commodities;38 Waste collection and treatment;2022;64.0;;18.3;;;;64.0;53.2;53.2;;90.7;90.5;0.2;37.5;37.3;0.2;3.5;;7.4;
2821;Total energy commodities;38 Waste collection and treatment;2023;57.5;;17.4;;;;57.5;47.4;47.4;;82.4;82.2;0.2;34.9;34.8;0.2;3.0;;7.0;
2822;Total energy commodities;39 Remediation, other waste management ;1990;;;;;;;;;;;;;;;;;;;;
2823;Total energy commodities;39 Remediation, other waste management ;1991;;;;;;;;;;;;;;;;;;;;
2824;Total energy commodities;39 Remediation, other waste management ;1992;;;;;;;;;;;;;;;;;;;;
2825;Total energy commodities;39 Remediation, other waste management ;1993;;;;;;;;;;;;;;;;;;;;
2826;Total energy commodities;39 Remediation, other waste management ;1994;;;;;;;;;;;;;;;;;;;;
2827;Total energy commodities;39 Remediation, other waste management ;1995;;;;;;;;;;;;;;;;;;;;
2828;Total energy commodities;39 Remediation, other waste management ;1996;;;;;;;;;;;;;;;;;;;;
2829;Total energy commodities;39 Remediation, other waste management ;1997;;;;;;;;;;;;;;;;;;;;
2830;Total energy commodities;39 Remediation, other waste management ;1998;;;;;;;;;;;;;;;;;;;;
2831;Total energy commodities;39 Remediation, other waste management ;1999;;;;;;;;;;;;;;;;;;;;
2832;Total energy commodities;39 Remediation, other waste management ;2000;;;;;;;;;;;;;;;;;;;;
2833;Total energy commodities;39 Remediation, other waste management ;2001;;;;;;;;;;;;;;;;;;;;
2834;Total energy commodities;39 Remediation, other waste management ;2002;;;;;;;;;;;;;;;;;;;;
2835;Total energy commodities;39 Remediation, other waste management ;2003;;;;;;;;;;;;;;;;;;;;
2836;Total energy commodities;39 Remediation, other waste management ;2004;;;;;;;;;;;;;;;;;;;;
2837;Total energy commodities;39 Remediation, other waste management ;2005;;;;;;;;;;;;;;;;;;;;
2838;Total energy commodities;39 Remediation, other waste management ;2006;;;;;;;;;;;;;;;;;;;;
2839;Total energy commodities;39 Remediation, other waste management ;2007;;;;;;;;;;;;;;;;;;;;
2840;Total energy commodities;39 Remediation, other waste management ;2008;;;;;;;;;;;;;;;;;;;;
2841;Total energy commodities;39 Remediation, other waste management ;2009;;;;;;;;;;;;;;;;;;;;
2842;Total energy commodities;39 Remediation, other waste management ;2010;;;;;;;;;;;;;;;;;;;;
2843;Total energy commodities;39 Remediation, other waste management ;2011;0.6;;0.1;;;;0.6;0.4;0.4;;0.9;0.6;0.3;0.5;0.2;0.3;0.0;;0.2;
2844;Total energy commodities;39 Remediation, other waste management ;2012;0.6;;0.0;;;;0.6;0.4;0.4;;0.8;0.6;0.2;0.4;0.1;0.2;0.0;;0.1;
2845;Total energy commodities;39 Remediation, other waste management ;2013;0.6;;0.1;;;;0.6;0.4;0.4;;0.6;0.5;0.2;0.3;0.1;0.2;0.0;;0.2;
2846;Total energy commodities;39 Remediation, other waste management ;2014;0.6;;0.1;;;;0.6;0.3;0.3;;0.6;0.4;0.2;0.3;0.1;0.2;0.0;;0.3;
2847;Total energy commodities;39 Remediation, other waste management ;2015;0.4;;0.1;;;;0.4;0.3;0.3;;0.6;0.4;0.2;0.3;0.1;0.2;0.0;;0.1;
2848;Total energy commodities;39 Remediation, other waste management ;2016;0.5;;0.1;;;;0.5;0.2;0.2;;0.5;0.3;0.1;0.2;0.1;0.1;0.0;;0.2;
2849;Total energy commodities;39 Remediation, other waste management ;2017;0.4;;0.1;;;;0.4;0.2;0.2;;0.5;0.3;0.2;0.2;0.1;0.2;0.0;;0.2;
2850;Total energy commodities;39 Remediation, other waste management ;2018;0.4;;0.1;;;;0.4;0.2;0.2;;0.4;0.2;0.1;0.2;0.1;0.1;0.0;;0.2;
2851;Total energy commodities;39 Remediation, other waste management ;2019;0.3;;0.1;;;;0.3;0.1;0.1;;0.3;0.2;0.1;0.2;0.1;0.1;0.0;;0.2;
2852;Total energy commodities;39 Remediation, other waste management ;2020 ;0.2;;0.1;;;;0.2;0.1;0.1;;0.3;0.1;0.2;0.2;0.0;0.2;0.0;;0.1;
2853;Total energy commodities;39 Remediation, other waste management ;2021;0.2;;0.1;;;;0.2;0.1;0.1;;0.3;0.1;0.2;0.2;0.0;0.2;0.0;;0.1;
2854;Total energy commodities;39 Remediation, other waste management ;2022;0.3;;0.1;;;;0.3;0.1;0.1;;0.3;0.2;0.2;0.2;0.0;0.2;0.0;;0.1;
2855;Total energy commodities;39 Remediation, other waste management ;2023;0.3;;0.1;;;;0.3;0.1;0.1;;0.3;0.2;0.1;0.2;0.1;0.1;0.0;;0.2;
2856;Total energy commodities;Water supply, waste management unknown;1990;;;;;;;;;;;;;;;;;;;;
2857;Total energy commodities;Water supply, waste management unknown;1991;;;;;;;;;;;;;;;;;;;;
2858;Total energy commodities;Water supply, waste management unknown;1992;;;;;;;;;;;;;;;;;;;;
2859;Total energy commodities;Water supply, waste management unknown;1993;;;;;;;;;;;;;;;;;;;;
2860;Total energy commodities;Water supply, waste management unknown;1994;;;;;;;;;;;;;;;;;;;;
2861;Total energy commodities;Water supply, waste management unknown;1995;;;;;;;;;;;;;;;;;;;;
2862;Total energy commodities;Water supply, waste management unknown;1996;;;;;;;;;;;;;;;;;;;;
2863;Total energy commodities;Water supply, waste management unknown;1997;;;;;;;;;;;;;;;;;;;;
2864;Total energy commodities;Water supply, waste management unknown;1998;;;;;;;;;;;;;;;;;;;;
2865;Total energy commodities;Water supply, waste management unknown;1999;;;;;;;;;;;;;;;;;;;;
2866;Total energy commodities;Water supply, waste management unknown;2000;;;;;;;;;;;;;;;;;;;;
2867;Total energy commodities;Water supply, waste management unknown;2001;;;;;;;;;;;;;;;;;;;;
2868;Total energy commodities;Water supply, waste management unknown;2002;;;;;;;;;;;;;;;;;;;;
2869;Total energy commodities;Water supply, waste management unknown;2003;;;;;;;;;;;;;;;;;;;;
2870;Total energy commodities;Water supply, waste management unknown;2004;;;;;;;;;;;;;;;;;;;;
2871;Total energy commodities;Water supply, waste management unknown;2005;;;;;;;;;;;;;;;;;;;;
2872;Total energy commodities;Water supply, waste management unknown;2006;;;;;;;;;;;;;;;;;;;;
2873;Total energy commodities;Water supply, waste management unknown;2007;;;;;;;;;;;;;;;;;;;;
2874;Total energy commodities;Water supply, waste management unknown;2008;;;;;;;;;;;;;;;;;;;;
2875;Total energy commodities;Water supply, waste management unknown;2009;;;;;;;;;;;;;;;;;;;;
2876;Total energy commodities;Water supply, waste management unknown;2010;;;;;;;;;;;;;;;;;;;;
2877;Total energy commodities;Water supply, waste management unknown;2011;;;;;;;;;;;;;;;;;;;;
2878;Total energy commodities;Water supply, waste management unknown;2012;0.0;;;;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2879;Total energy commodities;Water supply, waste management unknown;2013;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2880;Total energy commodities;Water supply, waste management unknown;2014;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2881;Total energy commodities;Water supply, waste management unknown;2015;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2882;Total energy commodities;Water supply, waste management unknown;2016;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2883;Total energy commodities;Water supply, waste management unknown;2017;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2884;Total energy commodities;Water supply, waste management unknown;2018;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2885;Total energy commodities;Water supply, waste management unknown;2019;0.0;;;0.0;;;0.0;;;;0.0;0.0;;0.0;0.0;;;;0.0;
2886;Total energy commodities;Water supply, waste management unknown;2020 ;0.1;;;0.1;;;0.1;;;;0.2;0.2;;0.2;0.2;;;;0.1;
2887;Total energy commodities;Water supply, waste management unknown;2021;0.1;;;0.1;;;0.1;;;;0.2;0.2;;0.2;0.2;;;;0.1;
2888;Total energy commodities;Water supply, waste management unknown;2022;0.2;;;0.2;;;0.2;;;;0.4;0.4;;0.4;0.4;;;;0.2;
2889;Total energy commodities;Water supply, waste management unknown;2023;0.2;;;0.2;;;0.2;;;;0.4;0.4;;0.4;0.4;;;;0.2;
2890;Total energy commodities;G-S, U Services;1990;212.9;0.6;3180.7;2977.2;8.7;;212.9;6.0;1.1;5.0;112.8;4.2;108.6;106.7;3.1;103.6;0.0;;205.0;1.9
2891;Total energy commodities;G-S, U Services;1991;237.0;0.8;3642.2;3381.7;-24.3;;237.0;3.6;0.1;3.5;90.2;1.2;89.0;86.6;1.1;85.5;0.0;;231.3;2.1
2892;Total energy commodities;G-S, U Services;1992;224.8;0.4;3391.3;3164.0;-2.8;;224.8;2.3;0.4;1.9;62.6;5.2;57.4;60.3;4.7;55.5;0.0;;220.5;2.0
2893;Total energy commodities;G-S, U Services;1993;239.3;0.4;3745.3;3511.2;4.8;;239.3;2.8;0.9;1.9;58.4;4.7;53.7;55.6;3.7;51.9;0.0;;233.7;2.7
2894;Total energy commodities;G-S, U Services;1994;230.1;1.3;4003.7;3741.3;-33.7;;230.1;3.8;0.7;3.1;105.2;7.3;97.8;101.3;6.6;94.7;0.1;;224.1;2.1
2895;Total energy commodities;G-S, U Services;1995;235.6;1.3;3883.1;3709.9;61.1;;235.6;3.6;1.2;2.4;84.4;5.0;79.4;80.9;3.8;77.0;0.0;;229.8;2.3
2896;Total energy commodities;G-S, U Services;1996;268.6;0.8;4213.4;3935.0;-10.5;;268.6;3.6;1.3;2.3;102.3;5.7;96.6;98.7;4.4;94.3;0.1;;262.7;2.3
2897;Total energy commodities;G-S, U Services;1997;252.3;1.7;4285.6;4018.1;-17.0;;252.3;3.1;1.5;1.7;78.7;6.6;72.0;75.5;5.2;70.3;0.1;;246.5;2.5
2898;Total energy commodities;G-S, U Services;1998;257.6;1.1;4450.6;4121.1;-73.0;;257.6;3.0;1.5;1.4;86.7;7.1;79.7;83.8;5.5;78.2;0.1;;251.9;2.7
2899;Total energy commodities;G-S, U Services;1999;248.1;1.2;4360.0;4229.5;116.4;;248.1;4.5;2.3;2.2;97.4;10.9;86.5;92.9;8.6;84.3;0.1;;241.1;2.4
2900;Total energy commodities;G-S, U Services;2000;255.0;2.3;4774.6;4485.7;-36.2;;255.0;4.2;2.5;1.7;86.8;11.6;75.2;82.6;9.0;73.6;0.1;;248.7;1.9
2901;Total energy commodities;G-S, U Services;2001;269.9;2.0;4873.1;4601.3;-3.9;;269.9;4.4;2.3;2.1;94.7;11.3;83.5;90.4;9.0;81.3;0.1;;263.0;2.4
2902;Total energy commodities;G-S, U Services;2002;266.0;1.9;5289.1;5052.0;26.9;;266.0;3.8;1.9;1.9;167.8;11.5;156.3;164.0;9.6;154.4;0.1;;259.8;2.4
2903;Total energy commodities;G-S, U Services;2003;280.6;3.2;5189.2;4917.2;5.4;;280.6;5.3;2.1;3.2;148.8;13.9;134.9;143.5;11.8;131.8;0.1;;272.9;2.3
2904;Total energy commodities;G-S, U Services;2004;302.1;1.5;5698.7;5360.1;-38.1;;302.1;8.6;2.8;5.8;213.6;11.3;202.3;205.0;8.5;196.5;0.1;;291.1;2.3
2905;Total energy commodities;G-S, U Services;2005;290.6;1.8;5506.8;5199.5;-18.5;;290.6;10.1;1.6;8.5;289.2;7.4;281.8;279.1;5.8;273.3;0.1;;277.6;2.8
2906;Total energy commodities;G-S, U Services;2006;293.7;2.8;6344.4;6016.7;-36.8;;293.7;8.9;1.5;7.4;324.9;7.2;317.7;316.0;5.7;310.2;0.1;;282.3;2.4
2907;Total energy commodities;G-S, U Services;2007;277.6;2.8;6137.0;5868.8;6.6;;277.6;5.8;1.8;4.0;297.3;8.0;289.4;291.5;6.2;285.3;0.1;;269.9;1.9
2908;Total energy commodities;G-S, U Services;2008;291.9;2.8;6454.8;6104.7;-61.1;;291.9;8.0;2.0;6.0;269.3;8.1;261.2;261.3;6.1;255.2;0.1;;281.8;2.0
2909;Total energy commodities;G-S, U Services;2009;298.7;2.7;6301.6;6014.5;8.9;;298.7;5.8;1.5;4.3;308.6;7.3;301.3;302.8;5.8;297.0;0.1;;290.8;2.0
