ID;InstitutionalSectors;NotConsolidatedConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossNationalIncome_144;NetNationalIncome_145;GrossDisposableIncome_146;NetDisposableIncome_147;GrossSaving_148;NetSaving_149;NetTransactionsOfGoodAndServices_150;SurplusNationOnCurrentTransactions_151;NetSavingAndCapitalTransfers_152;NetLendingOrNetBorrowing_153;TotalFinancialTransactionsInAssets_154;TotalFinancialTransactionsLiabilities_155;NetFinancialTransactions_156;StatisticalDiscrepancy_157
1982;Non-MMF investment funds ;Consolidated;2007 4th quarter;1349.0;;;;;;621.0;621.0;;621.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;725.0;340.0;9.0;331.0;302.0;302.0;0.0;-12.0;95.0;0.0;;95.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;1227.0;;;;;;353.0;117.0;93.0;24.0;2.0;;2.0;;;;798.0;38.0;-17.0;55.0;;;;;760.0;;;760.0;;25.0;25.0;;2.0;;;;;;;2.0;;2.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-44.0;-44.0;51.0;-95.0;0.0;0.0;0.0;-27.0;;268.0;;217.0;149.0;98.0;76.0;25.0;51.0;0.0;51.0;0.0;;;0.0;122.0;-2824.0;-2946.0;122.0;0.0
1983;Non-MMF investment funds ;Consolidated;2007;5710.0;;;;;;2607.0;2607.0;;2607.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;3091.0;1484.0;30.0;1454.0;1284.0;1284.0;0.0;-48.0;371.0;0.0;;371.0;0.0;;;;8.0;8.0;;8.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;5714.0;;;;;;1458.0;442.0;354.0;88.0;8.0;;8.0;;;;3357.0;351.0;-65.0;416.0;;;;;3006.0;;;3006.0;;190.0;190.0;;8.0;;;;;;;8.0;;8.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;288.0;288.0;243.0;45.0;0.0;0.0;0.0;-41.0;;1149.0;;906.0;699.0;456.0;433.0;190.0;243.0;0.0;243.0;0.0;;;0.0;-4.0;-3836.0;-3832.0;-4.0;0.0
1984;Non-MMF investment funds ;Consolidated;2008 1st quarter;1228.0;;;;;;550.0;550.0;;550.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;676.0;329.0;10.0;319.0;250.0;230.0;20.0;-3.0;100.0;0.0;;100.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;1396.0;;;;;;377.0;60.0;47.0;13.0;2.0;;2.0;;;;702.0;97.0;-20.0;117.0;;;;;605.0;;;605.0;;16.0;16.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;232.0;232.0;69.0;163.0;0.0;0.0;0.0;5.0;;173.0;;104.0;111.0;42.0;85.0;16.0;69.0;0.0;69.0;0.0;;;0.0;-168.0;1293.0;1461.0;-168.0;0.0
1985;Non-MMF investment funds ;Consolidated;2008 2nd quarter;1417.0;;;;;;494.0;494.0;;494.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;921.0;341.0;13.0;328.0;484.0;453.0;31.0;-2.0;98.0;0.0;;98.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;1509.0;;;;;;318.0;67.0;57.0;10.0;2.0;;2.0;;;;958.0;58.0;-17.0;75.0;;;;;900.0;;;900.0;;4.0;4.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;149.0;149.0;66.0;83.0;0.0;0.0;0.0;9.0;;176.0;;110.0;107.0;41.0;70.0;4.0;66.0;0.0;66.0;0.0;;;0.0;-92.0;-1335.0;-1243.0;-92.0;0.0
1986;Non-MMF investment funds ;Consolidated;2008 3rd quarter;1305.0;;;;;;451.0;451.0;;451.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;852.0;360.0;11.0;349.0;417.0;412.0;5.0;-15.0;90.0;0.0;;90.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;805.0;;;;;;301.0;49.0;38.0;11.0;2.0;;2.0;;;;885.0;101.0;-17.0;118.0;;;;;784.0;;;784.0;;6.0;6.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-391.0;-391.0;60.0;-451.0;0.0;0.0;0.0;-49.0;;150.0;;90.0;99.0;39.0;66.0;6.0;60.0;0.0;60.0;0.0;;;0.0;500.0;-1551.0;-2051.0;500.0;0.0
1987;Non-MMF investment funds ;Consolidated;2008 4th quarter;2349.0;;;;;;905.0;905.0;;905.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1442.0;1001.0;6.0;995.0;388.0;369.0;19.0;-29.0;82.0;0.0;;82.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;2221.0;;;;;;673.0;55.0;44.0;11.0;12.0;;12.0;;;;1541.0;12.0;-22.0;34.0;;;;;1529.0;;;1529.0;;13.0;13.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-75.0;-75.0;53.0;-128.0;0.0;0.0;0.0;0.0;;232.0;;179.0;165.0;112.0;66.0;13.0;53.0;0.0;53.0;0.0;;;0.0;128.0;167.0;39.0;128.0;0.0
1988;Non-MMF investment funds ;Consolidated;2008;6299.0;;;;;;2400.0;2400.0;;2400.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;3891.0;2031.0;40.0;1991.0;1539.0;1464.0;75.0;-49.0;370.0;0.0;;370.0;0.0;;;;4.0;4.0;;4.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;5931.0;;;;;;1669.0;231.0;186.0;45.0;18.0;;18.0;;;;4086.0;268.0;-76.0;344.0;;;;;3818.0;;;3818.0;;39.0;39.0;;4.0;;;;;;;4.0;;4.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-85.0;-85.0;248.0;-333.0;0.0;0.0;0.0;-35.0;;731.0;;483.0;482.0;234.0;287.0;39.0;248.0;0.0;248.0;0.0;;;0.0;368.0;-1426.0;-1794.0;368.0;0.0
1989;Non-MMF investment funds ;Consolidated;2009 1st quarter;2156.0;;;;;;782.0;782.0;;782.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1372.0;880.0;-4.0;884.0;440.0;422.0;18.0;-32.0;84.0;0.0;;84.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;2216.0;;;;;;586.0;6.0;5.0;1.0;7.0;;7.0;;;;1479.0;11.0;-68.0;79.0;;;;;1468.0;;;1468.0;;13.0;13.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;123.0;123.0;63.0;60.0;0.0;0.0;0.0;0.0;;196.0;;133.0;183.0;120.0;76.0;13.0;63.0;0.0;63.0;0.0;;;0.0;-60.0;-1904.0;-1844.0;-60.0;0.0
1990;Non-MMF investment funds ;Consolidated;2009 2nd quarter;2514.0;;;;;;713.0;713.0;;713.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1800.0;1050.0;-4.0;1054.0;728.0;707.0;21.0;-60.0;82.0;0.0;;82.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;2514.0;;;;;;518.0;8.0;7.0;1.0;8.0;;8.0;;;;1903.0;7.0;-60.0;67.0;;;;;1896.0;;;1896.0;;15.0;15.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;61.0;61.0;61.0;0.0;0.0;0.0;0.0;0.0;;195.0;;134.0;179.0;118.0;76.0;15.0;61.0;0.0;61.0;0.0;;;0.0;0.0;95791.0;95791.0;0.0;0.0
1991;Non-MMF investment funds ;Consolidated;2009 3rd quarter;3238.0;;;;;;865.0;865.0;;865.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;2372.0;1749.0;7.0;1742.0;487.0;465.0;22.0;44.0;92.0;0.0;;92.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;3123.0;;;;;;642.0;7.0;5.0;2.0;12.0;;12.0;;;;2467.0;12.0;-100.0;112.0;;;;;2455.0;;;2455.0;;44.0;44.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-50.0;-50.0;65.0;-115.0;0.0;0.0;0.0;0.0;;223.0;;158.0;204.0;139.0;109.0;44.0;65.0;0.0;65.0;0.0;;;0.0;115.0;109439.0;109324.0;115.0;0.0
1992;Non-MMF investment funds ;Consolidated;2009 4th quarter;3573.0;;;;;;1033.0;1033.0;;1033.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;2539.0;1727.0;10.0;1717.0;702.0;687.0;15.0;0.0;110.0;0.0;;110.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;3392.0;;;;;;794.0;5.0;5.0;0.0;15.0;;15.0;;;;2651.0;7.0;-105.0;112.0;;;;;2644.0;;;2644.0;;42.0;42.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-116.0;-116.0;65.0;-181.0;0.0;0.0;0.0;0.0;;239.0;;174.0;219.0;154.0;107.0;42.0;65.0;0.0;65.0;0.0;;;0.0;181.0;10623.0;10442.0;181.0;0.0
1993;Non-MMF investment funds ;Consolidated;2009;11481.0;;;;;;3393.0;3393.0;;3393.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;8083.0;5406.0;9.0;5397.0;2357.0;2281.0;76.0;-48.0;368.0;0.0;;368.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;11245.0;;;;;;2540.0;26.0;22.0;4.0;42.0;;42.0;;;;8500.0;37.0;-333.0;370.0;;;;;8463.0;;;8463.0;;114.0;114.0;;1.0;;;;;;;1.0;;1.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;18.0;18.0;254.0;-236.0;0.0;0.0;0.0;0.0;;853.0;;599.0;785.0;531.0;368.0;114.0;254.0;0.0;254.0;0.0;;;0.0;236.0;213949.0;213713.0;236.0;0.0
1994;Non-MMF investment funds ;Consolidated;2010 1st quarter;3622.0;;;;;;998.0;995.0;;995.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;2622.0;1704.0;9.0;1695.0;712.0;702.0;10.0;82.0;124.0;0.0;;124.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;8109.0;;;;;;795.0;12.0;10.0;2.0;14.0;;14.0;;;;2694.0;-48.0;-124.0;76.0;;;;;2742.0;;;2742.0;;37.0;37.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;2608.0;2608.0;68.0;2540.0;0.0;0.0;0.0;1947.0;;203.0;;135.0;177.0;109.0;105.0;37.0;68.0;0.0;68.0;0.0;;;0.0;-4487.0;17670.0;22157.0;-4487.0;0.0
1995;Non-MMF investment funds ;Consolidated;2010 2nd quarter;4766.0;;;;;;1021.0;1019.0;;1019.0;2.0;2.0;;;;;;;;;;;;;;0.0;;0.0;3744.0;1741.0;13.0;1728.0;1804.0;1793.0;11.0;34.0;165.0;0.0;;165.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;4732.0;;;;;;806.0;12.0;11.0;1.0;15.0;;15.0;;;;3827.0;-30.0;-109.0;79.0;;;;;3857.0;;;3857.0;;36.0;36.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;8.0;8.0;69.0;-61.0;0.0;0.0;0.0;27.0;;215.0;;146.0;188.0;119.0;105.0;36.0;69.0;0.0;69.0;0.0;;;0.0;34.0;-18509.0;-18543.0;34.0;0.0
1996;Non-MMF investment funds ;Consolidated;2010 3rd quarter;3918.0;;;;;;1058.0;1055.0;;1055.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;2859.0;1725.0;13.0;1712.0;875.0;863.0;12.0;97.0;162.0;0.0;;162.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;4065.0;;;;;;835.0;13.0;12.0;1.0;16.0;;16.0;;;;2946.0;-28.0;-115.0;87.0;;;;;2974.0;;;2974.0;;37.0;37.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;87.0;87.0;70.0;17.0;0.0;0.0;0.0;130.0;;223.0;;153.0;194.0;124.0;107.0;37.0;70.0;0.0;70.0;0.0;;;0.0;-147.0;-3204.0;-3057.0;-147.0;0.0
1997;Non-MMF investment funds ;Consolidated;2010 4th quarter;3984.0;;;;;;1162.0;1158.0;;1158.0;4.0;4.0;;;;;;;;;;;;;;0.0;;0.0;2819.0;1774.0;5.0;1769.0;791.0;780.0;11.0;82.0;172.0;0.0;;172.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;5992.0;;;;;;900.0;19.0;16.0;3.0;19.0;;19.0;;;;2935.0;29.0;-88.0;117.0;;;;;2906.0;;;2906.0;;37.0;37.0;;2.0;;;;;;;2.0;;2.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;1142.0;1142.0;71.0;1071.0;0.0;0.0;0.0;937.0;;262.0;;191.0;224.0;153.0;108.0;37.0;71.0;0.0;71.0;0.0;;;0.0;-2008.0;-15601.0;-13593.0;-2008.0;0.0
1998;Non-MMF investment funds ;Consolidated;2010;16290.0;;;;;;4239.0;4227.0;;4227.0;12.0;12.0;;;;;;;;;;;;;;0.0;;0.0;12044.0;6944.0;40.0;6904.0;4182.0;4138.0;44.0;295.0;623.0;0.0;;623.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;22898.0;;;;;;3336.0;56.0;49.0;7.0;64.0;;64.0;;;;12402.0;-77.0;-436.0;359.0;;;;;12479.0;;;12479.0;;147.0;147.0;;3.0;;;;;;;3.0;;3.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;3845.0;3845.0;278.0;3567.0;0.0;0.0;0.0;3041.0;;903.0;;625.0;783.0;505.0;425.0;147.0;278.0;0.0;278.0;0.0;;;0.0;-6608.0;-19644.0;-13036.0;-6608.0;0.0
1999;Non-MMF investment funds ;Consolidated;2011 1st quarter;3810.0;;;;;;1070.0;1067.0;;1067.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;2737.0;1724.0;5.0;1719.0;715.0;702.0;13.0;96.0;202.0;0.0;;202.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;3718.0;;;;;;799.0;15.0;12.0;3.0;17.0;;17.0;;;;2849.0;69.0;-56.0;125.0;;;;;2780.0;;;2780.0;;35.0;35.0;;2.0;;;;;;;2.0;;2.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;110.0;110.0;92.0;18.0;0.0;0.0;0.0;-110.0;;271.0;;179.0;239.0;147.0;127.0;35.0;92.0;0.0;92.0;0.0;;;0.0;92.0;18429.0;18337.0;92.0;0.0
2000;Non-MMF investment funds ;Consolidated;2011 2nd quarter;5163.0;;;;;;1099.0;1098.0;;1098.0;1.0;1.0;;;;;;;;;;;;;;0.0;;0.0;4063.0;1861.0;6.0;1855.0;1936.0;1924.0;12.0;53.0;213.0;0.0;;213.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;5042.0;;;;;;837.0;13.0;12.0;1.0;17.0;;17.0;;;;4165.0;62.0;-59.0;121.0;;;;;4103.0;;;4103.0;;38.0;38.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;68.0;68.0;92.0;-24.0;0.0;0.0;0.0;-97.0;;262.0;;170.0;232.0;140.0;130.0;38.0;92.0;0.0;92.0;0.0;;;0.0;121.0;8881.0;8760.0;121.0;0.0
2001;Non-MMF investment funds ;Consolidated;2011 3rd quarter;4436.0;;;;;;1236.0;1233.0;;1233.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;3199.0;1888.0;3.0;1885.0;1056.0;1046.0;10.0;39.0;216.0;0.0;;216.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;5158.0;;;;;;943.0;13.0;12.0;1.0;20.0;;20.0;;;;3327.0;44.0;-69.0;113.0;;;;;3283.0;;;3283.0;;40.0;40.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;918.0;918.0;92.0;826.0;0.0;0.0;0.0;-104.0;;293.0;;201.0;260.0;168.0;132.0;40.0;92.0;0.0;92.0;0.0;;;0.0;-722.0;25957.0;26679.0;-722.0;0.0
2002;Non-MMF investment funds ;Consolidated;2011 4th quarter;4040.0;;;;;;1139.0;1131.0;;1131.0;8.0;8.0;;;;;;;;;;;;;;0.0;;0.0;2900.0;1734.0;5.0;1729.0;908.0;899.0;9.0;38.0;220.0;0.0;;220.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;3827.0;;;;;;862.0;17.0;17.0;0.0;19.0;;19.0;;;;3010.0;48.0;-71.0;119.0;;;;;2962.0;;;2962.0;;36.0;36.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-2.0;-2.0;95.0;-97.0;0.0;0.0;0.0;-116.0;;277.0;;182.0;241.0;146.0;131.0;36.0;95.0;0.0;95.0;0.0;;;0.0;213.0;-27151.0;-27364.0;213.0;0.0
2003;Non-MMF investment funds ;Consolidated;2011;17449.0;;;;;;4544.0;4529.0;;4529.0;15.0;15.0;;;;;;;;;;;;;;0.0;;0.0;12899.0;7207.0;19.0;7188.0;4615.0;4571.0;44.0;226.0;851.0;0.0;;851.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;17745.0;;;;;;3441.0;58.0;53.0;5.0;73.0;;73.0;;;;13351.0;223.0;-255.0;478.0;;;;;13128.0;;;13128.0;;149.0;149.0;;2.0;;;;;;;2.0;;2.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;1094.0;1094.0;371.0;723.0;0.0;0.0;0.0;-427.0;;1103.0;;732.0;972.0;601.0;520.0;149.0;371.0;0.0;371.0;0.0;;;0.0;-296.0;26116.0;26412.0;-296.0;0.0
2004;Non-MMF investment funds ;Consolidated;2012 1st quarter;3893.0;;;;;;1068.0;1060.0;;1060.0;8.0;8.0;;;;;;;;;;;;;;0.0;;0.0;2823.0;1791.0;-1.0;1792.0;867.0;864.0;3.0;-55.0;220.0;0.0;;220.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;3901.0;;;;;;775.0;18.0;16.0;2.0;16.0;;16.0;;;;2949.0;27.0;-70.0;97.0;;;;;2922.0;;;2922.0;;38.0;38.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;130.0;130.0;95.0;35.0;0.0;0.0;0.0;-27.0;;293.0;;198.0;259.0;164.0;133.0;38.0;95.0;0.0;95.0;0.0;;;0.0;-8.0;16689.0;16697.0;-8.0;0.0
2005;Non-MMF investment funds ;Consolidated;2012 2nd quarter;5426.0;;;;;;1111.0;1110.0;;1110.0;1.0;1.0;;;;;;;;;;;;;;0.0;;0.0;4313.0;1848.0;-3.0;1851.0;2320.0;2317.0;3.0;-79.0;224.0;0.0;;224.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;5540.0;;;;;;807.0;18.0;16.0;2.0;18.0;;18.0;;;;4450.0;38.0;-67.0;105.0;;;;;4412.0;;;4412.0;;38.0;38.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;144.0;144.0;93.0;51.0;0.0;0.0;0.0;63.0;;304.0;;211.0;268.0;175.0;131.0;38.0;93.0;0.0;93.0;0.0;;;0.0;-114.0;1034.0;1148.0;-114.0;0.0
2006;Non-MMF investment funds ;Consolidated;2012 3rd quarter;4345.0;;;;;;1116.0;1113.0;;1113.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;3227.0;1898.0;-5.0;1903.0;1136.0;1133.0;3.0;-29.0;222.0;0.0;;222.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;4465.0;;;;;;827.0;18.0;16.0;2.0;17.0;;17.0;;;;3347.0;29.0;-72.0;101.0;;;;;3318.0;;;3318.0;;40.0;40.0;;1.0;;;;;;;1.0;;1.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;136.0;136.0;94.0;42.0;0.0;0.0;0.0;78.0;;289.0;;195.0;254.0;160.0;134.0;40.0;94.0;0.0;94.0;0.0;;;0.0;-120.0;6728.0;6848.0;-120.0;0.0
2007;Non-MMF investment funds ;Consolidated;2012 4th quarter;4347.0;;;;;;1150.0;1147.0;;1147.0;3.0;3.0;;;;;;;;;;;;;;0.0;;0.0;3196.0;1911.0;-5.0;1916.0;1092.0;1087.0;5.0;-30.0;223.0;0.0;;223.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;1.0;;1.0;;;0.0;;;0.0;;0.0;0.0;4153.0;;;;;;881.0;17.0;16.0;1.0;19.0;;19.0;;;;3293.0;27.0;-77.0;104.0;;;;;3266.0;;;3266.0;;40.0;40.0;;0.0;;;;;;;0.0;;0.0;;1.0;1.0;;;;0.0;;;;;;;;;;0.0;;;0.0;-42.0;-42.0;96.0;-138.0;0.0;0.0;0.0;-56.0;;269.0;;173.0;233.0;137.0;136.0;40.0;96.0;0.0;96.0;0.0;;;0.0;194.0;3645.0;3451.0;194.0;0.0
2008;Non-MMF investment funds ;Consolidated;2012;18011.0;;;;;;4445.0;4430.0;;4430.0;15.0;15.0;;;;;;;;;;;;;;0.0;;0.0;13559.0;7448.0;-14.0;7462.0;5415.0;5401.0;14.0;-193.0;889.0;0.0;;889.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;4.0;;4.0;;;0.0;;;0.0;;0.0;0.0;18059.0;;;;;;3290.0;71.0;64.0;7.0;70.0;;70.0;;;;14039.0;121.0;-286.0;407.0;;;;;13918.0;;;13918.0;;156.0;156.0;;3.0;;;;;;;3.0;;3.0;;4.0;4.0;;;;0.0;;;;;;;;;;0.0;;;0.0;368.0;368.0;378.0;-10.0;0.0;0.0;0.0;58.0;;1155.0;;777.0;1014.0;636.0;534.0;156.0;378.0;0.0;378.0;0.0;;;0.0;-48.0;28096.0;28144.0;-48.0;0.0
