ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
3043;Total output prices;0812121 Gravel and pebbles of a kind...;2005 February;81.2;1.7;0.0
3044;Total output prices;0812121 Gravel and pebbles of a kind...;2005 March;81.2;1.7;0.0
3045;Total output prices;0812121 Gravel and pebbles of a kind...;2005 April;81.2;1.7;0.0
3046;Total output prices;0812121 Gravel and pebbles of a kind...;2005 May;81.2;1.7;0.0
3047;Total output prices;0812121 Gravel and pebbles of a kind...;2005 June;81.2;1.7;0.0
3048;Total output prices;0812121 Gravel and pebbles of a kind...;2005 July;84.4;6.0;4.0
3049;Total output prices;0812121 Gravel and pebbles of a kind...;2005 August;84.4;6.0;0.0
3050;Total output prices;0812121 Gravel and pebbles of a kind...;2005 September;84.4;6.0;0.0
3051;Total output prices;0812121 Gravel and pebbles of a kind...;2005 October;84.4;6.0;0.0
3052;Total output prices;0812121 Gravel and pebbles of a kind...;2005 November;84.4;6.0;0.0
3053;Total output prices;0812121 Gravel and pebbles of a kind...;2005 December;84.4;6.0;0.0
3054;Total output prices;0812121 Gravel and pebbles of a kind...;2005;82.8;3.9;
3055;Total output prices;0812121 Gravel and pebbles of a kind...;2006 January;84.7;4.4;0.4
3056;Total output prices;0812121 Gravel and pebbles of a kind...;2006 February;84.7;4.4;0.0
3057;Total output prices;0812121 Gravel and pebbles of a kind...;2006 March;84.7;4.4;0.0
3058;Total output prices;0812121 Gravel and pebbles of a kind...;2006 April;84.8;4.4;0.0
3059;Total output prices;0812121 Gravel and pebbles of a kind...;2006 May;84.8;4.4;0.0
3060;Total output prices;0812121 Gravel and pebbles of a kind...;2006 June;84.8;4.4;0.0
3061;Total output prices;0812121 Gravel and pebbles of a kind...;2006 July;84.8;0.4;0.0
3062;Total output prices;0812121 Gravel and pebbles of a kind...;2006 August;84.8;0.4;0.0
3063;Total output prices;0812121 Gravel and pebbles of a kind...;2006 September;84.8;0.4;0.0
3064;Total output prices;0812121 Gravel and pebbles of a kind...;2006 October;84.8;0.5;0.0
3065;Total output prices;0812121 Gravel and pebbles of a kind...;2006 November;84.8;0.5;0.0
3066;Total output prices;0812121 Gravel and pebbles of a kind...;2006 December;84.8;0.5;0.0
3067;Total output prices;0812121 Gravel and pebbles of a kind...;2006;84.8;2.4;
3068;Total output prices;0812121 Gravel and pebbles of a kind...;2007 January;88.4;4.3;4.2
3069;Total output prices;0812121 Gravel and pebbles of a kind...;2007 February;88.4;4.3;0.0
3070;Total output prices;0812121 Gravel and pebbles of a kind...;2007 March;88.4;4.3;0.0
3071;Total output prices;0812121 Gravel and pebbles of a kind...;2007 April;88.6;4.5;0.3
3072;Total output prices;0812121 Gravel and pebbles of a kind...;2007 May;88.6;4.5;0.0
3073;Total output prices;0812121 Gravel and pebbles of a kind...;2007 June;88.6;4.5;0.0
3074;Total output prices;0812121 Gravel and pebbles of a kind...;2007 July;89.1;5.0;0.5
3075;Total output prices;0812121 Gravel and pebbles of a kind...;2007 August;89.1;5.0;0.0
3076;Total output prices;0812121 Gravel and pebbles of a kind...;2007 September;89.1;5.0;0.0
3077;Total output prices;0812121 Gravel and pebbles of a kind...;2007 October;89.1;5.0;0.0
3078;Total output prices;0812121 Gravel and pebbles of a kind...;2007 November;89.1;5.0;0.0
3079;Total output prices;0812121 Gravel and pebbles of a kind...;2007 December;89.1;5.0;0.0
3080;Total output prices;0812121 Gravel and pebbles of a kind...;2007;88.8;4.7;
3081;Total output prices;0812121 Gravel and pebbles of a kind...;2008 January;92.5;4.7;3.9
3082;Total output prices;0812121 Gravel and pebbles of a kind...;2008 February;92.5;4.7;0.0
3083;Total output prices;0812121 Gravel and pebbles of a kind...;2008 March;92.5;4.7;0.0
3084;Total output prices;0812121 Gravel and pebbles of a kind...;2008 April;92.5;4.4;0.0
3085;Total output prices;0812121 Gravel and pebbles of a kind...;2008 May;92.5;4.4;0.0
3086;Total output prices;0812121 Gravel and pebbles of a kind...;2008 June;92.5;4.4;0.0
3087;Total output prices;0812121 Gravel and pebbles of a kind...;2008 July;91.8;3.1;-0.7
3088;Total output prices;0812121 Gravel and pebbles of a kind...;2008 August;91.8;3.1;0.0
3089;Total output prices;0812121 Gravel and pebbles of a kind...;2008 September;91.8;3.1;0.0
3090;Total output prices;0812121 Gravel and pebbles of a kind...;2008 October;91.8;3.1;0.0
3091;Total output prices;0812121 Gravel and pebbles of a kind...;2008 November;91.8;3.1;0.0
3092;Total output prices;0812121 Gravel and pebbles of a kind...;2008 December;91.8;3.1;0.0
3093;Total output prices;0812121 Gravel and pebbles of a kind...;2008;92.2;3.8;
3094;Total output prices;0812121 Gravel and pebbles of a kind...;2009 January;97.0;4.8;5.7
3095;Total output prices;0812121 Gravel and pebbles of a kind...;2009 February;97.0;4.8;0.0
3096;Total output prices;0812121 Gravel and pebbles of a kind...;2009 March;97.0;4.8;0.0
3097;Total output prices;0812121 Gravel and pebbles of a kind...;2009 April;97.1;5.0;0.1
3098;Total output prices;0812121 Gravel and pebbles of a kind...;2009 May;97.1;5.0;0.0
3099;Total output prices;0812121 Gravel and pebbles of a kind...;2009 June;97.1;5.0;0.0
3100;Total output prices;0812121 Gravel and pebbles of a kind...;2009 July;98.7;7.6;1.7
3101;Total output prices;0812121 Gravel and pebbles of a kind...;2009 August;98.7;7.6;0.0
3102;Total output prices;0812121 Gravel and pebbles of a kind...;2009 September;98.7;7.6;0.0
3103;Total output prices;0812121 Gravel and pebbles of a kind...;2009 October;98.6;7.4;-0.2
3104;Total output prices;0812121 Gravel and pebbles of a kind...;2009 November;98.6;7.4;0.0
3105;Total output prices;0812121 Gravel and pebbles of a kind...;2009 December;98.6;7.4;0.0
3106;Total output prices;0812121 Gravel and pebbles of a kind...;2009;97.9;6.2;
3107;Total output prices;0812121 Gravel and pebbles of a kind...;2010 January;100.2;3.3;1.6
3108;Total output prices;0812121 Gravel and pebbles of a kind...;2010 February;100.2;3.3;0.0
3109;Total output prices;0812121 Gravel and pebbles of a kind...;2010 March;100.2;3.3;0.0
3110;Total output prices;0812121 Gravel and pebbles of a kind...;2010 April;100.2;3.2;0.0
3111;Total output prices;0812121 Gravel and pebbles of a kind...;2010 May;100.2;3.2;0.0
3112;Total output prices;0812121 Gravel and pebbles of a kind...;2010 June;100.2;3.2;0.0
3113;Total output prices;0812121 Gravel and pebbles of a kind...;2010 July;99.9;1.1;-0.3
3114;Total output prices;0812121 Gravel and pebbles of a kind...;2010 August;99.9;1.1;0.0
3115;Total output prices;0812121 Gravel and pebbles of a kind...;2010 September;99.9;1.1;0.0
3116;Total output prices;0812121 Gravel and pebbles of a kind...;2010 October;99.8;1.2;-0.1
3117;Total output prices;0812121 Gravel and pebbles of a kind...;2010 November;99.8;1.2;0.0
3118;Total output prices;0812121 Gravel and pebbles of a kind...;2010 December;99.8;1.2;0.0
3119;Total output prices;0812121 Gravel and pebbles of a kind...;2010;100.0;2.2;
3120;Total output prices;0812121 Gravel and pebbles of a kind...;2011 January;101.3;1.1;1.6
3121;Total output prices;0812121 Gravel and pebbles of a kind...;2011 February;101.3;1.1;0.0
3122;Total output prices;0812121 Gravel and pebbles of a kind...;2011 March;101.3;1.1;0.0
3123;Total output prices;0812121 Gravel and pebbles of a kind...;2011 April;101.4;1.2;0.1
3124;Total output prices;0812121 Gravel and pebbles of a kind...;2011 May;101.4;1.2;0.0
3125;Total output prices;0812121 Gravel and pebbles of a kind...;2011 June;101.4;1.2;0.0
3126;Total output prices;0812121 Gravel and pebbles of a kind...;2011 July;101.9;2.0;0.5
3127;Total output prices;0812121 Gravel and pebbles of a kind...;2011 August;101.9;2.0;0.0
3128;Total output prices;0812121 Gravel and pebbles of a kind...;2011 September;101.9;2.0;0.0
3129;Total output prices;0812121 Gravel and pebbles of a kind...;2011 October;101.8;2.1;0.0
3130;Total output prices;0812121 Gravel and pebbles of a kind...;2011 November;101.8;2.1;0.0
3131;Total output prices;0812121 Gravel and pebbles of a kind...;2011 December;101.8;2.1;0.0
3132;Total output prices;0812121 Gravel and pebbles of a kind...;2011;101.6;1.6;
3133;Total output prices;0812121 Gravel and pebbles of a kind...;2012 January;102.0;0.7;0.2
3134;Total output prices;0812121 Gravel and pebbles of a kind...;2012 February;102.0;0.7;0.0
3135;Total output prices;0812121 Gravel and pebbles of a kind...;2012 March;102.0;0.7;0.0
3136;Total output prices;0812121 Gravel and pebbles of a kind...;2012 April;102.9;1.5;0.9
3137;Total output prices;0812121 Gravel and pebbles of a kind...;2012 May;102.9;1.5;0.0
3138;Total output prices;0812121 Gravel and pebbles of a kind...;2012 June;102.9;1.5;0.0
3139;Total output prices;0812121 Gravel and pebbles of a kind...;2012 July;103.0;1.1;0.0
3140;Total output prices;0812121 Gravel and pebbles of a kind...;2012 August;103.0;1.1;0.0
3141;Total output prices;0812121 Gravel and pebbles of a kind...;2012 September;103.0;1.1;0.0
3142;Total output prices;0812121 Gravel and pebbles of a kind...;2012 October;103.0;1.1;0.1
3143;Total output prices;0812121 Gravel and pebbles of a kind...;2012 November;103.0;1.1;0.0
3144;Total output prices;0812121 Gravel and pebbles of a kind...;2012 December;103.0;1.1;0.0
3145;Total output prices;0812121 Gravel and pebbles of a kind...;2012;102.7;1.1;
3146;Total output prices;0812121 Gravel and pebbles of a kind...;2013 January;102.9;0.9;-0.1
3147;Total output prices;0812121 Gravel and pebbles of a kind...;2013 February;102.9;0.9;0.0
3148;Total output prices;0812121 Gravel and pebbles of a kind...;2013 March;102.9;0.9;0.0
3149;Total output prices;0812121 Gravel and pebbles of a kind...;2013 April;101.0;-1.8;-1.8
3150;Total output prices;0812121 Gravel and pebbles of a kind...;2013 May;101.0;-1.8;0.0
3151;Total output prices;0812121 Gravel and pebbles of a kind...;2013 June;100.9;-2.0;-0.1
3152;Total output prices;0812121 Gravel and pebbles of a kind...;2013 July;100.6;-2.3;-0.3
3153;Total output prices;0812121 Gravel and pebbles of a kind...;2013 August;100.6;-2.3;0.0
3154;Total output prices;0812121 Gravel and pebbles of a kind...;2013 September;98.2;-4.6;-2.3
3155;Total output prices;0812121 Gravel and pebbles of a kind...;2013 October;97.8;-5.1;-0.4
3156;Total output prices;0812121 Gravel and pebbles of a kind...;2013 November;97.8;-5.1;0.0
3157;Total output prices;0812121 Gravel and pebbles of a kind...;2013 December;97.8;-5.1;0.0
3158;Total output prices;0812121 Gravel and pebbles of a kind...;2013;100.4;-2.3;
3159;Total output prices;0812121 Gravel and pebbles of a kind...;2014 January;97.8;-4.9;0.0
3160;Total output prices;0812121 Gravel and pebbles of a kind...;2014 February;97.1;-5.6;-0.7
3161;Total output prices;0812121 Gravel and pebbles of a kind...;2014 March;97.1;-5.6;0.0
3162;Total output prices;0812121 Gravel and pebbles of a kind...;2014 April;97.1;-3.8;0.0
3163;Total output prices;0812121 Gravel and pebbles of a kind...;2014 May;97.1;-3.8;0.0
3164;Total output prices;0812121 Gravel and pebbles of a kind...;2014 June;97.1;-3.7;0.0
3165;Total output prices;0812121 Gravel and pebbles of a kind...;2014 July;99.2;-1.4;2.1
3166;Total output prices;0812121 Gravel and pebbles of a kind...;2014 August;99.2;-1.4;0.0
3167;Total output prices;0812121 Gravel and pebbles of a kind...;2014 September;99.2;1.0;0.0
3168;Total output prices;0812121 Gravel and pebbles of a kind...;2014 October;98.1;0.3;-1.1
3169;Total output prices;0812121 Gravel and pebbles of a kind...;2014 November;98.7;0.9;0.6
3170;Total output prices;0812121 Gravel and pebbles of a kind...;2014 December;98.7;1.0;0.0
3171;Total output prices;0812121 Gravel and pebbles of a kind...;2014;98.1;-2.3;
3172;Total output prices;0812121 Gravel and pebbles of a kind...;2015 January;100.0;2.2;1.3
3173;Total output prices;0812121 Gravel and pebbles of a kind...;2015 February;100.3;3.2;0.3
3174;Total output prices;0812121 Gravel and pebbles of a kind...;2015 March;102.0;5.0;1.7
3175;Total output prices;0812121 Gravel and pebbles of a kind...;2015 April;102.1;5.1;0.1
3176;Total output prices;0812121 Gravel and pebbles of a kind...;2015 May;101.9;4.9;-0.1
3177;Total output prices;0812121 Gravel and pebbles of a kind...;2015 June;101.9;4.9;0.0
3178;Total output prices;0812121 Gravel and pebbles of a kind...;2015 July;100.9;1.8;-0.9
3179;Total output prices;0812121 Gravel and pebbles of a kind...;2015 August;101.3;2.1;0.4
3180;Total output prices;0812121 Gravel and pebbles of a kind...;2015 September;101.7;2.5;0.3
3181;Total output prices;0812121 Gravel and pebbles of a kind...;2015 October;100.9;2.8;-0.7
3182;Total output prices;0812121 Gravel and pebbles of a kind...;2015 November;101.1;2.4;0.1
3183;Total output prices;0812121 Gravel and pebbles of a kind...;2015 December;101.3;2.6;0.2
3184;Total output prices;0812121 Gravel and pebbles of a kind...;2015;101.3;3.3;
3185;Total output prices;0812121 Gravel and pebbles of a kind...;2016 January;;;
3186;Total output prices;0812121 Gravel and pebbles of a kind...;2016 February;;;
3187;Total output prices;0812121 Gravel and pebbles of a kind...;2016 March;;;
3188;Total output prices;0812121 Gravel and pebbles of a kind...;2016 April;;;
3189;Total output prices;0812121 Gravel and pebbles of a kind...;2016 May;;;
3190;Total output prices;0812121 Gravel and pebbles of a kind...;2016 June;;;
3191;Total output prices;0812121 Gravel and pebbles of a kind...;2016 July;103.4;2.4;
3192;Total output prices;0812121 Gravel and pebbles of a kind...;2016 August;102.1;0.7;-1.3
3193;Total output prices;0812121 Gravel and pebbles of a kind...;2016 September;102.5;0.8;0.4
3194;Total output prices;0812121 Gravel and pebbles of a kind...;2016 October;103.0;2.0;0.5
3195;Total output prices;0812121 Gravel and pebbles of a kind...;2016 November;102.6;1.5;-0.4
3196;Total output prices;0812121 Gravel and pebbles of a kind...;2016 December;102.5;1.2;-0.1
3197;Total output prices;0812121 Gravel and pebbles of a kind...;2016;103.3;2.0;
3198;Total output prices;0812121 Gravel and pebbles of a kind...;2017 January;102.6;;0.1
3199;Total output prices;0812121 Gravel and pebbles of a kind...;2017 February;103.5;;0.9
3200;Total output prices;0812121 Gravel and pebbles of a kind...;2017 March;103.7;;0.2
3201;Total output prices;0812121 Gravel and pebbles of a kind...;2017 April;104.1;;0.4
3202;Total output prices;0812121 Gravel and pebbles of a kind...;2017 May;104.0;;-0.1
3203;Total output prices;0812121 Gravel and pebbles of a kind...;2017 June;104.1;;0.1
3204;Total output prices;0812121 Gravel and pebbles of a kind...;2017 July;102.7;-0.7;-1.4
3205;Total output prices;0812121 Gravel and pebbles of a kind...;2017 August;103.9;1.8;1.2
3206;Total output prices;0812121 Gravel and pebbles of a kind...;2017 September;104.0;1.5;0.1
3207;Total output prices;0812121 Gravel and pebbles of a kind...;2017 October;103.8;0.8;-0.2
3208;Total output prices;0812121 Gravel and pebbles of a kind...;2017 November;102.2;-0.4;-1.6
3209;Total output prices;0812121 Gravel and pebbles of a kind...;2017 December;103.8;1.3;1.6
3210;Total output prices;0812121 Gravel and pebbles of a kind...;2017;103.5;;
3211;Total output prices;0812123 Crushed stone of a kind used...;2005 January;88.4;1.8;-0.3
3212;Total output prices;0812123 Crushed stone of a kind used...;2005 February;88.4;1.8;0.0
3213;Total output prices;0812123 Crushed stone of a kind used...;2005 March;88.4;1.8;0.0
3214;Total output prices;0812123 Crushed stone of a kind used...;2005 April;88.8;1.5;0.5
3215;Total output prices;0812123 Crushed stone of a kind used...;2005 May;88.8;1.5;0.0
3216;Total output prices;0812123 Crushed stone of a kind used...;2005 June;88.8;1.5;0.0
3217;Total output prices;0812123 Crushed stone of a kind used...;2005 July;89.1;0.0;0.3
3218;Total output prices;0812123 Crushed stone of a kind used...;2005 August;89.1;0.0;0.0
3219;Total output prices;0812123 Crushed stone of a kind used...;2005 September;89.1;0.0;0.0
3220;Total output prices;0812123 Crushed stone of a kind used...;2005 October;89.3;0.7;0.2
3221;Total output prices;0812123 Crushed stone of a kind used...;2005 November;89.3;0.7;0.0
3222;Total output prices;0812123 Crushed stone of a kind used...;2005 December;89.3;0.7;0.0
3223;Total output prices;0812123 Crushed stone of a kind used...;2005;88.9;1.0;
3224;Total output prices;0812123 Crushed stone of a kind used...;2006 January;87.6;-1.0;-1.9
3225;Total output prices;0812123 Crushed stone of a kind used...;2006 February;87.5;-1.0;-0.1
3226;Total output prices;0812123 Crushed stone of a kind used...;2006 March;87.5;-1.0;0.0
3227;Total output prices;0812123 Crushed stone of a kind used...;2006 April;88.0;-0.9;0.6
3228;Total output prices;0812123 Crushed stone of a kind used...;2006 May;88.0;-0.9;0.0
3229;Total output prices;0812123 Crushed stone of a kind used...;2006 June;88.0;-0.9;0.0
3230;Total output prices;0812123 Crushed stone of a kind used...;2006 July;88.3;-0.9;0.3
3231;Total output prices;0812123 Crushed stone of a kind used...;2006 August;88.3;-0.9;0.0
3232;Total output prices;0812123 Crushed stone of a kind used...;2006 September;88.3;-0.9;0.0
3233;Total output prices;0812123 Crushed stone of a kind used...;2006 October;88.5;-0.8;0.3
3234;Total output prices;0812123 Crushed stone of a kind used...;2006 November;88.5;-0.8;0.0
3235;Total output prices;0812123 Crushed stone of a kind used...;2006 December;88.5;-0.8;0.0
3236;Total output prices;0812123 Crushed stone of a kind used...;2006;88.1;-0.9;
3237;Total output prices;0812123 Crushed stone of a kind used...;2007 January;94.2;7.6;6.5
3238;Total output prices;0812123 Crushed stone of a kind used...;2007 February;94.2;7.7;0.0
3239;Total output prices;0812123 Crushed stone of a kind used...;2007 March;94.2;7.7;0.0
3240;Total output prices;0812123 Crushed stone of a kind used...;2007 April;94.8;7.7;0.6
3241;Total output prices;0812123 Crushed stone of a kind used...;2007 May;94.8;7.7;0.0
3242;Total output prices;0812123 Crushed stone of a kind used...;2007 June;94.8;7.7;0.0
3243;Total output prices;0812123 Crushed stone of a kind used...;2007 July;94.9;7.5;0.1
3244;Total output prices;0812123 Crushed stone of a kind used...;2007 August;94.9;7.5;0.0
3245;Total output prices;0812123 Crushed stone of a kind used...;2007 September;94.9;7.5;0.0
3246;Total output prices;0812123 Crushed stone of a kind used...;2007 October;95.0;7.3;0.1
3247;Total output prices;0812123 Crushed stone of a kind used...;2007 November;95.0;7.3;0.0
3248;Total output prices;0812123 Crushed stone of a kind used...;2007 December;95.0;7.3;0.0
3249;Total output prices;0812123 Crushed stone of a kind used...;2007;94.7;7.5;
3250;Total output prices;0812123 Crushed stone of a kind used...;2008 January;98.9;4.9;4.1
3251;Total output prices;0812123 Crushed stone of a kind used...;2008 February;98.9;4.9;0.0
3252;Total output prices;0812123 Crushed stone of a kind used...;2008 March;98.9;4.9;0.0
3253;Total output prices;0812123 Crushed stone of a kind used...;2008 April;98.5;3.9;-0.4
3254;Total output prices;0812123 Crushed stone of a kind used...;2008 May;98.5;3.9;0.0
3255;Total output prices;0812123 Crushed stone of a kind used...;2008 June;98.5;3.9;0.0
3256;Total output prices;0812123 Crushed stone of a kind used...;2008 July;99.5;4.8;1.1
3257;Total output prices;0812123 Crushed stone of a kind used...;2008 August;99.5;4.8;0.0
3258;Total output prices;0812123 Crushed stone of a kind used...;2008 September;99.5;4.8;0.0
3259;Total output prices;0812123 Crushed stone of a kind used...;2008 October;99.6;4.9;0.1
3260;Total output prices;0812123 Crushed stone of a kind used...;2008 November;99.6;4.9;0.0
3261;Total output prices;0812123 Crushed stone of a kind used...;2008 December;99.6;4.9;0.0
3262;Total output prices;0812123 Crushed stone of a kind used...;2008;99.1;4.6;
3263;Total output prices;0812123 Crushed stone of a kind used...;2009 January;100.6;1.7;1.0
3264;Total output prices;0812123 Crushed stone of a kind used...;2009 February;100.6;1.7;0.0
3265;Total output prices;0812123 Crushed stone of a kind used...;2009 March;100.6;1.7;0.0
3266;Total output prices;0812123 Crushed stone of a kind used...;2009 April;99.8;1.4;-0.7
3267;Total output prices;0812123 Crushed stone of a kind used...;2009 May;99.8;1.4;0.0
3268;Total output prices;0812123 Crushed stone of a kind used...;2009 June;99.8;1.4;0.0
3269;Total output prices;0812123 Crushed stone of a kind used...;2009 July;99.8;0.2;-0.1
3270;Total output prices;0812123 Crushed stone of a kind used...;2009 August;99.8;0.2;0.0
3271;Total output prices;0812123 Crushed stone of a kind used...;2009 September;99.8;0.2;0.0
3272;Total output prices;0812123 Crushed stone of a kind used...;2009 October;99.6;0.0;-0.1
3273;Total output prices;0812123 Crushed stone of a kind used...;2009 November;99.6;0.0;0.0
3274;Total output prices;0812123 Crushed stone of a kind used...;2009 December;99.6;0.0;0.0
3275;Total output prices;0812123 Crushed stone of a kind used...;2009;100.0;0.8;
3276;Total output prices;0812123 Crushed stone of a kind used...;2010 January;100.1;-0.5;0.5
3277;Total output prices;0812123 Crushed stone of a kind used...;2010 February;100.1;-0.5;0.0
3278;Total output prices;0812123 Crushed stone of a kind used...;2010 March;100.1;-0.5;0.0
3279;Total output prices;0812123 Crushed stone of a kind used...;2010 April;100.0;0.2;-0.1
3280;Total output prices;0812123 Crushed stone of a kind used...;2010 May;100.0;0.2;0.0
3281;Total output prices;0812123 Crushed stone of a kind used...;2010 June;100.0;0.2;0.0
3282;Total output prices;0812123 Crushed stone of a kind used...;2010 July;99.9;0.2;-0.1
3283;Total output prices;0812123 Crushed stone of a kind used...;2010 August;99.9;0.2;0.0
3284;Total output prices;0812123 Crushed stone of a kind used...;2010 September;99.9;0.2;0.0
3285;Total output prices;0812123 Crushed stone of a kind used...;2010 October;99.9;0.3;0.0
3286;Total output prices;0812123 Crushed stone of a kind used...;2010 November;99.9;0.3;0.0
3287;Total output prices;0812123 Crushed stone of a kind used...;2010 December;99.9;0.3;0.0
3288;Total output prices;0812123 Crushed stone of a kind used...;2010;100.0;0.0;
3289;Total output prices;0812123 Crushed stone of a kind used...;2011 January;99.3;-0.8;-0.6
3290;Total output prices;0812123 Crushed stone of a kind used...;2011 February;99.3;-0.8;0.0
3291;Total output prices;0812123 Crushed stone of a kind used...;2011 March;99.3;-0.8;0.0
3292;Total output prices;0812123 Crushed stone of a kind used...;2011 April;99.9;-0.1;0.6
3293;Total output prices;0812123 Crushed stone of a kind used...;2011 May;99.9;-0.1;0.0
3294;Total output prices;0812123 Crushed stone of a kind used...;2011 June;99.9;-0.1;0.0
3295;Total output prices;0812123 Crushed stone of a kind used...;2011 July;100.0;0.0;0.1
3296;Total output prices;0812123 Crushed stone of a kind used...;2011 August;100.0;0.0;0.0
3297;Total output prices;0812123 Crushed stone of a kind used...;2011 September;100.0;0.0;0.0
3298;Total output prices;0812123 Crushed stone of a kind used...;2011 October;99.8;-0.1;-0.1
3299;Total output prices;0812123 Crushed stone of a kind used...;2011 November;99.8;-0.1;0.0
3300;Total output prices;0812123 Crushed stone of a kind used...;2011 December;99.8;-0.1;0.0
3301;Total output prices;0812123 Crushed stone of a kind used...;2011;99.8;-0.2;
3302;Total output prices;0812123 Crushed stone of a kind used...;2012 January;102.5;3.2;2.7
3303;Total output prices;0812123 Crushed stone of a kind used...;2012 February;102.5;3.2;0.0
3304;Total output prices;0812123 Crushed stone of a kind used...;2012 March;102.5;3.2;0.0
3305;Total output prices;0812123 Crushed stone of a kind used...;2012 April;108.3;8.4;5.7
3306;Total output prices;0812123 Crushed stone of a kind used...;2012 May;;;
3307;Total output prices;0812123 Crushed stone of a kind used...;2012 June;;;
3308;Total output prices;0812123 Crushed stone of a kind used...;2012 July;;;
3309;Total output prices;0812123 Crushed stone of a kind used...;2012 August;;;
3310;Total output prices;0812123 Crushed stone of a kind used...;2012 September;;;
3311;Total output prices;0812123 Crushed stone of a kind used...;2012 October;;;
3312;Total output prices;0812123 Crushed stone of a kind used...;2012 November;;;
3313;Total output prices;0812123 Crushed stone of a kind used...;2012 December;;;
3314;Total output prices;0812123 Crushed stone of a kind used...;2012;106.5;6.7;
3315;Total output prices;0812123 Crushed stone of a kind used...;2013 January;;;
3316;Total output prices;0812123 Crushed stone of a kind used...;2013 February;;;
3317;Total output prices;0812123 Crushed stone of a kind used...;2013 March;;;
3318;Total output prices;0812123 Crushed stone of a kind used...;2013 April;;;
3319;Total output prices;0812123 Crushed stone of a kind used...;2013 May;;;
3320;Total output prices;0812123 Crushed stone of a kind used...;2013 June;;;
3321;Total output prices;0812123 Crushed stone of a kind used...;2013 July;;;
3322;Total output prices;0812123 Crushed stone of a kind used...;2013 August;;;
3323;Total output prices;0812123 Crushed stone of a kind used...;2013 September;;;
3324;Total output prices;0812123 Crushed stone of a kind used...;2013 October;;;
3325;Total output prices;0812123 Crushed stone of a kind used...;2013 November;;;
3326;Total output prices;0812123 Crushed stone of a kind used...;2013 December;;;
3327;Total output prices;0812123 Crushed stone of a kind used...;2013;;;
3328;Total output prices;0812123 Crushed stone of a kind used...;2014 January;;;
3329;Total output prices;0812123 Crushed stone of a kind used...;2014 February;;;
3330;Total output prices;0812123 Crushed stone of a kind used...;2014 March;;;
3331;Total output prices;0812123 Crushed stone of a kind used...;2014 April;;;
3332;Total output prices;0812123 Crushed stone of a kind used...;2014 May;;;
3333;Total output prices;0812123 Crushed stone of a kind used...;2014 June;;;
3334;Total output prices;0812123 Crushed stone of a kind used...;2014 July;;;
3335;Total output prices;0812123 Crushed stone of a kind used...;2014 August;;;
3336;Total output prices;0812123 Crushed stone of a kind used...;2014 September;;;
3337;Total output prices;0812123 Crushed stone of a kind used...;2014 October;;;
3338;Total output prices;0812123 Crushed stone of a kind used...;2014 November;;;
3339;Total output prices;0812123 Crushed stone of a kind used...;2014 December;;;
3340;Total output prices;0812123 Crushed stone of a kind used...;2014;;;
3341;Total output prices;0812123 Crushed stone of a kind used...;2015 January;;;
3342;Total output prices;0812123 Crushed stone of a kind used...;2015 February;;;
3343;Total output prices;0812123 Crushed stone of a kind used...;2015 March;;;
3344;Total output prices;0812123 Crushed stone of a kind used...;2015 April;;;
3345;Total output prices;0812123 Crushed stone of a kind used...;2015 May;;;
3346;Total output prices;0812123 Crushed stone of a kind used...;2015 June;;;
3347;Total output prices;0812123 Crushed stone of a kind used...;2015 July;;;
3348;Total output prices;0812123 Crushed stone of a kind used...;2015 August;;;
3349;Total output prices;0812123 Crushed stone of a kind used...;2015 September;;;
3350;Total output prices;0812123 Crushed stone of a kind used...;2015 October;;;
3351;Total output prices;0812123 Crushed stone of a kind used...;2015 November;;;
3352;Total output prices;0812123 Crushed stone of a kind used...;2015 December;;;
3353;Total output prices;0812123 Crushed stone of a kind used...;2015;;;
3354;Total output prices;0812123 Crushed stone of a kind used...;2016 January;;;
3355;Total output prices;0812123 Crushed stone of a kind used...;2016 February;;;
3356;Total output prices;0812123 Crushed stone of a kind used...;2016 March;;;
3357;Total output prices;0812123 Crushed stone of a kind used...;2016 April;;;
3358;Total output prices;0812123 Crushed stone of a kind used...;2016 May;;;
3359;Total output prices;0812123 Crushed stone of a kind used...;2016 June;;;
3360;Total output prices;0812123 Crushed stone of a kind used...;2016 July;;;
3361;Total output prices;0812123 Crushed stone of a kind used...;2016 August;;;
3362;Total output prices;0812123 Crushed stone of a kind used...;2016 September;;;
3363;Total output prices;0812123 Crushed stone of a kind used...;2016 October;;;
3364;Total output prices;0812123 Crushed stone of a kind used...;2016 November;;;
3365;Total output prices;0812123 Crushed stone of a kind used...;2016 December;;;
3366;Total output prices;0812123 Crushed stone of a kind used...;2016;;;
3367;Total output prices;0812123 Crushed stone of a kind used...;2017 January;;;
3368;Total output prices;0812123 Crushed stone of a kind used...;2017 February;;;
3369;Total output prices;0812123 Crushed stone of a kind used...;2017 March;;;
3370;Total output prices;0812123 Crushed stone of a kind used...;2017 April;;;
3371;Total output prices;0812123 Crushed stone of a kind used...;2017 May;;;
3372;Total output prices;0812123 Crushed stone of a kind used...;2017 June;;;
3373;Total output prices;0812123 Crushed stone of a kind used...;2017 July;;;
3374;Total output prices;0812123 Crushed stone of a kind used...;2017 August;;;
