ID;Sex;Age;Periods;TotalVictimsOfMurderAndManslaughter_1;VictimsMurderManslaughterRelative_2;HangingStrangulationOrSuffocation_3;BeatingOrKicking_4;Firearm_5;StabbingWeapon_6;OtherOrUnknownMethod_7;HouseOfTheVictimOrOthers_8;LocationForTradeAndServices_9;PublicRoad_10;OtherOrUnknownLocation_11
233;Men;30 to 39 years;1999;50;37.4;0.0;3.0;30.0;15.0;2.0;15.0;2.0;21.0;12.0
234;Men;30 to 39 years;2000;43;32.0;0.0;0.0;28.0;12.0;3.0;10.0;6.0;14.0;13.0
235;Men;30 to 39 years;2001;47;34.9;0.0;1.0;24.0;18.0;4.0;16.0;3.0;17.0;11.0
236;Men;30 to 39 years;2002;53;39.6;0.0;2.0;29.0;19.0;3.0;21.0;4.0;18.0;10.0
237;Men;30 to 39 years;2003;44;33.4;1.0;0.0;27.0;12.0;4.0;15.0;4.0;17.0;8.0
238;Men;30 to 39 years;2004;45;35.0;3.0;3.0;18.0;21.0;0.0;13.0;7.0;19.0;6.0
239;Men;30 to 39 years;2005;29;23.3;0.0;0.0;19.0;7.0;3.0;12.0;5.0;12.0;0.0
240;Men;30 to 39 years;2006;28;23.2;1.0;1.0;14.0;11.0;1.0;15.0;2.0;5.0;6.0
241;Men;30 to 39 years;2007;23;19.6;0.0;0.0;12.0;8.0;3.0;12.0;3.0;5.0;3.0
242;Men;30 to 39 years;2008;38;33.4;1.0;0.0;18.0;16.0;3.0;14.0;3.0;17.0;4.0
243;Men;30 to 39 years;2009;29;26.2;1.0;0.0;15.0;13.0;0.0;13.0;3.0;9.0;4.0
244;Men;30 to 39 years;2010;20;18.6;0.0;0.0;9.0;10.0;1.0;7.0;2.0;8.0;3.0
245;Men;30 to 39 years;2011;23;21.9;1.0;0.0;11.0;8.0;3.0;7.0;3.0;6.0;7.0
246;Men;30 to 39 years;2012;19;18.4;0.0;2.0;12.0;4.0;1.0;9.0;3.0;5.0;2.0
247;Men;30 to 39 years;2013;22;21.7;0.0;3.0;12.0;5.0;2.0;8.0;1.0;10.0;3.0
248;Men;30 to 39 years;2014;26;25.8;;;;;;;;;
249;Men;30 to 39 years;2015;17;16.8;;;;;;;;;
250;Men;30 to 39 years;2016;18;17.6;;;;;;;;;
251;Men;30 to 39 years;2017;22;21.2;;;;;;;;;
252;Men;30 to 39 years;2018;13;12.4;;;;;;;;;
253;Men;40 to 49 years;1996;28;23.5;1.0;1.0;14.0;7.0;5.0;12.0;2.0;4.0;10.0
254;Men;40 to 49 years;1997;28;23.7;1.0;1.0;15.0;9.0;2.0;7.0;0.0;10.0;11.0
255;Men;40 to 49 years;1998;31;26.3;3.0;1.0;14.0;12.0;1.0;9.0;1.0;11.0;10.0
256;Men;40 to 49 years;1999;35;29.5;2.0;4.0;16.0;11.0;2.0;18.0;3.0;9.0;5.0
257;Men;40 to 49 years;2000;34;28.4;0.0;1.0;20.0;12.0;1.0;15.0;4.0;6.0;9.0
258;Men;40 to 49 years;2001;39;32.1;0.0;3.0;20.0;14.0;2.0;19.0;1.0;13.0;6.0
259;Men;40 to 49 years;2002;21;17.1;0.0;1.0;6.0;12.0;2.0;13.0;1.0;6.0;1.0
260;Men;40 to 49 years;2003;24;19.3;1.0;2.0;10.0;7.0;4.0;11.0;3.0;7.0;3.0
261;Men;40 to 49 years;2004;28;22.2;1.0;2.0;14.0;8.0;3.0;10.0;4.0;11.0;3.0
262;Men;40 to 49 years;2005;30;23.5;2.0;0.0;16.0;6.0;6.0;12.0;6.0;10.0;2.0
263;Men;40 to 49 years;2006;22;17.1;1.0;2.0;12.0;3.0;4.0;6.0;4.0;7.0;5.0
264;Men;40 to 49 years;2007;21;16.3;0.0;2.0;9.0;10.0;0.0;11.0;2.0;7.0;1.0
265;Men;40 to 49 years;2008;28;21.6;0.0;2.0;14.0;11.0;1.0;10.0;3.0;7.0;8.0
266;Men;40 to 49 years;2009;19;14.6;1.0;4.0;4.0;9.0;1.0;9.0;2.0;7.0;1.0
267;Men;40 to 49 years;2010;18;13.8;1.0;0.0;7.0;9.0;1.0;6.0;0.0;7.0;5.0
268;Men;40 to 49 years;2011;25;19.1;0.0;1.0;12.0;10.0;2.0;12.0;4.0;5.0;4.0
269;Men;40 to 49 years;2012;28;21.6;1.0;2.0;17.0;7.0;1.0;7.0;3.0;13.0;5.0
270;Men;40 to 49 years;2013;16;12.5;0.0;2.0;9.0;3.0;2.0;5.0;2.0;3.0;6.0
271;Men;40 to 49 years;2014;28;22.4;;;;;;;;;
272;Men;40 to 49 years;2015;17;13.9;;;;;;;;;
273;Men;40 to 49 years;2016;13;11.8;;;;;;;;;
274;Men;40 to 49 years;2017;23;19.8;;;;;;;;;
275;Men;40 to 49 years;2018;12;10.5;;;;;;;;;
276;Men;50 to 59 years;1996;21;24.0;0.0;2.0;8.0;10.0;1.0;6.0;3.0;3.0;9.0
277;Men;50 to 59 years;1997;16;17.3;1.0;1.0;6.0;6.0;2.0;3.0;2.0;3.0;8.0
278;Men;50 to 59 years;1998;12;12.4;0.0;1.0;3.0;8.0;0.0;5.0;1.0;4.0;2.0
279;Men;50 to 59 years;1999;16;16.0;0.0;2.0;5.0;7.0;2.0;11.0;0.0;1.0;4.0
280;Men;50 to 59 years;2000;15;14.5;2.0;0.0;4.0;5.0;4.0;8.0;3.0;2.0;2.0
281;Men;50 to 59 years;2001;24;22.7;2.0;1.0;4.0;13.0;4.0;11.0;1.0;6.0;6.0
282;Men;50 to 59 years;2002;22;20.3;0.0;3.0;10.0;8.0;1.0;14.0;1.0;6.0;1.0
283;Men;50 to 59 years;2003;23;20.8;0.0;2.0;6.0;10.0;5.0;9.0;3.0;2.0;9.0
284;Men;50 to 59 years;2004;25;22.3;1.0;3.0;8.0;11.0;2.0;8.0;2.0;10.0;5.0
285;Men;50 to 59 years;2005;15;13.2;1.0;2.0;4.0;7.0;1.0;8.0;2.0;2.0;3.0
286;Men;50 to 59 years;2006;11;9.7;0.0;0.0;3.0;4.0;4.0;7.0;1.0;0.0;3.0
287;Men;50 to 59 years;2007;20;17.7;1.0;3.0;4.0;10.0;2.0;9.0;3.0;5.0;3.0
288;Men;50 to 59 years;2008;14;12.4;2.0;1.0;3.0;6.0;2.0;8.0;0.0;3.0;3.0
289;Men;50 to 59 years;2009;24;21.2;3.0;3.0;7.0;9.0;2.0;13.0;3.0;7.0;1.0
290;Men;50 to 59 years;2010;13;11.4;1.0;2.0;2.0;6.0;2.0;5.0;1.0;4.0;3.0
291;Men;50 to 59 years;2011;19;16.4;0.0;2.0;4.0;12.0;1.0;13.0;2.0;2.0;2.0
292;Men;50 to 59 years;2012;12;10.2;1.0;1.0;6.0;3.0;1.0;7.0;1.0;1.0;3.0
293;Men;50 to 59 years;2013;9;7.6;0.0;1.0;1.0;6.0;1.0;6.0;1.0;0.0;2.0
294;Men;50 to 59 years;2014;14;11.6;;;;;;;;;
295;Men;50 to 59 years;2015;12;9.8;;;;;;;;;
296;Men;50 to 59 years;2016;8;7.3;;;;;;;;;
297;Men;50 to 59 years;2017;18;14.5;;;;;;;;;
298;Men;50 to 59 years;2018;13;10.4;;;;;;;;;
299;Men;60 years or older;1996;19;16.2;3.0;5.0;2.0;6.0;3.0;12.0;0.0;3.0;4.0
300;Men;60 years or older;1997;12;10.1;3.0;1.0;0.0;4.0;4.0;2.0;0.0;3.0;7.0
301;Men;60 years or older;1998;16;13.3;2.0;2.0;1.0;5.0;6.0;4.0;0.0;0.0;12.0
302;Men;60 years or older;1999;12;9.8;0.0;4.0;1.0;6.0;1.0;6.0;0.0;2.0;4.0
303;Men;60 years or older;2000;7;5.6;1.0;1.0;2.0;2.0;1.0;4.0;1.0;0.0;2.0
304;Men;60 years or older;2001;17;13.4;1.0;1.0;3.0;10.0;2.0;13.0;0.0;3.0;1.0
305;Men;60 years or older;2002;11;8.5;0.0;7.0;1.0;2.0;1.0;5.0;1.0;3.0;2.0
306;Men;60 years or older;2003;21;29.6;2.0;5.0;1.0;9.0;4.0;9.0;3.0;5.0;4.0
307;Men;60 years or older;2004;22;16.2;2.0;5.0;2.0;12.0;1.0;17.0;0.0;3.0;2.0
308;Men;60 years or older;2005;17;12.2;3.0;1.0;1.0;8.0;4.0;13.0;1.0;1.0;2.0
309;Men;60 years or older;2006;12;8.3;1.0;1.0;0.0;7.0;3.0;10.0;0.0;0.0;2.0
310;Men;60 years or older;2007;9;6.0;0.0;2.0;2.0;4.0;1.0;3.0;2.0;3.0;1.0
311;Men;60 years or older;2008;12;7.7;1.0;3.0;0.0;6.0;2.0;7.0;1.0;1.0;3.0
312;Men;60 years or older;2009;11;7.7;0.0;1.0;2.0;4.0;4.0;7.0;0.0;2.0;2.0
313;Men;60 years or older;2010;13;7.8;0.0;0.0;4.0;8.0;1.0;11.0;1.0;1.0;0.0
314;Men;60 years or older;2011;11;6.4;2.0;5.0;2.0;1.0;1.0;7.0;1.0;2.0;1.0
315;Men;60 years or older;2012;13;7.4;1.0;4.0;1.0;5.0;2.0;8.0;0.0;1.0;4.0
316;Men;60 years or older;2013;10;5.5;2.0;0.0;0.0;6.0;2.0;8.0;0.0;0.0;2.0
317;Men;60 years or older;2014;13;7.0;;;;;;;;;
318;Men;60 years or older;2015;5;2.6;;;;;;;;;
319;Men;60 years or older;2016;11;6.1;;;;;;;;;
320;Men;60 years or older;2017;13;6.5;;;;;;;;;
321;Men;60 years or older;2018;12;5.8;;;;;;;;;
322;Women;Total all ages;1996;69;8.8;16.0;1.0;13.0;26.0;13.0;39.0;0.0;2.0;28.0
323;Women;Total all ages;1997;67;8.5;20.0;1.0;11.0;21.0;14.0;33.0;1.0;5.0;28.0
324;Women;Total all ages;1998;50;6.3;14.0;1.0;11.0;17.0;7.0;22.0;1.0;3.0;24.0
325;Women;Total all ages;1999;62;7.8;14.0;7.0;10.0;23.0;8.0;30.0;0.0;8.0;24.0
326;Women;Total all ages;2000;70;8.7;20.0;1.0;7.0;25.0;17.0;47.0;1.0;4.0;18.0
327;Women;Total all ages;2001;86;10.6;9.0;2.0;13.0;38.0;24.0;65.0;1.0;7.0;13.0
328;Women;Total all ages;2002;65;8.0;13.0;4.0;11.0;21.0;16.0;44.0;1.0;9.0;11.0
329;Women;Total all ages;2003;88;10.7;11.0;5.0;18.0;35.0;19.0;54.0;1.0;11.0;22.0
330;Women;Total all ages;2004;59;7.2;15.0;3.0;12.0;17.0;12.0;39.0;1.0;10.0;9.0
331;Women;Total all ages;2005;67;8.1;16.0;0.0;10.0;26.0;15.0;52.0;2.0;5.0;8.0
332;Women;Total all ages;2006;56;6.8;6.0;4.0;7.0;23.0;16.0;34.0;4.0;6.0;12.0
333;Women;Total all ages;2007;51;6.2;11.0;5.0;8.0;20.0;7.0;39.0;4.0;3.0;5.0
334;Women;Total all ages;2008;50;6.0;7.0;7.0;8.0;21.0;7.0;44.0;0.0;4.0;2.0
335;Women;Total all ages;2009;49;5.9;8.0;6.0;6.0;21.0;8.0;36.0;2.0;5.0;6.0
336;Women;Total all ages;2010;57;6.8;8.0;10.0;7.0;28.0;4.0;51.0;2.0;2.0;2.0
337;Women;Total all ages;2011;54;6.4;9.0;5.0;15.0;21.0;4.0;42.0;8.0;1.0;3.0
338;Women;Total all ages;2012;53;6.3;11.0;6.0;6.0;27.0;3.0;44.0;1.0;3.0;5.0
339;Women;Total all ages;2013;58;6.8;14.0;3.0;5.0;25.0;11.0;49.0;2.0;5.0;2.0
340;Women;Total all ages;2014;31;3.6;6.0;4.0;1.0;18.0;2.0;25.0;0.0;5.0;1.0
341;Women;Total all ages;2015;43;5.0;11.0;4.0;5.0;22.0;1.0;36.0;0.0;3.0;4.0
342;Women;Total all ages;2016;34;4.0;7.0;6.0;3.0;16.0;2.0;26.0;0.0;4.0;4.0
343;Women;Total all ages;2017;46;5.3;7.0;10.0;4.0;21.0;4.0;33.0;1.0;3.0;9.0
344;Women;Total all ages;2018;43;5.0;13.0;3.0;7.0;20.0;0.0;41.0;0.0;1.0;1.0
345;Women;Younger than 20 years;1996;13;7.0;2.0;0.0;1.0;4.0;6.0;8.0;0.0;1.0;4.0
346;Women;Younger than 20 years;1997;13;7.0;7.0;0.0;0.0;1.0;5.0;7.0;0.0;0.0;6.0
347;Women;Younger than 20 years;1998;8;4.3;1.0;0.0;1.0;3.0;3.0;2.0;0.0;1.0;5.0
348;Women;Younger than 20 years;1999;11;5.8;6.0;0.0;1.0;2.0;2.0;4.0;0.0;0.0;7.0
349;Women;Younger than 20 years;2000;12;6.3;3.0;0.0;0.0;5.0;4.0;5.0;0.0;2.0;5.0
350;Women;Younger than 20 years;2001;13;6.8;2.0;0.0;2.0;5.0;4.0;9.0;0.0;1.0;3.0
351;Women;Younger than 20 years;2002;12;6.2;2.0;0.0;0.0;2.0;8.0;10.0;0.0;0.0;2.0
352;Women;Younger than 20 years;2003;8;4.1;1.0;2.0;0.0;4.0;1.0;7.0;0.0;0.0;1.0
353;Women;Younger than 20 years;2004;5;2.6;1.0;0.0;1.0;1.0;2.0;3.0;0.0;0.0;2.0
354;Women;Younger than 20 years;2005;13;6.7;6.0;0.0;0.0;4.0;3.0;12.0;0.0;0.0;1.0
355;Women;Younger than 20 years;2006;12;6.2;3.0;0.0;0.0;2.0;7.0;8.0;0.0;1.0;3.0
356;Women;Younger than 20 years;2007;11;5.7;3.0;3.0;0.0;1.0;4.0;6.0;2.0;1.0;2.0
357;Women;Younger than 20 years;2008;9;4.7;3.0;4.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0
358;Women;Younger than 20 years;2009;9;4.7;1.0;1.0;1.0;4.0;2.0;8.0;1.0;0.0;0.0
359;Women;Younger than 20 years;2010;9;4.7;1.0;3.0;2.0;2.0;1.0;9.0;0.0;0.0;0.0
360;Women;Younger than 20 years;2011;8;4.2;4.0;1.0;1.0;0.0;2.0;5.0;3.0;0.0;0.0
361;Women;Younger than 20 years;2012;10;5.3;1.0;3.0;0.0;6.0;0.0;8.0;0.0;1.0;1.0
362;Women;Younger than 20 years;2013;8;4.2;0.0;0.0;1.0;4.0;3.0;7.0;0.0;1.0;0.0
363;Women;Younger than 20 years;2014;4;2.1;;;;;;;;;
364;Women;Younger than 20 years;2015;6;3.2;;;;;;;;;
365;Women;Younger than 20 years;2016;3;1.6;;;;;;;;;
366;Women;Younger than 20 years;2017;8;4.3;;;;;;;;;
367;Women;Younger than 20 years;2018;3;1.6;;;;;;;;;
368;Women;20 to 29 years;1996;18;15.6;7.0;0.0;5.0;4.0;2.0;8.0;0.0;1.0;9.0
369;Women;20 to 29 years;1997;20;17.8;3.0;0.0;6.0;9.0;2.0;6.0;1.0;3.0;10.0
370;Women;20 to 29 years;1998;9;8.2;2.0;0.0;2.0;4.0;1.0;5.0;0.0;0.0;4.0
371;Women;20 to 29 years;1999;16;15.0;1.0;0.0;5.0;6.0;4.0;7.0;0.0;3.0;6.0
372;Women;20 to 29 years;2000;21;20.1;7.0;0.0;2.0;8.0;4.0;14.0;1.0;2.0;4.0
373;Women;20 to 29 years;2001;17;16.6;3.0;1.0;3.0;5.0;5.0;14.0;0.0;1.0;2.0
374;Women;20 to 29 years;2002;22;21.9;4.0;2.0;5.0;9.0;2.0;17.0;0.0;2.0;3.0
375;Women;20 to 29 years;2003;20;20.3;1.0;0.0;5.0;9.0;5.0;12.0;0.0;3.0;5.0
376;Women;20 to 29 years;2004;12;12.3;2.0;0.0;4.0;5.0;1.0;9.0;0.0;3.0;0.0
377;Women;20 to 29 years;2005;11;11.3;1.0;0.0;1.0;5.0;4.0;5.0;1.0;1.0;4.0
378;Women;20 to 29 years;2006;7;7.2;0.0;0.0;1.0;4.0;2.0;5.0;0.0;2.0;0.0
379;Women;20 to 29 years;2007;10;10.3;1.0;0.0;1.0;5.0;3.0;7.0;1.0;1.0;1.0
380;Women;20 to 29 years;2008;9;9.2;0.0;0.0;2.0;5.0;2.0;7.0;0.0;1.0;1.0
381;Women;20 to 29 years;2009;5;5.0;0.0;1.0;1.0;2.0;1.0;4.0;1.0;0.0;0.0
382;Women;20 to 29 years;2010;4;4.0;1.0;0.0;1.0;2.0;0.0;3.0;0.0;0.0;1.0
383;Women;20 to 29 years;2011;15;14.8;0.0;0.0;7.0;8.0;0.0;13.0;2.0;0.0;0.0
384;Women;20 to 29 years;2012;3;2.9;2.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0
385;Women;20 to 29 years;2013;8;7.7;2.0;1.0;2.0;1.0;2.0;6.0;0.0;2.0;0.0
386;Women;20 to 29 years;2014;5;4.8;;;;;;;;;
387;Women;20 to 29 years;2015;4;3.8;;;;;;;;;
388;Women;20 to 29 years;2016;4;3.8;;;;;;;;;
389;Women;20 to 29 years;2017;6;5.6;;;;;;;;;
390;Women;20 to 29 years;2018;9;8.3;;;;;;;;;
391;Women;30 to 39 years;1996;13;10.3;3.0;0.0;3.0;7.0;0.0;8.0;0.0;0.0;5.0
392;Women;30 to 39 years;1997;9;7.1;2.0;0.0;2.0;5.0;0.0;4.0;0.0;1.0;4.0
393;Women;30 to 39 years;1998;13;10.2;5.0;0.0;6.0;2.0;0.0;7.0;1.0;0.0;5.0
394;Women;30 to 39 years;1999;15;11.7;2.0;2.0;3.0;7.0;1.0;8.0;0.0;2.0;5.0
395;Women;30 to 39 years;2000;12;9.3;2.0;0.0;3.0;5.0;2.0;10.0;0.0;0.0;2.0
396;Women;30 to 39 years;2001;23;17.7;2.0;0.0;3.0;10.0;8.0;17.0;0.0;2.0;4.0
397;Women;30 to 39 years;2002;12;9.3;5.0;0.0;2.0;5.0;0.0;5.0;1.0;5.0;1.0
398;Women;30 to 39 years;2003;23;18.0;2.0;0.0;9.0;11.0;1.0;15.0;0.0;3.0;5.0
399;Women;30 to 39 years;2004;17;13.6;4.0;1.0;6.0;5.0;1.0;12.0;0.0;4.0;1.0
400;Women;30 to 39 years;2005;22;18.0;4.0;0.0;4.0;9.0;5.0;17.0;1.0;3.0;1.0
401;Women;30 to 39 years;2006;16;13.4;1.0;2.0;4.0;8.0;1.0;9.0;3.0;2.0;2.0
402;Women;30 to 39 years;2007;12;10.3;3.0;0.0;3.0;6.0;0.0;10.0;1.0;0.0;1.0
403;Women;30 to 39 years;2008;8;7.1;2.0;0.0;2.0;4.0;0.0;8.0;0.0;0.0;0.0
404;Women;30 to 39 years;2009;9;8.2;3.0;0.0;1.0;5.0;0.0;7.0;0.0;1.0;1.0
405;Women;30 to 39 years;2010;16;14.9;3.0;2.0;2.0;8.0;1.0;13.0;2.0;0.0;1.0
406;Women;30 to 39 years;2011;7;6.7;1.0;0.0;1.0;4.0;1.0;5.0;0.0;1.0;1.0
407;Women;30 to 39 years;2012;14;13.6;3.0;0.0;3.0;8.0;0.0;10.0;0.0;2.0;2.0
408;Women;30 to 39 years;2013;9;8.9;4.0;0.0;1.0;3.0;1.0;7.0;0.0;2.0;0.0
409;Women;30 to 39 years;2014;5;5.0;;;;;;;;;
410;Women;30 to 39 years;2015;4;4.0;;;;;;;;;
411;Women;30 to 39 years;2016;10;9.8;;;;;;;;;
412;Women;30 to 39 years;2017;4;3.9;;;;;;;;;
413;Women;30 to 39 years;2018;7;6.7;;;;;;;;;
414;Women;40 to 49 years;1996;13;11.3;2.0;1.0;2.0;5.0;3.0;9.0;0.0;0.0;4.0
415;Women;40 to 49 years;1997;3;2.6;1.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0
416;Women;40 to 49 years;1998;7;6.1;1.0;0.0;1.0;5.0;0.0;3.0;0.0;1.0;3.0
417;Women;40 to 49 years;1999;6;5.2;2.0;2.0;0.0;2.0;0.0;4.0;0.0;0.0;2.0
418;Women;40 to 49 years;2000;7;6.0;3.0;0.0;0.0;2.0;2.0;4.0;0.0;0.0;3.0
419;Women;40 to 49 years;2001;20;16.9;1.0;0.0;1.0;14.0;4.0;16.0;0.0;1.0;3.0
420;Women;40 to 49 years;2002;8;6.7;1.0;0.0;3.0;2.0;2.0;5.0;0.0;1.0;2.0
421;Women;40 to 49 years;2003;13;10.7;2.0;1.0;1.0;6.0;3.0;8.0;0.0;3.0;2.0
422;Women;40 to 49 years;2004;9;7.3;2.0;0.0;1.0;4.0;2.0;4.0;1.0;2.0;2.0
423;Women;40 to 49 years;2005;6;4.8;1.0;0.0;2.0;3.0;0.0;4.0;0.0;1.0;1.0
424;Women;40 to 49 years;2006;7;5.6;0.0;0.0;1.0;2.0;4.0;6.0;0.0;0.0;1.0
425;Women;40 to 49 years;2007;8;6.3;2.0;1.0;1.0;4.0;0.0;7.0;0.0;1.0;0.0
426;Women;40 to 49 years;2008;9;7.1;0.0;1.0;1.0;6.0;1.0;6.0;0.0;2.0;1.0
427;Women;40 to 49 years;2009;11;8.6;3.0;1.0;1.0;5.0;1.0;9.0;0.0;1.0;1.0
428;Women;40 to 49 years;2010;11;8.6;1.0;1.0;2.0;7.0;0.0;11.0;0.0;0.0;0.0
429;Women;40 to 49 years;2011;10;7.8;4.0;1.0;2.0;3.0;0.0;8.0;1.0;0.0;1.0
430;Women;40 to 49 years;2012;12;9.4;3.0;0.0;2.0;6.0;1.0;10.0;0.0;0.0;2.0
431;Women;40 to 49 years;2013;12;9.5;2.0;1.0;0.0;7.0;2.0;9.0;2.0;0.0;1.0
432;Women;40 to 49 years;2014;3;2.4;;;;;;;;;
433;Women;40 to 49 years;2015;10;8.2;;;;;;;;;
434;Women;40 to 49 years;2016;5;4.2;;;;;;;;;
435;Women;40 to 49 years;2017;9;7.7;;;;;;;;;
436;Women;40 to 49 years;2018;9;7.9;;;;;;;;;
437;Women;50 to 59 years;1996;3;3.5;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;1.0
438;Women;50 to 59 years;1997;7;7.8;2.0;0.0;3.0;0.0;2.0;6.0;0.0;0.0;1.0
439;Women;50 to 59 years;1998;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
440;Women;50 to 59 years;1999;3;3.1;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0
441;Women;50 to 59 years;2000;9;9.0;3.0;1.0;1.0;2.0;2.0;8.0;0.0;0.0;1.0
442;Women;50 to 59 years;2001;7;6.8;0.0;0.0;3.0;2.0;2.0;5.0;0.0;2.0;0.0
443;Women;50 to 59 years;2002;4;3.8;0.0;0.0;1.0;1.0;2.0;2.0;0.0;0.0;2.0
444;Women;50 to 59 years;2003;11;10.2;2.0;0.0;3.0;2.0;4.0;5.0;1.0;0.0;5.0
445;Women;50 to 59 years;2004;5;4.6;3.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;2.0
446;Women;50 to 59 years;2005;6;5.4;4.0;0.0;0.0;1.0;1.0;5.0;0.0;0.0;1.0
447;Women;50 to 59 years;2006;6;5.4;2.0;0.0;0.0;4.0;0.0;3.0;1.0;0.0;2.0
448;Women;50 to 59 years;2007;6;5.4;1.0;0.0;2.0;3.0;0.0;6.0;0.0;0.0;0.0
449;Women;50 to 59 years;2008;9;8.1;0.0;0.0;2.0;6.0;1.0;8.0;0.0;1.0;0.0
450;Women;50 to 59 years;2009;6;5.4;0.0;0.0;0.0;3.0;3.0;3.0;0.0;2.0;1.0
451;Women;50 to 59 years;2010;3;2.7;1.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0
452;Women;50 to 59 years;2011;4;3.5;0.0;0.0;1.0;3.0;0.0;4.0;0.0;0.0;0.0
453;Women;50 to 59 years;2012;3;2.6;1.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0
454;Women;50 to 59 years;2013;10;8.5;3.0;1.0;1.0;5.0;0.0;10.0;0.0;0.0;0.0
455;Women;50 to 59 years;2014;3;2.5;;;;;;;;;
456;Women;50 to 59 years;2015;6;4.9;;;;;;;;;
457;Women;50 to 59 years;2016;5;4.1;;;;;;;;;
458;Women;50 to 59 years;2017;8;6.5;;;;;;;;;
459;Women;50 to 59 years;2018;8;6.4;;;;;;;;;
460;Women;60 years or older;1996;9;5.7;2.0;0.0;2.0;3.0;2.0;4.0;0.0;0.0;5.0
461;Women;60 years or older;1997;15;9.4;5.0;1.0;0.0;4.0;5.0;7.0;0.0;1.0;7.0
462;Women;60 years or older;1998;13;8.0;5.0;1.0;1.0;3.0;3.0;5.0;0.0;1.0;7.0
463;Women;60 years or older;1999;11;6.7;3.0;3.0;0.0;4.0;1.0;6.0;0.0;3.0;2.0
464;Women;60 years or older;2000;9;5.5;2.0;0.0;1.0;3.0;3.0;6.0;0.0;0.0;3.0
465;Women;60 years or older;2001;6;3.6;1.0;1.0;1.0;2.0;1.0;4.0;1.0;0.0;1.0
466;Women;60 years or older;2002;7;4.2;1.0;2.0;0.0;2.0;2.0;5.0;0.0;1.0;1.0
467;Women;60 years or older;2003;13;17.8;3.0;2.0;0.0;3.0;5.0;7.0;0.0;2.0;4.0
468;Women;60 years or older;2004;11;6.4;3.0;2.0;0.0;0.0;6.0;8.0;0.0;1.0;2.0
469;Women;60 years or older;2005;9;5.2;0.0;0.0;3.0;4.0;2.0;9.0;0.0;0.0;0.0
470;Women;60 years or older;2006;8;4.5;0.0;2.0;1.0;3.0;2.0;3.0;0.0;1.0;4.0
471;Women;60 years or older;2007;4;2.2;1.0;1.0;1.0;1.0;0.0;3.0;0.0;0.0;1.0
472;Women;60 years or older;2008;6;3.2;2.0;2.0;1.0;0.0;1.0;6.0;0.0;0.0;0.0
473;Women;60 years or older;2009;9;5.9;1.0;3.0;2.0;2.0;1.0;5.0;0.0;1.0;3.0
474;Women;60 years or older;2010;14;7.1;1.0;3.0;0.0;8.0;2.0;14.0;0.0;0.0;0.0
475;Women;60 years or older;2011;10;4.9;0.0;3.0;3.0;3.0;1.0;7.0;2.0;0.0;1.0
476;Women;60 years or older;2012;11;5.3;1.0;3.0;1.0;5.0;1.0;11.0;0.0;0.0;0.0
477;Women;60 years or older;2013;11;5.2;3.0;0.0;0.0;5.0;3.0;10.0;0.0;0.0;1.0
478;Women;60 years or older;2014;11;5.1;;;;;;;;;
479;Women;60 years or older;2015;13;5.9;;;;;;;;;
480;Women;60 years or older;2016;7;3.1;;;;;;;;;
481;Women;60 years or older;2017;11;4.8;;;;;;;;;
482;Women;60 years or older;2018;7;3.0;;;;;;;;;
