ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
1050;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2013;;;;220.0
1051;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2014;1023.0;546.0;44.0;185.0
1052;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2015;1182.0;660.0;52.0;200.0
1053;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2016;;;;165.0
1054;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2017;;;;200.0
1055;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2018;;;;185.0
1056;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2019;;;;180.0
1057;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2020;;;;150.0
1058;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2021;;;;140.0
1059;0 to 49 employed persons;20-21 Chemistry and pharmaceuticals;2022;;;;
1060;0 to 49 employed persons;20 Manufacture of chemicals;2013;856.0;553.0;34.0;170.0
1061;0 to 49 employed persons;20 Manufacture of chemicals;2014;775.0;415.0;27.0;145.0
1062;0 to 49 employed persons;20 Manufacture of chemicals;2015;949.0;533.0;38.0;165.0
1063;0 to 49 employed persons;20 Manufacture of chemicals;2016;;;;125.0
1064;0 to 49 employed persons;20 Manufacture of chemicals;2017;1100.0;521.0;38.0;165.0
1065;0 to 49 employed persons;20 Manufacture of chemicals;2018;779.0;378.0;26.0;160.0
1066;0 to 49 employed persons;20 Manufacture of chemicals;2019;814.0;383.0;27.0;155.0
1067;0 to 49 employed persons;20 Manufacture of chemicals;2020;546.0;221.0;14.0;120.0
1068;0 to 49 employed persons;20 Manufacture of chemicals;2021;434.0;196.0;12.0;110.0
1069;0 to 49 employed persons;20 Manufacture of chemicals;2022;510.0;285.0;23.0;
1070;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2013;;;;45.0
1071;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2014;249.0;131.0;17.0;40.0
1072;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2015;234.0;127.0;15.0;40.0
1073;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2016;165.0;83.0;6.0;35.0
1074;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2017;;;;35.0
1075;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2018;;;;30.0
1076;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2019;;;;30.0
1077;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2020;;;;30.0
1078;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2021;;;;30.0
1079;0 to 49 employed persons;21 Manufacture of pharmaceuticals;2022;;;;
1080;0 to 49 employed persons;22 Manufacture rubber, plastic products;2013;;;;265.0
1081;0 to 49 employed persons;22 Manufacture rubber, plastic products;2014;;;;240.0
1082;0 to 49 employed persons;22 Manufacture rubber, plastic products;2015;;;;235.0
1083;0 to 49 employed persons;22 Manufacture rubber, plastic products;2016;;;;225.0
1084;0 to 49 employed persons;22 Manufacture rubber, plastic products;2017;;;;200.0
1085;0 to 49 employed persons;22 Manufacture rubber, plastic products;2018;;;;180.0
1086;0 to 49 employed persons;22 Manufacture rubber, plastic products;2019;;;;195.0
1087;0 to 49 employed persons;22 Manufacture rubber, plastic products;2020;;;;185.0
1088;0 to 49 employed persons;22 Manufacture rubber, plastic products;2021;;;;165.0
1089;0 to 49 employed persons;22 Manufacture rubber, plastic products;2022;;;;
1090;0 to 49 employed persons;23 Manufacture of building materials;2013;322.0;65.0;4.0;105.0
1091;0 to 49 employed persons;23 Manufacture of building materials;2014;261.0;75.0;4.0;85.0
1092;0 to 49 employed persons;23 Manufacture of building materials;2015;239.0;112.0;6.0;75.0
1093;0 to 49 employed persons;23 Manufacture of building materials;2016;240.0;90.0;5.0;60.0
1094;0 to 49 employed persons;23 Manufacture of building materials;2017;125.0;64.0;4.0;50.0
1095;0 to 49 employed persons;23 Manufacture of building materials;2018;131.0;67.0;3.0;55.0
1096;0 to 49 employed persons;23 Manufacture of building materials;2019;104.0;64.0;4.0;45.0
1097;0 to 49 employed persons;23 Manufacture of building materials;2020;174.0;73.0;6.0;45.0
1098;0 to 49 employed persons;23 Manufacture of building materials;2021;219.0;72.0;5.0;80.0
1099;0 to 49 employed persons;23 Manufacture of building materials;2022;192.0;78.0;7.0;
1100;0 to 49 employed persons;24-30, 33 Metalectro;2013;7552.0;3503.0;185.0;1925.0
1101;0 to 49 employed persons;24-30, 33 Metalectro;2014;7134.0;2993.0;195.0;1805.0
1102;0 to 49 employed persons;24-30, 33 Metalectro;2015;8001.0;2958.0;180.0;1735.0
1103;0 to 49 employed persons;24-30, 33 Metalectro;2016;8369.0;3338.0;206.0;1835.0
1104;0 to 49 employed persons;24-30, 33 Metalectro;2017;6998.0;3129.0;190.0;1775.0
1105;0 to 49 employed persons;24-30, 33 Metalectro;2018;7168.0;3220.0;187.0;1640.0
1106;0 to 49 employed persons;24-30, 33 Metalectro;2019;7977.0;3553.0;247.0;1805.0
1107;0 to 49 employed persons;24-30, 33 Metalectro;2020;8220.0;3510.0;265.0;1835.0
1108;0 to 49 employed persons;24-30, 33 Metalectro;2021;7846.0;3730.0;263.0;1745.0
1109;0 to 49 employed persons;24-30, 33 Metalectro;2022;8805.0;4385.0;295.0;
1110;0 to 49 employed persons;24-25 Man. of basic metals and -products;2013;;;;660.0
1111;0 to 49 employed persons;24-25 Man. of basic metals and -products;2014;2374.0;678.0;38.0;555.0
1112;0 to 49 employed persons;24-25 Man. of basic metals and -products;2015;2847.0;576.0;30.0;575.0
1113;0 to 49 employed persons;24-25 Man. of basic metals and -products;2016;3170.0;709.0;38.0;615.0
1114;0 to 49 employed persons;24-25 Man. of basic metals and -products;2017;2423.0;681.0;38.0;645.0
1115;0 to 49 employed persons;24-25 Man. of basic metals and -products;2018;2210.0;574.0;31.0;550.0
1116;0 to 49 employed persons;24-25 Man. of basic metals and -products;2019;2421.0;890.0;57.0;645.0
1117;0 to 49 employed persons;24-25 Man. of basic metals and -products;2020;2534.0;859.0;57.0;580.0
1118;0 to 49 employed persons;24-25 Man. of basic metals and -products;2021;;;;500.0
1119;0 to 49 employed persons;24-25 Man. of basic metals and -products;2022;;;;
1120;0 to 49 employed persons;24 Manufacture of basic metals;2013;;;;40.0
1121;0 to 49 employed persons;24 Manufacture of basic metals;2014;168.0;66.0;4.0;35.0
1122;0 to 49 employed persons;24 Manufacture of basic metals;2015;121.0;48.0;3.0;35.0
1123;0 to 49 employed persons;24 Manufacture of basic metals;2016;89.0;40.0;3.0;30.0
1124;0 to 49 employed persons;24 Manufacture of basic metals;2017;156.0;47.0;3.0;35.0
1125;0 to 49 employed persons;24 Manufacture of basic metals;2018;182.0;55.0;3.0;35.0
1126;0 to 49 employed persons;24 Manufacture of basic metals;2019;110.0;57.0;3.0;25.0
1127;0 to 49 employed persons;24 Manufacture of basic metals;2020;111.0;34.0;2.0;30.0
1128;0 to 49 employed persons;24 Manufacture of basic metals;2021;;;;25.0
1129;0 to 49 employed persons;24 Manufacture of basic metals;2022;;;;
1130;0 to 49 employed persons;25 Manufacture of metal products;2013;2558.0;875.0;50.0;620.0
1131;0 to 49 employed persons;25 Manufacture of metal products;2014;2207.0;612.0;34.0;520.0
1132;0 to 49 employed persons;25 Manufacture of metal products;2015;2727.0;528.0;27.0;535.0
1133;0 to 49 employed persons;25 Manufacture of metal products;2016;3081.0;669.0;35.0;585.0
1134;0 to 49 employed persons;25 Manufacture of metal products;2017;2268.0;633.0;35.0;610.0
1135;0 to 49 employed persons;25 Manufacture of metal products;2018;2028.0;519.0;28.0;515.0
1136;0 to 49 employed persons;25 Manufacture of metal products;2019;2311.0;833.0;54.0;620.0
1137;0 to 49 employed persons;25 Manufacture of metal products;2020;2423.0;826.0;54.0;550.0
1138;0 to 49 employed persons;25 Manufacture of metal products;2021;1730.0;776.0;46.0;475.0
1139;0 to 49 employed persons;25 Manufacture of metal products;2022;2053.0;795.0;49.0;
1140;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2013;3794.0;2150.0;113.0;905.0
1141;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2014;3589.0;1849.0;134.0;855.0
1142;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2015;3894.0;1873.0;122.0;805.0
1143;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2016;3798.0;2071.0;133.0;875.0
1144;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2017;3355.0;1870.0;115.0;835.0
1145;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2018;3580.0;2056.0;126.0;815.0
1146;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2019;3753.0;1778.0;124.0;870.0
1147;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2020;4220.0;1963.0;142.0;925.0
1148;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2021;3961.0;1859.0;139.0;915.0
1149;0 to 49 employed persons;26-28 Manufact of electronics, machinery;2022;5330.0;2886.0;200.0;
1150;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2013;;;;325.0
1151;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2014;;;;310.0
1152;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2015;;;;340.0
1153;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2016;;;;330.0
1154;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2017;;;;320.0
1155;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2018;1745.0;1170.0;71.0;325.0
1156;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2019;1968.0;1227.0;82.0;370.0
1157;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2020;1811.0;1300.0;92.0;325.0
1158;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2021;1705.0;1142.0;80.0;295.0
1159;0 to 49 employed persons;26-27 Elektrical and electron. Industry;2022;;;;
1160;0 to 49 employed persons;26 Manufacture of electronic products;2013;;;;225.0
1161;0 to 49 employed persons;26 Manufacture of electronic products;2014;1183.0;671.0;37.0;205.0
1162;0 to 49 employed persons;26 Manufacture of electronic products;2015;1382.0;926.0;61.0;240.0
1163;0 to 49 employed persons;26 Manufacture of electronic products;2016;1333.0;924.0;57.0;235.0
1164;0 to 49 employed persons;26 Manufacture of electronic products;2017;;;;230.0
1165;0 to 49 employed persons;26 Manufacture of electronic products;2018;1303.0;917.0;54.0;230.0
1166;0 to 49 employed persons;26 Manufacture of electronic products;2019;1549.0;1044.0;69.0;245.0
1167;0 to 49 employed persons;26 Manufacture of electronic products;2020;1569.0;1130.0;80.0;260.0
1168;0 to 49 employed persons;26 Manufacture of electronic products;2021;1492.0;1024.0;72.0;240.0
1169;0 to 49 employed persons;26 Manufacture of electronic products;2022;1448.0;1036.0;73.0;
1170;0 to 49 employed persons;27 Manufacture of electric equipment;2013;327.0;187.0;9.0;100.0
1171;0 to 49 employed persons;27 Manufacture of electric equipment;2014;;;;110.0
1172;0 to 49 employed persons;27 Manufacture of electric equipment;2015;;;;100.0
1173;0 to 49 employed persons;27 Manufacture of electric equipment;2016;;;;95.0
1174;0 to 49 employed persons;27 Manufacture of electric equipment;2017;236.0;144.0;11.0;90.0
1175;0 to 49 employed persons;27 Manufacture of electric equipment;2018;442.0;252.0;17.0;95.0
1176;0 to 49 employed persons;27 Manufacture of electric equipment;2019;419.0;183.0;13.0;125.0
1177;0 to 49 employed persons;27 Manufacture of electric equipment;2020;243.0;170.0;13.0;70.0
1178;0 to 49 employed persons;27 Manufacture of electric equipment;2021;213.0;117.0;7.0;55.0
1179;0 to 49 employed persons;27 Manufacture of electric equipment;2022;;;;
1180;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2013;;;;575.0
1181;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2014;;;;545.0
1182;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2015;;;;470.0
1183;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2016;;;;545.0
1184;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2017;;;;510.0
1185;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2018;1836.0;886.0;55.0;490.0
1186;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2019;1785.0;551.0;42.0;495.0
1187;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2020;2408.0;663.0;50.0;600.0
1188;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2021;2256.0;718.0;59.0;620.0
1189;0 to 49 employed persons;28 Manufacture of machinery n.e.c.;2022;;;;
1190;0 to 49 employed persons;29-30 Transport equipment;2013;687.0;251.0;11.0;180.0
1191;0 to 49 employed persons;29-30 Transport equipment;2014;607.0;240.0;12.0;215.0
1192;0 to 49 employed persons;29-30 Transport equipment;2015;597.0;275.0;15.0;155.0
1193;0 to 49 employed persons;29-30 Transport equipment;2016;686.0;347.0;25.0;140.0
1194;0 to 49 employed persons;29-30 Transport equipment;2017;575.0;369.0;23.0;120.0
1195;0 to 49 employed persons;29-30 Transport equipment;2018;603.0;384.0;21.0;115.0
1196;0 to 49 employed persons;29-30 Transport equipment;2019;1001.0;731.0;55.0;135.0
1197;0 to 49 employed persons;29-30 Transport equipment;2020;920.0;536.0;56.0;150.0
1198;0 to 49 employed persons;29-30 Transport equipment;2021;1532.0;893.0;66.0;155.0
1199;0 to 49 employed persons;29-30 Transport equipment;2022;658.0;365.0;28.0;
1200;0 to 49 employed persons;29 Manufacture of cars and trailers;2013;439.0;133.0;6.0;105.0
1201;0 to 49 employed persons;29 Manufacture of cars and trailers;2014;;;;105.0
1202;0 to 49 employed persons;29 Manufacture of cars and trailers;2015;283.0;122.0;6.0;80.0
1203;0 to 49 employed persons;29 Manufacture of cars and trailers;2016;346.0;143.0;8.0;65.0
1204;0 to 49 employed persons;29 Manufacture of cars and trailers;2017;275.0;180.0;9.0;55.0
1205;0 to 49 employed persons;29 Manufacture of cars and trailers;2018;350.0;232.0;13.0;60.0
1206;0 to 49 employed persons;29 Manufacture of cars and trailers;2019;;;;65.0
1207;0 to 49 employed persons;29 Manufacture of cars and trailers;2020;448.0;281.0;41.0;65.0
1208;0 to 49 employed persons;29 Manufacture of cars and trailers;2021;;;;65.0
1209;0 to 49 employed persons;29 Manufacture of cars and trailers;2022;216.0;102.0;6.0;
1210;0 to 49 employed persons;30 Manufacture of other transport;2013;248.0;117.0;5.0;75.0
1211;0 to 49 employed persons;30 Manufacture of other transport;2014;;;;110.0
1212;0 to 49 employed persons;30 Manufacture of other transport;2015;313.0;153.0;9.0;75.0
1213;0 to 49 employed persons;30 Manufacture of other transport;2016;341.0;204.0;16.0;70.0
1214;0 to 49 employed persons;30 Manufacture of other transport;2017;299.0;189.0;14.0;65.0
1215;0 to 49 employed persons;30 Manufacture of other transport;2018;253.0;152.0;8.0;60.0
1216;0 to 49 employed persons;30 Manufacture of other transport;2019;;;;70.0
1217;0 to 49 employed persons;30 Manufacture of other transport;2020;472.0;255.0;15.0;85.0
1218;0 to 49 employed persons;30 Manufacture of other transport;2021;;;;90.0
1219;0 to 49 employed persons;30 Manufacture of other transport;2022;442.0;263.0;22.0;
1220;0 to 49 employed persons;31 Manufacture of furniture;2013;682.0;133.0;5.0;160.0
1221;0 to 49 employed persons;31 Manufacture of furniture;2014;;;;115.0
1222;0 to 49 employed persons;31 Manufacture of furniture;2015;;;;60.0
1223;0 to 49 employed persons;31 Manufacture of furniture;2016;;;;65.0
1224;0 to 49 employed persons;31 Manufacture of furniture;2017;;;;70.0
1225;0 to 49 employed persons;31 Manufacture of furniture;2018;;;;65.0
1226;0 to 49 employed persons;31 Manufacture of furniture;2019;505.0;168.0;7.0;75.0
1227;0 to 49 employed persons;31 Manufacture of furniture;2020;;;;80.0
1228;0 to 49 employed persons;31 Manufacture of furniture;2021;;;;70.0
1229;0 to 49 employed persons;31 Manufacture of furniture;2022;;;;
1230;0 to 49 employed persons;32 Manufacture of other products;2013;445.0;175.0;8.0;105.0
1231;0 to 49 employed persons;32 Manufacture of other products;2014;;;;80.0
1232;0 to 49 employed persons;32 Manufacture of other products;2015;;;;105.0
1233;0 to 49 employed persons;32 Manufacture of other products;2016;;;;120.0
1234;0 to 49 employed persons;32 Manufacture of other products;2017;;;;120.0
1235;0 to 49 employed persons;32 Manufacture of other products;2018;;;;125.0
1236;0 to 49 employed persons;32 Manufacture of other products;2019;;;;135.0
1237;0 to 49 employed persons;32 Manufacture of other products;2020;;;;130.0
1238;0 to 49 employed persons;32 Manufacture of other products;2021;;;;130.0
1239;0 to 49 employed persons;32 Manufacture of other products;2022;;;;
1240;0 to 49 employed persons;33 Repair and installation of machinery;2013;;;;175.0
1241;0 to 49 employed persons;33 Repair and installation of machinery;2014;564.0;226.0;10.0;180.0
1242;0 to 49 employed persons;33 Repair and installation of machinery;2015;663.0;233.0;12.0;200.0
1243;0 to 49 employed persons;33 Repair and installation of machinery;2016;715.0;210.0;10.0;205.0
1244;0 to 49 employed persons;33 Repair and installation of machinery;2017;645.0;210.0;14.0;180.0
1245;0 to 49 employed persons;33 Repair and installation of machinery;2018;774.0;206.0;10.0;160.0
1246;0 to 49 employed persons;33 Repair and installation of machinery;2019;803.0;154.0;11.0;160.0
1247;0 to 49 employed persons;33 Repair and installation of machinery;2020;548.0;152.0;10.0;180.0
1248;0 to 49 employed persons;33 Repair and installation of machinery;2021;;;;170.0
1249;0 to 49 employed persons;33 Repair and installation of machinery;2022;;;;
1250;0 to 49 employed persons;D Energy supply;2013;;;;30.0
1251;0 to 49 employed persons;D Energy supply;2014;;;;30.0
1252;0 to 49 employed persons;D Energy supply;2015;243.0;131.0;9.0;40.0
1253;0 to 49 employed persons;D Energy supply;2016;218.0;133.0;7.0;40.0
1254;0 to 49 employed persons;D Energy supply;2017;;;;35.0
1255;0 to 49 employed persons;D Energy supply;2018;128.0;81.0;5.0;40.0
1256;0 to 49 employed persons;D Energy supply;2019;;;;45.0
1257;0 to 49 employed persons;D Energy supply;2020;;;;45.0
1258;0 to 49 employed persons;D Energy supply;2021;166.0;99.0;5.0;40.0
1259;0 to 49 employed persons;D Energy supply;2022;;;;
1260;0 to 49 employed persons;35 Energy supply;2013;;;;30.0
1261;0 to 49 employed persons;35 Energy supply;2014;;;;30.0
1262;0 to 49 employed persons;35 Energy supply;2015;243.0;131.0;9.0;40.0
1263;0 to 49 employed persons;35 Energy supply;2016;218.0;133.0;7.0;40.0
1264;0 to 49 employed persons;35 Energy supply;2017;;;;35.0
1265;0 to 49 employed persons;35 Energy supply;2018;128.0;81.0;5.0;40.0
1266;0 to 49 employed persons;35 Energy supply;2019;;;;45.0
1267;0 to 49 employed persons;35 Energy supply;2020;;;;45.0
1268;0 to 49 employed persons;35 Energy supply;2021;166.0;99.0;5.0;40.0
1269;0 to 49 employed persons;35 Energy supply;2022;;;;
1270;0 to 49 employed persons;E Water supply and waste management;2013;185.0;64.0;3.0;40.0
1271;0 to 49 employed persons;E Water supply and waste management;2014;;;;80.0
1272;0 to 49 employed persons;E Water supply and waste management;2015;233.0;84.0;6.0;75.0
1273;0 to 49 employed persons;E Water supply and waste management;2016;;;;65.0
1274;0 to 49 employed persons;E Water supply and waste management;2017;;;;80.0
1275;0 to 49 employed persons;E Water supply and waste management;2018;;;;85.0
1276;0 to 49 employed persons;E Water supply and waste management;2019;;;;65.0
1277;0 to 49 employed persons;E Water supply and waste management;2020;131.0;38.0;3.0;55.0
1278;0 to 49 employed persons;E Water supply and waste management;2021;;;;60.0
1279;0 to 49 employed persons;E Water supply and waste management;2022;;;;
1280;0 to 49 employed persons;F Construction;2013;1401.0;771.0;32.0;510.0
1281;0 to 49 employed persons;F Construction;2014;1324.0;664.0;33.0;510.0
1282;0 to 49 employed persons;F Construction;2015;1759.0;914.0;43.0;530.0
1283;0 to 49 employed persons;F Construction;2016;2050.0;721.0;38.0;610.0
1284;0 to 49 employed persons;F Construction;2017;1875.0;606.0;36.0;550.0
1285;0 to 49 employed persons;F Construction;2018;1909.0;624.0;37.0;525.0
1286;0 to 49 employed persons;F Construction;2019;1955.0;697.0;45.0;540.0
1287;0 to 49 employed persons;F Construction;2020;1823.0;677.0;39.0;510.0
1288;0 to 49 employed persons;F Construction;2021;1602.0;665.0;39.0;510.0
1289;0 to 49 employed persons;F Construction;2022;715.0;352.0;19.0;
1290;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2013;5074.0;1957.0;100.0;2135.0
1291;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2014;4963.0;2000.0;106.0;2195.0
1292;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2015;5324.0;2065.0;118.0;2210.0
1293;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2016;4933.0;2701.0;144.0;2165.0
1294;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2017;5162.0;2743.0;167.0;2120.0
1295;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2018;4657.0;2163.0;129.0;2120.0
1296;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2019;4581.0;2138.0;127.0;2145.0
1297;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2020;4615.0;2350.0;123.0;1905.0
1298;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2021;4404.0;2196.0;137.0;1900.0
1299;0 to 49 employed persons;G-I Trade, transport, hotels, catering;2022;5658.0;3082.0;212.0;
1300;0 to 49 employed persons;G Wholesale and retail trade;2013;;;;1990.0
1301;0 to 49 employed persons;G Wholesale and retail trade;2014;4435.0;1947.0;104.0;2060.0
1302;0 to 49 employed persons;G Wholesale and retail trade;2015;4792.0;2012.0;115.0;2065.0
1303;0 to 49 employed persons;G Wholesale and retail trade;2016;4470.0;2649.0;142.0;2045.0
1304;0 to 49 employed persons;G Wholesale and retail trade;2017;4563.0;2526.0;161.0;1900.0
1305;0 to 49 employed persons;G Wholesale and retail trade;2018;4300.0;1935.0;115.0;1960.0
1306;0 to 49 employed persons;G Wholesale and retail trade;2019;3968.0;1888.0;116.0;1870.0
1307;0 to 49 employed persons;G Wholesale and retail trade;2020;4047.0;1990.0;108.0;1715.0
1308;0 to 49 employed persons;G Wholesale and retail trade;2021;3922.0;1786.0;120.0;1705.0
1309;0 to 49 employed persons;G Wholesale and retail trade;2022;5143.0;2826.0;195.0;
1310;0 to 49 employed persons;H Transportation and storage;2013;;;;135.0
1311;0 to 49 employed persons;H Transportation and storage;2014;;;;130.0
1312;0 to 49 employed persons;H Transportation and storage;2015;;;;130.0
1313;0 to 49 employed persons;H Transportation and storage;2016;441.0;44.0;2.0;110.0
1314;0 to 49 employed persons;H Transportation and storage;2017;584.0;211.0;7.0;210.0
1315;0 to 49 employed persons;H Transportation and storage;2018;347.0;224.0;14.0;150.0
1316;0 to 49 employed persons;H Transportation and storage;2019;603.0;247.0;10.0;265.0
1317;0 to 49 employed persons;H Transportation and storage;2020;551.0;351.0;14.0;180.0
1318;0 to 49 employed persons;H Transportation and storage;2021;;;;185.0
1319;0 to 49 employed persons;H Transportation and storage;2022;413.0;172.0;10.0;
1320;0 to 49 employed persons;I Accommodation and food serving;2013;;;;10.0
1321;0 to 49 employed persons;I Accommodation and food serving;2014;;;;10.0
1322;0 to 49 employed persons;I Accommodation and food serving;2015;;;;15.0
1323;0 to 49 employed persons;I Accommodation and food serving;2016;22.0;8.0;0.0;10.0
1324;0 to 49 employed persons;I Accommodation and food serving;2017;15.0;6.0;0.0;10.0
1325;0 to 49 employed persons;I Accommodation and food serving;2018;10.0;4.0;0.0;10.0
1326;0 to 49 employed persons;I Accommodation and food serving;2019;10.0;3.0;0.0;10.0
1327;0 to 49 employed persons;I Accommodation and food serving;2020;17.0;9.0;1.0;10.0
1328;0 to 49 employed persons;I Accommodation and food serving;2021;;;;15.0
1329;0 to 49 employed persons;I Accommodation and food serving;2022;102.0;84.0;7.0;
1330;0 to 49 employed persons;J Information and communication;2013;12778.0;7568.0;430.0;3030.0
1331;0 to 49 employed persons;J Information and communication;2014;12382.0;7763.0;438.0;3260.0
1332;0 to 49 employed persons;J Information and communication;2015;15187.0;9679.0;522.0;3415.0
1333;0 to 49 employed persons;J Information and communication;2016;14417.0;9001.0;506.0;3450.0
1334;0 to 49 employed persons;J Information and communication;2017;14002.0;8797.0;477.0;3335.0
1335;0 to 49 employed persons;J Information and communication;2018;14156.0;8598.0;415.0;3300.0
1336;0 to 49 employed persons;J Information and communication;2019;14200.0;7846.0;428.0;3225.0
1337;0 to 49 employed persons;J Information and communication;2020;13031.0;8315.0;472.0;3315.0
1338;0 to 49 employed persons;J Information and communication;2021;13930.0;7761.0;484.0;3290.0
1339;0 to 49 employed persons;J Information and communication;2022;15588.0;8995.0;503.0;
1340;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2013;;;;60.0
1341;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2014;;;;55.0
1342;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2015;;;;70.0
1343;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2016;207.0;112.0;8.0;65.0
1344;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2017;453.0;220.0;11.0;100.0
1345;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2018;481.0;239.0;9.0;90.0
1346;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2019;223.0;106.0;7.0;70.0
1347;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2020;222.0;145.0;11.0;70.0
1348;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2021;234.0;137.0;9.0;65.0
1349;0 to 49 employed persons;58-60 Publishing, movie, radio and  TV;2022;415.0;244.0;13.0;
1350;0 to 49 employed persons;58 Publishing;2013;;;;25.0
1351;0 to 49 employed persons;58 Publishing;2014;77.0;39.0;2.0;25.0
1352;0 to 49 employed persons;58 Publishing;2015;;;;40.0
1353;0 to 49 employed persons;58 Publishing;2016;;;;25.0
1354;0 to 49 employed persons;58 Publishing;2017;247.0;153.0;8.0;50.0
1355;0 to 49 employed persons;58 Publishing;2018;345.0;184.0;7.0;45.0
1356;0 to 49 employed persons;58 Publishing;2019;147.0;72.0;5.0;35.0
1357;0 to 49 employed persons;58 Publishing;2020;104.0;74.0;5.0;25.0
1358;0 to 49 employed persons;58 Publishing;2021;157.0;108.0;6.0;30.0
1359;0 to 49 employed persons;58 Publishing;2022;311.0;178.0;9.0;
1360;0 to 49 employed persons;59 Film, TV and music production etc;2013;108.0;47.0;2.0;35.0
1361;0 to 49 employed persons;59 Film, TV and music production etc;2014;;;;30.0
1362;0 to 49 employed persons;59 Film, TV and music production etc;2015;;;;30.0
1363;0 to 49 employed persons;59 Film, TV and music production etc;2016;;;;40.0
1364;0 to 49 employed persons;59 Film, TV and music production etc;2017;;;;50.0
1365;0 to 49 employed persons;59 Film, TV and music production etc;2018;136.0;55.0;3.0;45.0
1366;0 to 49 employed persons;59 Film, TV and music production etc;2019;76.0;34.0;2.0;35.0
1367;0 to 49 employed persons;59 Film, TV and music production etc;2020;117.0;72.0;7.0;45.0
1368;0 to 49 employed persons;59 Film, TV and music production etc;2021;;;;35.0
1369;0 to 49 employed persons;59 Film, TV and music production etc;2022;;;;
1370;0 to 49 employed persons;60 Programming and broadcasting;2013;0.0;0.0;0.0;0.0
1371;0 to 49 employed persons;60 Programming and broadcasting;2014;;;;
1372;0 to 49 employed persons;60 Programming and broadcasting;2015;;;;
1373;0 to 49 employed persons;60 Programming and broadcasting;2016;;;;
1374;0 to 49 employed persons;60 Programming and broadcasting;2017;;;;
