ID;BedrijfstakkenBranchesSBI2008;Perioden;BedrijfsbestelautoS_1
4369;45191 Import van nieuwe vrachtwagens;2010;208.0
4370;45191 Import van nieuwe vrachtwagens;2011;161.0
4371;45191 Import van nieuwe vrachtwagens;2012;162.0
4372;45191 Import van nieuwe vrachtwagens;2013;256.0
4373;45191 Import van nieuwe vrachtwagens;2014;247.0
4374;45191 Import van nieuwe vrachtwagens;2015;240.0
4375;45191 Import van nieuwe vrachtwagens;2016;257.0
4376;45192 Handel, reparatie van vrachtwagens;2009;7549.0
4377;45192 Handel, reparatie van vrachtwagens;2010;6619.0
4378;45192 Handel, reparatie van vrachtwagens;2011;6251.0
4379;45192 Handel, reparatie van vrachtwagens;2012;6242.0
4380;45192 Handel, reparatie van vrachtwagens;2013;5933.0
4381;45192 Handel, reparatie van vrachtwagens;2014;5391.0
4382;45192 Handel, reparatie van vrachtwagens;2015;5415.0
4383;45192 Handel, reparatie van vrachtwagens;2016;5807.0
4384;45193 Handel en reparatie van aanhangers;2009;300.0
4385;45193 Handel en reparatie van aanhangers;2010;295.0
4386;45193 Handel en reparatie van aanhangers;2011;283.0
4387;45193 Handel en reparatie van aanhangers;2012;280.0
4388;45193 Handel en reparatie van aanhangers;2013;293.0
4389;45193 Handel en reparatie van aanhangers;2014;284.0
4390;45193 Handel en reparatie van aanhangers;2015;355.0
4391;45193 Handel en reparatie van aanhangers;2016;350.0
4392;45194 Handel en reparatie van caravans;2009;275.0
4393;45194 Handel en reparatie van caravans;2010;335.0
4394;45194 Handel en reparatie van caravans;2011;307.0
4395;45194 Handel en reparatie van caravans;2012;299.0
4396;45194 Handel en reparatie van caravans;2013;309.0
4397;45194 Handel en reparatie van caravans;2014;349.0
4398;45194 Handel en reparatie van caravans;2015;404.0
4399;45194 Handel en reparatie van caravans;2016;470.0
4400;452 Gespecialiseerde autoreparatie;2009;6801.0
4401;452 Gespecialiseerde autoreparatie;2010;7247.0
4402;452 Gespecialiseerde autoreparatie;2011;7290.0
4403;452 Gespecialiseerde autoreparatie;2012;7303.0
4404;452 Gespecialiseerde autoreparatie;2013;7115.0
4405;452 Gespecialiseerde autoreparatie;2014;7294.0
4406;452 Gespecialiseerde autoreparatie;2015;7624.0
4407;452 Gespecialiseerde autoreparatie;2016;7703.0
4408;4520 Gespecialiseerde autoreparatie;2009;6801.0
4409;4520 Gespecialiseerde autoreparatie;2010;7247.0
4410;4520 Gespecialiseerde autoreparatie;2011;7290.0
4411;4520 Gespecialiseerde autoreparatie;2012;7303.0
4412;4520 Gespecialiseerde autoreparatie;2013;7115.0
4413;4520 Gespecialiseerde autoreparatie;2014;7294.0
4414;4520 Gespecialiseerde autoreparatie;2015;7624.0
4415;4520 Gespecialiseerde autoreparatie;2016;7703.0
4416;45201 Autoservicebedrijven;2009;297.0
4417;45201 Autoservicebedrijven;2010;264.0
4418;45201 Autoservicebedrijven;2011;311.0
4419;45201 Autoservicebedrijven;2012;276.0
4420;45201 Autoservicebedrijven;2013;263.0
4421;45201 Autoservicebedrijven;2014;316.0
4422;45201 Autoservicebedrijven;2015;354.0
4423;45201 Autoservicebedrijven;2016;329.0
4424;45202 Bandenservicebedrijven;2009;821.0
4425;45202 Bandenservicebedrijven;2010;893.0
4426;45202 Bandenservicebedrijven;2011;918.0
4427;45202 Bandenservicebedrijven;2012;937.0
4428;45202 Bandenservicebedrijven;2013;846.0
4429;45202 Bandenservicebedrijven;2014;896.0
4430;45202 Bandenservicebedrijven;2015;958.0
4431;45202 Bandenservicebedrijven;2016;1064.0
4432;45203 Reparatie van auto-onderdelen;2009;1206.0
4433;45203 Reparatie van auto-onderdelen;2010;1298.0
4434;45203 Reparatie van auto-onderdelen;2011;1201.0
4435;45203 Reparatie van auto-onderdelen;2012;1125.0
4436;45203 Reparatie van auto-onderdelen;2013;1086.0
4437;45203 Reparatie van auto-onderdelen;2014;1176.0
4438;45203 Reparatie van auto-onderdelen;2015;1301.0
4439;45203 Reparatie van auto-onderdelen;2016;1225.0
4440;45204 Carrosserieherstel;2009;2727.0
4441;45204 Carrosserieherstel;2010;2823.0
4442;45204 Carrosserieherstel;2011;2850.0
4443;45204 Carrosserieherstel;2012;2912.0
4444;45204 Carrosserieherstel;2013;2966.0
4445;45204 Carrosserieherstel;2014;2911.0
4446;45204 Carrosserieherstel;2015;2932.0
4447;45204 Carrosserieherstel;2016;2984.0
4448;45205 Overige autoreparatie en slepen;2009;1750.0
4449;45205 Overige autoreparatie en slepen;2010;1969.0
4450;45205 Overige autoreparatie en slepen;2011;2010.0
4451;45205 Overige autoreparatie en slepen;2012;2053.0
4452;45205 Overige autoreparatie en slepen;2013;1954.0
4453;45205 Overige autoreparatie en slepen;2014;1995.0
4454;45205 Overige autoreparatie en slepen;2015;2079.0
4455;45205 Overige autoreparatie en slepen;2016;2101.0
4456;453 Handel in auto-onderdelen;2009;5371.0
4457;453 Handel in auto-onderdelen;2010;5743.0
4458;453 Handel in auto-onderdelen;2011;6036.0
4459;453 Handel in auto-onderdelen;2012;6240.0
4460;453 Handel in auto-onderdelen;2013;6124.0
4461;453 Handel in auto-onderdelen;2014;6344.0
4462;453 Handel in auto-onderdelen;2015;5382.0
4463;453 Handel in auto-onderdelen;2016;5354.0
4464;4531 Groothandel in auto-onderdelen;2009;4219.0
4465;4531 Groothandel in auto-onderdelen;2010;4452.0
4466;4531 Groothandel in auto-onderdelen;2011;4627.0
4467;4531 Groothandel in auto-onderdelen;2012;4699.0
4468;4531 Groothandel in auto-onderdelen;2013;4591.0
4469;4531 Groothandel in auto-onderdelen;2014;4702.0
4470;4531 Groothandel in auto-onderdelen;2015;4231.0
4471;4531 Groothandel in auto-onderdelen;2016;4067.0
