ID;BedrijfstakkenBranchesSBI2008;Perioden;GeconsolideerdeProductie_1;BijdrageArbeid_2;BijdrageUren_3;BijdrageCompositieEffect_4;BijdrageKapitaal_5;BijdrageICTKapitaal_6;BijdrageNietICTKapitaal_7;BijdrageVerbruik_8;BijdrageEnergie_9;BijdrageMaterialen_10;BijdrageDiensten_11;BijdrageMultifactorproductiviteit_12;ToegevoegdeWaarde_13;BijdrageArbeid_14;BijdrageUren_15;BijdrageCompositieEffect_16;BijdrageKapitaal_17;BijdrageICTKapitaal_18;BijdrageNietICTKapitaal_19;BijdrageMultifactorproductiviteit_20;Arbeidsproductiviteitsontwikkeling_21;Arbeidsproductiviteit2021100_22;Arbeidsproductiviteitsontwikkeling_23;Arbeidsproductiviteit2021100_24;Kapitaalproductiviteitsontwikkeling_25;Kapitaalproductiviteit2021100_26;Kapitaalproductiviteitsontwikkeling_27;Kapitaalproductiviteit2021100_28;GeconsolideerdeProductieMlnEuro_29;GeconsolideerdeProductie2021100_30;Totaal_31;VerbruikEnergie_32;VerbruikMaterialen_33;VerbruikDiensten_34;Totaal_35;VerbruikEnergie_36;VerbruikMaterialen_37;VerbruikDiensten_38;ToegevoegdeWaardeMlnEuro_39;ToegevoegdeWaarde2021100_40;GewerkteUren_41;BeloningVanArbeidMlnEuro_42;BeloningVanArbeid2021100_43;KapitaaldienstenMlnEuro_44;KapitaaldienstenGewerktUurEuro_45;ICTKapitaaldienstenMlnEuro_46;NietICTKapitaaldienstenMlnEuro_47;KapitaaldienstenNeoklassiekMlnEuro_48;Kapitaaldiensten2021100_49;KapitaaldienstenGewerktUur2021100_50;ICTKapitaaldiensten2021100_51;NietICTKapitaaldiensten2021100_52;KapitaaldienstenNeoklassiek2021100_53;TotaleInputKLEMS_54;TotaleInputKapitaalEnArbeid_55;TotaleInputKLEMS_56;TotaleInputKapitaalEnArbeid_57
247;20 Chemische industrie;2010;;;;;;;;;;;;;5.4;1.8;1.3;0.5;-0.7;0.1;-0.8;4.3;;;2.7;98.1;;;6.8;103.8;;;;;;;;;;;7821.0;97.4;74.0;3175.0;94.9;3095.0;41.6;228.0;2867.0;;93.9;94.6;86.4;94.5;;;6270.0;;94.6
248;20 Chemische industrie;2011;;;;;;;;;;;;;-0.8;0.5;0.3;0.1;0.0;0.1;-0.1;-1.3;;;-1.5;96.7;;;-0.9;102.8;;;;;;;;;;;8500.0;96.6;75.0;3315.0;95.8;3187.0;42.6;237.0;2949.0;;94.0;94.0;89.5;94.4;;;6502.0;;95.1
249;20 Chemische industrie;2012;;;;;;;;;;;;;3.0;0.3;0.0;0.3;-0.3;0.2;-0.5;3.0;;;3.0;99.6;;;3.5;106.4;;;;;;;;;;;8217.0;99.5;75.0;3384.0;96.3;2912.0;38.9;230.0;2681.0;;93.5;93.5;94.3;93.4;;;6295.0;;95.1
250;20 Chemische industrie;2013;;;;;;;;;;;;;-10.4;0.5;0.0;0.5;-0.1;0.2;-0.3;-10.8;;;-10.3;89.3;;;-10.2;95.6;;;;;;;;;;;7504.0;89.1;75.0;3475.0;97.2;2993.0;40.0;235.0;2758.0;;93.2;93.4;99.0;92.7;;;6468.0;;95.4
251;20 Chemische industrie;2014;;;;;;;;;;;;;-7.5;-0.4;-0.7;0.3;0.0;0.1;0.0;-7.2;;;-6.3;83.7;;;-7.6;88.4;;;;;;;;;;;7339.0;82.4;74.0;3547.0;96.5;2711.0;36.7;232.0;2478.0;;93.3;94.7;100.7;92.7;;;6257.0;;95.1
252;20 Chemische industrie;2015;;;;;;;;;;;;;-1.9;-0.1;-0.4;0.4;0.0;0.0;0.0;-1.8;;;-1.1;82.7;;;-1.8;86.8;;;;;;;;;;;8628.0;80.9;73.0;3527.0;96.4;2610.0;35.7;231.0;2379.0;;93.2;95.3;100.0;92.7;;;6137.0;;95.0
253;20 Chemische industrie;2016;;;;;;;;;;;;;10.4;0.6;0.5;0.1;0.4;0.0;0.4;9.3;;;9.4;90.5;;;9.2;94.8;;;;;;;;;;;9350.0;89.2;74.0;3604.0;97.4;2964.0;40.1;232.0;2732.0;;94.2;95.4;99.6;93.7;;;6569.0;;96.0
254;20 Chemische industrie;2017;;;;;;;;;;;;;9.1;0.9;0.6;0.3;0.9;0.0;0.9;7.3;;;7.9;97.7;;;6.9;101.3;;;;;;;;;;;10328.0;97.4;75.0;3773.0;99.0;3142.0;42.1;226.0;2916.0;;96.1;96.4;99.5;95.8;;;6915.0;;97.7
255;20 Chemische industrie;2018;;;;;;;;;;;;;5.5;0.5;0.6;-0.1;0.5;0.0;0.5;4.5;;;4.3;101.9;;;4.4;105.8;;;;;;;;;;;10972.0;102.8;76.0;3970.0;100.0;3026.0;40.1;227.0;2799.0;;97.1;96.3;99.1;97.0;;;6996.0;;98.7
256;20 Chemische industrie;2019;;;;;;;;;;;;;-10.3;1.1;1.0;0.0;0.6;0.0;0.6;-11.9;;;-11.9;89.7;;;-11.5;93.7;;;;;;;;;;;9463.0;92.2;77.0;4141.0;101.9;3195.0;41.5;235.0;2960.0;;98.5;95.8;99.4;98.4;;;7336.0;;100.4
257;20 Chemische industrie;2020;;;;;;;;;;;;;-4.5;-0.9;-1.1;0.2;1.0;0.0;1.0;-4.6;;;-2.6;87.4;;;-6.7;87.4;;;;;;;;;;;8251.0;88.1;75.0;4341.0;100.2;3781.0;50.1;251.0;3530.0;;100.8;100.1;99.8;100.8;;;8122.0;;100.5
258;20 Chemische industrie;2021;;;;;;;;;;;;;13.6;-0.1;-0.4;0.3;-0.4;0.0;-0.4;14.0;;100.0;14.4;100.0;;100.0;14.4;100.0;29642.0;100.0;18982.0;;;;100.0;100.0;100.0;100.0;10660.0;100.0;75.0;4084.0;100.0;3543.0;47.3;268.0;3274.0;;100.0;100.0;100.0;100.0;;26608.0;7626.0;100.0;100.0
259;20 Chemische industrie;2022;-1.0;0.1;0.2;0.0;0.0;0.0;0.0;-0.2;-1.9;0.4;1.3;-0.9;-4.1;1.0;1.1;-0.1;-0.1;0.0;-0.1;-4.9;-2.9;97.1;-6.0;94.0;-0.8;99.2;-3.8;96.2;64895.0;99.0;57005.0;15806.0;27964.0;13235.0;99.7;89.4;101.0;105.3;7890.0;95.9;76.0;4400.0;101.8;3178.0;41.6;276.0;2902.0;;99.7;97.8;99.4;99.7;;64582.0;7578.0;99.9;100.8
260;20 Chemische industrie;2023;-13.1;0.3;0.3;0.0;0.0;0.0;0.0;-11.1;-2.7;-6.6;-1.7;-2.3;-16.9;2.2;2.3;-0.1;0.3;-0.1;0.4;-19.5;-16.5;81.0;-20.1;75.1;-13.8;85.5;-17.6;79.3;52415.0;86.0;45422.0;11613.0;21119.0;12690.0;87.2;79.4;85.5;96.4;6993.0;79.7;79.0;4752.0;105.7;4873.0;61.4;277.0;4596.0;;100.5;94.8;97.5;100.8;;55047.0;9625.0;89.1;103.4
261;21 Farmaceutische industrie;1995;;;;;;;;;;;;;;;;;;;;;;;;16.4;;;;11.4;;;;;;;;;;;1690.0;13.1;28.0;833.0;48.4;1006.0;35.4;117.0;889.0;;115.3;144.5;50.9;123.9;;;1839.0;;67.1
262;21 Farmaceutische industrie;1996;;;;;;;;;;;;;6.1;1.0;0.5;0.5;1.2;0.7;0.5;4.0;;;5.0;17.3;;;3.9;11.8;;;;;;;;;;;1768.0;13.9;29.0;821.0;49.5;969.0;33.8;119.0;850.0;;117.8;146.1;56.1;125.3;;;1790.0;;68.6
263;21 Farmaceutische industrie;1997;;;;;;;;;;;;;11.7;5.7;0.7;5.0;0.3;-0.4;0.7;5.7;;;10.1;19.0;;;11.1;13.1;;;;;;;;;;;1996.0;15.5;29.0;860.0;55.7;972.0;33.4;110.0;862.0;;118.4;144.7;52.3;127.2;;;1832.0;;72.7
264;21 Farmaceutische industrie;1998;;;;;;;;;;;;;3.7;7.4;2.7;4.5;0.1;-0.6;0.7;-3.8;;;-1.8;18.6;;;3.4;13.6;;;;;;;;;;;2098.0;16.1;31.0;897.0;64.4;974.0;31.7;95.0;879.0;;118.8;137.4;47.2;129.2;;;1871.0;;78.2
265;21 Farmaceutische industrie;1999;;;;;;;;;;;;;11.1;2.2;1.9;0.3;0.7;-0.2;0.9;8.2;;;6.8;19.9;;;9.6;14.9;;;;;;;;;;;2272.0;17.9;32.0;967.0;67.4;916.0;28.6;82.0;834.0;;120.3;133.8;45.1;131.7;;;1882.0;;80.4
266;21 Farmaceutische industrie;2000;;;;;;;;;;;;;7.4;3.2;1.2;1.9;0.8;-0.1;0.9;3.4;;;4.9;20.9;;;5.6;15.7;;;;;;;;;;;2418.0;19.2;33.0;1053.0;71.6;894.0;27.3;77.0;816.0;;122.3;132.9;43.8;134.5;;;1947.0;;83.7
267;21 Farmaceutische industrie;2001;;;;;;;;;;;;;13.1;2.9;1.6;1.3;0.7;-0.1;0.8;9.5;;;9.8;22.9;;;11.4;17.5;;;;;;;;;;;2752.0;21.7;34.0;1122.0;75.4;930.0;27.6;74.0;857.0;;124.2;131.1;42.8;137.0;;;2052.0;;86.7
268;21 Farmaceutische industrie;2002;;;;;;;;;;;;;15.7;1.2;2.1;-0.9;0.5;-0.1;0.6;14.0;;;11.3;25.5;;;14.5;20.0;;;;;;;;;;;3172.0;25.2;35.0;1219.0;77.1;1064.0;30.4;70.0;994.0;;125.5;127.5;41.9;138.9;;;2283.0;;88.2
269;21 Farmaceutische industrie;2003;;;;;;;;;;;;;-4.9;-1.1;-1.0;-0.2;0.5;-0.1;0.5;-4.3;;;-3.2;24.7;;;-5.9;18.9;;;;;;;;;;;2872.0;23.9;34.0;1276.0;75.5;1119.0;32.5;63.0;1056.0;;126.8;131.2;41.0;140.6;;;2395.0;;87.6
270;21 Farmaceutische industrie;2004;;;;;;;;;;;;;-4.2;-1.2;-2.2;1.1;0.4;0.0;0.4;-3.4;;;0.0;24.7;;;-5.1;17.9;;;;;;;;;;;2703.0;22.9;33.0;1290.0;73.7;1147.0;34.8;61.0;1086.0;;128.0;138.2;40.8;142.0;;;2437.0;;86.9
271;21 Farmaceutische industrie;2005;;;;;;;;;;;;;-2.2;0.2;-0.3;0.5;-0.1;0.0;-0.1;-2.3;;;-1.6;24.3;;;-2.0;17.5;;;;;;;;;;;2469.0;22.4;33.0;1291.0;74.0;1088.0;33.2;59.0;1029.0;;127.7;138.8;40.7;141.7;;;2380.0;;87.0
272;21 Farmaceutische industrie;2006;;;;;;;;;;;;;3.3;-1.8;-1.5;-0.3;0.2;0.0;0.2;4.8;;;6.2;25.9;;;2.7;18.0;;;;;;;;;;;2403.0;23.1;32.0;1199.0;71.5;1177.0;36.9;58.0;1119.0;;128.4;143.5;40.8;142.5;;;2375.0;;85.6
273;21 Farmaceutische industrie;2007;;;;;;;;;;;;;14.6;-0.2;-0.9;0.7;0.3;0.0;0.2;14.6;;;16.7;30.2;;;14.0;20.5;;;;;;;;;;;2668.0;26.5;31.0;1231.0;71.3;1148.0;36.7;60.0;1087.0;;129.1;146.9;41.2;143.3;;;2379.0;;85.7
274;21 Farmaceutische industrie;2008;;;;;;;;;;;;;-12.3;-1.9;-1.9;0.0;0.2;0.1;0.2;-10.6;;;-9.0;27.5;;;-12.7;17.9;;;;;;;;;;;2732.0;23.3;30.0;1235.0;68.7;1157.0;38.4;63.0;1094.0;;129.7;153.1;42.6;143.7;;;2392.0;;84.3
275;21 Farmaceutische industrie;2009;;;;;;;;;;;;;3.0;0.7;0.2;0.5;0.5;0.1;0.3;1.9;;;2.6;28.2;;;2.0;18.3;;;;;;;;;;;2860.0;24.0;30.0;1218.0;69.7;1269.0;41.9;62.0;1207.0;;131.0;154.0;44.8;144.8;;;2487.0;;85.3
276;21 Farmaceutische industrie;2010;;;;;;;;;;;;;2.8;-0.2;-0.6;0.4;0.6;0.1;0.5;2.4;;;4.0;29.3;;;1.7;18.6;;;;;;;;;;;2826.0;24.7;30.0;1202.0;69.4;1255.0;41.9;64.0;1191.0;;132.5;157.6;46.7;146.2;;;2457.0;;85.6
277;21 Farmaceutische industrie;2011;;;;;;;;;;;;;3.9;-4.3;-4.5;0.2;0.4;0.1;0.3;7.8;;;14.5;33.6;;;3.0;19.2;;;;;;;;;;;2978.0;25.6;27.0;1177.0;63.2;1296.0;47.7;67.0;1229.0;;133.6;175.1;48.8;147.1;;;2473.0;;82.3
278;21 Farmaceutische industrie;2012;;;;;;;;;;;;;24.8;-5.2;-4.8;-0.4;0.2;0.2;0.0;29.8;;;39.0;46.7;;;24.4;23.9;;;;;;;;;;;3664.0;32.0;24.0;1143.0;56.3;1206.0;49.5;66.0;1141.0;;134.1;195.6;52.5;147.1;;;2350.0;;78.2
279;21 Farmaceutische industrie;2013;;;;;;;;;;;;;10.9;0.4;0.3;0.0;-9.8;0.2;-10.0;20.3;;;10.1;51.4;;;37.1;32.7;;;;;;;;;;;2558.0;35.5;25.0;1237.0;56.8;970.0;39.5;69.0;901.0;;108.4;157.1;56.5;116.7;;;2207.0;;70.8
280;21 Farmaceutische industrie;2014;;;;;;;;;;;;;9.5;0.3;0.2;0.0;-1.4;0.3;-1.7;10.6;;;9.1;56.0;;;13.1;37.0;;;;;;;;;;;2753.0;38.8;25.0;1298.0;57.1;932.0;37.8;74.0;857.0;;105.0;151.5;61.7;111.9;;;2229.0;;70.0
281;21 Farmaceutische industrie;2015;;;;;;;;;;;;;24.8;2.6;1.7;0.9;-1.2;0.3;-1.4;23.3;;;21.3;68.0;;;28.4;47.5;;;;;;;;;;;3572.0;48.5;25.0;1446.0;59.7;865.0;34.1;81.0;784.0;;102.1;143.2;66.5;107.8;;;2311.0;;71.0
282;21 Farmaceutische industrie;2016;;;;;;;;;;;;;16.4;4.4;1.8;2.6;-0.9;0.2;-1.1;12.8;;;13.1;76.9;;;19.1;56.6;;;;;;;;;;;4290.0;56.4;26.0;1662.0;63.9;880.0;33.7;86.0;794.0;;99.7;135.9;70.4;104.3;;;2542.0;;73.6
283;21 Farmaceutische industrie;2017;;;;;;;;;;;;;11.8;4.8;2.2;2.5;-0.6;0.3;-0.9;7.6;;;8.2;83.2;;;13.9;64.4;;;;;;;;;;;4668.0;63.1;27.0;1688.0;68.6;889.0;33.0;90.0;799.0;;97.9;129.1;75.8;101.3;;;2577.0;;76.6
284;21 Farmaceutische industrie;2018;;;;;;;;;;;;;7.2;4.9;2.4;2.4;-0.3;0.2;-0.6;2.7;;;3.5;86.1;;;8.3;69.8;;;;;;;;;;;4974.0;67.6;28.0;1818.0;73.7;856.0;30.6;97.0;759.0;;96.9;123.4;80.5;99.5;;;2674.0;;80.1
285;21 Farmaceutische industrie;2019;;;;;;;;;;;;;16.0;5.4;4.1;1.2;0.2;0.3;-0.1;10.4;;;9.4;94.2;;;15.3;80.5;;;;;;;;;;;5799.0;78.4;30.0;1914.0;79.6;855.0;28.8;106.0;749.0;;97.5;117.0;86.2;99.3;;;2769.0;;84.6
286;21 Farmaceutische industrie;2020;;;;;;;;;;;;;9.9;9.3;6.7;2.4;0.2;0.3;0.0;0.3;;;0.2;94.4;;;9.0;87.7;;;;;;;;;;;6515.0;86.2;33.0;2041.0;90.3;956.0;29.4;122.0;835.0;;98.3;107.6;92.6;99.2;;;2998.0;;92.7
287;21 Farmaceutische industrie;2021;;;;;;;;;;;;;16.0;7.3;6.5;0.8;0.6;0.3;0.2;8.1;;100.0;6.0;100.0;;100.0;14.0;100.0;10730.0;100.0;3168.0;;;;100.0;100.0;100.0;100.0;7562.0;100.0;36.0;2235.0;100.0;1062.0;29.8;140.0;922.0;;100.0;100.0;100.0;100.0;;6465.0;3297.0;100.0;100.0
288;21 Farmaceutische industrie;2022;10.1;0.4;0.5;-0.1;0.1;0.1;0.0;1.7;0.2;-3.8;5.3;8.0;17.1;1.2;1.5;-0.3;0.3;0.3;0.0;15.6;7.7;107.7;14.5;114.5;9.0;109.0;16.0;116.0;16393.0;110.1;7846.0;237.0;3804.0;3805.0;102.5;117.0;89.4;117.6;8547.0;117.1;36.0;2365.0;101.8;1111.0;30.5;157.0;954.0;;101.0;98.7;108.1;99.9;;11322.0;3476.0;102.2;101.5
289;21 Farmaceutische industrie;2023;-5.2;1.1;1.4;-0.3;0.1;0.1;0.1;-4.1;-0.1;-2.0;-2.0;-2.3;-4.5;3.5;4.4;-0.8;0.4;0.2;0.2;-8.4;-11.0;95.9;-10.3;102.7;-6.4;102.1;-5.7;109.4;16142.0;104.4;7395.0;206.0;3413.0;3776.0;96.4;111.6;84.0;110.7;8747.0;111.9;39.0;2554.0;107.1;1234.0;31.8;170.0;1064.0;;102.3;93.9;113.6;100.5;;11182.0;3788.0;99.2;105.5
290;22-23 Kunststof- en bouwmateriaalindustr;1995;;;;;;;;;;;;;;;;;;;;;;;;67.5;;;;86.6;;;;;;;;;;;3867.0;82.0;110.0;2091.0;103.7;1182.0;10.7;62.0;1120.0;;94.7;77.9;32.4;103.0;;;3273.0;;100.9
291;22-23 Kunststof- en bouwmateriaalindustr;1996;;;;;;;;;;;;;-1.2;0.2;-0.3;0.5;-1.6;0.1;-1.7;0.3;;;-0.6;67.1;;;3.5;89.6;;;;;;;;;;;3864.0;81.1;110.0;2100.0;104.0;1020.0;9.3;56.0;964.0;;90.4;74.8;34.6;97.7;;;3120.0;;99.4
292;22-23 Kunststof- en bouwmateriaalindustr;1997;;;;;;;;;;;;;-1.3;2.6;2.5;0.1;0.7;0.1;0.6;-4.7;;;-4.9;63.8;;;-3.5;86.5;;;;;;;;;;;3742.0;80.0;114.0;2132.0;108.1;1020.0;9.0;59.0;962.0;;92.5;73.7;36.4;99.7;;;3152.0;;102.7
293;22-23 Kunststof- en bouwmateriaalindustr;1998;;;;;;;;;;;;;2.3;1.9;1.8;0.0;0.9;0.3;0.6;-0.5;;;-0.4;63.5;;;-0.5;86.1;;;;;;;;;;;3894.0;81.8;117.0;2247.0;111.1;1055.0;9.0;64.0;991.0;;95.0;73.8;41.3;101.8;;;3302.0;;105.6
294;22-23 Kunststof- en bouwmateriaalindustr;1999;;;;;;;;;;;;;1.7;-0.3;-0.4;0.0;1.2;0.4;0.7;0.9;;;2.3;65.0;;;-1.8;84.5;;;;;;;;;;;3991.0;83.2;116.0;2380.0;110.5;1012.0;8.7;67.0;945.0;;98.4;76.9;50.0;104.3;;;3393.0;;106.4
295;22-23 Kunststof- en bouwmateriaalindustr;2000;;;;;;;;;;;;;0.9;1.2;0.5;0.7;0.8;0.3;0.5;-1.2;;;0.1;65.1;;;-1.8;83.0;;;;;;;;;;;3982.0;83.9;117.0;2557.0;112.4;1002.0;8.6;74.0;928.0;;101.1;78.4;58.1;106.2;;;3559.0;;108.6
296;22-23 Kunststof- en bouwmateriaalindustr;2001;;;;;;;;;;;;;-0.5;1.3;-0.2;1.5;0.6;0.2;0.4;-2.4;;;-0.2;65.0;;;-2.6;80.9;;;;;;;;;;;4124.0;83.5;117.0;2548.0;114.4;1017.0;8.7;80.0;936.0;;103.3;80.3;64.3;107.8;;;3564.0;;110.7
297;22-23 Kunststof- en bouwmateriaalindustr;2002;;;;;;;;;;;;;0.0;-0.9;-1.6;0.7;0.5;0.3;0.3;0.4;;;2.3;66.4;;;-1.8;79.4;;;;;;;;;;;4202.0;83.5;114.0;2611.0;113.0;1154.0;10.1;86.0;1068.0;;105.2;83.6;71.6;108.8;;;3765.0;;110.3
298;22-23 Kunststof- en bouwmateriaalindustr;2003;;;;;;;;;;;;;-4.2;-1.7;-2.3;0.6;0.2;0.2;0.0;-2.7;;;-1.0;65.8;;;-4.9;75.5;;;;;;;;;;;4027.0;80.0;110.0;2607.0;110.2;1188.0;10.8;88.0;1101.0;;105.9;87.1;78.0;108.9;;;3795.0;;108.6
299;22-23 Kunststof- en bouwmateriaalindustr;2004;;;;;;;;;;;;;4.6;-0.9;-1.4;0.5;0.0;0.1;-0.1;5.4;;;6.8;70.2;;;4.5;78.9;;;;;;;;;;;3969.0;83.7;108.0;2596.0;108.8;1163.0;10.8;89.0;1074.0;;106.0;89.0;81.3;108.6;;;3759.0;;107.7
300;22-23 Kunststof- en bouwmateriaalindustr;2005;;;;;;;;;;;;;3.1;-1.2;-2.0;0.8;0.0;0.1;-0.1;4.3;;;6.2;74.6;;;2.9;81.2;;;;;;;;;;;3985.0;86.3;105.0;2571.0;106.9;1129.0;10.8;91.0;1038.0;;106.2;91.9;85.7;108.3;;;3701.0;;106.4
301;22-23 Kunststof- en bouwmateriaalindustr;2006;;;;;;;;;;;;;7.6;-0.3;-0.8;0.5;0.1;0.2;-0.1;7.8;;;8.8;81.2;;;7.2;87.1;;;;;;;;;;;4310.0;92.8;104.0;2635.0;106.3;1210.0;11.7;96.0;1115.0;;106.5;93.2;91.8;108.0;;;3846.0;;106.1
302;22-23 Kunststof- en bouwmateriaalindustr;2007;;;;;;;;;;;;;5.6;0.9;0.3;0.6;0.3;0.2;0.1;4.5;;;5.2;85.4;;;4.8;91.3;;;;;;;;;;;4719.0;98.0;104.0;2728.0;107.7;1167.0;11.2;104.0;1063.0;;107.3;93.6;98.5;108.3;;;3895.0;;107.4
303;22-23 Kunststof- en bouwmateriaalindustr;2008;;;;;;;;;;;;;-1.0;0.7;0.4;0.3;0.3;0.1;0.2;-2.1;;;-1.5;84.1;;;-2.1;89.3;;;;;;;;;;;4717.0;97.0;104.0;2850.0;108.8;1208.0;11.6;110.0;1098.0;;108.6;94.2;103.3;109.1;;;4058.0;;108.5
304;22-23 Kunststof- en bouwmateriaalindustr;2009;;;;;;;;;;;;;-13.5;-2.8;-3.7;1.0;0.1;0.1;0.1;-10.9;;;-8.7;76.8;;;-13.9;76.9;;;;;;;;;;;4671.0;83.9;99.0;2743.0;104.6;1279.0;12.9;107.0;1172.0;;109.1;99.9;105.5;109.5;;;4021.0;;105.7
305;22-23 Kunststof- en bouwmateriaalindustr;2010;;;;;;;;;;;;;-3.5;-2.2;-3.0;0.8;-0.6;0.1;-0.7;-0.8;;;0.9;77.5;;;-1.7;75.5;;;;;;;;;;;4171.0;81.0;95.0;2677.0;101.3;1225.0;12.9;112.0;1113.0;;107.2;102.6;109.2;107.0;;;3902.0;;102.8
306;22-23 Kunststof- en bouwmateriaalindustr;2011;;;;;;;;;;;;;5.5;0.1;0.0;0.2;-0.1;0.1;-0.2;5.4;;;5.5;81.8;;;5.8;79.9;;;;;;;;;;;4370.0;85.4;95.0;2735.0;101.5;1264.0;13.4;115.0;1149.0;;106.9;102.4;112.4;106.4;;;3999.0;;102.9
307;22-23 Kunststof- en bouwmateriaalindustr;2012;;;;;;;;;;;;;-7.2;-0.8;-1.2;0.4;-0.3;0.1;-0.3;-6.1;;;-5.5;77.3;;;-6.5;74.7;;;;;;;;;;;4179.0;79.2;93.0;2840.0;100.3;1135.0;12.2;108.0;1027.0;;106.0;103.4;114.5;105.2;;;3975.0;;101.8
308;22-23 Kunststof- en bouwmateriaalindustr;2013;;;;;;;;;;;;;-0.1;-1.5;-2.0;0.6;-0.3;0.0;-0.3;1.6;;;2.8;79.5;;;0.9;75.4;;;;;;;;;;;4173.0;79.1;90.0;2840.0;98.2;1129.0;12.5;107.0;1022.0;;105.0;105.4;116.2;103.9;;;3969.0;;100.0
309;22-23 Kunststof- en bouwmateriaalindustr;2014;;;;;;;;;;;;;3.2;-2.0;-2.2;0.2;-0.2;0.0;-0.2;5.4;;;6.5;84.6;;;4.0;78.4;;;;;;;;;;;4358.0;81.6;87.0;2795.0;95.4;1083.0;12.4;106.0;977.0;;104.1;107.9;116.3;102.9;;;3879.0;;97.7
310;22-23 Kunststof- en bouwmateriaalindustr;2015;;;;;;;;;;;;;-2.5;0.1;0.1;0.0;-0.4;0.0;-0.4;-2.2;;;-2.6;82.4;;;-1.0;77.6;;;;;;;;;;;4354.0;79.6;88.0;2829.0;95.5;1022.0;11.7;105.0;918.0;;102.6;106.1;114.2;101.4;;;3851.0;;97.4
311;22-23 Kunststof- en bouwmateriaalindustr;2016;;;;;;;;;;;;;8.2;1.7;1.5;0.2;-0.5;0.0;-0.4;6.9;;;6.0;87.3;;;10.1;85.5;;;;;;;;;;;4810.0;86.1;89.0;2936.0;97.8;1064.0;11.9;103.0;961.0;;100.7;102.1;112.2;99.6;;;4001.0;;98.6
312;22-23 Kunststof- en bouwmateriaalindustr;2017;;;;;;;;;;;;;4.7;2.0;1.7;0.2;-0.3;0.0;-0.2;3.0;;;2.3;89.3;;;5.7;90.4;;;;;;;;;;;4936.0;90.2;91.0;3067.0;100.4;1077.0;11.8;100.0;977.0;;99.7;98.8;110.9;98.7;;;4144.0;;100.3
313;22-23 Kunststof- en bouwmateriaalindustr;2018;;;;;;;;;;;;;2.4;0.6;0.2;0.3;-0.1;0.0;-0.1;1.9;;;2.0;91.1;;;2.8;93.0;;;;;;;;;;;5110.0;92.3;92.0;3187.0;101.1;1018.0;11.1;99.0;918.0;;99.3;98.0;109.3;98.3;;;4204.0;;100.7
314;22-23 Kunststof- en bouwmateriaalindustr;2019;;;;;;;;;;;;;-1.7;1.4;1.2;0.2;0.0;0.0;0.1;-3.1;;;-3.2;88.2;;;-1.9;91.2;;;;;;;;;;;5254.0;90.7;93.0;3306.0;102.9;1043.0;11.2;101.0;941.0;;99.5;96.7;107.4;98.7;;;4348.0;;102.1
315;22-23 Kunststof- en bouwmateriaalindustr;2020;;;;;;;;;;;;;-3.9;-5.0;-5.3;0.4;0.1;-0.1;0.2;0.9;;;3.3;91.1;;;-4.5;87.1;;;;;;;;;;;5453.0;87.2;87.0;3382.0;96.2;1214.0;14.0;105.0;1109.0;;100.1;104.6;104.1;99.7;;;4596.0;;97.2
316;22-23 Kunststof- en bouwmateriaalindustr;2021;;;;;;;;;;;;;14.7;2.9;3.3;-0.4;0.0;-0.1;0.1;11.8;;100.0;9.7;100.0;;100.0;14.8;100.0;10239.0;100.0;4627.0;;;;100.0;100.0;100.0;100.0;5612.0;100.0;91.0;3432.0;100.0;1215.0;13.4;107.0;1109.0;;100.0;100.0;100.0;100.0;;9274.0;4647.0;100.0;100.0
317;22-23 Kunststof- en bouwmateriaalindustr;2022;-1.0;0.7;0.8;-0.1;0.0;0.0;0.0;-1.1;-0.2;-0.9;0.0;-0.6;0.3;2.5;2.8;-0.3;0.0;-0.1;0.1;-2.2;-4.6;95.4;-3.4;96.6;-1.1;98.9;0.2;100.2;18899.0;99.0;12978.0;1601.0;7290.0;4087.0;98.4;96.5;97.7;100.0;5921.0;100.3;94.0;3616.0;103.4;1206.0;12.8;107.0;1099.0;;100.1;96.4;96.8;100.4;;17800.0;4823.0;99.6;102.6
318;22-23 Kunststof- en bouwmateriaalindustr;2023;-12.0;-0.2;-0.2;0.0;0.0;0.0;0.0;-8.5;-1.2;-4.5;-2.8;-3.3;-12.7;-0.8;-0.9;0.1;0.0;-0.1;0.1;-12.0;-10.9;85.0;-11.7;85.4;-12.1;87.0;-12.8;87.4;17694.0;87.1;11337.0;1270.0;6269.0;3798.0;86.9;83.3;87.0;87.7;6357.0;87.5;93.0;3774.0;102.3;1502.0;16.2;108.0;1394.0;;100.2;97.7;94.4;100.8;;16613.0;5276.0;90.9;101.8
319;24-25 Basismetaal, metaalprod.-industrie;1995;;;;;;;;;;;;;;;;;;;;;;;;63.1;;;;67.0;;;;;;;;;;;5944.0;69.7;214.0;3815.0;96.4;1968.0;9.2;120.0;1848.0;;104.0;94.2;27.1;118.9;;;5783.0;;99.4
320;24-25 Basismetaal, metaalprod.-industrie;1996;;;;;;;;;;;;;1.0;2.2;1.9;0.3;-4.7;0.2;-4.9;3.5;;;-1.9;61.9;;;17.2;78.6;;;;;;;;;;;5860.0;70.4;221.0;3889.0;99.6;1538.0;7.0;109.0;1429.0;;89.6;78.9;29.1;100.9;;;5427.0;;96.9
