ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
237;Niet-westerse migratieachtergrond;2053;29091;1.88
238;Niet-westerse migratieachtergrond;2054;29209;1.88
239;Niet-westerse migratieachtergrond;2055;29327;1.88
240;Niet-westerse migratieachtergrond;2056;29438;1.88
241;Niet-westerse migratieachtergrond;2057;29551;1.88
242;Niet-westerse migratieachtergrond;2058;29662;1.88
243;Niet-westerse migratieachtergrond;2059;29770;1.88
244;Niet-westerse migratieachtergrond;2060;29876;1.88
245;Niet-westerse migratieachtergrond;2061;29979;1.88
246;Niet-westerse migratieachtergrond;2062;30077;1.88
247;Niet-westerse migratieachtergrond;2063;30172;1.87
248;Niet-westerse migratieachtergrond;2064;30264;1.87
249;Niet-westerse migratieachtergrond;2065;30350;1.87
250;Niet-westerse migratieachtergrond;2066;30432;1.87
251;Niet-westerse migratieachtergrond;2067;30512;1.87
252;Niet-westerse migratieachtergrond;2068;30586;1.87
253;Niet-westerse migratieachtergrond;2069;30659;1.87
254;Niet-westerse migratieachtergrond;2070;30723;1.87
255;Afrika;2020;4699;2.7
256;Afrika;2021;4538;2.55
257;Afrika;2022;4752;2.57
258;Afrika;2023;5039;2.61
259;Afrika;2024;5327;2.66
260;Afrika;2025;5515;2.66
261;Afrika;2026;5689;2.67
262;Afrika;2027;5810;2.67
263;Afrika;2028;5912;2.66
264;Afrika;2029;5998;2.65
265;Afrika;2030;6069;2.64
266;Afrika;2031;6129;2.63
267;Afrika;2032;6185;2.62
268;Afrika;2033;6237;2.61
269;Afrika;2034;6287;2.6
270;Afrika;2035;6334;2.59
271;Afrika;2036;6378;2.58
272;Afrika;2037;6420;2.57
273;Afrika;2038;6458;2.56
274;Afrika;2039;6497;2.55
275;Afrika;2040;6536;2.54
276;Afrika;2041;6576;2.54
277;Afrika;2042;6615;2.53
278;Afrika;2043;6654;2.52
279;Afrika;2044;6693;2.52
280;Afrika;2045;6733;2.51
281;Afrika;2046;6773;2.51
282;Afrika;2047;6814;2.5
283;Afrika;2048;6859;2.5
284;Afrika;2049;6903;2.5
285;Afrika;2050;6948;2.5
286;Afrika;2051;6992;2.5
287;Afrika;2052;7034;2.5
288;Afrika;2053;7076;2.5
289;Afrika;2054;7116;2.5
290;Afrika;2055;7157;2.5
291;Afrika;2056;7195;2.5
292;Afrika;2057;7233;2.5
293;Afrika;2058;7271;2.5
294;Afrika;2059;7307;2.5
295;Afrika;2060;7343;2.5
296;Afrika;2061;7378;2.5
297;Afrika;2062;7411;2.5
298;Afrika;2063;7443;2.5
299;Afrika;2064;7475;2.5
300;Afrika;2065;7504;2.5
301;Afrika;2066;7532;2.5
302;Afrika;2067;7560;2.5
303;Afrika;2068;7586;2.5
304;Afrika;2069;7610;2.5
305;Afrika;2070;7632;2.5
306;(voormalige) Nederlandse Antillen, Aruba;2020;1218;1.49
307;(voormalige) Nederlandse Antillen, Aruba;2021;1166;1.43
308;(voormalige) Nederlandse Antillen, Aruba;2022;1182;1.47
309;(voormalige) Nederlandse Antillen, Aruba;2023;1220;1.53
310;(voormalige) Nederlandse Antillen, Aruba;2024;1269;1.6
311;(voormalige) Nederlandse Antillen, Aruba;2025;1300;1.65
312;(voormalige) Nederlandse Antillen, Aruba;2026;1328;1.69
313;(voormalige) Nederlandse Antillen, Aruba;2027;1340;1.72
314;(voormalige) Nederlandse Antillen, Aruba;2028;1343;1.74
315;(voormalige) Nederlandse Antillen, Aruba;2029;1334;1.75
316;(voormalige) Nederlandse Antillen, Aruba;2030;1318;1.75
317;(voormalige) Nederlandse Antillen, Aruba;2031;1301;1.75
318;(voormalige) Nederlandse Antillen, Aruba;2032;1286;1.75
319;(voormalige) Nederlandse Antillen, Aruba;2033;1271;1.75
320;(voormalige) Nederlandse Antillen, Aruba;2034;1258;1.75
321;(voormalige) Nederlandse Antillen, Aruba;2035;1246;1.75
322;(voormalige) Nederlandse Antillen, Aruba;2036;1235;1.75
323;(voormalige) Nederlandse Antillen, Aruba;2037;1227;1.75
324;(voormalige) Nederlandse Antillen, Aruba;2038;1221;1.75
325;(voormalige) Nederlandse Antillen, Aruba;2039;1217;1.75
326;(voormalige) Nederlandse Antillen, Aruba;2040;1216;1.75
327;(voormalige) Nederlandse Antillen, Aruba;2041;1216;1.75
328;(voormalige) Nederlandse Antillen, Aruba;2042;1218;1.75
329;(voormalige) Nederlandse Antillen, Aruba;2043;1220;1.75
330;(voormalige) Nederlandse Antillen, Aruba;2044;1222;1.75
331;(voormalige) Nederlandse Antillen, Aruba;2045;1225;1.75
332;(voormalige) Nederlandse Antillen, Aruba;2046;1228;1.75
333;(voormalige) Nederlandse Antillen, Aruba;2047;1230;1.75
334;(voormalige) Nederlandse Antillen, Aruba;2048;1233;1.75
335;(voormalige) Nederlandse Antillen, Aruba;2049;1235;1.75
336;(voormalige) Nederlandse Antillen, Aruba;2050;1237;1.75
337;(voormalige) Nederlandse Antillen, Aruba;2051;1239;1.75
338;(voormalige) Nederlandse Antillen, Aruba;2052;1240;1.75
339;(voormalige) Nederlandse Antillen, Aruba;2053;1242;1.75
340;(voormalige) Nederlandse Antillen, Aruba;2054;1244;1.75
341;(voormalige) Nederlandse Antillen, Aruba;2055;1245;1.75
342;(voormalige) Nederlandse Antillen, Aruba;2056;1246;1.75
343;(voormalige) Nederlandse Antillen, Aruba;2057;1248;1.75
344;(voormalige) Nederlandse Antillen, Aruba;2058;1250;1.75
345;(voormalige) Nederlandse Antillen, Aruba;2059;1251;1.75
346;(voormalige) Nederlandse Antillen, Aruba;2060;1253;1.75
347;(voormalige) Nederlandse Antillen, Aruba;2061;1254;1.75
348;(voormalige) Nederlandse Antillen, Aruba;2062;1255;1.75
349;(voormalige) Nederlandse Antillen, Aruba;2063;1257;1.75
350;(voormalige) Nederlandse Antillen, Aruba;2064;1258;1.75
351;(voormalige) Nederlandse Antillen, Aruba;2065;1259;1.75
352;(voormalige) Nederlandse Antillen, Aruba;2066;1260;1.75
353;(voormalige) Nederlandse Antillen, Aruba;2067;1261;1.75
354;(voormalige) Nederlandse Antillen, Aruba;2068;1261;1.75
355;(voormalige) Nederlandse Antillen, Aruba;2069;1262;1.75
356;(voormalige) Nederlandse Antillen, Aruba;2070;1263;1.75
357;Midden- en Oost-Europese landen in de EU;2020;5845;1.48
358;Midden- en Oost-Europese landen in de EU;2021;5736;1.4
359;Midden- en Oost-Europese landen in de EU;2022;6046;1.42
360;Midden- en Oost-Europese landen in de EU;2023;6439;1.44
361;Midden- en Oost-Europese landen in de EU;2024;6854;1.47
362;Midden- en Oost-Europese landen in de EU;2025;7138;1.48
363;Midden- en Oost-Europese landen in de EU;2026;7396;1.5
364;Midden- en Oost-Europese landen in de EU;2027;7578;1.5
365;Midden- en Oost-Europese landen in de EU;2028;7740;1.5
366;Midden- en Oost-Europese landen in de EU;2029;7889;1.5
367;Midden- en Oost-Europese landen in de EU;2030;8030;1.5
368;Midden- en Oost-Europese landen in de EU;2031;8167;1.5
369;Midden- en Oost-Europese landen in de EU;2032;8291;1.5
370;Midden- en Oost-Europese landen in de EU;2033;8398;1.5
371;Midden- en Oost-Europese landen in de EU;2034;8494;1.5
372;Midden- en Oost-Europese landen in de EU;2035;8585;1.5
373;Midden- en Oost-Europese landen in de EU;2036;8675;1.5
374;Midden- en Oost-Europese landen in de EU;2037;8764;1.5
375;Midden- en Oost-Europese landen in de EU;2038;8853;1.5
376;Midden- en Oost-Europese landen in de EU;2039;8941;1.5
377;Midden- en Oost-Europese landen in de EU;2040;9029;1.5
378;Midden- en Oost-Europese landen in de EU;2041;9115;1.5
379;Midden- en Oost-Europese landen in de EU;2042;9204;1.5
380;Midden- en Oost-Europese landen in de EU;2043;9296;1.5
381;Midden- en Oost-Europese landen in de EU;2044;9388;1.5
382;Midden- en Oost-Europese landen in de EU;2045;9483;1.5
383;Midden- en Oost-Europese landen in de EU;2046;9578;1.5
384;Midden- en Oost-Europese landen in de EU;2047;9675;1.5
385;Midden- en Oost-Europese landen in de EU;2048;9771;1.5
386;Midden- en Oost-Europese landen in de EU;2049;9870;1.5
387;Midden- en Oost-Europese landen in de EU;2050;9968;1.5
388;Midden- en Oost-Europese landen in de EU;2051;10068;1.5
389;Midden- en Oost-Europese landen in de EU;2052;10164;1.5
390;Midden- en Oost-Europese landen in de EU;2053;10260;1.5
391;Midden- en Oost-Europese landen in de EU;2054;10357;1.5
392;Midden- en Oost-Europese landen in de EU;2055;10451;1.5
393;Midden- en Oost-Europese landen in de EU;2056;10544;1.5
394;Midden- en Oost-Europese landen in de EU;2057;10633;1.5
395;Midden- en Oost-Europese landen in de EU;2058;10723;1.5
396;Midden- en Oost-Europese landen in de EU;2059;10808;1.5
397;Midden- en Oost-Europese landen in de EU;2060;10891;1.5
398;Midden- en Oost-Europese landen in de EU;2061;10969;1.5
399;Midden- en Oost-Europese landen in de EU;2062;11046;1.5
400;Midden- en Oost-Europese landen in de EU;2063;11121;1.5
401;Midden- en Oost-Europese landen in de EU;2064;11191;1.5
402;Midden- en Oost-Europese landen in de EU;2065;11259;1.5
403;Midden- en Oost-Europese landen in de EU;2066;11324;1.5
404;Midden- en Oost-Europese landen in de EU;2067;11386;1.5
405;Midden- en Oost-Europese landen in de EU;2068;11441;1.5
406;Midden- en Oost-Europese landen in de EU;2069;11495;1.5
407;Midden- en Oost-Europese landen in de EU;2070;11542;1.5
408;West-Europese landen in de EU (incl. VK);2020;3957;1.2
409;West-Europese landen in de EU (incl. VK);2021;3914;1.14
410;West-Europese landen in de EU (incl. VK);2022;4187;1.16
411;West-Europese landen in de EU (incl. VK);2023;4541;1.2
412;West-Europese landen in de EU (incl. VK);2024;4922;1.23
413;West-Europese landen in de EU (incl. VK);2025;5236;1.26
414;West-Europese landen in de EU (incl. VK);2026;5547;1.28
415;West-Europese landen in de EU (incl. VK);2027;5802;1.29
416;West-Europese landen in de EU (incl. VK);2028;6021;1.3
417;West-Europese landen in de EU (incl. VK);2029;6198;1.3
418;West-Europese landen in de EU (incl. VK);2030;6334;1.3
419;West-Europese landen in de EU (incl. VK);2031;6450;1.3
420;West-Europese landen in de EU (incl. VK);2032;6547;1.3
421;West-Europese landen in de EU (incl. VK);2033;6630;1.3
422;West-Europese landen in de EU (incl. VK);2034;6698;1.3
423;West-Europese landen in de EU (incl. VK);2035;6761;1.3
424;West-Europese landen in de EU (incl. VK);2036;6812;1.3
425;West-Europese landen in de EU (incl. VK);2037;6859;1.3
426;West-Europese landen in de EU (incl. VK);2038;6901;1.3
427;West-Europese landen in de EU (incl. VK);2039;6941;1.3
428;West-Europese landen in de EU (incl. VK);2040;6977;1.3
429;West-Europese landen in de EU (incl. VK);2041;7011;1.3
430;West-Europese landen in de EU (incl. VK);2042;7047;1.3
431;West-Europese landen in de EU (incl. VK);2043;7080;1.3
432;West-Europese landen in de EU (incl. VK);2044;7112;1.3
433;West-Europese landen in de EU (incl. VK);2045;7145;1.3
434;West-Europese landen in de EU (incl. VK);2046;7178;1.3
435;West-Europese landen in de EU (incl. VK);2047;7207;1.3
436;West-Europese landen in de EU (incl. VK);2048;7239;1.3
437;West-Europese landen in de EU (incl. VK);2049;7270;1.3
438;West-Europese landen in de EU (incl. VK);2050;7299;1.3
439;West-Europese landen in de EU (incl. VK);2051;7328;1.3
440;West-Europese landen in de EU (incl. VK);2052;7358;1.3
441;West-Europese landen in de EU (incl. VK);2053;7385;1.3
442;West-Europese landen in de EU (incl. VK);2054;7412;1.3
443;West-Europese landen in de EU (incl. VK);2055;7440;1.3
444;West-Europese landen in de EU (incl. VK);2056;7465;1.3
445;West-Europese landen in de EU (incl. VK);2057;7493;1.3
446;West-Europese landen in de EU (incl. VK);2058;7517;1.3
447;West-Europese landen in de EU (incl. VK);2059;7543;1.3
448;West-Europese landen in de EU (incl. VK);2060;7569;1.3
449;West-Europese landen in de EU (incl. VK);2061;7593;1.3
450;West-Europese landen in de EU (incl. VK);2062;7618;1.3
451;West-Europese landen in de EU (incl. VK);2063;7639;1.3
452;West-Europese landen in de EU (incl. VK);2064;7663;1.3
453;West-Europese landen in de EU (incl. VK);2065;7686;1.3
454;West-Europese landen in de EU (incl. VK);2066;7708;1.3
455;West-Europese landen in de EU (incl. VK);2067;7729;1.3
456;West-Europese landen in de EU (incl. VK);2068;7748;1.3
457;West-Europese landen in de EU (incl. VK);2069;7771;1.3
458;West-Europese landen in de EU (incl. VK);2070;7790;1.3
459;Indonesië;2020;370;1.47
460;Indonesië;2021;335;1.38
461;Indonesië;2022;326;1.39
462;Indonesië;2023;324;1.4
463;Indonesië;2024;323;1.42
464;Indonesië;2025;316;1.42
465;Indonesië;2026;311;1.41
466;Indonesië;2027;306;1.41
467;Indonesië;2028;300;1.4
468;Indonesië;2029;295;1.4
469;Indonesië;2030;291;1.4
