ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
196;Laag;Ondergrens 95%-interval;Buitengebied Rhoon-Noord;          ;
197;Laag;Ondergrens 95%-interval;Wijk 03 Poortugaal-Zuid;          ;1430.0
198;Laag;Ondergrens 95%-interval;Beatrixstraat;          ;160.0
199;Laag;Ondergrens 95%-interval;Landweg;          ;290.0
200;Laag;Ondergrens 95%-interval;Poortugaal-Centrum;          ;110.0
201;Laag;Ondergrens 95%-interval;Poortugaal Zuid;          ;440.0
202;Laag;Ondergrens 95%-interval;Polder Albrandswaard;          ;270.0
203;Laag;Ondergrens 95%-interval;Kijvelanden;          ;10.0
204;Laag;Ondergrens 95%-interval;Wijk 04 Rhoon-Zuid;          ;880.0
205;Laag;Ondergrens 95%-interval;Rhoon-Centrum;          ;170.0
206;Laag;Ondergrens 95%-interval;Ghijseland;          ;150.0
207;Laag;Ondergrens 95%-interval;Overhoeken;          ;10.0
208;Laag;Ondergrens 95%-interval;Park Rhoon;          ;120.0
209;Laag;Ondergrens 95%-interval;Rhoon-Zuidoost;          ;140.0
210;Laag;Ondergrens 95%-interval;Tijsjesdijk;          ;140.0
211;Laag;Ondergrens 95%-interval;Buitengebied Rhoon-Zuid;          ;30.0
212;Laag;Ondergrens 95%-interval;Wijk 05 Buitengebied Albrandswaard;          ;20.0
213;Laag;Ondergrens 95%-interval;Portland-Koedoodzone;          ;
214;Laag;Ondergrens 95%-interval;Buitengebied;          ;
215;Laag;Ondergrens 95%-interval;Wijk 06 Portland;          ;1170.0
216;Laag;Ondergrens 95%-interval;Driehoek;          ;380.0
217;Laag;Ondergrens 95%-interval;Portland-Centrum;          ;190.0
218;Laag;Ondergrens 95%-interval;Wijkpark Portland;          ;10.0
219;Laag;Ondergrens 95%-interval;De Eilanden;          ;510.0
220;Laag;Ondergrens 95%-interval;Wijk 07 Rotterdam-Albrandswaard;          ;
221;Laag;Ondergrens 95%-interval;Distripark;          ;
222;Laag;Ondergrens 95%-interval;Alkmaar;          ;21050.0
223;Laag;Ondergrens 95%-interval;Zuid;          ;2160.0
224;Laag;Ondergrens 95%-interval;Kooimeer;          ;520.0
225;Laag;Ondergrens 95%-interval;Dillenburg en Stadhouderskwartier;          ;180.0
226;Laag;Ondergrens 95%-interval;Staatsliedenkwartier en Landstraten;          ;330.0
227;Laag;Ondergrens 95%-interval;Oud-Rochdale;          ;220.0
228;Laag;Ondergrens 95%-interval;Emmakwartier;          ;80.0
229;Laag;Ondergrens 95%-interval;Nassaukwartier en Hout;          ;140.0
230;Laag;Ondergrens 95%-interval;Oranjepark;          ;100.0
231;Laag;Ondergrens 95%-interval;Cranenbroek;          ;40.0
232;Laag;Ondergrens 95%-interval;Bloemwijk en Zocherkwartier;          ;200.0
233;Laag;Ondergrens 95%-interval;Burgemeesterskwartier;          ;110.0
234;Laag;Ondergrens 95%-interval;Oudorp;          ;2430.0
235;Laag;Ondergrens 95%-interval;Rekerbuurt en Ooievaarsnest;          ;310.0
236;Laag;Ondergrens 95%-interval;Oudorp-Noord en Oudorp-Oost;          ;300.0
237;Laag;Ondergrens 95%-interval;Oudorp-Centrum;          ;240.0
238;Laag;Ondergrens 95%-interval;Schermereiland en Omval;          ;350.0
239;Laag;Ondergrens 95%-interval;Oudorperpolder-Zuid;          ;600.0
240;Laag;Ondergrens 95%-interval;Oudorperpolder-Midden;          ;40.0
241;Laag;Ondergrens 95%-interval;Oudorperpolder-Noord;          ;160.0
242;Laag;Ondergrens 95%-interval;De Nollen;          ;160.0
243;Laag;Ondergrens 95%-interval;Beverkoog;          ;10.0
244;Laag;Ondergrens 95%-interval;Overdie;          ;2220.0
245;Laag;Ondergrens 95%-interval;Oud-Overdie;          ;680.0
246;Laag;Ondergrens 95%-interval;Oosterhout;          ;
247;Laag;Ondergrens 95%-interval;Overdie-Oost;          ;990.0
248;Laag;Ondergrens 95%-interval;Overdie-West;          ;210.0
249;Laag;Ondergrens 95%-interval;Boekelermeer-Zuid;          ;
250;Laag;Ondergrens 95%-interval;Boekelermeer-Noord;          ;
251;Laag;Ondergrens 95%-interval;West;          ;2080.0
252;Laag;Ondergrens 95%-interval;De Hoef III en IV;          ;790.0
253;Laag;Ondergrens 95%-interval;De Hoef I en II;          ;550.0
254;Laag;Ondergrens 95%-interval;Bergerwegkwartier;          ;200.0
255;Laag;Ondergrens 95%-interval;Bergerhof en Blaeustraatkwartier;          ;140.0
256;Laag;Ondergrens 95%-interval;Bergermeer;          ;160.0
257;Laag;Ondergrens 95%-interval;Landelijk gebied-West;          ;50.0
258;Laag;Ondergrens 95%-interval;Huiswaard;          ;1430.0
259;Laag;Ondergrens 95%-interval;Huiswaard-1-Zuid;          ;560.0
260;Laag;Ondergrens 95%-interval;Muiderwaard;          ;120.0
261;Laag;Ondergrens 95%-interval;Huiswaard-2-West;          ;320.0
262;Laag;Ondergrens 95%-interval;Huiswaard-2-Oost;          ;300.0
263;Laag;Ondergrens 95%-interval;De Mare;          ;3250.0
264;Laag;Ondergrens 95%-interval;'t Rak-Zuid;          ;740.0
265;Laag;Ondergrens 95%-interval;'t Rak-Noord;          ;530.0
266;Laag;Ondergrens 95%-interval;De Horn-Noord;          ;560.0
267;Laag;Ondergrens 95%-interval;De Horn-Zuid;          ;600.0
268;Laag;Ondergrens 95%-interval;De Mare;          ;570.0
