ID;TypeOfDelivery;Periods;TotalTransport_1;TotalRoadTransport_2;AutomotiveLPG_3;TotalMotorGasoline_4;Unleaded95_5;SuperUnleaded98_6;NormalLeaded_7;SuperLeaded_8;TotalTransportDiesel_9;LowSulphurDiesel_10;HighSulphurDiesel_11;NaturalGas_12;Electricity_13;TotalWaterTransport_14;TotalHeatingAndOtherGasoil_15;DeliveriesToInlandWaterTransport_16;DeliveriesToSeaTransport_17;DeliveriesToWaterTransportTraders_18;TotalFuelOil_19;LowSulphurFuelOil_20;HighSulphurFuelOil_21;TotalAirTransport_22;KeroseneTypeJetFuel_23;AviationGasoline_24;GasolineTypeJetFuel_25;TotalRailTransport_26;HeatingAndOtherGasoil_27;Electricity_28;AutomotiveLPG_29;TotalMotorGasoline_30;Unleaded95_31;SuperUnleaded98_32;NormalLeaded_33;SuperLeaded_34;TotalTransportDiesel_35;LowSulphurDiesel_36;HighSulphurDiesel_37;NaturalGas_38;Electricity_39;TotalHeatingAndOtherGasoil_40;DeliveriesToInlandWaterTransport_41;DeliveriesToSeaTransport_42;DeliveriesToWaterTransportTraders_43;TotalFuelOil_44;LowSulphurFuelOil_45;HighSulphurFuelOil_46;KeroseneTypeJetFuel_47;AviationGasoline_48;GasolineTypeJetFuel_49;HeatingOilAndOtherGasoil_50;Electricity_51;AutomotiveLPG_52;TotalMotorGasoline_53;Unleaded95_54;SuperUnleaded98_55;NormalLeaded_56;SuperLeaded_57;TotalTransportDiesel_58;LowSulphurDiesel_59;HighSulphurDiesel_60
228;Total deliveries;2010 April;97.7;41.3;1.1;15.7;15.5;0.2;;;24.4;24.4;;;;45.8;6.2;3.3;2.9;0.0;39.6;0.5;39.1;10.1;10.1;0.0;;;;;25.0;357.0;351.0;5.0;;;573.0;573.0;;;;144.0;77.0;67.0;0.0;965.0;13.0;953.0;232.0;0.0;;;;48.0;476.0;469.0;7.0;;;684.0;684.0;
229;Total deliveries;2010 May;102.9;39.0;1.1;15.3;15.1;0.2;;;22.6;22.6;;;;49.9;6.3;3.4;2.9;0.0;43.7;1.9;41.7;13.4;13.4;0.0;;;;;24.0;349.0;344.0;5.0;;;528.0;528.0;;;;146.0;79.0;67.0;0.0;1065.0;47.0;1017.0;307.0;0.0;;;;49.0;466.0;459.0;6.0;;;631.0;631.0;
230;Total deliveries;2010 June;104.5;41.4;1.1;15.9;15.5;0.4;;;24.4;24.4;;;;49.5;6.8;3.4;3.4;0.0;42.7;7.6;35.2;13.0;13.0;0.0;;;;;24.0;362.0;353.0;10.0;;;571.0;571.0;;;;158.0;79.0;79.0;0.0;1042.0;184.0;858.0;299.0;0.0;;;;45.0;484.0;471.0;13.0;;;682.0;682.0;
231;Total deliveries;2010 2nd quarter;305.2;121.8;3.3;47.0;46.1;0.9;;;71.4;71.4;;0.1;0.0;145.2;19.2;10.1;9.1;0.0;126.1;10.0;116.0;36.5;36.5;0.0;;1.7;0.4;1.4;74.0;1068.0;1048.0;20.0;;;1671.0;1671.0;;4.0;2.0;450.0;236.0;213.0;1.0;3075.0;244.0;2830.0;838.0;1.0;;8.0;375.0;139.0;1426.0;1400.0;27.0;;;1998.0;1998.0;
232;Total deliveries;2010 July;102.4;39.0;1.1;15.7;15.7;0.0;;;22.1;22.1;;;;48.4;6.3;3.6;2.7;0.0;42.2;10.6;31.6;14.4;14.4;0.0;;;;;25.0;357.0;357.0;1.0;;;518.0;518.0;;;;145.0;83.0;62.0;0.0;1029.0;258.0;772.0;330.0;0.0;;;;46.0;478.0;477.0;1.0;;;620.0;620.0;
233;Total deliveries;2010 August;100.9;36.7;1.0;15.1;14.9;0.2;;;20.6;20.6;;;;50.4;5.6;3.1;2.5;0.0;44.9;10.3;34.5;13.2;13.2;0.0;;;;;22.0;342.0;338.0;5.0;;;483.0;483.0;;;;131.0;73.0;58.0;0.0;1094.0;252.0;842.0;304.0;0.0;;;;42.0;457.0;451.0;6.0;;;578.0;578.0;
234;Total deliveries;2010 September;105.1;40.5;1.1;15.8;15.6;0.2;;;23.5;23.5;;;;51.3;5.8;3.4;2.4;0.0;45.6;8.9;36.6;12.8;12.8;0.0;;;;;25.0;359.0;354.0;5.0;;;551.0;551.0;;;;135.0;79.0;56.0;0.0;1112.0;218.0;894.0;293.0;0.0;;;;48.0;479.0;473.0;6.0;;;657.0;657.0;
235;Total deliveries;2010 3rd quarter;308.4;116.2;3.3;46.6;46.1;0.4;;;66.3;66.3;;0.1;0.0;150.2;17.5;10.0;7.5;0.0;132.6;29.8;102.8;40.4;40.3;0.0;;1.6;0.4;1.2;72.0;1058.0;1048.0;10.0;;;1553.0;1553.0;;4.0;2.0;411.0;235.0;176.0;0.0;3235.0;728.0;2507.0;927.0;1.0;;8.0;345.0;136.0;1414.0;1401.0;13.0;;;1855.0;1855.0;
236;Total deliveries;2010 October;105.1;41.1;1.1;15.9;15.7;0.2;;;24.0;24.0;;;;49.9;5.8;3.5;2.3;0.0;44.1;11.0;33.1;13.3;13.3;0.0;;;;;25.0;361.0;356.0;5.0;;;562.0;562.0;;;;136.0;82.0;54.0;0.0;1077.0;269.0;808.0;306.0;0.0;;;;47.0;482.0;475.0;7.0;;;671.0;671.0;
237;Total deliveries;2010 November;103.8;41.8;1.2;15.9;15.7;0.2;;;24.8;24.8;;;;49.6;5.9;3.3;2.6;0.0;43.7;10.3;33.3;11.6;11.6;0.0;;;;;26.0;360.0;356.0;4.0;;;580.0;580.0;;;;138.0;76.0;62.0;0.0;1065.0;252.0;813.0;266.0;0.0;;;;48.0;482.0;476.0;6.0;;;692.0;692.0;
238;Total deliveries;2010 December;100.2;38.0;1.1;14.8;14.6;0.2;;;22.0;22.0;;;;50.3;6.3;3.4;2.9;0.0;44.1;11.3;32.8;11.2;11.2;0.0;;;;;25.0;336.0;332.0;4.0;;;515.0;515.0;;;;146.0;79.0;67.0;0.0;1076.0;275.0;800.0;256.0;0.0;;;;47.0;449.0;444.0;5.0;;;615.0;615.0;
239;Total deliveries;2010 4th quarter;309.0;120.9;3.4;46.5;45.9;0.6;;;70.8;70.8;;0.1;0.0;149.7;18.0;10.0;8.0;0.0;131.8;32.6;99.1;36.1;36.0;0.0;;2.4;0.4;2.0;76.0;1058.0;1044.0;14.0;;;1657.0;1657.0;;4.0;2.0;421.0;234.0;187.0;0.0;3213.0;796.0;2417.0;829.0;0.0;;8.0;556.0;144.0;1413.0;1395.0;18.0;;;1979.0;1979.0;
240;Total deliveries;2010;1215.2;472.9;13.6;184.1;181.6;2.5;;;274.7;274.7;;0.5;0.0;589.6;72.5;40.0;32.4;0.1;517.2;72.7;444.5;145.0;144.9;0.1;;7.6;1.4;6.2;301.0;4183.0;4127.0;56.0;;;6434.0;6434.0;;14.0;10.0;1697.0;936.0;760.0;1.0;12614.0;1773.0;10841.0;3332.0;2.0;;33.0;1723.0;568.0;5589.0;5514.0;75.0;;;7687.0;7687.0;
241;Total deliveries;2011 January;101.3;37.1;1.0;14.9;14.8;0.2;;;21.0;21.0;;;;51.8;5.8;2.5;3.3;0.0;45.9;10.7;35.3;11.8;11.8;0.0;;;;;23.0;340.0;336.0;4.0;;;492.0;492.0;;;;137.0;59.0;78.0;0.0;1121.0;260.0;860.0;270.0;0.0;;;;44.0;454.0;449.0;5.0;;;588.0;588.0;
242;Total deliveries;2011 February;91.5;37.4;1.0;14.6;14.5;0.2;;;21.7;21.7;;;;43.1;5.6;2.8;2.8;0.0;37.6;9.6;27.9;10.2;10.2;0.0;;;;;23.0;333.0;329.0;4.0;;;509.0;509.0;;;;131.0;65.0;66.0;0.0;916.0;234.0;682.0;235.0;0.0;;;;43.0;444.0;439.0;6.0;;;607.0;607.0;
243;Total deliveries;2011 March;108.6;43.1;1.1;16.2;16.0;0.2;;;25.7;25.7;;;;53.0;6.6;3.4;3.2;0.0;46.4;11.7;34.7;11.9;11.9;0.0;;;;;25.0;369.0;364.0;5.0;;;601.0;601.0;;;;154.0;79.0;75.0;0.0;1131.0;285.0;846.0;274.0;0.0;;;;48.0;492.0;486.0;6.0;;;718.0;718.0;
244;Total deliveries;2011 1st quarter;301.4;117.6;3.2;45.8;45.3;0.5;;;68.4;68.4;;0.1;0.0;147.9;18.0;8.6;9.4;0.0;129.9;32.0;97.9;33.9;33.9;0.0;;2.0;0.3;1.6;71.0;1041.0;1028.0;12.0;;;1602.0;1602.0;;4.0;3.0;423.0;202.0;220.0;1.0;3168.0;780.0;2388.0;780.0;0.0;;8.0;446.0;134.0;1390.0;1374.0;17.0;;;1913.0;1913.0;
245;Total deliveries;2011 April;104.9;41.7;1.1;15.9;15.7;0.2;;;24.7;24.7;;;;49.9;6.3;3.2;3.1;0.0;43.6;10.2;33.4;12.7;12.7;0.0;;;;;24.0;360.0;356.0;5.0;;;579.0;579.0;;;;147.0;75.0;71.0;1.0;1064.0;250.0;814.0;292.0;0.0;;;;46.0;482.0;475.0;6.0;;;691.0;691.0;
246;Total deliveries;2011 May;114.2;41.1;1.1;16.0;15.8;0.2;;;24.0;24.0;;;;59.2;6.5;3.4;3.1;0.0;52.6;12.9;39.7;13.3;13.3;0.0;;;;;25.0;363.0;358.0;5.0;;;561.0;561.0;;;;154.0;80.0;74.0;0.0;1283.0;316.0;967.0;306.0;0.0;;;;47.0;485.0;479.0;6.0;;;670.0;670.0;
247;Total deliveries;2011 June;108.9;39.8;1.1;15.8;15.6;0.2;;;22.9;22.9;;;;55.2;6.5;3.6;2.9;0.0;48.7;11.8;37.0;13.2;13.2;0.0;;;;;24.0;359.0;354.0;5.0;;;537.0;537.0;;;;152.0;83.0;69.0;0.0;1189.0;287.0;901.0;304.0;0.0;;;;45.0;479.0;473.0;6.0;;;641.0;641.0;
248;Total deliveries;2011 2nd quarter;328.0;122.7;3.3;47.6;47.0;0.6;;;71.6;71.6;;0.1;0.0;164.3;19.4;10.2;9.1;0.1;145.0;35.0;110.0;39.3;39.2;0.0;;1.8;0.3;1.4;73.0;1082.0;1068.0;14.0;;;1677.0;1677.0;;4.0;3.0;454.0;239.0;214.0;1.0;3536.0;853.0;2683.0;902.0;1.0;;8.0;394.0;138.0;1446.0;1427.0;19.0;;;2002.0;2002.0;
249;Total deliveries;2011 July;108.4;37.4;1.0;14.4;14.3;0.2;;;21.9;21.9;;;;56.1;6.5;3.4;3.1;0.0;49.6;9.5;40.1;14.2;14.2;0.0;;;;;23.0;328.0;324.0;4.0;;;513.0;513.0;;;;153.0;81.0;72.0;0.0;1210.0;232.0;979.0;327.0;0.0;;;;43.0;438.0;433.0;5.0;;;613.0;613.0;
250;Total deliveries;2011 August;105.1;37.8;1.0;15.4;15.2;0.2;;;21.3;21.3;;;;52.9;6.2;3.3;2.9;0.0;46.7;8.9;37.9;13.9;13.8;0.0;;;;;22.0;351.0;346.0;5.0;;;499.0;499.0;;;;145.0;76.0;69.0;0.0;1139.0;216.0;923.0;318.0;0.0;;;;41.0;469.0;463.0;6.0;;;595.0;595.0;
251;Total deliveries;2011 September;109.6;40.5;1.1;15.3;15.1;0.2;;;24.0;24.0;;;;55.6;6.5;3.5;3.0;0.0;49.1;8.8;40.3;13.0;13.0;0.0;;;;;24.0;348.0;343.0;4.0;;;563.0;563.0;;;;150.0;81.0;69.0;0.0;1199.0;215.0;983.0;299.0;0.0;;;;45.0;465.0;459.0;6.0;;;671.0;671.0;
252;Total deliveries;2011 3rd quarter;323.1;115.7;3.1;45.2;44.6;0.6;;;67.2;67.2;;0.1;0.0;164.7;19.3;10.2;9.0;0.1;145.5;27.2;118.3;41.1;41.1;0.0;;1.7;0.3;1.3;68.0;1027.0;1014.0;13.0;;;1575.0;1575.0;;4.0;3.0;450.0;238.0;211.0;1.0;3548.0;663.0;2885.0;944.0;0.0;;8.0;370.0;129.0;1372.0;1354.0;18.0;;;1880.0;1880.0;
253;Total deliveries;2011 October;112.2;41.6;1.1;16.5;16.3;0.2;;;24.0;24.0;;;;56.3;6.7;3.3;3.4;0.0;49.6;8.5;41.1;13.5;13.5;0.0;;;;;25.0;375.0;370.0;5.0;;;561.0;561.0;;;;157.0;77.0;80.0;0.0;1210.0;207.0;1003.0;310.0;1.0;;;;47.0;501.0;495.0;6.0;;;670.0;670.0;
254;Total deliveries;2011 November;102.1;40.1;1.1;15.6;15.4;0.2;;;23.3;23.3;;;;50.0;6.7;3.1;3.6;0.0;43.3;9.8;33.5;11.3;11.3;0.0;;;;;25.0;354.0;350.0;4.0;;;546.0;546.0;;;;157.0;73.0;84.0;0.0;1055.0;239.0;816.0;259.0;0.0;;;;46.0;473.0;468.0;6.0;;;652.0;652.0;
255;Total deliveries;2011 December;110.6;41.9;1.1;16.9;16.7;0.2;;;23.8;23.8;;;;56.5;6.4;3.3;3.1;0.0;50.1;9.1;41.0;11.5;11.5;0.0;;;;;25.0;385.0;380.0;5.0;;;558.0;558.0;;;;148.0;76.0;72.0;0.0;1222.0;222.0;1000.0;263.0;0.0;;;;47.0;514.0;508.0;7.0;;;666.0;666.0;
256;Total deliveries;2011 4th quarter;324.8;123.6;3.3;49.0;48.4;0.6;;;71.1;71.1;;0.1;0.0;162.8;19.8;9.7;10.1;0.0;143.0;27.4;115.6;36.3;36.2;0.0;;2.2;0.3;1.8;74.0;1114.0;1101.0;14.0;;;1665.0;1665.0;;4.0;3.0;463.0;227.0;235.0;1.0;3488.0;668.0;2819.0;833.0;1.0;;8.0;508.0;140.0;1489.0;1470.0;18.0;;;1988.0;1988.0;
257;Total deliveries;2011;1277.3;479.5;13.0;187.6;185.3;2.3;;;278.4;278.4;;0.6;0.1;639.7;76.4;38.7;37.5;0.2;563.3;121.5;441.8;150.5;150.5;0.1;;7.6;1.4;6.2;287.0;4264.0;4211.0;53.0;;;6519.0;6519.0;;18.0;13.0;1789.0;906.0;879.0;4.0;13739.0;2964.0;10775.0;3459.0;2.0;;32.0;1718.0;541.0;5697.0;5625.0;71.0;;;7783.0;7783.0;
258;Total deliveries;2012 January;103.5;37.8;1.0;15.0;14.9;0.2;;;21.7;21.7;;;;54.2;6.3;3.3;3.0;0.0;47.9;8.0;39.8;10.9;10.9;0.0;;;;;23.0;341.0;338.0;4.0;;;507.0;507.0;;;;148.0;77.0;71.0;0.0;1167.0;196.0;971.0;249.0;0.0;;;;43.0;456.0;451.0;5.0;;;605.0;605.0;
259;Total deliveries;2012 February;97.0;37.7;1.1;14.5;14.4;0.2;;;22.1;22.1;;;;48.2;6.2;3.4;2.8;0.0;41.9;8.2;33.8;10.5;10.4;0.0;;;;;23.0;330.0;327.0;3.0;;;517.0;517.0;;;;147.0;81.0;66.0;0.0;1022.0;199.0;823.0;240.0;0.0;;;;44.0;442.0;437.0;5.0;;;617.0;617.0;
260;Total deliveries;2012 March;98.8;39.8;1.1;15.5;15.3;0.2;;;23.2;23.2;;;;46.7;6.6;3.5;3.1;0.0;40.0;7.4;32.6;11.6;11.6;0.0;;;;;24.0;352.0;348.0;4.0;;;544.0;544.0;;;;157.0;83.0;73.0;1.0;975.0;180.0;795.0;266.0;0.0;;;;44.0;471.0;465.0;5.0;;;649.0;649.0;
261;Total deliveries;2012 1st quarter;299.3;115.3;3.2;45.0;44.5;0.5;;;67.0;67.0;;0.2;0.0;149.1;19.4;10.3;9.0;0.1;129.8;23.6;106.2;32.9;32.9;0.0;;2.0;0.3;1.7;70.0;1023.0;1012.0;11.0;;;1568.0;1568.0;;6.0;5.0;451.0;240.0;210.0;1.0;3165.0;576.0;2589.0;756.0;0.0;;7.0;478.0;132.0;1368.0;1354.0;15.0;;;1872.0;1872.0;
262;Total deliveries;2012 April;98.5;38.7;1.0;15.0;14.9;0.2;;;22.6;22.6;;;;47.3;6.2;3.0;3.2;0.0;41.0;6.4;34.5;11.9;11.9;0.0;;;;;23.0;342.0;338.0;4.0;;;529.0;529.0;;;;147.0;71.0;76.0;0.0;1000.0;157.0;843.0;273.0;0.0;;;;43.0;457.0;452.0;5.0;;;631.0;631.0;
263;Total deliveries;2012 May;104.3;41.1;1.1;16.0;15.9;0.2;;;23.8;23.8;;;;49.9;6.5;3.3;3.2;0.0;43.5;7.0;36.4;12.7;12.7;0.0;;;;;25.0;365.0;360.0;4.0;;;557.0;557.0;;;;151.0;76.0;74.0;1.0;1061.0;172.0;889.0;292.0;0.0;;;;48.0;487.0;482.0;6.0;;;665.0;665.0;
264;Total deliveries;2012 June;98.4;39.2;1.1;15.3;15.1;0.2;;;22.7;22.7;;;;45.8;6.3;3.0;3.3;0.0;39.4;6.9;32.5;12.8;12.8;0.0;;;;;24.0;348.0;344.0;4.0;;;532.0;532.0;;;;150.0;71.0;78.0;1.0;961.0;169.0;792.0;294.0;0.0;;;;45.0;465.0;460.0;5.0;;;635.0;635.0;
265;Total deliveries;2012 2nd quarter;301.2;119.0;3.3;46.4;45.9;0.5;;;69.1;69.1;;0.2;0.0;143.1;19.2;9.3;9.8;0.1;123.9;20.4;103.5;37.4;37.4;0.0;;1.8;0.3;1.5;72.0;1055.0;1043.0;12.0;;;1618.0;1618.0;;6.0;5.0;450.0;219.0;229.0;2.0;3022.0;498.0;2524.0;859.0;0.0;;7.0;415.0;136.0;1410.0;1394.0;16.0;;;1932.0;1932.0;
266;Total deliveries;2012 July;103.9;38.1;1.1;15.0;14.8;0.2;;;21.9;21.9;;;;51.1;6.0;3.1;2.9;0.0;45.1;7.4;37.8;14.1;14.1;0.0;;;;;25.0;341.0;337.0;4.0;;;512.0;512.0;;;;141.0;74.0;67.0;0.0;1101.0;179.0;921.0;323.0;0.0;;;;47.0;456.0;450.0;5.0;;;612.0;612.0;
267;Total deliveries;2012 August;98.8;36.6;1.0;14.7;14.5;0.2;;;20.8;20.8;;;;47.9;5.2;2.9;2.3;0.0;42.6;9.1;33.5;13.7;13.7;0.0;;;;;22.0;334.0;330.0;4.0;;;488.0;488.0;;;;123.0;68.0;55.0;0.0;1039.0;222.0;818.0;315.0;0.0;;;;42.0;446.0;441.0;5.0;;;583.0;583.0;
268;Total deliveries;2012 September;99.3;37.5;1.0;14.4;14.2;0.1;;;22.1;22.1;;;;48.3;5.6;3.0;2.6;0.0;42.6;7.2;35.3;12.9;12.9;0.0;;;;;22.0;326.0;323.0;3.0;;;518.0;518.0;;;;133.0;71.0;61.0;1.0;1039.0;176.0;862.0;297.0;0.0;;;;42.0;437.0;432.0;5.0;;;618.0;618.0;
269;Total deliveries;2012 3rd quarter;301.9;112.2;3.2;44.0;43.6;0.5;;;64.8;64.8;;0.2;0.0;147.3;17.0;9.1;7.8;0.1;130.3;23.7;106.7;40.7;40.7;0.0;;1.7;0.3;1.4;70.0;1001.0;990.0;11.0;;;1518.0;1518.0;;6.0;5.0;398.0;213.0;183.0;2.0;3179.0;577.0;2601.0;935.0;0.0;;7.0;397.0;132.0;1339.0;1324.0;15.0;;;1813.0;1813.0;
270;Total deliveries;2012 October;103.6;41.2;1.2;15.7;15.6;0.2;;;24.2;24.2;;;;49.8;6.4;3.2;3.1;0.1;43.4;7.0;36.4;11.9;11.9;0.0;;;;;26.0;358.0;354.0;4.0;;;567.0;567.0;;;;151.0;76.0;73.0;2.0;1059.0;171.0;888.0;274.0;0.0;;;;50.0;478.0;473.0;5.0;;;677.0;677.0;
271;Total deliveries;2012 November;97.8;39.1;1.2;15.0;14.9;0.1;;;22.9;22.9;;;;47.1;6.6;3.4;3.2;0.0;40.6;8.1;32.5;10.8;10.8;0.0;;;;;26.0;341.0;338.0;3.0;;;537.0;537.0;;;;154.0;79.0;75.0;0.0;990.0;197.0;793.0;249.0;0.0;;;;49.0;456.0;452.0;4.0;;;641.0;641.0;
272;Total deliveries;2012 December;93.0;36.3;1.0;14.6;14.4;0.1;;;20.7;20.7;;;;45.1;5.8;3.0;2.8;0.0;37.8;8.3;29.5;11.0;11.0;0.0;;;;;22.0;332.0;328.0;3.0;;;484.0;484.0;;;;138.0;71.0;66.0;1.0;923.0;202.0;720.0;252.0;0.0;;;;41.0;444.0;439.0;4.0;;;577.0;577.0;
273;Total deliveries;2012 4th quarter;294.4;116.6;3.3;45.3;44.9;0.4;;;67.8;67.8;;0.2;0.0;142.1;18.8;9.6;9.1;0.1;121.8;23.4;98.5;33.7;33.7;0.0;;2.0;0.3;1.7;74.0;1030.0;1020.0;10.0;;;1587.0;1587.0;;6.0;5.0;442.0;225.0;214.0;3.0;2972.0;570.0;2402.0;775.0;0.0;;7.0;466.0;139.0;1378.0;1364.0;14.0;;;1895.0;1895.0;
274;Total deliveries;2012;1196.8;463.2;12.9;180.8;178.9;1.9;;;268.7;268.7;;0.7;0.1;581.6;74.3;38.3;35.7;0.3;505.8;91.0;414.8;144.7;144.6;0.1;;7.5;1.1;6.3;285.0;4109.0;4065.0;44.0;;;6292.0;6292.0;;23.0;20.0;1741.0;897.0;836.0;8.0;12337.0;2221.0;10116.0;3324.0;2.0;;27.0;1755.0;539.0;5495.0;5436.0;59.0;;;7512.0;7512.0;
275;Total deliveries;2013 January;92.8;36.6;1.1;14.6;14.4;0.2;;;20.8;20.8;;;;44.7;5.5;3.3;2.2;0.0;39.2;8.0;31.2;10.9;10.9;0.0;;;;;25.0;332.0;328.0;4.0;;;487.0;487.0;;;;128.0;78.0;51.0;0.0;956.0;195.0;761.0;251.0;0.0;;;;46.0;444.0;439.0;5.0;;;582.0;582.0;
276;Total deliveries;2013 February;89.0;34.7;0.9;13.1;12.9;0.1;;;20.7;20.7;;;;43.5;5.0;3.2;1.7;0.0;38.5;8.1;30.4;10.2;10.2;0.0;;;;;20.0;297.0;294.0;3.0;;;484.0;484.0;;;;117.0;76.0;41.0;0.0;938.0;197.0;741.0;233.0;0.0;;;;38.0;397.0;394.0;4.0;;;578.0;578.0;
277;Total deliveries;2013 March;97.0;38.9;1.0;15.0;14.9;0.1;;;22.8;22.8;;;;46.1;6.1;3.6;2.5;0.0;40.0;9.8;30.2;11.3;11.3;0.0;;;;;23.0;341.0;338.0;3.0;;;534.0;534.0;;;;142.0;84.0;59.0;0.0;976.0;240.0;736.0;260.0;0.0;;;;43.0;457.0;453.0;4.0;;;637.0;637.0;
278;Total deliveries;2013 1st quarter;278.8;110.3;3.1;42.7;42.3;0.4;;;64.3;64.3;;0.2;0.0;134.3;16.6;10.1;6.5;0.0;117.7;25.9;91.8;32.4;32.4;0.0;;1.8;0.3;1.5;68.0;970.0;961.0;9.0;;;1506.0;1506.0;;7.0;8.0;388.0;237.0;151.0;0.0;2870.0;632.0;2238.0;744.0;0.0;;7.0;429.0;127.0;1298.0;1286.0;13.0;;;1798.0;1798.0;
279;Total deliveries;2013 April;95.3;37.9;1.0;15.0;14.8;0.2;;;21.9;21.9;;;;44.8;5.9;3.5;2.4;0.0;38.9;8.7;30.2;12.0;12.0;0.0;;;;;21.0;340.0;336.0;4.0;;;514.0;514.0;;;;139.0;81.0;57.0;0.0;949.0;212.0;737.0;276.0;0.0;;;;40.0;455.0;450.0;5.0;;;614.0;614.0;
280;Total deliveries;2013 May;102.7;39.0;1.1;15.5;15.3;0.2;;;22.3;22.3;;;;49.5;7.0;4.2;2.8;0.0;42.5;11.1;31.4;13.6;13.6;0.0;;;;;24.0;353.0;349.0;4.0;;;523.0;523.0;;;;163.0;98.0;65.0;0.0;1037.0;271.0;766.0;312.0;0.0;;;;45.0;472.0;466.0;6.0;;;625.0;625.0;
281;Total deliveries;2013 June;95.0;36.4;1.0;14.4;14.2;0.2;;;20.9;20.9;;;;45.2;5.8;3.2;2.6;0.0;39.5;11.8;27.7;12.7;12.7;0.0;;;;;22.0;327.0;323.0;4.0;;;489.0;489.0;;;;136.0;76.0;60.0;0.0;962.0;287.0;676.0;293.0;0.0;;;;42.0;438.0;433.0;5.0;;;585.0;585.0;
282;Total deliveries;2013 2nd quarter;293.0;113.3;3.0;44.9;44.4;0.5;;;65.2;65.2;;0.2;0.0;139.5;18.6;10.9;7.8;0.0;120.9;31.6;89.3;38.3;38.3;0.0;;1.8;0.3;1.5;67.0;1020.0;1008.0;12.0;;;1526.0;1526.0;;7.0;8.0;437.0;255.0;182.0;0.0;2948.0;770.0;2179.0;880.0;0.0;;7.0;429.0;127.0;1365.0;1349.0;16.0;;;1823.0;1823.0;
283;Total deliveries;2013 July;98.2;36.8;1.0;14.6;14.4;0.2;;;21.1;21.1;;;;46.6;5.6;3.5;2.1;0.0;41.0;10.7;30.2;14.2;14.2;0.0;;;;;22.0;331.0;328.0;4.0;;;495.0;495.0;;;;131.0;81.0;49.0;0.0;999.0;262.0;737.0;326.0;0.0;;;;42.0;443.0;438.0;5.0;;;592.0;592.0;
284;Total deliveries;2013 August;95.3;35.3;0.9;14.3;14.1;0.2;;;20.0;20.0;;;;46.2;5.7;3.6;2.1;0.0;40.4;12.1;28.4;13.3;13.3;0.0;;;;;21.0;324.0;320.0;4.0;;;468.0;468.0;;;;138.0;85.0;49.0;0.0;987.0;295.0;692.0;305.0;0.0;;;;39.0;434.0;429.0;5.0;;;559.0;559.0;
285;Total deliveries;2013 September;96.2;37.0;1.0;13.9;13.8;0.1;;;21.9;21.9;;;;45.4;5.3;3.7;1.6;0.0;40.1;11.2;28.9;13.2;13.2;0.0;;;;;23.0;317.0;313.0;3.0;;;513.0;513.0;;;;125.0;86.0;39.0;0.0;978.0;272.0;706.0;303.0;0.0;;;;42.0;424.0;419.0;5.0;;;613.0;613.0;
286;Total deliveries;2013 3rd quarter;289.6;109.0;3.0;42.8;42.3;0.5;;;63.0;63.0;;0.2;0.0;138.1;16.6;10.8;5.8;0.0;121.5;34.0;87.5;40.6;40.6;0.0;;1.8;0.3;1.5;66.0;972.0;961.0;11.0;;;1476.0;1476.0;;7.0;8.0;394.0;253.0;137.0;0.0;2964.0;829.0;2134.0;934.0;0.0;;7.0;429.0;124.0;1301.0;1286.0;15.0;;;1764.0;1764.0;
287;Total deliveries;2013 October;98.3;39.3;1.0;15.0;14.9;0.2;;;23.2;23.2;;;;45.3;5.8;4.0;1.9;0.0;39.4;12.6;26.8;13.1;13.1;0.0;;;;;22.0;341.0;338.0;4.0;;;544.0;544.0;;;;137.0;93.0;44.0;0.0;962.0;308.0;654.0;301.0;0.0;;;;42.0;457.0;452.0;5.0;;;650.0;650.0;
288;Total deliveries;2013 November;94.8;37.8;1.0;14.5;14.3;0.2;;;22.2;22.2;;;;44.8;5.3;3.6;1.7;0.0;39.4;11.8;27.6;11.6;11.6;0.0;;;;;23.0;329.0;325.0;4.0;;;520.0;520.0;;;;125.0;84.0;41.0;0.0;962.0;289.0;673.0;267.0;0.0;;;;42.0;440.0;435.0;5.0;;;621.0;621.0;
289;Total deliveries;2013 December;89.3;37.1;0.9;14.3;14.2;0.1;;;21.7;21.7;;;;39.8;5.3;3.3;2.0;0.0;34.5;9.7;24.8;11.8;11.8;0.0;;;;;21.0;326.0;322.0;3.0;;;509.0;509.0;;;;125.0;78.0;47.0;0.0;842.0;236.0;605.0;270.0;0.0;;;;39.0;436.0;431.0;4.0;;;608.0;608.0;
290;Total deliveries;2013 4th quarter;282.4;114.2;3.0;43.8;43.4;0.5;;;67.2;67.2;;0.2;0.0;129.9;16.5;10.9;5.6;0.0;113.4;34.1;79.2;36.4;36.4;0.0;;1.8;0.3;1.5;66.0;996.0;985.0;11.0;;;1573.0;1573.0;;7.0;8.0;386.0;254.0;132.0;0.0;2765.0;833.0;1932.0;838.0;0.0;;7.0;429.0;124.0;1333.0;1318.0;14.0;;;1879.0;1879.0;
291;Total deliveries;2013;1143.7;446.8;12.0;174.2;172.3;1.9;;;259.7;259.7;;0.9;0.1;541.8;68.4;42.7;25.7;0.0;473.4;125.6;347.8;147.8;147.7;0.1;;7.3;1.1;6.2;266.0;3958.0;3916.0;43.0;;;6081.0;6081.0;;27.0;32.0;1601.0;999.0;602.0;0.0;11547.0;3063.0;8483.0;3396.0;1.0;;27.0;1715.0;502.0;5296.0;5239.0;58.0;;;7264.0;7264.0;
