ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstMetPersoneelEnMeewGezinslid_9
150;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2014;1870490;1241480;66.0;84.0;57.0;27.0;16.0;12.0;4.0
151;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2015;1876870;1251380;67.0;84.0;56.0;28.0;16.0;12.0;4.0
152;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2016;1888390;1270820;67.0;84.0;55.0;29.0;16.0;12.0;4.0
153;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2017;1901270;1299040;68.0;84.0;54.0;30.0;16.0;12.0;4.0
154;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2018;1914230;1330760;70.0;84.0;54.0;30.0;16.0;12.0;4.0
155;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2019;1927080;1359420;71.0;84.0;54.0;30.0;16.0;12.0;4.0
156;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2020;1936540;1357770;70.0;84.0;57.0;27.0;16.0;12.0;4.0
157;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2021;1942460;1378560;71.0;84.0;57.0;27.0;16.0;13.0;3.0
158;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2022;1955530;1416850;72.0;84.0;56.0;28.0;16.0;13.0;3.0
159;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2023;1968480;1436120;73.0;84.0;56.0;27.0;16.0;13.0;3.0
160;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2014;851290;526550;62.0;85.0;58.0;28.0;15.0;11.0;4.0
161;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2015;848690;527520;62.0;85.0;56.0;29.0;15.0;11.0;4.0
162;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2016;849500;531720;63.0;85.0;55.0;30.0;15.0;11.0;4.0
163;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2017;849420;540430;64.0;86.0;55.0;31.0;14.0;11.0;3.0
164;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2018;848140;548200;65.0;86.0;55.0;31.0;14.0;10.0;4.0
165;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2019;846870;553980;65.0;86.0;55.0;30.0;14.0;11.0;3.0
166;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2020;844890;546790;65.0;86.0;59.0;26.0;14.0;11.0;3.0
