ID;BedrijfsactiviteitenSBI93;Perioden;OrdersZijnToegenomen_1;OrdersZijnGelijkGebleven_2;OrdersZijnAfgenomen_3;OrdersSaldo_4;VerwachteOrderontvangstToenemen_5;VerwachteOrderontvangstGelijkBlijven_6;VerwachteProductieAfnemen_7;VerwachteOrderontvangstSaldo_8;OordeelOrderontvangstIsGroot_9;OordeelOrderontvangstIsNormaal_10;OordeelOrderontvangstIsKlein_11;SaldoOordeelOrderontvangst_12;OmzetIsToegenomen_13;OmzetIsGelijkGebleven_14;OmzetIsAfgenomen_15;SaldoOmzetontwikkeling_16;OmzetZalToenemen_17;OmzetZalGelijkBlijven_18;OmzetZalAfnemen_19;SaldoVerwachteOmzet_20;PrijzenTarievenZijnGestegen_21;PrijzenTarievenZijnGelijkGebleven_22;PrijzenTarievenZijnGedaald_23;SaldoOntwikkelingPrijzenTarieven_24;PrijzenTarievenZullenStijgen_25;PrijzenTarievenZullenGelijkBlijven_26;PrijzenTarievenZullenDalen_27;SaldoVerwachteOntwikkelingPrijzen_28;PersoneelssterkteIsToegenomen_29;PersoneelssterkteIsGelijkBlijven_30;PersoneelssterkteIsAfgenomen_31;PersoneelssterkteSaldo_32;PersoneelssterkteZalToenemen_33;PersoneelssterkteZalGelijkBlijven_34;PersoneelssterkteZalAfnemen_35;VerwachtePersoneelssterkteSaldo_36;BeoordelingGoed_37;BeoordelingNormaalBevredigend_38;BeoordelingSlecht_39;SaldoBeoordelingGoedSlecht_40;GeenBelemmeringen_41;OnvoldoendeVraag_42;TekortAanArbeidskrachten_43;GebrekAanRuimteEnOfApparatuur_44;FinancieleBeperkingen_45;AndereOorzaken_46;OntvangstOpdrachtenOrders_47;OordeelOrderontvangst_48;VerwachtingOntvangstOrders_49;OntwikkelingOmzet_50;VerwachteOntwikkelingOmzet_51;OntwikkelingPrijzenTarieven_52;VerwachteOntwikkelingPrijzenTarieven_53;OntwikkelingPersoneelssterkte_54;VerwachteOntwikkelingPersoneelssterkte_55;OordeelEconomischKlimaat_56
72;5500;2008 januari;27.0;61.0;12.0;15.0;40.0;53.0;7.0;33.0;29.0;67.0;4.0;25.0;33.0;51.0;16.0;17.0;51.0;42.0;7.0;44.0;17.0;80.0;3.0;14.0;45.0;53.0;2.0;43.0;14.0;75.0;11.0;3.0;30.0;64.0;6.0;24.0;33.0;63.0;4.0;29.0;57.0;2.0;32.0;1.0;1.0;7.0;15.0;25.0;33.0;17.0;44.0;14.0;43.0;3.0;24.0;29.0
73;5500;2008 februari;27.0;59.0;14.0;13.0;36.0;59.0;5.0;31.0;28.0;68.0;4.0;24.0;34.0;51.0;15.0;19.0;46.0;50.0;4.0;42.0;34.0;63.0;3.0;31.0;24.0;75.0;1.0;23.0;19.0;70.0;11.0;8.0;28.0;66.0;6.0;22.0;31.0;64.0;5.0;26.0;58.0;3.0;31.0;0.0;1.0;7.0;13.0;24.0;31.0;19.0;42.0;31.0;23.0;8.0;22.0;26.0
74;5500;2008 maart;25.0;66.0;9.0;16.0;37.0;58.0;5.0;32.0;25.0;70.0;5.0;20.0;30.0;59.0;11.0;19.0;44.0;52.0;4.0;40.0;16.0;81.0;3.0;13.0;18.0;80.0;2.0;16.0;18.0;73.0;9.0;9.0;29.0;66.0;5.0;24.0;27.0;67.0;6.0;21.0;59.0;4.0;30.0;0.0;1.0;6.0;16.0;20.0;32.0;19.0;40.0;13.0;16.0;9.0;24.0;21.0
75;5500;2008 april;25.0;67.0;8.0;17.0;33.0;60.0;7.0;26.0;18.0;77.0;5.0;13.0;29.0;61.0;10.0;19.0;37.0;55.0;8.0;29.0;14.0;84.0;2.0;12.0;19.0;79.0;2.0;17.0;18.0;72.0;10.0;8.0;26.0;68.0;6.0;20.0;23.0;70.0;7.0;16.0;60.0;3.0;29.0;1.0;1.0;6.0;17.0;13.0;26.0;19.0;29.0;12.0;17.0;8.0;20.0;16.0
76;5500;2008 mei;26.0;64.0;10.0;16.0;33.0;58.0;9.0;24.0;22.0;70.0;8.0;14.0;33.0;57.0;10.0;23.0;39.0;53.0;8.0;31.0;15.0;82.0;3.0;12.0;14.0;84.0;2.0;12.0;20.0;71.0;9.0;11.0;22.0;69.0;9.0;13.0;21.0;73.0;6.0;15.0;59.0;3.0;29.0;1.0;1.0;7.0;16.0;14.0;24.0;23.0;31.0;12.0;12.0;11.0;13.0;15.0
77;5500;2008 juni;20.0;69.0;11.0;9.0;29.0;59.0;12.0;17.0;18.0;76.0;6.0;12.0;26.0;63.0;11.0;15.0;34.0;53.0;13.0;21.0;14.0;84.0;2.0;12.0;20.0;77.0;3.0;17.0;16.0;77.0;7.0;9.0;21.0;70.0;9.0;12.0;22.0;70.0;8.0;14.0;53.0;3.0;31.0;0.0;1.0;12.0;9.0;12.0;17.0;15.0;21.0;12.0;17.0;9.0;12.0;14.0
78;5500;2008 juli;22.0;62.0;16.0;6.0;24.0;59.0;17.0;7.0;18.0;74.0;8.0;10.0;31.0;54.0;15.0;16.0;29.0;53.0;18.0;11.0;16.0;80.0;4.0;12.0;16.0;79.0;5.0;11.0;16.0;75.0;9.0;7.0;20.0;72.0;8.0;12.0;16.0;74.0;10.0;6.0;52.0;5.0;28.0;1.0;2.0;12.0;6.0;10.0;7.0;16.0;11.0;12.0;11.0;7.0;12.0;6.0
79;5500;2008 augustus;19.0;58.0;23.0;-4.0;29.0;61.0;10.0;19.0;16.0;73.0;11.0;5.0;25.0;53.0;22.0;3.0;36.0;53.0;11.0;25.0;17.0;79.0;4.0;13.0;15.0;83.0;2.0;13.0;14.0;71.0;15.0;-1.0;25.0;62.0;13.0;12.0;13.0;73.0;14.0;-1.0;54.0;7.0;26.0;0.0;1.0;12.0;-4.0;5.0;19.0;3.0;25.0;13.0;13.0;-1.0;12.0;-1.0
80;5500;2008 september;17.0;58.0;25.0;-8.0;32.0;52.0;16.0;16.0;16.0;72.0;12.0;4.0;17.0;58.0;25.0;-8.0;35.0;48.0;17.0;18.0;9.0;87.0;4.0;5.0;14.0;83.0;3.0;11.0;18.0;71.0;11.0;7.0;27.0;61.0;12.0;15.0;16.0;71.0;13.0;3.0;55.0;5.0;27.0;0.0;1.0;12.0;-8.0;4.0;16.0;-8.0;18.0;5.0;11.0;7.0;15.0;3.0
81;5500;2008 oktober;;;;;;;;;;;;;26.0;50.0;24.0;2.0;36.0;39.0;25.0;11.0;;;;;17.0;75.0;8.0;9.0;26.0;58.0;16.0;10.0;18.0;64.0;18.0;0.0;4.0;59.0;37.0;-33.0;44.0;9.0;32.0;0.0;3.0;12.0;;;;2.0;11.0;;9.0;10.0;0.0;-33.0
