ID;Perioden;HypothekenInMlnEuro_1;AantalHypotheken_2;HypothekenInMlnEuro_3;AantalHypotheken_4;HypothekenInMlnEuro_5;AantalHypotheken_6;HypothekenInMlnEuro_7;AantalHypotheken_8;HypothekenInMlnEuro_9;AantalHypotheken_10;Marktaandelen_11;HypothekenInMlnEuro_12;AantalHypotheken_13;Marktaandelen_14;HypothekenInMlnEuro_15;AantalHypotheken_16;Marktaandelen_17;HypothekenInMlnEuro_18;AantalHypotheken_19;Marktaandelen_20;HypothekenInMlnEuro_21;AantalHypotheken_22;Marktaandelen_23;HypothekenInMlnEuro_24;AantalHypotheken_25;Marktaandelen_26;HypothekenInMlnEuro_27;AantalHypotheken_28;Marktaandelen_29;HypothekenInMlnEuro_30;AantalHypotheken_31;HypothekenInMlnEuro_32;AantalHypotheken_33;HypothekenInMlnEuro_34;AantalHypotheken_35;HypothekenInMlnEuro_36;AantalHypotheken_37;HypothekenInMlnEuro_38;AantalHypotheken_39;HypothekenInMlnEuro_40;AantalHypotheken_41;HypothekenInMlnEuro_42;AantalHypotheken_43;HypothekenInMlnEuro_44;AantalHypotheken_45;HypothekenInMlnEuro_46;AantalHypotheken_47;HypothekenInMlnEuro_48;AantalHypotheken_49;HypothekenInMlnEuro_50;AantalHypotheken_51;HypothekenInMlnEuro_52;AantalHypotheken_53;HypothekenInMlnEuro_54;AantalHypotheken_55;HypothekenInMlnEuro_56;AantalHypotheken_57;HypothekenInMlnEuro_58;AantalHypotheken_59;HypothekenInMlnEuro_60;AantalHypotheken_61;HypothekenInMlnEuro_62;AantalHypotheken_63;HypothekenInMlnEuro_64;AantalHypotheken_65;HypothekenInMlnEuro_66;AantalHypotheken_67;HypothekenInMlnEuro_68;AantalHypotheken_69;HypothekenInMlnEuro_70;AantalHypotheken_71;HypothekenInMlnEuro_72;AantalHypotheken_73;HypothekenInMlnEuro_74;AantalHypotheken_75;HypothekenInMlnEuro_76;AantalHypotheken_77;HypothekenInMlnEuro_78;AantalHypotheken_79;HypothekenInMlnEuro_80;AantalHypotheken_81;HypothekenInMlnEuro_82;AantalHypotheken_83;HypothekenInMlnEuro_84;AantalHypotheken_85;HypothekenInMlnEuro_86;AantalHypotheken_87;HypothekenInMlnEuro_88;AantalHypotheken_89;HypothekenInMlnEuro_90;AantalHypotheken_91;HypothekenInMlnEuro_92;AantalHypotheken_93;HypothekenInMlnEuro_94;AantalHypotheken_95;HypothekenInMlnEuro_96;AantalHypotheken_97;HypothekenInMlnEuro_98;AantalHypotheken_99;HypothekenInMlnEuro_100;AantalHypotheken_101;HypothekenInMlnEuro_102;AantalHypotheken_103;HypothekenInMlnEuro_104;AantalHypotheken_105;HypothekenInMlnEuro_106;AantalHypotheken_107;HypothekenInMlnEuro_108;AantalHypotheken_109;HypothekenInMlnEuro_110;AantalHypotheken_111;HypothekenInMlnEuro_112;AantalHypotheken_113;HypothekenInMlnEuro_114;AantalHypotheken_115;HypothekenInMlnEuro_116;AantalHypotheken_117;HypothekenInMlnEuro_118;AantalHypotheken_119;HypothekenInMlnEuro_120;AantalHypotheken_121;HypothekenInMlnEuro_122;AantalHypotheken_123;HypothekenInMlnEuro_124;AantalHypotheken_125;HypothekenInMlnEuro_126;AantalHypotheken_127;HypothekenInMlnEuro_128;AantalHypotheken_129;HypothekenInMlnEuro_130;AantalHypotheken_131;HypothekenInMlnEuro_132;AantalHypotheken_133;HypothekenInMlnEuro_134;AantalHypotheken_135;HypothekenInMlnEuro_136;AantalHypotheken_137;HypothekenInMlnEuro_138;AantalHypotheken_139
32;1995 september;3328;30961;728;649;2594;30305;5.0;7;1341;12214;40;310;3655;9;103;1445;3;1208;11550;36;270;1682;8;30;308;1;67;107;2;123;406;36;29;86;377;;0;59;254;1;9;1;11;25;93;34;26;4;12;;1;2193;27797;79;175;2114;27618;0.0;4;812;10791;272;3436;90;1342;884;10457;111;1443;18;244;7;84;216;812;80;91;136;720;;1;92;388;10;33;2;14;68;269;34;79;3;24;7.0;5;629;698;500;314;126;382;;2;300;232;11;35;4;15;177;315;80;65;5;20;52.0;16;167;1248;35;40;132;1208;;0;78;549;16;142;6;63;55;416;11;69;1;8;;1
33;1995 oktober;3568;35684;675;724;2880;34947;13.0;13;1343;14085;38;337;4297;9;128;1870;4;1369;13282;38;249;1750;7;34;315;1;108;85;3;98;500;17;35;81;464;;1;47;281;3;20;1;12;30;142;12;24;5;21;;0;2454;32153;72;194;2381;31951;1.0;8;926;12503;305;4045;110;1731;964;12043;124;1522;19;248;7;61;281;916;135;99;146;815;;2;128;416;6;48;4;27;92;329;25;64;3;21;23.0;11;557;809;432;359;117;449;;1;168;293;7;36;7;30;225;340;68;81;7;19;75.0;10;178;1306;22;37;155;1268;;1;73;592;17;148;7;70;58;428;19;59;1;6;3.0;3
34;1995 november;4090;38457;993;761;3095;37683;2.0;13;1438;14964;35;343;4413;8;159;2140;4;1602;14682;39;365;1821;9;46;364;1;137;73;3;141;596;19;24;122;572;;0;75;363;2;11;2;17;49;159;8;24;5;21;;1;2652;34686;110;218;2540;34456;2.0;12;979;13197;301;4190;132;1993;1071;13399;140;1579;24;272;4;56;361;976;207;103;154;873;;0;191;505;7;55;4;27;74;287;74;60;8;38;4.0;4;708;838;576;359;132;479;;0;110;329;18;33;12;32;307;319;126;87;8;26;127.0;12;228;1361;81;57;147;1303;;1;84;570;16;124;9;71;102;518;18;71;1;7;;0
35;1995 december;6476;52863;1971;1155;4495;51683;10.0;25;2037;20936;31;559;6079;9;237;2935;4;2529;19743;39;848;2501;13;71;559;1;194;110;3;191;778;45;41;147;737;;0;88;464;4;32;4;23;52;188;35;37;8;33;;1;4068;47847;379;305;3687;47522;2.0;20;1433;18646;437;5803;190;2724;1521;18023;441;2140;39;430;7;81;495;1450;250;153;245;1295;;2;156;677;53;67;8;54;109;481;68;111;9;51;94.0;9;1465;1365;1209;606;252;756;4.0;3;256;523;50;36;23;36;765;553;266;159;16;40;90.0;18;257;1423;92;50;164;1373;4.0;0;104;626;15;141;13;98;82;498;38;54;5;5;;1
36;1996 januari;3621;29612;1114;716;2498;28883;9.0;13;1275;11609;35;270;3275;7;116;1433;3;1422;11606;39;333;1312;9;39;297;1;166;80;5;105;387;32;40;73;347;;0;51;212;4;23;3;12;24;101;18;21;4;18;;0;2183;26628;155;191;2026;26428;2.0;9;853;10276;243;3107;90;1321;854;10521;119;1113;18;222;6;68;260;870;109;101;150;769;;0;116;412;6;36;6;27;81;306;47;67;3;22;;0;859;789;715;341;138;445;6.0;3;183;304;7;29;6;27;367;320;125;71;11;28;160.0;10;214;938;103;43;111;894;6.0;1;71;405;11;80;12;46;95;358;23;40;2;7;;2
37;1996 februari;3866;36563;953;667;2910;35887;3.0;9;1308;14495;34;331;4085;9;126;1626;3;1795;14268;46;245;1703;6;29;283;1;32;103;1;122;431;52;25;70;406;;0;54;261;3;20;1;7;35;109;28;21;1;10;0.0;3;2525;33570;62;189;2462;33373;1.0;8;951;13113;289;3934;100;1533;1041;13171;116;1507;17;228;10;84;240;873;87;101;153;772;;0;100;391;7;32;6;27;93;322;22;72;5;22;8.0;7;840;792;721;329;116;462;;1;147;333;25;24;14;18;575;319;60;68;6;21;14.0;9;140;897;30;23;110;874;;0;56;397;9;75;5;41;52;347;18;35;0;2;;0
38;1996 maart;4663;45331;1065;801;3589;44514;9.0;16;1673;17977;36;424;5105;9;154;2126;3;1952;17651;42;359;2070;8;32;284;1;67;118;1;139;527;37;35;102;492;;0;71;319;3;16;2;14;36;134;21;26;7;18;;0;3133;41596;119;182;3012;41401;1.0;13;1185;16242;360;4906;130;2013;1289;16289;146;1840;16;211;9;95;321;1115;126;112;195;1002;;1;160;539;12;59;5;33;97;383;40;68;5;29;2.0;4;867;950;726;425;133;523;;2;179;398;37;27;7;20;462;385;121;87;4;17;56.0;16;203;1143;57;47;147;1096;;0;78;479;12;97;11;46;70;460;31;49;1;9;0.0;3
39;1996 april;4610;47365;729;802;3875;46554;6.0;9;1737;18016;38;459;5784;10;182;2225;4;1775;18877;39;319;2052;7;34;290;1;104;121;2;144;672;16;21;128;651;;0;86;411;3;28;3;20;34;165;14;29;5;17;;2;3349;43176;124;222;3224;42949;1.0;5;1232;16068;395;5496;134;2082;1408;17395;152;1818;19;217;9;100;278;1151;78;125;200;1025;;1;145;586;21;69;5;33;73;371;25;60;5;28;3.0;4;544;913;395;378;145;532;4.0;3;181;362;17;34;12;30;171;374;92;80;5;24;67.0;9;295;1453;116;56;178;1397;4.0;0;92;589;23;157;28;60;89;572;37;65;1;4;25.0;6
40;1996 mei;5529;47299;1547;811;3919;46472;63.0;16;1712;17623;31;593;6570;11;185;2503;3;2088;18366;38;301;1791;5;35;302;1;616;144;11;124;563;19;25;104;538;;0;68;344;3;25;2;16;33;137;12;25;7;16;;0;3471;43091;178;202;3292;42875;1.0;14;1214;15721;539;6253;157;2304;1394;16898;131;1545;18;242;18;128;310;1108;123;122;187;986;;0;143;559;7;53;7;47;105;361;34;67;13;19;;2;1284;961;1065;417;157;542;;2;204;381;22;43;8;27;348;404;109;74;7;19;587.0;13;340;1576;161;45;179;1531;;0;83;618;22;196;11;109;209;566;15;80;1;6;;1
41;1996 juni;4388;39994;974;707;3409;39273;4.0;14;1503;14743;34;430;5251;10;174;2084;4;1889;15982;43;260;1502;6;31;317;1;100;115;2;126;461;37;28;89;433;;0;66;279;6;19;1;12;34;118;15;24;3;8;;1;2943;36169;113;181;2828;35977;2.0;11;1053;13071;378;4955;138;1905;1204;14571;141;1314;19;254;10;99;269;981;92;103;176;877;;1;119;460;10;55;5;36;110;359;19;47;3;20;2.0;4;794;831;674;356;118;473;;2;176;308;15;35;14;34;459;361;66;58;5;27;60.0;8;257;1552;59;39;198;1513;;0;89;625;22;187;16;97;82;573;20;59;1;8;27.0;3
42;1996 juli;5132;46223;980;904;4142;45309;10.0;10;1878;17357;37;542;6087;11;180;2125;3;1978;18366;39;305;1739;6;41;401;1;208;148;4;207;518;85;63;122;455;;0;102;292;17;27;3;19;45;133;37;30;4;17;;0;3529;41727;98;220;3429;41500;2.0;7;1275;15336;471;5752;150;1944;1446;16760;149;1497;25;305;13;133;515;1159;308;130;207;1029;;0;152;589;12;60;6;33;114;376;60;68;3;30;168.0;3;611;964;446;442;157;520;;2;233;376;18;33;9;29;270;410;47;69;7;35;28.0;12;269;1855;43;49;227;1805;;1;116;764;24;215;11;100;104;687;13;75;2;14;;0
43;1996 augustus;4072;38206;682;646;3388;37551;2.0;9;1364;13743;33;422;4909;10;156;1858;4;1788;15796;44;223;1516;5;25;268;1;94;116;2;138;418;61;36;77;382;;0;55;234;3;17;2;11;46;124;30;21;2;11;;0;3018;34997;95;176;2921;34813;2.0;8;1031;12381;383;4685;131;1732;1293;14531;127;1357;16;208;36;103;231;835;97;84;134;750;;1;80;375;8;54;7;30;123;323;12;38;1;14;;1;508;705;407;322;102;383;;0;124;239;14;27;10;25;252;343;47;42;4;22;58.0;7;177;1251;22;28;154;1223;;0;73;514;14;126;6;60;74;475;8;58;2;13;1.0;5
44;1996 september;4096;37696;765;705;3330;36985;1.0;6;1352;13619;33;452;4571;11;141;1772;3;1819;15792;44;193;1519;5;36;313;1;103;110;3;125;434;48;37;77;397;;0;56;219;2;11;2;8;49;152;10;16;4;25;0.0;3;2887;34313;63;182;2824;34126;0.0;5;1012;12214;355;4342;119;1648;1261;14464;114;1325;17;234;8;86;305;910;147;120;158;790;;0;103;404;11;55;9;41;106;330;11;47;4;25;61.0;8;580;776;465;328;114;447;;1;113;282;66;22;4;19;316;347;38;76;9;21;33.0;9;200;1263;42;38;158;1225;;0;68;500;17;141;8;56;87;499;19;55;2;8;0.0;4
45;1996 oktober;4714;42437;973;836;3731;41590;9.0;11;1375;13816;29;479;5436;10;0;0;0;2384;20847;51;334;1872;7;37;332;1;104;134;2;184;456;86;37;98;418;;1;64;225;2;12;0;0;50;173;60;27;10;18;;1;3228;38823;80;230;3148;38587;0.0;6;1003;12395;406;5215;0;0;1642;19176;147;1666;21;258;9;113;279;1090;86;130;194;958;;2;106;446;17;52;0;0;122;497;21;62;5;28;8.0;5;758;861;620;388;138;472;;1;131;290;40;34;0;0;422;443;79;66;4;18;82.0;10;264;1207;110;51;154;1155;;1;72;460;15;123;0;0;148;558;28;51;1;10;1.0;5
46;1996 november;4632;43508;722;786;3907;42714;3.0;8;1597;15385;34;509;5737;11;0;0;0;2167;20155;47;222;1782;5;38;314;1;98;135;2;145;547;32;39;112;508;;0;78;316;4;24;0;0;45;171;13;27;4;9;;0;3354;39701;72;235;3282;39461;0.0;5;1131;13689;436;5478;0;0;1620;18585;134;1584;23;246;10;119;327;987;143;105;184;881;;1;129;453;6;57;0;0;171;401;13;48;5;24;2.0;4;573;836;433;362;139;473;;1;169;344;46;32;0;0;219;359;49;66;5;27;85.0;8;233;1437;43;45;190;1391;;1;90;583;18;146;0;0;112;639;13;57;0;8;1.0;4
47;1996 december;7971;64717;1797;1339;6155;63356;19.0;22;2474;22157;31;747;8507;9;0;0;0;4038;30341;51;484;2863;6;82;625;1;147;224;2;279;770;95;61;184;709;;0;156;433;2;24;0;0;82;235;29;43;10;33;;2;5376;59067;213;362;5161;58688;2.0;17;1694;19681;682;8204;0;0;2659;27949;273;2545;51;494;17;194;493;1536;199;180;295;1354;;2;176;671;13;75;0;0;262;661;30;88;7;35;6.0;6;1332;1495;1047;649;269;844;;2;301;582;30;48;0;0;740;679;126;119;11;50;124.0;17;491;1849;244;87;247;1761;;1;146;790;19;156;0;0;296;817;26;68;3;13;1.0;5
48;1997 januari;4059;33885;940;783;3083;33094;36.0;8;1155;11122;28;397;4455;10;0;0;0;2190;16469;54;205;1395;5;45;337;1;67;107;2;90;296;33;24;57;272;;0;34;164;4;14;0;0;47;102;3;2;2;14;;0;2697;30945;83;221;2613;30719;0.0;5;809;9857;343;4244;0;0;1373;15243;129;1259;23;246;20;96;278;887;112;139;166;747;;1;122;418;27;86;0;0;104;316;16;35;5;28;4.0;4;797;834;629;365;134;467;;2;133;310;12;25;0;0;579;398;39;62;34;38;;1;197;923;85;34;112;889;;0;57;373;12;86;0;0;86;410;19;37;10;11;13.0;6
49;1997 februari;4168;38587;700;815;3451;37763;18.0;9;1278;12359;31;538;6023;13;0;0;0;2043;18266;49;219;1590;5;30;269;1;61;80;1;104;468;34;35;70;433;;0;52;250;1;25;0;0;36;150;11;26;3;17;;0;3076;35518;98;260;2977;35253;0.0;5;898;11034;480;5785;0;0;1531;16987;140;1439;19;212;8;61;288;923;125;122;163;799;;2;104;447;14;43;0;0;144;357;18;46;7;29;;1;509;740;381;352;116;386;;2;176;277;16;29;0;0;226;360;38;50;2;11;52.0;13;191;938;67;46;124;892;;0;48;351;26;141;0;0;105;412;11;29;0;0;1.0;5
50;1997 maart;5026;44045;1036;785;3989;43244;2.0;16;1648;14960;33;596;6801;12;0;0;0;2411;20165;48;188;1719;4;28;311;1;155;89;3;163;491;51;27;111;464;;0;76;281;2;26;0;0;69;160;14;19;2;5;;0;3559;40636;135;195;3423;40425;2.0;16;1115;13469;549;6630;0;0;1734;18634;140;1592;14;236;7;75;291;1024;92;118;200;906;;0;121;458;22;44;0;0;131;452;5;27;5;37;6.0;6;761;909;624;394;137;515;;0;184;340;13;25;0;0;390;448;27;66;5;22;141.0;8;252;985;134;51;118;934;;0;152;412;9;76;0;0;87;471;2;15;2;11;;0
51;1997 april;6235;55493;1159;925;5033;54559;43.0;9;1852;18004;30;707;8287;11;0;0;0;3148;26730;50;370;2125;6;35;308;1;123;39;2;210;655;63;31;147;624;;0;89;340;19;44;0;0;89;228;11;27;2;16;;0;4378;51177;147;288;4230;50884;1.0;5;1319;16126;623;7937;0;0;2232;24889;179;1957;22;242;2;26;448;1379;164;126;284;1251;;2;166;619;26;111;0;0;192;564;46;48;18;36;;1;940;916;731;421;192;493;;2;187;360;19;34;0;0;505;454;117;58;2;3;110.0;7;259;1366;79;59;180;1307;;0;91;559;20;161;0;0;130;595;17;35;1;11;0.0;5
52;1997 mei;6199;55693;1140;877;5059;54806;1.0;10;1897;16925;31;815;9504;13;0;0;0;3128;27017;50;309;1872;5;35;310;1;15;65;0;185;619;59;45;127;574;;0;108;393;11;48;0;0;54;143;7;11;5;24;;0;4455;51624;78;258;4377;51356;1.0;10;1287;15047;742;9213;0;0;2255;25353;150;1728;17;223;4;60;403;1228;168;146;235;1082;;0;157;584;14;74;0;0;191;464;26;75;8;28;7.0;3;863;917;714;387;149;530;;0;211;389;30;37;0;0;514;429;100;31;9;30;;1;293;1305;122;41;172;1264;;0;134;512;18;132;0;0;114;628;26;27;1;5;;1
53;1997 juni;6082;53940;1025;927;5048;53002;8.0;11;1874;16118;31;882;10288;15;0;0;0;2850;25282;47;319;1875;5;66;242;1;90;135;1;158;451;51;23;107;428;;0;69;240;3;21;0;0;68;164;17;20;2;6;;0;4477;49833;119;196;4357;49627;0.0;10;1306;14388;805;9983;0;0;2193;23440;142;1688;21;213;11;121;364;1158;144;148;220;1010;;0;147;548;12;44;0;0;142;502;17;54;2;6;43.0;4;806;1033;642;501;156;531;;1;252;370;38;35;0;0;329;523;114;86;39;11;34.0;8;277;1465;69;59;208;1406;;0;101;572;26;205;0;0;117;653;28;27;5;6;;2
54;1997 juli;6162;53018;953;939;5208;52073;1.0;6;1876;16382;30;895;9811;15;0;0;0;2977;24464;48;315;1976;5;54;324;1;46;61;1;158;458;36;24;122;434;;0;62;216;3;30;0;0;45;161;24;32;24;19;;0;4608;48929;118;273;4490;48651;0.0;5;1367;14775;803;9441;0;0;2234;22610;174;1797;22;259;8;47;325;1036;110;103;215;933;;0;149;448;13;62;0;0;143;477;18;40;3;7;;2;761;1175;592;487;169;687;;1;189;425;50;78;0;0;392;569;92;69;3;27;36.0;7;309;1420;97;52;212;1368;;0;109;518;26;200;0;0;163;647;8;38;3;12;1.0;5
55;1997 augustus;4581;41384;609;610;3971;40769;0.0;5;1324;12328;29;703;7433;15;0;0;0;2292;20035;50;174;1267;4;23;231;1;65;90;1;69;291;12;14;57;277;;0;39;164;6;31;0;0;14;76;8;14;1;5;;1;3737;38986;138;219;3599;38762;0.0;5;1039;11346;644;7203;0;0;1901;19031;103;1124;20;204;29;78;246;854;103;87;143;767;;0;85;385;16;65;0;0;129;350;14;34;1;15;1.0;5;393;642;306;255;87;387;;0;113;202;16;34;0;0;188;322;43;77;1;2;32.0;5;136;611;50;35;85;576;;0;47;231;22;100;0;0;60;256;5;18;2;5;;1
56;1997 september;6152;45957;1587;913;4564;45038;1.0;6;1822;14602;30;750;7748;12;0;0;0;2944;21676;48;521;1459;8;57;375;1;56;97;1;126;517;18;15;108;502;;0;67;281;10;36;0;0;34;165;11;24;4;11;;0;4222;42007;282;253;3939;41748;1.0;6;1229;12905;670;7404;0;0;2118;20016;157;1304;34;287;15;91;336;1225;116;104;220;1121;;0;135;515;14;93;0;0;167;541;9;33;10;41;;2;1246;1019;1115;499;131;520;;0;300;385;36;49;0;0;541;467;320;79;9;35;41.0;4;222;1189;56;42;166;1147;;0;91;516;21;166;0;0;84;487;24;19;2;1;;0
57;1997 oktober;6425;50580;1384;979;5034;49580;7.0;21;2011;15856;31;800;8044;12;0;0;0;3063;24678;48;422;1600;7;44;298;1;85;104;1;136;528;16;24;119;504;;0;66;281;4;22;0;0;53;193;9;20;3;12;;0;4714;46490;357;364;4355;46106;2.0;20;1424;14097;707;7642;0;0;2296;23042;254;1396;25;222;9;91;288;1030;63;80;224;950;;0;141;500;18;87;0;0;104;369;20;47;4;27;;0;1009;928;893;461;111;466;;1;255;353;39;48;0;0;504;411;125;77;10;31;76.0;8;279;1604;55;50;225;1554;;0;124;625;31;245;0;0;106;663;14;60;3;6;0.0;5
58;1997 november;5231;45072;828;740;4402;44327;0.0;5;1623;14473;31;696;6841;13;0;0;0;2603;21753;50;221;1505;4;39;354;1;49;146;1;107;381;12;18;95;363;;0;66;239;1;6;0;0;30;110;9;15;1;11;;0;3907;41643;72;228;3835;41410;0.0;5;1199;13137;597;6583;0;0;1951;20170;123;1343;25;280;13;130;281;972;90;99;191;873;;0;121;398;11;84;0;0;133;407;10;52;5;31;;0;696;801;587;358;109;443;;0;164;291;71;38;0;0;354;370;71;65;8;32;28.0;5;240;1275;68;37;172;1238;;0;73;408;16;130;0;0;135;696;8;30;0;0;7.0;11
59;1997 december;9234;68233;2089;1385;7143;66837;2.0;11;2902;21926;31;1044;10317;11;0;0;0;4419;33107;48;562;2251;6;71;471;1;236;161;3;288;721;77;43;211;678;;0;159;412;4;27;0;0;70;237;7;17;48;26;;2;6447;62572;332;427;6113;62134;2.0;11;1977;19492;909;9919;0;0;3231;30639;220;2048;37;334;74;140;484;1537;155;146;329;1391;;0;227;764;13;64;0;0;217;647;16;26;11;34;;2;1677;1608;1437;697;239;911;;0;397;589;89;90;0;0;746;730;309;117;17;70;119.0;12;339;1795;88;72;251;1723;;0;141;669;29;217;0;0;156;854;10;43;1;7;1.0;5
60;1998 januari;4570;31085;1236;710;3291;30367;44.0;8;1339;10124;29;418;4370;9;0;0;0;2055;15230;45;400;1022;9;56;254;1;302;85;7;158;309;57;24;102;285;;0;60;166;2;15;0;0;37;98;26;21;33;7;;2;3043;28374;297;253;2746;28117;0.0;4;924;9004;368;4160;0;0;1500;14085;182;859;20;196;49;70;416;885;230;77;187;808;;0;117;408;14;53;0;0;97;353;92;43;18;23;78.0;5;784;774;594;331;146;439;44.0;4;177;273;18;31;0;0;367;362;86;76;13;26;123.0;6;168;743;58;25;110;718;44.0;0;60;273;15;111;0;0;55;332;14;23;24;2;;2
61;1998 februari;5977;38128;1787;723;4189;37395;1.0;10;1751;12612;29;528;5512;9;0;0;0;3005;18471;50;516;1183;9;39;251;1;138;99;2;263;383;160;33;104;350;;0;100;220;2;16;0;0;143;124;14;10;5;12;;1;4004;35210;550;229;3453;34971;1.0;10;1193;11314;482;5321;0;0;2021;17210;269;1078;23;209;15;78;349;875;137;108;211;767;;0;151;432;27;56;0;0;98;334;69;38;3;11;1.0;4;1192;779;903;323;289;456;;0;253;319;4;20;0;0;648;376;159;41;7;12;120.0;11;169;881;37;30;132;851;;0;54;327;13;99;0;0;96;427;5;16;1;7;2.0;5
62;1998 maart;6569;49040;1427;877;5096;48152;46.0;11;1996;16044;30;744;7918;11;0;0;0;3360;22994;51;290;1620;4;58;357;1;121;107;2;147;468;30;30;117;438;;0;95;297;2;12;0;0;32;123;11;19;7;16;;1;4661;45330;283;289;4332;45032;46.0;9;1414;14431;691;7669;0;0;2284;21379;174;1472;32;287;67;92;390;1091;147;113;244;977;;1;165;524;11;62;0;0;184;425;21;55;9;24;;1;1124;960;920;406;203;553;;1;242;377;18;33;0;0;720;459;81;54;9;25;54.0;12;245;1191;46;39;199;1152;;0;80;415;21;142;0;0;141;608;2;20;1;5;;1
63;1998 april;7213;50042;1768;898;5434;49134;11.0;10;2155;16372;30;761;7596;11;0;0;0;3793;23994;53;334;1632;5;52;323;1;118;125;2;247;613;39;37;208;576;;0;126;358;7;22;0;0;59;177;42;29;14;26;;1;4837;46304;274;271;4562;46027;0.0;6;1502;14761;675;7347;0;0;2450;22393;164;1452;25;242;22;109;482;1111;198;110;284;1000;;1;142;470;20;57;0;0;256;505;24;50;9;26;31.0;3;1433;983;1206;439;219;541;9.0;3;309;405;39;47;0;0;925;420;91;76;5;24;64.0;11;213;1031;53;41;160;990;9.0;0;77;378;19;123;0;0;103;499;13;25;1;5;;1
64;1998 mei;8053;52986;2332;884;5708;52095;13.0;7;2581;17472;32;780;7970;10;0;0;0;3824;25353;47;314;1723;4;53;325;1;500;143;6;162;506;18;30;144;476;;0;94;299;2;14;0;0;55;157;8;22;3;13;;1;5321;49486;346;279;4974;49202;1.0;5;1649;15859;720;7734;0;0;2623;23954;222;1565;26;262;81;112;804;1111;558;115;247;995;;1;281;567;20;58;0;0;411;413;16;49;11;19;67.0;5;1589;985;1378;426;199;558;;1;475;390;21;39;0;0;671;434;63;72;13;27;346.0;23;177;898;32;34;145;864;;0;83;357;17;125;0;0;65;395;6;15;7;4;;2
65;1998 juni;7290;53391;1450;960;5837;52421;4.0;10;2290;17152;31;765;7903;10;0;0;0;3452;25983;47;447;1851;6;57;345;1;280;157;4;210;534;50;38;159;496;;0;110;321;8;19;0;0;73;165;16;13;4;16;;0;5231;49747;242;307;4988;49431;1.0;9;1596;15546;703;7673;0;0;2675;24432;216;1690;25;270;16;136;416;1105;148;109;268;996;;0;170;512;12;58;0;0;158;448;28;60;47;25;;2;888;1015;640;444;245;570;;1;297;414;27;46;0;0;379;449;67;62;15;30;103.0;14;545;990;369;62;176;928;;0;117;359;15;107;0;0;167;489;120;26;7;4;118.0;5
66;1998 juli;9491;59035;2630;1126;6829;57902;32.0;7;2813;18688;30;902;8441;10;0;0;0;4958;29149;52;555;2158;6;90;404;1;173;195;2;223;525;53;41;170;484;;0;97;276;2;23;0;0;96;178;15;25;12;22;;1;6369;54854;451;356;5893;54493;25.0;5;1964;16858;800;8177;0;0;3193;27371;270;1954;53;320;89;174;525;1213;238;142;288;1071;;0;249;566;29;70;0;0;165;481;49;65;5;24;28.0;7;2101;1191;1829;538;265;652;;1;409;498;53;46;0;0;1367;527;204;82;14;28;55.0;10;272;1252;59;49;213;1202;;1;94;490;18;125;0;0;137;592;17;32;6;10;0.0;3
67;1998 augustus;7005;46441;1526;644;5478;45787;1.0;10;2157;14588;31;658;6480;9;0;0;0;3200;23255;46;455;1657;6;78;291;1;457;170;7;249;423;42;23;207;400;;0;90;258;2;11;0;0;83;133;3;9;71;11;;1;4937;43681;220;203;4717;43468;1.0;10;1529;13297;619;6322;0;0;2543;22143;176;1533;39;240;32;146;360;865;128;81;232;784;;0;167;428;12;49;0;0;116;335;53;35;13;16;;2;1215;771;1033;309;182;462;;0;300;313;15;32;0;0;389;330;133;56;22;21;357.0;19;243;701;103;28;140;673;;0;71;292;10;66;0;0;69;314;91;24;2;3;;2
68;1998 september;8446;47866;2920;824;5488;47030;39.0;12;2093;15440;25;659;6455;8;0;0;0;3955;23705;47;454;1739;5;56;319;1;1229;208;15;167;430;29;34;138;396;;0;89;252;4;17;0;0;64;127;2;12;8;22;;0;5101;44714;350;257;4750;44448;1.0;9;1517;14005;615;6258;0;0;2658;22419;244;1597;31;248;37;187;549;960;281;95;268;865;;0;173;476;17;67;0;0;332;358;7;36;4;20;15.0;3;2365;898;2144;390;184;506;;2;232;368;10;24;0;0;781;394;153;72;13;25;1178.0;15;264;864;116;48;148;815;;1;82;339;12;89;0;0;121;407;47;22;1;4;1.0;3
69;1998 oktober;7451;53385;1288;884;6161;52489;2.0;12;2414;17197;32;890;7927;12;0;0;0;3564;25655;48;382;2001;5;63;309;1;138;296;2;187;470;45;29;142;441;;0;92;287;10;17;0;0;58;133;16;17;10;15;;1;5610;49767;309;279;5300;49477;1.0;11;1715;15536;785;7653;0;0;2764;24215;268;1845;31;244;48;274;349;1010;96;98;253;912;;0;149;478;19;78;0;0;128;374;28;53;8;22;18.0;5;965;924;700;418;264;505;;1;327;417;15;32;0;0;478;386;61;55;12;20;71.0;14;340;1214;138;60;202;1154;;0;132;479;61;147;0;0;136;547;9;31;3;8;;2
