ID;Geslacht;Leeftijd;Persoonskenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;TotaalWerkzamePersonen_2;WerkzamePersonen12UurPerWeek_3;WerkzamePersonen12uurPerWeek_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;WerklozeBeroepsbevolking_7;NietBeroepsbevolking_8;BrutoArbeidsparticipatie_9;NettoArbeidsparticipatie_10;Werkloosheidspercentage_11;TotaalWerknemers_12;WerknemersVasteArbeidsrelatie_13;WerknemersFlexibeleArbeidsrelatie_14;Zelfstandigen_15;Parttime_16;Fulltime_17;TotaalGeregistreerdeWerklozen_18;KorterDanEenJaarIngeschreven_19;LangerDanEenJaarIngeschreven_20;GeregistreerdWerkloosheidspercentage_21;ElementaireBeroepen_22;LagereBeroepen_23;MiddelbareBeroepen_24;HogereBeroepen_25;WetenschappelijkeBeroepen_26;BeroepsniveauOnbekend_27
48;Mannen en vrouwen;Totaal leeftijd;5;2000;45.0;33.0;;32.0;33.0;32.0;;11.0;75.0;71.9;;29.0;26.0;3.0;3.0;8.0;24.0;;;;;3.0;12.0;11.0;3.0;;3.0
49;Mannen en vrouwen;Totaal leeftijd;5;2001;49.0;38.0;;37.0;38.0;37.0;;11.0;77.3;75.1;;32.0;29.0;4.0;4.0;8.0;29.0;46.0;31.0;15.0;122.8;6.0;15.0;10.0;4.0;;2.0
50;Mannen en vrouwen;Totaal leeftijd;5;2002;35.0;26.0;;25.0;26.0;25.0;;9.0;73.0;71.8;;22.0;20.0;3.0;3.0;5.0;20.0;62.0;42.0;20.0;244.0;4.0;10.0;7.0;2.0;;3.0
51;Mannen en vrouwen;Totaal leeftijd;5;2003;38.0;27.0;;27.0;28.0;27.0;2.0;10.0;73.7;69.8;5.4;24.0;21.0;3.0;2.0;6.0;21.0;2.0;2.0;;8.0;5.0;9.0;10.0;2.0;;
52;Mannen en vrouwen;Totaal leeftijd;5;2004;82.0;45.0;3.0;42.0;49.0;42.0;7.0;33.0;59.8;51.6;13.6;36.0;31.0;5.0;6.0;14.0;28.0;5.0;4.0;;10.6;11.0;18.0;7.0;3.0;;3.0
53;Mannen en vrouwen;Totaal leeftijd;5;2005;64.0;36.0;2.0;34.0;37.0;34.0;3.0;27.0;57.8;53.4;7.7;29.0;26.0;3.0;6.0;9.0;25.0;5.0;4.0;;14.6;9.0;17.0;5.0;3.0;;
54;Mannen en vrouwen;Totaal leeftijd;5;2006;72.0;42.0;3.0;38.0;44.0;38.0;5.0;29.0;60.1;53.0;11.9;34.0;28.0;6.0;5.0;8.0;30.0;4.0;3.0;2.0;10.2;10.0;17.0;8.0;2.0;;
55;Mannen en vrouwen;Totaal leeftijd;6;1996;8759.0;5992.0;674.0;5318.0;5669.0;5318.0;350.0;3090.0;64.7;60.7;6.2;4671.0;4239.0;432.0;647.0;1492.0;3826.0;305.0;158.0;147.0;5.4;328.0;1351.0;2161.0;1036.0;403.0;39.0
56;Mannen en vrouwen;Totaal leeftijd;6;1997;8761.0;6168.0;689.0;5479.0;5782.0;5479.0;303.0;2980.0;66.0;62.5;5.2;4809.0;4363.0;446.0;670.0;1586.0;3893.0;253.0;126.0;127.0;4.4;339.0;1354.0;2229.0;1052.0;447.0;57.0
57;Mannen en vrouwen;Totaal leeftijd;6;1998;8757.0;6299.0;683.0;5617.0;5858.0;5617.0;241.0;2899.0;66.9;64.1;4.1;4964.0;4495.0;469.0;653.0;1712.0;3904.0;190.0;93.0;97.0;3.3;348.0;1331.0;2252.0;1151.0;475.0;60.0
58;Mannen en vrouwen;Totaal leeftijd;6;1999;8756.0;6420.0;680.0;5741.0;5943.0;5741.0;202.0;2813.0;67.9;65.6;3.4;5110.0;4676.0;434.0;631.0;1773.0;3968.0;144.0;76.0;68.0;2.4;350.0;1384.0;2281.0;1166.0;480.0;79.0
59;Mannen en vrouwen;Totaal leeftijd;6;2000;8791.0;6550.0;707.0;5843.0;6024.0;5843.0;181.0;2766.0;68.5;66.5;3.0;5152.0;4753.0;399.0;691.0;1892.0;3951.0;123.0;73.0;50.0;2.0;345.0;1383.0;2327.0;1220.0;497.0;70.0
60;Mannen en vrouwen;Totaal leeftijd;6;2001;8794.0;6585.0;693.0;5892.0;6065.0;5892.0;173.0;2730.0;69.0;67.0;2.9;5228.0;4860.0;368.0;664.0;1936.0;3956.0;101.0;67.0;34.0;1.7;338.0;1389.0;2352.0;1237.0;502.0;75.0
61;Mannen en vrouwen;Totaal leeftijd;6;2002;8794.0;6598.0;710.0;5888.0;6093.0;5888.0;206.0;2700.0;69.3;67.0;3.4;5213.0;4858.0;355.0;675.0;2058.0;3829.0;118.0;83.0;35.0;1.9;351.0;1332.0;2327.0;1302.0;510.0;67.0
62;Mannen en vrouwen;Totaal leeftijd;6;2003;8783.0;6553.0;710.0;5842.0;6105.0;5842.0;262.0;2679.0;69.5;66.5;4.3;5156.0;4824.0;332.0;686.0;2109.0;3734.0;176.0;127.0;48.0;2.9;338.0;1296.0;2296.0;1329.0;505.0;79.0
