ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;GemiddeldeVakantieduurNederland_2;TotaalUitgavenVakantiesNederland_3;GemUitgavenPerVakantieganger_4;GemUitgavenMetEigenVervoer_5;GemUitgavenMetOverigVervoer_6
402;Zuid-Holland (PV);2014;940.0;2.8;114.0;121.0;;
403;Zuid-Holland (PV);2015;875.0;2.8;111.0;127.0;;
404;Zuid-Holland (PV);2016;993.0;2.8;116.0;117.0;;
405;Zeeland (PV);2002;712.0;3.3;;;;
406;Zeeland (PV);2003;719.0;3.3;55.0;77.0;;
407;Zeeland (PV);2004;640.0;3.3;59.0;92.0;;
408;Zeeland (PV);2005;562.0;3.3;51.0;90.0;;
409;Zeeland (PV);2006;543.0;3.4;44.0;81.0;;
410;Zeeland (PV);2007;618.0;3.3;60.0;97.0;;
411;Zeeland (PV);2008;625.0;3.3;60.0;96.0;;
412;Zeeland (PV);2009;544.0;3.3;55.0;101.0;;
413;Zeeland (PV);2010;604.0;3.3;61.0;101.0;;
414;Zeeland (PV);2011;550.0;3.3;55.0;99.0;;
415;Zeeland (PV);2012;672.0;3.2;74.0;110.0;;
416;Zeeland (PV);2013;631.0;3.2;64.0;101.0;;
417;Zeeland (PV);2014;677.0;3.1;66.0;97.0;;
418;Zeeland (PV);2015;630.0;3.2;63.0;100.0;;
419;Zeeland (PV);2016;653.0;3.2;72.0;111.0;;
420;Noord-Brabant (PV);2002;1209.0;3.1;;;;
421;Noord-Brabant (PV);2003;1027.0;3.1;82.0;80.0;;
422;Noord-Brabant (PV);2004;1195.0;3.1;99.0;83.0;;
423;Noord-Brabant (PV);2005;1151.0;3.2;83.0;72.0;;
424;Noord-Brabant (PV);2006;1045.0;3.1;92.0;88.0;;
425;Noord-Brabant (PV);2007;1173.0;3.1;93.0;79.0;;
426;Noord-Brabant (PV);2008;1102.0;3.1;88.0;80.0;;
427;Noord-Brabant (PV);2009;1242.0;3.1;96.0;77.0;;
428;Noord-Brabant (PV);2010;1304.0;3.2;108.0;83.0;;
429;Noord-Brabant (PV);2011;1322.0;3.2;117.0;88.0;;
430;Noord-Brabant (PV);2012;1206.0;3.2;108.0;90.0;;
431;Noord-Brabant (PV);2013;1192.0;3.0;113.0;95.0;;
432;Noord-Brabant (PV);2014;1106.0;3.2;107.0;96.0;;
433;Noord-Brabant (PV);2015;1064.0;2.9;100.0;94.0;;
434;Noord-Brabant (PV);2016;1223.0;3.0;115.0;94.0;;
435;Limburg (PV);2002;1171.0;3.3;;;;
436;Limburg (PV);2003;995.0;3.3;124.0;124.0;;
437;Limburg (PV);2004;1011.0;3.3;136.0;134.0;;
438;Limburg (PV);2005;939.0;3.3;123.0;131.0;;
439;Limburg (PV);2006;1079.0;3.3;150.0;139.0;;
440;Limburg (PV);2007;1110.0;3.3;148.0;134.0;;
441;Limburg (PV);2008;1094.0;3.3;162.0;148.0;;
442;Limburg (PV);2009;1161.0;3.3;152.0;131.0;;
443;Limburg (PV);2010;1178.0;3.2;165.0;140.0;;
444;Limburg (PV);2011;1218.0;3.3;170.0;140.0;;
445;Limburg (PV);2012;1273.0;3.2;179.0;141.0;;
446;Limburg (PV);2013;1026.0;3.3;148.0;144.0;;
447;Limburg (PV);2014;1031.0;3.3;148.0;143.0;;
448;Limburg (PV);2015;1015.0;3.3;145.0;143.0;;
449;Limburg (PV);2016;1129.0;3.2;165.0;146.0;;
450;Totaal seizoenrecreatieve logiesvormen;2002;3070.0;3.0;85.0;28.0;;
451;Totaal seizoenrecreatieve logiesvormen;2003;2525.0;3.2;76.0;30.0;;
452;Totaal seizoenrecreatieve logiesvormen;2004;2607.0;3.1;80.0;31.0;;
453;Totaal seizoenrecreatieve logiesvormen;2005;2456.0;3.1;80.0;33.0;;
454;Totaal seizoenrecreatieve logiesvormen;2006;2267.0;3.2;70.0;31.0;;
455;Totaal seizoenrecreatieve logiesvormen;2007;2204.0;3.1;86.0;39.0;;
456;Totaal seizoenrecreatieve logiesvormen;2008;2167.0;3.1;72.0;33.0;;
457;Totaal seizoenrecreatieve logiesvormen;2009;2319.0;3.2;74.0;32.0;;
458;Totaal seizoenrecreatieve logiesvormen;2010;2110.0;3.2;79.0;38.0;;
459;Totaal seizoenrecreatieve logiesvormen;2011;2307.0;3.2;92.0;40.0;;
460;Totaal seizoenrecreatieve logiesvormen;2012;2258.0;3.1;82.0;36.0;;
461;Totaal seizoenrecreatieve logiesvormen;2013;1776.0;3.1;64.0;36.0;;
462;Totaal seizoenrecreatieve logiesvormen;2014;2093.0;3.1;82.0;39.0;;
463;Totaal seizoenrecreatieve logiesvormen;2015;1697.0;3.0;58.0;34.0;;
464;Totaal seizoenrecreatieve logiesvormen;2016;1586.0;3.0;55.0;35.0;;
465;SL: zomerhuisje, bungalow, tweede woning;2002;555.0;3.2;22.0;39.0;;
466;SL: zomerhuisje, bungalow, tweede woning;2003;399.0;3.2;15.0;39.0;;
467;SL: zomerhuisje, bungalow, tweede woning;2004;524.0;;;;;
468;SL: zomerhuisje, bungalow, tweede woning;2005;498.0;3.1;21.0;43.0;;
469;SL: zomerhuisje, bungalow, tweede woning;2006;528.0;3.2;24.0;45.0;;
470;SL: zomerhuisje, bungalow, tweede woning;2007;655.0;3.1;38.0;58.0;;
471;SL: zomerhuisje, bungalow, tweede woning;2008;546.0;3.3;23.0;41.0;;
472;SL: zomerhuisje, bungalow, tweede woning;2009;613.0;3.1;26.0;42.0;;
473;SL: zomerhuisje, bungalow, tweede woning;2010;560.0;3.2;26.0;46.0;;
474;SL: zomerhuisje, bungalow, tweede woning;2011;729.0;3.4;43.0;60.0;;
475;SL: zomerhuisje, bungalow, tweede woning;2012;792.0;3.3;40.0;50.0;;
476;SL: zomerhuisje, bungalow, tweede woning;2013;605.0;3.2;26.0;44.0;;
477;SL: zomerhuisje, bungalow, tweede woning;2014;709.0;3.2;31.0;44.0;;
478;SL: zomerhuisje, bungalow, tweede woning;2015;782.0;2.9;28.0;35.0;;
479;SL: zomerhuisje, bungalow, tweede woning;2016;572.0;2.9;23.0;40.0;;
480;SL: caravan, vouwwagen;2002;1918.0;3.1;50.0;26.0;;
481;SL: caravan, vouwwagen;2003;1553.0;3.2;47.0;30.0;;
482;SL: caravan, vouwwagen;2004;1625.0;3.1;47.0;29.0;;
483;SL: caravan, vouwwagen;2005;1516.0;3.1;47.0;31.0;;
484;SL: caravan, vouwwagen;2006;1400.0;3.2;39.0;28.0;;
485;SL: caravan, vouwwagen;2007;1347.0;3.1;42.0;31.0;;
486;SL: caravan, vouwwagen;2008;1148.0;3.1;36.0;32.0;;
487;SL: caravan, vouwwagen;2009;1404.0;3.2;38.0;27.0;;
488;SL: caravan, vouwwagen;2010;1235.0;3.3;43.0;34.0;;
489;SL: caravan, vouwwagen;2011;1249.0;3.1;33.0;26.0;;
490;SL: caravan, vouwwagen;2012;1188.0;3.1;33.0;28.0;;
491;SL: caravan, vouwwagen;2013;961.0;3.1;27.0;29.0;;
492;SL: caravan, vouwwagen;2014;1059.0;3.1;31.0;29.0;;
493;SL: caravan, vouwwagen;2015;715.0;3.1;20.0;28.0;;
494;SL: caravan, vouwwagen;2016;825.0;3.0;24.0;29.0;;
495;SL: boot;2002;460.0;2.8;12.0;27.0;;
496;SL: boot;2003;402.0;2.9;9.0;23.0;;
497;SL: boot;2004;337.0;;;;;
498;SL: boot;2005;396.0;3.0;11.0;28.0;;
499;SL: boot;2006;255.0;;;;;
500;SL: boot;2007;191.0;;;;;
501;SL: boot;2008;429.0;;;;;
502;SL: boot;2009;255.0;;;;;
503;SL: boot;2010;232.0;;;;;
504;SL: boot;2011;247.0;;;;;
505;SL: boot;2012;241.0;;;;;
506;SL: boot;2013;162.0;;;;;
507;SL: boot;2014;;;;;;
508;SL: boot;2015;;;;;;
509;SL: boot;2016;;;;;;
510;Overige seizoenrecreatieve logiesvormen;2002;138.0;;;;;
511;Overige seizoenrecreatieve logiesvormen;2003;171.0;;;;;
512;Overige seizoenrecreatieve logiesvormen;2004;121.0;;;;;
513;Overige seizoenrecreatieve logiesvormen;2005;46.0;;;;;
514;Overige seizoenrecreatieve logiesvormen;2006;84.0;;;;;
515;Overige seizoenrecreatieve logiesvormen;2007;12.0;;;;;
516;Overige seizoenrecreatieve logiesvormen;2008;44.0;;;;;
517;Overige seizoenrecreatieve logiesvormen;2009;46.0;;;;;
518;Overige seizoenrecreatieve logiesvormen;2010;84.0;;;;;
519;Overige seizoenrecreatieve logiesvormen;2011;82.0;;;;;
520;Overige seizoenrecreatieve logiesvormen;2012;37.0;;;;;
521;Overige seizoenrecreatieve logiesvormen;2013;48.0;;;;;
522;Overige seizoenrecreatieve logiesvormen;2014;;;;;;
523;Overige seizoenrecreatieve logiesvormen;2015;;;;;;
524;Overige seizoenrecreatieve logiesvormen;2016;;;;;;
525;Totaal toeristische logiesvormen;2002;6440.0;3.2;870.0;135.0;;
526;Totaal toeristische logiesvormen;2003;6537.0;3.2;773.0;118.0;;
527;Totaal toeristische logiesvormen;2004;6303.0;3.2;739.0;117.0;;
528;Totaal toeristische logiesvormen;2005;6408.0;3.2;736.0;115.0;;
529;Totaal toeristische logiesvormen;2006;6685.0;3.2;777.0;116.0;;
530;Totaal toeristische logiesvormen;2007;6932.0;3.2;864.0;125.0;;
531;Totaal toeristische logiesvormen;2008;6750.0;3.2;875.0;130.0;;
532;Totaal toeristische logiesvormen;2009;6944.0;3.2;879.0;127.0;;
533;Totaal toeristische logiesvormen;2010;7123.0;3.2;915.0;128.0;;
534;Totaal toeristische logiesvormen;2011;7172.0;3.2;907.0;127.0;;
535;Totaal toeristische logiesvormen;2012;7826.0;3.1;1006.0;129.0;;
536;Totaal toeristische logiesvormen;2013;7404.0;3.1;966.0;130.0;;
537;Totaal toeristische logiesvormen;2014;7388.0;3.1;1010.0;137.0;;
538;Totaal toeristische logiesvormen;2015;7418.0;3.1;1013.0;137.0;;
539;Totaal toeristische logiesvormen;2016;7932.0;3.1;1083.0;137.0;;
540;TL: woning familie, vrienden, kennissen;2002;;;;;;
541;TL: woning familie, vrienden, kennissen;2003;;;;;;
542;TL: woning familie, vrienden, kennissen;2004;;;;;;
543;TL: woning familie, vrienden, kennissen;2005;;;;;;
544;TL: woning familie, vrienden, kennissen;2006;;;;;;
545;TL: woning familie, vrienden, kennissen;2007;0.0;0.0;0.0;0.0;;
546;TL: woning familie, vrienden, kennissen;2008;;;;;;
547;TL: woning familie, vrienden, kennissen;2009;;;;;;
548;TL: woning familie, vrienden, kennissen;2010;;;;;;
549;TL: woning familie, vrienden, kennissen;2011;;;;;;
550;TL: woning familie, vrienden, kennissen;2012;;;;;;
551;TL: woning familie, vrienden, kennissen;2013;;;;;;
552;TL: woning familie, vrienden, kennissen;2014;;;;;;
553;TL: woning familie, vrienden, kennissen;2015;;;;;;
554;TL: woning familie, vrienden, kennissen;2016;;;;;;
555;TL: woning van andere particulier;2002;466.0;3.0;41.0;89.0;;
556;TL: woning van andere particulier;2003;535.0;3.1;47.0;88.0;;
557;TL: woning van andere particulier;2004;479.0;2.9;32.0;66.0;;
558;TL: woning van andere particulier;2005;574.0;2.9;42.0;74.0;;
559;TL: woning van andere particulier;2006;600.0;3.0;43.0;71.0;;
560;TL: woning van andere particulier;2007;543.0;3.0;37.0;69.0;;
561;TL: woning van andere particulier;2008;535.0;3.0;40.0;75.0;;
562;TL: woning van andere particulier;2009;493.0;3.1;37.0;75.0;;
563;TL: woning van andere particulier;2010;455.0;3.1;44.0;97.0;;
564;TL: woning van andere particulier;2011;364.0;3.1;30.0;82.0;;
565;TL: woning van andere particulier;2012;605.0;3.0;44.0;73.0;;
566;TL: woning van andere particulier;2013;613.0;3.1;48.0;79.0;;
567;TL: woning van andere particulier;2014;639.0;3.1;53.0;83.0;;
568;TL: woning van andere particulier;2015;805.0;3.1;71.0;88.0;;
569;TL: woning van andere particulier;2016;889.0;3.0;73.0;83.0;;
570;TL: hotel;2002;2059.0;3.0;404.0;196.0;;
571;TL: hotel;2003;2044.0;2.9;354.0;173.0;;
572;TL: hotel;2004;2083.0;2.9;343.0;165.0;;
573;TL: hotel;2005;2094.0;3.0;345.0;165.0;;
574;TL: hotel;2006;2284.0;2.9;374.0;164.0;;
575;TL: hotel;2007;2483.0;2.9;438.0;176.0;;
576;TL: hotel;2008;2427.0;2.9;436.0;180.0;;
577;TL: hotel;2009;2570.0;2.9;430.0;167.0;;
578;TL: hotel;2010;2776.0;2.8;432.0;156.0;;
579;TL: hotel;2011;2806.0;2.9;447.0;159.0;;
580;TL: hotel;2012;3354.0;2.8;555.0;165.0;;
581;TL: hotel;2013;3244.0;2.8;534.0;165.0;;
582;TL: hotel;2014;3208.0;2.8;532.0;166.0;;
583;TL: hotel;2015;3164.0;2.8;528.0;167.0;;
584;TL: hotel;2016;3421.0;2.8;606.0;177.0;;
585;TL: pension, bed & breakfast;2002;118.0;;;;;
586;TL: pension, bed & breakfast;2003;161.0;;;;;
587;TL: pension, bed & breakfast;2004;149.0;;;;;
588;TL: pension, bed & breakfast;2005;120.0;;;;;
589;TL: pension, bed & breakfast;2006;115.0;;;;;
590;TL: pension, bed & breakfast;2007;145.0;;;;;
591;TL: pension, bed & breakfast;2008;205.0;;;;;
592;TL: pension, bed & breakfast;2009;190.0;;;;;
593;TL: pension, bed & breakfast;2010;232.0;;;;;
594;TL: pension, bed & breakfast;2011;289.0;;;;;
595;TL: pension, bed & breakfast;2012;229.0;;;;;
596;TL: pension, bed & breakfast;2013;246.0;;;;;
597;TL: pension, bed & breakfast;2014;;;;;;
598;TL: pension, bed & breakfast;2015;336.0;2.8;51.0;152.0;;
599;TL: pension, bed & breakfast;2016;348.0;2.9;54.0;155.0;;
600;TL: appartement;2002;113.0;;;;;
601;TL: appartement;2003;94.0;;;;;
602;TL: appartement;2004;97.0;;;;;
603;TL: appartement;2005;118.0;;;;;
604;TL: appartement;2006;111.0;;;;;
605;TL: appartement;2007;108.0;;;;;
606;TL: appartement;2008;100.0;;;;;
607;TL: appartement;2009;84.0;;;;;
608;TL: appartement;2010;126.0;;;;;
609;TL: appartement;2011;111.0;;;;;
610;TL: appartement;2012;96.0;;;;;
611;TL: appartement;2013;88.0;;;;;
612;TL: appartement;2014;;;;;;
613;TL: appartement;2015;;;;;;
614;TL: appartement;2016;;;;;;
615;TL: zomerhuisje, vakantiebungalow;2002;2016.0;3.6;265.0;132.0;;
616;TL: zomerhuisje, vakantiebungalow;2003;1867.0;3.6;214.0;115.0;;
617;TL: zomerhuisje, vakantiebungalow;2004;1804.0;3.6;201.0;112.0;;
618;TL: zomerhuisje, vakantiebungalow;2005;1905.0;3.6;204.0;107.0;;
619;TL: zomerhuisje, vakantiebungalow;2006;1955.0;3.6;213.0;109.0;;
620;TL: zomerhuisje, vakantiebungalow;2007;2160.0;3.6;246.0;114.0;;
621;TL: zomerhuisje, vakantiebungalow;2008;2084.0;3.6;244.0;117.0;;
622;TL: zomerhuisje, vakantiebungalow;2009;2163.0;3.6;261.0;121.0;;
623;TL: zomerhuisje, vakantiebungalow;2010;2174.0;3.6;255.0;117.0;;
624;TL: zomerhuisje, vakantiebungalow;2011;2240.0;3.6;262.0;117.0;;
625;TL: zomerhuisje, vakantiebungalow;2012;2183.0;3.6;255.0;117.0;;
626;TL: zomerhuisje, vakantiebungalow;2013;1900.0;3.6;233.0;123.0;;
627;TL: zomerhuisje, vakantiebungalow;2014;1835.0;3.6;235.0;128.0;;
628;TL: zomerhuisje, vakantiebungalow;2015;1815.0;3.5;224.0;124.0;;
629;TL: zomerhuisje, vakantiebungalow;2016;1858.0;3.6;220.0;119.0;;
630;TL: tent, bungalowtent;2002;430.0;3.2;28.0;66.0;;
631;TL: tent, bungalowtent;2003;582.0;3.2;42.0;73.0;;
632;TL: tent, bungalowtent;2004;496.0;3.1;36.0;73.0;;
633;TL: tent, bungalowtent;2005;419.0;3.2;31.0;74.0;;
634;TL: tent, bungalowtent;2006;432.0;3.2;33.0;77.0;;
635;TL: tent, bungalowtent;2007;393.0;3.1;32.0;82.0;;
636;TL: tent, bungalowtent;2008;360.0;;;;;
637;TL: tent, bungalowtent;2009;408.0;3.1;34.0;83.0;;
638;TL: tent, bungalowtent;2010;370.0;;;;;
639;TL: tent, bungalowtent;2011;345.0;;;;;
640;TL: tent, bungalowtent;2012;373.0;3.2;31.0;84.0;;
641;TL: tent, bungalowtent;2013;303.0;;;;;
642;TL: tent, bungalowtent;2014;;;;;;
643;TL: tent, bungalowtent;2015;;;;;;
644;TL: tent, bungalowtent;2016;410.0;3.1;37.0;91.0;;
645;TL: caravan, vouwwagen;2002;509.0;3.3;28.0;54.0;;
646;TL: caravan, vouwwagen;2003;541.0;3.3;38.0;70.0;;
647;TL: caravan, vouwwagen;2004;519.0;3.3;36.0;70.0;;
648;TL: caravan, vouwwagen;2005;451.0;3.3;27.0;60.0;;
649;TL: caravan, vouwwagen;2006;436.0;3.3;23.0;54.0;;
650;TL: caravan, vouwwagen;2007;439.0;3.4;29.0;66.0;;
651;TL: caravan, vouwwagen;2008;435.0;3.3;29.0;67.0;;
652;TL: caravan, vouwwagen;2009;401.0;3.4;30.0;76.0;;
653;TL: caravan, vouwwagen;2010;384.0;3.5;27.0;71.0;;
654;TL: caravan, vouwwagen;2011;475.0;3.5;31.0;66.0;;
655;TL: caravan, vouwwagen;2012;398.0;3.5;28.0;71.0;;
656;TL: caravan, vouwwagen;2013;373.0;3.4;27.0;71.0;;
657;TL: caravan, vouwwagen;2014;;;;;;
658;TL: caravan, vouwwagen;2015;;;;;;
659;TL: caravan, vouwwagen;2016;358.0;3.4;26.0;72.0;;
660;TL: camper;2002;46.0;;;;;
661;TL: camper;2003;103.0;;;;;
662;TL: camper;2004;82.0;;;;;
663;TL: camper;2005;109.0;;;;;
664;TL: camper;2006;122.0;;;;;
665;TL: camper;2007;108.0;;;;;
666;TL: camper;2008;119.0;;;;;
667;TL: camper;2009;121.0;;;;;
668;TL: camper;2010;126.0;;;;;
669;TL: camper;2011;170.0;;;;;
670;TL: camper;2012;178.0;;;;;
671;TL: camper;2013;198.0;;;;;
672;TL: camper;2014;;;;;;
673;TL: camper;2015;;;;;;
674;TL: camper;2016;;;;;;
675;TL: boot;2002;90.0;;;;;
676;TL: boot;2003;65.0;;;;;
677;TL: boot;2004;45.0;;;;;
678;TL: boot;2005;49.0;;;;;
679;TL: boot;2006;39.0;;;;;
680;TL: boot;2007;56.0;;;;;
681;TL: boot;2008;23.0;;;;;
682;TL: boot;2009;63.0;;;;;
683;TL: boot;2010;52.0;;;;;
684;TL: boot;2011;29.0;;;;;
685;TL: boot;2012;72.0;;;;;
686;TL: boot;2013;64.0;;;;;
687;TL: boot;2014;;;;;;
688;TL: boot;2015;;;;;;
689;TL: boot;2016;;;;;;
690;TL: jeugdherberg/groepsaccommodatie;2002;464.0;3.0;45.0;97.0;;
691;TL: jeugdherberg/groepsaccommodatie;2003;425.0;3.0;27.0;64.0;;
692;TL: jeugdherberg/groepsaccommodatie;2004;443.0;3.0;36.0;81.0;;
693;TL: jeugdherberg/groepsaccommodatie;2005;422.0;3.0;31.0;74.0;;
694;TL: jeugdherberg/groepsaccommodatie;2006;467.0;3.0;41.0;89.0;;
695;TL: jeugdherberg/groepsaccommodatie;2007;395.0;3.0;30.0;76.0;;
696;TL: jeugdherberg/groepsaccommodatie;2008;329.0;;;;;
697;TL: jeugdherberg/groepsaccommodatie;2009;324.0;;;;;
698;TL: jeugdherberg/groepsaccommodatie;2010;333.0;;;;;
699;TL: jeugdherberg/groepsaccommodatie;2011;277.0;;;;;
700;TL: jeugdherberg/groepsaccommodatie;2012;246.0;;;;;
701;TL: jeugdherberg/groepsaccommodatie;2013;297.0;;;;;
702;TL: jeugdherberg/groepsaccommodatie;2014;;;;;;
703;TL: jeugdherberg/groepsaccommodatie;2015;;;;;;
704;TL: jeugdherberg/groepsaccommodatie;2016;;;;;;
705;Overige toeristische logiesvormen;2002;128.0;;;;;
706;Overige toeristische logiesvormen;2003;120.0;;;;;
707;Overige toeristische logiesvormen;2004;107.0;;;;;
708;Overige toeristische logiesvormen;2005;147.0;3.0;12.0;83.0;;
709;Overige toeristische logiesvormen;2006;123.0;;;;;
710;Overige toeristische logiesvormen;2007;100.0;;;;;
711;Overige toeristische logiesvormen;2008;132.0;;;;;
712;Overige toeristische logiesvormen;2009;129.0;;;;;
713;Overige toeristische logiesvormen;2010;95.0;;;;;
714;Overige toeristische logiesvormen;2011;65.0;;;;;
715;Overige toeristische logiesvormen;2012;92.0;;;;;
716;Overige toeristische logiesvormen;2013;78.0;;;;;
717;Overige toeristische logiesvormen;2014;;;;;;
718;Overige toeristische logiesvormen;2015;;;;;;
719;Overige toeristische logiesvormen;2016;;;;;;
720;Geboekt bij een reisbureau;2002;316.0;3.2;;;;
721;Geboekt bij een reisbureau;2003;277.0;;;;;
722;Geboekt bij een reisbureau;2004;436.0;3.3;64.0;147.0;;
723;Geboekt bij een reisbureau;2005;603.0;3.4;114.0;135.0;;
724;Geboekt bij een reisbureau;2006;753.0;3.3;104.0;138.0;;
725;Geboekt bij een reisbureau;2007;706.0;3.3;222.0;212.0;;
726;Geboekt bij een reisbureau;2008;812.0;3.3;208.0;193.0;;
727;Geboekt bij een reisbureau;2009;796.0;3.4;187.0;183.0;;
728;Geboekt bij een reisbureau;2010;785.0;3.3;114.0;145.0;;
729;Geboekt bij een reisbureau;2011;791.0;3.3;106.0;134.0;;
730;Geboekt bij een reisbureau;2012;815.0;3.3;109.0;134.0;;
731;Geboekt bij een reisbureau;2013;691.0;3.3;96.0;139.0;;
732;Geboekt bij een reisbureau;2014;809.0;3.3;108.0;133.0;;
733;Geboekt bij een reisbureau;2015;958.0;3.2;128.0;134.0;;
734;Geboekt bij een reisbureau;2016;1153.0;3.2;156.0;135.0;;
735;Geboekt bij een bank, VVV, en dergelijke;2002;387.0;3.3;;;;
736;Geboekt bij een bank, VVV, en dergelijke;2003;591.0;3.3;111.0;139.0;;
737;Geboekt bij een bank, VVV, en dergelijke;2004;422.0;3.2;54.0;129.0;;
738;Geboekt bij een bank, VVV, en dergelijke;2005;434.0;3.2;75.0;123.0;;
739;Geboekt bij een bank, VVV, en dergelijke;2006;203.0;;;;;
740;Geboekt bij een bank, VVV, en dergelijke;2007;204.0;3.4;70.0;232.0;;
741;Geboekt bij een bank, VVV, en dergelijke;2008;445.0;3.3;125.0;211.0;;
742;Geboekt bij een bank, VVV, en dergelijke;2009;605.0;3.1;149.0;192.0;;
743;Geboekt bij een bank, VVV, en dergelijke;2010;705.0;3.1;91.0;130.0;;
744;Geboekt bij een bank, VVV, en dergelijke;2011;1281.0;3.0;175.0;137.0;;
745;Geboekt bij een bank, VVV, en dergelijke;2012;1679.0;2.9;238.0;142.0;;
746;Geboekt bij een bank, VVV, en dergelijke;2013;1782.0;2.9;250.0;140.0;;
747;Geboekt bij een bank, VVV, en dergelijke;2014;1691.0;3.0;245.0;145.0;;
748;Geboekt bij een bank, VVV, en dergelijke;2015;1607.0;2.9;242.0;150.0;;
749;Geboekt bij een bank, VVV, en dergelijke;2016;1697.0;2.9;268.0;158.0;;
750;Geb. boek-centr. hotel-/bungalowketen;2002;857.0;3.6;;;;
751;Geb. boek-centr. hotel-/bungalowketen;2003;937.0;3.6;166.0;131.0;;
752;Geb. boek-centr. hotel-/bungalowketen;2004;976.0;3.5;125.0;128.0;;
753;Geb. boek-centr. hotel-/bungalowketen;2005;965.0;3.6;186.0;138.0;;
754;Geb. boek-centr. hotel-/bungalowketen;2006;1016.0;3.5;129.0;127.0;;
755;Geb. boek-centr. hotel-/bungalowketen;2007;1251.0;3.4;362.0;196.0;;
756;Geb. boek-centr. hotel-/bungalowketen;2008;1249.0;3.4;335.0;202.0;;
757;Geb. boek-centr. hotel-/bungalowketen;2009;1281.0;3.4;284.0;172.0;;
758;Geb. boek-centr. hotel-/bungalowketen;2010;1369.0;3.4;192.0;140.0;;
759;Geb. boek-centr. hotel-/bungalowketen;2011;1718.0;3.3;239.0;139.0;;
760;Geb. boek-centr. hotel-/bungalowketen;2012;1805.0;3.3;264.0;146.0;;
761;Geb. boek-centr. hotel-/bungalowketen;2013;1368.0;3.3;193.0;141.0;;
762;Geb. boek-centr. hotel-/bungalowketen;2014;1404.0;3.2;201.0;143.0;;
763;Geb. boek-centr. hotel-/bungalowketen;2015;1466.0;3.2;221.0;150.0;;
764;Geb. boek-centr. hotel-/bungalowketen;2016;1479.0;3.2;225.0;152.0;;
765;Rechtstreeks geboekt bij reisorganisatie;2002;53.0;;;;;
766;Rechtstreeks geboekt bij reisorganisatie;2003;53.0;;;;;
767;Rechtstreeks geboekt bij reisorganisatie;2004;43.0;;;;;
768;Rechtstreeks geboekt bij reisorganisatie;2005;18.0;;;;;
769;Rechtstreeks geboekt bij reisorganisatie;2006;39.0;;;;;
770;Rechtstreeks geboekt bij reisorganisatie;2007;46.0;3.2;14.0;203.0;;
771;Rechtstreeks geboekt bij reisorganisatie;2008;36.0;3.1;9.0;184.0;;
772;Rechtstreeks geboekt bij reisorganisatie;2009;42.0;2.9;10.0;189.0;;
773;Rechtstreeks geboekt bij reisorganisatie;2010;51.0;;;;;
774;Rechtstreeks geboekt bij reisorganisatie;2011;53.0;;;;;
775;Rechtstreeks geboekt bij reisorganisatie;2012;36.0;;;;;
776;Rechtstreeks geboekt bij reisorganisatie;2013;50.0;;;;;
777;Rechtstreeks geboekt bij reisorganisatie;2014;;;;;;
778;Rechtstreeks geboekt bij reisorganisatie;2015;;;;;;
779;Rechtstreeks geboekt bij reisorganisatie;2016;;;;;;
780;Boekingsinstantie onbekend;2002;705.0;3.1;;;0.0;0.0
781;Boekingsinstantie onbekend;2003;658.0;3.0;;;0.0;0.0
782;Boekingsinstantie onbekend;2004;834.0;3.1;;;0.0;0.0
783;Boekingsinstantie onbekend;2005;800.0;3.1;;;0.0;0.0
784;Boekingsinstantie onbekend;2006;979.0;3.1;112.0;114.0;;
785;Boekingsinstantie onbekend;2007;0.0;0.0;0.0;0.0;;
786;Boekingsinstantie onbekend;2008;832.0;;;;;
787;Boekingsinstantie onbekend;2009;778.0;;;;;
788;Boekingsinstantie onbekend;2010;853.0;3.1;105.0;123.0;;
789;Boekingsinstantie onbekend;2011;628.0;3.2;68.0;108.0;;
790;Boekingsinstantie onbekend;2012;624.0;3.1;69.0;111.0;;
791;Boekingsinstantie onbekend;2013;801.0;3.1;111.0;138.0;;
792;Boekingsinstantie onbekend;2014;859.0;3.1;142.0;165.0;;
793;Boekingsinstantie onbekend;2015;751.0;3.0;110.0;146.0;;
794;Boekingsinstantie onbekend;2016;816.0;3.0;105.0;128.0;;
795;Log. rechtstr. geres. eigenaar/beheerder;2002;;;;;;
796;Log. rechtstr. geres. eigenaar/beheerder;2003;2438.0;3.2;319.0;131.0;;
797;Log. rechtstr. geres. eigenaar/beheerder;2004;2278.0;3.1;299.0;131.0;;
798;Log. rechtstr. geres. eigenaar/beheerder;2005;2267.0;3.2;287.0;127.0;;
799;Log. rechtstr. geres. eigenaar/beheerder;2006;2359.0;3.1;298.0;126.0;;
800;Log. rechtstr. geres. eigenaar/beheerder;2007;2409.0;3.1;325.0;135.0;;
801;Log. rechtstr. geres. eigenaar/beheerder;2008;2164.0;3.1;299.0;138.0;;
802;Log. rechtstr. geres. eigenaar/beheerder;2009;2171.0;3.1;311.0;143.0;;
803;Log. rechtstr. geres. eigenaar/beheerder;2010;2340.0;3.1;328.0;140.0;;
804;Log. rechtstr. geres. eigenaar/beheerder;2011;1812.0;3.2;249.0;137.0;;
805;Log. rechtstr. geres. eigenaar/beheerder;2012;1747.0;3.1;246.0;141.0;;
806;Log. rechtstr. geres. eigenaar/beheerder;2013;1678.0;3.1;235.0;140.0;;
