ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
241;17-18 Papier- en grafische industrie;2014;-15.0;-6.0
242;17-18 Papier- en grafische industrie;2015;31.0;-4.0
243;17-18 Papier- en grafische industrie;2016;69.0;62.0
244;17-18 Papier- en grafische industrie;2017;-23.0;-14.0
245;17-18 Papier- en grafische industrie;2018;-8.0;-14.0
246;17-18 Papier- en grafische industrie;2019;3.0;9.0
247;17-18 Papier- en grafische industrie;2020;-14.0;-3.0
248;17-18 Papier- en grafische industrie;2021;31.0;9.0
249;17-18 Papier- en grafische industrie;2022;4.0;2.0
250;17-18 Papier- en grafische industrie;2023;-13.0;27.0
251;17-18 Papier- en grafische industrie;2024;-23.0;
252;18 Grafische industrie;2013;24.0;20.0
253;18 Grafische industrie;2014;-16.0;10.0
254;18 Grafische industrie;2015;-20.0;-32.0
255;18 Grafische industrie;2016;6.0;24.0
256;18 Grafische industrie;2017;-8.0;-7.0
257;18 Grafische industrie;2018;3.0;7.0
258;18 Grafische industrie;2019;-10.0;-14.0
259;18 Grafische industrie;2020;-11.0;-16.0
260;18 Grafische industrie;2021;17.0;40.0
261;18 Grafische industrie;2022;-15.0;-9.0
262;18 Grafische industrie;2023;-27.0;23.0
263;18 Grafische industrie;2024;-15.0;
264;19 Aardolie-industrie;2013;9.0;
265;19 Aardolie-industrie;2014;13.0;
266;19 Aardolie-industrie;2015;-35.0;
267;19 Aardolie-industrie;2016;;
268;19 Aardolie-industrie;2017;52.0;-8.0
269;19 Aardolie-industrie;2018;;
270;19 Aardolie-industrie;2019;;
271;19 Aardolie-industrie;2020;-58.0;-50.0
272;19 Aardolie-industrie;2021;;
273;19 Aardolie-industrie;2022;;162.0
274;19 Aardolie-industrie;2023;;-16.0
275;19 Aardolie-industrie;2024;43.0;
276;19-22 Raffinaderijen en chemie;2013;1.0;-25.0
277;19-22 Raffinaderijen en chemie;2014;12.0;7.0
278;19-22 Raffinaderijen en chemie;2015;17.0;22.0
279;19-22 Raffinaderijen en chemie;2016;-7.0;-17.0
280;19-22 Raffinaderijen en chemie;2017;49.0;22.0
281;19-22 Raffinaderijen en chemie;2018;59.0;39.0
282;19-22 Raffinaderijen en chemie;2019;4.0;9.0
283;19-22 Raffinaderijen en chemie;2020;-13.0;-20.0
284;19-22 Raffinaderijen en chemie;2021;-2.0;-22.0
285;19-22 Raffinaderijen en chemie;2022;39.0;20.0
286;19-22 Raffinaderijen en chemie;2023;30.0;-3.0
287;19-22 Raffinaderijen en chemie;2024;48.0;
288;20 Chemische industrie;2013;-16.0;-29.0
289;20 Chemische industrie;2014;8.0;-10.0
290;20 Chemische industrie;2015;56.0;63.0
291;20 Chemische industrie;2016;-10.0;-22.0
292;20 Chemische industrie;2017;51.0;34.0
293;20 Chemische industrie;2018;10.0;-1.0
294;20 Chemische industrie;2019;1.0;17.0
295;20 Chemische industrie;2020;-2.0;-14.0
296;20 Chemische industrie;2021;8.0;-9.0
297;20 Chemische industrie;2022;33.0;7.0
298;20 Chemische industrie;2023;30.0;1.0
299;20 Chemische industrie;2024;43.0;
300;21 Farmaceutische industrie;2013;172.0;
301;21 Farmaceutische industrie;2014;65.0;
302;21 Farmaceutische industrie;2015;2.0;
303;21 Farmaceutische industrie;2016;;
304;21 Farmaceutische industrie;2017;65.0;8.0
305;21 Farmaceutische industrie;2018;;
306;21 Farmaceutische industrie;2019;;
307;21 Farmaceutische industrie;2020;14.0;21.0
308;21 Farmaceutische industrie;2021;;
309;21 Farmaceutische industrie;2022;;76.0
310;21 Farmaceutische industrie;2023;;-17.0
311;21 Farmaceutische industrie;2024;121.0;
312;22, 31-32 Overige industrie;2013;;
313;22, 31-32 Overige industrie;2014;;
314;22, 31-32 Overige industrie;2015;;
315;22, 31-32 Overige industrie;2016;;
316;22, 31-32 Overige industrie;2017;;
317;22, 31-32 Overige industrie;2018;;
318;22, 31-32 Overige industrie;2019;;
319;22, 31-32 Overige industrie;2020;;
320;22, 31-32 Overige industrie;2021;;
321;22, 31-32 Overige industrie;2022;;
322;22, 31-32 Overige industrie;2023;;
323;22, 31-32 Overige industrie;2024;;
324;22-23 Kunststof- en bouwmateriaalindustr;2013;;
325;22-23 Kunststof- en bouwmateriaalindustr;2014;;
326;22-23 Kunststof- en bouwmateriaalindustr;2015;;
327;22-23 Kunststof- en bouwmateriaalindustr;2016;;
328;22-23 Kunststof- en bouwmateriaalindustr;2017;;
329;22-23 Kunststof- en bouwmateriaalindustr;2018;;
