ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
195;Total Dutch airports;2010 June;43621;12713;38344;34331.0;4013;19176;17169.0;2007;19168;17162.0;2006;4442139;3997761.0;444378;2227879;2003297.0;224582;2214260;1994464.0;219796;4442139;3085676;2572827;512849;1356463;221705;85137;35692;0;67598;33278;684091;528117;91472;64502;450667;120685;150375;179607;0;0;0;128390;103980;24410;67447;54716;12732;60943;49265;11678;128390;7011;3093;3917;121380;16670;1207;1083;169;8231;5981;33618;20928;2548;10141;71092;14394;15481;41217;0;0;0;1997.0;1997.0;0.0;845.0;845.0;0.0;1152.0;1152.0;0.0;1997.0;807.0;591.0;216.0;1190.0;132.0;7.0;37.0;0.0;66.0;23.0;603.0;491.0;45.0;68.0;455.0;133.0;129.0;192.0;0.0
196;Total Dutch airports;2010 2nd quarter;120119;34285;106249;95594.0;10655;53129;47786.0;5343;53120;47808.0;5312;12102893;10919866.0;1183027;6034027;5466313.0;567714;6068866;5453553.0;615313;12102893;8399529;6978536;1420993;3703364;610184;257042;108557;197;160843;83545;1847104;1387682;277392;182030;1246076;330911;427451;487714;0;0;0;377574;302450;75124;202355;162192;40163;175218;140258;34961;377574;21277;9192;12085;356297;49520;4237;2838;472;25232;16741;98968;59591;8021;31356;207704;40665;42940;124099;105;0;0;6193.0;6193.0;0.0;2629.0;2629.0;0.0;3564.0;3564.0;0.0;6193.0;2494.0;1843.0;651.0;3699.0;409.0;20.0;131.0;0.0;194.0;65.0;1920.0;1580.0;124.0;216.0;1370.0;378.0;387.0;605.0;0.0
197;Total Dutch airports;2010 July;46025;9244;41196;35340.0;5856;20588;17664.0;2924;20608;17676.0;2932;5119203;4364690.0;754513;2411334;2077213.0;334121;2707869;2287477.0;420392;5119203;3567233;2927704;639529;1551970;296377;136571;41000;299;79017;39490;744723;561555;109358;73810;510870;150924;172943;187003;0;0;0;134197;107338;26859;69462;55280;14182;64735;52058;12677;134197;9860;2936;6924;124337;16124;1068;1043;303;7701;6008;34945;21708;2560;10677;73269;16007;17071;40190;0;0;0;1922.0;1922.0;0.0;770.0;770.0;0.0;1152.0;1152.0;0.0;1922.0;739.0;547.0;191.0;1183.0;132.0;6.0;41.0;0.0;65.0;21.0;588.0;475.0;45.0;69.0;462.0;144.0;144.0;175.0;0.0
198;Total Dutch airports;2010 August;44925;8678;40955;35223.0;5732;20490;17630.0;2860;20465;17593.0;2872;5058056;4298431.0;759625;2688839;2266098.0;422741;2369217;2032333.0;336884;5058056;3535358;2918243;617115;1522698;274072;122700;42315;330;78100;30627;738406;558618;105300;74488;510220;159234;166573;184413;0;0;0;135963;108608;27355;71426;56282;15144;64537;52326;12211;135963;10756;2818;7938;125206;16350;1049;854;230;9166;5051;35277;21414;2551;11312;73580;16216;16122;41242;0;0;0;1830.0;1830.0;0.0;717.0;717.0;0.0;1113.0;1113.0;0.0;1830.0;702.0;505.0;198.0;1128.0;140.0;5.0;43.0;0.0;69.0;22.0;576.0;474.0;44.0;58.0;412.0;106.0;116.0;190.0;0.0
199;Total Dutch airports;2010 September;43256;9057;38706;34496.0;4210;19357;17239.0;2118;19349;17257.0;2092;4623783;4095417.0;528366;2317813;2047044.0;270769;2305970;2048373.0;257597;4623783;3255060;2719298;535762;1368678;237873;99240;38158;948;69674;29853;669638;504651;94830;70157;461167;125472;150922;184773;0;0;45;135936;108903;27033;71721;56894;14827;64215;52010;12205;135936;11660;3494;8165;124276;15747;908;788;218;8668;5165;36315;21715;2769;11831;72215;15697;16118;40399;0;0;0;2077.0;2077.0;0.0;878.0;878.0;0.0;1200.0;1200.0;0.0;2077.0;775.0;588.0;187.0;1302.0;131.0;5.0;39.0;0.0;66.0;21.0;728.0;628.0;43.0;58.0;443.0;113.0;113.0;216.0;0.0
200;Total Dutch airports;2010 3rd quarter;134206;26979;120857;105059.0;15798;60435;52533.0;7902;60422;52526.0;7896;14801042;12758538.0;2042504;7417986;6390355.0;1027631;7383056;6368183.0;1014873;14801042;10357651;8565245;1792406;4443346;808322;358511;121473;1577;226791;99970;2152767;1624824;309488;218455;1482257;435630;490438;556189;0;0;45;406096;324850;81246;212609;168456;44153;193487;156394;37093;406096;32276;9248;23027;373820;48221;3025;2685;751;25536;16224;106537;64837;7880;33820;219063;47920;49311;121832;0;0;0;5829.0;5829.0;0.0;2365.0;2364.0;0.0;3465.0;3465.0;0.0;5829.0;2217.0;1641.0;576.0;3613.0;403.0;17.0;123.0;0.0;200.0;63.0;1892.0;1577.0;132.0;184.0;1317.0;363.0;373.0;582.0;0.0
201;Total Dutch airports;2010 October;43576;8894;39368;35273.0;4095;19683;17623.0;2060;19685;17650.0;2035;4666071;4190422.0;475649;2364053;2103152.0;260901;2302018;2087270.0;214748;4666071;3263544;2666957;596587;1402527;261643;122013;37271;773;70062;31524;666264;489656;104415;72193;474620;132232;165119;177269;0;0;0;146803;118299;28504;77633;62016;15617;69169;56282;12887;146803;11068;3595;7473;135735;18411;1196;925;288;10485;5517;40348;25027;3250;12071;76960;15914;16811;44235;16;0;0;2160.0;2160.0;0.0;852.0;852.0;0.0;1308.0;1308.0;0.0;2160.0;834.0;631.0;203.0;1326.0;146.0;5.0;40.0;0.0;76.0;25.0;695.0;576.0;45.0;74.0;485.0;107.0;123.0;256.0;0.0
202;Total Dutch airports;2010 November;37182;5051;34145;32091.0;2054;17075;16034.0;1041;17070;16057.0;1013;3719403;3544295.0;175108;1886706;1791544.0;95162;1832697;1752751.0;79946;3719403;2504810;2147545;357265;1214593;227261;96294;36266;2711;59245;32745;551279;380958;104049;66272;436053;119464;163734;152855;0;0;0;143231;115660;27571;74625;59589;15037;68606;56071;12535;143231;10076;3211;6865;133155;18439;1311;855;188;10230;5855;38310;24126;2881;11304;76389;15992;15203;45194;17;0;0;2325.0;2325.0;0.0;954.0;954.0;0.0;1371.0;1371.0;0.0;2325.0;928.0;683.0;245.0;1397.0;152.0;4.0;46.0;3.0;65.0;34.0;709.0;587.0;49.0;73.0;536.0;122.0;106.0;309.0;0.0
203;Total Dutch airports;2010 December;33260;2926;31123;28985.0;2138;15588;14509.0;1079;15535;14476.0;1059;3440349;3282678.0;157671;1699164;1622005.0;77159;1741185;1660673.0;80512;3440349;2209325;1889371;319954;1231024;228997;93384;39269;2376;59011;34957;567866;393625;108152;66089;434161;121532;172299;140330;0;0;0;131510;105917;25593;70246;55843;14404;61263;50074;11189;131510;8969;3102;5867;122541;17303;1689;747;251;10114;4502;36477;22896;3208;10373;68761;15513;12406;40842;0;0;0;2654.0;2654.0;0.0;1077.0;1077.0;0.0;1577.0;1577.0;0.0;2654.0;1126.0;847.0;278.0;1528.0;146.0;5.0;45.0;3.0;58.0;35.0;793.0;637.0;63.0;93.0;589.0;121.0;135.0;333.0;0.0
204;Total Dutch airports;2010 4th quarter;114018;16871;104636;96349.0;8287;52346;48166.0;4180;52290;48183.0;4107;11825823;11017395.0;808428;5949923;5516701.0;433222;5875900;5500694.0;375206;11825823;7977679;6703873;1273806;3848144;717901;311691;112806;5860;188318;99226;1785409;1264239;316616;204554;1344834;373228;501152;470454;0;0;0;421544;339875;81669;222505;177448;45057;199039;162428;36611;421544;30113;9908;20205;391431;54153;4196;2527;727;30829;15873;115135;72049;9338;33748;222110;47419;44420;130271;33;0;0;7139.0;7139.0;0.0;2883.0;2883.0;0.0;4257.0;4257.0;0.0;7139.0;2887.0;2161.0;726.0;4252.0;444.0;15.0;132.0;6.0;198.0;93.0;2197.0;1800.0;157.0;241.0;1610.0;350.0;363.0;897.0;0.0
205;Total Dutch airports;2010;473798;99976;427392;387843.0;39549;213713;193836.0;19877;213679;194007.0;19672;48591528;44166684.0;4424844;24370089;22141954.0;2228135;24221439;22024730.0;2196709;48591528;33221432;27794288;5427144;15370049;2767711;1164991;454499;7634;758551;382036;7296390;5297949;1205285;793156;5305948;1419715;1924389;1961844;0;0;47;1574598;1267672;306926;835426;667907;167519;739172;599765;139407;1574598;104816;38321;66495;1469782;205270;16296;10449;2457;111141;64927;423102;257619;34250;131234;841271;170695;174506;496070;138;0;0;25878.0;25878.0;0.0;10890.0;10890.0;0.0;14988.0;14988.0;0.0;25878.0;10423.0;7834.0;2589.0;15455.0;1741.0;73.0;551.0;6.0;819.0;293.0;8110.0;6740.0;517.0;853.0;5604.0;1389.0;1440.0;2775.0;0.0
206;Total Dutch airports;2011 January;36149;5530;32992;31244.0;1748;16470;15592.0;878;16522;15652.0;870;3466587;3317032.0;149555;1763962;1684936.0;79026;1702625;1632096.0;70529;3466587;2225510;1901205;324305;1241073;234287;87336;40100;2130;69539;35182;543475;360011;112068;71396;463311;117751;184480;161080;0;0;4;127707;105129;22577;68093;55428;12664;59614;49701;9913;127707;7946;2454;5492;119761;17338;1596;891;189;10224;4438;34734;21984;3126;9624;67619;14892;12267;40460;70;0;0;2096.0;2096.0;0.0;855.0;855.0;0.0;1241.0;1241.0;0.0;2096.0;897.0;654.0;242.0;1199.0;108.0;5.0;34.0;3.0;40.0;26.0;561.0;435.0;50.0;76.0;531.0;114.0;105.0;311.0;0.0
207;Total Dutch airports;2011 February;33703;5643;30605;28977.0;1628;15302;14471.0;831;15303;14506.0;797;3251624;3115120.0;136504;1610726;1544926.0;65800;1640898;1570194.0;70704;3251624;2219657;1908174;311483;1031967;169849;41405;32780;1950;63417;30297;449995;288556;101740;59699;412123;107744;161993;142386;0;0;0;117015;95710;21305;60244;48102;12142;56771;47608;9162;117015;7642;2832;4810;109374;17598;1359;872;265;10291;4811;36162;22159;3035;10968;55589;14241;11967;29381;24;0;0;1723.0;1723.0;0.0;731.0;731.0;0.0;992.0;992.0;0.0;1723.0;741.0;546.0;195.0;982.0;100.0;5.0;29.0;2.0;38.0;27.0;458.0;359.0;44.0;55.0;424.0;78.0;87.0;258.0;0.0
208;Total Dutch airports;2011 March;40528;8953;35822;33908.0;1914;17907;16936.0;971;17915;16972.0;943;3921482;3745432.0;176050;1994598;1904218.0;90380;1926884;1841214.0;85670;3921482;2717875;2332878;384997;1203605;186151;55807;37817;2394;57149;32984;559728;386726;106957;66045;457726;124860;170818;162048;0;0;2;143094;118857;24237;74428;61799;12629;68666;57058;11608;143094;9959;3256;6703;133135;18274;1082;957;189;10865;5181;39034;24934;3217;10883;75757;15960;14659;45138;70;0;0;2001.0;2001.0;0.0;835.0;835.0;0.0;1166.0;1166.0;0.0;2001.0;850.0;605.0;244.0;1151.0;126.0;6.0;38.0;2.0;55.0;25.0;532.0;421.0;46.0;65.0;493.0;111.0;104.0;278.0;0.0
209;Total Dutch airports;2011 1st quarter;110380;20126;99419;94129.0;5290;49679;46999.0;2680;49740;47130.0;2610;10639693;10177584.0;462109;5369286;5134080.0;235206;5270407;5043504.0;226903;10639693;7163042;6142257;1020785;3476645;590287;184548;110697;6474;190105;98463;1553198;1035293;320765;197140;1333160;350355;517291;465514;0;0;6;387816;319697;68119;202765;165329;37436;185051;154368;30683;387816;25547;8542;17005;362269;53211;4037;2720;642;31380;14431;109930;69076;9378;31476;198965;45093;38892;114979;164;0;0;5820.0;5820.0;0.0;2421.0;2421.0;0.0;3399.0;3399.0;0.0;5820.0;2487.0;1806.0;681.0;3333.0;334.0;16.0;101.0;7.0;133.0;77.0;1552.0;1215.0;141.0;196.0;1447.0;303.0;297.0;847.0;0.0
210;Total Dutch airports;2011 April;43216;8701;38703;35961.0;2742;19349;17963.0;1386;19354;17998.0;1356;4466794;4205538.0;261256;2193871;2087067.0;106804;2272923;2118471.0;154452;4466794;3169194;2672493;496701;1297600;203195;76526;41292;2000;49437;33940;633837;456210;108487;69140;460568;138211;160157;162200;0;0;0;137344;113544;23800;71400;58966;12434;65944;54578;11366;137344;10021;3462;6559;127323;18120;860;982;220;10284;5774;36691;23844;2954;9894;72511;15687;13879;42945;0;0;0;1944.0;1944.0;0.0;809.0;809.0;0.0;1134.0;1134.0;0.0;1944.0;808.0;563.0;245.0;1136.0;126.0;7.0;35.0;3.0;59.0;22.0;503.0;393.0;45.0;65.0;506.0;118.0;119.0;270.0;0.0
211;Total Dutch airports;2011 May;46867;8877;42379;38406.0;3973;21197;19200.0;1997;21182;19206.0;1976;4916693;4461131.0;455562;2485110;2260217.0;224893;2431583;2200914.0;230669;4916693;3608363;2986401;621962;1308330;183964;68046;37847;2222;50124;25725;673676;502854;101065;69757;450690;132202;148688;169800;0;0;0;136553;112604;23949;70811;57935;12877;65741;54669;11072;136553;10603;2996;7606;125950;17591;716;1033;144;10182;5517;39931;25951;3081;10899;68428;15786;14245;38396;0;0;0;1988.0;1988.0;0.0;784.0;784.0;0.0;1204.0;1204.0;0.0;1988.0;837.0;560.0;276.0;1151.0;129.0;5.0;36.0;5.0;58.0;25.0;515.0;399.0;38.0;77.0;507.0;108.0;118.0;281.0;0.0
212;Total Dutch airports;2011 June;45232;7885;41139;37300.0;3839;20560;18640.0;1920;20579;18660.0;1919;4939490;4504998.0;434492;2480462;2263400.0;217062;2459028;2241598.0;217430;4939490;3568565;2985658;582907;1370898;199545;74234;36269;3405;59955;25682;711999;546184;98194;67621;459354;140583;148208;170563;0;0;27;126979;104444;22535;66208;54121;12087;60771;50322;10449;126979;9721;2799;6921;117258;15749;526;1086;277;8337;5522;38146;24861;2980;10305;63363;16389;12610;34363;0;0;0;2103.0;2103.0;0.0;851.0;851.0;0.0;1252.0;1252.0;0.0;2103.0;848.0;589.0;259.0;1256.0;125.0;5.0;38.0;3.0;59.0;21.0;606.0;485.0;45.0;76.0;525.0;118.0;112.0;295.0;0.0
213;Total Dutch airports;2011 2nd quarter;135315;25463;122221;111667.0;10554;61106;55803.0;5303;61115;55864.0;5251;14322977;13171667.0;1151310;7159443;6610684.0;548759;7163534;6560983.0;602551;14322977;10346122;8644552;1701570;3976828;586704;218806;115408;7627;159516;85347;2019512;1505248;307746;206518;1370612;410996;457053;502563;0;0;27;400875;330592;70284;208419;171022;37397;192456;159569;32886;400875;30344;9258;21086;370531;51460;2102;3100;641;28803;16813;114768;74655;9015;31099;204303;47863;40735;115704;0;0;0;6035.0;6035.0;0.0;2444.0;2444.0;0.0;3591.0;3591.0;0.0;6035.0;2493.0;1713.0;779.0;3542.0;381.0;17.0;110.0;10.0;175.0;68.0;1624.0;1277.0;128.0;219.0;1538.0;344.0;348.0;846.0;0.0
214;Total Dutch airports;2011 July;47644;7546;43761;38406.0;5355;21871;19192.0;2679;21890;19214.0;2676;5627276;4929533.0;697743;2668554;2355436.0;313118;2958722;2574097.0;384625;5627276;4044394;3313919;730475;1582882;269657;119390;42413;3791;73160;30903;779420;586694;116042;76684;533805;170029;171228;192548;0;0;0;135182;111471;23711;67761;55529;12232;67421;55942;11479;135182;10964;2976;7988;124217;16087;454;1229;259;8987;5158;38722;25632;3125;9966;69408;17284;13833;38292;0;0;0;1960.0;1960.0;0.0;745.0;745.0;0.0;1215.0;1215.0;0.0;1960.0;835.0;576.0;259.0;1125.0;127.0;5.0;32.0;3.0;65.0;21.0;482.0;345.0;47.0;90.0;517.0;108.0;129.0;280.0;0.0
215;Total Dutch airports;2011 August;47606;7227;43822;38468.0;5354;21911;19241.0;2670;21911;19227.0;2684;5540569;4818236.0;722333;2904186;2517500.0;386686;2636383;2300736.0;335647;5540569;3973627;3267858;705769;1566916;251831;99614;44356;3751;73850;30260;779718;580403;119778;79537;535367;171110;169815;194442;0;0;26;131719;108308;23410;66658;54747;11911;65061;53562;11499;131719;11062;3043;8019;120657;16621;336;1211;187;9873;5014;38264;24374;3198;10692;65772;15892;12597;37283;0;0;0;1859.0;1859.0;0.0;724.0;724.0;0.0;1134.0;1134.0;0.0;1859.0;804.0;560.0;244.0;1055.0;126.0;6.0;34.0;3.0;61.0;22.0;424.0;301.0;42.0;81.0;505.0;110.0;117.0;277.0;0.0
216;Total Dutch airports;2011 September;46189;6929;41819;37575.0;4244;20915;18781.0;2134;20904;18794.0;2110;5128892;4603326.0;525566;2586515;2317347.0;269168;2542377;2285979.0;256398;5128892;3704535;3084401;620134;1424357;226412;85445;41842;2759;66319;30047;707812;533424;97210;77178;490133;144481;156508;189144;0;0;0;127765;104865;22900;65602;53595;12007;62163;51270;10893;127765;11724;2998;8726;116041;15916;293;1014;200;9664;4745;37169;24142;3011;10016;62955;14980;12149;35827;0;0;0;2020.0;2020.0;0.0;812.0;812.0;0.0;1208.0;1208.0;0.0;2020.0;879.0;632.0;247.0;1141.0;129.0;4.0;37.0;4.0;61.0;25.0;487.0;362.0;43.0;81.0;525.0;103.0;118.0;303.0;0.0
217;Total Dutch airports;2011 3rd quarter;141439;21702;129402;114449.0;14953;64697;57214.0;7483;64705;57235.0;7470;16296737;14351095.0;1945642;8159255;7190283.0;968972;8137482;7160812.0;976670;16296737;11722556;9666178;2056378;4574155;747900;304449;128611;10301;213329;91210;2266950;1700521;333030;233399;1559305;485620;497551;576134;0;0;26;394665;324645;70020;200021;163871;36150;194644;160774;33871;394665;33750;9017;24733;360915;48624;1083;3454;646;28524;14917;114156;74148;9334;30674;198135;48155;38579;111401;0;0;0;5839.0;5839.0;0.0;2282.0;2282.0;0.0;3557.0;3557.0;0.0;5839.0;2518.0;1769.0;750.0;3321.0;382.0;15.0;103.0;10.0;186.0;68.0;1393.0;1009.0;132.0;252.0;1546.0;321.0;365.0;860.0;0.0
218;Total Dutch airports;2011 October;45995;6689;42073;38159.0;3914;21041;19082.0;1959;21032;19077.0;1955;5024163;4578238.0;445925;2544469;2300983.0;243486;2479694;2277255.0;202439;5024163;3602947;2945214;657733;1421216;235663;91433;44325;2615;65269;32021;687339;507032;105567;74740;498214;142467;165739;190008;0;0;0;140170;116595;23575;70507;58620;11887;69663;57975;11687;140170;11426;3040;8386;128744;17462;315;1056;180;10243;5668;41569;27114;3430;11025;69713;17894;13530;38289;0;0;0;2213.0;2213.0;0.0;931.0;931.0;0.0;1281.0;1281.0;0.0;2213.0;928.0;675.0;253.0;1285.0;141.0;4.0;41.0;6.0;68.0;22.0;534.0;423.0;41.0;70.0;610.0;132.0;131.0;347.0;0.0
219;Total Dutch airports;2011 November;37811;5701;34902;33121.0;1781;17455;16551.0;904;17447;16570.0;877;3807138;3657947.0;149191;1925189;1844408.0;80781;1881949;1813539.0;68410;3807138;2623838;2245752;378086;1183300;216423;87239;39215;2314;54056;33599;539229;364080;96952;78197;427648;118906;153569;155173;0;0;0;133936;111744;22192;68505;57058;11446;65432;54685;10746;133936;12791;3000;9791;121145;16752;372;884;186;10913;4398;37914;24073;3312;10529;66478;17232;11751;37495;0;0;0;2637.0;2637.0;0.0;992.0;992.0;0.0;1645.0;1645.0;0.0;2637.0;1089.0;808.0;281.0;1548.0;148.0;5.0;39.0;6.0;73.0;25.0;645.0;463.0;73.0;109.0;755.0;165.0;166.0;423.0;0.0
220;Total Dutch airports;2011 December;36750;5072;34313;32818.0;1495;17171;16411.0;760;17142;16407.0;735;3777434;3662219.0;115215;1840313;1786307.0;54006;1937121;1875912.0;61209;3777434;2543922;2196206;347716;1233510;219427;79705;41523;2657;58630;36912;568994;378635;103320;87039;445089;124699;171839;148551;0;0;2;131791;110277;21514;67417;56179;11237;64374;54098;10277;131791;12268;3935;8333;119522;16021;743;649;230;9754;4646;40454;24505;3519;12430;63047;17057;11083;34907;0;0;0;3337.0;3337.0;0.0;1228.0;1228.0;0.0;2109.0;2109.0;0.0;3337.0;1393.0;1068.0;326.0;1944.0;203.0;4.0;53.0;7.0;85.0;54.0;839.0;632.0;74.0;133.0;902.0;193.0;224.0;486.0;0.0
221;Total Dutch airports;2011 4th quarter;120556;17462;111288;104098.0;7190;55667;52044.0;3623;55621;52054.0;3567;12608735;11898404.0;710331;6309971;5931698.0;378273;6298764;5966706.0;332058;12608735;8770707;7387172;1383535;3838026;671513;258377;125063;7586;177955;102532;1795562;1249747;305839;239976;1370951;386072;491147;493732;0;0;2;405897;338616;67281;206429;171857;34571;199468;166758;32710;405897;36486;9975;26511;369411;50235;1430;2589;595;30909;14712;119938;75691;10262;33985;199238;52183;36364;110691;0;0;0;8186.0;8186.0;0.0;3151.0;3151.0;0.0;5035.0;5035.0;0.0;8186.0;3411.0;2551.0;860.0;4776.0;491.0;14.0;133.0;18.0;226.0;101.0;2018.0;1518.0;188.0;312.0;2266.0;489.0;521.0;1256.0;0.0
222;Total Dutch airports;2011;507690;84753;462330;424343.0;37987;231149;212060.0;19089;231181;212283.0;18898;53868142;49598750.0;4269392;26997955;24866745.0;2131210;26870187;24732005.0;2138182;53868142;38002427;31840159;6162268;15865654;2596404;966180;479779;31988;740905;377552;7635222;5490809;1267380;877033;5634028;1633043;1963042;2037943;0;0;61;1589253;1313549;275704;817634;672080;145554;771619;641469;130150;1589253;126127;36792;89335;1463126;203530;8652;11864;2525;119616;60873;458792;293570;37988;127233;800641;193295;154570;452776;164;0;0;25880.0;25880.0;0.0;10298.0;10298.0;0.0;15582.0;15582.0;0.0;25880.0;10909.0;7838.0;3070.0;14972.0;1587.0;61.0;446.0;45.0;721.0;314.0;6587.0;5019.0;589.0;979.0;6797.0;1458.0;1531.0;3809.0;0.0
223;Total Dutch airports;2012 January;37172;5996;34162;32638.0;1524;17064;16286.0;778;17098;16352.0;746;3675761;3547438.0;128323;1878969;1812175.0;66794;1796792;1735263.0;61529;3675761;2444953;2093549;351404;1230808;219775;76248;39581;2845;65300;35801;552784;352218;110190;90376;458249;120402;182011;155836;0;0;0;113611;94348;19264;59598;49173;10425;54013;45174;8839;113611;10292;3053;7239;103319;15155;646;688;181;10188;3451;35189;20951;3128;11110;52976;15673;9396;27906;0;0;0;2233.0;2233.0;0.0;852.0;852.0;0.0;1381.0;1381.0;0.0;2233.0;933.0;674.0;259.0;1300.0;143.0;5.0;36.0;4.0;65.0;34.0;540.0;393.0;54.0;93.0;617.0;128.0;151.0;339.0;0.0
224;Total Dutch airports;2012 February;35913;5203;33042;31430.0;1612;16519;15688.0;831;16523;15742.0;781;3552136;3416847.0;135289;1743950;1678614.0;65336;1808186;1738233.0;69953;3552136;2432008;2090461;341547;1120126;209804;77294;37424;2764;60551;31771;493172;307976;102667;82529;417150;112158;163542;141450;0;0;2;123866;104063;19803;63683;52791;10892;60183;51272;8910;123866;11737;3342;8395;112129;15840;451;833;248;10346;3963;39407;23497;3754;12156;56882;15693;10426;30763;0;0;0;2032.0;2032.0;0.0;754.0;754.0;0.0;1278.0;1278.0;0.0;2032.0;878.0;619.0;258.0;1154.0;110.0;2.0;27.0;4.0;46.0;30.0;467.0;321.0;52.0;93.0;577.0;128.0;155.0;294.0;0.0
225;Total Dutch airports;2012 March;41494;8021;37190;35381.0;1809;18577;17664.0;913;18613;17717.0;896;4177498;4030372.0;147126;2128958;2053858.0;75100;2048540;1976514.0;72026;4177498;2895625;2479790;415835;1281873;223593;84702;37769;3215;61452;36455;582615;395584;104448;82583;475665;134027;170677;170961;0;0;0;136457;113955;22502;70760;58777;11983;65696;55177;10519;136457;12768;3467;9302;123688;17286;365;1022;271;10806;4822;39783;24784;3495;11504;66619;17506;12079;37035;0;0;0;2255.0;2255.0;0.0;822.0;822.0;0.0;1434.0;1434.0;0.0;2255.0;948.0;696.0;252.0;1307.0;115.0;3.0;35.0;5.0;48.0;24.0;552.0;375.0;60.0;117.0;640.0;138.0;156.0;347.0;0.0
226;Total Dutch airports;2012 1st quarter;114579;19220;104394;99449.0;4945;52160;49638.0;2522;52234;49811.0;2423;11405395;10994657.0;410738;5751877;5544647.0;207230;5653518;5450010.0;203508;11405395;7772586;6663800;1108786;3632807;653172;238244;114774;8824;187303;104027;1628571;1055778;317305;255488;1351064;366587;516230;468247;0;0;2;373934;312366;61569;194042;160742;33300;179892;151624;28268;373934;34798;9862;24936;339137;48281;1462;2544;699;31340;12236;114379;69231;10377;34770;176477;48871;31902;95704;0;0;0;6520.0;6520.0;0.0;2428.0;2428.0;0.0;4092.0;4092.0;0.0;6520.0;2758.0;1989.0;770.0;3761.0;368.0;9.0;97.0;14.0;159.0;88.0;1558.0;1089.0;166.0;303.0;1835.0;394.0;461.0;980.0;0.0
227;Total Dutch airports;2012 April;42400;6144;38974;36501.0;2473;19493;18225.0;1268;19481;18276.0;1205;4568847;4343841.0;225006;2241495;2150610.0;90885;2327352;2193231.0;134121;4568847;3251568;2725909;525659;1317277;218592;89770;40650;3729;50516;33927;632795;448685;100639;83471;465890;132969;155130;177791;0;0;2;127848;107322;20526;66609;55492;11118;61239;51831;9408;127848;12882;2903;9979;114967;16085;635;1264;255;9609;4322;36355;22794;2773;10788;62527;15388;11457;35682;0;0;0;2055.0;2055.0;0.0;756.0;756.0;0.0;1299.0;1299.0;0.0;2055.0;858.0;605.0;253.0;1198.0;97.0;2.0;32.0;4.0;39.0;20.0;546.0;370.0;58.0;118.0;554.0;108.0;146.0;299.0;0.0
228;Total Dutch airports;2012 May;46528;6448;42648;38644.0;4004;21317;19317.0;2000;21331;19327.0;2004;5027940;4558422.0;469518;2524338;2294536.0;229802;2503602;2263886.0;239716;5027940;3679671;3013899;665772;1348267;205600;86200;35327;3866;51783;28424;689656;507108;97480;85068;453011;121092;146795;185124;0;0;2;128973;106263;22710;67345;55175;12171;61628;51088;10540;128973;13539;3097;10442;115435;16386;799;1062;275;9718;4533;36486;22122;2749;11614;62563;16637;12083;33843;0;0;0;2179.0;2179.0;0.0;778.0;778.0;0.0;1401.0;1401.0;0.0;2179.0;928.0;652.0;276.0;1251.0;100.0;3.0;36.0;5.0;35.0;22.0;573.0;391.0;56.0;127.0;577.0;102.0;158.0;317.0;0.0
