ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
1000;Total;J Information and communication;2019;320.0;;351.0;;542.0;;13.0;12.0;;
1001;Total;J Information and communication;2020 1st quarter;328.0;326.0;362.0;360.0;139.0;134.0;6.0;8.0;5.0;8.0
1002;Total;J Information and communication;2020 2nd quarter;324.0;325.0;358.0;359.0;135.0;142.0;6.0;8.0;-1.0;-1.0
1003;Total;J Information and communication;2020 3rd quarter;328.0;330.0;362.0;365.0;127.0;142.0;12.0;16.0;5.0;6.0
1004;Total;J Information and communication;2020 4th quarter;335.0;333.0;369.0;367.0;152.0;144.0;12.0;14.0;3.0;3.0
1005;Total;J Information and communication;2020;329.0;;363.0;;553.0;;9.0;12.0;;
1006;Total;J Information and communication;2021 1st quarter;334.0;337.0;372.0;371.0;150.0;143.0;6.0;9.0;4.0;3.0
1007;Total;J Information and communication;2021 2nd quarter;341.0;341.0;376.0;375.0;142.0;145.0;17.0;18.0;4.0;5.0
1008;Total;J Information and communication;2021 3rd quarter;344.0;346.0;378.0;381.0;128.0;142.0;16.0;16.0;5.0;6.0
1009;Total;J Information and communication;2021 4th quarter;351.0;350.0;387.0;387.0;154.0;146.0;16.0;18.0;4.0;5.0
1010;Total;J Information and communication;2021;343.0;;378.0;;573.0;;14.0;15.0;;
1011;Total;J Information and communication;2022 1st quarter;356.0;354.0;393.0;392.0;158.0;149.0;21.0;22.0;4.0;5.0
1012;Total;J Information and communication;2022 2nd quarter;361.0;360.0;400.0;399.0;146.0;150.0;20.0;24.0;6.0;7.0
1013;Total;J Information and communication;2022 3rd quarter;365.0;367.0;401.0;405.0;139.0;154.0;21.0;23.0;7.0;7.0
1014;Total;J Information and communication;2022 4th quarter;375.0;375.0;413.0;413.0;162.0;156.0;24.0;26.0;8.0;8.0
1015;Total;J Information and communication;2022;364.0;;402.0;;605.0;;22.0;24.0;;
1016;Total;J Information and communication;2023 1st quarter;381.0;381.0;420.0;417.0;170.0;158.0;26.0;27.0;6.0;5.0
1017;Total;J Information and communication;2023 2nd quarter;385.0;383.0;418.0;416.0;154.0;158.0;24.0;18.0;2.0;-1.0
1018;Total;J Information and communication;2023 3rd quarter;378.0;380.0;410.0;412.0;139.0;156.0;13.0;9.0;-2.0;-4.0
1019;Total;J Information and communication;2023 4th quarter;374.0;377.0;405.0;409.0;159.0;155.0;-2.0;-8.0;-3.0;-3.0
1020;Total;J Information and communication;2023;380.0;;413.0;;622.0;;15.0;11.0;;
1021;Total;J Information and communication;2024 1st quarter;376.0;376.0;411.0;409.0;165.0;155.0;-5.0;-10.0;-1.0;0.0
1022;Total;K Financial institutions;1995 1st quarter;226.0;224.0;242.0;240.0;96.0;91.0;;;;
1023;Total;K Financial institutions;1995 2nd quarter;223.0;222.0;239.0;239.0;86.0;91.0;;;-2.0;-1.0
1024;Total;K Financial institutions;1995 3rd quarter;224.0;224.0;240.0;240.0;84.0;93.0;;;2.0;1.0
1025;Total;K Financial institutions;1995 4th quarter;223.0;225.0;239.0;242.0;101.0;94.0;;;2.0;2.0
1026;Total;K Financial institutions;1995;224.0;;240.0;;366.0;;;;;
1027;Total;K Financial institutions;1996 1st quarter;229.0;228.0;245.0;243.0;97.0;93.0;3.0;2.0;2.0;1.0
1028;Total;K Financial institutions;1996 2nd quarter;227.0;226.0;243.0;242.0;87.0;92.0;4.0;3.0;-2.0;-1.0
1029;Total;K Financial institutions;1996 3rd quarter;228.0;228.0;243.0;243.0;85.0;93.0;4.0;3.0;2.0;1.0
1030;Total;K Financial institutions;1996 4th quarter;227.0;230.0;243.0;246.0;103.0;95.0;5.0;4.0;3.0;2.0
1031;Total;K Financial institutions;1996;228.0;;243.0;;371.0;;4.0;3.0;;
1032;Total;K Financial institutions;1997 1st quarter;236.0;234.0;251.0;249.0;99.0;97.0;7.0;7.0;4.0;4.0
1033;Total;K Financial institutions;1997 2nd quarter;240.0;239.0;256.0;255.0;96.0;100.0;13.0;13.0;5.0;5.0
1034;Total;K Financial institutions;1997 3rd quarter;243.0;243.0;259.0;260.0;90.0;100.0;15.0;16.0;5.0;5.0
1035;Total;K Financial institutions;1997 4th quarter;244.0;247.0;261.0;264.0;110.0;102.0;17.0;18.0;4.0;4.0
1036;Total;K Financial institutions;1997;241.0;;257.0;;395.0;;13.0;14.0;;
1037;Total;K Financial institutions;1998 1st quarter;251.0;249.0;268.0;266.0;107.0;103.0;15.0;17.0;2.0;2.0
1038;Total;K Financial institutions;1998 2nd quarter;253.0;251.0;271.0;269.0;99.0;104.0;13.0;14.0;2.0;2.0
1039;Total;K Financial institutions;1998 3rd quarter;253.0;253.0;271.0;271.0;94.0;104.0;10.0;12.0;2.0;3.0
1040;Total;K Financial institutions;1998 4th quarter;253.0;256.0;270.0;274.0;112.0;103.0;9.0;10.0;2.0;3.0
1041;Total;K Financial institutions;1998;252.0;;270.0;;412.0;;12.0;13.0;;
1042;Total;K Financial institutions;1999 1st quarter;263.0;261.0;280.0;278.0;111.0;107.0;12.0;12.0;5.0;5.0
1043;Total;K Financial institutions;1999 2nd quarter;267.0;265.0;284.0;282.0;103.0;108.0;14.0;13.0;4.0;3.0
1044;Total;K Financial institutions;1999 3rd quarter;265.0;265.0;282.0;283.0;97.0;108.0;12.0;12.0;0.0;1.0
1045;Total;K Financial institutions;1999 4th quarter;262.0;265.0;279.0;283.0;119.0;109.0;10.0;9.0;0.0;0.0
1046;Total;K Financial institutions;1999;264.0;;281.0;;430.0;;12.0;12.0;;
1047;Total;K Financial institutions;2000 1st quarter;272.0;270.0;289.0;288.0;115.0;109.0;9.0;9.0;5.0;5.0
1048;Total;K Financial institutions;2000 2nd quarter;276.0;274.0;294.0;291.0;106.0;111.0;9.0;10.0;4.0;3.0
1049;Total;K Financial institutions;2000 3rd quarter;274.0;274.0;292.0;292.0;96.0;108.0;8.0;9.0;0.0;1.0
1050;Total;K Financial institutions;2000 4th quarter;270.0;273.0;289.0;292.0;115.0;109.0;8.0;9.0;-1.0;0.0
1051;Total;K Financial institutions;2000;273.0;;291.0;;433.0;;9.0;9.0;;
1052;Total;K Financial institutions;2001 1st quarter;276.0;275.0;295.0;294.0;114.0;109.0;4.0;6.0;2.0;3.0
1053;Total;K Financial institutions;2001 2nd quarter;278.0;277.0;298.0;296.0;104.0;109.0;2.0;4.0;2.0;1.0
1054;Total;K Financial institutions;2001 3rd quarter;277.0;277.0;296.0;296.0;98.0;109.0;3.0;4.0;0.0;1.0
1055;Total;K Financial institutions;2001 4th quarter;272.0;275.0;291.0;294.0;116.0;109.0;2.0;3.0;-2.0;-2.0
1056;Total;K Financial institutions;2001;276.0;;295.0;;431.0;;3.0;4.0;;
1057;Total;K Financial institutions;2002 1st quarter;277.0;276.0;294.0;293.0;112.0;109.0;1.0;-1.0;1.0;-1.0
1058;Total;K Financial institutions;2002 2nd quarter;275.0;276.0;291.0;292.0;101.0;107.0;-3.0;-6.0;0.0;-1.0
1059;Total;K Financial institutions;2002 3rd quarter;276.0;276.0;291.0;291.0;98.0;108.0;-1.0;-5.0;0.0;-1.0
1060;Total;K Financial institutions;2002 4th quarter;275.0;276.0;290.0;291.0;115.0;108.0;3.0;-1.0;1.0;0.0
1061;Total;K Financial institutions;2002;276.0;;292.0;;427.0;;0.0;-4.0;;
1062;Total;K Financial institutions;2003 1st quarter;271.0;272.0;286.0;288.0;109.0;106.0;-6.0;-8.0;-4.0;-3.0
1063;Total;K Financial institutions;2003 2nd quarter;273.0;271.0;288.0;286.0;100.0;106.0;-2.0;-3.0;-2.0;-2.0
1064;Total;K Financial institutions;2003 3rd quarter;270.0;270.0;285.0;285.0;96.0;105.0;-6.0;-6.0;0.0;-1.0
1065;Total;K Financial institutions;2003 4th quarter;269.0;270.0;285.0;285.0;112.0;104.0;-6.0;-6.0;0.0;-1.0
1066;Total;K Financial institutions;2003;271.0;;286.0;;417.0;;-5.0;-6.0;;
1067;Total;K Financial institutions;2004 1st quarter;263.0;263.0;280.0;280.0;108.0;103.0;-8.0;-6.0;-7.0;-4.0
1068;Total;K Financial institutions;2004 2nd quarter;264.0;262.0;280.0;279.0;96.0;103.0;-9.0;-8.0;0.0;-1.0
1069;Total;K Financial institutions;2004 3rd quarter;264.0;264.0;280.0;279.0;95.0;103.0;-6.0;-5.0;1.0;0.0
1070;Total;K Financial institutions;2004 4th quarter;262.0;264.0;278.0;279.0;112.0;102.0;-7.0;-7.0;0.0;0.0
1071;Total;K Financial institutions;2004;263.0;;279.0;;411.0;;-8.0;-7.0;;
1072;Total;K Financial institutions;2005 1st quarter;262.0;261.0;278.0;278.0;106.0;102.0;-1.0;-1.0;-3.0;-1.0
1073;Total;K Financial institutions;2005 2nd quarter;262.0;260.0;277.0;277.0;97.0;101.0;-2.0;-2.0;-1.0;-1.0
1074;Total;K Financial institutions;2005 3rd quarter;262.0;263.0;278.0;278.0;94.0;102.0;-2.0;-2.0;2.0;1.0
1075;Total;K Financial institutions;2005 4th quarter;262.0;263.0;277.0;278.0;108.0;101.0;-1.0;-1.0;1.0;0.0
1076;Total;K Financial institutions;2005;262.0;;278.0;;405.0;;-1.0;-2.0;;
1077;Total;K Financial institutions;2006 1st quarter;273.0;272.0;289.0;289.0;114.0;107.0;10.0;11.0;8.0;12.0
1078;Total;K Financial institutions;2006 2nd quarter;272.0;271.0;289.0;288.0;99.0;105.0;11.0;12.0;0.0;-1.0
1079;Total;K Financial institutions;2006 3rd quarter;271.0;271.0;287.0;287.0;97.0;106.0;9.0;9.0;0.0;-1.0
1080;Total;K Financial institutions;2006 4th quarter;270.0;272.0;287.0;287.0;111.0;106.0;9.0;10.0;0.0;0.0
1081;Total;K Financial institutions;2006;272.0;;288.0;;422.0;;10.0;10.0;;
1082;Total;K Financial institutions;2007 1st quarter;270.0;268.0;287.0;287.0;112.0;107.0;-3.0;-2.0;-3.0;0.0
1083;Total;K Financial institutions;2007 2nd quarter;272.0;271.0;289.0;289.0;100.0;107.0;-1.0;0.0;3.0;2.0
1084;Total;K Financial institutions;2007 3rd quarter;273.0;273.0;289.0;289.0;98.0;107.0;2.0;2.0;2.0;1.0
1085;Total;K Financial institutions;2007 4th quarter;274.0;274.0;290.0;290.0;114.0;107.0;4.0;4.0;1.0;0.0
1086;Total;K Financial institutions;2007;272.0;;289.0;;425.0;;0.0;1.0;;
1087;Total;K Financial institutions;2008 1st quarter;269.0;269.0;284.0;286.0;110.0;106.0;-1.0;-3.0;-6.0;-4.0
1088;Total;K Financial institutions;2008 2nd quarter;269.0;268.0;285.0;284.0;100.0;106.0;-2.0;-4.0;0.0;-2.0
1089;Total;K Financial institutions;2008 3rd quarter;265.0;266.0;281.0;281.0;98.0;105.0;-8.0;-9.0;-2.0;-3.0
1090;Total;K Financial institutions;2008 4th quarter;265.0;265.0;282.0;280.0;110.0;104.0;-9.0;-9.0;-1.0;-1.0
1091;Total;K Financial institutions;2008;267.0;;283.0;;418.0;;-5.0;-6.0;;
1092;Total;K Financial institutions;2009 1st quarter;268.0;268.0;282.0;284.0;110.0;106.0;-1.0;-2.0;3.0;4.0
1093;Total;K Financial institutions;2009 2nd quarter;266.0;265.0;281.0;280.0;96.0;104.0;-3.0;-4.0;-3.0;-5.0
1094;Total;K Financial institutions;2009 3rd quarter;262.0;263.0;277.0;277.0;97.0;103.0;-2.0;-4.0;-2.0;-3.0
1095;Total;K Financial institutions;2009 4th quarter;258.0;258.0;272.0;272.0;109.0;101.0;-7.0;-9.0;-4.0;-4.0
1096;Total;K Financial institutions;2009;263.0;;278.0;;412.0;;-3.0;-5.0;;
1097;Total;K Financial institutions;2010 1st quarter;258.0;258.0;268.0;270.0;103.0;100.0;-9.0;-14.0;0.0;-2.0
1098;Total;K Financial institutions;2010 2nd quarter;259.0;257.0;271.0;269.0;92.0;100.0;-7.0;-10.0;-1.0;-1.0
1099;Total;K Financial institutions;2010 3rd quarter;255.0;256.0;269.0;269.0;95.0;100.0;-8.0;-8.0;-1.0;0.0
1100;Total;K Financial institutions;2010 4th quarter;253.0;255.0;266.0;267.0;108.0;100.0;-5.0;-6.0;-1.0;-2.0
1101;Total;K Financial institutions;2010;256.0;;268.0;;398.0;;-7.0;-10.0;;
1102;Total;K Financial institutions;2011 1st quarter;256.0;254.0;267.0;268.0;105.0;101.0;-3.0;0.0;-1.0;1.0
1103;Total;K Financial institutions;2011 2nd quarter;251.0;250.0;266.0;264.0;92.0;98.0;-8.0;-5.0;-4.0;-4.0
1104;Total;K Financial institutions;2011 3rd quarter;246.0;248.0;260.0;262.0;94.0;99.0;-9.0;-8.0;-2.0;-3.0
1105;Total;K Financial institutions;2011 4th quarter;246.0;247.0;261.0;261.0;102.0;98.0;-7.0;-6.0;0.0;-1.0
1106;Total;K Financial institutions;2011;250.0;;264.0;;393.0;;-7.0;-5.0;;
1107;Total;K Financial institutions;2012 1st quarter;250.0;248.0;259.0;259.0;103.0;98.0;-6.0;-8.0;0.0;-2.0
1108;Total;K Financial institutions;2012 2nd quarter;247.0;246.0;258.0;257.0;90.0;96.0;-4.0;-8.0;-2.0;-2.0
1109;Total;K Financial institutions;2012 3rd quarter;242.0;244.0;254.0;255.0;89.0;95.0;-4.0;-6.0;-2.0;-2.0
1110;Total;K Financial institutions;2012 4th quarter;243.0;243.0;256.0;254.0;99.0;95.0;-3.0;-5.0;-1.0;-1.0
1111;Total;K Financial institutions;2012;245.0;;257.0;;381.0;;-4.0;-7.0;;
1112;Total;K Financial institutions;2013 1st quarter;246.0;245.0;252.0;252.0;98.0;94.0;-4.0;-8.0;1.0;-2.0
1113;Total;K Financial institutions;2013 2nd quarter;243.0;242.0;251.0;251.0;89.0;95.0;-4.0;-7.0;-2.0;-2.0
1114;Total;K Financial institutions;2013 3rd quarter;239.0;240.0;249.0;249.0;89.0;94.0;-3.0;-5.0;-3.0;-2.0
1115;Total;K Financial institutions;2013 4th quarter;236.0;237.0;247.0;246.0;98.0;94.0;-7.0;-9.0;-3.0;-3.0
1116;Total;K Financial institutions;2013;241.0;;250.0;;373.0;;-5.0;-7.0;;
1117;Total;K Financial institutions;2014 1st quarter;236.0;235.0;242.0;243.0;96.0;93.0;-10.0;-10.0;-2.0;-3.0
1118;Total;K Financial institutions;2014 2nd quarter;234.0;233.0;242.0;241.0;86.0;90.0;-9.0;-8.0;-2.0;-2.0
1119;Total;K Financial institutions;2014 3rd quarter;230.0;231.0;240.0;240.0;87.0;93.0;-9.0;-9.0;-2.0;-1.0
1120;Total;K Financial institutions;2014 4th quarter;228.0;229.0;238.0;238.0;94.0;91.0;-8.0;-9.0;-2.0;-2.0
1121;Total;K Financial institutions;2014;232.0;;240.0;;364.0;;-9.0;-9.0;;
1122;Total;K Financial institutions;2015 1st quarter;229.0;228.0;237.0;238.0;93.0;91.0;-7.0;-5.0;-2.0;-1.0
1123;Total;K Financial institutions;2015 2nd quarter;227.0;226.0;236.0;235.0;84.0;89.0;-7.0;-7.0;-1.0;-3.0
1124;Total;K Financial institutions;2015 3rd quarter;224.0;225.0;232.0;233.0;83.0;89.0;-6.0;-8.0;-1.0;-2.0
1125;Total;K Financial institutions;2015 4th quarter;224.0;225.0;232.0;232.0;93.0;89.0;-4.0;-6.0;-1.0;0.0
1126;Total;K Financial institutions;2015;226.0;;234.0;;353.0;;-6.0;-6.0;;
1127;Total;K Financial institutions;2016 1st quarter;224.0;222.0;232.0;231.0;91.0;88.0;-5.0;-5.0;-3.0;-1.0
1128;Total;K Financial institutions;2016 2nd quarter;222.0;222.0;230.0;230.0;85.0;88.0;-5.0;-6.0;0.0;-1.0
1129;Total;K Financial institutions;2016 3rd quarter;219.0;221.0;227.0;228.0;81.0;86.0;-4.0;-5.0;-1.0;-2.0
1130;Total;K Financial institutions;2016 4th quarter;219.0;219.0;226.0;226.0;89.0;86.0;-6.0;-6.0;-2.0;-2.0
1131;Total;K Financial institutions;2016;221.0;;229.0;;346.0;;-5.0;-5.0;;
1132;Total;K Financial institutions;2017 1st quarter;216.0;215.0;223.0;224.0;91.0;86.0;-8.0;-9.0;-4.0;-2.0
1133;Total;K Financial institutions;2017 2nd quarter;214.0;213.0;222.0;221.0;81.0;85.0;-8.0;-8.0;-1.0;-3.0
1134;Total;K Financial institutions;2017 3rd quarter;211.0;212.0;218.0;219.0;79.0;84.0;-9.0;-9.0;-2.0;-2.0
1135;Total;K Financial institutions;2017 4th quarter;210.0;210.0;217.0;217.0;84.0;83.0;-9.0;-9.0;-2.0;-2.0
1136;Total;K Financial institutions;2017;212.0;;220.0;;335.0;;-8.0;-9.0;;
1137;Total;K Financial institutions;2018 1st quarter;210.0;209.0;217.0;218.0;87.0;84.0;-6.0;-6.0;-1.0;1.0
1138;Total;K Financial institutions;2018 2nd quarter;208.0;208.0;216.0;216.0;79.0;83.0;-6.0;-6.0;-1.0;-2.0
1139;Total;K Financial institutions;2018 3rd quarter;206.0;207.0;214.0;214.0;77.0;82.0;-4.0;-4.0;-1.0;-1.0
1140;Total;K Financial institutions;2018 4th quarter;207.0;207.0;214.0;214.0;85.0;83.0;-3.0;-3.0;-1.0;-1.0
1141;Total;K Financial institutions;2018;208.0;;215.0;;328.0;;-5.0;-5.0;;
1142;Total;K Financial institutions;2019 1st quarter;206.0;206.0;215.0;216.0;85.0;82.0;-3.0;-2.0;-1.0;2.0
1143;Total;K Financial institutions;2019 2nd quarter;203.0;202.0;215.0;214.0;79.0;82.0;-6.0;-1.0;-3.0;-1.0
1144;Total;K Financial institutions;2019 3rd quarter;201.0;201.0;214.0;214.0;78.0;82.0;-6.0;0.0;-1.0;0.0
1145;Total;K Financial institutions;2019 4th quarter;202.0;203.0;216.0;215.0;85.0;83.0;-4.0;1.0;1.0;1.0
1146;Total;K Financial institutions;2019;203.0;;215.0;;327.0;;-5.0;-1.0;;
1147;Total;K Financial institutions;2020 1st quarter;207.0;206.0;215.0;216.0;82.0;79.0;0.0;0.0;4.0;2.0
1148;Total;K Financial institutions;2020 2nd quarter;207.0;206.0;219.0;218.0;83.0;87.0;4.0;4.0;0.0;1.0
1149;Total;K Financial institutions;2020 3rd quarter;206.0;207.0;218.0;219.0;77.0;85.0;5.0;5.0;1.0;1.0
1150;Total;K Financial institutions;2020 4th quarter;208.0;207.0;221.0;220.0;90.0;85.0;5.0;5.0;1.0;1.0
1151;Total;K Financial institutions;2020;207.0;;218.0;;331.0;;4.0;3.0;;
1152;Total;K Financial institutions;2021 1st quarter;208.0;208.0;217.0;219.0;88.0;84.0;2.0;2.0;1.0;0.0
1153;Total;K Financial institutions;2021 2nd quarter;211.0;210.0;224.0;222.0;84.0;86.0;5.0;5.0;2.0;3.0
1154;Total;K Financial institutions;2021 3rd quarter;210.0;212.0;224.0;224.0;77.0;85.0;5.0;5.0;1.0;2.0
1155;Total;K Financial institutions;2021 4th quarter;212.0;212.0;225.0;224.0;91.0;85.0;4.0;4.0;0.0;0.0
1156;Total;K Financial institutions;2021;210.0;;222.0;;340.0;;4.0;4.0;;
1157;Total;K Financial institutions;2022 1st quarter;214.0;214.0;222.0;225.0;91.0;86.0;6.0;6.0;1.0;1.0
1158;Total;K Financial institutions;2022 2nd quarter;216.0;215.0;228.0;227.0;84.0;86.0;5.0;4.0;1.0;2.0
1159;Total;K Financial institutions;2022 3rd quarter;216.0;217.0;229.0;228.0;80.0;87.0;5.0;5.0;2.0;2.0
1160;Total;K Financial institutions;2022 4th quarter;218.0;218.0;231.0;230.0;91.0;87.0;6.0;6.0;2.0;2.0
1161;Total;K Financial institutions;2022;216.0;;227.0;;345.0;;5.0;5.0;;
1162;Total;K Financial institutions;2023 1st quarter;220.0;220.0;229.0;231.0;94.0;88.0;6.0;6.0;1.0;1.0
1163;Total;K Financial institutions;2023 2nd quarter;222.0;221.0;234.0;233.0;86.0;88.0;6.0;6.0;2.0;2.0
1164;Total;K Financial institutions;2023 3rd quarter;221.0;222.0;235.0;234.0;81.0;89.0;6.0;6.0;1.0;2.0
1165;Total;K Financial institutions;2023 4th quarter;224.0;224.0;237.0;236.0;91.0;89.0;6.0;6.0;2.0;2.0
1166;Total;K Financial institutions;2023;222.0;;234.0;;352.0;;6.0;6.0;;
1167;Total;K Financial institutions;2024 1st quarter;226.0;225.0;234.0;236.0;94.0;89.0;5.0;5.0;1.0;1.0
1168;Total;L Renting, buying, selling real estate;1995 1st quarter;54.0;56.0;58.0;61.0;23.0;23.0;;;;
1169;Total;L Renting, buying, selling real estate;1995 2nd quarter;56.0;57.0;61.0;62.0;22.0;23.0;;;1.0;1.0
1170;Total;L Renting, buying, selling real estate;1995 3rd quarter;60.0;59.0;65.0;64.0;23.0;24.0;;;2.0;2.0
1171;Total;L Renting, buying, selling real estate;1995 4th quarter;60.0;58.0;65.0;63.0;27.0;24.0;;;0.0;0.0
1172;Total;L Renting, buying, selling real estate;1995;58.0;;62.0;;94.0;;;;;
1173;Total;L Renting, buying, selling real estate;1996 1st quarter;56.0;59.0;62.0;64.0;24.0;25.0;3.0;3.0;0.0;1.0
1174;Total;L Renting, buying, selling real estate;1996 2nd quarter;58.0;59.0;64.0;65.0;24.0;25.0;2.0;3.0;1.0;0.0
1175;Total;L Renting, buying, selling real estate;1996 3rd quarter;61.0;60.0;67.0;65.0;24.0;25.0;1.0;2.0;1.0;1.0
1176;Total;L Renting, buying, selling real estate;1996 4th quarter;61.0;60.0;67.0;65.0;28.0;25.0;1.0;2.0;0.0;-1.0
1177;Total;L Renting, buying, selling real estate;1996;59.0;;65.0;;100.0;;2.0;2.0;;
1178;Total;L Renting, buying, selling real estate;1997 1st quarter;58.0;60.0;61.0;63.0;24.0;25.0;2.0;-1.0;1.0;-1.0
1179;Total;L Renting, buying, selling real estate;1997 2nd quarter;60.0;60.0;62.0;62.0;23.0;24.0;1.0;-2.0;0.0;-1.0
1180;Total;L Renting, buying, selling real estate;1997 3rd quarter;63.0;62.0;65.0;64.0;23.0;25.0;2.0;-2.0;1.0;2.0
1181;Total;L Renting, buying, selling real estate;1997 4th quarter;66.0;64.0;68.0;67.0;28.0;25.0;4.0;2.0;2.0;3.0
1182;Total;L Renting, buying, selling real estate;1997;62.0;;64.0;;98.0;;2.0;-1.0;;
1183;Total;L Renting, buying, selling real estate;1998 1st quarter;64.0;66.0;67.0;69.0;26.0;26.0;5.0;7.0;2.0;3.0
1184;Total;L Renting, buying, selling real estate;1998 2nd quarter;66.0;66.0;70.0;70.0;25.0;26.0;6.0;8.0;1.0;1.0
1185;Total;L Renting, buying, selling real estate;1998 3rd quarter;66.0;66.0;71.0;70.0;24.0;26.0;4.0;6.0;-1.0;0.0
1186;Total;L Renting, buying, selling real estate;1998 4th quarter;67.0;65.0;71.0;69.0;28.0;25.0;1.0;3.0;-1.0;-1.0
1187;Total;L Renting, buying, selling real estate;1998;66.0;;70.0;;103.0;;4.0;6.0;;
1188;Total;L Renting, buying, selling real estate;1999 1st quarter;62.0;64.0;67.0;69.0;26.0;26.0;-2.0;-1.0;-1.0;0.0
1189;Total;L Renting, buying, selling real estate;1999 2nd quarter;65.0;65.0;69.0;69.0;25.0;26.0;-1.0;-1.0;1.0;0.0
1190;Total;L Renting, buying, selling real estate;1999 3rd quarter;66.0;65.0;70.0;70.0;24.0;26.0;-1.0;-1.0;1.0;1.0
1191;Total;L Renting, buying, selling real estate;1999 4th quarter;67.0;66.0;72.0;71.0;29.0;26.0;1.0;1.0;1.0;1.0
1192;Total;L Renting, buying, selling real estate;1999;65.0;;70.0;;104.0;;-1.0;0.0;;
1193;Total;L Renting, buying, selling real estate;2000 1st quarter;64.0;66.0;69.0;71.0;26.0;26.0;2.0;3.0;0.0;0.0
1194;Total;L Renting, buying, selling real estate;2000 2nd quarter;67.0;66.0;72.0;72.0;25.0;26.0;2.0;3.0;0.0;1.0
1195;Total;L Renting, buying, selling real estate;2000 3rd quarter;67.0;67.0;73.0;72.0;23.0;25.0;1.0;2.0;0.0;1.0
1196;Total;L Renting, buying, selling real estate;2000 4th quarter;68.0;67.0;74.0;72.0;27.0;26.0;1.0;1.0;0.0;0.0
1197;Total;L Renting, buying, selling real estate;2000;66.0;;72.0;;102.0;;2.0;2.0;;
1198;Total;L Renting, buying, selling real estate;2001 1st quarter;66.0;68.0;71.0;72.0;26.0;26.0;2.0;1.0;1.0;0.0
1199;Total;L Renting, buying, selling real estate;2001 2nd quarter;69.0;69.0;73.0;73.0;25.0;26.0;3.0;1.0;1.0;1.0
1200;Total;L Renting, buying, selling real estate;2001 3rd quarter;70.0;70.0;74.0;74.0;24.0;26.0;3.0;2.0;1.0;1.0
1201;Total;L Renting, buying, selling real estate;2001 4th quarter;71.0;71.0;75.0;75.0;29.0;27.0;3.0;2.0;1.0;1.0
1202;Total;L Renting, buying, selling real estate;2001;69.0;;73.0;;104.0;;3.0;2.0;;
1203;Total;L Renting, buying, selling real estate;2002 1st quarter;74.0;74.0;79.0;79.0;28.0;28.0;8.0;8.0;3.0;3.0
1204;Total;L Renting, buying, selling real estate;2002 2nd quarter;73.0;73.0;77.0;77.0;26.0;27.0;4.0;4.0;-1.0;-1.0
1205;Total;L Renting, buying, selling real estate;2002 3rd quarter;71.0;73.0;75.0;77.0;24.0;26.0;1.0;1.0;0.0;-1.0
1206;Total;L Renting, buying, selling real estate;2002 4th quarter;74.0;72.0;79.0;76.0;30.0;28.0;3.0;3.0;0.0;-1.0
1207;Total;L Renting, buying, selling real estate;2002;73.0;;77.0;;108.0;;4.0;4.0;;
1208;Total;L Renting, buying, selling real estate;2003 1st quarter;72.0;72.0;76.0;77.0;28.0;27.0;-2.0;-3.0;0.0;0.0
1209;Total;L Renting, buying, selling real estate;2003 2nd quarter;72.0;72.0;76.0;76.0;25.0;27.0;-1.0;-1.0;0.0;0.0
1210;Total;L Renting, buying, selling real estate;2003 3rd quarter;74.0;74.0;79.0;78.0;25.0;27.0;3.0;3.0;1.0;1.0
1211;Total;L Renting, buying, selling real estate;2003 4th quarter;75.0;75.0;80.0;79.0;30.0;28.0;1.0;1.0;1.0;1.0
1212;Total;L Renting, buying, selling real estate;2003;73.0;;77.0;;108.0;;0.0;0.0;;
1213;Total;L Renting, buying, selling real estate;2004 1st quarter;74.0;74.0;79.0;80.0;29.0;28.0;2.0;3.0;0.0;0.0
1214;Total;L Renting, buying, selling real estate;2004 2nd quarter;74.0;74.0;80.0;80.0;26.0;28.0;2.0;4.0;0.0;0.0
1215;Total;L Renting, buying, selling real estate;2004 3rd quarter;74.0;73.0;80.0;79.0;26.0;28.0;-1.0;1.0;-1.0;-1.0
1216;Total;L Renting, buying, selling real estate;2004 4th quarter;73.0;73.0;79.0;79.0;30.0;27.0;-2.0;-1.0;0.0;0.0
1217;Total;L Renting, buying, selling real estate;2004;74.0;;79.0;;111.0;;0.0;2.0;;
1218;Total;L Renting, buying, selling real estate;2005 1st quarter;73.0;74.0;80.0;80.0;28.0;28.0;0.0;0.0;1.0;1.0
1219;Total;L Renting, buying, selling real estate;2005 2nd quarter;75.0;74.0;81.0;81.0;27.0;28.0;1.0;1.0;1.0;1.0
1220;Total;L Renting, buying, selling real estate;2005 3rd quarter;75.0;75.0;81.0;81.0;27.0;28.0;1.0;2.0;0.0;0.0
1221;Total;L Renting, buying, selling real estate;2005 4th quarter;74.0;74.0;80.0;81.0;29.0;28.0;1.0;2.0;-1.0;0.0
1222;Total;L Renting, buying, selling real estate;2005;74.0;;81.0;;111.0;;1.0;1.0;;
1223;Total;L Renting, buying, selling real estate;2006 1st quarter;74.0;74.0;80.0;81.0;29.0;28.0;0.0;1.0;0.0;0.0
