ID;BranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
496;52 Warehousing, services for transport;2008 2nd quarter;124.8;5.5
497;52 Warehousing, services for transport;2008 3rd quarter;125.2;3.5
498;52 Warehousing, services for transport;2008 4th quarter;124.6;-3.9
499;52 Warehousing, services for transport;2008;123.1;2.5
500;52 Warehousing, services for transport;2009 1st quarter;106.0;-10.0
501;52 Warehousing, services for transport;2009 2nd quarter;107.1;-14.2
502;52 Warehousing, services for transport;2009 3rd quarter;106.9;-14.6
503;52 Warehousing, services for transport;2009 4th quarter;109.1;-12.4
504;52 Warehousing, services for transport;2009;107.3;-12.9
505;52 Warehousing, services for transport;2010 1st quarter;105.4;-0.5
506;52 Warehousing, services for transport;2010 2nd quarter;112.5;5.0
507;52 Warehousing, services for transport;2010 3rd quarter;117.0;9.5
508;52 Warehousing, services for transport;2010 4th quarter;118.2;8.4
509;52 Warehousing, services for transport;2010;113.3;5.6
510;52 Warehousing, services for transport;2011 1st quarter;113.4;7.6
511;52 Warehousing, services for transport;2011 2nd quarter;120.2;6.8
512;52 Warehousing, services for transport;2011 3rd quarter;120.2;2.8
513;52 Warehousing, services for transport;2011 4th quarter;123.4;4.4
514;52 Warehousing, services for transport;2011;119.3;5.3
515;52 Warehousing, services for transport;2012 1st quarter;117.2;3.3
516;52 Warehousing, services for transport;2012 2nd quarter;124.4;3.5
517;52 Warehousing, services for transport;2012 3rd quarter;123.4;2.6
518;52 Warehousing, services for transport;2012 4th quarter;125.0;1.3
519;52 Warehousing, services for transport;2012;122.5;2.7
520;521 Warehousing and storage;2005 1st quarter;91.6;
521;521 Warehousing and storage;2005 2nd quarter;95.0;
522;521 Warehousing and storage;2005 3rd quarter;99.0;
523;521 Warehousing and storage;2005 4th quarter;114.4;
524;521 Warehousing and storage;2005;100.0;
525;521 Warehousing and storage;2006 1st quarter;105.2;14.9
526;521 Warehousing and storage;2006 2nd quarter;110.1;15.9
527;521 Warehousing and storage;2006 3rd quarter;109.8;10.9
528;521 Warehousing and storage;2006 4th quarter;122.6;7.2
529;521 Warehousing and storage;2006;111.9;11.9
530;521 Warehousing and storage;2007 1st quarter;112.8;7.3
531;521 Warehousing and storage;2007 2nd quarter;113.2;2.9
532;521 Warehousing and storage;2007 3rd quarter;102.7;-6.5
533;521 Warehousing and storage;2007 4th quarter;111.4;-9.1
534;521 Warehousing and storage;2007;110.0;-1.7
535;521 Warehousing and storage;2008 1st quarter;112.5;-0.3
536;521 Warehousing and storage;2008 2nd quarter;115.8;2.3
537;521 Warehousing and storage;2008 3rd quarter;109.7;6.8
538;521 Warehousing and storage;2008 4th quarter;121.8;9.3
539;521 Warehousing and storage;2008;115.0;4.5
540;521 Warehousing and storage;2009 1st quarter;107.0;-4.9
541;521 Warehousing and storage;2009 2nd quarter;116.2;0.4
542;521 Warehousing and storage;2009 3rd quarter;114.7;4.5
543;521 Warehousing and storage;2009 4th quarter;118.0;-3.1
544;521 Warehousing and storage;2009;114.0;-0.9
545;521 Warehousing and storage;2010 1st quarter;111.8;4.5
546;521 Warehousing and storage;2010 2nd quarter;114.6;-1.4
547;521 Warehousing and storage;2010 3rd quarter;119.4;4.2
548;521 Warehousing and storage;2010 4th quarter;120.8;2.4
549;521 Warehousing and storage;2010;116.7;2.4
550;521 Warehousing and storage;2011 1st quarter;120.0;7.4
551;521 Warehousing and storage;2011 2nd quarter;123.9;8.1
552;521 Warehousing and storage;2011 3rd quarter;121.1;1.4
553;521 Warehousing and storage;2011 4th quarter;125.0;3.5
554;521 Warehousing and storage;2011;122.5;5.0
555;521 Warehousing and storage;2012 1st quarter;121.9;1.5
556;521 Warehousing and storage;2012 2nd quarter;124.2;0.3
557;521 Warehousing and storage;2012 3rd quarter;114.5;-5.4
558;521 Warehousing and storage;2012 4th quarter;121.0;-3.2
559;521 Warehousing and storage;2012;120.4;-1.7
560;522 Services activities for transport;2005 1st quarter;92.8;
561;522 Services activities for transport;2005 2nd quarter;101.4;
562;522 Services activities for transport;2005 3rd quarter;101.0;
563;522 Services activities for transport;2005 4th quarter;104.8;
564;522 Services activities for transport;2005;100.0;
565;522 Services activities for transport;2006 1st quarter;101.8;9.6
566;522 Services activities for transport;2006 2nd quarter;109.9;8.4
567;522 Services activities for transport;2006 3rd quarter;104.0;3.1
568;522 Services activities for transport;2006 4th quarter;113.1;7.9
569;522 Services activities for transport;2006;107.2;7.2
570;522 Services activities for transport;2007 1st quarter;111.2;9.2
571;522 Services activities for transport;2007 2nd quarter;119.2;8.5
572;522 Services activities for transport;2007 3rd quarter;124.2;19.4
573;522 Services activities for transport;2007 4th quarter;132.9;17.5
574;522 Services activities for transport;2007;121.9;13.7
575;522 Services activities for transport;2008 1st quarter;118.7;6.7
576;522 Services activities for transport;2008 2nd quarter;126.5;6.0
577;522 Services activities for transport;2008 3rd quarter;128.0;3.0
578;522 Services activities for transport;2008 4th quarter;125.0;-5.9
579;522 Services activities for transport;2008;124.5;2.2
580;522 Services activities for transport;2009 1st quarter;105.8;-10.8
581;522 Services activities for transport;2009 2nd quarter;105.5;-16.6
582;522 Services activities for transport;2009 3rd quarter;105.5;-17.6
583;522 Services activities for transport;2009 4th quarter;107.5;-14.1
584;522 Services activities for transport;2009;106.1;-14.8
585;522 Services activities for transport;2010 1st quarter;104.3;-1.4
586;522 Services activities for transport;2010 2nd quarter;112.1;6.3
587;522 Services activities for transport;2010 3rd quarter;116.6;10.5
588;522 Services activities for transport;2010 4th quarter;117.7;9.5
589;522 Services activities for transport;2010;112.7;6.2
590;522 Services activities for transport;2011 1st quarter;112.2;7.6
591;522 Services activities for transport;2011 2nd quarter;119.5;6.6
592;522 Services activities for transport;2011 3rd quarter;120.1;3.0
593;522 Services activities for transport;2011 4th quarter;123.2;4.6
594;522 Services activities for transport;2011;118.7;5.4
595;522 Services activities for transport;2012 1st quarter;116.3;3.7
596;522 Services activities for transport;2012 2nd quarter;124.5;4.1
597;522 Services activities for transport;2012 3rd quarter;124.9;4.0
598;522 Services activities for transport;2012 4th quarter;125.8;2.1
599;522 Services activities for transport;2012;122.9;3.5
600;5221 Services for land transport;2005 1st quarter;87.4;
601;5221 Services for land transport;2005 2nd quarter;104.7;
602;5221 Services for land transport;2005 3rd quarter;102.1;
603;5221 Services for land transport;2005 4th quarter;105.8;
604;5221 Services for land transport;2005;100.0;
605;5221 Services for land transport;2006 1st quarter;109.4;25.2
606;5221 Services for land transport;2006 2nd quarter;122.9;17.4
607;5221 Services for land transport;2006 3rd quarter;121.5;19.0
608;5221 Services for land transport;2006 4th quarter;131.8;24.6
609;5221 Services for land transport;2006;121.4;21.4
610;5221 Services for land transport;2007 1st quarter;118.3;8.2
611;5221 Services for land transport;2007 2nd quarter;118.7;-3.4
612;5221 Services for land transport;2007 3rd quarter;118.2;-2.7
613;5221 Services for land transport;2007 4th quarter;127.1;-3.6
614;5221 Services for land transport;2007;120.6;-0.7
615;5221 Services for land transport;2008 1st quarter;116.1;-1.9
616;5221 Services for land transport;2008 2nd quarter;119.1;0.3
617;5221 Services for land transport;2008 3rd quarter;113.6;-3.9
618;5221 Services for land transport;2008 4th quarter;125.4;-1.4
619;5221 Services for land transport;2008;118.5;-1.7
620;5221 Services for land transport;2009 1st quarter;117.2;1.0
621;5221 Services for land transport;2009 2nd quarter;121.4;1.9
622;5221 Services for land transport;2009 3rd quarter;122.1;7.6
623;5221 Services for land transport;2009 4th quarter;135.4;8.0
624;5221 Services for land transport;2009;124.0;4.7
625;5221 Services for land transport;2010 1st quarter;119.6;2.1
626;5221 Services for land transport;2010 2nd quarter;123.9;2.1
627;5221 Services for land transport;2010 3rd quarter;121.4;-0.6
628;5221 Services for land transport;2010 4th quarter;138.7;2.4
629;5221 Services for land transport;2010;125.9;1.5
630;5221 Services for land transport;2011 1st quarter;125.6;5.0
631;5221 Services for land transport;2011 2nd quarter;133.4;7.6
632;5221 Services for land transport;2011 3rd quarter;131.3;8.1
633;5221 Services for land transport;2011 4th quarter;144.6;4.3
634;5221 Services for land transport;2011;133.7;6.2
635;5221 Services for land transport;2012 1st quarter;131.0;4.2
636;5221 Services for land transport;2012 2nd quarter;142.3;6.7
637;5221 Services for land transport;2012 3rd quarter;137.2;4.5
638;5221 Services for land transport;2012 4th quarter;143.8;-0.6
639;5221 Services for land transport;2012;138.6;3.6
640;5222 Services for water transport;2005 1st quarter;96.8;
641;5222 Services for water transport;2005 2nd quarter;96.1;
642;5222 Services for water transport;2005 3rd quarter;102.5;
643;5222 Services for water transport;2005 4th quarter;104.6;
644;5222 Services for water transport;2005;100.0;
645;5222 Services for water transport;2006 1st quarter;98.3;1.5
646;5222 Services for water transport;2006 2nd quarter;107.7;12.0
647;5222 Services for water transport;2006 3rd quarter;111.4;8.8
648;5222 Services for water transport;2006 4th quarter;114.7;9.7
649;5222 Services for water transport;2006;108.0;8.0
650;5222 Services for water transport;2007 1st quarter;110.1;12.0
651;5222 Services for water transport;2007 2nd quarter;121.9;13.2
652;5222 Services for water transport;2007 3rd quarter;120.0;7.7
653;5222 Services for water transport;2007 4th quarter;133.9;16.8
654;5222 Services for water transport;2007;121.5;12.5
655;5222 Services for water transport;2008 1st quarter;109.1;-1.0
656;5222 Services for water transport;2008 2nd quarter;130.0;6.6
657;5222 Services for water transport;2008 3rd quarter;138.3;15.3
658;5222 Services for water transport;2008 4th quarter;131.6;-1.8
659;5222 Services for water transport;2008;127.2;4.7
660;5222 Services for water transport;2009 1st quarter;111.6;2.3
661;5222 Services for water transport;2009 2nd quarter;117.3;-9.8
662;5222 Services for water transport;2009 3rd quarter;114.5;-17.2
663;5222 Services for water transport;2009 4th quarter;114.0;-13.3
664;5222 Services for water transport;2009;114.4;-10.1
665;5222 Services for water transport;2010 1st quarter;112.3;0.6
666;5222 Services for water transport;2010 2nd quarter;119.3;1.7
667;5222 Services for water transport;2010 3rd quarter;123.6;7.9
668;5222 Services for water transport;2010 4th quarter;125.0;9.6
669;5222 Services for water transport;2010;120.0;5.0
670;5222 Services for water transport;2011 1st quarter;120.3;7.1
671;5222 Services for water transport;2011 2nd quarter;120.5;1.1
672;5222 Services for water transport;2011 3rd quarter;129.2;4.6
673;5222 Services for water transport;2011 4th quarter;130.4;4.3
674;5222 Services for water transport;2011;125.1;4.2
675;5222 Services for water transport;2012 1st quarter;132.5;10.2
676;5222 Services for water transport;2012 2nd quarter;122.5;1.7
677;5222 Services for water transport;2012 3rd quarter;123.2;-4.6
678;5222 Services for water transport;2012 4th quarter;134.1;2.9
679;5222 Services for water transport;2012;128.1;2.4
680;5223 Services for air transport;2005 1st quarter;83.5;
681;5223 Services for air transport;2005 2nd quarter;104.7;
682;5223 Services for air transport;2005 3rd quarter;111.9;
683;5223 Services for air transport;2005 4th quarter;99.9;
684;5223 Services for air transport;2005;100.0;
685;5223 Services for air transport;2006 1st quarter;83.8;0.4
686;5223 Services for air transport;2006 2nd quarter;110.0;5.0
687;5223 Services for air transport;2006 3rd quarter;116.5;4.1
688;5223 Services for air transport;2006 4th quarter;100.3;0.4
689;5223 Services for air transport;2006;102.7;2.7
690;5223 Services for air transport;2007 1st quarter;89.1;6.3
691;5223 Services for air transport;2007 2nd quarter;110.6;0.5
692;5223 Services for air transport;2007 3rd quarter;124.5;6.9
693;5223 Services for air transport;2007 4th quarter;105.5;5.2
694;5223 Services for air transport;2007;107.4;4.7
695;5223 Services for air transport;2008 1st quarter;92.9;4.3
696;5223 Services for air transport;2008 2nd quarter;109.8;-0.7
697;5223 Services for air transport;2008 3rd quarter;117.1;-6.0
698;5223 Services for air transport;2008 4th quarter;103.9;-1.4
699;5223 Services for air transport;2008;105.9;-1.4
700;5223 Services for air transport;2009 1st quarter;93.0;0.1
701;5223 Services for air transport;2009 2nd quarter;108.1;-1.5
702;5223 Services for air transport;2009 3rd quarter;114.5;-2.2
703;5223 Services for air transport;2009 4th quarter;97.9;-5.8
704;5223 Services for air transport;2009;103.4;-2.4
705;5223 Services for air transport;2010 1st quarter;86.6;-6.9
706;5223 Services for air transport;2010 2nd quarter;101.7;-5.9
707;5223 Services for air transport;2010 3rd quarter;119.0;3.9
708;5223 Services for air transport;2010 4th quarter;105.4;7.7
709;5223 Services for air transport;2010;103.2;-0.2
710;5223 Services for air transport;2011 1st quarter;94.1;8.8
711;5223 Services for air transport;2011 2nd quarter;118.2;16.2
712;5223 Services for air transport;2011 3rd quarter;127.1;6.8
713;5223 Services for air transport;2011 4th quarter;110.7;4.9
714;5223 Services for air transport;2011;112.5;9.1
715;5223 Services for air transport;2012 1st quarter;95.9;1.9
716;5223 Services for air transport;2012 2nd quarter;120.9;2.3
717;5223 Services for air transport;2012 3rd quarter;132.4;4.2
718;5223 Services for air transport;2012 4th quarter;113.1;2.2
719;5223 Services for air transport;2012;115.6;2.7
720;5224 Cargo handling;2005 1st quarter;93.3;
721;5224 Cargo handling;2005 2nd quarter;105.0;
722;5224 Cargo handling;2005 3rd quarter;97.7;
723;5224 Cargo handling;2005 4th quarter;104.0;
724;5224 Cargo handling;2005;100.0;
725;5224 Cargo handling;2006 1st quarter;101.4;8.6
726;5224 Cargo handling;2006 2nd quarter;106.0;1.0
727;5224 Cargo handling;2006 3rd quarter;107.3;9.8
728;5224 Cargo handling;2006 4th quarter;111.8;7.5
729;5224 Cargo handling;2006;106.6;6.6
730;5224 Cargo handling;2007 1st quarter;113.2;11.6
731;5224 Cargo handling;2007 2nd quarter;118.4;11.7
732;5224 Cargo handling;2007 3rd quarter;124.9;16.4
733;5224 Cargo handling;2007 4th quarter;137.6;23.1
734;5224 Cargo handling;2007;123.5;15.9
735;5224 Cargo handling;2008 1st quarter;133.9;18.3
736;5224 Cargo handling;2008 2nd quarter;142.0;19.9
737;5224 Cargo handling;2008 3rd quarter;142.9;14.4
738;5224 Cargo handling;2008 4th quarter;139.6;1.5
739;5224 Cargo handling;2008;139.6;13.0
740;5224 Cargo handling;2009 1st quarter;128.8;-3.8
741;5224 Cargo handling;2009 2nd quarter;127.2;-10.4
742;5224 Cargo handling;2009 3rd quarter;128.5;-10.1
743;5224 Cargo handling;2009 4th quarter;127.4;-8.7
744;5224 Cargo handling;2009;128.0;-8.3
745;5224 Cargo handling;2010 1st quarter;126.2;-2.1
746;5224 Cargo handling;2010 2nd quarter;137.1;7.8
747;5224 Cargo handling;2010 3rd quarter;140.6;9.4
748;5224 Cargo handling;2010 4th quarter;137.3;7.8
749;5224 Cargo handling;2010;135.3;5.7
750;5224 Cargo handling;2011 1st quarter;133.2;5.6
751;5224 Cargo handling;2011 2nd quarter;139.2;1.5
752;5224 Cargo handling;2011 3rd quarter;140.6;0.0
753;5224 Cargo handling;2011 4th quarter;139.0;1.2
754;5224 Cargo handling;2011;138.0;2.0
755;5224 Cargo handling;2012 1st quarter;137.0;2.8
756;5224 Cargo handling;2012 2nd quarter;144.3;3.7
757;5224 Cargo handling;2012 3rd quarter;144.6;2.9
758;5224 Cargo handling;2012 4th quarter;145.8;4.9
759;5224 Cargo handling;2012;142.9;3.6
760;5229 Agents for transport and weighing;2005 1st quarter;93.9;
761;5229 Agents for transport and weighing;2005 2nd quarter;100.5;
762;5229 Agents for transport and weighing;2005 3rd quarter;100.0;
763;5229 Agents for transport and weighing;2005 4th quarter;105.5;
764;5229 Agents for transport and weighing;2005;100.0;
765;5229 Agents for transport and weighing;2006 1st quarter;103.9;10.7
766;5229 Agents for transport and weighing;2006 2nd quarter;110.0;9.4
767;5229 Agents for transport and weighing;2006 3rd quarter;100.3;0.2
768;5229 Agents for transport and weighing;2006 4th quarter;113.6;7.6
769;5229 Agents for transport and weighing;2006;106.9;6.9
770;5229 Agents for transport and weighing;2007 1st quarter;113.1;8.9
771;5229 Agents for transport and weighing;2007 2nd quarter;120.2;9.4
772;5229 Agents for transport and weighing;2007 3rd quarter;124.7;24.4
773;5229 Agents for transport and weighing;2007 4th quarter;135.6;19.4
774;5229 Agents for transport and weighing;2007;123.4;15.4
775;5229 Agents for transport and weighing;2008 1st quarter;119.9;6.0
776;5229 Agents for transport and weighing;2008 2nd quarter;125.7;4.5
777;5229 Agents for transport and weighing;2008 3rd quarter;126.5;1.4
778;5229 Agents for transport and weighing;2008 4th quarter;124.3;-8.3
779;5229 Agents for transport and weighing;2008;124.1;0.5
780;5229 Agents for transport and weighing;2009 1st quarter;101.9;-15.0
781;5229 Agents for transport and weighing;2009 2nd quarter;99.2;-21.1
782;5229 Agents for transport and weighing;2009 3rd quarter;98.4;-22.2
783;5229 Agents for transport and weighing;2009 4th quarter;102.7;-17.4
784;5229 Agents for transport and weighing;2009;100.5;-19.0
785;5229 Agents for transport and weighing;2010 1st quarter;100.7;-1.1
786;5229 Agents for transport and weighing;2010 2nd quarter;107.4;8.3
787;5229 Agents for transport and weighing;2010 3rd quarter;110.9;12.7
788;5229 Agents for transport and weighing;2010 4th quarter;113.7;10.7
789;5229 Agents for transport and weighing;2010;108.2;7.6
790;5229 Agents for transport and weighing;2011 1st quarter;109.0;8.2
791;5229 Agents for transport and weighing;2011 2nd quarter;115.1;7.2
792;5229 Agents for transport and weighing;2011 3rd quarter;114.0;2.8
793;5229 Agents for transport and weighing;2011 4th quarter;119.8;5.4
794;5229 Agents for transport and weighing;2011;114.5;5.8
795;5229 Agents for transport and weighing;2012 1st quarter;112.7;3.4
796;5229 Agents for transport and weighing;2012 2nd quarter;120.3;4.5
797;5229 Agents for transport and weighing;2012 3rd quarter;119.8;5.1
798;5229 Agents for transport and weighing;2012 4th quarter;121.7;1.6
799;5229 Agents for transport and weighing;2012;118.6;3.6
800;53 Postal and courier activities;2005 1st quarter;97.9;
801;53 Postal and courier activities;2005 2nd quarter;98.4;
802;53 Postal and courier activities;2005 3rd quarter;92.0;
803;53 Postal and courier activities;2005 4th quarter;111.7;
804;53 Postal and courier activities;2005;100.0;
805;53 Postal and courier activities;2006 1st quarter;103.1;5.3
806;53 Postal and courier activities;2006 2nd quarter;99.7;1.3
807;53 Postal and courier activities;2006 3rd quarter;95.9;4.2
808;53 Postal and courier activities;2006 4th quarter;113.6;1.8
809;53 Postal and courier activities;2006;103.1;3.1
810;53 Postal and courier activities;2007 1st quarter;103.6;0.5
811;53 Postal and courier activities;2007 2nd quarter;102.6;2.9
812;53 Postal and courier activities;2007 3rd quarter;95.7;-0.2
813;53 Postal and courier activities;2007 4th quarter;112.0;-1.5
814;53 Postal and courier activities;2007;103.5;0.4
815;53 Postal and courier activities;2008 1st quarter;106.7;2.9
816;53 Postal and courier activities;2008 2nd quarter;104.1;1.4
817;53 Postal and courier activities;2008 3rd quarter;99.1;3.5
818;53 Postal and courier activities;2008 4th quarter;115.7;3.3
819;53 Postal and courier activities;2008;106.4;2.8
820;53 Postal and courier activities;2009 1st quarter;99.1;-7.1
821;53 Postal and courier activities;2009 2nd quarter;97.4;-6.4
822;53 Postal and courier activities;2009 3rd quarter;93.4;-5.8
823;53 Postal and courier activities;2009 4th quarter;109.7;-5.2
824;53 Postal and courier activities;2009;99.9;-6.1
825;53 Postal and courier activities;2010 1st quarter;96.2;-3.0
826;53 Postal and courier activities;2010 2nd quarter;93.3;-4.2
827;53 Postal and courier activities;2010 3rd quarter;88.0;-5.8
828;53 Postal and courier activities;2010 4th quarter;102.9;-6.1
829;53 Postal and courier activities;2010;95.1;-4.8
830;53 Postal and courier activities;2011 1st quarter;92.6;-3.7
831;53 Postal and courier activities;2011 2nd quarter;92.4;-0.9
832;53 Postal and courier activities;2011 3rd quarter;88.4;0.5
833;53 Postal and courier activities;2011 4th quarter;102.4;-0.5
834;53 Postal and courier activities;2011;94.0;-1.2
835;53 Postal and courier activities;2012 1st quarter;94.1;1.6
836;53 Postal and courier activities;2012 2nd quarter;91.4;-1.1
837;53 Postal and courier activities;2012 3rd quarter;89.7;1.5
838;53 Postal and courier activities;2012 4th quarter;102.5;0.0
839;53 Postal and courier activities;2012;94.4;0.5
840;532 Other postal and courier activities;2005 1st quarter;;
841;532 Other postal and courier activities;2005 2nd quarter;;
842;532 Other postal and courier activities;2005 3rd quarter;;
843;532 Other postal and courier activities;2005 4th quarter;;
844;532 Other postal and courier activities;2005;;
845;532 Other postal and courier activities;2006 1st quarter;;
846;532 Other postal and courier activities;2006 2nd quarter;;
847;532 Other postal and courier activities;2006 3rd quarter;;
848;532 Other postal and courier activities;2006 4th quarter;;
849;532 Other postal and courier activities;2006;;
850;532 Other postal and courier activities;2007 1st quarter;108.6;
851;532 Other postal and courier activities;2007 2nd quarter;115.9;
852;532 Other postal and courier activities;2007 3rd quarter;110.1;
853;532 Other postal and courier activities;2007 4th quarter;120.1;
854;532 Other postal and courier activities;2007;113.7;
855;532 Other postal and courier activities;2008 1st quarter;121.4;11.8
856;532 Other postal and courier activities;2008 2nd quarter;124.9;7.8
857;532 Other postal and courier activities;2008 3rd quarter;121.1;10.0
858;532 Other postal and courier activities;2008 4th quarter;125.8;4.7
859;532 Other postal and courier activities;2008;123.3;8.5
860;532 Other postal and courier activities;2009 1st quarter;109.1;-10.1
861;532 Other postal and courier activities;2009 2nd quarter;109.6;-12.3
862;532 Other postal and courier activities;2009 3rd quarter;109.9;-9.2
863;532 Other postal and courier activities;2009 4th quarter;115.9;-7.9
864;532 Other postal and courier activities;2009;111.1;-9.9
865;532 Other postal and courier activities;2010 1st quarter;102.7;-5.9
866;532 Other postal and courier activities;2010 2nd quarter;108.3;-1.2
867;532 Other postal and courier activities;2010 3rd quarter;106.5;-3.1
868;532 Other postal and courier activities;2010 4th quarter;116.3;0.3
869;532 Other postal and courier activities;2010;108.4;-2.4
870;532 Other postal and courier activities;2011 1st quarter;109.9;7.0
871;532 Other postal and courier activities;2011 2nd quarter;113.8;5.1
872;532 Other postal and courier activities;2011 3rd quarter;114.6;7.6
873;532 Other postal and courier activities;2011 4th quarter;118.6;2.0
874;532 Other postal and courier activities;2011;114.2;5.3
875;532 Other postal and courier activities;2012 1st quarter;118.0;7.3
876;532 Other postal and courier activities;2012 2nd quarter;117.2;3.0
877;532 Other postal and courier activities;2012 3rd quarter;119.7;4.4
878;532 Other postal and courier activities;2012 4th quarter;121.7;2.6
879;532 Other postal and courier activities;2012;119.1;4.3
