ID;Regions;Periods;AllCountries_1;Netherlands_2;TotalForeignCountries_3;EuropeExcludingTheNetherlands_4;Germany_5;Belgium_6;UnitedKingdom_7;France_8;Switzerland_9;Italy_10;Spain_11;Denmark_12;Sweden_13;OtherCountriesEuroZone_14;OtherEuropeanCountries_15;America_16;Asia_17;AustraliaAndOceania_18;Africa_19;AllCountries_20;Netherlands_21;TotalForeignCountries_22;EuropeExcludingTheNetherlands_23;Germany_24;Belgium_25;UnitedKingdom_26;France_27;Switzerland_28;Italy_29;Spain_30;Denmark_31;Sweden_32;OtherCountriesEuroZone_33;OtherEuropeanCountries_34;America_35;Asia_36;AustraliaAndOceania_37;Africa_38
10;Nederland;1998 September;2173.8;1324.5;849.3;650.3;220.0;53.7;153.4;38.8;11.6;28.1;21.5;9.3;;;113.8;114.6;59.1;15.7;9.7;6547.5;4354.0;2193.5;1582.7;898.2;153.0;309.5;66.7;24.7;68.2;44.0;18.5;;;229.8;216.9;111.5;29.1;23.5
11;Nederland;1998 3rd Quarter;7892.7;4871.6;3021.1;2408.6;939.1;203.1;452.1;138.4;44.6;151.2;88.1;36.1;;;355.7;359.7;178.8;45.4;28.6;34020.9;24418.8;9602.1;7602.8;4924.6;667.4;1010.6;278.3;108.9;337.6;186.7;88.7;;;768.4;715.0;358.0;88.8;69.0
12;Nederland;1998 October;2041.3;1245.1;796.2;628.2;232.8;46.9;148.2;34.1;12.0;20.4;15.3;9.2;;;109.4;101.2;46.9;12.9;6.9;5827.2;3719.1;2108.0;1568.2;969.6;117.7;301.5;61.2;26.2;43.3;30.9;18.0;;;206.4;195.7;93.7;25.0;19.0
13;Nederland;1998 November;1551.4;935.7;615.7;487.6;128.3;57.0;130.5;30.0;7.5;18.6;11.9;7.9;;;95.9;75.6;38.5;7.6;6.5;3658.4;2267.1;1391.3;933.4;382.5;154.5;250.2;53.5;13.8;37.4;24.7;16.8;;;191.7;152.5;75.6;22.0;16.1
14;Nederland;1998 December;1290.4;812.5;477.9;374.6;96.8;36.4;100.1;28.3;6.5;23.9;9.4;5.4;;;67.8;59.0;34.2;5.3;4.8;3346.4;2298.1;1048.3;696.5;259.3;94.9;189.9;54.6;13.6;52.8;20.3;10.9;;;146.9;113.1;70.5;9.8;11.5
15;Nederland;1998 4th Quarter;4883.1;2993.2;1889.8;1490.4;457.9;140.3;378.8;92.4;26.0;62.8;36.5;22.5;;;273.1;235.8;119.5;25.8;18.2;12832.0;8284.4;4547.6;3198.1;1611.4;367.1;741.6;169.3;53.6;133.5;75.9;45.7;;;545.0;461.3;239.8;56.8;46.6
16;Nederland;1998;23688.0;14377.2;9310.8;7370.6;2661.2;614.8;1598.1;456.4;137.5;348.8;215.4;113.9;;;1224.5;1143.7;590.7;126.1;79.8;76796.7;51828.1;24968.6;18598.7;11006.4;1704.2;3293.2;864.6;294.3;738.0;445.6;252.4;;;2508.8;2252.3;1152.3;259.4;197.1
17;Nederland;1999 January;1233.6;721.9;511.6;401.2;119.9;34.3;100.0;30.0;6.5;19.0;9.5;4.9;;;77.1;68.6;29.0;6.5;6.3;3041.5;1852.5;1189.0;964.2;393.3;81.1;190.5;58.2;12.5;40.1;18.8;9.7;;;160.0;143.7;54.1;13.4;13.6
18;Nederland;1999 February;1363.9;844.2;519.8;407.3;105.3;38.9;123.4;27.9;6.2;14.1;10.6;5.0;;;76.0;68.7;31.9;5.7;6.1;3433.0;2266.6;1166.4;936.9;313.2;85.0;244.9;55.7;10.4;29.1;20.7;9.3;;;168.5;142.9;61.0;10.7;14.8
19;Nederland;1999 March;1566.4;900.7;665.7;514.0;137.7;41.3;155.8;31.8;10.3;21.0;17.4;7.3;;;91.5;96.3;41.5;6.9;7.0;3751.1;2268.0;1483.1;1171.1;392.4;91.8;321.7;59.6;18.7;41.3;37.2;15.1;;;193.2;195.7;83.4;13.7;19.2
20;Nederland;1999 1st Quarter;4163.9;2466.9;1697.0;1322.5;362.8;114.5;379.3;89.7;23.0;54.1;37.5;17.2;;;244.6;233.5;102.4;19.1;19.5;10225.5;6387.0;3838.5;3072.3;1098.9;258.0;757.1;173.5;41.6;110.5;76.8;34.1;;;521.7;482.2;198.6;37.7;47.7
21;Nederland;1999 April;2271.2;1205.0;1066.2;773.0;372.6;71.1;182.6;59.5;17.8;26.3;18.0;13.0;;;12.0;6.1;119.5;114.1;53.4;6239.8;3327.3;2912.4;2547.8;1384.9;212.5;410.4;121.0;48.3;54.3;39.2;29.7;;;247.5;230.1;96.7;23.5;14.3
22;Nederland;1999 May;3002.9;1974.2;1028.7;727.9;361.9;64.4;159.9;55.1;15.7;22.9;15.8;11.4;;;20.8;7.7;108.3;125.0;59.9;9635.1;7054.4;2580.6;2158.9;1187.5;171.4;332.4;106.0;33.2;47.9;33.5;24.9;;;222.2;253.0;109.5;42.6;16.5
