ID;LandVanLading;LandVanLossing;Perioden;LadingtonkilometersTotaal_1;LadingtonkilometersInNederland_2;LadingtonkilometersInBuitenland_3;TotaalVervoerdGewicht_4;LandbouwproductenDieren_5;VoedingsproductenVeevoeder_6;VasteBrandstoffen_7;AardolienAardolieproducten_8;ErtsenEnMetaalresiduen_9;MetalenMetalenHalffabricaten_10;RuweMineralenEnBouwmaterialen_11;Meststoffen_12;ChemischeProducten_13;OverigeGoederenEnFabricaten_14;Containervervoer_15
113;Totaal geladen;Overige landen (m.n. binnen Europa);2007;6095.0;956.0;5139.0;5778.0;167.0;527.0;198.0;1747.0;512.0;745.0;269.0;269.0;581.0;761.0;67.0
114;Totaal geladen;Overige landen (m.n. binnen Europa);2008;5955.0;935.0;5020.0;5624.0;125.0;522.0;239.0;1843.0;519.0;742.0;194.0;183.0;586.0;671.0;57.0
115;Totaal geladen;Overige landen (m.n. binnen Europa);2009;4919.0;751.0;4168.0;4691.0;121.0;460.0;198.0;2009.0;310.0;363.0;202.0;178.0;470.0;383.0;34.0
116;Totaal geladen;Overige landen (m.n. binnen Europa);2010;;;;4988.0;;;;;;;;;;;
117;Totaal geladen;Overige landen (m.n. binnen Europa);2011;;;;4367.0;;;;;;;;;;;
118;Totaal geladen;Overige landen (m.n. binnen Europa);2012;;;;4761.0;;;;;;;;;;;
119;Nederland;Totaal gelost;1996;49291.0;22695.0;26596.0;210322.0;3520.0;17014.0;17454.0;44980.0;34286.0;2223.0;63143.0;4872.0;9410.0;13420.0;332.0
120;Nederland;Totaal gelost;1997;56517.0;26731.0;29786.0;234224.0;2396.0;15356.0;21634.0;48746.0;36073.0;2553.0;73576.0;5489.0;11879.0;16523.0;1147.0
121;Nederland;Totaal gelost;1998;53419.0;26316.0;27103.0;229612.0;2025.0;18647.0;22597.0;42580.0;36467.0;3964.0;71305.0;5335.0;10326.0;16368.0;1299.0
122;Nederland;Totaal gelost;1999;51850.0;26747.0;25103.0;222663.0;3289.0;15047.0;19815.0;40739.0;34109.0;2683.0;72373.0;5322.0;11306.0;17980.0;1597.0
123;Nederland;Totaal gelost;2000;51668.0;26324.0;25344.0;224853.0;3514.0;15075.0;19818.0;37473.0;33387.0;2749.0;75875.0;5419.0;12300.0;19244.0;1723.0
124;Nederland;Totaal gelost;2001;57343.0;27312.0;30031.0;239457.0;3829.0;16993.0;24320.0;46003.0;33223.0;3752.0;75441.0;4321.0;14176.0;17398.0;1624.0
125;Nederland;Totaal gelost;2002;54001.0;27171.0;26830.0;225182.0;3662.0;16441.0;24535.0;40769.0;33350.0;3351.0;66297.0;5027.0;15115.0;16637.0;1544.0
126;Nederland;Totaal gelost;2003;49099.0;26368.0;22731.0;211083.0;3609.0;13665.0;22399.0;38614.0;33649.0;3438.0;60941.0;3737.0;13802.0;17231.0;1396.0
127;Nederland;Totaal gelost;2004;51699.0;27851.0;23848.0;224646.0;3995.0;14091.0;24839.0;42044.0;35771.0;4364.0;60051.0;3728.0;14694.0;21069.0;1476.0
