ID;Periods;TheValueOfSharesOnTheTotalMarket_1;TheValueOfSharesOnTheOffMarket_2;TotalCompaniesExchangeValue_3;Internationals_4;TotalLocalInstitutions_5;FinancialInstitutions_6;NonFinancialInstitutions_7;Mining_8;ManufacturingOfConsumerGoods_9;ManufacturingOfCapitalGoods_10;ManufacturingOfBasicGoods_11;ConstructionAndInstallation_12;TransportStorageAndCommunication_13;NonFinancialServices_14;Trade_15;BankingFinancialActivities_16;Insurance_17;ExchangeValueOfMutualFunds_18;TheShareMarketValueOfPropertyFunds_19;TheShareMarketOfOtherFunds_20;TheShareMarketValueOnTheNewMarket_21
158;1997 February;403826.0;403826.0;320884;129791.0;191093.0;72361.0;118733.0;79935.0;43016.0;22578.0;17779.0;3001.0;19191.0;41949.0;21074.0;23487.0;48874.0;57154.0;9340.0;16448.0;
159;1997 March;408841.0;408841.0;325759;133302.0;192458.0;72080.0;120378.0;82854.0;43123.0;23180.0;17693.0;3108.0;19377.0;42494.0;21851.0;22353.0;49727.0;56592.0;9446.0;17044.0;
160;1997 April;418629.0;418629.0;334218;137692.0;196526.0;74424.0;122101.0;84703.0;44362.0;25420.0;17205.0;3671.0;19345.0;42700.0;22390.0;23157.0;51267.0;57225.0;9552.0;17634.0;
161;1997 May;439081.0;439081.0;352365;143371.0;208994.0;80799.0;128195.0;90274.0;43439.0;27190.0;17776.0;3350.0;19291.0;45352.0;24893.0;24953.0;55846.0;59444.0;9431.0;17842.0;
162;1997 June;472878.0;472878.0;383337;161840.0;221496.0;84179.0;137317.0;99347.0;47086.0;33396.0;18683.0;3380.0;21808.0;48126.0;27332.0;25950.0;58229.0;62028.0;10079.0;17435.0;
163;1997 July;531603.0;531603.0;436485;184729.0;251755.0;100575.0;151181.0;112970.0;51279.0;39855.0;21418.0;3587.0;24029.0;53518.0;29255.0;34321.0;66253.0;66336.0;10554.0;18228.0;
164;1997 August;478794.0;478794.0;392168;164967.0;227201.0;90663.0;136538.0;100418.0;46838.0;35997.0;20232.0;3430.0;20259.0;48241.0;26091.0;28957.0;61707.0;63430.0;10067.0;13129.0;
165;1997 September;513142.0;513142.0;417659;178702.0;238957.0;93604.0;145353.0;108397.0;48306.0;41444.0;21807.0;3598.0;22114.0;50571.0;27819.0;29163.0;64441.0;64732.0;10138.0;20613.0;
166;1997 October;479487.0;479487.0;388709;166405.0;222303.0;87665.0;134638.0;99931.0;45984.0;36058.0;20457.0;3482.0;20808.0;49235.0;25089.0;28354.0;59311.0;62269.0;9737.0;18772.0;
167;1997 November;486108.0;486108.0;394322;167785.0;226538.0;89207.0;137330.0;100710.0;49961.0;31873.0;20741.0;3537.0;21725.0;50556.0;26012.0;27460.0;61747.0;63017.0;9613.0;19156.0;
168;1997 December;505548.0;505548.0;411521;176468.0;235052.0;94064.0;140988.0;108299.0;54988.0;30383.0;20707.0;3545.0;22932.0;50574.0;26027.0;28457.0;65607.0;64501.0;9931.0;19596.0;
169;1998 January;526920.0;526920.0;430252;174717.0;255534.0;106379.0;149155.0;104894.0;53887.0;33837.0;22216.0;3623.0;23786.0;54178.0;27452.0;29962.0;76417.0;66849.0;10131.0;19688.0;
170;1998 February;575969.0;575969.0;475257;187293.0;287964.0;120972.0;166991.0;108883.0;59122.0;39290.0;24269.0;4024.0;27132.0;61024.0;30541.0;32898.0;88074.0;70133.0;10275.0;20305.0;
171;1998 March;609173.0;609173.0;502634;195154.0;307480.0;131126.0;176354.0;114819.0;64846.0;38884.0;24903.0;4162.0;28683.0;62538.0;32674.0;35138.0;95987.0;73135.0;10427.0;22976.0;
172;1998 April;606506.0;606506.0;502044;193173.0;308871.0;138548.0;170323.0;108494.0;65350.0;42442.0;24356.0;4064.0;28178.0;58064.0;32548.0;36156.0;102392.0;71834.0;10518.0;22110.0;
173;1998 May;640233.0;640233.0;535187;203210.0;331977.0;151814.0;180162.0;111510.0;70493.0;43473.0;25541.0;4201.0;29725.0;64837.0;33592.0;36657.0;115157.0;72461.0;10544.0;22041.0;
174;1998 June;626712.0;626712.0;523513;199734.0;323779.0;153513.0;170266.0;109759.0;70026.0;39556.0;26142.0;4218.0;22366.0;66202.0;31730.0;36811.0;116702.0;73295.0;10648.0;19258.0;
175;1998 July;637186.0;637186.0;530157;181678.0;348479.0;170120.0;178359.0;99639.0;66657.0;37901.0;24577.0;4008.0;24453.0;72438.0;30364.0;40696.0;129424.0;75501.0;10678.0;20850.0;
176;1998 August;573301.0;573301.0;475154;158051.0;317103.0;146527.0;170576.0;85822.0;62948.0;30092.0;18297.0;3466.0;33112.0;65234.0;29656.0;34834.0;111693.0;70468.0;10028.0;17651.0;
177;1998 September;514877.0;514877.0;420606;151005.0;269601.0;112585.0;157016.0;90979.0;57470.0;24146.0;15113.0;2981.0;26581.0;62284.0;28466.0;25037.0;87549.0;68052.0;9616.0;16602.0;
178;1998 October;533980.0;533980.0;436455;154051.0;282404.0;122055.0;160350.0;87768.0;65125.0;24741.0;16105.0;2867.0;30591.0;57104.0;30098.0;27064.0;94991.0;70891.0;9662.0;16972.0;
179;1998 November;579788.0;579788.0;476238;162784.0;313453.0;146221.0;167233.0;89130.0;69064.0;28999.0;17048.0;2932.0;32151.0;58400.0;32292.0;30175.0;116046.0;75626.0;10010.0;17915.0;
180;1998 December;601612.0;601612.0;494714;169398.0;325315.0;157045.0;168270.0;90979.0;75146.0;29718.0;17693.0;2939.0;37000.0;51043.0;33150.0;30412.0;126633.0;77550.0;10386.0;18962.0;
181;1999 January;588157.0;588157.0;480267;152034.0;328234.0;152121.0;176113.0;75801.0;70502.0;33480.0;16303.0;2607.0;41165.0;53119.0;35169.0;29467.0;122653.0;79611.0;10124.0;18155.0;
182;1999 February;604546.0;604546.0;495164;160754.0;334410.0;152225.0;182185.0;85772.0;70029.0;32738.0;16461.0;2515.0;45577.0;53826.0;36022.0;31707.0;120518.0;80143.0;10329.0;18910.0;
183;1999 March;619591.0;619591.0;505020;183920.0;321100.0;147503.0;173597.0;105607.0;67879.0;37662.0;16411.0;2952.0;39292.0;51909.0;35806.0;32867.0;114636.0;83385.0;10486.0;20700.0;
184;1999 April;663152.0;663152.0;543706;201607.0;342100.0;162091.0;180009.0;118151.0;68535.0;40376.0;20193.0;3117.0;41257.0;53726.0;36261.0;37576.0;124515.0;85954.0;11065.0;22427.0;
185;1999 May;637672.0;637672.0;521802;191309.0;330493.0;146715.0;183778.0;114398.0;64920.0;39855.0;19419.0;3038.0;45444.0;51929.0;36084.0;35975.0;110740.0;82894.0;11056.0;21920.0;
186;1999 June;659001.0;659001.0;536894;203325.0;333569.0;142158.0;191411.0;121796.0;64836.0;44969.0;20740.0;3150.0;49914.0;53215.0;36115.0;35727.0;106431.0;85995.0;11258.0;24854.0;
187;1999 July;656675.0;656675.0;534792;207072.0;327720.0;137955.0;189764.0;125227.0;66265.0;44575.0;21240.0;2989.0;50062.0;51666.0;34812.0;34017.0;103938.0;84963.0;11874.0;25046.0;
188;1999 August;678112.0;678112.0;552674;208233.0;344441.0;154132.0;190309.0;124798.0;64911.0;45548.0;21984.0;3164.0;49519.0;53896.0;34721.0;37413.0;116719.0;87886.0;11535.0;26017.0;
189;1999 September;653068.0;653068.0;530940;196943.0;333997.0;148220.0;185777.0;116864.0;63850.0;44742.0;20538.0;2738.0;48769.0;52350.0;32869.0;34462.0;113758.0;86694.0;10757.0;24677.0;
190;1999 October;681412.0;681412.0;555437;204659.0;350777.0;160832.0;189945.0;121860.0;63708.0;47859.0;19758.0;2669.0;55742.0;51812.0;31196.0;37093.0;123739.0;90160.0;10842.0;24973.0;
191;1999 November;726577.0;726577.0;590163;211938.0;378225.0;164189.0;214036.0;125291.0;58411.0;60295.0;19780.0;2546.0;66459.0;60408.0;32784.0;38790.0;125399.0;99209.0;10641.0;26564.0;
192;1999 December;810363.0;810363.0;662139;221812.0;440327.0;180691.0;259637.0;130480.0;58651.0;67690.0;20346.0;2747.0;96375.0;73500.0;31660.0;39787.0;140903.0;106853.0;11052.0;30319.0;
193;2000 January;747876.0;747876.0;601677;206647.0;395029.0;148598.0;246431.0;116950.0;52653.0;74639.0;17110.0;2939.0;88978.0;72487.0;27322.0;33710.0;114888.0;105884.0;11152.0;29163.0;
194;2000 February;819871.0;819871.0;668118;220047.0;448071.0;147725.0;300346.0;116414.0;53136.0;91465.0;16898.0;3098.0;124022.0;87904.0;27456.0;35110.0;112615.0;113591.0;10888.0;27274.0;
195;2000 March;838115.0;838115.0;680490;232581.0;447909.0;162727.0;285182.0;130824.0;57333.0;83590.0;18947.0;3077.0;107457.0;86837.0;29697.0;37800.0;124927.0;116779.0;10944.0;29902.0;
196;2000 April;833633.0;833633.0;677639;243932.0;433707.0;162583.0;271125.0;135948.0;58935.0;93055.0;18941.0;2976.0;97407.0;78896.0;28899.0;36029.0;126554.0;115995.0;11407.0;28592.0;
197;2000 May;830997.0;830997.0;677637;249319.0;428317.0;171370.0;256948.0;141588.0;60933.0;89434.0;17800.0;3133.0;85139.0;71981.0;36259.0;39797.0;131573.0;112609.0;11664.0;29087.0;
198;2000 June;849478.0;847799.0;691937;246782.0;445155.0;178918.0;266237.0;139594.0;60880.0;94104.0;18616.0;3108.0;85076.0;74452.0;37190.0;41772.0;137146.0;114020.0;12033.0;29809.0;1679.0
199;2000 July;848813.0;847134.0;690100;244309.0;445791.0;187522.0;258268.0;137235.0;60551.0;92124.0;18845.0;3248.0;76247.0;77508.0;36819.0;42245.0;145278.0;114801.0;12666.0;29567.0;1679.0
200;2000 August;880639.0;879142.0;712393;263711.0;448682.0;196971.0;251711.0;146884.0;63748.0;98621.0;19694.0;3432.0;66267.0;78930.0;37845.0;45100.0;151871.0;123277.0;12348.0;31124.0;1497.0
201;2000 September;853710.0;852349.0;683863;256151.0;427712.0;194033.0;233679.0;146863.0;66769.0;87821.0;18859.0;3543.0;57091.0;71241.0;37642.0;43003.0;151031.0;125635.0;11886.0;30965.0;1361.0
202;2000 October;871651.0;870471.0;702880;259931.0;442949.0;208372.0;234577.0;149865.0;69982.0;82057.0;20770.0;3495.0;56439.0;72048.0;39851.0;43837.0;164535.0;124305.0;12127.0;31159.0;1180.0
203;2000 November;834815.0;833907.0;672292;253887.0;418404.0;205179.0;213225.0;147742.0;76951.0;67150.0;20952.0;3432.0;48117.0;61388.0;41382.0;39385.0;165794.0;117272.0;13492.0;30851.0;908.0
204;2000 December;782179.0;781271.0;651926;246168.0;405757.0;201376.0;204381.0;139937.0;74618.0;68216.0;21946.0;2826.0;42041.0;61288.0;39677.0;39431.0;161945.0;86423.0;13591.0;29331.0;908.0
205;2001 January;782119.0;781259.0;659010;242453.0;416556.0;198604.0;217953.0;138500.0;68651.0;74563.0;20581.0;3065.0;51922.0;63016.0;40108.0;45239.0;153365.0;86956.0;14500.0;20793.0;860.0
206;2001 February;736811.0;736111.0;619411;235432.0;383979.0;181989.0;201990.0;138221.0;68814.0;64003.0;20818.0;3257.0;43386.0;57192.0;41731.0;39491.0;142498.0;81100.0;14700.0;20900.0;700.0
207;2001 March;694869.0;694269.0;581969;223778.0;358190.0;168936.0;189255.0;135069.0;66524.0;58338.0;19120.0;3148.0;36207.0;52772.0;41855.0;34426.0;134510.0;77000.0;14100.0;21200.0;600.0
208;2001 April;727344.0;726733.0;613707;237992.0;375715.0;180284.0;195431.0;144526.0;68182.0;63071.0;19324.0;3698.0;41448.0;53425.0;39749.0;37350.0;142934.0;77825.0;13867.0;21334.0;611.0
209;2001 May;730276.0;729659.0;613118;248236.0;364883.0;172037.0;192845.0;153682.0;70292.0;62794.0;20713.0;3692.0;37606.0;51258.0;41044.0;37554.0;134483.0;79655.0;14416.0;22470.0;617.0
210;2001 June;710496.0;710017.0;595314;241741.0;353574.0;175461.0;178112.0;145769.0;72701.0;60385.0;20262.0;3640.0;29535.0;47196.0;40364.0;36559.0;138903.0;78960.0;14394.0;21349.0;479.0
211;2001 July;683804.0;683368.0;572113;237513.0;334600.0;168068.0;166532.0;142917.0;69324.0;59922.0;19457.0;3691.0;26443.0;44848.0;37443.0;32750.0;135318.0;76520.0;14015.0;20720.0;436.0
212;2001 August;650654.0;650349.0;544625;225296.0;319329.0;165692.0;153637.0;133868.0;68109.0;54643.0;19772.0;3653.0;21734.0;41602.0;35551.0;32817.0;132875.0;72797.0;13624.0;19303.0;305.0
213;2001 September;572279.0;572031.0;473284;193202.0;280083.0;142856.0;137226.0;118408.0;60986.0;38567.0;17580.0;3089.0;19781.0;37361.0;34655.0;29133.0;113723.0;67089.0;12930.0;18728.0;248.0
214;2001 October;582193.0;581907.0;479386;199666.0;279720.0;136983.0;142737.0;120156.0;59285.0;46233.0;18244.0;3570.0;22181.0;37640.0;35094.0;27976.0;109007.0;70420.0;13114.0;18987.0;286.0
215;2001 November;608238.0;607970.0;501624;205732.0;295892.0;144511.0;151381.0;114839.0;61931.0;54769.0;20035.0;3544.0;24366.0;39800.0;37828.0;30052.0;114459.0;74246.0;13409.0;18691.0;268.0
216;2001 December;654758.0;654490.0;546308;216918.0;329390.0;167372.0;162018.0;121006.0;63794.0;59051.0;20126.0;3567.0;31738.0;40723.0;38931.0;30058.0;137315.0;75909.0;13904.0;18369.0;268.0
217;2002 January;649986.0;649778.0;540821;215092.0;325729.0;163808.0;161921.0;122070.0;64286.0;57832.0;20368.0;3988.0;31139.0;41224.0;36108.0;33294.0;130514.0;75241.0;14476.0;19240.0;208.0
218;2002 February;645661.0;645473.0;537564;219598.0;317966.0;157028.0;160938.0;126855.0;66312.0;57208.0;20901.0;4582.0;29964.0;41338.0;33377.0;33234.0;123794.0;73929.0;14748.0;19232.0;188.0
219;2002 March;687164.0;687038.0;576865;232412.0;344453.0;170794.0;173660.0;133447.0;66479.0;66375.0;21934.0;4559.0;32163.0;43823.0;37291.0;35829.0;134965.0;75856.0;15416.0;18901.0;126.0
220;2002 April;660149.0;660027.0;552872;224663.0;328209.0;163406.0;164803.0;125047.0;70446.0;63731.0;20581.0;3956.0;29908.0;41174.0;34624.0;35780.0;127626.0;72337.0;15200.0;19618.0;122.0
221;2002 May;634654.0;634531.0;530588;225251.0;305337.0;154190.0;151148.0;127386.0;67801.0;59935.0;20714.0;3673.0;27970.0;39079.0;29839.0;33760.0;120430.0;71295.0;13657.0;18991.0;123.0
222;2002 June;583533.0;583371.0;487183;207658.0;279525.0;140016.0;139509.0;119943.0;64100.0;50609.0;19041.0;3615.0;28189.0;34919.0;26751.0;30031.0;109985.0;65638.0;12856.0;17694.0;162.0
223;2002 July;499878.0;499718.0;405952;172837.0;233115.0;110852.0;122263.0;99102.0;57162.0;41436.0;16520.0;2974.0;26125.0;29707.0;22074.0;24260.0;86592.0;64174.0;12846.0;16746.0;160.0
224;2002 August;504610.0;504461.0;410220;169990.0;240229.0;116658.0;123571.0;97825.0;58486.0;36290.0;16941.0;2684.0;28899.0;30358.0;22073.0;27629.0;89028.0;64776.0;12777.0;16688.0;149.0
225;2002 September;418920.0;418797.0;332039;148668.0;183371.0;78506.0;104865.0;85755.0;55406.0;25930.0;14972.0;2245.0;26121.0;26953.0;16146.0;18706.0;59799.0;59117.0;12104.0;15537.0;123.0
226;2002 October;468788.0;468641.0;377457;161169.0;216288.0;102521.0;113767.0;91697.0;59271.0;32339.0;14356.0;2253.0;28838.0;29337.0;16844.0;25175.0;77345.0;62445.0;12370.0;16369.0;147.0
227;2002 November;489486.0;489335.0;396516;163990.0;232526.0;113816.0;118710.0;92452.0;54156.0;39113.0;14991.0;2125.0;31086.0;30490.0;18283.0;29098.0;84717.0;64502.0;12362.0;15955.0;151.0
228;2002 December;445446.0;445305.0;358026;152159.0;205867.0;97797.0;108070.0;88065.0;53767.0;30111.0;14568.0;2160.0;28634.0;26552.0;16369.0;26343.0;71453.0;60229.0;11546.0;15504.0;141.0
229;2003 January;413668.0;413531.0;328640;138653.0;189987.0;88240.0;101747.0;80969.0;48365.0;28089.0;12484.0;2000.0;28996.0;23977.0;15516.0;24393.0;63846.0;57821.0;11838.0;15232.0;137.0
230;2003 February;384485.0;384364.0;300398;133335.0;167062.0;80459.0;86603.0;77148.0;47067.0;27082.0;10626.0;1893.0;27364.0;21414.0;7340.0;24600.0;55858.0;57034.0;11782.0;15150.0;121.0
231;2003 March;368598.0;368484.0;284952;133656.0;151297.0;68685.0;82612.0;78324.0;48666.0;25107.0;10159.0;2100.0;23698.0;21371.0;6842.0;22320.0;46365.0;56795.0;11448.0;15289.0;114.0
232;2003 April;398814.0;398700.0;313153;136843.0;176310.0;86606.0;89705.0;76938.0;49983.0;29682.0;11042.0;2234.0;24126.0;24146.0;8392.0;25124.0;61480.0;58675.0;11644.0;15228.0;114.0
233;2003 May;399181.0;399031.0;313752;137136.0;176616.0;84089.0;92527.0;80697.0;45585.0;30116.0;11445.0;2195.0;24803.0;23834.0;10988.0;27249.0;56841.0;59287.0;12150.0;13842.0;150.0
234;2003 June;414238.0;414116.0;326224;139956.0;186268.0;89884.0;96384.0;84853.0;44540.0;30054.0;11810.0;2323.0;25777.0;25096.0;11887.0;27707.0;62177.0;61628.0;12205.0;14059.0;122.0
235;2003 July;437987.0;437863.0;347831;142904.0;204927.0;103073.0;101854.0;81872.0;47264.0;34845.0;13160.0;2470.0;26492.0;26919.0;11736.0;28329.0;74744.0;63137.0;12089.0;14806.0;124.0
236;2003 August;454026.0;453891.0;361564;151434.0;210130.0;100365.0;109765.0;84694.0;49382.0;41216.0;14340.0;2510.0;27496.0;27976.0;13584.0;26971.0;73394.0;64655.0;12091.0;15581.0;135.0
237;2003 September;425252.0;425117.0;337443;140704.0;196738.0;93000.0;103739.0;78569.0;47698.0;35855.0;13359.0;1761.0;27731.0;26303.0;13167.0;26673.0;66327.0;62408.0;12176.0;13090.0;135.0
238;2003 October;450153.0;449986.0;359412;146392.0;213021.0;104352.0;108668.0;79527.0;47751.0;42522.0;13454.0;1827.0;29552.0;28059.0;12368.0;30642.0;73710.0;65168.0;12185.0;13221.0;167.0
239;2003 November;450731.0;450587.0;360523;146169.0;214354.0;105030.0;109323.0;78090.0;48430.0;43931.0;14050.0;1817.0;29380.0;28763.0;11033.0;31125.0;73905.0;64641.0;12350.0;13073.0;144.0
240;2003 December;466320.0;466185.0;375944;155950.0;219994.0;108064.0;111930.0;87090.0;49143.0;43353.0;14601.0;1922.0;28638.0;28295.0;14836.0;31493.0;76571.0;64945.0;12511.0;12785.0;134.0
241;2004 January;477105.0;476941.0;385421;151434.0;233987.0;115685.0;118302.0;79152.0;51629.0;45158.0;15109.0;1981.0;30268.0;30576.0;15863.0;32678.0;83006.0;65948.0;12787.0;12785.0;165.0
242;2004 February;487816.0;487561.0;393438;157112.0;236326.0;114340.0;121986.0;82715.0;55576.0;45100.0;14613.0;2001.0;29406.0;32406.0;17281.0;31558.0;82782.0;67426.0;13386.0;13311.0;255.0
243;2004 March;473368.0;473196.0;377215;152136.0;225079.0;105970.0;119109.0;80527.0;53413.0;43826.0;14287.0;2161.0;28830.0;30856.0;17344.0;30886.0;75084.0;68487.0;14064.0;13430.0;172.0
244;2004 April;478999.0;478843.0;383783;154536.0;229247.0;108834.0;120414.0;84528.0;53871.0;41899.0;14768.0;2101.0;28903.0;31790.0;17089.0;30863.0;77971.0;67870.0;13238.0;13952.0;156.0
245;2004 May;472689.0;472510.0;380284;154620.0;225664.0;106264.0;119400.0;85944.0;53204.0;41779.0;14485.0;2022.0;28430.0;31253.0;16903.0;29636.0;76628.0;65500.0;12933.0;13793.0;179.0
246;2004 June;479580.0;479424.0;388777;157722.0;231055.0;110233.0;120823.0;87882.0;54362.0;41236.0;14689.0;2134.0;28973.0;32022.0;17246.0;30627.0;79605.0;63336.0;13489.0;13823.0;156.0
247;2004 July;459263.0;459118.0;376466;150407.0;226058.0;109492.0;116566.0;86819.0;50857.0;37388.0;13977.0;2142.0;28377.0;30450.0;16963.0;29626.0;79866.0;62200.0;13786.0;6666.0;145.0
248;2004 August;453351.0;453215.0;369701;147353.0;222348.0;110435.0;111913.0;86382.0;49122.0;35173.0;13724.0;2088.0;29406.0;30026.0;13345.0;29731.0;80704.0;62695.0;14094.0;6725.0;136.0
249;2004 September;459025.0;458879.0;371996;145282.0;226714.0;113921.0;112793.0;86403.0;47008.0;34637.0;14189.0;2281.0;29282.0;30896.0;13380.0;31636.0;82285.0;65915.0;14232.0;6736.0;146.0
250;2004 October;465510.0;465375.0;378858;147652.0;231206.0;117228.0;113978.0;88736.0;46776.0;35141.0;14666.0;2209.0;29571.0;30719.0;13810.0;32917.0;84311.0;65499.0;14008.0;7010.0;135.0
251;2004 November;476412.0;476272.0;386957;151277.0;235680.0;117861.0;117819.0;89799.0;47696.0;36811.0;15585.0;2476.0;30625.0;31831.0;14272.0;32684.0;85178.0;67470.0;14659.0;7186.0;140.0
252;2004 December;491328.0;491187.0;396886;151013.0;245873.0;124894.0;120979.0;88161.0;49411.0;37342.0;16062.0;2779.0;31681.0;31820.0;14736.0;34504.0;90389.0;68367.0;14979.0;10955.0;141.0
253;2005 January;508643.0;508511.0;412691;156885.0;255806.0;128523.0;127282.0;92741.0;51332.0;38659.0;16342.0;3014.0;32878.0;32899.0;16303.0;36723.0;91800.0;69433.0;15051.0;11336.0;132.0
254;2005 February;527568.0;527425.0;430076;165076.0;265000.0;132688.0;132312.0;99090.0;51741.0;40895.0;17523.0;3180.0;32196.0;35266.0;17497.0;36855.0;95832.0;70101.0;15087.0;12161.0;143.0
255;2005 March;520008.0;519869.0;424985;164061.0;260923.0;130129.0;130794.0;96009.0;53665.0;40778.0;17829.0;3383.0;31656.0;34748.0;16787.0;33958.0;96171.0;69134.0;14892.0;10858.0;139.0
256;2005 April;498484.0;498352.0;405480;156844.0;248636.0;125260.0;123376.0;94156.0;51097.0;36726.0;16470.0;3295.0;29941.0;33428.0;15106.0;35914.0;89347.0;67673.0;14857.0;10342.0;132.0
257;2005 May;523917.0;523766.0;425991;165660.0;260331.0;130377.0;129954.0;98466.0;54359.0;40061.0;17004.0;3699.0;30665.0;35402.0;15960.0;35954.0;94423.0;70887.0;15821.0;11067.0;151.0
258;2005 June;553522.0;553362.0;452433;179907.0;272527.0;137173.0;135353.0;112413.0;55140.0;40685.0;17394.0;4035.0;31743.0;36720.0;17130.0;38924.0;98249.0;73097.0;16785.0;11047.0;160.0
259;2005 July;558901.0;558749.0;454683;167035.0;287648.0;145236.0;142412.0;96248.0;56881.0;43714.0;18455.0;4240.0;32689.0;38891.0;18326.0;40136.0;105101.0;74516.0;17125.0;12425.0;152.0
260;2005 August;548933.0;548779.0;448866;169883.0;278983.0;137883.0;141100.0;100347.0;56712.0;42193.0;18205.0;4374.0;31589.0;39141.0;18422.0;37981.0;99902.0;71199.0;16667.0;12047.0;154.0
261;2005 September;567013.0;566854.0;465809;177542.0;288267.0;144313.0;143953.0;104256.0;59742.0;43520.0;19322.0;4840.0;31254.0;41372.0;17188.0;38909.0;105405.0;71237.0;17276.0;12532.0;159.0
262;2005 October;551085.0;550925.0;452128;170193.0;281935.0;142613.0;139321.0;97652.0;58438.0;42585.0;18691.0;4632.0;31099.0;40280.0;16136.0;38619.0;103995.0;70537.0;16394.0;11866.0;160.0
263;2005 November;588245.0;588103.0;485997;178571.0;307425.0;156044.0;151381.0;103827.0;58410.0;46412.0;19793.0;5316.0;33874.0;44790.0;17530.0;40999.0;115045.0;73287.0;16260.0;12559.0;142.0
264;2005 December;605010.0;604841.0;502541;181291.0;321250.0;165527.0;155723.0;102476.0;59193.0;50422.0;20738.0;5346.0;34161.0;46558.0;18120.0;43953.0;121574.0;73179.0;16830.0;12291.0;169.0
265;2006 January;631572.0;631397.0;523703;192484.0;331219.0;169007.0;162212.0;111515.0;60983.0;54341.0;21569.0;5613.0;33812.0;48236.0;18624.0;45564.0;123443.0;75542.0;17444.0;14708.0;175.0
266;2006 February;639180.0;638964.0;528707;180905.0;347802.0;179508.0;168294.0;99466.0;63181.0;53754.0;22066.0;5804.0;35556.0;49185.0;20187.0;48747.0;130711.0;76472.0;18924.0;14861.0;216.0
267;2006 March;653847.0;653595.0;541208;183377.0;357831.0;184074.0;173757.0;101390.0;62880.0;54478.0;23200.0;6079.0;37416.0;51137.0;20554.0;49474.0;134599.0;77090.0;19619.0;15678.0;252.0
268;2006 April;657073.0;656826.0;545677;188508.0;357169.0;180576.0;176593.0;106731.0;62787.0;53783.0;23483.0;6332.0;37597.0;53452.0;20936.0;47612.0;132964.0;77002.0;19111.0;15036.0;247.0
269;2006 May;626291.0;626058.0;516211;175514.0;340698.0;172378.0;168320.0;100880.0;59050.0;48891.0;21798.0;5957.0;36361.0;51212.0;19685.0;47270.0;125108.0;78270.0;17611.0;13966.0;233.0
270;2006 June;625616.0;625397.0;516069;177893.0;338176.0;170791.0;167385.0;103275.0;60199.0;48655.0;21574.0;5782.0;35124.0;50619.0;20049.0;46954.0;123837.0;77480.0;17923.0;13925.0;219.0
271;2006 July;633352.0;633137.0;520297;184808.0;335489.0;175223.0;160266.0;108654.0;63992.0;48143.0;21478.0;5781.0;35387.0;41225.0;20409.0;47656.0;127566.0;78428.0;19175.0;15237.0;215.0
272;2006 August;672820.0;672603.0;540150;183502.0;356648.0;192456.0;164193.0;105984.0;63542.0;50303.0;21972.0;5754.0;37495.0;42181.0;20461.0;56041.0;136413.0;80855.0;19175.0;32423.0;217.0
273;2006 September;691369.0;691149.0;552312;183161.0;369151.0;200087.0;169065.0;101979.0;64727.0;52209.0;23802.0;5531.0;38729.0;43203.0;22034.0;58122.0;141964.0;84059.0;20687.0;34091.0;220.0
274;2006 October;702595.0;702375.0;555646;180773.0;374872.0;201124.0;173749.0;101426.0;64419.0;51865.0;23813.0;6176.0;39364.0;45123.0;22336.0;58429.0;142695.0;86008.0;20994.0;39727.0;220.0
275;2006 November;692241.0;691908.0;547536;180688.0;366848.0;192063.0;174785.0;99595.0;66995.0;53561.0;23687.0;5815.0;40034.0;44932.0;20854.0;58812.0;143251.0;85933.0;20995.0;37444.0;333.0
276;2006 December;718722.0;718390.0;566502;183658.0;382844.0;202239.0;180604.0;99819.0;68589.0;54865.0;25096.0;6649.0;40411.0;46760.0;22068.0;62633.0;139605.0;90770.0;22890.0;38228.0;332.0
277;2007 January;732297.0;731957.0;572707;182533.0;390175.0;203955.0;186219.0;97017.0;69663.0;57071.0;26013.0;6773.0;42220.0;48061.0;21930.0;63551.0;140403.0;93227.0;23706.0;42317.0;340.0
278;2007 February;721798.0;721464.0;560033;172998.0;387036.0;203786.0;183250.0;91936.0;66997.0;54211.0;24359.0;6742.0;42244.0;48211.0;21543.0;65989.0;137796.0;92663.0;24237.0;44531.0;334.0
279;2007 March;766192.0;765856.0;588235;181814.0;406420.0;216478.0;189942.0;93020.0;71949.0;55406.0;27457.0;7241.0;43668.0;49461.0;23555.0;77743.0;138735.0;91786.0;24340.0;61495.0;336.0
280;2007 April;788456.0;788141.0;613022;188363.0;424659.0;227913.0;196746.0;95747.0;73797.0;58451.0;28488.0;7905.0;44998.0;50631.0;25091.0;85592.0;142321.0;89260.0;24042.0;61817.0;315.0
281;2007 May;806132.0;805837.0;621592;196085.0;425507.0;222835.0;202673.0;101868.0;74427.0;60325.0;29609.0;8401.0;45050.0;53928.0;25146.0;84628.0;138206.0;90662.0;24347.0;69235.0;295.0
282;2007 June;813944.0;813657.0;631243;207787.0;423456.0;219489.0;203968.0;111146.0;76287.0;61475.0;30440.0;8385.0;44610.0;53764.0;25648.0;82099.0;137390.0;87181.0;22090.0;73143.0;287.0
283;2007 July;788025.0;787665.0;608442;197913.0;410530.0;203670.0;206860.0;105476.0;79702.0;60709.0;29662.0;8346.0;42452.0;52857.0;25564.0;70043.0;133626.0;85383.0;20732.0;73108.0;360.0
