ID;Geslacht;Leeftijd;DiagnoseIndelingVTV;Perioden;TotaalOverledenen_1;OverledenenPer10000Inwoners_2;VerpleegdagenVanKlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemiddeldeVerpleegduurOverledenen_5
236;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1993;;;;;
237;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1994;;;;;
238;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1995;;;;;
239;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1996;;;;;
240;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1997;;;;;
241;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1998;;;;;
242;Totaal mannen en vrouwen;Totaal alle leeftijden;8;1999;6.0;0.0;39.0;0.0;6.5
243;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2000;;;;;
244;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2001;;;;;
245;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2002;;;;;
246;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2003;;;;;
247;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2004;;;;;
248;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2005;;;;;
249;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2006;;;;;
250;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2007;;;;;
251;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2008;;;;;
252;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2009;;;;;
253;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2010;;;;;
254;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2011;;;;;
255;Totaal mannen en vrouwen;Totaal alle leeftijden;8;2012;;;;;
256;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1981;;;;;
257;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1982;;;;;
258;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1983;;;;;
259;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1984;;;;;
260;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1985;;;;;
261;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1986;;;;;
262;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1987;;;;;
263;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1988;;;;;
264;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1989;;;;;
265;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1990;;;;;
266;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1991;;;;;
267;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1992;;;;;
268;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1993;;;;;
269;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1994;;;;;
270;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1995;;;;;
271;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1996;;;;;
272;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1997;;;;;
273;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1998;;;;;
274;Totaal mannen en vrouwen;Totaal alle leeftijden;9;1999;;;;;
275;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2000;;;;;
276;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2001;;;;;
277;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2002;;;;;
278;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2003;;;;;
279;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2004;;;;;
280;Totaal mannen en vrouwen;Totaal alle leeftijden;9;2005;;;;;
