ID;Periods;PriceIndexSellingPrices_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;SoldHomes_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
362;2016 May;72.4;0.6;5.0;16066;-2.0;25.3;236730;3803
363;2016 June;72.9;0.6;5.1;17862;11.2;17.9;242089;4324
364;2016 2nd quarter;72.4;1.4;5.0;50315;17.3;23.6;239542;12053
365;2016 July;73.6;1.1;5.3;19723;10.4;7.1;245980;4851
366;2016 August;74.3;0.9;6.3;19975;1.3;25.9;249054;4975
367;2016 September;74.9;0.8;6.5;21009;5.2;28.7;253498;5326
368;2016 3rd quarter;74.3;2.6;6.0;60707;20.7;20.0;249593;15152
369;2016 October;74.9;-0.1;6.1;17339;-17.5;6.2;247673;4294
370;2016 November;75.2;0.4;6.4;18255;5.3;25.5;246819;4506
371;2016 December;75.6;0.5;7.2;25280;38.5;17.2;246511;6232
372;2016 4th quarter;75.2;1.2;6.6;60874;0.3;16.1;246934;15032
373;2016;73.3;5.5;5.5;214793;20.5;20.5;243837;52374
374;2017 January;76.3;1.0;7.1;16555;-34.5;39.0;258467;4279
375;2017 February;76.5;0.3;7.2;17708;7.0;19.1;253388;4487
376;2017 March;77.4;1.1;7.8;21648;22.3;34.3;258838;5603
377;2017 1st quarter;76.7;2.0;7.4;55911;-8.2;30.3;257002;14369
378;2017 April;77.6;0.3;7.9;16694;-22.9;1.9;256800;4287
379;2017 May;78.3;0.9;8.1;19990;19.7;24.4;259615;5190
380;2017 June;79.0;0.8;8.4;21686;8.5;21.4;264362;5733
381;2017 2nd quarter;78.3;2.1;8.1;58370;4.4;16.0;260573;15210
382;2017 July;79.7;1.0;8.3;19979;-7.9;1.3;264007;5275
383;2017 August;80.5;1.0;8.3;20780;4.0;4.0;268452;5578
384;2017 September;80.8;0.4;7.9;20632;-0.7;-1.8;269817;5567
385;2017 3rd quarter;80.4;2.6;8.2;61391;5.2;1.1;267464;16420
386;2017 October;81.4;0.7;8.7;20143;-2.4;16.2;269083;5420
387;2017 November;81.8;0.5;8.8;19647;-2.5;7.6;267868;5263
388;2017 December;82.1;0.4;8.7;26398;34.4;4.4;265122;6999
389;2017 4th quarter;81.7;1.7;8.7;66188;7.8;8.7;267143;17682
390;2017;79.3;8.1;8.1;241860;12.6;12.6;263295;63680
391;2018 January;83.1;1.3;9.0;16035;-39.3;-3.1;276906;4440
392;2018 February;84.0;1.0;9.8;16094;0.4;-9.1;275201;4429
393;2018 March;84.3;0.3;8.9;19976;24.1;-7.7;281548;5624
394;2018 1st quarter;83.8;2.5;9.2;52105;-21.3;-6.8;278159;14493
395;2018 April;84.7;0.6;9.1;16267;-18.6;-2.6;280027;4555
396;2018 May;85.5;1.0;9.2;18237;12.1;-8.8;283945;5178
397;2018 June;86.2;0.8;9.2;18426;1.0;-15.0;289399;5332
398;2018 2nd quarter;85.5;2.0;9.2;52930;1.6;-9.3;284639;15066
399;2018 July;87.0;0.9;9.1;19580;6.3;-2.0;290731;5693
400;2018 August;88.2;1.3;9.5;20892;6.7;0.5;294203;6146
401;2018 September;88.5;0.3;9.5;16449;-21.3;-20.3;291218;4790
402;2018 3rd quarter;87.9;2.8;9.3;56921;7.5;-7.3;292146;16629
403;2018 October;88.8;0.4;9.2;18809;14.3;-6.6;294050;5531
404;2018 November;89.7;1.0;9.7;18292;-2.7;-6.9;297502;5442
405;2018 December;89.2;-0.6;8.6;19434;6.2;-26.4;288356;5604
406;2018 4th quarter;89.2;1.5;9.1;56535;-0.7;-14.6;293210;16577
407;2018;86.6;9.2;9.2;218491;-9.7;-9.7;287267;62765
408;2019 January;90.7;1.7;9.0;15125;-22.2;-5.7;302157;4570
409;2019 February;90.5;-0.2;7.8;15470;2.3;-3.9;298717;4621
410;2019 March;90.9;0.4;7.9;16836;8.8;-15.7;302845;5099
411;2019 1st quarter;90.7;1.7;8.2;47431;-16.1;-9.0;301279;14290
412;2019 April;91.4;0.6;7.9;17303;2.8;6.4;302456;5233
413;2019 May;91.8;0.5;7.4;19708;13.9;8.1;303240;5976
414;2019 June;92.2;0.4;7.0;15495;-21.4;-15.9;301736;4675
415;2019 2nd quarter;91.8;1.2;7.4;52506;10.7;-0.8;302538;15885
416;2019 July;93.2;1.1;7.1;21039;35.8;7.5;309689;6516
417;2019 August;93.3;0.1;5.8;19583;-6.9;-6.3;316183;6192
418;2019 September;93.9;0.6;6.1;18313;-6.5;11.3;314225;5754
419;2019 3rd quarter;93.5;1.8;6.4;58935;12.2;3.5;313256;18462
420;2019 October;94.4;0.6;6.3;18804;2.7;0.0;312772;5881
421;2019 November;94.9;0.5;5.8;18346;-2.4;0.3;312866;5740
422;2019 December;95.0;0.1;6.6;22573;23.0;16.2;312957;7064
423;2019 4th quarter;94.8;1.4;6.2;59723;1.3;5.6;312871;18686
424;2019;92.7;7.0;7.0;218595;0.0;0.0;307978;67322
425;2020 January;96.4;1.5;6.3;17525;-22.4;15.9;329450;5774
426;2020 February;96.7;0.3;6.9;15427;-12.0;-0.3;320889;4950
427;2020 March;97.5;0.8;7.3;18627;20.7;10.6;326529;6082
428;2020 1st quarter;96.9;2.2;6.8;51579;-13.6;8.7;325834;16806
429;2020 April;98.3;0.8;7.6;18854;1.2;9.0;326232;6151
430;2020 May;99.1;0.8;7.9;18347;-2.7;-6.9;333093;6111
431;2020 June;99.3;0.3;7.7;17722;-3.4;14.4;324195;5745
432;2020 2nd quarter;98.9;2.1;7.7;54923;6.5;4.6;327867;18007
433;2020 July;100.3;0.9;7.6;22571;27.4;7.3;336957;7605
434;2020 August;101.1;0.8;8.3;19034;-15.7;-2.8;336277;6401
435;2020 September;102.1;1.0;8.7;20601;8.2;12.5;345443;7116
436;2020 3rd quarter;101.1;2.3;8.2;62206;13.3;5.6;339559;21123
437;2020 October;103.0;0.9;9.1;22146;7.5;17.8;350244;7756
438;2020 November;103.3;0.3;8.9;18449;-16.7;0.6;344217;6350
439;2020 December;102.9;-0.4;8.3;26208;42.1;16.1;333199;8732
440;2020 4th quarter;103.1;1.9;8.8;66803;7.4;11.9;341892;22839
441;2020;100.0;7.9;7.9;235511;7.7;7.7;334488;78776
442;2021 January;105.4;2.4;9.3;24516;-6.5;39.9;357458;8763
443;2021 February;106.6;1.1;10.2;16871;-31.2;9.4;369070;6227
444;2021 March;108.3;1.6;11.1;25240;49.6;35.5;407014;10273
445;2021 1st quarter;106.8;3.6;10.2;66627;-0.3;29.2;379172;25263
446;2021 April;109.4;1.0;11.2;18954;-24.9;0.5;362525;6871
447;2021 May;111.7;2.1;12.8;16126;-14.9;-12.1;361001;5822
448;2021 June;113.7;1.8;14.5;17707;9.8;-0.1;373384;6612
449;2021 2nd quarter;111.6;4.5;12.8;52787;-20.8;-3.9;365702;19304
450;2021 July;116.4;2.4;16.1;19043;7.5;-15.6;395786;7537
451;2021 August;118.9;2.1;17.6;17257;-9.4;-9.3;402308;6943
452;2021 September;120.7;1.5;18.3;17575;1.8;-14.7;405165;7121
453;2021 3rd quarter;118.7;6.3;17.3;53875;2.1;-13.4;400935;21600
454;2021 October;121.8;0.9;18.2;16191;-7.9;-26.9;408987;6622
455;2021 November;124.0;1.8;20.0;16048;-0.9;-13.0;403941;6482
456;2021 December;123.7;-0.2;20.2;20559;28.1;-21.6;396848;8159
457;2021 4th quarter;123.2;3.8;19.5;52798;-2.0;-21.0;402726;21263
458;2021;115.1;15.1;15.1;226087;-4.0;-4.0;386714;87431
459;2022 January;127.4;3.0;20.9;14053;-31.6;-42.7;434886;6111
460;2022 February;127.9;0.4;20.0;14037;-0.1;-16.8;419361;5887
461;2022 March;129.3;1.1;19.4;15833;12.8;-37.3;426183;6748
462;2022 1st quarter;128.2;4.1;20.1;43923;-16.8;-34.1;426787;18746
463;2022 April;130.7;1.1;19.6;15972;0.9;-15.7;429020;6852
464;2022 May;132.3;1.2;18.4;15749;-1.4;-2.3;429077;6758
465;2022 June;132.4;0.1;16.4;15661;-0.6;-11.6;428932;6718
466;2022 2nd quarter;131.8;2.8;18.1;47382;7.9;-10.2;429010;20327
467;2022 July;132.9;0.4;14.2;16417;4.8;-13.8;445241;7310
468;2022 August;132.7;-0.2;11.6;16405;-0.1;-4.9;446263;7321
469;2022 September;131.7;-0.8;9.1;17631;7.5;0.3;437996;7722
470;2022 3rd quarter;132.4;0.5;11.6;50453;6.5;-6.4;443042;22353
471;2022 October;130.9;-0.6;7.5;14863;-15.7;-8.2;428079;6363
472;2022 November;129.6;-1.0;4.5;15146;1.9;-5.6;423124;6409
473;2022 December;126.5;-2.4;2.2;21336;40.9;3.8;401436;8565
474;2022 4th quarter;129.0;-2.6;4.7;51345;1.8;-2.8;415546;21336
475;2022;130.4;13.3;13.3;193103;-14.6;-14.6;428591;82762
476;2023 January;128.2;1.4;0.7;13126;-38.5;-6.6;424681;5574
477;2023 February;126.4;-1.5;-1.2;11858;-9.7;-15.5;410189;4864
478;2023 March;125.9;-0.4;-2.6;15453;30.3;-2.4;415141;6415
479;2023 1st quarter;126.8;-1.7;-1.1;40437;-21.2;-7.9;416786;16854
480;2023 April;124.6;-1.0;-4.7;12816;-17.1;-19.8;401374;5144
481;2023 May;124.6;0.0;-5.8;15099;17.8;-4.1;403913;6099
482;2023 June;124.9;0.2;-5.7;16585;9.8;5.9;412943;6849
483;2023 2nd quarter;124.7;-1.7;-5.4;44500;10.0;-6.1;406547;18091
484;2023 July;125.6;0.6;-5.5;14925;-10.0;-9.1;413917;6178
485;2023 August;126.4;0.6;-4.7;15934;6.8;-2.9;416595;6638
486;2023 September;127.2;0.6;-3.4;16089;1.0;-8.7;422175;6792
487;2023 3rd quarter;126.4;1.3;-4.5;46948;5.5;-6.9;417656;19608
488;2023 October;128.1;0.7;-2.1;15705;-2.4;5.7;424521;6667
489;2023 November;128.7;0.5;-0.6;15248;-2.9;0.7;421284;6424
490;2023 December;129.0;0.2;1.9;19565;28.3;-8.3;422372;8264
491;2023 4th quarter;128.6;1.7;-0.3;50518;7.6;-1.6;422712;21355
492;2023;126.6;-2.9;-2.9;182403;-5.5;-5.5;416153;75908
493;2024 January;130.5;1.2;1.8;14452;-26.1;10.1;433285;6262
494;2024 February;131.8;1.0;4.3;13810;-4.4;16.5;427279;5901
495;2024 March;132.7;0.7;5.4;16179;17.2;4.7;435049;7039
496;2024 1st quarter;131.6;2.4;3.8;44441;-12.0;9.9;432061;19201
497;2024 April;133.9;1.0;7.5;15689;-3.0;22.4;435984;6840
498;2024 May;135.4;1.1;8.6;17591;12.1;16.5;445430;7836
499;2024 June;137.1;1.3;9.7;14662;-16.7;-11.6;441112;6468
500;2024 2nd quarter;135.4;2.9;8.6;47942;7.9;7.7;441018;21143
501;2024 July;139.0;1.4;10.6;18610;26.9;24.7;457320;8511
502;2024 August;140.5;1.1;11.2;17915;-3.7;12.4;466207;8352
503;2024 September;141.7;0.9;11.4;17622;-1.6;9.5;466890;8228
504;2024 3rd quarter;140.4;3.7;11.1;54147;12.9;15.3;463375;25090
505;2024 October;142.8;0.8;11.5;18131;2.9;15.4;467355;8474
506;2024 November;144.1;0.9;11.9;17973;-0.9;17.9;461931;8302
507;2024 December;143.1;-0.6;11.0;23824;32.6;21.8;457467;10899
508;2024 4th quarter;143.3;2.1;11.5;59928;10.7;18.6;461797;27675
509;2024;137.7;8.7;8.7;206458;13.2;13.2;450985;93109
510;2025 January;145.5;1.6;11.5;17907;-24.8;23.9;474534;8497
511;2025 February;145.7;0.1;10.6;16356;-8.7;18.4;467363;7644
512;2025 March;146.7;0.7;10.6;17211;5.2;6.4;467873;8053
513;2025 1st quarter;146.0;1.8;10.9;51474;-14.1;15.8;470028;24194
