ID;BedrijfskenmerkenSBI1993;Perioden;Ziekteverzuimpercentage_1
180;D Industrie;2009 4e kwartaal;5.5
181;D Industrie;2009;5.1
182;D Industrie;2010 1e kwartaal;5.4
183;D Industrie;2010 2e kwartaal;4.9
184;D Industrie;2010 3e kwartaal;4.7
185;D Industrie;2010 4e kwartaal;5.2
186;D Industrie;2010;5.0
187;D Industrie;2011 1e kwartaal;5.6
188;D Industrie;2011 2e kwartaal;5.1
189;D Industrie;2011 3e kwartaal;4.8
190;DA Voedings- en genotmiddelenind.;2004 1e kwartaal;
191;DA Voedings- en genotmiddelenind.;2004 2e kwartaal;
192;DA Voedings- en genotmiddelenind.;2004 3e kwartaal;
193;DA Voedings- en genotmiddelenind.;2004 4e kwartaal;
194;DA Voedings- en genotmiddelenind.;2004;4.6
195;DA Voedings- en genotmiddelenind.;2005 1e kwartaal;
196;DA Voedings- en genotmiddelenind.;2005 2e kwartaal;
197;DA Voedings- en genotmiddelenind.;2005 3e kwartaal;
198;DA Voedings- en genotmiddelenind.;2005 4e kwartaal;
199;DA Voedings- en genotmiddelenind.;2005;4.7
200;DA Voedings- en genotmiddelenind.;2006 1e kwartaal;
201;DA Voedings- en genotmiddelenind.;2006 2e kwartaal;
202;DA Voedings- en genotmiddelenind.;2006 3e kwartaal;
203;DA Voedings- en genotmiddelenind.;2006 4e kwartaal;
204;DA Voedings- en genotmiddelenind.;2006;4.7
205;DA Voedings- en genotmiddelenind.;2007 1e kwartaal;
206;DA Voedings- en genotmiddelenind.;2007 2e kwartaal;
207;DA Voedings- en genotmiddelenind.;2007 3e kwartaal;
208;DA Voedings- en genotmiddelenind.;2007 4e kwartaal;
209;DA Voedings- en genotmiddelenind.;2007;4.5
210;DA Voedings- en genotmiddelenind.;2008 1e kwartaal;4.6
211;DA Voedings- en genotmiddelenind.;2008 2e kwartaal;4.0
212;DA Voedings- en genotmiddelenind.;2008 3e kwartaal;4.1
213;DA Voedings- en genotmiddelenind.;2008 4e kwartaal;4.7
214;DA Voedings- en genotmiddelenind.;2008;4.3
215;DA Voedings- en genotmiddelenind.;2009 1e kwartaal;5.0
216;DA Voedings- en genotmiddelenind.;2009 2e kwartaal;4.2
217;DA Voedings- en genotmiddelenind.;2009 3e kwartaal;4.1
218;DA Voedings- en genotmiddelenind.;2009 4e kwartaal;4.6
219;DA Voedings- en genotmiddelenind.;2009;4.5
220;DA Voedings- en genotmiddelenind.;2010 1e kwartaal;4.4
221;DA Voedings- en genotmiddelenind.;2010 2e kwartaal;4.3
222;DA Voedings- en genotmiddelenind.;2010 3e kwartaal;4.2
223;DA Voedings- en genotmiddelenind.;2010 4e kwartaal;4.3
224;DA Voedings- en genotmiddelenind.;2010;4.3
225;DA Voedings- en genotmiddelenind.;2011 1e kwartaal;5.1
226;DA Voedings- en genotmiddelenind.;2011 2e kwartaal;4.3
227;DA Voedings- en genotmiddelenind.;2011 3e kwartaal;4.3
228;22 Grafische industrie;2004 1e kwartaal;
229;22 Grafische industrie;2004 2e kwartaal;
230;22 Grafische industrie;2004 3e kwartaal;
231;22 Grafische industrie;2004 4e kwartaal;
232;22 Grafische industrie;2004;4.1
233;22 Grafische industrie;2005 1e kwartaal;
234;22 Grafische industrie;2005 2e kwartaal;
235;22 Grafische industrie;2005 3e kwartaal;
236;22 Grafische industrie;2005 4e kwartaal;
237;22 Grafische industrie;2005;4.2
238;22 Grafische industrie;2006 1e kwartaal;
239;22 Grafische industrie;2006 2e kwartaal;
240;22 Grafische industrie;2006 3e kwartaal;
241;22 Grafische industrie;2006 4e kwartaal;
