ID;PriceComponents;VATAndTax;Periods;LessThan569M3_1;k_569Until5687M3_2;k_5687M3AndHigher_3;LessThan28433M3_4;k_28433Until284333M3_5;k_284333Until2843332M3_6;k_2843332Until28433324M3_7;k_28433324M3AndHigher_8;LessThan1MWh_9;k_1Until25MWh_10;k_25Until5MWh_11;k_5Until15MWh_12;k_15MWhAndHigher_13;LessThan20MWh_14;k_20Unitl500MWh_15;k_500Until2000MWh_16;k_2000Until20000MWh_17;k_20000Until70000MWh_18;k_70000Until150000MWh_19;k_150000MWhAndHigher_20
129;Total price;Excluding VAT and tax;2020 1st semester;0.74;0.398;0.317;0.36;0.253;0.186;0.164;0.146;0.405;0.198;0.141;0.097;0.121;0.135;0.082;0.068;0.063;0.059;0.058;0.064
130;Total price;Excluding VAT and tax;2020 2nd semester;0.887;0.405;0.291;0.344;0.256;0.187;0.167;0.149;0.4;0.194;0.137;0.093;0.118;0.125;0.08;0.07;0.064;0.062;0.062;0.056
131;Total price;Excluding VAT and tax;2020;0.799;0.401;0.306;0.349;0.254;0.187;0.165;0.147;0.403;0.196;0.139;0.095;0.12;0.13;0.081;0.069;0.064;0.06;0.06;0.057
132;Total price;Excluding VAT and tax;2021 1st semester;0.656;0.342;0.26;0.32;0.242;0.203;0.196;0.209;0.402;0.193;0.135;0.091;0.123;0.14;0.083;0.072;0.069;0.063;0.06;0.065
133;Total price;Excluding VAT and tax;2021 2nd semester;0.942;0.452;0.334;0.373;0.296;0.348;0.37;0.471;0.424;0.208;0.149;0.104;0.137;0.155;0.095;0.088;0.091;0.086;0.077;0.104
134;Total price;Excluding VAT and tax;2021;0.766;0.385;0.29;0.342;0.268;0.274;0.272;0.323;0.413;0.201;0.142;0.098;0.13;0.148;0.089;0.08;0.08;0.075;0.068;0.085
135;Total price;Excluding VAT and tax;2022 1st semester;0.926;0.596;0.52;0.592;0.436;0.535;0.546;0.756;0.536;0.289;0.22;0.169;0.178;0.219;0.139;0.133;0.138;0.135;0.134;0.15
136;Total price;Excluding VAT and tax;2022 2nd semester;1.572;1.329;1.111;1.153;0.564;0.575;0.688;1.067;0.575;0.372;0.318;0.276;0.286;0.306;0.177;0.146;0.175;0.162;0.154;0.176
137;Total price;Excluding VAT and tax;2022;1.207;0.873;0.722;0.77;0.483;0.551;0.602;0.883;0.554;0.33;0.267;0.22;0.229;0.266;0.16;0.141;0.157;0.148;0.144;0.163
138;Total price;Excluding VAT and tax;2023 1st semester;1.605;1.49;1.313;1.142;0.844;0.644;0.708;0.644;0.783;0.506;0.431;0.375;0.414;0.378;0.217;0.195;0.211;0.199;0.229;0.218
139;Total price;Excluding VAT and tax;2023 2nd semester;1.256;0.783;0.636;0.824;0.729;0.544;0.539;0.437;0.607;0.344;0.266;0.205;0.218;0.268;0.196;0.168;0.19;0.177;0.239;0.194
140;Total price;Excluding VAT and tax;2023;1.446;1.209;1.027;0.999;0.798;0.604;0.628;0.538;0.689;0.423;0.347;0.288;0.315;0.324;0.207;0.181;0.201;0.187;0.234;0.204
141;Total price;Excluding VAT and tax;2024 1st semester;1.007;0.729;0.588;0.728;0.579;0.406;0.427;0.388;0.708;0.386;0.29;0.215;0.231;0.275;0.186;0.153;0.154;0.14;0.184;0.124
142;Total price;Excluding VAT and tax;2024 2nd semester;1.203;0.766;0.571;0.784;0.6;0.42;0.414;0.332;0.672;0.356;0.255;0.179;0.202;0.236;0.19;0.159;0.156;0.143;0.172;0.126
143;Total price;Excluding VAT and tax;2024;1.087;0.743;0.582;0.751;0.588;0.412;0.421;0.363;0.689;0.371;0.273;0.198;0.219;0.257;0.188;0.156;0.155;0.142;0.177;0.123
144;Supply price;Including VAT and tax;2009 1st semester;0.793;0.716;0.687;0.697;0.621;0.443;0.364;0.268;-0.367;0.039;0.138;0.188;0.196;0.178;0.157;0.109;0.1;0.094;0.092;0.07
145;Supply price;Including VAT and tax;2009 2nd semester;0.655;0.551;0.522;0.535;0.545;0.385;0.312;0.226;-0.385;0.029;0.129;0.181;0.143;0.177;0.117;0.104;0.098;0.085;0.082;0.062
146;Supply price;Including VAT and tax;2009;0.735;0.647;0.615;0.638;0.592;0.416;0.338;0.245;-0.376;0.034;0.134;0.185;0.17;0.177;0.137;0.106;0.099;0.09;0.086;0.066
147;Supply price;Including VAT and tax;2010 1st semester;0.67;0.586;0.56;0.571;0.506;0.375;0.286;0.218;-0.395;0.019;0.119;0.17;0.174;0.173;0.145;0.098;0.088;0.077;0.075;0.065
148;Supply price;Including VAT and tax;2010 2nd semester;0.694;0.598;0.563;0.546;0.53;0.342;0.288;0.246;-0.389;0.022;0.12;0.17;0.124;0.16;0.104;0.093;0.088;0.071;0.074;0.067
149;Supply price;Including VAT and tax;2010;0.681;0.592;0.561;0.563;0.517;0.361;0.287;0.232;-0.392;0.021;0.12;0.17;0.152;0.166;0.124;0.096;0.088;0.074;0.075;0.066
150;Supply price;Including VAT and tax;2011 1st semester;0.687;0.596;0.593;0.568;0.53;0.401;0.311;0.278;-0.397;0.018;0.117;0.167;0.173;0.146;0.135;0.094;0.085;0.074;0.073;0.066
151;Supply price;Including VAT and tax;2011 2nd semester;0.795;0.659;0.639;0.608;0.565;0.358;0.301;0.288;-0.397;0.018;0.117;0.168;0.125;0.144;0.097;0.089;0.085;0.069;0.075;0.068
152;Supply price;Including VAT and tax;2011;0.732;0.622;0.613;0.585;0.546;0.383;0.306;0.283;-0.397;0.018;0.117;0.167;0.148;0.145;0.116;0.092;0.085;0.072;0.074;0.067
153;Supply price;Including VAT and tax;2012 1st semester;0.733;0.645;0.631;0.628;0.563;0.422;0.333;0.306;-0.406;0.019;0.119;0.17;0.178;0.149;0.136;0.09;0.081;0.071;0.068;0.06
154;Supply price;Including VAT and tax;2012 2nd semester;0.834;0.707;0.669;0.662;0.571;0.389;0.339;0.315;-0.442;0.01;0.116;0.169;0.127;0.146;0.095;0.089;0.083;0.07;0.068;0.066
155;Supply price;Including VAT and tax;2012;0.774;0.669;0.646;0.639;0.566;0.407;0.336;0.311;-0.423;0.014;0.118;0.17;0.153;0.148;0.116;0.089;0.082;0.071;0.068;0.063
156;Supply price;Including VAT and tax;2013 1st semester;0.782;0.697;0.711;0.668;0.618;0.479;0.363;0.333;-0.424;0.015;0.119;0.172;0.178;0.154;0.145;0.089;0.084;0.074;0.07;0.068
157;Supply price;Including VAT and tax;2013 2nd semester;0.862;0.7;0.689;0.667;0.636;0.397;0.345;0.329;-0.447;0.009;0.117;0.171;0.125;0.161;0.102;0.087;0.082;0.07;0.07;0.066
158;Supply price;Including VAT and tax;2013;0.81;0.698;0.703;0.668;0.627;0.446;0.357;0.332;-0.435;0.012;0.118;0.171;0.153;0.158;0.123;0.088;0.083;0.071;0.07;0.067
159;Supply price;Including VAT and tax;2014 1st semester;0.824;0.686;0.668;0.666;0.636;0.472;0.349;0.307;-0.464;0.004;0.115;0.17;0.184;0.164;0.139;0.088;0.08;0.069;0.064;0.057
160;Supply price;Including VAT and tax;2014 2nd semester;0.87;0.69;0.664;0.662;0.64;0.383;0.306;0.264;-0.478;-0.003;0.11;0.167;0.121;0.156;0.094;0.081;0.076;0.061;0.06;0.057
161;Supply price;Including VAT and tax;2014;0.844;0.688;0.666;0.664;0.638;0.433;0.328;0.286;-0.471;0.0;0.112;0.169;0.153;0.16;0.116;0.084;0.078;0.065;0.062;0.057
162;Supply price;Including VAT and tax;2015 1st semester;0.783;0.666;0.647;0.652;0.609;0.448;0.348;0.286;-0.321;0.039;0.132;0.178;0.183;0.158;0.137;0.086;0.078;0.067;0.062;0.059
163;Supply price;Including VAT and tax;2015 2nd semester;0.869;0.658;0.62;0.637;0.627;0.366;0.298;0.252;-0.389;0.019;0.118;0.169;0.119;0.153;0.092;0.079;0.076;0.058;0.058;0.056
164;Supply price;Including VAT and tax;2015;0.816;0.663;0.631;0.646;0.616;0.418;0.326;0.27;-0.354;0.029;0.126;0.174;0.138;0.155;0.115;0.082;0.077;0.062;0.06;0.057
165;Supply price;Including VAT and tax;2016 1st semester;0.822;0.694;0.667;0.684;0.644;0.44;0.29;0.201;-0.402;-0.003;0.095;0.145;0.162;0.123;0.135;0.082;0.072;0.06;0.056;0.05
166;Supply price;Including VAT and tax;2016 2nd semester;0.857;0.672;0.642;0.671;0.625;0.325;0.27;0.205;-0.394;-0.004;0.093;0.143;0.121;0.115;0.091;0.075;0.072;0.052;0.053;0.051
167;Supply price;Including VAT and tax;2016;0.836;0.685;0.657;0.678;0.636;0.394;0.281;0.203;-0.398;-0.003;0.094;0.144;0.141;0.119;0.113;0.079;0.072;0.056;0.054;0.05
168;Supply price;Including VAT and tax;2017 1st semester;0.795;0.664;0.621;0.66;0.615;0.418;0.285;0.231;-0.4;-0.006;0.092;0.143;0.157;0.129;0.135;0.077;0.07;0.059;0.052;0.049
169;Supply price;Including VAT and tax;2017 2nd semester;0.875;0.678;0.625;0.652;0.6;0.302;0.254;0.222;-0.405;-0.008;0.091;0.142;0.119;0.134;0.083;0.07;0.068;0.047;0.047;0.048
170;Supply price;Including VAT and tax;2017;0.827;0.67;0.623;0.656;0.609;0.366;0.27;0.226;-0.403;-0.007;0.091;0.142;0.138;0.131;0.11;0.073;0.069;0.053;0.049;0.048
171;Supply price;Including VAT and tax;2018 1st semester;0.832;0.703;0.676;0.66;0.633;0.439;0.297;0.255;-0.364;0.009;0.104;0.154;0.171;0.089;0.144;0.082;0.072;0.062;0.053;0.049
172;Supply price;Including VAT and tax;2018 2nd semester;0.942;0.715;0.662;0.678;0.615;0.335;0.28;0.293;-0.394;0.005;0.104;0.157;0.135;0.123;0.1;0.076;0.075;0.054;0.056;0.054
173;Supply price;Including VAT and tax;2018;0.876;0.708;0.67;0.667;0.625;0.393;0.289;0.283;-0.38;0.007;0.104;0.155;0.153;0.096;0.122;0.079;0.074;0.058;0.055;0.052
174;Supply price;Including VAT and tax;2019 1st semester;0.97;0.815;0.788;0.778;0.714;0.443;0.296;0.252;-0.222;0.065;0.137;0.18;0.196;0.144;0.134;0.091;0.085;0.07;0.064;0.058
175;Supply price;Including VAT and tax;2019 2nd semester;1.05;0.815;0.762;0.755;0.651;0.32;0.234;0.178;-0.207;0.065;0.136;0.179;0.166;0.125;0.098;0.086;0.084;0.057;0.056;0.056
176;Supply price;Including VAT and tax;2019;1.005;0.815;0.777;0.768;0.683;0.392;0.267;0.222;-0.215;0.065;0.137;0.18;0.181;0.135;0.116;0.088;0.084;0.063;0.06;0.057
177;Supply price;Including VAT and tax;2020 1st semester;1.035;0.878;0.844;0.838;0.763;0.447;0.272;0.211;-0.535;-0.06;0.072;0.153;0.192;0.159;0.145;0.106;0.099;0.075;0.066;0.059
178;Supply price;Including VAT and tax;2020 2nd semester;1.102;0.852;0.799;0.802;0.763;0.311;0.24;0.205;-0.577;-0.073;0.064;0.147;0.162;0.159;0.107;0.101;0.099;0.06;0.062;0.058
179;Supply price;Including VAT and tax;2020;1.061;0.867;0.826;0.818;0.763;0.371;0.257;0.208;-0.555;-0.066;0.068;0.15;0.178;0.159;0.121;0.103;0.099;0.069;0.064;0.059
180;Supply price;Including VAT and tax;2021 1st semester;0.994;0.843;0.804;0.819;0.776;0.47;0.316;0.287;-0.595;-0.089;0.052;0.14;0.185;0.154;0.148;0.11;0.105;0.08;0.064;0.061
181;Supply price;Including VAT and tax;2021 2nd semester;1.19;0.931;0.877;0.857;0.837;0.507;0.489;0.597;-0.593;-0.075;0.068;0.155;0.176;0.162;0.125;0.124;0.132;0.087;0.075;0.107
182;Supply price;Including VAT and tax;2021;1.065;0.876;0.833;0.835;0.805;0.488;0.392;0.422;-0.594;-0.082;0.06;0.148;0.18;0.158;0.136;0.117;0.119;0.084;0.069;0.085
183;Supply price;Including VAT and tax;2022 1st semester;1.293;1.165;1.136;1.148;1.03;0.887;0.745;0.946;-1.031;-0.258;-0.032;0.109;0.203;0.121;0.199;0.18;0.185;0.166;0.153;0.163
184;Supply price;Including VAT and tax;2022 2nd semester;1.737;1.812;1.656;1.632;1.061;0.706;0.788;1.178;-0.783;-0.114;0.093;0.222;0.325;0.231;0.197;0.171;0.206;0.16;0.153;0.174
185;Supply price;Including VAT and tax;2022;1.488;1.408;1.313;1.3;1.041;0.814;0.762;1.041;-0.899;-0.186;0.029;0.164;0.262;0.18;0.198;0.175;0.196;0.163;0.153;0.168
186;Supply price;Including VAT and tax;2023 1st semester;1.653;1.795;2.083;1.82;1.546;1.005;0.941;0.807;-0.45;0.066;0.27;0.427;0.538;0.413;0.297;0.249;0.267;0.237;0.257;0.236
187;Supply price;Including VAT and tax;2023 2nd semester;1.518;1.344;1.295;1.423;1.401;0.735;0.693;0.54;-0.457;0.005;0.162;0.258;0.286;0.269;0.233;0.216;0.241;0.189;0.259;0.211
188;Supply price;Including VAT and tax;2023;1.595;1.617;1.752;1.639;1.487;0.896;0.824;0.671;-0.453;0.034;0.215;0.34;0.412;0.342;0.266;0.232;0.254;0.211;0.258;0.221
189;Supply price;Including VAT and tax;2024 1st semester;1.555;1.435;1.373;1.463;1.347;0.862;0.715;0.536;-0.536;-0.02;0.143;0.239;0.29;0.237;0.24;0.192;0.189;0.164;0.189;0.116
190;Supply price;Including VAT and tax;2024 2nd semester;1.597;1.398;1.329;1.473;1.352;0.715;0.633;0.42;-0.677;-0.084;0.092;0.188;0.237;0.224;0.211;0.194;0.19;0.14;0.16;0.104
191;Supply price;Including VAT and tax;2024;1.575;1.42;1.357;1.467;1.349;0.793;0.68;0.483;-0.611;-0.052;0.118;0.215;0.268;0.231;0.226;0.193;0.19;0.153;0.174;0.109
192;Supply price;Excluding VAT and including tax;2009 1st semester;0.667;0.602;0.577;0.585;0.522;0.372;0.306;0.225;-0.308;0.033;0.116;0.158;0.165;0.15;0.132;0.092;0.084;0.079;0.077;0.059
193;Supply price;Excluding VAT and including tax;2009 2nd semester;0.55;0.463;0.438;0.449;0.458;0.323;0.262;0.19;-0.324;0.025;0.109;0.152;0.12;0.148;0.099;0.087;0.082;0.071;0.069;0.052
194;Supply price;Excluding VAT and including tax;2009;0.618;0.543;0.517;0.536;0.497;0.35;0.284;0.206;-0.316;0.029;0.112;0.155;0.143;0.149;0.115;0.089;0.083;0.075;0.073;0.055
195;Supply price;Excluding VAT and including tax;2010 1st semester;0.563;0.493;0.471;0.48;0.426;0.315;0.241;0.184;-0.332;0.016;0.1;0.143;0.146;0.145;0.122;0.083;0.074;0.064;0.063;0.055
196;Supply price;Excluding VAT and including tax;2010 2nd semester;0.583;0.503;0.473;0.459;0.446;0.288;0.242;0.206;-0.327;0.019;0.101;0.143;0.105;0.134;0.087;0.078;0.074;0.06;0.063;0.056
197;Supply price;Excluding VAT and including tax;2010;0.572;0.497;0.472;0.473;0.434;0.303;0.241;0.195;-0.33;0.017;0.1;0.143;0.128;0.14;0.104;0.08;0.074;0.062;0.063;0.056
198;Supply price;Excluding VAT and including tax;2011 1st semester;0.578;0.501;0.499;0.478;0.446;0.337;0.261;0.234;-0.334;0.015;0.098;0.14;0.145;0.123;0.114;0.079;0.071;0.062;0.061;0.056
199;Supply price;Excluding VAT and including tax;2011 2nd semester;0.668;0.554;0.537;0.511;0.475;0.301;0.253;0.242;-0.334;0.015;0.099;0.141;0.105;0.121;0.081;0.075;0.071;0.058;0.063;0.057
200;Supply price;Excluding VAT and including tax;2011;0.615;0.523;0.515;0.492;0.459;0.321;0.257;0.238;-0.334;0.015;0.098;0.141;0.125;0.122;0.097;0.077;0.071;0.06;0.062;0.056
201;Supply price;Excluding VAT and including tax;2012 1st semester;0.616;0.542;0.53;0.528;0.473;0.355;0.28;0.257;-0.341;0.016;0.1;0.143;0.15;0.125;0.115;0.075;0.068;0.06;0.058;0.051
202;Supply price;Excluding VAT and including tax;2012 2nd semester;0.692;0.586;0.555;0.55;0.474;0.323;0.282;0.263;-0.368;0.008;0.096;0.141;0.105;0.122;0.079;0.074;0.07;0.058;0.057;0.055
203;Supply price;Excluding VAT and including tax;2012;0.646;0.559;0.54;0.535;0.474;0.34;0.281;0.261;-0.354;0.012;0.098;0.142;0.128;0.124;0.097;0.075;0.069;0.059;0.057;0.053
204;Supply price;Excluding VAT and including tax;2013 1st semester;0.646;0.576;0.588;0.552;0.511;0.396;0.3;0.275;-0.35;0.012;0.099;0.142;0.147;0.127;0.12;0.073;0.069;0.061;0.058;0.056
205;Supply price;Excluding VAT and including tax;2013 2nd semester;0.712;0.579;0.569;0.551;0.526;0.328;0.285;0.272;-0.37;0.007;0.096;0.141;0.103;0.133;0.084;0.072;0.067;0.058;0.058;0.055
206;Supply price;Excluding VAT and including tax;2013;0.67;0.577;0.581;0.552;0.518;0.369;0.295;0.275;-0.36;0.01;0.097;0.142;0.126;0.13;0.101;0.072;0.068;0.059;0.058;0.055
207;Supply price;Excluding VAT and including tax;2014 1st semester;0.681;0.567;0.552;0.55;0.526;0.39;0.289;0.254;-0.383;0.003;0.095;0.141;0.152;0.135;0.115;0.073;0.066;0.057;0.053;0.047
208;Supply price;Excluding VAT and including tax;2014 2nd semester;0.719;0.57;0.549;0.547;0.529;0.317;0.253;0.219;-0.395;-0.003;0.091;0.138;0.1;0.129;0.078;0.067;0.063;0.05;0.05;0.047
209;Supply price;Excluding VAT and including tax;2014;0.698;0.568;0.551;0.549;0.527;0.358;0.271;0.237;-0.389;0.0;0.093;0.14;0.127;0.132;0.096;0.07;0.065;0.054;0.052;0.047
210;Supply price;Excluding VAT and including tax;2015 1st semester;0.647;0.551;0.534;0.539;0.503;0.37;0.287;0.237;-0.265;0.032;0.109;0.147;0.151;0.13;0.113;0.071;0.064;0.055;0.051;0.048
211;Supply price;Excluding VAT and including tax;2015 2nd semester;0.718;0.544;0.513;0.527;0.518;0.303;0.246;0.208;-0.321;0.016;0.098;0.14;0.098;0.126;0.076;0.065;0.063;0.048;0.048;0.046
212;Supply price;Excluding VAT and including tax;2015;0.674;0.548;0.522;0.534;0.509;0.346;0.269;0.223;-0.292;0.024;0.104;0.144;0.114;0.128;0.095;0.068;0.064;0.052;0.049;0.047
213;Supply price;Excluding VAT and including tax;2016 1st semester;0.679;0.574;0.551;0.565;0.532;0.363;0.24;0.166;-0.333;-0.002;0.079;0.12;0.134;0.102;0.111;0.068;0.06;0.049;0.046;0.041
214;Supply price;Excluding VAT and including tax;2016 2nd semester;0.708;0.555;0.531;0.555;0.517;0.269;0.223;0.169;-0.326;-0.003;0.077;0.118;0.1;0.095;0.075;0.062;0.059;0.043;0.044;0.042
215;Supply price;Excluding VAT and including tax;2016;0.691;0.566;0.543;0.56;0.526;0.326;0.232;0.168;-0.329;-0.003;0.078;0.119;0.117;0.098;0.094;0.065;0.06;0.046;0.045;0.041
216;Supply price;Excluding VAT and including tax;2017 1st semester;0.657;0.549;0.513;0.545;0.508;0.345;0.235;0.191;-0.331;-0.005;0.076;0.118;0.13;0.106;0.112;0.064;0.058;0.049;0.043;0.041
217;Supply price;Excluding VAT and including tax;2017 2nd semester;0.723;0.56;0.517;0.539;0.496;0.25;0.21;0.183;-0.335;-0.007;0.075;0.117;0.098;0.111;0.069;0.058;0.056;0.039;0.039;0.04
218;Supply price;Excluding VAT and including tax;2017;0.683;0.553;0.515;0.543;0.503;0.303;0.223;0.187;-0.333;-0.006;0.075;0.118;0.114;0.108;0.091;0.061;0.057;0.044;0.04;0.04
219;Supply price;Excluding VAT and including tax;2018 1st semester;0.687;0.581;0.559;0.545;0.523;0.362;0.246;0.211;-0.301;0.007;0.086;0.127;0.141;0.074;0.119;0.068;0.06;0.051;0.044;0.041
220;Supply price;Excluding VAT and including tax;2018 2nd semester;0.778;0.591;0.547;0.56;0.508;0.276;0.231;0.242;-0.326;0.004;0.086;0.129;0.112;0.101;0.083;0.063;0.062;0.045;0.046;0.045
221;Supply price;Excluding VAT and including tax;2018;0.723;0.585;0.554;0.551;0.516;0.324;0.239;0.234;-0.314;0.005;0.086;0.128;0.127;0.079;0.101;0.065;0.061;0.048;0.045;0.043
222;Supply price;Excluding VAT and including tax;2019 1st semester;0.802;0.673;0.651;0.643;0.59;0.366;0.245;0.208;-0.183;0.054;0.113;0.149;0.162;0.119;0.111;0.075;0.07;0.058;0.053;0.048
223;Supply price;Excluding VAT and including tax;2019 2nd semester;0.868;0.673;0.63;0.624;0.538;0.265;0.193;0.147;-0.171;0.054;0.112;0.148;0.137;0.103;0.081;0.071;0.07;0.047;0.046;0.046
224;Supply price;Excluding VAT and including tax;2019;0.831;0.673;0.642;0.634;0.565;0.324;0.221;0.183;-0.177;0.054;0.113;0.149;0.15;0.111;0.096;0.073;0.07;0.052;0.05;0.047
225;Supply price;Excluding VAT and including tax;2020 1st semester;0.855;0.725;0.698;0.693;0.631;0.369;0.224;0.174;-0.443;-0.05;0.059;0.127;0.159;0.131;0.12;0.088;0.082;0.062;0.054;0.049
226;Supply price;Excluding VAT and including tax;2020 2nd semester;0.911;0.704;0.661;0.663;0.63;0.257;0.199;0.17;-0.477;-0.06;0.053;0.122;0.134;0.131;0.089;0.084;0.082;0.049;0.051;0.048
227;Supply price;Excluding VAT and including tax;2020;0.876;0.716;0.682;0.676;0.63;0.306;0.212;0.172;-0.458;-0.055;0.056;0.124;0.147;0.131;0.1;0.085;0.082;0.057;0.053;0.048
228;Supply price;Excluding VAT and including tax;2021 1st semester;0.821;0.696;0.665;0.677;0.642;0.388;0.261;0.237;-0.492;-0.073;0.043;0.116;0.153;0.127;0.122;0.091;0.087;0.066;0.053;0.051
229;Supply price;Excluding VAT and including tax;2021 2nd semester;0.983;0.769;0.725;0.709;0.692;0.419;0.404;0.493;-0.49;-0.062;0.056;0.128;0.146;0.134;0.103;0.102;0.109;0.072;0.062;0.088
230;Supply price;Excluding VAT and including tax;2021;0.88;0.724;0.689;0.69;0.665;0.403;0.324;0.349;-0.491;-0.068;0.05;0.122;0.149;0.131;0.112;0.097;0.098;0.069;0.057;0.07
231;Supply price;Excluding VAT and including tax;2022 1st semester;1.069;0.962;0.939;0.949;0.851;0.733;0.616;0.782;-0.852;-0.214;-0.026;0.09;0.167;0.1;0.165;0.148;0.153;0.137;0.127;0.135
232;Supply price;Excluding VAT and including tax;2022 2nd semester;1.593;1.663;1.519;1.497;0.973;0.648;0.723;1.081;-0.718;-0.105;0.085;0.204;0.298;0.212;0.181;0.157;0.189;0.146;0.14;0.159
233;Supply price;Excluding VAT and including tax;2022;1.3;1.226;1.136;1.121;0.895;0.699;0.658;0.904;-0.781;-0.159;0.029;0.145;0.231;0.16;0.173;0.153;0.171;0.142;0.133;0.147
234;Supply price;Excluding VAT and including tax;2023 1st semester;1.366;1.484;1.722;1.504;1.278;0.831;0.778;0.667;-0.372;0.055;0.223;0.353;0.445;0.342;0.245;0.205;0.221;0.196;0.212;0.195
235;Supply price;Excluding VAT and including tax;2023 2nd semester;1.254;1.111;1.07;1.176;1.158;0.607;0.573;0.446;-0.377;0.004;0.134;0.213;0.237;0.222;0.193;0.178;0.199;0.156;0.214;0.174
236;Supply price;Excluding VAT and including tax;2023;1.318;1.336;1.448;1.355;1.229;0.741;0.681;0.554;-0.374;0.028;0.178;0.281;0.34;0.283;0.22;0.192;0.21;0.175;0.213;0.183
237;Supply price;Excluding VAT and including tax;2024 1st semester;1.285;1.186;1.134;1.209;1.114;0.712;0.591;0.443;-0.443;-0.017;0.118;0.197;0.239;0.196;0.198;0.159;0.157;0.136;0.156;0.096
238;Supply price;Excluding VAT and including tax;2024 2nd semester;1.32;1.156;1.098;1.217;1.117;0.591;0.523;0.347;-0.559;-0.07;0.076;0.156;0.196;0.185;0.175;0.16;0.157;0.116;0.132;0.086
239;Supply price;Excluding VAT and including tax;2024;1.302;1.173;1.121;1.213;1.115;0.656;0.562;0.399;-0.505;-0.043;0.098;0.178;0.221;0.191;0.187;0.159;0.157;0.126;0.144;0.09
240;Supply price;Excluding VAT and tax;2009 1st semester;0.509;0.444;0.427;0.428;0.381;0.296;0.276;0.216;0.126;0.102;0.097;0.094;0.095;0.094;0.085;0.077;0.073;0.072;0.074;0.058
241;Supply price;Excluding VAT and tax;2009 2nd semester;0.392;0.305;0.3;0.303;0.327;0.285;0.25;0.182;0.121;0.097;0.091;0.089;0.09;0.088;0.084;0.077;0.072;0.071;0.068;0.052
242;Supply price;Excluding VAT and tax;2009;0.46;0.385;0.372;0.383;0.36;0.291;0.263;0.198;0.123;0.1;0.094;0.091;0.092;0.091;0.084;0.077;0.072;0.072;0.071;0.054
243;Supply price;Excluding VAT and tax;2010 1st semester;0.4;0.33;0.317;0.318;0.282;0.236;0.214;0.174;0.108;0.085;0.08;0.077;0.074;0.08;0.075;0.068;0.063;0.058;0.06;0.053
244;Supply price;Excluding VAT and tax;2010 2nd semester;0.42;0.34;0.332;0.315;0.308;0.251;0.23;0.198;0.109;0.085;0.079;0.076;0.073;0.083;0.073;0.068;0.063;0.059;0.062;0.056
245;Supply price;Excluding VAT and tax;2010;0.409;0.334;0.323;0.317;0.293;0.243;0.222;0.186;0.108;0.085;0.079;0.076;0.074;0.082;0.074;0.068;0.063;0.059;0.061;0.055
246;Supply price;Excluding VAT and tax;2011 1st semester;0.414;0.337;0.337;0.315;0.301;0.251;0.234;0.225;0.109;0.083;0.077;0.074;0.071;0.076;0.07;0.064;0.06;0.056;0.058;0.054
247;Supply price;Excluding VAT and tax;2011 2nd semester;0.504;0.39;0.394;0.357;0.333;0.265;0.241;0.234;0.111;0.084;0.078;0.075;0.073;0.08;0.071;0.064;0.061;0.057;0.062;0.056
248;Supply price;Excluding VAT and tax;2011;0.452;0.359;0.361;0.332;0.315;0.257;0.237;0.229;0.11;0.084;0.077;0.074;0.072;0.078;0.071;0.064;0.06;0.057;0.06;0.055
249;Supply price;Excluding VAT and tax;2012 1st semester;0.449;0.375;0.368;0.362;0.327;0.267;0.251;0.248;0.114;0.085;0.079;0.075;0.074;0.078;0.068;0.06;0.056;0.054;0.055;0.049
250;Supply price;Excluding VAT and tax;2012 2nd semester;0.525;0.419;0.41;0.388;0.33;0.285;0.27;0.255;0.116;0.086;0.079;0.075;0.074;0.078;0.068;0.063;0.059;0.058;0.057;0.055
251;Supply price;Excluding VAT and tax;2012;0.48;0.392;0.385;0.37;0.328;0.275;0.26;0.252;0.115;0.086;0.079;0.075;0.074;0.078;0.068;0.062;0.057;0.056;0.056;0.052
252;Supply price;Excluding VAT and tax;2013 1st semester;0.458;0.387;0.399;0.364;0.323;0.284;0.269;0.263;0.114;0.083;0.076;0.072;0.067;0.08;0.067;0.058;0.057;0.054;0.055;0.054
253;Supply price;Excluding VAT and tax;2013 2nd semester;0.524;0.39;0.381;0.363;0.337;0.285;0.269;0.26;0.117;0.085;0.077;0.073;0.07;0.081;0.067;0.06;0.056;0.055;0.057;0.054
254;Supply price;Excluding VAT and tax;2013;0.481;0.388;0.393;0.363;0.33;0.284;0.269;0.262;0.116;0.084;0.076;0.072;0.068;0.08;0.067;0.059;0.057;0.055;0.056;0.054
255;Supply price;Excluding VAT and tax;2014 1st semester;0.487;0.373;0.358;0.356;0.332;0.275;0.255;0.24;0.122;0.085;0.075;0.071;0.065;0.081;0.063;0.056;0.053;0.05;0.05;0.046
256;Supply price;Excluding VAT and tax;2014 2nd semester;0.525;0.376;0.355;0.353;0.335;0.272;0.236;0.206;0.123;0.084;0.075;0.07;0.065;0.08;0.062;0.055;0.053;0.05;0.049;0.047
257;Supply price;Excluding VAT and tax;2014;0.504;0.374;0.357;0.355;0.333;0.274;0.246;0.224;0.122;0.084;0.075;0.07;0.065;0.08;0.063;0.056;0.053;0.05;0.05;0.046
258;Supply price;Excluding VAT and tax;2015 1st semester;0.449;0.352;0.336;0.341;0.305;0.257;0.243;0.221;0.116;0.082;0.073;0.069;0.065;0.081;0.06;0.053;0.05;0.048;0.048;0.047
