ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
2759;Lettersveld II;Borne                                   ;Buurt     ;BU01470006;1;1500;345;1155;1280;225;1.2;2290.0;115;170
2760;Tichelkamp;Borne                                   ;Buurt     ;BU01470007;1;580;140;440;490;90;1.2;1625.0;80;110
2761;Stroom-Esch;Borne                                   ;Buurt     ;BU01470008;1;1880;655;1220;1555;325;1.2;1811.0;155;150
2762;Verspreide huizen Borne-West;Borne                                   ;Buurt     ;BU01470009;1;125;35;90;105;15;0.5;29.0;25;20
2763;Wijk 01 Buitengebied Borne;Borne                                   ;Wijk      ;WK014701  ;1;1120;330;790;880;245;1.4;74.0;155;120
2764;Verspreide huizen Borne-Oost;Borne                                   ;Buurt     ;BU01470100;1;145;50;95;115;30;1.5;93.0;5;10
2765;Zenderen;Borne                                   ;Buurt     ;BU01470101;1;545;165;380;435;110;1.4;1084.0;85;60
2766;Verspreide huizen Zenderen;Borne                                   ;Buurt     ;BU01470102;1;170;45;125;125;50;1.5;21.0;30;25
2767;Hertme;Borne                                   ;Buurt     ;BU01470105;1;150;40;110;120;25;1.4;256.0;15;15
2768;Verspreide huizen Hertme;Borne                                   ;Buurt     ;BU01470106;1;115;30;85;85;30;1.6;26.0;15;5
2769;Borsele;Borsele                                 ;Gemeente  ;GM0654    ;.;12000;2825;9175;10040;1960;1.3;85.0;1420;1695
2770;Niet nader toe te delen;Borsele                                 ;          ;          ; ;0;0;0;0;0;;;0;0
2771;Wel nader toe te delen;Borsele                                 ;          ;          ; ;12000;2825;9175;10040;1960;;;1420;1690
2772;Baarland;Borsele                                 ;Wijk      ;WK065401  ;3;370;70;300;305;65;1.4;45.0;35;60
2773;Baarland (Kern);Borsele                                 ;Buurt     ;BU06540101;2;275;45;225;235;40;1.4;898.0;30;45
2774;Verspreide huizen Baarland;Borsele                                 ;Buurt     ;BU06540102;2;95;25;75;70;25;1.5;12.0;5;15
2775;Borssele;Borsele                                 ;Wijk      ;WK065402  ;3;685;100;585;565;120;1.3;61.0;80;160
2776;Borssele (Kern);Borsele                                 ;Buurt     ;BU06540201;2;580;90;490;480;100;1.3;1045.0;65;135
2777;Verspreide huizen Borssele;Borsele                                 ;Buurt     ;BU06540202;2;105;10;95;85;25;1.5;10.0;15;25
2778;Driewegen;Borsele                                 ;Wijk      ;WK065403  ;3;350;80;270;275;80;1.4;58.0;55;25
2779;Driewegen (Kern);Borsele                                 ;Buurt     ;BU06540301;2;230;60;175;185;50;1.3;566.0;35;20
2780;Verspreide huizen Driewegen;Borsele                                 ;Buurt     ;BU06540302;2;120;25;95;90;30;1.7;21.0;20;5
2781;Ellewoutsdijk;Borsele                                 ;Wijk      ;WK065404  ;3;245;55;190;205;40;1.3;37.0;45;50
2782;Ellewoutsdijk (Kern);Borsele                                 ;Buurt     ;BU06540401;2;205;45;160;170;30;1.3;535.0;35;40
2783;Verspreide huizen Ellewoutsdijk;Borsele                                 ;Buurt     ;BU06540402;2;40;10;30;30;10;;;10;10
2784;Heinkenszand;Borsele                                 ;Wijk      ;WK065405  ;3;2920;805;2110;2490;425;1.2;242.0;265;395
2785;Heinkenszand (Kern);Borsele                                 ;Buurt     ;BU06540501;2;2605;745;1860;2240;365;1.2;1350.0;240;330
2786;Verspreide huizen Heinkenszand;Borsele                                 ;Buurt     ;BU06540502;2;310;60;250;250;60;1.3;31.0;30;60
2787;Hoedekenskerke;Borsele                                 ;Wijk      ;WK065406  ;3;405;75;330;325;85;1.4;67.0;60;50
2788;Hoedekenskerke (Kern);Borsele                                 ;Buurt     ;BU06540601;2;310;55;260;260;55;1.3;1077.0;55;45
2789;Verspreide huizen Hoedekenskerke;Borsele                                 ;Buurt     ;BU06540602;2;95;20;75;65;30;1.6;16.0;5;10
2790;Kwadendamme;Borsele                                 ;Wijk      ;WK065407  ;3;555;120;440;460;100;1.3;89.0;65;80
2791;Kwadendamme (Kern);Borsele                                 ;Buurt     ;BU06540701;2;345;70;275;300;45;1.2;1524.0;40;40
2792;Verspreide huizen Kwadendamme;Borsele                                 ;Buurt     ;BU06540702;2;210;45;165;160;50;1.5;35.0;30;40
2793;Lewedorp;Borsele                                 ;Wijk      ;WK065408  ;3;975;240;735;825;150;1.3;67.0;145;140
2794;Lewedorp (Kern);Borsele                                 ;Buurt     ;BU06540801;2;675;155;520;590;85;1.3;1912.0;85;90
2795;Verspreide huizen Lewedorp;Borsele                                 ;Buurt     ;BU06540802;2;300;85;220;230;70;1.4;21.0;55;50
2796;Nieuwdorp;Borsele                                 ;Wijk      ;WK065409  ;3;620;130;490;510;110;1.3;41.0;100;115
2797;Nieuwdorp (Kern);Borsele                                 ;Buurt     ;BU06540901;2;480;90;390;400;80;1.2;1196.0;85;90
2798;Verspreide huizen Nieuwdorp;Borsele                                 ;Buurt     ;BU06540902;2;135;40;100;105;30;1.4;32.0;15;20
2799;Havengebied Sloe;Borsele                                 ;Buurt     ;BU06540903;2;0;0;0;0;0;;;0;0
2800;Nisse;Borsele                                 ;Wijk      ;WK065410  ;3;370;100;270;300;75;1.4;37.0;50;50
2801;Nisse (Kern);Borsele                                 ;Buurt     ;BU06541001;2;305;90;215;245;60;1.5;891.0;40;40
2802;Verspreide huizen Nisse;Borsele                                 ;Buurt     ;BU06541002;2;70;10;60;55;15;1.3;7.0;10;10
2803;Oudelande;Borsele                                 ;Wijk      ;WK065411  ;3;445;105;340;350;95;1.5;53.0;65;80
2804;Oudelande (Kern);Borsele                                 ;Buurt     ;BU06541101;2;295;70;225;235;60;1.4;725.0;45;30
2805;Verspreide huizen Oudelande;Borsele                                 ;Buurt     ;BU06541102;2;150;35;110;115;35;1.8;19.0;20;50
2806;Ovezande;Borsele                                 ;Wijk      ;WK065412  ;3;680;140;540;570;110;1.3;74.0;105;80
2807;Ovezande (Kern);Borsele                                 ;Buurt     ;BU06541201;2;490;100;390;420;70;1.2;1099.0;85;65
2808;Verspreide huizen Ovezande;Borsele                                 ;Buurt     ;BU06541202;2;190;40;145;150;40;1.5;21.0;20;15
2809;'s-Gravenpolder;Borsele                                 ;Wijk      ;WK065413  ;3;2045;470;1575;1750;290;1.2;257.0;170;235
2810;'s-Gravenpolder (Kern);Borsele                                 ;Buurt     ;BU06541301;2;1920;450;1470;1660;260;1.2;1367.0;160;215
2811;Verspreide huizen 's-Gravenpolder;Borsele                                 ;Buurt     ;BU06541302;2;120;20;105;90;30;1.4;18.0;10;20
2812;'s-Heer Abtskerke;Borsele                                 ;Wijk      ;WK065414  ;3;295;75;220;235;60;1.4;27.0;40;45
2813;'s-Heer Abtskerke (Kern);Borsele                                 ;Buurt     ;BU06541401;2;215;65;150;170;45;1.4;857.0;30;25
2814;Verspreide huizen 's-Heer Abtskerke;Borsele                                 ;Buurt     ;BU06541402;2;80;10;70;60;20;1.4;8.0;10;15
2815;'s-Heerenhoek;Borsele                                 ;Wijk      ;WK065415  ;3;1040;265;780;885;155;1.2;115.0;135;125
2816;'s-Heerenhoek (Kern);Borsele                                 ;Buurt     ;BU06541501;2;875;225;645;760;110;1.2;1362.0;110;100
2817;Verspreide huizen 's-Heerenhoek;Borsele                                 ;Buurt     ;BU06541502;2;170;40;130;125;45;1.3;20.0;25;25
2818;Boxmeer;Boxmeer                                 ;Gemeente  ;GM0756    ;.;14245;3340;10905;11385;2860;1.2;128.0;1335;1435
2819;Niet nader toe te delen;Boxmeer                                 ;          ;          ; ;5;0;5;5;0;;;0;5
2820;Wel nader toe te delen;Boxmeer                                 ;          ;          ; ;14240;3340;10900;11380;2860;;;1330;1430
2821;Wijk 00 Boxmeer;Boxmeer                                 ;Wijk      ;WK075600  ;1;5570;1380;4190;4575;995;1.0;521.0;445;565
2822;Boxmeer Centrum;Boxmeer                                 ;Buurt     ;BU07560000;1;775;170;605;645;130;0.9;1374.0;40;65
2823;Bakelgeert-Noord;Boxmeer                                 ;Buurt     ;BU07560001;1;1075;200;875;915;160;0.9;2431.0;80;105
2824;Bakelgeert-Zuid;Boxmeer                                 ;Buurt     ;BU07560002;1;455;105;350;385;70;0.9;1172.0;60;55
2825;De Elzen;Boxmeer                                 ;Buurt     ;BU07560003;1;605;165;440;495;110;1.0;1362.0;55;55
2826;Villapark 't Zand;Boxmeer                                 ;Buurt     ;BU07560004;1;240;60;180;195;50;1.3;613.0;15;5
2827;Luneven;Boxmeer                                 ;Buurt     ;BU07560005;1;1285;340;945;1050;235;1.1;2111.0;100;175
2828;Hollesteeg;Boxmeer                                 ;Buurt     ;BU07560006;1;670;195;475;520;150;1.2;2055.0;50;55
2829;Maasbroeksche Blokken;Boxmeer                                 ;Buurt     ;BU07560007;1;285;105;175;225;55;1.3;843.0;25;25
2830;Bedrijventerrein Saxa Gotha;Boxmeer                                 ;Buurt     ;BU07560008;1;170;30;140;140;30;1.1;119.0;20;25
2831;Verspreide huizen Boxmeer;Boxmeer                                 ;Buurt     ;BU07560009;1;15;5;10;10;5;;;5;0
2832;Wijk 01 Sambeek;Boxmeer                                 ;Wijk      ;WK075601  ;1;820;200;620;650;175;1.3;100.0;75;75
2833;Sambeek Centrum;Boxmeer                                 ;Buurt     ;BU07560100;1;690;170;520;550;140;1.3;625.0;60;55
2834;Verspreide huizen Sambeek;Boxmeer                                 ;Buurt     ;BU07560109;1;130;30;100;100;35;1.3;18.0;15;15
2835;Wijk 02 Beugen;Boxmeer                                 ;Wijk      ;WK075602  ;1;915;185;730;735;180;1.4;91.0;115;85
2836;Beugen Centrum;Boxmeer                                 ;Buurt     ;BU07560200;1;665;150;520;545;120;1.4;792.0;75;40
2837;Verspreide huizen Beugen;Boxmeer                                 ;Buurt     ;BU07560209;1;250;40;210;190;60;1.4;27.0;40;45
2838;Wijk 03 Oeffelt;Boxmeer                                 ;Wijk      ;WK075603  ;1;1230;290;940;980;250;1.3;132.0;120;105
2839;Oeffelt Centrum;Boxmeer                                 ;Buurt     ;BU07560300;1;1035;250;785;840;195;1.3;776.0;100;90
2840;Verspreide huizen Oeffelt;Boxmeer                                 ;Buurt     ;BU07560309;1;195;40;155;140;55;1.4;24.0;20;20
2841;Wijk 04 Rijkevoort;Boxmeer                                 ;Wijk      ;WK075604  ;1;915;195;720;725;190;1.4;76.0;105;75
2842;Rijkevoort Centrum;Boxmeer                                 ;Buurt     ;BU07560400;1;790;170;620;625;160;1.4;953.0;90;65
2843;Verspreide huizen Rijkevoort;Boxmeer                                 ;Buurt     ;BU07560409;1;125;25;100;95;30;1.1;11.0;15;10
2844;Wijk 05 Vortum-Mullem;Boxmeer                                 ;Wijk      ;WK075605  ;1;385;75;315;295;95;1.6;59.0;35;35
2845;Vortum-Mullem Centrum;Boxmeer                                 ;Buurt     ;BU07560500;1;280;45;230;220;55;1.7;428.0;30;30
2846;Verspreide huizen Vortum-Mullem;Boxmeer                                 ;Buurt     ;BU07560509;1;105;25;80;70;35;1.4;18.0;0;5
2847;Wijk 06 Vierlingsbeek;Boxmeer                                 ;Wijk      ;WK075606  ;1;1575;350;1225;1220;355;1.3;91.0;145;160
2848;Vierlingsbeek Centrum;Boxmeer                                 ;Buurt     ;BU07560600;1;1275;305;970;1010;265;1.3;721.0;115;125
2849;Groeningen Centrum;Boxmeer                                 ;Buurt     ;BU07560601;1;180;25;155;125;55;1.5;477.0;20;30
2850;Verspr.h. Vierlingsbeek en Groeningen;Boxmeer                                 ;Buurt     ;BU07560609;1;115;20;95;85;30;1.0;8.0;10;10
2851;Wijk 07 Overloon;Boxmeer                                 ;Wijk      ;WK075607  ;1;2045;465;1575;1610;435;1.2;70.0;220;250
2852;Overloon Centrum;Boxmeer                                 ;Buurt     ;BU07560700;1;1525;365;1160;1240;285;1.3;1201.0;150;170
2853;Verspreide huizen Westerbeek;Boxmeer                                 ;Buurt     ;BU07560707;1;25;5;20;15;15;;;5;0
2854;Verspreide huizen Stevensbeek;Boxmeer                                 ;Buurt     ;BU07560708;1;20;5;20;15;5;0.1;5.0;0;0
2855;Verspreide huizen Overloon;Boxmeer                                 ;Buurt     ;BU07560709;1;470;95;375;340;130;1.5;23.0;65;80
2856;Wijk 08 Maashees;Boxmeer                                 ;Wijk      ;WK075608  ;1;480;115;365;380;100;1.3;93.0;35;60
2857;Maashees Centrum;Boxmeer                                 ;Buurt     ;BU07560800;1;410;100;310;330;80;1.4;861.0;25;50
2858;Verspreide huizen Maashees;Boxmeer                                 ;Buurt     ;BU07560809;1;65;15;55;50;15;1.0;14.0;10;10
2859;Wijk 09 Holthees;Boxmeer                                 ;Wijk      ;WK075609  ;1;300;75;225;215;85;1.6;104.0;40;15
2860;Holthees Centrum;Boxmeer                                 ;Buurt     ;BU07560900;1;265;65;195;190;70;1.6;594.0;35;15
2861;Verspreide Huizen Holthees;Boxmeer                                 ;Buurt     ;BU07560909;1;35;10;25;25;15;;;5;5
2862;Boxtel;Boxtel                                  ;Gemeente  ;GM0757    ;.;13685;3235;10450;11300;2385;1.0;215.0;1290;2140
2863;Niet nader toe te delen;Boxtel                                  ;          ;          ; ;5;0;5;5;0;;;0;0
2864;Wel nader toe te delen;Boxtel                                  ;          ;          ; ;13680;3230;10450;11295;2385;;;1290;2140
2865;Wijk 00 Boxtel;Boxtel                                  ;Wijk      ;WK075700  ;1;10650;2510;8140;8885;1765;1.0;315.0;940;1560
2866;Boxtel-Centrum;Boxtel                                  ;Buurt     ;BU07570000;1;3100;710;2390;2615;485;0.8;1215.0;260;530
2867;Boxtel-Oost;Boxtel                                  ;Buurt     ;BU07570001;1;4260;985;3275;3600;660;1.1;2427.0;365;520
2868;Boxtel-Noord;Boxtel                                  ;Buurt     ;BU07570002;1;1510;295;1215;1250;260;0.9;1713.0;140;305
2869;Munsel-Selissen;Boxtel                                  ;Buurt     ;BU07570003;1;1115;390;725;905;210;1.3;744.0;100;110
2870;Industrieterrein Boxtel;Boxtel                                  ;Buurt     ;BU07570004;1;60;10;45;45;15;;;10;20
2871;Verspreide huizen Kleinderliempde;Boxtel                                  ;Buurt     ;BU07570005;1;100;20;85;80;25;1.4;40.0;5;10
2872;Verspr.h. Tongeren, Luissel en Nergena;Boxtel                                  ;Buurt     ;BU07570006;1;225;45;180;170;50;1.4;40.0;15;25
2873;Verspreide huizen Hal en Heult;Boxtel                                  ;Buurt     ;BU07570007;1;70;15;55;55;15;;;10;10
2874;Verspreide huizen Langenberg;Boxtel                                  ;Buurt     ;BU07570008;1;120;20;100;90;25;1.4;34.0;25;20
2875;Verspreide huizen Roond;Boxtel                                  ;Buurt     ;BU07570009;1;100;30;70;75;20;1.6;11.0;10;15
2876;Wijk 01 Lennisheuvel;Boxtel                                  ;Wijk      ;WK075701  ;1;565;135;430;430;135;1.3;52.0;70;115
2877;Lennisheuvel;Boxtel                                  ;Buurt     ;BU07570100;1;400;95;305;315;85;1.3;854.0;50;85
2878;Verspreide huizen Lennisheuvel;Boxtel                                  ;Buurt     ;BU07570109;1;165;40;125;115;50;1.5;16.0;15;30
2879;Wijk 02 Liempde;Boxtel                                  ;Wijk      ;WK075702  ;1;2465;590;1875;1980;485;1.3;130.0;280;465
2880;Liempde;Boxtel                                  ;Buurt     ;BU07570200;1;2120;525;1595;1720;400;1.3;1065.0;240;420
2881;Hezelaar;Boxtel                                  ;Buurt     ;BU07570206;1;90;10;80;70;20;1.5;80.0;5;10
2882;Vrilkhoven;Boxtel                                  ;Buurt     ;BU07570207;1;55;5;50;45;10;;;5;10
2883;Verspreide huizen Kasteren en Berg;Boxtel                                  ;Buurt     ;BU07570208;1;120;20;100;90;30;1.3;18.0;5;5
2884;Verspr.h. Velders, Bosch en De Scheeken;Boxtel                                  ;Buurt     ;BU07570209;1;80;20;55;55;20;1.3;10.0;25;15
2885;Breda;Breda                                   ;Gemeente  ;GM0758    ;.;77190;22025;55165;65390;11800;0.9;613.0;5475;8430
2886;Niet nader toe te delen;Breda                                   ;          ;          ; ;20;5;15;15;5;;;5;10
2887;Wel nader toe te delen;Breda                                   ;          ;          ; ;77170;22020;55155;65375;11795;;;5470;8420
2888;Breda Centrum;Breda                                   ;Wijk      ;WK075800  ;1;5075;1430;3645;4330;750;0.5;2541.0;330;655
2889;Valkenberg;Breda                                   ;Buurt     ;BU07580001;1;675;195;480;565;110;0.5;1732.0;60;70
2890;Chassé;Breda                                   ;Buurt     ;BU07580002;1;1315;475;840;1100;215;0.6;3281.0;65;100
2891;Fellenoord;Breda                                   ;Buurt     ;BU07580003;1;535;95;440;475;60;0.6;1984.0;30;140
2892;Schorsmolen;Breda                                   ;Buurt     ;BU07580004;1;1075;240;830;935;140;0.4;4183.0;70;140
2893;Station;Breda                                   ;Buurt     ;BU07580005;1;765;215;545;650;115;0.5;2795.0;45;85
2894;City;Breda                                   ;Buurt     ;BU07580006;1;710;205;505;600;110;0.4;1751.0;55;115
2895;Breda Noord;Breda                                   ;Wijk      ;WK075801  ;1;9305;1995;7310;7840;1465;0.8;1101.0;645;1365
2896;Belcrum;Breda                                   ;Buurt     ;BU07580100;1;1310;325;985;1110;200;0.8;2483.0;140;195
2897;Doornbos-Linie;Breda                                   ;Buurt     ;BU07580101;1;1605;315;1290;1335;270;0.7;1263.0;135;270
2898;Biesdonk;Breda                                   ;Buurt     ;BU07580102;1;1905;390;1515;1630;275;0.8;2414.0;115;250
2899;Geeren-Zuid;Breda                                   ;Buurt     ;BU07580103;1;1310;235;1075;1095;215;0.7;1910.0;55;170
2900;Wisselaar;Breda                                   ;Buurt     ;BU07580104;1;1665;375;1285;1420;245;0.9;2223.0;95;290
2901;Krogten;Breda                                   ;Buurt     ;BU07580105;1;120;20;100;100;20;1.2;32.0;30;10
2902;Geeren-Noord;Breda                                   ;Buurt     ;BU07580106;1;920;155;765;760;160;0.7;2043.0;55;150
2903;Waterdonken;Breda                                   ;Buurt     ;BU07580107;1;470;185;290;395;80;1.1;2294.0;20;30
2904;Breda Oost;Breda                                   ;Wijk      ;WK075802  ;1;9635;2550;7085;8130;1505;0.8;1161.0;675;905
2905;Brabantpark;Breda                                   ;Buurt     ;BU07580200;1;3740;890;2850;3190;550;0.7;1667.0;295;425
2906;Sportpark;Breda                                   ;Buurt     ;BU07580201;1;1465;450;1015;1230;235;0.9;1236.0;105;105
2907;Zandberg;Breda                                   ;Buurt     ;BU07580202;1;2115;570;1545;1705;405;0.8;2889.0;155;160
2908;Heusdenhout;Breda                                   ;Buurt     ;BU07580203;1;2250;625;1625;1955;295;0.9;1491.0;120;210
2909;Moleneind-Oost;Breda                                   ;Buurt     ;BU07580204;1;55;10;45;40;15;;;0;5
2910;Hoogeind;Breda                                   ;Buurt     ;BU07580205;1;10;0;10;5;5;;;0;5
2911;Breda Zuid-Oost;Breda                                   ;Wijk      ;WK075803  ;1;8605;2455;6150;7270;1340;1.0;499.0;510;645
2912;Blauwe Kei;Breda                                   ;Buurt     ;BU07580300;1;1710;465;1245;1485;225;1.0;2428.0;130;130
2913;Ypelaar;Breda                                   ;Buurt     ;BU07580301;1;2740;790;1950;2365;375;0.9;2334.0;140;230
2914;Overakker;Breda                                   ;Buurt     ;BU07580302;1;1365;365;1000;1165;200;0.9;1018.0;80;85
2915;Ginneken;Breda                                   ;Buurt     ;BU07580303;1;2550;775;1775;2060;495;1.1;1941.0;145;180
2916;Mastbos;Breda                                   ;Buurt     ;BU07580309;1;240;60;180;195;45;1.6;19.0;15;25
2917;Breda Zuid;Breda                                   ;Wijk      ;WK075804  ;1;3780;1135;2645;3140;640;0.9;1309.0;200;200
2918;Boeimeer;Breda                                   ;Buurt     ;BU07580400;1;2475;730;1745;2050;425;0.9;2114.0;130;120
2919;Ruitersbos;Breda                                   ;Buurt     ;BU07580401;1;1305;400;905;1090;215;1.1;761.0;70;80
2920;Breda West;Breda                                   ;Wijk      ;WK075805  ;1;12890;3445;9450;11045;1845;0.8;488.0;990;2040
2921;Haagpoort;Breda                                   ;Buurt     ;BU07580500;1;770;160;610;650;120;0.7;3154.0;70;200
2922;Heuvel;Breda                                   ;Buurt     ;BU07580501;1;3105;760;2345;2660;445;0.7;3042.0;225;615
2923;Tuinzigt;Breda                                   ;Buurt     ;BU07580502;1;2670;555;2115;2355;315;0.6;2332.0;195;600
2924;Princenhage;Breda                                   ;Buurt     ;BU07580503;1;3640;1015;2625;3145;495;0.9;1381.0;280;355
2925;Westerpark;Breda                                   ;Buurt     ;BU07580504;1;1490;570;920;1250;240;1.0;2314.0;95;120
2926;Heilaar;Breda                                   ;Buurt     ;BU07580505;1;190;75;115;160;30;1.4;119.0;15;40
2927;Hazeldonk;Breda                                   ;Buurt     ;BU07580506;1;30;5;25;25;10;;;5;5
2928;Steenakker;Breda                                   ;Buurt     ;BU07580507;1;150;55;95;125;30;1.5;140.0;15;20
2929;Effen-Rith;Breda                                   ;Buurt     ;BU07580508;1;485;150;335;385;100;1.5;54.0;45;50
2930;Liesbos;Breda                                   ;Buurt     ;BU07580509;1;355;105;255;295;60;1.4;59.0;35;35
2931;Breda Noord-West;Breda                                   ;Wijk      ;WK075806  ;1;12175;3740;8435;10290;1885;1.1;764.0;965;1490
2932;Gageldonk;Breda                                   ;Buurt     ;BU07580600;1;2210;640;1570;1875;330;1.0;2775.0;200;305
2933;Kievitsloop;Breda                                   ;Buurt     ;BU07580601;1;2055;550;1500;1730;320;1.1;2394.0;150;265
2934;Kesteren;Breda                                   ;Buurt     ;BU07580602;1;1645;400;1245;1395;250;1.0;2145.0;135;250
2935;Muizenberg;Breda                                   ;Buurt     ;BU07580603;1;1365;440;925;1145;220;1.1;1531.0;130;175
2936;Heksenwiel;Breda                                   ;Buurt     ;BU07580604;1;2090;690;1400;1790;300;1.1;2321.0;145;225
2937;Overkroeten;Breda                                   ;Buurt     ;BU07580605;1;1535;545;990;1295;240;1.2;3431.0;115;160
2938;Kroeten;Breda                                   ;Buurt     ;BU07580606;1;1135;440;690;940;195;1.2;3141.0;75;90
2939;Emer;Breda                                   ;Buurt     ;BU07580607;1;35;5;30;25;10;;;0;5
2940;Hagebeemd;Breda                                   ;Buurt     ;BU07580609;1;110;30;85;95;15;1.5;13.0;20;15
2941;Bavel;Breda                                   ;Wijk      ;WK075807  ;1;3985;1375;2610;3380;610;1.2;356.0;305;295
2942;Bavel;Breda                                   ;Buurt     ;BU07580700;1;2725;880;1850;2380;350;1.2;1558.0;205;205
2943;Nieuw Wolfslaar;Breda                                   ;Buurt     ;BU07580701;1;1055;445;605;835;220;1.2;1024.0;70;55
2944;Buitengebied Bavel;Breda                                   ;Buurt     ;BU07580709;1;205;55;155;170;40;1.3;25.0;25;35
2945;Ulvenhout;Breda                                   ;Wijk      ;WK075808  ;1;2395;765;1630;1970;425;1.2;462.0;125;155
2946;Ulvenhout;Breda                                   ;Buurt     ;BU07580800;1;2250;715;1535;1860;390;1.2;1294.0;105;135
2947;Buitengebied Ulvenhout;Breda                                   ;Buurt     ;BU07580809;1;145;50;95;110;35;1.5;42.0;20;20
2948;Prinsenbeek;Breda                                   ;Wijk      ;WK075809  ;1;5745;1925;3820;4960;790;1.2;340.0;420;410
2949;Prinsenbeek;Breda                                   ;Buurt     ;BU07580900;1;5300;1795;3505;4595;705;1.2;1472.0;390;390
2950;Buitengebied Prinsenbeek;Breda                                   ;Buurt     ;BU07580909;1;445;130;315;360;85;1.4;33.0;35;20
2951;Teteringen;Breda                                   ;Wijk      ;WK075810  ;1;3570;1200;2375;3025;545;1.2;312.0;305;260
2952;Teteringen;Breda                                   ;Buurt     ;BU07581000;1;3485;1180;2300;2950;530;1.2;1035.0;300;250
2953;Vuchtpolder;Breda                                   ;Buurt     ;BU07581008;1;55;10;45;45;10;;;5;0
2954;Buitengebied Teteringen;Breda                                   ;Buurt     ;BU07581009;1;35;10;25;30;5;0.6;15.0;5;10
2955;Brielle;Brielle                                 ;Gemeente  ;GM0501    ;.;8570;2925;5640;7550;1020;1.2;311.0;720;1455
2956;Niet nader toe te delen;Brielle                                 ;          ;          ; ;5;0;5;5;0;;;0;0
2957;Wel nader toe te delen;Brielle                                 ;          ;          ; ;8560;2925;5635;7540;1020;;;720;1455
2958;Wijk 00 Brielle;Brielle                                 ;Wijk      ;WK050100  ;1;6520;2295;4230;5750;770;1.1;841.0;495;1055
2959;Brielle;Brielle                                 ;Buurt     ;BU05010000;1;1360;440;915;1190;170;1.0;1771.0;105;190
2960;Spuilaan en omgeving;Brielle                                 ;Buurt     ;BU05010001;1;505;210;290;455;50;1.0;1832.0;15;50
2961;De Kapel en omgeving;Brielle                                 ;Buurt     ;BU05010002;1;855;215;640;755;100;1.2;2159.0;100;185
2962;Rugge;Brielle                                 ;Buurt     ;BU05010003;1;1180;325;855;1050;130;1.0;2030.0;100;245
2963;Noord Meeuwenoord;Brielle                                 ;Buurt     ;BU05010004;1;380;160;225;325;55;1.2;836.0;30;55
2964;Kleine Goote;Brielle                                 ;Buurt     ;BU05010005;1;830;305;525;750;80;1.2;3967.0;45;105
2965;Nieuwland;Brielle                                 ;Buurt     ;BU05010006;1;1285;600;685;1115;170;1.3;2372.0;80;200
2966;Verspreide huizen;Brielle                                 ;Buurt     ;BU05010009;1;130;35;90;105;20;1.4;28.0;15;25
2967;Wijk 01 Vierpolders;Brielle                                 ;Wijk      ;WK050101  ;1;930;280;650;815;110;1.3;94.0;95;185
2968;Vierpolders;Brielle                                 ;Buurt     ;BU05010100;1;685;210;480;615;70;1.3;610.0;65;140
2969;Verspreide huizen;Brielle                                 ;Buurt     ;BU05010109;1;240;70;170;200;45;1.4;28.0;30;45
2970;Wijk 02 Zwartewaal;Brielle                                 ;Wijk      ;WK050102  ;1;1090;345;745;955;135;1.4;126.0;125;210
2971;Zwartewaal;Brielle                                 ;Buurt     ;BU05010200;1;355;115;240;305;50;1.3;1740.0;35;90
2972;Tuindorp-Hofstede;Brielle                                 ;Buurt     ;BU05010201;1;540;175;360;485;55;1.4;2012.0;55;95
2973;Zalmlaan;Brielle                                 ;Buurt     ;BU05010202;1;45;15;25;35;5;;;10;5
2974;Verspreide huizen;Brielle                                 ;Buurt     ;BU05010209;1;155;35;115;130;20;1.5;19.0;25;25
2975;Wijk 03 Recreatiestrook Brielse Maas;Brielle                                 ;Wijk      ;WK050103  ;1;25;5;20;20;5;;;0;5
2976;Recreatiestrook Brielse Maas;Brielle                                 ;Buurt     ;BU05010300;1;25;5;20;20;5;;;0;5
2977;Bronckhorst;Bronckhorst                             ;Gemeente  ;GM1876    ;.;19785;4575;15210;16720;3070;1.3;70.0;2625;2285
2978;Niet nader toe te delen;Bronckhorst                             ;          ;          ; ;5;0;5;5;0;;;0;0
2979;Wel nader toe te delen;Bronckhorst                             ;          ;          ; ;19780;4575;15205;16715;3070;;;2625;2285
2980;Wijk 00 Hengelo;Bronckhorst                             ;Wijk      ;WK187600  ;1;4285;970;3315;3685;600;1.3;87.0;705;465
2981;Hengelo;Bronckhorst                             ;Buurt     ;BU18760000;1;2295;545;1750;2020;275;1.2;1456.0;350;240
2982;Keijenborg;Bronckhorst                             ;Buurt     ;BU18760001;1;540;135;405;485;60;1.2;1172.0;75;60
2983;Veldhoek;Bronckhorst                             ;Buurt     ;BU18760002;1;75;25;50;65;10;1.2;407.0;20;5
2984;Verspreide huizen Keijenborg;Bronckhorst                             ;Buurt     ;BU18760004;1;265;50;215;225;40;1.3;45.0;55;50
2985;Verspreide huizen Dunsborg;Bronckhorst                             ;Buurt     ;BU18760005;1;300;45;255;250;50;1.7;41.0;40;25
