ID;Geslacht;Onderwijssoorten;Perioden;TotaalLeerlingen_1;CumiLeerlingen_2;CumiLeerlingenIn_3;Achterstandsleerlingen_4;AchterstandsleerlingenIn_5;k_025Leerlingen_6;k_030Leerlingen_7;k_040Leerlingen_8;k_070Leerlingen_9;k_090Leerlingen_10;k_120Leerlingen_11;k_4JaarOfJonger_12;k_5Jaar_13;k_6Jaar_14;k_7Jaar_15;k_8Jaar_16;k_9Jaar_17;k_10Jaar_18;k_11Jaar_19;k_12Jaar_20;k_13Jaar_21;k_14JaarOfOuder_22
150;Vrouwen;Totaal primair onderwijs;1997/'98;767175;;;240301.0;31.0;145312.0;;656.0;1851.0;92482.0;;70496;95199;96627;96012;93134;91883;91769;90252;36150;5276;377
151;Vrouwen;Totaal primair onderwijs;1998/'99;772343;;;231108.0;30.0;133789.0;;630.0;1761.0;94928.0;;70501;94573;95624;97043;96297;93579;92227;90210;36532;5414;343
152;Vrouwen;Totaal primair onderwijs;1999/'00;776398;;;223251.0;29.0;123978.0;;589.0;1738.0;96946.0;;68470;93135;94641;95155;96257;97549;96915;92056;36813;5136;271
153;Vrouwen;Totaal primair onderwijs;2000/'01;777074;;;215163.0;28.0;114693.0;;568.0;1676.0;98226.0;;68563;93238;94718;95291;96290;97694;97086;92175;36648;5106;265
154;Vrouwen;Totaal primair onderwijs;2001/'02;780344;;;209060.0;27.0;107387.0;;556.0;1678.0;99439.0;;70495;92642;93658;94937;95466;96536;97913;95271;37994;5183;249
155;Vrouwen;Totaal primair onderwijs;2002/'03;779410;;;200152.0;26.0;99502.0;;559.0;1726.0;98365.0;;71234;94639;92720;93590;94919;95472;96529;95764;38952;5347;244
156;Vrouwen;Totaal primair onderwijs;2003/'04;776738;;;190997.0;25.0;92296.0;;658.0;1685.0;96358.0;;72216;95495;94607;92553;93336;94673;95168;94135;38856;5453;246
157;Vrouwen;Totaal primair onderwijs;2004/'05;777831;;;183038.0;24.0;86000.0;;641.0;1619.0;94778.0;;73762;97087;95485;94477;92351;93280;94579;92849;38364;5362;235
158;Vrouwen;Totaal primair onderwijs;2005/'06;778727;;;174728.0;22.0;79927.0;;670.0;1594.0;92537.0;;73568;98365;96909;95228;94120;92137;92953;91853;38097;5291;206
159;Vrouwen;Totaal primair onderwijs;2006/'07;779004;;;160300.0;21.0;59196.0;19240.0;616.0;1210.0;68422.0;11616.0;72124;97740;98206;96804;95044;94083;91983;90378;37298;5147;197
160;Vrouwen;Totaal primair onderwijs;2007/'08;780511;;;140078.0;18.0;37978.0;34184.0;334.0;738.0;44766.0;22078.0;72130;96368;97630;98002;96609;94870;93934;89297;36487;5004;180
161;Vrouwen;Totaal primair onderwijs;2008/'09;781891;;;120547.0;15.0;19169.0;45720.0;201.0;384.0;23783.0;31290.0;69938;95781;96428;97638;97989;96720;94918;91231;36338;4754;156
162;Vrouwen;Totaal primair onderwijs;2009/'10;781273;;;103990.0;13.0;;60277.0;;;;43713.0;67953;93145;96221;96572;97789;98473;97169;92436;36715;4671;129
163;Vrouwen;Totaal primair onderwijs;2010/'11;775459;;;98905.0;13.0;;56359.0;;;;42546.0;67127;90347;93537;96379;96697;97626;99499;95559;36524;2141;23
164;Vrouwen;Totaal primair onderwijs;2011/'12;766803;;;94040.0;12.0;;52738.0;;;;41302.0;66598;89317;90467;93517;96424;96735;97710;98423;35582;2010;20
165;Vrouwen;Totaal primair onderwijs;2012/'13;756033;;;87809.0;12.0;;48532.0;;;;39277.0;67556;88283;89360;90392;93476;96409;96730;96403;35376;2035;13
166;Vrouwen;Totaal primair onderwijs;2013/'14;744338;;;80716.0;11.0;;43735.0;;;;36981.0;67416;89338;88315;89332;90338;93438;96422;95247;32581;1891;20
167;Vrouwen;Totaal primair onderwijs;2014/'15;734712;;;74367.0;10.0;;39722.0;;;;34645.0;66708;89554;89561;88391;89486;90443;93518;94823;30526;1684;18
168;Vrouwen;Basisonderwijs;1991/'92;696735;;;;;;;;;77182.0;;67425;90531;87207;84541;81956;81643;84373;83679;30795;4198;387
169;Vrouwen;Basisonderwijs;1992/'93;700179;;;;;;;;;80190.0;;67461;90394;90427;86448;83716;81509;81332;82636;31418;4450;388
170;Vrouwen;Basisonderwijs;1993/'94;705716;;;;;;;;;83832.0;;68230;90708;90378;89984;86090;83404;81435;79613;30832;4626;416
171;Vrouwen;Basisonderwijs;1994/'95;717517;;;;;;;;;86592.0;;71190;92422;90847;89852;89401;85541;83237;79637;30387;4569;434
172;Vrouwen;Basisonderwijs;1995/'96;729224;;;288888.0;40.0;197724.0;;752.0;2021.0;88391.0;;72006;95357;92115;90103;89053;88639;85156;81308;30724;4393;370
173;Vrouwen;Basisonderwijs;1996/'97;740705;;;275730.0;37.0;182686.0;;726.0;1888.0;90430.0;;71110;96045;95123;91680;89638;88618;88464;83467;31614;4589;357
174;Vrouwen;Basisonderwijs;1997/'98;749905;;;240301.0;32.0;145312.0;;656.0;1851.0;92482.0;;70421;94953;95995;94766;91236;89161;88365;86652;33244;4754;358
175;Vrouwen;Basisonderwijs;1998/'99;755317;;;231108.0;31.0;133789.0;;630.0;1761.0;94928.0;;70412;94310;94980;95710;94378;90919;89046;86628;33700;4898;336
176;Vrouwen;Basisonderwijs;1999/'00;759887;;;223251.0;29.0;123978.0;;589.0;1738.0;96946.0;;68414;92895;94009;93934;94293;94872;93749;88725;34022;4709;265
177;Vrouwen;Basisonderwijs;2000/'01;760595;;;215163.0;28.0;114693.0;;568.0;1676.0;98226.0;;68501;93012;94114;94027;94379;94951;93818;88780;34041;4711;261
178;Vrouwen;Basisonderwijs;2001/'02;763525;;;209060.0;27.0;107387.0;;556.0;1678.0;99439.0;;70438;92446;93079;93646;93497;93786;94529;91722;35317;4821;244
179;Vrouwen;Basisonderwijs;2002/'03;762332;;;200152.0;26.0;99502.0;;559.0;1726.0;98365.0;;71183;94439;92194;92364;92895;92650;93028;92102;36204;5031;242
180;Vrouwen;Basisonderwijs;2003/'04;759712;;;190997.0;25.0;92296.0;;658.0;1685.0;96358.0;;72140;95308;94089;91406;91486;91840;91724;90387;35973;5118;241
181;Vrouwen;Basisonderwijs;2004/'05;761187;;;183038.0;24.0;86000.0;;641.0;1619.0;94778.0;;73687;96871;95004;93406;90596;90585;91222;89141;35423;5023;229
182;Vrouwen;Basisonderwijs;2005/'06;762623;;;174728.0;23.0;79927.0;;670.0;1594.0;92537.0;;73510;98095;96399;94193;92434;89664;89782;88289;35122;4931;204
183;Vrouwen;Basisonderwijs;2006/'07;763594;;;160300.0;21.0;59196.0;19240.0;616.0;1210.0;68422.0;11616.0;72053;97557;97634;95828;93435;91665;89025;86961;34482;4765;189
184;Vrouwen;Basisonderwijs;2007/'08;765545;;;140078.0;18.0;37978.0;34184.0;334.0;738.0;44766.0;22078.0;72064;96126;97127;96945;94985;92604;91039;86118;33725;4642;170
185;Vrouwen;Basisonderwijs;2008/'09;767171;;;120547.0;16.0;19169.0;45720.0;201.0;384.0;23783.0;31290.0;69856;95538;95925;96674;96281;94352;92119;88058;33802;4418;148
186;Vrouwen;Basisonderwijs;2009/'10;766557;;;103990.0;14.0;;60277.0;;;;43713.0;67881;92920;95684;95642;96210;96026;94236;89369;34088;4375;126
187;Vrouwen;Basisonderwijs;2010/'11;760764;;;98905.0;13.0;;56359.0;;;;42546.0;67043;90108;93024;95408;95161;95377;96478;92357;33981;1806;21
188;Vrouwen;Basisonderwijs;2011/'12;752399;;;94040.0;12.0;;52738.0;;;;41302.0;66526;89033;89973;92608;94928;94528;94951;95096;33007;1731;17
189;Vrouwen;Basisonderwijs;2012/'13;742191;;;87809.0;12.0;;48532.0;;;;39277.0;67472;88026;88819;89466;92112;94356;94022;93414;32741;1750;13
190;Vrouwen;Basisonderwijs;2013/'14;731239;;;80716.0;11.0;;43735.0;;;;36981.0;67320;89055;87843;88426;88959;91557;93887;92310;30271;1592;19
191;Vrouwen;Basisonderwijs;2014/'15;722147;;;74367.0;10.0;;39722.0;;;;34645.0;66622;89270;89039;87547;88133;88547;91177;92076;28261;1458;17
192;Vrouwen;Speciaal basisonderwijs;1991/'92;17497;2268.0;13.0;;;;;;;;;78;223;624;1429;2121;2818;3447;3424;2713;601;19
193;Vrouwen;Speciaal basisonderwijs;1992/'93;17653;2442.0;14.0;;;;;;;;;75;235;636;1376;2193;2862;3241;3647;2818;550;20
194;Vrouwen;Speciaal basisonderwijs;1993/'94;17882;2491.0;14.0;;;;;;;;;73;243;653;1430;2163;2949;3304;3470;2979;597;21
195;Vrouwen;Speciaal basisonderwijs;1994/'95;18127;2529.0;14.0;;;;;;;;;102;248;633;1458;2283;3001;3394;3492;2841;654;21
196;Vrouwen;Speciaal basisonderwijs;1995/'96;18320;2619.0;14.0;;;;;;;;;79;295;670;1384;2300;3092;3525;3597;2794;565;19
197;Vrouwen;Speciaal basisonderwijs;1996/'97;17680;2619.0;15.0;;;;;;;;;77;265;626;1257;1987;2930;3428;3638;2874;580;18
198;Vrouwen;Speciaal basisonderwijs;1997/'98;17270;2663.0;15.0;;;;;;;;;75;246;632;1246;1898;2722;3404;3600;2906;522;19
199;Vrouwen;Speciaal basisonderwijs;1998/'99;17026;2701.0;16.0;;;;;;;;;89;263;644;1333;1919;2660;3181;3582;2832;516;7
200;Vrouwen;Speciaal basisonderwijs;1999/'00;16511;2737.0;17.0;;;;;;;;;56;240;632;1221;1964;2677;3166;3331;2791;427;6
201;Vrouwen;Speciaal basisonderwijs;2000/'01;16479;2886.0;18.0;;;;;;;;;62;226;604;1264;1911;2743;3268;3395;2607;395;4
202;Vrouwen;Speciaal basisonderwijs;2001/'02;16819;3098.0;18.0;;;;;;;;;57;196;579;1291;1969;2750;3384;3549;2677;362;5
203;Vrouwen;Speciaal basisonderwijs;2002/'03;17078;3240.0;19.0;;;;;;;;;51;200;526;1226;2024;2822;3501;3662;2748;316;2
204;Vrouwen;Speciaal basisonderwijs;2003/'04;17026;3247.0;19.0;;;;;;;;;76;187;518;1147;1850;2833;3444;3748;2883;335;5
205;Vrouwen;Speciaal basisonderwijs;2004/'05;16644;3219.0;19.0;;;;;;;;;75;216;481;1071;1755;2695;3357;3708;2941;339;6
206;Vrouwen;Speciaal basisonderwijs;2005/'06;16104;3267.0;20.0;;;;;;;;;58;270;510;1035;1686;2473;3171;3564;2975;360;2
207;Vrouwen;Speciaal basisonderwijs;2006/'07;15410;3083.0;20.0;;;;;;;;;71;183;572;976;1609;2418;2958;3417;2816;382;8
208;Vrouwen;Speciaal basisonderwijs;2007/'08;14966;2925.0;20.0;;;;;;;;;66;242;503;1057;1624;2266;2895;3179;2762;362;10
209;Vrouwen;Speciaal basisonderwijs;2008/'09;14720;2876.0;20.0;;;;;;;;;82;243;503;964;1708;2368;2799;3173;2536;336;8
210;Vrouwen;Speciaal basisonderwijs;2009/'10;14716;2949.0;20.0;;;;;;;;;72;225;537;930;1579;2447;2933;3067;2627;296;3
211;Vrouwen;Speciaal basisonderwijs;2010/'11;14695;;;;;;;;;;;84;239;513;971;1536;2249;3021;3202;2543;335;2
212;Vrouwen;Speciaal basisonderwijs;2011/'12;14404;;;;;;;;;;;72;284;494;909;1496;2207;2759;3327;2575;279;2
213;Vrouwen;Speciaal basisonderwijs;2012/'13;13842;;;;;;;;;;;84;257;541;926;1364;2053;2708;2989;2635;285;0
214;Vrouwen;Speciaal basisonderwijs;2013/'14;13099;;;;;;;;;;;96;283;472;906;1379;1881;2535;2937;2310;299;1
215;Vrouwen;Speciaal basisonderwijs;2014/'15;12565;;;;;;;;;;;86;284;522;844;1353;1896;2341;2747;2265;226;1
